* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Nov 16, 2024 12:24:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senn 6XX (Ex) R3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.759	-90.4242
20.600000	77.795	-90.7882
20.900000	77.882	-91.5529
21.200001	77.980	-92.3749
21.400000	78.049	-92.9070
21.799999	78.198	-93.9050
22.000000	78.276	-94.3631
22.400000	78.437	-95.2006
22.700001	78.552	-95.7528
23.000000	78.655	-96.2220
23.299999	78.745	-96.5981
23.600000	78.826	-96.8993
24.000000	78.931	-97.2693
24.299999	79.013	-97.6347
24.700001	79.129	-98.3835
25.000000	79.214	-99.1847
25.400000	79.313	-100.5022
25.799999	79.393	-101.8705
26.200001	79.470	-103.0179
26.500000	79.544	-103.6487
26.900000	79.677	-104.2224
27.200001	79.801	-104.5607
27.600000	79.980	-105.0503
28.000000	80.140	-105.6851
28.500000	80.281	-106.6232
29.000000	80.366	-107.5205
29.500000	80.439	-108.2971
30.000000	80.537	-109.0685
30.400000	80.629	-109.7675
30.700001	80.697	-110.3363
31.100000	80.778	-111.0884
31.500000	80.845	-111.7586
32.000000	80.919	-112.4303
32.500000	80.996	-112.9870
33.000000	81.079	-113.5626
33.500000	81.161	-114.2237
34.000000	81.235	-114.9452
34.500000	81.302	-115.6632
35.000000	81.365	-116.3367
35.500000	81.431	-116.9603
36.000000	81.503	-117.5595
36.500000	81.581	-118.1779
37.000000	81.664	-118.8571
37.500000	81.742	-119.6027
38.200001	81.830	-120.6738
38.700001	81.874	-121.3789
39.500000	81.924	-122.3368
40.000000	81.949	-122.8481
40.599998	81.981	-123.3893
41.200001	82.028	-123.8543
41.799999	82.101	-124.2718
42.500000	82.214	-124.7710
43.099998	82.314	-125.2405
43.700001	82.400	-125.7305
44.400002	82.484	-126.3230
45.000000	82.548	-126.8915
45.500000	82.599	-127.4352
46.200001	82.662	-128.2768
46.799999	82.706	-129.0039
47.500000	82.747	-129.7935
48.200001	82.780	-130.5273
48.700001	82.803	-131.0409
49.400002	82.836	-131.7640
50.000000	82.868	-132.3826
50.799999	82.910	-133.1790
51.500000	82.933	-133.8153
52.200001	82.941	-134.3593
53.000000	82.940	-134.8530
53.799999	82.950	-135.2562
54.500000	82.980	-135.6065
55.200001	83.028	-136.0219
56.000000	83.090	-136.6264
57.000000	83.144	-137.5118
58.000000	83.150	-138.2810
59.000000	83.122	-138.6963
60.000000	83.108	-138.7458
60.799999	83.138	-138.6868
61.500000	83.197	-138.7086
62.200001	83.271	-138.8662
63.000000	83.355	-139.2148
64.000000	83.437	-139.8435
65.000000	83.488	-140.5819
66.000000	83.519	-141.3101
67.000000	83.545	-141.9532
68.000000	83.570	-142.4970
69.000000	83.593	-142.9629
70.000000	83.612	-143.3677
71.000000	83.626	-143.7059
72.000000	83.642	-143.9729
73.000000	83.659	-144.1687
74.000000	83.675	-144.2968
75.000000	83.696	-144.3913
76.199997	83.737	-144.5344
77.500000	83.804	-144.7816
78.800003	83.891	-145.1547
80.000000	83.972	-145.6194
81.199997	84.045	-146.1602
82.500000	84.109	-146.7542
83.800003	84.162	-147.3068
85.000000	84.209	-147.7820
86.199997	84.261	-148.2571
87.500000	84.320	-148.8181
88.500000	84.364	-149.2890
90.000000	84.421	-150.0231
91.199997	84.457	-150.6086
92.500000	84.487	-151.2326
93.800003	84.511	-151.8456
95.000000	84.528	-152.3978
96.199997	84.540	-152.9242
97.500000	84.548	-153.4538
98.800003	84.553	-153.9461
100.000000	84.557	-154.3832
101.500000	84.562	-154.9239
103.000000	84.566	-155.4579
104.400002	84.570	-155.9444
106.000000	84.575	-156.4924
107.500000	84.575	-157.0066
109.000000	84.566	-157.5084
110.599998	84.546	-157.9953
112.000000	84.522	-158.3628
113.800003	84.488	-158.7574
115.000000	84.466	-158.9742
117.199997	84.435	-159.2886
118.000000	84.427	-159.3808
120.599998	84.408	-159.6004
122.000000	84.405	-159.6697
124.099998	84.415	-159.7482
125.000000	84.427	-159.7891
126.500000	84.452	-159.8869
128.000000	84.483	-160.0352
131.500000	84.557	-160.5897
132.000000	84.567	-160.6873
134.000000	84.599	-161.0990
136.000000	84.626	-161.5292
138.000000	84.647	-161.9746
140.000000	84.662	-162.4344
143.000000	84.672	-163.1354
145.000000	84.672	-163.5901
147.500000	84.667	-164.1299
150.000000	84.658	-164.6427
152.500000	84.643	-165.1390
155.000000	84.623	-165.6214
157.500000	84.598	-166.0832
160.000000	84.566	-166.5087
162.500000	84.526	-166.8773
165.000000	84.480	-167.1621
167.500000	84.435	-167.3513
170.000000	84.396	-167.4692
172.500000	84.366	-167.5603
175.000000	84.342	-167.6496
177.500000	84.323	-167.7295
180.000000	84.309	-167.7875
182.500000	84.304	-167.8366
185.000000	84.306	-167.9064
187.500000	84.311	-168.0174
190.000000	84.317	-168.1693
192.500000	84.321	-168.3520
195.000000	84.320	-168.5558
197.500000	84.315	-168.7712
200.000000	84.305	-168.9876
203.000000	84.287	-169.2365
206.000000	84.265	-169.4648
209.000000	84.240	-169.6597
212.000000	84.214	-169.8060
214.000000	84.197	-169.8745
218.000000	84.168	-169.9616
220.000000	84.156	-169.9961
224.000000	84.139	-170.0749
227.000000	84.129	-170.1467
230.000000	84.118	-170.2296
233.000000	84.106	-170.3188
236.000000	84.093	-170.4081
240.000000	84.075	-170.5250
243.000000	84.062	-170.6096
247.000000	84.044	-170.7173
250.000000	84.029	-170.7951
254.000000	84.010	-170.8912
258.000000	83.991	-170.9713
262.000000	83.973	-171.0308
265.000000	83.960	-171.0639
269.000000	83.941	-171.1005
272.000000	83.927	-171.1279
276.000000	83.909	-171.1671
280.000000	83.891	-171.2049
285.000000	83.867	-171.2450
290.000000	83.843	-171.2901
295.000000	83.816	-171.3496
300.000000	83.784	-171.3961
304.000000	83.754	-171.3882
307.000000	83.732	-171.3451
311.000000	83.704	-171.2437
315.000000	83.682	-171.1155
320.000000	83.665	-170.9613
325.000000	83.653	-170.8393
330.000000	83.642	-170.7407
335.000000	83.631	-170.6468
340.000000	83.617	-170.5536
345.000000	83.603	-170.4594
350.000000	83.589	-170.3599
355.000000	83.575	-170.2531
360.000000	83.563	-170.1452
365.000000	83.551	-170.0421
370.000000	83.539	-169.9431
375.000000	83.526	-169.8395
382.000000	83.508	-169.6654
387.000000	83.495	-169.5127
395.000000	83.479	-169.2276
400.000000	83.473	-169.0425
406.000000	83.472	-168.8318
412.000000	83.475	-168.6423
418.000000	83.478	-168.4805
425.000000	83.481	-168.3208
431.000000	83.482	-168.1954
437.000000	83.480	-168.0744
444.000000	83.474	-167.9298
450.000000	83.466	-167.7882
455.000000	83.460	-167.6537
462.000000	83.452	-167.4449
468.000000	83.447	-167.2516
475.000000	83.444	-167.0148
482.000000	83.446	-166.7751
487.000000	83.450	-166.6105
494.000000	83.459	-166.4005
500.000000	83.465	-166.2407
508.000000	83.472	-166.0447
515.000000	83.476	-165.8761
522.000000	83.479	-165.7059
530.000000	83.481	-165.5134
538.000000	83.482	-165.3244
545.000000	83.483	-165.1518
552.000000	83.483	-164.9642
560.000000	83.485	-164.7371
570.000000	83.487	-164.4450
580.000000	83.489	-164.1387
590.000000	83.491	-163.8086
600.000000	83.496	-163.4583
608.000000	83.505	-163.1815
615.000000	83.515	-162.9566
622.000000	83.525	-162.7518
630.000000	83.534	-162.5311
640.000000	83.539	-162.2354
650.000000	83.538	-161.8652
660.000000	83.545	-161.4171
670.000000	83.565	-160.9535
680.000000	83.595	-160.5249
690.000000	83.631	-160.1497
700.000000	83.671	-159.8282
710.000000	83.711	-159.5561
720.000000	83.749	-159.3292
730.000000	83.781	-159.1261
740.000000	83.807	-158.9097
750.000000	83.833	-158.6632
762.000000	83.871	-158.3516
775.000000	83.922	-158.0718
788.000000	83.974	-157.9221
800.000000	84.007	-157.8781
812.000000	84.020	-157.8482
825.000000	84.018	-157.7368
838.000000	84.011	-157.5128
850.000000	84.010	-157.2594
862.000000	84.013	-157.0516
875.000000	84.002	-156.9301
885.000000	83.967	-156.8425
900.000000	83.866	-156.4219
912.000000	83.774	-155.6063
925.000000	83.723	-154.2705
938.000000	83.755	-152.7976
950.000000	83.846	-151.6008
962.000000	83.967	-150.6604
975.000000	84.107	-149.9098
988.000000	84.241	-149.3665
1000.000000	84.357	-148.9873
1015.000000	84.490	-148.6226
1030.000000	84.612	-148.3375
1044.000000	84.715	-148.1138
1060.000000	84.822	-147.8675
1075.000000	84.918	-147.6140
1090.000000	85.018	-147.3617
1106.000000	85.128	-147.1490
1120.000000	85.221	-147.0191
1138.000000	85.333	-146.8927
1150.000000	85.402	-146.8236
1172.000000	85.522	-146.6967
1180.000000	85.565	-146.6435
1206.000000	85.708	-146.5291
1220.000000	85.778	-146.5296
1241.000000	85.866	-146.5170
1250.000000	85.902	-146.4821
1265.000000	85.964	-146.3998
1280.000000	86.030	-146.3290
1315.000000	86.182	-146.2510
1320.000000	86.203	-146.2531
1340.000000	86.278	-146.3006
1360.000000	86.336	-146.3359
1380.000000	86.384	-146.3027
1400.000000	86.428	-146.2192
1430.000000	86.485	-145.9148
1450.000000	86.537	-145.5784
1475.000000	86.627	-145.1869
1500.000000	86.719	-144.8911
1525.000000	86.808	-144.6173
1550.000000	86.894	-144.3362
1575.000000	86.981	-144.0253
1600.000000	87.071	-143.6911
1625.000000	87.167	-143.3086
1650.000000	87.279	-142.9185
1675.000000	87.402	-142.6171
1700.000000	87.521	-142.4156
1725.000000	87.629	-142.2421
1750.000000	87.731	-142.0048
1775.000000	87.845	-141.6776
1800.000000	87.984	-141.3719
1825.000000	88.135	-141.2344
1850.000000	88.276	-141.2681
1875.000000	88.399	-141.3930
1900.000000	88.501	-141.5552
1925.000000	88.580	-141.6837
1950.000000	88.640	-141.6900
1975.000000	88.691	-141.4917
2000.000000	88.757	-141.0497
2030.000000	88.888	-140.3624
2060.000000	89.070	-139.8272
2090.000000	89.257	-139.5710
2120.000000	89.422	-139.3701
2140.000000	89.534	-139.1419
2180.000000	89.813	-138.6042
2200.000000	89.978	-138.4781
2240.000000	90.295	-138.6416
2270.000000	90.508	-138.8798
2300.000000	90.721	-139.1283
2330.000000	90.934	-139.4867
2360.000000	91.132	-139.9353
2400.000000	91.381	-140.5038
