* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 14, 2024 9:07:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR-MV1 L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.182 -107.3709
20.600000 82.262 -108.1874
20.900000 82.351 -109.0251
21.200001 82.444 -109.8488
21.400000 82.507 -110.4078
21.799999 82.633 -111.5834
22.000000 82.694 -112.2020
22.400000 82.806 -113.4705
22.700001 82.881 -114.4077
23.000000 82.952 -115.2995
23.299999 83.023 -116.1368
23.600000 83.099 -116.9343
24.000000 83.208 -117.9915
24.299999 83.291 -118.8189
24.700001 83.394 -119.9866
25.000000 83.458 -120.8895
25.400000 83.526 -122.0692
25.799999 83.581 -123.1661
26.200001 83.636 -124.1727
26.500000 83.682 -124.8951
26.900000 83.751 -125.8610
27.200001 83.805 -126.6024
27.600000 83.873 -127.6001
28.000000 83.935 -128.5676
28.500000 84.011 -129.6859
29.000000 84.090 -130.7176
29.500000 84.168 -131.7240
30.000000 84.230 -132.7381
30.400000 84.263 -133.5524
30.700001 84.279 -134.1653
31.100000 84.289 -134.9971
31.500000 84.292 -135.8617
32.000000 84.290 -136.9921
32.500000 84.293 -138.1437
33.000000 84.315 -139.2791
33.500000 84.362 -140.3983
34.000000 84.424 -141.5061
34.500000 84.481 -142.5592
35.000000 84.522 -143.4852
35.500000 84.554 -144.2687
36.000000 84.584 -144.9847
36.500000 84.612 -145.7295
37.000000 84.630 -146.5338
37.500000 84.638 -147.3632
38.200001 84.642 -148.5093
38.700001 84.647 -149.3190
39.500000 84.661 -150.6051
40.000000 84.676 -151.4238
40.599998 84.692 -152.4857
41.200001 84.680 -153.6069
41.799999 84.633 -154.6140
42.500000 84.590 -155.5570
43.099998 84.604 -156.4218
43.700001 84.640 -157.5066
44.400002 84.657 -158.7516
45.000000 84.658 -159.5199
45.500000 84.662 -160.0396
46.200001 84.647 -160.8851
46.799999 84.592 -161.6860
47.500000 84.520 -162.4382
48.200001 84.500 -163.0412
48.700001 84.504 -163.5035
49.400002 84.489 -164.1678
50.000000 84.449 -164.6868
50.799999 84.383 -165.4478
51.500000 84.319 -166.2476
52.200001 84.255 -166.9608
53.000000 84.200 -167.5267
53.799999 84.150 -168.0231
54.500000 84.090 -168.5177
55.200001 84.022 -169.0326
56.000000 83.963 -169.5927
57.000000 83.913 -170.2488
58.000000 83.850 -170.8748
59.000000 83.763 -171.4203
60.000000 83.671 -171.7774
60.799999 83.608 -171.9088
61.500000 83.565 -171.9889
62.200001 83.529 -172.1089
63.000000 83.494 -172.3114
64.000000 83.454 -172.5843
65.000000 83.416 -172.8303
66.000000 83.374 -173.1660
67.000000 83.326 -173.5172
68.000000 83.303 -173.6676
69.000000 83.312 -173.7161
70.000000 83.310 -173.8599
71.000000 83.268 -174.0341
72.000000 83.238 -174.0484
73.000000 83.279 -174.0921
74.000000 83.351 -174.3470
75.000000 83.400 -174.5866
76.199997 83.441 -174.8188
77.500000 83.494 -175.2984
78.800003 83.554 -175.9903
80.000000 83.582 -176.6873
81.199997 83.587 -177.4425
82.500000 83.581 -178.2738
83.800003 83.579 -179.0405
85.000000 83.564 -179.9126
86.199997 83.519 179.1281
87.500000 83.456 178.1944
88.500000 83.402 177.5733
90.000000 83.307 176.7170
91.199997 83.210 176.1105
92.500000 83.098 175.5179
93.800003 82.998 174.9095
95.000000 82.920 174.4739
96.199997 82.835 174.1838
97.500000 82.724 173.8452
98.800003 82.606 173.5057
100.000000 82.498 173.3779
101.500000 82.352 173.3274
103.000000 82.222 173.2836
104.400002 82.136 173.4216
106.000000 82.031 173.8026
107.500000 81.935 174.0439
109.000000 81.874 174.2321
110.599998 81.781 174.6346
112.000000 81.703 175.1077
113.800003 81.702 175.2844
115.000000 81.693 175.3751
117.199997 81.634 175.6616
118.000000 81.606 175.7003
120.599998 81.560 175.7225
122.000000 81.598 175.9040
124.099998 81.614 176.0578
125.000000 81.612 176.0497
126.500000 81.610 176.0829
128.000000 81.614 176.1520
131.500000 81.586 176.2789
132.000000 81.581 176.2756
134.000000 81.559 176.1705
136.000000 81.528 176.1104
138.000000 81.509 176.1490
140.000000 81.492 176.2238
143.000000 81.473 176.3552
145.000000 81.465 176.3716
147.500000 81.445 176.3914
150.000000 81.430 176.4724
152.500000 81.420 176.5814
155.000000 81.412 176.6304
157.500000 81.422 176.6523
160.000000 81.425 176.6208
162.500000 81.427 176.6176
165.000000 81.433 176.5796
167.500000 81.433 176.4270
170.000000 81.426 176.3123
172.500000 81.425 176.1857
175.000000 81.419 176.0097
177.500000 81.402 175.8579
180.000000 81.382 175.7858
182.500000 81.355 175.7518
185.000000 81.334 175.7795
187.500000 81.326 175.8422
190.000000 81.317 175.8118
192.500000 81.320 175.8512
195.000000 81.334 175.8283
197.500000 81.335 175.6259
200.000000 81.321 175.4245
203.000000 81.301 175.2931
206.000000 81.291 175.2240
209.000000 81.288 175.1054
212.000000 81.279 174.9404
214.000000 81.264 174.8257
218.000000 81.239 174.6263
220.000000 81.230 174.5208
224.000000 81.201 174.3602
227.000000 81.177 174.2788
230.000000 81.156 174.2049
233.000000 81.137 174.1302
236.000000 81.111 174.0602
240.000000 81.074 173.9898
243.000000 81.055 173.9529
247.000000 81.038 173.8882
250.000000 81.027 173.8074
254.000000 81.001 173.7070
258.000000 80.961 173.6209
262.000000 80.931 173.5435
265.000000 80.913 173.4795
269.000000 80.890 173.3939
272.000000 80.868 173.3144
276.000000 80.824 173.2130
280.000000 80.774 173.2137
285.000000 80.733 173.3274
290.000000 80.704 173.4011
295.000000 80.685 173.4312
300.000000 80.660 173.5023
304.000000 80.644 173.5008
307.000000 80.634 173.4656
311.000000 80.613 173.3837
315.000000 80.581 173.2985
320.000000 80.541 173.2880
325.000000 80.512 173.3043
330.000000 80.480 173.2784
335.000000 80.451 173.2499
340.000000 80.421 173.2232
345.000000 80.386 173.2247
350.000000 80.352 173.2485
355.000000 80.317 173.2607
360.000000 80.275 173.3101
365.000000 80.238 173.4096
370.000000 80.213 173.4974
375.000000 80.190 173.5877
382.000000 80.146 173.8030
387.000000 80.115 173.9252
395.000000 80.083 174.1228
400.000000 80.069 174.2085
406.000000 80.051 174.2961
412.000000 80.028 174.4044
418.000000 80.008 174.5060
425.000000 79.979 174.5658
431.000000 79.953 174.6137
437.000000 79.934 174.6761
444.000000 79.913 174.7459
450.000000 79.894 174.8279
455.000000 79.881 174.8841
462.000000 79.866 174.9651
468.000000 79.855 175.0161
475.000000 79.838 175.0349
482.000000 79.814 175.0650
487.000000 79.798 175.0631
494.000000 79.779 175.0659
500.000000 79.755 175.0784
508.000000 79.713 175.0972
515.000000 79.676 175.1265
522.000000 79.637 175.1462
530.000000 79.593 175.2089
538.000000 79.552 175.3279
545.000000 79.517 175.4574
552.000000 79.485 175.5821
560.000000 79.454 175.7271
570.000000 79.418 175.9120
580.000000 79.385 176.0029
590.000000 79.346 176.0153
600.000000 79.289 175.9947
608.000000 79.228 176.0379
615.000000 79.170 176.1663
622.000000 79.115 176.3473
630.000000 79.057 176.5970
640.000000 78.998 176.9763
650.000000 78.952 177.4126
660.000000 78.917 177.8541
670.000000 78.891 178.1813
680.000000 78.864 178.4305
690.000000 78.827 178.6844
700.000000 78.788 178.9889
710.000000 78.756 179.3225
720.000000 78.727 179.6553
730.000000 78.691 179.9611
740.000000 78.653 -179.7124
750.000000 78.620 -179.3947
762.000000 78.584 -178.9932
775.000000 78.542 -178.5545
788.000000 78.500 -178.1102
800.000000 78.460 -177.6231
812.000000 78.417 -177.0760
825.000000 78.383 -176.3672
838.000000 78.387 -175.6716
850.000000 78.409 -175.1043
862.000000 78.443 -174.5804
875.000000 78.495 -174.2772
885.000000 78.526 -174.2711
900.000000 78.520 -174.3895
912.000000 78.473 -174.3513
925.000000 78.417 -174.0707
938.000000 78.379 -173.7630
950.000000 78.335 -173.5103
962.000000 78.286 -173.1535
975.000000 78.246 -172.6852
988.000000 78.216 -172.2177
1000.000000 78.181 -171.8644
1015.000000 78.123 -171.3343
1030.000000 78.068 -170.6629
1044.000000 78.025 -169.8906
1060.000000 78.010 -168.9414
1075.000000 78.012 -168.2236
1090.000000 78.005 -167.5488
1106.000000 77.997 -166.8209
1120.000000 77.992 -166.1597
1138.000000 77.997 -165.1744
1150.000000 78.016 -164.4769
1172.000000 78.082 -163.3642
1180.000000 78.105 -163.0039
1206.000000 78.227 -161.8649
1220.000000 78.300 -161.7094
1241.000000 78.315 -161.7204
1250.000000 78.294 -161.5471
1265.000000 78.269 -160.9500
1280.000000 78.275 -160.3059
1315.000000 78.333 -158.8631
1320.000000 78.348 -158.6499
1340.000000 78.424 -157.9637
1360.000000 78.465 -157.6492
1380.000000 78.457 -157.1664
1400.000000 78.465 -156.3245
1430.000000 78.561 -155.3210
1450.000000 78.590 -154.8231
1475.000000 78.625 -154.0503
1500.000000 78.655 -153.4663
1525.000000 78.637 -152.5261
1550.000000 78.689 -151.2395
1575.000000 78.784 -150.3087
1600.000000 78.843 -149.5586
1625.000000 78.894 -148.5703
1650.000000 78.993 -147.5579
1675.000000 79.074 -146.7925
1700.000000 79.164 -145.7930
1725.000000 79.295 -145.0944
1750.000000 79.377 -144.7241
1775.000000 79.423 -144.0761
1800.000000 79.480 -143.2802
1825.000000 79.527 -142.4564
1850.000000 79.573 -141.3272
1875.000000 79.653 -140.0510
1900.000000 79.782 -138.7274
1925.000000 79.937 -137.6047
1950.000000 80.112 -136.5744
1975.000000 80.296 -135.8528
2000.000000 80.431 -135.2499
2030.000000 80.604 -133.9416
2060.000000 80.867 -132.8742
2090.000000 81.107 -132.3373
2120.000000 81.300 -131.5656
2140.000000 81.466 -130.8113
2180.000000 81.876 -130.0130
2200.000000 82.064 -129.9501
2240.000000 82.340 -129.8420
2270.000000 82.569 -129.1352
2300.000000 82.867 -128.7732
2330.000000 83.138 -128.7074
2360.000000 83.410 -128.5218
2400.000000 83.817 -128.3290
2430.000000 84.171 -128.5865
2470.000000 84.572 -129.6699
2500.000000 84.841 -130.3630
2540.000000 85.198 -131.6947
2580.000000 85.472 -133.1388
2620.000000 85.739 -134.4857
2650.000000 85.926 -135.6126
2690.000000 86.134 -137.1564
2720.000000 86.272 -138.1994
2760.000000 86.459 -139.5172
2800.000000 86.649 -140.8784
2850.000000 86.901 -142.5844
2900.000000 87.154 -144.7976
2950.000000 87.350 -147.5230
3000.000000 87.422 -150.2710
3040.000000 87.438 -152.3045
3070.000000 87.419 -153.7370
3110.000000 87.370 -155.3429
3150.000000 87.338 -156.6427
3200.000000 87.322 -158.3871
3250.000000 87.279 -160.0387
3300.000000 87.242 -161.6825
3350.000000 87.189 -163.3800
3400.000000 87.116 -165.1032
3450.000000 87.005 -166.7976
3500.000000 86.869 -168.3605
3550.000000 86.702 -169.9084
3600.000000 86.490 -171.2705
3650.000000 86.236 -172.2910
3700.000000 85.958 -172.6875
3750.000000 85.743 -172.2939
3820.000000 85.672 -171.7842
3870.000000 85.704 -172.2985
3950.000000 85.610 -174.5723
4000.000000 85.401 -175.9419
4060.000000 85.072 -177.0258
4120.000000 84.705 -177.4343
4180.000000 84.356 -177.1819
4250.000000 84.015 -176.4453
4310.000000 83.767 -175.8217
4370.000000 83.497 -175.2650
4440.000000 83.138 -174.1410
4500.000000 82.834 -172.3832
4550.000000 82.662 -170.4706
4620.000000 82.537 -167.9347
4680.000000 82.479 -166.0923
4750.000000 82.392 -164.1140
4820.000000 82.289 -161.8140
4870.000000 82.236 -159.8868
4940.000000 82.219 -156.8988
5000.000000 82.264 -154.1230
5080.000000 82.426 -150.2445
5150.000000 82.662 -146.8096
5220.000000 82.993 -143.2809
5300.000000 83.553 -139.1013
5380.000000 84.358 -135.5907
5450.000000 85.215 -133.7027
5520.000000 86.149 -133.2292
