* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 14, 2024 9:13:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MDR-MV1 R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.553 -103.6708
20.600000 81.632 -104.4997
20.900000 81.715 -105.3735
21.200001 81.794 -106.2306
21.400000 81.848 -106.7972
21.799999 81.962 -107.9424
22.000000 82.024 -108.5312
22.400000 82.155 -109.7574
22.700001 82.257 -110.7191
23.000000 82.358 -111.7041
23.299999 82.455 -112.6908
23.600000 82.544 -113.6537
24.000000 82.649 -114.8606
24.299999 82.721 -115.6918
24.700001 82.812 -116.7089
25.000000 82.881 -117.4288
25.400000 82.973 -118.3843
25.799999 83.065 -119.3810
26.200001 83.150 -120.4276
26.500000 83.206 -121.2237
26.900000 83.272 -122.2585
27.200001 83.320 -122.9995
27.600000 83.388 -123.9564
28.000000 83.460 -124.9307
28.500000 83.548 -126.2404
29.000000 83.615 -127.6036
29.500000 83.663 -128.8464
30.000000 83.720 -129.8522
30.400000 83.791 -130.5411
30.700001 83.859 -131.0628
31.100000 83.953 -131.8342
31.500000 84.030 -132.7005
32.000000 84.079 -133.8127
32.500000 84.086 -134.8199
33.000000 84.082 -135.7045
33.500000 84.095 -136.5862
34.000000 84.132 -137.5782
34.500000 84.181 -138.6860
35.000000 84.231 -139.8356
35.500000 84.274 -140.9510
36.000000 84.307 -141.9875
36.500000 84.330 -142.9327
37.000000 84.350 -143.8027
37.500000 84.370 -144.6279
38.200001 84.398 -145.7308
38.700001 84.413 -146.4702
39.500000 84.423 -147.5977
40.000000 84.417 -148.3013
40.599998 84.401 -149.1397
41.200001 84.400 -149.9967
41.799999 84.425 -150.9919
42.500000 84.451 -152.3713
43.099998 84.445 -153.5090
43.700001 84.431 -154.4135
44.400002 84.442 -155.3163
45.000000 84.457 -156.1639
45.500000 84.452 -156.8940
46.200001 84.415 -157.7920
46.799999 84.376 -158.4605
47.500000 84.329 -159.2619
48.200001 84.279 -160.0880
48.700001 84.251 -160.6620
49.400002 84.225 -161.4613
50.000000 84.201 -162.1321
50.799999 84.159 -162.9130
51.500000 84.134 -163.5339
52.200001 84.118 -164.2094
53.000000 84.094 -164.9522
53.799999 84.073 -165.5290
54.500000 84.062 -166.0188
55.200001 84.041 -166.6003
56.000000 83.998 -167.3008
57.000000 83.937 -168.1650
58.000000 83.872 -169.0836
59.000000 83.799 -169.9640
60.000000 83.726 -170.7259
60.799999 83.666 -171.3133
61.500000 83.606 -171.8594
62.200001 83.542 -172.3733
63.000000 83.477 -172.8343
64.000000 83.396 -173.2204
65.000000 83.307 -173.4276
66.000000 83.259 -173.7576
67.000000 83.220 -174.2019
68.000000 83.142 -174.1626
69.000000 83.049 -173.8417
70.000000 82.978 -173.8197
71.000000 82.964 -174.0556
72.000000 82.975 -174.2151
73.000000 82.954 -174.2609
74.000000 82.915 -174.3679
75.000000 82.913 -174.6145
76.199997 82.946 -174.9807
77.500000 82.961 -175.3227
78.800003 82.965 -175.7653
80.000000 82.971 -176.1802
81.199997 82.968 -176.5878
82.500000 82.938 -177.0718
83.800003 82.905 -177.4295
85.000000 82.913 -177.9236
86.199997 82.913 -178.6623
87.500000 82.889 -179.3054
88.500000 82.861 -179.7532
90.000000 82.790 179.5719
91.199997 82.733 179.1660
92.500000 82.683 178.7244
93.800003 82.608 178.2319
95.000000 82.513 177.7329
96.199997 82.416 177.2997
97.500000 82.326 177.0438
98.800003 82.235 176.9449
100.000000 82.155 176.8446
101.500000 82.072 176.7391
103.000000 81.987 176.7017
104.400002 81.921 176.7142
106.000000 81.862 176.8002
107.500000 81.787 176.8718
109.000000 81.725 177.0972
110.599998 81.644 177.4589
112.000000 81.592 177.5325
113.800003 81.584 177.1890
115.000000 81.559 177.1062
117.199997 81.462 177.2686
118.000000 81.414 177.4807
120.599998 81.282 178.2191
122.000000 81.294 178.2959
124.099998 81.301 178.5670
125.000000 81.293 178.6577
126.500000 81.282 178.7997
128.000000 81.282 178.9461
131.500000 81.320 179.2781
132.000000 81.321 179.3626
134.000000 81.311 179.5559
136.000000 81.315 179.3682
138.000000 81.341 179.2267
140.000000 81.352 179.2575
143.000000 81.339 179.3133
145.000000 81.325 179.3115
147.500000 81.324 179.2297
150.000000 81.332 179.2644
152.500000 81.325 179.2389
155.000000 81.319 179.0430
157.500000 81.315 178.8864
160.000000 81.306 178.8059
162.500000 81.300 178.7069
165.000000 81.292 178.5998
167.500000 81.285 178.5126
170.000000 81.271 178.4211
172.500000 81.260 178.3531
175.000000 81.246 178.2362
177.500000 81.222 178.0367
180.000000 81.202 177.8844
182.500000 81.182 177.8706
185.000000 81.158 177.9494
187.500000 81.141 177.9315
190.000000 81.125 177.7785
192.500000 81.118 177.6613
195.000000 81.109 177.5130
197.500000 81.081 177.3822
200.000000 81.042 177.3352
203.000000 80.989 177.2733
206.000000 80.929 177.2570
209.000000 80.872 177.3746
212.000000 80.819 177.6494
214.000000 80.784 177.9612
218.000000 80.757 178.8495
220.000000 80.798 179.2379
224.000000 80.929 179.4810
227.000000 80.998 179.2668
230.000000 81.036 178.8708
233.000000 81.052 178.4512
236.000000 81.048 178.1395
240.000000 81.032 177.8207
243.000000 81.005 177.5322
247.000000 80.946 177.2125
250.000000 80.897 177.1066
254.000000 80.843 177.1587
258.000000 80.807 177.2916
262.000000 80.787 177.3505
265.000000 80.776 177.3622
269.000000 80.755 177.3289
272.000000 80.739 177.2938
276.000000 80.712 177.2630
280.000000 80.679 177.2574
285.000000 80.644 177.3068
290.000000 80.615 177.3709
295.000000 80.591 177.4040
300.000000 80.563 177.4123
304.000000 80.540 177.4370
307.000000 80.523 177.4699
311.000000 80.502 177.5321
315.000000 80.479 177.6089
320.000000 80.448 177.7086
325.000000 80.419 177.7988
330.000000 80.396 177.8754
335.000000 80.381 177.9492
340.000000 80.365 178.0270
345.000000 80.346 178.1117
350.000000 80.329 178.1544
355.000000 80.313 178.2144
360.000000 80.293 178.3178
365.000000 80.272 178.3763
370.000000 80.250 178.3847
375.000000 80.224 178.4025
382.000000 80.175 178.5096
387.000000 80.141 178.6779
395.000000 80.106 179.0391
400.000000 80.091 179.2735
406.000000 80.086 179.5427
412.000000 80.092 179.7917
418.000000 80.109 179.9368
425.000000 80.123 179.9341
431.000000 80.121 179.9218
437.000000 80.111 179.9481
444.000000 80.097 179.9622
450.000000 80.086 179.9597
455.000000 80.073 179.9477
462.000000 80.047 179.9588
468.000000 80.024 179.9716
475.000000 79.998 179.9926
482.000000 79.975 -179.9409
487.000000 79.962 -179.9082
494.000000 79.937 -179.8904
500.000000 79.910 -179.8345
508.000000 79.874 -179.7080
515.000000 79.845 -179.5826
522.000000 79.822 -179.4901
530.000000 79.793 -179.4106
538.000000 79.764 -179.2922
545.000000 79.739 -179.1969
552.000000 79.711 -179.1414
560.000000 79.676 -179.0826
570.000000 79.635 -179.0015
580.000000 79.599 -178.9451
590.000000 79.552 -178.9939
600.000000 79.469 -179.1366
608.000000 79.364 -179.1548
615.000000 79.257 -178.9945
622.000000 79.151 -178.6426
630.000000 79.046 -178.0271
640.000000 78.950 -177.0087
650.000000 78.905 -175.8853
660.000000 78.912 -174.9650
670.000000 78.928 -174.3466
680.000000 78.922 -173.7332
690.000000 78.918 -173.0225
700.000000 78.934 -172.3148
710.000000 78.965 -171.6533
720.000000 79.009 -171.0713
730.000000 79.063 -170.5964
740.000000 79.120 -170.2452
750.000000 79.171 -169.9857
762.000000 79.223 -169.8385
775.000000 79.251 -169.8052
788.000000 79.272 -169.7403
800.000000 79.274 -169.7805
812.000000 79.247 -169.7720
825.000000 79.199 -169.6403
838.000000 79.145 -169.3577
850.000000 79.106 -168.9901
862.000000 79.075 -168.5928
875.000000 79.042 -168.1694
885.000000 79.011 -167.7969
900.000000 78.986 -167.0681
912.000000 78.978 -166.5842
925.000000 78.963 -166.0851
938.000000 78.954 -165.6101
950.000000 78.945 -165.2023
962.000000 78.934 -164.7863
975.000000 78.917 -164.3226
988.000000 78.889 -163.8198
1000.000000 78.862 -163.2861
1015.000000 78.842 -162.4994
1030.000000 78.841 -161.7564
1044.000000 78.841 -161.1145
1060.000000 78.844 -160.4790
1075.000000 78.811 -159.9187
1090.000000 78.740 -159.0033
1106.000000 78.710 -157.4558
1120.000000 78.749 -156.0224
1138.000000 78.890 -154.4084
1150.000000 79.006 -153.6784
1172.000000 79.210 -152.8317
1180.000000 79.273 -152.6492
1206.000000 79.434 -152.1667
1220.000000 79.497 -152.0012
1241.000000 79.536 -151.7563
1250.000000 79.542 -151.4826
1265.000000 79.570 -150.8332
1280.000000 79.628 -150.2084
1315.000000 79.763 -149.2015
1320.000000 79.777 -149.0539
1340.000000 79.835 -148.3842
1360.000000 79.902 -147.6787
1380.000000 79.975 -146.8746
1400.000000 80.073 -146.0484
1430.000000 80.250 -145.0545
1450.000000 80.376 -144.5805
1475.000000 80.511 -144.2312
1500.000000 80.604 -143.7700
1525.000000 80.718 -143.1800
1550.000000 80.833 -142.8694
1575.000000 80.887 -142.5141
1600.000000 80.946 -141.7393
1625.000000 81.045 -140.8481
1650.000000 81.172 -140.1823
1675.000000 81.271 -139.5366
1700.000000 81.396 -138.7258
1725.000000 81.540 -138.1182
1750.000000 81.653 -137.6310
1775.000000 81.758 -136.8741
1800.000000 81.898 -136.0578
1825.000000 82.050 -135.3139
1850.000000 82.215 -134.5069
1875.000000 82.419 -133.7152
1900.000000 82.647 -133.2255
1925.000000 82.864 -133.0061
1950.000000 83.063 -132.8927
1975.000000 83.247 -132.8434
2000.000000 83.407 -132.7931
2030.000000 83.618 -132.5291
2060.000000 83.829 -132.6522
2090.000000 83.989 -132.6171
2120.000000 84.164 -132.3606
2140.000000 84.294 -132.1165
2180.000000 84.619 -131.7138
2200.000000 84.798 -131.7189
2240.000000 85.135 -132.1208
2270.000000 85.364 -132.5292
2300.000000 85.574 -133.1019
2330.000000 85.735 -133.6287
2360.000000 85.903 -133.8150
2400.000000 86.171 -134.2196
2430.000000 86.365 -134.5652
2470.000000 86.645 -135.0450
2500.000000 86.866 -135.4182
2540.000000 87.219 -136.2307
2580.000000 87.536 -137.6588
2620.000000 87.816 -139.3806
2650.000000 87.965 -140.8522
2690.000000 88.115 -142.5496
2720.000000 88.221 -143.7125
2760.000000 88.352 -145.2516
2800.000000 88.456 -146.7707
2850.000000 88.573 -148.1993
2900.000000 88.782 -149.7175
2950.000000 88.979 -151.8054
3000.000000 89.120 -154.2719
3040.000000 89.168 -156.2454
3070.000000 89.180 -157.6289
3110.000000 89.194 -159.2677
3150.000000 89.218 -161.0295
3200.000000 89.179 -163.3111
3250.000000 89.119 -165.1569
3300.000000 89.090 -167.0583
3350.000000 89.029 -169.2206
3400.000000 88.904 -171.3964
3450.000000 88.717 -173.3965
3500.000000 88.478 -175.0059
3550.000000 88.236 -176.1101
3600.000000 88.005 -176.9766
3650.000000 87.780 -177.5760
3700.000000 87.563 -177.8346
3750.000000 87.403 -177.6581
3820.000000 87.354 -177.5430
3870.000000 87.371 -178.3763
3950.000000 87.200 179.4080
4000.000000 87.000 178.4590
4060.000000 86.758 177.5925
4120.000000 86.486 176.9366
4180.000000 86.204 176.6655
4250.000000 85.888 176.6952
4310.000000 85.638 176.9688
4370.000000 85.412 177.3299
4440.000000 85.154 177.6646
4500.000000 84.897 178.0594
4550.000000 84.667 178.6599
4620.000000 84.349 179.9662
4680.000000 84.100 -178.5267
4750.000000 83.851 -176.4285
4820.000000 83.644 -173.9934
4870.000000 83.524 -171.9945
4940.000000 83.412 -168.8576
5000.000000 83.372 -165.8288
5080.000000 83.449 -161.1877
5150.000000 83.700 -156.7561
5220.000000 84.161 -152.4366
5300.000000 84.960 -148.3258
5380.000000 85.956 -146.1514
5450.000000 86.857 -145.9407
