* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:20:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Bass A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.122 -92.6811
20.600000 91.246 -93.4999
20.900000 91.385 -94.3977
21.200001 91.524 -95.3082
21.400000 91.617 -95.9159
21.799999 91.801 -97.1202
22.000000 91.892 -97.7119
22.400000 92.074 -98.8677
22.700001 92.209 -99.7118
23.000000 92.340 -100.5423
23.299999 92.469 -101.3672
23.600000 92.594 -102.1952
24.000000 92.756 -103.3159
24.299999 92.874 -104.1736
24.700001 93.027 -105.3381
25.000000 93.139 -106.2200
25.400000 93.284 -107.3902
25.799999 93.424 -108.5350
26.200001 93.562 -109.6419
26.500000 93.664 -110.4482
26.900000 93.799 -111.5032
27.200001 93.899 -112.2909
27.600000 94.031 -113.3524
28.000000 94.159 -114.4356
28.500000 94.315 -115.8159
29.000000 94.465 -117.2016
29.500000 94.609 -118.5636
30.000000 94.750 -119.8876
30.400000 94.859 -120.9237
30.700001 94.939 -121.6938
31.100000 95.043 -122.7186
31.500000 95.143 -123.7451
32.000000 95.263 -125.0265
32.500000 95.380 -126.2982
33.000000 95.498 -127.5642
33.500000 95.617 -128.8408
34.000000 95.730 -130.1335
34.500000 95.834 -131.4202
35.000000 95.931 -132.6682
35.500000 96.027 -133.8724
36.000000 96.128 -135.0685
36.500000 96.234 -136.3020
37.000000 96.337 -137.5855
37.500000 96.431 -138.8913
38.200001 96.549 -140.6998
38.700001 96.628 -141.9815
39.500000 96.744 -144.0779
40.000000 96.805 -145.4185
40.599998 96.868 -147.0214
41.200001 96.928 -148.5996
41.799999 96.987 -150.1723
42.500000 97.052 -152.0105
43.099998 97.098 -153.5497
43.700001 97.137 -155.0347
44.400002 97.177 -156.7576
45.000000 97.199 -158.2711
45.500000 97.203 -159.5302
46.200001 97.196 -161.2154
46.799999 97.191 -162.5941
47.500000 97.185 -164.1878
48.200001 97.164 -165.7338
48.700001 97.143 -166.7681
49.400002 97.115 -168.1489
50.000000 97.091 -169.3263
50.799999 97.047 -170.8553
51.500000 97.007 -172.0937
52.200001 96.976 -173.2828
53.000000 96.943 -174.6099
53.799999 96.911 -175.8412
54.500000 96.892 -176.8842
55.200001 96.875 -177.9689
56.000000 96.851 -179.2298
57.000000 96.830 179.2061
58.000000 96.816 177.5972
59.000000 96.790 175.9432
60.000000 96.750 174.2576
60.799999 96.714 172.9097
61.500000 96.681 171.7079
62.200001 96.638 170.4603
63.000000 96.567 169.0334
64.000000 96.454 167.3948
65.000000 96.339 165.8927
66.000000 96.208 164.4402
67.000000 96.051 163.1469
68.000000 95.899 162.0893
69.000000 95.764 161.1718
70.000000 95.630 160.3535
71.000000 95.499 159.6772
72.000000 95.388 159.1426
73.000000 95.308 158.6893
74.000000 95.253 158.2243
75.000000 95.219 157.6209
76.199997 95.185 156.6337
77.500000 95.124 155.4678
78.800003 95.038 154.4435
80.000000 94.963 153.6754
81.199997 94.921 153.0056
82.500000 94.920 152.2101
83.800003 94.951 151.1153
85.000000 94.979 149.7574
86.199997 94.987 148.0956
87.500000 94.956 146.0219
88.500000 94.893 144.3263
90.000000 94.730 141.7699
91.199997 94.541 139.8050
92.500000 94.283 137.8930
93.800003 93.978 136.3256
95.000000 93.669 135.2229
96.199997 93.349 134.4959
97.500000 93.016 134.1452
98.800003 92.714 134.1869
100.000000 92.472 134.5096
101.500000 92.232 135.1455
103.000000 92.063 135.8456
104.400002 91.963 136.4124
106.000000 91.900 136.8528
107.500000 91.869 137.0043
109.000000 91.844 136.9067
110.599998 91.811 136.6039
112.000000 91.770 136.2507
113.800003 91.703 135.7567
115.000000 91.657 135.4185
117.199997 91.582 134.7938
118.000000 91.556 134.5527
120.599998 91.482 133.7101
122.000000 91.443 133.2134
124.099998 91.375 132.3561
125.000000 91.342 131.9647
126.500000 91.282 131.3102
128.000000 91.219 130.6667
131.500000 91.062 129.1776
132.000000 91.039 128.9614
134.000000 90.947 128.0902
136.000000 90.854 127.2200
138.000000 90.762 126.3551
140.000000 90.674 125.4487
143.000000 90.545 123.9734
145.000000 90.450 122.8637
147.500000 90.317 121.3431
150.000000 90.154 119.7333
152.500000 89.955 118.0368
155.000000 89.713 116.3731
157.500000 89.424 114.8880
160.000000 89.104 113.6798
162.500000 88.768 112.7424
165.000000 88.417 112.1492
167.500000 88.072 112.1328
170.000000 87.812 112.6676
172.500000 87.684 113.0927
175.000000 87.624 112.8082
177.500000 87.544 111.8399
180.000000 87.403 110.5179
182.500000 87.199 109.1206
185.000000 86.946 107.7915
187.500000 86.659 106.6239
190.000000 86.349 105.5945
192.500000 86.022 104.7012
195.000000 85.679 103.9623
197.500000 85.320 103.3504
200.000000 84.947 102.8531
203.000000 84.493 102.4727
206.000000 84.035 102.3314
209.000000 83.564 102.4310
212.000000 83.081 102.7120
214.000000 82.751 103.0058
218.000000 82.067 104.0885
220.000000 81.729 105.0406
224.000000 81.150 107.5939
227.000000 80.816 109.4735
230.000000 80.512 111.1324
233.000000 80.207 112.7761
236.000000 79.901 114.5125
240.000000 79.514 117.0851
243.000000 79.257 119.2042
247.000000 78.963 122.1806
250.000000 78.778 124.4912
254.000000 78.588 127.6094
258.000000 78.463 130.6632
262.000000 78.383 133.5762
265.000000 78.348 135.6482
269.000000 78.338 138.2200
272.000000 78.352 140.0391
276.000000 78.393 142.3390
280.000000 78.462 144.5116
285.000000 78.574 146.9688
290.000000 78.722 149.0396
295.000000 78.902 150.5964
300.000000 79.059 151.7301
304.000000 79.158 152.4238
307.000000 79.220 152.8648
311.000000 79.284 153.4300
315.000000 79.342 153.9902
320.000000 79.415 154.6558
325.000000 79.469 155.2393
330.000000 79.501 155.7463
335.000000 79.529 156.2382
340.000000 79.558 156.6899
345.000000 79.581 157.0982
350.000000 79.594 157.4756
355.000000 79.600 157.8456
360.000000 79.602 158.1900
365.000000 79.600 158.5214
370.000000 79.596 158.8130
375.000000 79.591 159.0982
382.000000 79.568 159.4694
387.000000 79.532 159.7101
395.000000 79.453 160.1502
400.000000 79.403 160.4824
406.000000 79.340 160.9201
412.000000 79.270 161.3480
418.000000 79.190 161.8438
425.000000 79.081 162.5671
431.000000 78.981 163.4569
437.000000 78.911 164.7113
444.000000 78.923 166.2823
450.000000 78.994 167.2372
455.000000 79.051 167.7075
462.000000 79.095 168.1423
468.000000 79.109 168.5089
475.000000 79.116 168.9606
482.000000 79.118 169.3677
487.000000 79.114 169.6407
494.000000 79.105 170.0221
500.000000 79.094 170.3612
508.000000 79.076 170.8290
515.000000 79.065 171.2393
522.000000 79.061 171.6279
530.000000 79.060 172.0002
538.000000 79.053 172.2841
545.000000 79.040 172.4700
552.000000 79.022 172.6076
560.000000 78.992 172.6963
570.000000 78.925 172.7824
580.000000 78.828 172.9576
590.000000 78.711 173.1757
600.000000 78.582 173.4523
608.000000 78.468 173.7350
615.000000 78.362 174.0439
622.000000 78.253 174.4171
630.000000 78.126 174.9013
640.000000 77.965 175.5840
650.000000 77.794 176.3870
660.000000 77.615 177.3209
670.000000 77.439 178.3843
680.000000 77.267 179.5782
690.000000 77.101 -179.0771
700.000000 76.940 -177.5709
710.000000 76.787 -175.9085
720.000000 76.651 -174.0954
730.000000 76.529 -172.1617
740.000000 76.425 -170.1514
750.000000 76.345 -168.0755
762.000000 76.279 -165.4710
775.000000 76.251 -162.5935
788.000000 76.269 -159.7085
800.000000 76.322 -157.0320
812.000000 76.407 -154.4110
825.000000 76.532 -151.6175
838.000000 76.696 -148.9233
850.000000 76.874 -146.5246
862.000000 77.072 -144.1828
875.000000 77.317 -141.6693
885.000000 77.544 -139.7670
900.000000 77.975 -137.2743
912.000000 78.374 -135.8933
925.000000 78.802 -135.0972
938.000000 79.180 -134.8651
950.000000 79.473 -134.9134
962.000000 79.719 -135.0313
975.000000 79.950 -135.1779
988.000000 80.152 -135.3357
1000.000000 80.320 -135.4752
1015.000000 80.510 -135.6163
1030.000000 80.685 -135.7675
1044.000000 80.834 -135.9368
1060.000000 80.979 -136.1598
1075.000000 81.089 -136.4101
1090.000000 81.179 -136.6810
1106.000000 81.253 -136.9534
1120.000000 81.298 -137.1588
1138.000000 81.331 -137.3244
1150.000000 81.337 -137.3493
1172.000000 81.327 -137.1546
1180.000000 81.321 -136.9987
1206.000000 81.320 -136.2854
1220.000000 81.333 -135.8859
1241.000000 81.317 -135.3501
1250.000000 81.288 -134.9914
1265.000000 81.237 -134.0532
1280.000000 81.222 -132.8126
1315.000000 81.365 -130.1287
1320.000000 81.396 -129.8114
1340.000000 81.525 -128.6575
1360.000000 81.663 -127.6584
1380.000000 81.806 -126.8882
1400.000000 81.936 -126.3640
1430.000000 82.056 -125.8896
1450.000000 82.069 -125.6043
1475.000000 82.006 -125.0585
1500.000000 81.832 -124.0059
1525.000000 81.571 -121.4035
1550.000000 81.475 -116.5933
1575.000000 81.723 -111.3857
1600.000000 82.202 -107.3708
1625.000000 82.757 -104.6768
1650.000000 83.307 -102.8880
1675.000000 83.817 -101.7374
1700.000000 84.268 -100.9873
1725.000000 84.661 -100.2746
1750.000000 85.037 -99.3437
1775.000000 85.451 -98.2449
1800.000000 85.924 -97.3247
1825.000000 86.425 -96.9676
1850.000000 86.886 -97.1678
1875.000000 87.275 -97.4793
1900.000000 87.631 -97.5434
1925.000000 87.995 -97.4234
1950.000000 88.374 -97.3056
1975.000000 88.771 -97.3182
2000.000000 89.198 -97.5514
2030.000000 89.725 -98.3335
2060.000000 90.208 -99.6876
2090.000000 90.615 -101.3044
2120.000000 90.956 -102.9281
2140.000000 91.158 -103.9465
2180.000000 91.524 -105.7800
2200.000000 91.698 -106.6120
2240.000000 92.036 -108.1735
2270.000000 92.287 -109.3095
2300.000000 92.533 -110.4473
2330.000000 92.766 -111.5515
2360.000000 92.994 -112.5397
2400.000000 93.297 -113.7515
2430.000000 93.510 -114.7101
2470.000000 93.772 -116.0452
2500.000000 93.960 -116.9446
2540.000000 94.208 -117.8457
2580.000000 94.498 -118.2740
2620.000000 94.911 -118.3714
2650.000000 95.331 -118.5815
2690.000000 96.031 -119.5880
2720.000000 96.640 -121.3159
2760.000000 97.406 -125.6980
2800.000000 97.840 -131.7054
2850.000000 97.963 -138.3087
2900.000000 97.982 -143.4152
2950.000000 97.992 -147.9115
3000.000000 97.976 -152.0016
3040.000000 97.960 -154.8637
3070.000000 97.963 -156.8080
3110.000000 98.000 -159.3848
3150.000000 98.077 -162.3942
3200.000000 98.147 -167.0364
3250.000000 98.095 -172.1312
3300.000000 97.950 -177.3094
3350.000000 97.705 177.1872
3400.000000 97.249 171.5172
3450.000000 96.545 166.9197
3500.000000 95.795 164.1336
3550.000000 95.152 162.0688
3600.000000 94.519 159.9911
3650.000000 93.810 158.3505
3700.000000 93.043 157.6083
3750.000000 92.259 158.1785
3820.000000 91.454 161.8674
3870.000000 91.308 164.1893
3950.000000 91.120 164.0362
4000.000000 90.758 163.3671
4060.000000 90.176 163.3148
4120.000000 89.566 164.3898
4180.000000 89.001 166.4753
4250.000000 88.459 170.0100
4310.000000 88.166 173.7915
4370.000000 88.080 177.6049
4440.000000 88.169 -178.8592
4500.000000 88.299 -176.7210
4550.000000 88.405 -175.3616
4620.000000 88.534 -173.7890
4680.000000 88.633 -172.5312
4750.000000 88.757 -170.9116
4820.000000 88.960 -168.8723
4870.000000 89.211 -167.4096
4940.000000 89.646 -166.5521
5000.000000 89.956 -166.9964
5080.000000 90.297 -168.0775
5150.000000 90.574 -169.5809
5220.000000 90.745 -171.7743
5300.000000 90.756 -173.8861
5380.000000 90.839 -174.9456
5450.000000 91.026 -176.6935
5520.000000 91.114 -179.3714
5600.000000 91.075 177.6236
5700.000000 90.961 173.9755
5800.000000 90.758 170.1439
