* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:36:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Bass A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.267 -115.2893
20.600000 94.346 -116.1568
20.900000 94.432 -117.0799
21.200001 94.519 -117.9977
21.400000 94.578 -118.6110
21.799999 94.699 -119.8550
22.000000 94.760 -120.4864
22.400000 94.879 -121.7539
22.700001 94.963 -122.6889
23.000000 95.043 -123.5946
23.299999 95.121 -124.4658
23.600000 95.198 -125.3086
24.000000 95.300 -126.4119
24.299999 95.375 -127.2422
24.700001 95.473 -128.3653
25.000000 95.543 -129.2154
25.400000 95.630 -130.3417
25.799999 95.713 -131.4417
26.200001 95.793 -132.5111
26.500000 95.853 -133.3002
26.900000 95.933 -134.3493
27.200001 95.991 -135.1414
27.600000 96.065 -136.2060
28.000000 96.135 -137.2722
28.500000 96.215 -138.5876
29.000000 96.293 -139.8674
29.500000 96.370 -141.1110
30.000000 96.448 -142.3297
30.400000 96.509 -143.2947
30.700001 96.554 -144.0146
31.100000 96.611 -144.9692
31.500000 96.665 -145.9176
32.000000 96.730 -147.0950
32.500000 96.791 -148.2667
33.000000 96.850 -149.4321
33.500000 96.905 -150.5830
34.000000 96.957 -151.7102
34.500000 97.009 -152.8139
35.000000 97.060 -153.9060
35.500000 97.110 -154.9986
36.000000 97.157 -156.0946
36.500000 97.199 -157.1888
37.000000 97.238 -158.2748
37.500000 97.274 -159.3488
38.200001 97.320 -160.8293
38.700001 97.350 -161.8739
39.500000 97.396 -163.5377
40.000000 97.422 -164.5715
40.599998 97.452 -165.7928
41.200001 97.484 -166.9910
41.799999 97.519 -168.1834
42.500000 97.560 -169.5917
43.099998 97.592 -170.8288
43.700001 97.619 -172.1116
44.400002 97.641 -173.6658
45.000000 97.648 -175.0050
45.500000 97.651 -176.0987
46.200001 97.651 -177.6039
46.799999 97.646 -178.8911
47.500000 97.625 179.6249
48.200001 97.591 178.1838
48.700001 97.562 177.1725
49.400002 97.516 175.7787
50.000000 97.473 174.6273
50.799999 97.419 173.1580
51.500000 97.375 171.8886
52.200001 97.322 170.6321
53.000000 97.252 169.2593
53.799999 97.179 167.9458
54.500000 97.114 166.8281
55.200001 97.049 165.7562
56.000000 96.979 164.5830
57.000000 96.891 163.1390
58.000000 96.802 161.6849
59.000000 96.720 160.1829
60.000000 96.636 158.6574
60.799999 96.558 157.4725
61.500000 96.483 156.4620
62.200001 96.403 155.4576
63.000000 96.308 154.3043
64.000000 96.183 152.8466
65.000000 96.038 151.3882
66.000000 95.876 149.9645
67.000000 95.704 148.6072
68.000000 95.523 147.3860
69.000000 95.330 146.3105
70.000000 95.124 145.3203
71.000000 94.907 144.4719
72.000000 94.696 143.8177
73.000000 94.486 143.2730
74.000000 94.269 142.8122
75.000000 94.060 142.4884
76.199997 93.839 142.2778
77.500000 93.633 142.2153
78.800003 93.455 142.2183
80.000000 93.306 142.1634
81.199997 93.154 142.0458
82.500000 92.982 142.0061
83.800003 92.828 142.1627
85.000000 92.715 142.4817
86.199997 92.634 142.9051
87.500000 92.579 143.3178
88.500000 92.559 143.5214
90.000000 92.561 143.6095
91.199997 92.580 143.4708
92.500000 92.601 143.0927
93.800003 92.609 142.5409
95.000000 92.599 141.9490
96.199997 92.571 141.3124
97.500000 92.522 140.6242
98.800003 92.465 139.9849
100.000000 92.409 139.4718
101.500000 92.344 138.8978
103.000000 92.285 138.3147
104.400002 92.239 137.7489
106.000000 92.195 137.0296
107.500000 92.153 136.2302
109.000000 92.100 135.3150
110.599998 92.021 134.2441
112.000000 91.927 133.2865
113.800003 91.775 132.1005
115.000000 91.656 131.3997
117.199997 91.414 130.4250
118.000000 91.324 130.1694
120.599998 91.054 129.7145
122.000000 90.934 129.6730
124.099998 90.796 129.6321
125.000000 90.753 129.5900
126.500000 90.696 129.4662
128.000000 90.651 129.2603
131.500000 90.571 128.3944
132.000000 90.560 128.2280
134.000000 90.512 127.4818
136.000000 90.457 126.6148
138.000000 90.397 125.6425
140.000000 90.329 124.5581
143.000000 90.200 122.7197
145.000000 90.090 121.3338
147.500000 89.906 119.4677
150.000000 89.658 117.6159
152.500000 89.345 115.9111
155.000000 88.974 114.6345
157.500000 88.582 113.8510
160.000000 88.206 113.4861
162.500000 87.851 113.4220
165.000000 87.513 113.7635
167.500000 87.238 114.6195
170.000000 87.099 115.6038
172.500000 87.074 115.9714
175.000000 87.062 115.4066
177.500000 86.981 114.2417
180.000000 86.817 112.9730
182.500000 86.603 111.8647
185.000000 86.369 110.8610
187.500000 86.117 109.8610
190.000000 85.840 108.9039
192.500000 85.536 108.0263
195.000000 85.211 107.2941
197.500000 84.868 106.7045
200.000000 84.509 106.2164
203.000000 84.061 105.7885
206.000000 83.594 105.5474
209.000000 83.108 105.5458
212.000000 82.600 105.8497
214.000000 82.245 106.2544
218.000000 81.527 107.8762
220.000000 81.204 109.1374
224.000000 80.693 111.7780
227.000000 80.365 113.4988
230.000000 80.035 115.1488
233.000000 79.697 116.8956
236.000000 79.365 118.8354
240.000000 78.960 121.7787
243.000000 78.695 124.1730
247.000000 78.404 127.4270
250.000000 78.225 129.8909
254.000000 78.034 133.1997
258.000000 77.895 136.5291
262.000000 77.819 139.8712
265.000000 77.809 142.3295
269.000000 77.846 145.4307
272.000000 77.906 147.5114
276.000000 78.014 149.9106
280.000000 78.134 151.9805
285.000000 78.282 154.1822
290.000000 78.423 156.0362
295.000000 78.551 157.6758
300.000000 78.670 159.1885
304.000000 78.760 160.2837
307.000000 78.827 161.0491
311.000000 78.921 162.0271
315.000000 79.019 162.9322
320.000000 79.138 163.9091
325.000000 79.250 164.6814
330.000000 79.356 165.3359
335.000000 79.455 165.8972
340.000000 79.537 166.3352
345.000000 79.598 166.6426
350.000000 79.641 166.8984
355.000000 79.670 167.1295
360.000000 79.682 167.3793
365.000000 79.676 167.6784
370.000000 79.656 168.0066
375.000000 79.626 168.3610
382.000000 79.573 169.0205
387.000000 79.532 169.6536
395.000000 79.491 171.0311
400.000000 79.501 172.0600
406.000000 79.566 173.3075
412.000000 79.696 174.2844
418.000000 79.855 174.6398
425.000000 79.986 174.3946
431.000000 80.025 174.0089
437.000000 80.014 173.7123
444.000000 79.967 173.6031
450.000000 79.913 173.7111
455.000000 79.866 173.8867
462.000000 79.807 174.2002
468.000000 79.763 174.4910
475.000000 79.714 174.8726
482.000000 79.665 175.2770
487.000000 79.631 175.5871
494.000000 79.585 176.0445
500.000000 79.547 176.4559
508.000000 79.501 177.0209
515.000000 79.469 177.5141
522.000000 79.441 177.9624
530.000000 79.406 178.4346
538.000000 79.368 178.9068
545.000000 79.333 179.3054
552.000000 79.298 179.6625
560.000000 79.257 -179.9798
570.000000 79.198 -179.5634
580.000000 79.122 -179.1612
590.000000 79.032 -178.7502
600.000000 78.931 -178.3015
608.000000 78.840 -177.8742
615.000000 78.757 -177.4528
622.000000 78.676 -176.9857
630.000000 78.581 -176.4073
640.000000 78.456 -175.6450
650.000000 78.327 -174.8578
660.000000 78.191 -174.0345
670.000000 78.042 -173.1164
680.000000 77.883 -172.0202
690.000000 77.730 -170.7365
700.000000 77.586 -169.3010
710.000000 77.455 -167.7396
720.000000 77.342 -166.0679
730.000000 77.241 -164.3439
740.000000 77.153 -162.5107
750.000000 77.083 -160.5608
762.000000 77.031 -158.1098
775.000000 77.014 -155.3604
788.000000 77.043 -152.5630
800.000000 77.124 -149.9883
812.000000 77.248 -147.5416
825.000000 77.422 -145.1039
838.000000 77.619 -142.9310
850.000000 77.815 -141.1090
862.000000 78.024 -139.4605
875.000000 78.261 -137.8796
885.000000 78.446 -136.7901
900.000000 78.727 -135.3637
912.000000 78.952 -134.4186
925.000000 79.190 -133.5914
938.000000 79.419 -132.9132
950.000000 79.622 -132.3836
962.000000 79.815 -131.9614
975.000000 80.012 -131.6171
988.000000 80.195 -131.3513
1000.000000 80.354 -131.1774
1015.000000 80.536 -131.0359
1030.000000 80.698 -130.9548
1044.000000 80.833 -130.9122
1060.000000 80.973 -130.8871
1075.000000 81.090 -130.8854
1090.000000 81.196 -130.9231
1106.000000 81.294 -130.9887
1120.000000 81.367 -131.0429
1138.000000 81.444 -131.1248
1150.000000 81.487 -131.2001
1172.000000 81.548 -131.3493
1180.000000 81.563 -131.4055
1206.000000 81.580 -131.6199
1220.000000 81.563 -131.7937
1241.000000 81.478 -132.1275
1250.000000 81.407 -132.1912
1265.000000 81.256 -131.9413
1280.000000 81.103 -131.1655
1315.000000 80.909 -128.4869
1320.000000 80.897 -128.1100
1340.000000 80.868 -126.7341
1360.000000 80.839 -125.5377
1380.000000 80.790 -124.4427
1400.000000 80.708 -123.4269
1430.000000 80.475 -121.9322
1450.000000 80.207 -120.6357
1475.000000 79.696 -118.1889
1500.000000 78.948 -112.9459
1525.000000 78.418 -101.5037
1550.000000 78.981 -86.0088
1575.000000 80.945 -72.6952
1600.000000 83.465 -69.6410
1625.000000 85.205 -75.4443
1650.000000 85.934 -82.5949
1675.000000 86.125 -87.2104
1700.000000 86.198 -89.3170
1725.000000 86.309 -89.9795
1750.000000 86.484 -89.9365
1775.000000 86.719 -89.5001
1800.000000 87.020 -88.8480
1825.000000 87.382 -88.2311
1850.000000 87.784 -87.7966
1875.000000 88.214 -87.5409
1900.000000 88.672 -87.5414
1925.000000 89.141 -87.8763
1950.000000 89.601 -88.5362
1975.000000 90.041 -89.4734
2000.000000 90.455 -90.6306
2030.000000 90.912 -92.2338
2060.000000 91.325 -94.0012
2090.000000 91.691 -95.8338
2120.000000 92.018 -97.6589
2140.000000 92.218 -98.8600
2180.000000 92.582 -101.1959
2200.000000 92.750 -102.3078
2240.000000 93.078 -104.4234
2270.000000 93.316 -106.0441
2300.000000 93.532 -107.6780
2330.000000 93.732 -109.2178
2360.000000 93.933 -110.6873
2400.000000 94.202 -112.6615
2430.000000 94.395 -114.1940
2470.000000 94.627 -116.2597
2500.000000 94.779 -117.7398
2540.000000 94.972 -119.4840
2580.000000 95.186 -120.9935
2620.000000 95.430 -122.4033
2650.000000 95.636 -123.3745
2690.000000 95.985 -124.5314
2720.000000 96.343 -125.5364
2760.000000 96.942 -127.8678
2800.000000 97.520 -132.0827
2850.000000 97.890 -139.0488
2900.000000 97.898 -145.3073
2950.000000 97.850 -150.3140
3000.000000 97.836 -155.4644
3040.000000 97.709 -160.0693
3070.000000 97.489 -163.2722
3110.000000 97.113 -166.4768
3150.000000 96.786 -168.7032
3200.000000 96.493 -171.0644
3250.000000 96.275 -173.4955
3300.000000 96.081 -176.0201
3350.000000 95.916 -178.7137
3400.000000 95.672 177.9536
3450.000000 95.227 174.6429
3500.000000 94.627 172.3565
3550.000000 93.965 171.2702
3600.000000 93.353 171.4887
3650.000000 92.935 172.7172
3700.000000 92.756 173.6412
3750.000000 92.673 173.3300
3820.000000 92.424 171.4663
3870.000000 92.091 170.2082
3950.000000 91.379 169.4787
4000.000000 90.888 169.7887
4060.000000 90.327 170.9291
4120.000000 89.843 172.7930
4180.000000 89.456 175.1494
4250.000000 89.142 178.2263
4310.000000 88.988 -179.1755
4370.000000 88.908 -176.8330
4440.000000 88.869 -174.3640
4500.000000 88.878 -172.4038
4550.000000 88.913 -170.8725
4620.000000 89.002 -168.8556
4680.000000 89.120 -167.2359
4750.000000 89.337 -165.4482
4820.000000 89.678 -164.2600
4870.000000 89.948 -164.2249
4940.000000 90.255 -165.0073
5000.000000 90.468 -166.0448
5080.000000 90.676 -168.2619
5150.000000 90.676 -170.7777
5220.000000 90.480 -172.7623
5300.000000 90.187 -173.4964
5380.000000 90.027 -173.2769
5450.000000 89.992 -173.3250
5520.000000 89.974 -173.7498
5600.000000 89.944 -174.5043
5700.000000 89.880 -175.7365
