* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:16:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Classic A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.994 -75.7642
20.600000 76.093 -75.7769
20.900000 76.221 -75.8111
21.200001 76.374 -75.9322
21.400000 76.486 -76.0827
21.799999 76.715 -76.5225
22.000000 76.825 -76.7676
22.400000 77.030 -77.1711
22.700001 77.178 -77.3276
23.000000 77.329 -77.3666
23.299999 77.489 -77.3601
23.600000 77.655 -77.3988
24.000000 77.870 -77.6175
24.299999 78.014 -77.8963
24.700001 78.183 -78.3105
25.000000 78.302 -78.5759
25.400000 78.476 -78.8380
25.799999 78.685 -79.0784
26.200001 78.924 -79.4236
26.500000 79.107 -79.7833
26.900000 79.338 -80.3521
27.200001 79.495 -80.7848
27.600000 79.686 -81.2982
28.000000 79.864 -81.7212
28.500000 80.081 -82.1743
29.000000 80.293 -82.6044
29.500000 80.503 -83.0249
30.000000 80.723 -83.4654
30.400000 80.909 -83.8863
30.700001 81.051 -84.2638
31.100000 81.236 -84.8372
31.500000 81.410 -85.4386
32.000000 81.615 -86.1353
32.500000 81.815 -86.7380
33.000000 82.018 -87.3066
33.500000 82.219 -87.9144
34.000000 82.414 -88.5766
34.500000 82.604 -89.2637
35.000000 82.796 -89.9417
35.500000 82.991 -90.5873
36.000000 83.190 -91.1933
36.500000 83.387 -91.7765
37.000000 83.575 -92.3636
37.500000 83.751 -92.9575
38.200001 83.986 -93.7639
38.700001 84.164 -94.3530
39.500000 84.467 -95.5377
40.000000 84.642 -96.4707
40.599998 84.817 -97.6492
41.200001 84.979 -98.7567
41.799999 85.159 -99.8131
42.500000 85.390 -101.0599
43.099998 85.579 -102.0396
43.700001 85.756 -102.8176
44.400002 85.961 -103.5991
45.000000 86.136 -104.4052
45.500000 86.271 -105.2085
46.200001 86.445 -106.3417
46.799999 86.602 -107.1822
47.500000 86.807 -108.0875
48.200001 87.011 -109.0918
48.700001 87.143 -109.8938
49.400002 87.308 -111.0372
50.000000 87.444 -111.9122
50.799999 87.655 -112.8831
51.500000 87.877 -113.7462
52.200001 88.108 -114.7796
53.000000 88.360 -116.0675
53.799999 88.611 -117.3437
54.500000 88.846 -118.5165
55.200001 89.103 -119.8899
56.000000 89.399 -121.7269
57.000000 89.729 -124.0177
58.000000 90.008 -126.5187
59.000000 90.152 -129.8912
60.000000 90.263 -133.2578
60.799999 90.484 -135.7312
61.500000 90.713 -137.9982
62.200001 90.876 -140.2925
63.000000 90.968 -142.8987
64.000000 90.991 -146.4573
65.000000 90.928 -150.0522
66.000000 90.848 -153.0537
67.000000 90.771 -155.8212
68.000000 90.642 -158.5164
69.000000 90.482 -160.7984
70.000000 90.310 -162.5420
71.000000 90.147 -163.9134
72.000000 89.997 -165.4372
73.000000 89.838 -167.0836
74.000000 89.712 -168.5385
75.000000 89.627 -169.9236
76.199997 89.518 -171.5146
77.500000 89.369 -173.0448
78.800003 89.222 -174.3728
80.000000 89.128 -175.4064
81.199997 89.067 -176.4075
82.500000 89.032 -177.7156
83.800003 89.042 -179.3679
85.000000 89.027 178.8812
86.199997 88.941 176.8904
87.500000 88.799 174.5068
88.500000 88.666 172.6585
90.000000 88.415 170.0884
91.199997 88.162 168.2283
92.500000 87.829 166.5854
93.800003 87.445 165.3709
95.000000 87.087 164.7115
96.199997 86.763 164.4172
97.500000 86.435 164.4273
98.800003 86.133 164.8692
100.000000 85.900 165.5386
101.500000 85.684 166.4397
103.000000 85.550 167.2881
104.400002 85.475 167.9659
106.000000 85.428 168.4756
107.500000 85.400 168.6641
109.000000 85.361 168.7222
110.599998 85.314 168.6799
112.000000 85.264 168.5344
113.800003 85.189 168.4434
115.000000 85.151 168.4983
117.199997 85.131 168.6491
118.000000 85.142 168.7066
120.599998 85.056 168.3593
122.000000 84.959 168.1221
124.099998 84.919 167.8459
125.000000 84.906 167.7416
126.500000 84.879 167.5344
128.000000 84.850 167.3449
131.500000 84.785 166.7843
132.000000 84.779 166.6908
134.000000 84.751 166.3390
136.000000 84.720 165.9804
138.000000 84.703 165.5802
140.000000 84.711 164.9954
143.000000 84.700 164.1311
145.000000 84.649 163.7294
147.500000 84.607 162.9179
150.000000 84.528 161.9882
152.500000 84.353 160.8343
155.000000 84.243 159.7638
157.500000 84.146 159.0158
160.000000 83.983 158.5228
162.500000 83.781 157.9692
165.000000 83.556 157.7990
167.500000 83.329 158.5043
170.000000 83.216 159.7893
172.500000 83.267 160.6826
175.000000 83.386 160.7628
177.500000 83.471 160.4199
180.000000 83.506 159.8995
182.500000 83.486 158.4495
185.000000 83.398 157.0165
187.500000 83.281 156.0606
190.000000 83.160 155.1613
192.500000 83.031 154.4118
195.000000 82.878 153.7954
197.500000 82.709 153.2174
200.000000 82.540 152.7672
203.000000 82.342 152.4092
206.000000 82.143 152.1127
209.000000 81.942 152.0096
212.000000 81.725 151.9101
214.000000 81.583 151.8681
218.000000 81.273 152.1725
220.000000 81.124 152.6466
224.000000 80.933 153.9017
227.000000 80.866 154.4686
230.000000 80.787 154.7581
233.000000 80.680 154.9673
236.000000 80.565 155.2123
240.000000 80.415 155.6316
243.000000 80.301 156.0589
247.000000 80.153 156.6488
250.000000 80.052 157.0988
254.000000 79.930 157.9382
258.000000 79.827 158.7401
262.000000 79.729 159.3129
265.000000 79.662 159.7370
269.000000 79.586 160.4079
272.000000 79.546 161.0431
276.000000 79.501 161.8851
280.000000 79.456 162.4271
285.000000 79.398 163.1273
290.000000 79.397 163.8637
295.000000 79.407 164.3695
300.000000 79.370 164.5762
304.000000 79.325 164.6220
307.000000 79.288 164.7336
311.000000 79.243 164.9629
315.000000 79.197 165.1886
320.000000 79.129 165.5030
325.000000 79.055 165.8422
330.000000 78.975 166.1739
335.000000 78.901 166.5655
340.000000 78.839 166.9874
345.000000 78.778 167.3456
350.000000 78.715 167.7048
355.000000 78.647 168.1243
360.000000 78.573 168.5760
365.000000 78.514 169.0064
370.000000 78.462 169.4133
375.000000 78.400 169.8230
382.000000 78.301 170.3622
387.000000 78.234 170.7441
395.000000 78.128 171.4735
400.000000 78.052 171.9912
406.000000 77.959 172.6579
412.000000 77.866 173.3073
418.000000 77.770 173.9654
425.000000 77.645 174.9109
431.000000 77.535 176.0818
437.000000 77.456 177.6214
444.000000 77.465 179.4647
450.000000 77.541 -179.3323
455.000000 77.606 -178.6341
462.000000 77.660 -177.9140
468.000000 77.684 -177.3454
475.000000 77.707 -176.6791
482.000000 77.730 -176.0209
487.000000 77.747 -175.5402
494.000000 77.768 -174.8338
500.000000 77.780 -174.2179
508.000000 77.800 -173.4198
515.000000 77.829 -172.7032
522.000000 77.869 -172.0296
530.000000 77.924 -171.3589
538.000000 77.977 -170.7679
545.000000 78.020 -170.3303
552.000000 78.061 -169.9595
560.000000 78.100 -169.5880
570.000000 78.133 -169.2017
580.000000 78.150 -168.7872
590.000000 78.155 -168.2942
600.000000 78.159 -167.7846
608.000000 78.158 -167.3720
615.000000 78.151 -166.9806
622.000000 78.144 -166.5584
630.000000 78.139 -166.0525
640.000000 78.135 -165.3966
650.000000 78.134 -164.6977
660.000000 78.137 -163.9517
670.000000 78.140 -163.1900
680.000000 78.149 -162.4231
690.000000 78.161 -161.6399
700.000000 78.177 -160.8198
710.000000 78.205 -159.9896
720.000000 78.243 -159.1764
730.000000 78.282 -158.3871
740.000000 78.324 -157.5813
750.000000 78.375 -156.8112
762.000000 78.443 -155.9496
775.000000 78.526 -155.0410
788.000000 78.605 -154.2017
800.000000 78.674 -153.4587
812.000000 78.742 -152.7031
825.000000 78.815 -151.9156
838.000000 78.890 -151.1137
850.000000 78.958 -150.3124
862.000000 79.026 -149.3886
875.000000 79.132 -148.1709
885.000000 79.259 -147.1542
900.000000 79.526 -145.9991
912.000000 79.761 -145.6317
925.000000 79.988 -145.6831
938.000000 80.170 -146.0614
950.000000 80.293 -146.5074
962.000000 80.377 -146.8824
975.000000 80.443 -147.1806
988.000000 80.498 -147.4136
1000.000000 80.545 -147.5706
1015.000000 80.599 -147.7098
1030.000000 80.642 -147.8471
1044.000000 80.670 -147.9735
1060.000000 80.692 -148.1040
1075.000000 80.702 -148.2305
1090.000000 80.704 -148.2729
1106.000000 80.691 -148.2689
1120.000000 80.665 -148.2686
1138.000000 80.610 -148.1672
1150.000000 80.564 -147.9788
1172.000000 80.484 -147.4097
1180.000000 80.459 -147.1189
1206.000000 80.407 -146.0174
1220.000000 80.390 -145.5332
1241.000000 80.313 -144.8749
1250.000000 80.261 -144.4323
1265.000000 80.192 -143.3546
1280.000000 80.173 -141.9984
1315.000000 80.290 -139.1345
1320.000000 80.317 -138.8028
1340.000000 80.433 -137.6007
1360.000000 80.559 -136.5435
1380.000000 80.684 -135.7447
1400.000000 80.788 -135.2532
1430.000000 80.854 -134.7869
1450.000000 80.842 -134.4299
1475.000000 80.756 -133.7538
1500.000000 80.564 -132.5753
1525.000000 80.304 -129.9305
1550.000000 80.216 -125.2046
1575.000000 80.472 -120.2130
1600.000000 80.942 -116.4444
1625.000000 81.466 -113.8869
1650.000000 81.994 -112.1849
1675.000000 82.492 -111.1388
1700.000000 82.917 -110.5295
1725.000000 83.282 -109.9206
1750.000000 83.645 -109.0433
1775.000000 84.047 -107.9823
1800.000000 84.512 -107.1740
1825.000000 84.998 -107.0236
1850.000000 85.424 -107.4672
1875.000000 85.778 -108.0229
1900.000000 86.102 -108.3577
1925.000000 86.425 -108.5354
1950.000000 86.755 -108.7040
1975.000000 87.113 -108.9033
2000.000000 87.505 -109.2441
2030.000000 87.982 -110.1037
2060.000000 88.418 -111.5386
2090.000000 88.778 -113.2916
2120.000000 89.059 -115.1004
2140.000000 89.220 -116.2177
2180.000000 89.513 -118.1574
2200.000000 89.645 -119.0119
2240.000000 89.905 -120.6118
2270.000000 90.096 -121.8061
2300.000000 90.270 -123.0518
2330.000000 90.434 -124.2662
2360.000000 90.597 -125.3963
2400.000000 90.793 -126.8741
2430.000000 90.921 -127.9948
2470.000000 91.081 -129.2922
2500.000000 91.190 -130.0779
2540.000000 91.320 -130.8669
2580.000000 91.496 -131.1090
2620.000000 91.803 -130.8974
2650.000000 92.132 -130.8311
2690.000000 92.711 -131.3823
2720.000000 93.235 -132.7219
2760.000000 93.892 -136.6101
2800.000000 94.234 -142.0921
2850.000000 94.253 -147.8915
2900.000000 94.156 -152.1748
2950.000000 94.065 -155.7390
3000.000000 93.982 -158.7432
3040.000000 93.913 -160.8155
3070.000000 93.884 -162.1965
3110.000000 93.898 -163.9954
3150.000000 93.962 -166.2192
3200.000000 94.029 -169.8141
3250.000000 94.007 -173.7690
3300.000000 93.893 -177.9457
3350.000000 93.684 177.4110
3400.000000 93.287 172.6678
3450.000000 92.653 168.9429
3500.000000 91.970 166.8397
3550.000000 91.405 165.4752
3600.000000 90.862 164.1527
3650.000000 90.242 163.1902
3700.000000 89.576 163.0370
3750.000000 88.890 164.0858
3820.000000 88.223 168.2126
3870.000000 88.192 170.6832
3950.000000 88.140 170.4212
4000.000000 87.859 169.7530
4060.000000 87.383 169.8445
4120.000000 86.860 170.8943
4180.000000 86.381 172.9457
4250.000000 85.950 176.6271
4310.000000 85.742 -179.5237
4370.000000 85.740 -175.7122
4440.000000 85.908 -172.3680
4500.000000 86.083 -170.5322
4550.000000 86.228 -169.3064
4620.000000 86.419 -167.7720
4680.000000 86.555 -166.6815
4750.000000 86.717 -165.3684
4820.000000 86.973 -163.6053
4870.000000 87.257 -162.5063
4940.000000 87.721 -162.3516
5000.000000 88.053 -163.1947
5080.000000 88.427 -164.3917
5150.000000 88.722 -165.9296
5220.000000 88.913 -168.1488
5300.000000 88.948 -170.3424
5380.000000 89.026 -171.7258
5450.000000 89.206 -173.6460
