* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:31:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Classic A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.330 -99.3174
20.600000 79.422 -99.4937
20.900000 79.530 -99.7343
21.200001 79.637 -100.0196
21.400000 79.705 -100.2187
21.799999 79.837 -100.5940
22.000000 79.901 -100.7576
22.400000 80.030 -101.0320
22.700001 80.129 -101.2029
23.000000 80.229 -101.3539
23.299999 80.329 -101.4856
23.600000 80.427 -101.5930
24.000000 80.560 -101.6968
24.299999 80.664 -101.7632
24.700001 80.813 -101.8967
25.000000 80.931 -102.0796
25.400000 81.090 -102.4805
25.799999 81.239 -103.0461
26.200001 81.371 -103.6884
26.500000 81.462 -104.1480
26.900000 81.579 -104.6563
27.200001 81.672 -104.9435
27.600000 81.807 -105.2326
28.000000 81.952 -105.4815
28.500000 82.132 -105.8200
29.000000 82.292 -106.2047
29.500000 82.437 -106.6137
30.000000 82.580 -107.0689
30.400000 82.700 -107.5018
30.700001 82.791 -107.8699
31.100000 82.911 -108.3884
31.500000 83.028 -108.8840
32.000000 83.175 -109.4103
32.500000 83.329 -109.8617
33.000000 83.487 -110.3435
33.500000 83.633 -110.9120
34.000000 83.759 -111.5078
34.500000 83.878 -112.0357
35.000000 84.010 -112.4862
35.500000 84.164 -112.9423
36.000000 84.322 -113.4596
36.500000 84.464 -113.9870
37.000000 84.586 -114.4412
37.500000 84.703 -114.8286
38.200001 84.864 -115.4273
38.700001 84.970 -115.9077
39.500000 85.144 -116.4942
40.000000 85.286 -116.7494
40.599998 85.483 -117.1861
41.200001 85.658 -117.8407
41.799999 85.797 -118.5151
42.500000 85.980 -119.2393
43.099998 86.181 -120.0406
43.700001 86.382 -121.0220
44.400002 86.584 -121.9976
45.000000 86.758 -122.6115
45.500000 86.911 -123.1986
46.200001 87.094 -124.3286
46.799999 87.212 -125.3203
47.500000 87.368 -126.1847
48.200001 87.577 -126.9353
48.700001 87.725 -127.5367
49.400002 87.895 -128.3923
50.000000 88.023 -129.0963
50.799999 88.208 -130.2001
51.500000 88.378 -131.3550
52.200001 88.557 -132.4936
53.000000 88.786 -133.7677
53.799999 89.009 -135.1371
54.500000 89.181 -136.3248
55.200001 89.352 -137.4749
56.000000 89.563 -138.9624
57.000000 89.822 -141.2725
58.000000 90.061 -143.8230
59.000000 90.291 -146.4621
60.000000 90.488 -149.3336
60.799999 90.605 -151.8183
61.500000 90.683 -154.0611
62.200001 90.748 -156.3389
63.000000 90.805 -159.0156
64.000000 90.820 -162.4687
65.000000 90.764 -165.8423
66.000000 90.659 -168.9912
67.000000 90.507 -171.9428
68.000000 90.304 -174.7149
69.000000 90.060 -177.2729
70.000000 89.785 -179.5010
71.000000 89.496 178.6597
72.000000 89.208 177.1284
73.000000 88.920 175.8797
74.000000 88.638 174.9092
75.000000 88.368 174.1614
76.199997 88.076 173.5564
77.500000 87.809 173.1849
78.800003 87.571 172.8713
80.000000 87.379 172.4511
81.199997 87.193 172.0552
82.500000 86.987 171.9742
83.800003 86.805 172.1337
85.000000 86.683 172.4109
86.199997 86.606 172.6766
87.500000 86.551 172.7849
88.500000 86.528 172.7746
90.000000 86.513 172.5579
91.199997 86.494 172.1689
92.500000 86.463 171.6429
93.800003 86.424 171.0735
95.000000 86.374 170.4239
96.199997 86.311 169.8098
97.500000 86.242 169.3066
98.800003 86.168 168.8987
100.000000 86.102 168.5037
101.500000 86.028 167.9878
103.000000 85.961 167.4937
104.400002 85.905 166.9600
106.000000 85.836 166.2855
107.500000 85.749 165.6157
109.000000 85.644 164.9144
110.599998 85.514 164.2147
112.000000 85.377 163.6692
113.800003 85.186 163.1189
115.000000 85.064 162.9119
117.199997 84.868 162.8300
118.000000 84.824 162.8984
120.599998 84.694 163.3778
122.000000 84.563 163.7485
124.099998 84.448 164.2131
125.000000 84.430 164.3622
126.500000 84.416 164.5127
128.000000 84.409 164.5606
131.500000 84.410 164.5059
132.000000 84.411 164.4821
134.000000 84.420 164.2897
136.000000 84.425 163.9469
138.000000 84.420 163.3724
140.000000 84.422 162.6552
143.000000 84.419 161.4848
145.000000 84.368 160.5461
147.500000 84.254 159.2769
150.000000 84.089 158.0385
152.500000 83.869 157.0070
155.000000 83.619 156.2380
157.500000 83.358 155.9032
160.000000 83.102 155.9544
162.500000 82.849 156.2517
165.000000 82.597 156.9962
167.500000 82.409 158.5066
170.000000 82.384 160.3509
172.500000 82.518 161.5318
175.000000 82.687 161.6599
177.500000 82.786 161.0288
180.000000 82.814 160.2007
182.500000 82.807 159.4684
185.000000 82.770 158.6985
187.500000 82.692 157.9008
190.000000 82.598 157.1233
192.500000 82.488 156.4219
195.000000 82.366 155.8071
197.500000 82.226 155.2567
200.000000 82.069 154.7655
203.000000 81.874 154.2311
206.000000 81.660 153.8660
209.000000 81.428 153.5271
212.000000 81.186 153.3441
214.000000 81.013 153.3520
218.000000 80.657 154.1553
220.000000 80.514 155.0443
224.000000 80.369 156.6233
227.000000 80.295 157.2106
230.000000 80.192 157.5715
233.000000 80.066 157.9348
236.000000 79.928 158.3675
240.000000 79.746 158.9061
243.000000 79.627 159.7184
247.000000 79.496 160.8722
250.000000 79.421 161.6708
254.000000 79.331 162.7153
258.000000 79.247 163.7586
262.000000 79.181 164.7362
265.000000 79.141 165.4754
269.000000 79.110 166.4605
272.000000 79.102 167.0941
276.000000 79.099 167.7430
280.000000 79.083 168.2928
285.000000 79.044 168.9108
290.000000 79.008 169.4341
295.000000 78.962 170.1044
300.000000 78.913 170.8379
304.000000 78.890 171.4307
307.000000 78.878 171.8827
311.000000 78.862 172.4580
315.000000 78.855 172.9973
320.000000 78.857 173.5561
325.000000 78.842 174.1645
330.000000 78.831 174.6931
335.000000 78.834 175.1822
340.000000 78.830 175.5382
345.000000 78.801 175.7910
350.000000 78.763 175.9009
355.000000 78.718 176.0259
360.000000 78.659 176.3336
365.000000 78.585 176.7263
370.000000 78.510 177.2250
375.000000 78.429 177.7410
382.000000 78.319 178.6420
387.000000 78.249 179.6237
395.000000 78.174 -178.6653
400.000000 78.161 -177.6063
406.000000 78.210 -176.2894
412.000000 78.336 -175.2719
418.000000 78.472 -174.8526
425.000000 78.571 -174.9169
431.000000 78.592 -174.9921
437.000000 78.556 -174.9465
444.000000 78.472 -174.7355
450.000000 78.413 -174.3698
455.000000 78.383 -173.8842
462.000000 78.358 -173.3389
468.000000 78.334 -172.8957
475.000000 78.299 -172.2121
482.000000 78.269 -171.4729
487.000000 78.253 -170.9571
494.000000 78.231 -170.2492
500.000000 78.219 -169.6470
508.000000 78.221 -168.7995
515.000000 78.228 -168.0294
522.000000 78.235 -167.2910
530.000000 78.250 -166.5242
538.000000 78.274 -165.7683
545.000000 78.302 -165.1508
552.000000 78.331 -164.5501
560.000000 78.367 -163.8958
570.000000 78.413 -163.1692
580.000000 78.452 -162.5065
590.000000 78.483 -161.8449
600.000000 78.505 -161.1805
608.000000 78.524 -160.6452
615.000000 78.544 -160.1388
622.000000 78.569 -159.6299
630.000000 78.597 -159.0853
640.000000 78.629 -158.4400
650.000000 78.661 -157.7854
660.000000 78.695 -157.1515
670.000000 78.721 -156.5286
680.000000 78.741 -155.8024
690.000000 78.779 -155.0010
700.000000 78.834 -154.2346
710.000000 78.894 -153.5635
720.000000 78.952 -152.9587
730.000000 79.006 -152.3691
740.000000 79.060 -151.7740
750.000000 79.121 -151.1584
762.000000 79.200 -150.4213
775.000000 79.289 -149.6609
788.000000 79.390 -148.9441
800.000000 79.494 -148.3563
812.000000 79.602 -147.8992
825.000000 79.714 -147.5591
838.000000 79.812 -147.2668
850.000000 79.892 -147.0007
862.000000 79.968 -146.7412
875.000000 80.045 -146.4889
885.000000 80.102 -146.3234
900.000000 80.185 -146.0821
912.000000 80.247 -145.9038
925.000000 80.310 -145.7403
938.000000 80.368 -145.6052
950.000000 80.418 -145.4828
962.000000 80.465 -145.3607
975.000000 80.511 -145.2397
988.000000 80.551 -145.1303
1000.000000 80.585 -145.0362
1015.000000 80.624 -144.9180
1030.000000 80.656 -144.8145
1044.000000 80.681 -144.7168
1060.000000 80.703 -144.5774
1075.000000 80.719 -144.4455
1090.000000 80.732 -144.3127
1106.000000 80.741 -144.1790
1120.000000 80.744 -144.0743
1138.000000 80.740 -143.9260
1150.000000 80.734 -143.8287
1172.000000 80.716 -143.6837
1180.000000 80.706 -143.6433
1206.000000 80.649 -143.5546
1220.000000 80.597 -143.5579
1241.000000 80.467 -143.6390
1250.000000 80.382 -143.5999
1265.000000 80.210 -143.2310
1280.000000 80.036 -142.3914
1315.000000 79.783 -139.4571
1320.000000 79.765 -139.0408
1340.000000 79.716 -137.5219
1360.000000 79.669 -136.2250
1380.000000 79.600 -135.0484
1400.000000 79.502 -133.9419
1430.000000 79.245 -132.2999
1450.000000 78.971 -130.9437
1475.000000 78.451 -128.4700
1500.000000 77.696 -123.2077
1525.000000 77.159 -111.8224
1550.000000 77.708 -96.3977
1575.000000 79.657 -83.1896
1600.000000 82.160 -80.2172
1625.000000 83.884 -86.0713
1650.000000 84.599 -93.2831
1675.000000 84.778 -97.9910
1700.000000 84.834 -100.2224
1725.000000 84.928 -101.0280
1750.000000 85.082 -101.1169
1775.000000 85.293 -100.8123
1800.000000 85.568 -100.2951
1825.000000 85.904 -99.8185
1850.000000 86.277 -99.5141
1875.000000 86.678 -99.3891
1900.000000 87.105 -99.5232
1925.000000 87.539 -99.9880
1950.000000 87.964 -100.7706
1975.000000 88.367 -101.8169
2000.000000 88.744 -103.0768
2030.000000 89.155 -104.8096
2060.000000 89.521 -106.7015
2090.000000 89.839 -108.6631
2120.000000 90.116 -110.6208
2140.000000 90.280 -111.9063
2180.000000 90.570 -114.3987
2200.000000 90.699 -115.5834
2240.000000 90.943 -117.8246
2270.000000 91.118 -119.5195
2300.000000 91.268 -121.2169
2330.000000 91.400 -122.8086
2360.000000 91.529 -124.3197
2400.000000 91.696 -126.3180
2430.000000 91.808 -127.8311
2470.000000 91.928 -129.8069
2500.000000 91.995 -131.1705
2540.000000 92.075 -132.7016
2580.000000 92.177 -133.9498
2620.000000 92.306 -135.0446
2650.000000 92.426 -135.7328
2690.000000 92.658 -136.4492
2720.000000 92.928 -137.0662
2760.000000 93.417 -138.7854
2800.000000 93.902 -142.3097
2850.000000 94.174 -148.4313
2900.000000 94.083 -153.8249
2950.000000 93.941 -157.8515
3000.000000 93.844 -161.9570
3040.000000 93.662 -165.6743
3070.000000 93.409 -168.1738
3110.000000 93.003 -170.3989
3150.000000 92.661 -171.6332
3200.000000 92.369 -172.7936
3250.000000 92.168 -174.0909
3300.000000 92.007 -175.6193
3350.000000 91.880 -177.5674
3400.000000 91.692 179.6779
3450.000000 91.315 176.8235
3500.000000 90.786 174.8887
3550.000000 90.212 174.1975
3600.000000 89.690 174.8347
3650.000000 89.357 176.4474
3700.000000 89.265 177.7558
3750.000000 89.277 177.8046
3820.000000 89.176 176.2021
3870.000000 88.947 174.8027
3950.000000 88.386 173.5126
4000.000000 87.992 173.5246
4060.000000 87.538 174.3373
4120.000000 87.148 175.8542
4180.000000 86.853 177.8336
4250.000000 86.640 -179.6071
4310.000000 86.563 -177.5209
4370.000000 86.547 -175.7310
4440.000000 86.566 -173.9057
4500.000000 86.615 -172.4068
4550.000000 86.689 -171.2087
4620.000000 86.844 -169.7123
4680.000000 87.018 -168.6299
4750.000000 87.290 -167.5403
4820.000000 87.672 -167.0562
4870.000000 87.965 -167.5005
4940.000000 88.303 -168.9342
5000.000000 88.540 -170.5173
5080.000000 88.780 -173.4459
5150.000000 88.806 -176.6024
5220.000000 88.629 -179.2568
5300.000000 88.351 179.2404
5380.000000 88.200 178.7263
5450.000000 88.170 178.0522
