* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:19:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Classical A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.271 -76.4916
20.600000 76.386 -76.7168
20.900000 76.516 -76.9870
21.200001 76.653 -77.2737
21.400000 76.751 -77.4737
21.799999 76.962 -77.9081
22.000000 77.072 -78.1437
22.400000 77.292 -78.6213
22.700001 77.449 -78.9342
23.000000 77.599 -79.1609
23.299999 77.747 -79.2877
23.600000 77.900 -79.3429
24.000000 78.118 -79.4180
24.299999 78.288 -79.5588
24.700001 78.506 -79.9051
25.000000 78.654 -80.2426
25.400000 78.830 -80.6740
25.799999 79.000 -80.9769
26.200001 79.186 -81.1554
26.500000 79.343 -81.2801
26.900000 79.566 -81.5438
27.200001 79.732 -81.8454
27.600000 79.933 -82.3455
28.000000 80.110 -82.8598
28.500000 80.319 -83.4208
29.000000 80.547 -83.9464
29.500000 80.796 -84.5781
30.000000 81.044 -85.3246
30.400000 81.227 -85.9036
30.700001 81.356 -86.2721
31.100000 81.525 -86.6600
31.500000 81.696 -86.9774
32.000000 81.916 -87.4116
32.500000 82.128 -87.9976
33.000000 82.323 -88.7201
33.500000 82.501 -89.4648
34.000000 82.678 -90.1330
34.500000 82.868 -90.7212
35.000000 83.074 -91.3119
35.500000 83.282 -91.9843
36.000000 83.475 -92.7363
36.500000 83.651 -93.4919
37.000000 83.823 -94.1858
37.500000 84.005 -94.8325
38.200001 84.282 -95.7991
38.700001 84.477 -96.5849
39.500000 84.756 -97.8909
40.000000 84.918 -98.6487
40.599998 85.116 -99.4809
41.200001 85.325 -100.2850
41.799999 85.537 -101.1482
42.500000 85.760 -102.3288
43.099998 85.910 -103.4847
43.700001 86.027 -104.6630
44.400002 86.166 -105.9117
45.000000 86.327 -106.8680
45.500000 86.494 -107.6440
46.200001 86.745 -108.7446
46.799999 86.943 -109.6663
47.500000 87.145 -110.6895
48.200001 87.326 -111.7062
48.700001 87.451 -112.4462
49.400002 87.635 -113.4818
50.000000 87.804 -114.3591
50.799999 88.039 -115.5305
51.500000 88.244 -116.5810
52.200001 88.451 -117.7038
53.000000 88.690 -119.0943
53.799999 88.931 -120.5006
54.500000 89.155 -121.7243
55.200001 89.387 -123.0512
56.000000 89.649 -124.7883
57.000000 89.962 -127.2563
58.000000 90.264 -129.9236
59.000000 90.552 -132.7592
60.000000 90.807 -135.8901
60.799999 90.975 -138.5801
61.500000 91.098 -141.0197
62.200001 91.195 -143.5210
63.000000 91.267 -146.4191
64.000000 91.297 -150.0525
65.000000 91.268 -153.6171
66.000000 91.198 -156.9731
67.000000 91.085 -160.0584
68.000000 90.919 -162.8185
69.000000 90.722 -165.2684
70.000000 90.521 -167.4111
71.000000 90.334 -169.2386
72.000000 90.157 -170.7938
73.000000 90.001 -172.1706
74.000000 89.869 -173.4840
75.000000 89.746 -174.7012
76.199997 89.600 -176.1673
77.500000 89.422 -177.8387
78.800003 89.257 -179.2571
80.000000 89.129 179.7292
81.199997 89.038 178.8463
82.500000 88.992 177.8139
83.800003 88.969 176.5364
85.000000 88.946 175.0878
86.199997 88.916 173.3616
87.500000 88.846 171.1886
88.500000 88.752 169.3778
90.000000 88.545 166.6794
91.199997 88.324 164.7147
92.500000 88.031 162.8463
93.800003 87.693 161.3032
95.000000 87.353 160.2513
96.199997 87.012 159.6003
97.500000 86.658 159.3689
98.800003 86.332 159.5985
100.000000 86.069 160.0406
101.500000 85.807 160.7858
103.000000 85.624 161.6619
104.400002 85.510 162.3845
106.000000 85.431 162.9920
107.500000 85.389 163.3132
109.000000 85.354 163.4271
110.599998 85.310 163.4327
112.000000 85.263 163.3550
113.800003 85.192 163.2065
115.000000 85.149 163.1279
117.199997 85.083 162.9949
118.000000 85.060 162.9259
120.599998 85.000 162.6458
122.000000 84.978 162.5250
124.099998 84.938 162.2946
125.000000 84.919 162.1604
126.500000 84.888 161.9008
128.000000 84.861 161.6157
131.500000 84.783 160.9706
132.000000 84.772 160.8954
134.000000 84.730 160.5984
136.000000 84.690 160.2639
138.000000 84.656 159.8779
140.000000 84.638 159.4286
143.000000 84.618 158.6996
145.000000 84.599 158.0291
147.500000 84.567 157.0901
150.000000 84.515 156.1036
152.500000 84.433 154.9455
155.000000 84.304 153.7102
157.500000 84.120 152.7067
160.000000 83.930 152.0702
162.500000 83.741 151.6488
165.000000 83.525 151.5475
167.500000 83.319 152.0078
170.000000 83.218 152.9767
172.500000 83.253 153.7730
175.000000 83.352 153.8342
177.500000 83.433 153.2003
180.000000 83.450 152.1741
182.500000 83.416 151.0528
185.000000 83.351 149.9835
187.500000 83.260 149.0311
190.000000 83.142 148.1403
192.500000 83.005 147.3227
195.000000 82.855 146.6078
197.500000 82.699 146.0020
200.000000 82.544 145.4754
203.000000 82.344 144.9298
206.000000 82.137 144.4788
209.000000 81.932 144.1486
212.000000 81.724 143.9308
214.000000 81.575 143.8499
218.000000 81.250 144.0192
220.000000 81.091 144.3904
224.000000 80.870 145.5341
227.000000 80.792 146.1921
230.000000 80.723 146.5093
233.000000 80.635 146.6542
236.000000 80.533 146.7738
240.000000 80.384 146.9912
243.000000 80.269 147.2537
247.000000 80.118 147.7242
250.000000 80.013 148.1321
254.000000 79.888 148.7207
258.000000 79.784 149.2490
262.000000 79.693 149.7811
265.000000 79.627 150.1967
269.000000 79.545 150.7427
272.000000 79.489 151.1295
276.000000 79.422 151.6903
280.000000 79.367 152.2666
285.000000 79.314 152.9725
290.000000 79.293 153.5994
295.000000 79.300 153.9443
300.000000 79.291 154.0503
304.000000 79.258 153.9985
307.000000 79.221 153.9733
311.000000 79.167 154.0485
315.000000 79.113 154.1559
320.000000 79.045 154.3181
325.000000 78.971 154.4940
330.000000 78.894 154.6947
335.000000 78.816 154.9152
340.000000 78.746 155.1436
345.000000 78.677 155.3587
350.000000 78.606 155.5985
355.000000 78.536 155.8737
360.000000 78.468 156.1473
365.000000 78.402 156.3972
370.000000 78.340 156.6462
375.000000 78.275 156.8898
382.000000 78.180 157.2456
387.000000 78.107 157.4772
395.000000 77.980 157.9359
400.000000 77.901 158.2747
406.000000 77.802 158.7244
412.000000 77.702 159.2283
418.000000 77.596 159.7999
425.000000 77.466 160.5598
431.000000 77.352 161.4720
437.000000 77.272 162.8007
444.000000 77.277 164.4442
450.000000 77.345 165.4453
455.000000 77.402 165.9398
462.000000 77.448 166.4229
468.000000 77.466 166.8359
475.000000 77.483 167.3218
482.000000 77.501 167.8101
487.000000 77.512 168.1355
494.000000 77.526 168.5809
500.000000 77.535 168.9781
508.000000 77.548 169.5119
515.000000 77.570 169.9941
522.000000 77.607 170.4795
530.000000 77.652 170.9185
538.000000 77.697 171.2250
545.000000 77.736 171.4109
552.000000 77.769 171.5589
560.000000 77.796 171.6786
570.000000 77.814 171.7539
580.000000 77.814 171.8724
590.000000 77.810 172.0344
600.000000 77.800 172.2054
608.000000 77.784 172.3751
615.000000 77.768 172.5544
622.000000 77.749 172.7514
630.000000 77.730 172.9999
640.000000 77.713 173.3574
650.000000 77.696 173.7328
660.000000 77.678 174.1382
670.000000 77.664 174.5757
680.000000 77.654 175.0566
690.000000 77.652 175.5452
700.000000 77.656 176.0458
710.000000 77.663 176.5397
720.000000 77.676 177.0192
730.000000 77.697 177.5153
740.000000 77.725 177.9903
750.000000 77.758 178.4313
762.000000 77.804 178.9335
775.000000 77.855 179.4124
788.000000 77.906 179.8136
800.000000 77.953 -179.8507
812.000000 77.994 -179.5199
825.000000 78.035 -179.1613
838.000000 78.075 -178.7473
850.000000 78.111 -178.3431
862.000000 78.145 -177.8505
875.000000 78.198 -177.1325
885.000000 78.274 -176.4584
900.000000 78.469 -175.5857
912.000000 78.671 -175.3560
925.000000 78.881 -175.6549
938.000000 79.050 -176.3808
950.000000 79.155 -177.2036
962.000000 79.218 -177.9900
975.000000 79.254 -178.7348
988.000000 79.272 -179.4064
1000.000000 79.279 -179.9817
1015.000000 79.279 179.3466
1030.000000 79.268 178.7116
1044.000000 79.248 178.1507
1060.000000 79.217 177.5249
1075.000000 79.173 176.9464
1090.000000 79.113 176.4076
1106.000000 79.032 175.8564
1120.000000 78.950 175.4245
1138.000000 78.825 174.9850
1150.000000 78.731 174.7785
1172.000000 78.543 174.6443
1180.000000 78.475 174.6803
1206.000000 78.281 175.0057
1220.000000 78.192 175.1453
1241.000000 78.015 175.2495
1250.000000 77.916 175.4264
1265.000000 77.755 176.0763
1280.000000 77.638 177.0370
1315.000000 77.536 179.1469
1320.000000 77.531 179.3821
1340.000000 77.517 -179.7965
1360.000000 77.513 -179.1310
1380.000000 77.511 -178.6779
1400.000000 77.490 -178.4748
1430.000000 77.379 -178.4801
1450.000000 77.235 -178.4776
1475.000000 76.975 -178.2271
1500.000000 76.604 -177.4269
1525.000000 76.137 -175.1043
1550.000000 75.819 -170.5991
1575.000000 75.843 -165.6362
1600.000000 76.101 -161.6763
1625.000000 76.437 -158.9002
1650.000000 76.768 -156.9964
1675.000000 77.059 -155.6573
1700.000000 77.289 -154.6332
1725.000000 77.465 -153.5405
1750.000000 77.630 -152.1155
1775.000000 77.838 -150.4453
1800.000000 78.116 -148.8707
1825.000000 78.433 -147.7694
1850.000000 78.719 -147.1551
1875.000000 78.946 -146.6348
1900.000000 79.150 -145.8975
1925.000000 79.374 -144.9591
1950.000000 79.633 -143.9672
1975.000000 79.930 -143.0206
2000.000000 80.270 -142.2471
2030.000000 80.714 -141.8359
2060.000000 81.137 -142.0463
2090.000000 81.503 -142.5909
2120.000000 81.816 -143.2078
2140.000000 82.005 -143.5937
2180.000000 82.360 -144.2876
2200.000000 82.535 -144.6168
2240.000000 82.883 -145.2989
2270.000000 83.144 -145.8701
2300.000000 83.400 -146.5268
2330.000000 83.645 -147.2704
2360.000000 83.879 -148.0674
2400.000000 84.175 -149.1860
2430.000000 84.382 -150.0819
2470.000000 84.629 -151.2629
2500.000000 84.794 -152.0581
2540.000000 85.002 -152.8638
2580.000000 85.241 -153.2141
2620.000000 85.588 -153.2299
2650.000000 85.950 -153.3679
2690.000000 86.561 -154.2456
2720.000000 87.100 -155.8478
2760.000000 87.772 -160.0296
2800.000000 88.109 -165.8028
2850.000000 88.097 -172.0431
2900.000000 87.973 -176.6788
2950.000000 87.839 179.4041
3000.000000 87.685 175.9324
3040.000000 87.554 173.4959
3070.000000 87.467 171.8707
3110.000000 87.394 169.8304
3150.000000 87.374 167.5327
3200.000000 87.332 163.8972
3250.000000 87.177 159.8647
3300.000000 86.935 155.8094
3350.000000 86.605 151.4637
3400.000000 86.078 146.9666
3450.000000 85.314 143.5695
3500.000000 84.508 142.0379
3550.000000 83.818 141.2721
3600.000000 83.153 140.5055
3650.000000 82.425 140.1839
3700.000000 81.654 140.7670
3750.000000 80.876 142.6787
3820.000000 80.107 148.2836
3870.000000 80.008 151.8241
3950.000000 79.904 153.1953
4000.000000 79.614 153.5001
4060.000000 79.139 154.7555
4120.000000 78.649 157.1262
4180.000000 78.221 160.4213
4250.000000 77.859 165.2355
4310.000000 77.731 169.9627
4370.000000 77.813 174.5751
4440.000000 78.098 178.8651
4500.000000 78.394 -178.4813
4550.000000 78.637 -176.7712
4620.000000 78.949 -174.8234
4680.000000 79.198 -173.3567
4750.000000 79.494 -171.6322
4820.000000 79.864 -169.7728
4870.000000 80.220 -168.6750
4940.000000 80.788 -168.3691
5000.000000 81.203 -169.1197
5080.000000 81.667 -170.5218
5150.000000 82.037 -172.3295
5220.000000 82.287 -174.8542
5300.000000 82.372 -177.3663
5380.000000 82.510 -178.8472
5450.000000 82.729 179.0459
5520.000000 82.836 176.0262
5600.000000 82.806 172.6654
5700.000000 82.682 168.6505
5800.000000 82.444 164.5573
5900.000000 82.085 160.4749
