* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:35:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Classica A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.432 -99.9712
20.600000 79.517 -100.2013
20.900000 79.612 -100.4178
21.200001 79.709 -100.6074
21.400000 79.774 -100.7251
21.799999 79.904 -100.9581
22.000000 79.969 -101.0802
22.400000 80.098 -101.3453
22.700001 80.194 -101.5665
23.000000 80.292 -101.8106
23.299999 80.392 -102.0813
23.600000 80.496 -102.3799
24.000000 80.638 -102.8106
24.299999 80.745 -103.1389
24.700001 80.888 -103.5468
25.000000 80.995 -103.8120
25.400000 81.140 -104.1090
25.799999 81.287 -104.3698
26.200001 81.435 -104.6403
26.500000 81.546 -104.8713
26.900000 81.688 -105.2253
27.200001 81.791 -105.5191
27.600000 81.924 -105.9296
28.000000 82.052 -106.3396
28.500000 82.210 -106.8308
29.000000 82.368 -107.3062
29.500000 82.528 -107.8032
30.000000 82.687 -108.3526
30.400000 82.812 -108.8198
30.700001 82.904 -109.1679
31.100000 83.028 -109.6068
31.500000 83.157 -110.0098
32.000000 83.324 -110.4887
32.500000 83.487 -110.9762
33.000000 83.633 -111.4628
33.500000 83.761 -111.9028
34.000000 83.887 -112.2962
34.500000 84.022 -112.7207
35.000000 84.162 -113.2524
35.500000 84.293 -113.8640
36.000000 84.414 -114.4422
36.500000 84.536 -114.9111
37.000000 84.675 -115.3147
37.500000 84.828 -115.7605
38.200001 85.033 -116.5178
38.700001 85.162 -117.0625
39.500000 85.355 -117.8075
40.000000 85.483 -118.2447
40.599998 85.645 -118.8107
41.200001 85.815 -119.4228
41.799999 85.992 -120.0693
42.500000 86.192 -120.8385
43.099998 86.350 -121.4328
43.700001 86.506 -121.9483
44.400002 86.708 -122.6318
45.000000 86.888 -123.4390
45.500000 87.031 -124.2251
46.200001 87.224 -125.3176
46.799999 87.394 -126.2081
47.500000 87.590 -127.2811
48.200001 87.760 -128.3640
48.700001 87.872 -129.0862
49.400002 88.043 -130.0717
50.000000 88.205 -130.9973
50.799999 88.421 -132.3402
51.500000 88.602 -133.4834
52.200001 88.784 -134.5907
53.000000 88.992 -135.9267
53.799999 89.196 -137.3664
54.500000 89.376 -138.7003
55.200001 89.559 -140.1108
56.000000 89.765 -141.8133
57.000000 90.018 -144.1020
58.000000 90.261 -146.6050
59.000000 90.493 -149.3107
60.000000 90.702 -152.2599
60.799999 90.837 -154.7929
61.500000 90.927 -157.1001
62.200001 90.990 -159.4478
63.000000 91.032 -162.1433
64.000000 91.037 -165.5313
65.000000 90.983 -168.9030
66.000000 90.882 -172.2115
67.000000 90.731 -175.4298
68.000000 90.529 -178.4017
69.000000 90.291 178.9278
70.000000 90.020 176.5516
71.000000 89.730 174.4806
72.000000 89.434 172.6713
73.000000 89.131 171.1758
74.000000 88.825 170.0220
75.000000 88.524 169.2014
76.199997 88.206 168.5326
77.500000 87.909 167.9558
78.800003 87.644 167.5830
80.000000 87.427 167.2665
81.199997 87.222 166.9801
82.500000 87.009 166.7899
83.800003 86.809 166.8583
85.000000 86.651 167.1262
86.199997 86.529 167.4401
87.500000 86.448 167.6792
88.500000 86.416 167.7965
90.000000 86.393 167.7876
91.199997 86.381 167.5752
92.500000 86.376 167.1713
93.800003 86.359 166.6066
95.000000 86.318 166.0004
96.199997 86.260 165.3910
97.500000 86.185 164.7432
98.800003 86.103 164.1561
100.000000 86.031 163.7204
101.500000 85.946 163.2750
103.000000 85.866 162.8732
104.400002 85.798 162.4793
106.000000 85.731 161.9762
107.500000 85.673 161.3809
109.000000 85.607 160.6769
110.599998 85.516 159.8703
112.000000 85.414 159.1854
113.800003 85.254 158.3884
115.000000 85.133 157.9691
117.199997 84.895 157.5602
118.000000 84.806 157.5162
120.599998 84.549 157.7167
122.000000 84.448 157.9240
124.099998 84.347 158.3423
125.000000 84.317 158.5413
126.500000 84.280 158.8249
128.000000 84.263 159.0001
131.500000 84.271 159.0380
132.000000 84.272 158.9939
134.000000 84.273 158.7430
136.000000 84.279 158.3899
138.000000 84.287 157.8995
140.000000 84.286 157.3146
143.000000 84.266 156.1967
145.000000 84.233 155.2727
147.500000 84.151 153.9996
150.000000 84.007 152.7190
152.500000 83.804 151.5667
155.000000 83.554 150.7725
157.500000 83.291 150.4762
160.000000 83.043 150.5874
162.500000 82.817 150.9664
165.000000 82.607 151.7224
167.500000 82.465 153.0252
170.000000 82.470 154.5152
172.500000 82.601 155.3544
175.000000 82.752 155.1912
177.500000 82.841 154.3480
180.000000 82.851 153.3448
182.500000 82.811 152.4937
185.000000 82.757 151.7119
187.500000 82.690 150.9091
190.000000 82.603 150.0938
192.500000 82.495 149.3294
195.000000 82.371 148.6271
197.500000 82.236 147.9796
200.000000 82.088 147.4004
203.000000 81.897 146.7863
206.000000 81.692 146.2895
209.000000 81.474 145.9605
212.000000 81.231 145.7587
214.000000 81.053 145.7475
218.000000 80.699 146.3607
220.000000 80.559 147.0160
224.000000 80.396 148.2730
227.000000 80.314 148.7670
230.000000 80.216 149.0289
233.000000 80.100 149.2745
236.000000 79.974 149.6101
240.000000 79.804 150.2234
243.000000 79.684 150.7586
247.000000 79.550 151.5092
250.000000 79.457 152.0442
254.000000 79.330 152.8189
258.000000 79.215 153.7151
262.000000 79.121 154.6835
265.000000 79.071 155.4409
269.000000 79.039 156.3978
272.000000 79.034 157.0237
276.000000 79.033 157.6724
280.000000 79.028 158.1411
285.000000 79.015 158.6105
290.000000 78.981 159.0284
295.000000 78.937 159.4711
300.000000 78.894 159.9272
304.000000 78.855 160.3434
307.000000 78.828 160.6676
311.000000 78.801 161.0910
315.000000 78.781 161.5142
320.000000 78.764 161.9726
325.000000 78.750 162.3616
330.000000 78.740 162.6679
335.000000 78.733 162.9057
340.000000 78.717 163.1002
345.000000 78.688 163.2612
350.000000 78.648 163.3657
355.000000 78.599 163.4922
360.000000 78.540 163.6575
365.000000 78.473 163.8469
370.000000 78.395 164.1098
375.000000 78.312 164.4713
382.000000 78.198 165.1221
387.000000 78.117 165.7531
395.000000 78.017 167.1667
400.000000 77.990 168.1872
406.000000 78.018 169.4306
412.000000 78.122 170.4577
418.000000 78.261 170.8735
425.000000 78.376 170.6876
431.000000 78.401 170.3429
437.000000 78.374 170.0899
444.000000 78.311 170.0259
450.000000 78.253 170.1659
455.000000 78.209 170.3844
462.000000 78.157 170.7914
468.000000 78.116 171.1643
475.000000 78.076 171.6455
482.000000 78.042 172.1391
487.000000 78.022 172.5002
494.000000 77.998 173.0328
500.000000 77.984 173.4846
508.000000 77.970 174.0909
515.000000 77.966 174.6545
522.000000 77.972 175.1456
530.000000 77.985 175.6308
538.000000 77.997 176.1381
545.000000 78.010 176.5884
552.000000 78.029 176.9875
560.000000 78.054 177.3684
570.000000 78.087 177.7858
580.000000 78.112 178.1538
590.000000 78.126 178.5051
600.000000 78.135 178.8842
608.000000 78.141 179.2105
615.000000 78.148 179.4961
622.000000 78.158 179.7882
630.000000 78.171 -179.8596
640.000000 78.191 -179.4398
650.000000 78.213 -179.0933
660.000000 78.234 -178.7769
670.000000 78.244 -178.4575
680.000000 78.251 -178.0821
690.000000 78.267 -177.6516
700.000000 78.290 -177.1880
710.000000 78.323 -176.7524
720.000000 78.364 -176.3768
730.000000 78.408 -176.0192
740.000000 78.450 -175.6940
750.000000 78.491 -175.4210
762.000000 78.544 -175.0915
775.000000 78.603 -174.7122
788.000000 78.673 -174.3607
800.000000 78.748 -174.1026
812.000000 78.827 -173.9377
825.000000 78.915 -173.9164
838.000000 78.990 -174.0258
850.000000 79.042 -174.1122
862.000000 79.089 -174.2186
875.000000 79.136 -174.3698
885.000000 79.167 -174.4913
900.000000 79.205 -174.6752
912.000000 79.234 -174.8527
925.000000 79.262 -175.0746
938.000000 79.282 -175.2949
950.000000 79.295 -175.5100
962.000000 79.307 -175.7532
975.000000 79.314 -176.0207
988.000000 79.310 -176.2641
1000.000000 79.303 -176.4824
1015.000000 79.292 -176.7867
1030.000000 79.272 -177.1046
1044.000000 79.243 -177.3736
1060.000000 79.208 -177.6749
1075.000000 79.171 -177.9664
1090.000000 79.123 -178.2431
1106.000000 79.063 -178.5503
1120.000000 79.010 -178.8239
1138.000000 78.935 -179.1632
1150.000000 78.876 -179.4056
1172.000000 78.750 -179.8826
1180.000000 78.702 179.9462
1206.000000 78.525 179.4132
1220.000000 78.408 179.1034
1241.000000 78.172 178.5340
1250.000000 78.037 178.3485
1265.000000 77.776 178.3805
1280.000000 77.513 178.9325
1315.000000 77.076 -178.8607
1320.000000 77.029 -178.5536
1340.000000 76.849 -177.4449
1360.000000 76.671 -176.5109
1380.000000 76.479 -175.6787
1400.000000 76.253 -174.9312
1430.000000 75.789 -173.8766
1450.000000 75.368 -172.8012
1475.000000 74.672 -170.5729
1500.000000 73.726 -165.6016
1525.000000 72.968 -154.4375
1550.000000 73.278 -139.0638
1575.000000 74.977 -125.6584
1600.000000 77.283 -122.3147
1625.000000 78.846 -127.8847
1650.000000 79.383 -134.8614
1675.000000 79.360 -139.2575
1700.000000 79.218 -141.0031
1725.000000 79.113 -141.1523
1750.000000 79.073 -140.4926
1775.000000 79.102 -139.3927
1800.000000 79.200 -138.0200
1825.000000 79.367 -136.6463
1850.000000 79.587 -135.3219
1875.000000 79.859 -134.0555
1900.000000 80.173 -133.0092
1925.000000 80.505 -132.2884
1950.000000 80.844 -131.8354
1975.000000 81.188 -131.6182
2000.000000 81.521 -131.6497
2030.000000 81.892 -131.9734
2060.000000 82.243 -132.4672
2090.000000 82.573 -133.0620
2120.000000 82.867 -133.7722
2140.000000 83.051 -134.2849
2180.000000 83.413 -135.2862
2200.000000 83.586 -135.7846
2240.000000 83.916 -136.8671
2270.000000 84.161 -137.8101
2300.000000 84.393 -138.8040
2330.000000 84.605 -139.7954
2360.000000 84.803 -140.8453
2400.000000 85.070 -142.2899
2430.000000 85.263 -143.4464
2470.000000 85.475 -145.1760
2500.000000 85.602 -146.5200
2540.000000 85.751 -148.0487
2580.000000 85.919 -149.2234
2620.000000 86.101 -150.3118
2650.000000 86.244 -151.1015
2690.000000 86.506 -151.9292
2720.000000 86.800 -152.6107
2760.000000 87.300 -154.5207
2800.000000 87.768 -158.3219
2850.000000 88.015 -164.6017
2900.000000 87.888 -170.1013
2950.000000 87.686 -174.3325
3000.000000 87.535 -178.4758
3040.000000 87.301 177.7674
3070.000000 86.998 175.1692
3110.000000 86.513 172.8430
3150.000000 86.089 171.6677
3200.000000 85.679 170.6662
3250.000000 85.344 169.5239
3300.000000 85.059 168.3534
3350.000000 84.811 166.8906
3400.000000 84.487 164.5715
3450.000000 83.975 162.2826
3500.000000 83.323 161.1428
3550.000000 82.622 161.2644
3600.000000 81.976 162.6803
3650.000000 81.533 165.1801
3700.000000 81.350 167.5537
3750.000000 81.285 168.7478
3820.000000 81.070 168.6663
3870.000000 80.772 168.4558
3950.000000 80.150 169.4037
4000.000000 79.732 170.7379
4060.000000 79.273 173.1002
4120.000000 78.921 176.2945
4180.000000 78.677 179.8181
4250.000000 78.530 -176.0769
4310.000000 78.539 -172.6041
4370.000000 78.632 -169.4874
4440.000000 78.780 -166.4775
4500.000000 78.949 -164.1062
4550.000000 79.126 -162.1889
4620.000000 79.406 -159.8771
4680.000000 79.674 -158.2810
4750.000000 80.066 -156.4932
4820.000000 80.577 -155.3206
4870.000000 80.947 -155.4774
4940.000000 81.379 -156.6599
5000.000000 81.700 -157.9378
5080.000000 82.040 -160.4877
5150.000000 82.126 -163.5467
5220.000000 82.001 -166.0667
5300.000000 81.791 -167.2120
5380.000000 81.690 -167.5767
5450.000000 81.683 -168.2704
5520.000000 81.688 -169.1551
5600.000000 81.675 -170.2930
5700.000000 81.590 -172.2548
