* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:18:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Elec A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.033 -61.1565
20.600000 78.203 -61.1273
20.900000 78.403 -61.1570
21.200001 78.615 -61.2600
21.400000 78.761 -61.3668
21.799999 79.067 -61.6516
22.000000 79.226 -61.8179
22.400000 79.554 -62.1719
22.700001 79.806 -62.4405
23.000000 80.062 -62.7046
23.299999 80.320 -62.9643
23.600000 80.576 -63.2248
24.000000 80.913 -63.5876
24.299999 81.163 -63.8830
24.700001 81.490 -64.3249
25.000000 81.734 -64.7040
25.400000 82.059 -65.2930
25.799999 82.386 -66.0004
26.200001 82.714 -66.8402
26.500000 82.958 -67.5501
26.900000 83.275 -68.5708
27.200001 83.506 -69.3632
27.600000 83.806 -70.4263
28.000000 84.100 -71.5031
28.500000 84.459 -72.9426
29.000000 84.796 -74.5760
29.500000 85.094 -76.3914
30.000000 85.353 -78.2653
30.400000 85.547 -79.7310
30.700001 85.692 -80.8048
31.100000 85.888 -82.2279
31.500000 86.082 -83.6671
32.000000 86.302 -85.4721
32.500000 86.483 -87.1986
33.000000 86.631 -88.7812
33.500000 86.762 -90.2509
34.000000 86.889 -91.6816
34.500000 87.015 -93.0961
35.000000 87.145 -94.4584
35.500000 87.282 -95.7400
36.000000 87.418 -96.9426
36.500000 87.543 -98.0648
37.000000 87.653 -99.0963
37.500000 87.757 -100.0655
38.200001 87.913 -101.4636
38.700001 88.027 -102.5395
39.500000 88.204 -104.2199
40.000000 88.315 -105.1475
40.599998 88.451 -106.1461
41.200001 88.589 -107.0443
41.799999 88.736 -107.8568
42.500000 88.935 -108.8499
43.099998 89.104 -109.8725
43.700001 89.236 -110.9479
44.400002 89.356 -111.9994
45.000000 89.482 -112.7592
45.500000 89.620 -113.4728
46.200001 89.840 -114.7405
46.799999 90.028 -115.9448
47.500000 90.241 -117.2418
48.200001 90.453 -118.3682
48.700001 90.602 -119.1224
49.400002 90.804 -120.1874
50.000000 90.976 -121.1580
50.799999 91.216 -122.5802
51.500000 91.437 -123.9239
52.200001 91.668 -125.2955
53.000000 91.946 -126.8777
53.799999 92.241 -128.5816
54.500000 92.503 -130.2423
55.200001 92.760 -132.0222
56.000000 93.051 -134.1869
57.000000 93.407 -137.2428
58.000000 93.742 -140.6058
59.000000 94.084 -144.1989
60.000000 94.347 -148.2406
60.799999 94.447 -151.6109
61.500000 94.498 -154.5977
62.200001 94.546 -157.7397
63.000000 94.581 -161.4632
64.000000 94.563 -165.8933
65.000000 94.471 -170.0057
66.000000 94.310 -173.9553
67.000000 94.109 -177.6700
68.000000 93.875 178.9561
69.000000 93.596 175.9977
70.000000 93.295 173.3948
71.000000 92.993 171.0925
72.000000 92.711 169.1216
73.000000 92.465 167.3775
74.000000 92.249 165.7091
75.000000 92.041 164.0805
76.199997 91.778 162.2436
77.500000 91.487 160.4437
78.800003 91.202 158.9077
80.000000 90.963 157.8187
81.199997 90.770 156.8246
82.500000 90.614 155.6240
83.800003 90.493 154.1832
85.000000 90.379 152.6350
86.199997 90.244 150.8409
87.500000 90.069 148.6750
88.500000 89.906 146.9282
90.000000 89.597 144.3190
91.199997 89.298 142.3388
92.500000 88.920 140.4696
93.800003 88.495 139.0347
95.000000 88.088 138.1207
96.199997 87.687 137.6328
97.500000 87.267 137.5273
98.800003 86.876 137.7921
100.000000 86.563 138.3401
101.500000 86.247 139.2696
103.000000 86.008 140.2281
104.400002 85.849 141.0174
106.000000 85.723 141.6954
107.500000 85.628 142.0378
109.000000 85.528 142.1638
110.599998 85.417 142.1672
112.000000 85.321 142.1200
113.800003 85.191 142.0646
115.000000 85.114 142.0598
117.199997 85.002 141.8369
118.000000 84.994 141.5761
120.599998 84.965 141.0362
122.000000 84.816 141.3142
124.099998 84.616 141.3114
125.000000 84.556 141.1760
126.500000 84.469 140.9148
128.000000 84.390 140.6351
131.500000 84.201 140.0629
132.000000 84.172 139.9832
134.000000 84.062 139.6573
136.000000 83.957 139.2720
138.000000 83.861 138.8011
140.000000 83.779 138.2964
143.000000 83.655 137.5612
145.000000 83.553 136.9850
147.500000 83.425 136.0916
150.000000 83.297 135.0434
152.500000 83.134 133.9487
155.000000 82.906 132.9272
157.500000 82.630 131.7943
160.000000 82.333 130.9513
162.500000 82.027 130.5178
165.000000 81.707 130.4009
167.500000 81.391 130.8406
170.000000 81.170 131.8774
172.500000 81.101 132.7453
175.000000 81.106 132.8867
177.500000 81.101 132.3883
180.000000 81.032 131.5176
182.500000 80.846 130.3881
185.000000 80.610 129.3569
187.500000 80.360 128.5314
190.000000 80.117 127.9114
192.500000 79.853 127.4711
195.000000 79.565 127.1242
197.500000 79.278 126.8716
200.000000 78.988 126.7095
203.000000 78.632 126.6459
206.000000 78.277 126.7635
209.000000 77.907 127.0898
212.000000 77.526 127.6391
214.000000 77.267 128.1178
218.000000 76.739 129.4410
220.000000 76.489 130.4340
224.000000 76.099 133.0286
227.000000 75.898 134.7589
230.000000 75.709 136.1403
233.000000 75.515 137.3956
236.000000 75.330 138.5766
240.000000 75.094 140.2851
243.000000 74.901 141.9802
247.000000 74.676 144.2869
250.000000 74.537 145.9290
254.000000 74.385 148.1842
258.000000 74.277 150.4188
262.000000 74.211 152.5489
265.000000 74.182 154.1031
269.000000 74.166 156.0413
272.000000 74.152 157.4128
276.000000 74.153 159.2319
280.000000 74.184 160.9700
285.000000 74.236 163.0057
290.000000 74.333 164.7340
295.000000 74.470 165.9410
300.000000 74.583 166.9171
304.000000 74.615 167.5382
307.000000 74.626 167.9083
311.000000 74.642 168.3848
315.000000 74.662 168.8506
320.000000 74.683 169.4049
325.000000 74.688 169.9589
330.000000 74.678 170.4396
335.000000 74.658 170.9615
340.000000 74.641 171.4855
345.000000 74.621 171.9426
350.000000 74.590 172.3927
355.000000 74.548 172.8257
360.000000 74.494 173.2561
365.000000 74.438 173.7256
370.000000 74.379 174.1859
375.000000 74.313 174.6230
382.000000 74.202 175.2693
387.000000 74.113 175.7995
395.000000 73.959 176.8334
400.000000 73.854 177.5455
406.000000 73.718 178.5034
412.000000 73.573 179.5187
418.000000 73.414 -179.4452
425.000000 73.231 -177.8350
431.000000 73.082 -176.0927
437.000000 72.961 -173.9378
444.000000 72.917 -171.3218
450.000000 72.953 -169.4352
455.000000 72.984 -168.1457
462.000000 72.995 -166.5184
468.000000 73.000 -165.0817
475.000000 73.006 -163.3047
482.000000 73.020 -161.5261
487.000000 73.046 -160.2607
494.000000 73.089 -158.5327
500.000000 73.132 -157.0373
508.000000 73.209 -155.0380
515.000000 73.299 -153.3097
522.000000 73.410 -151.6332
530.000000 73.557 -149.8041
538.000000 73.718 -148.1057
545.000000 73.859 -146.8117
552.000000 73.999 -145.6662
560.000000 74.158 -144.5399
570.000000 74.350 -143.2531
580.000000 74.527 -142.0106
590.000000 74.695 -140.8277
600.000000 74.854 -139.6976
608.000000 74.984 -138.9178
615.000000 75.091 -138.2268
622.000000 75.195 -137.5052
630.000000 75.314 -136.6706
640.000000 75.463 -135.6505
650.000000 75.602 -134.6771
660.000000 75.737 -133.7337
670.000000 75.869 -132.8083
680.000000 76.003 -131.8741
690.000000 76.138 -130.9825
700.000000 76.273 -130.1218
710.000000 76.411 -129.2476
720.000000 76.554 -128.3684
730.000000 76.691 -127.5033
740.000000 76.829 -126.6753
750.000000 76.968 -125.8861
762.000000 77.139 -124.9875
775.000000 77.323 -124.0785
788.000000 77.501 -123.2728
800.000000 77.661 -122.5732
812.000000 77.816 -121.8735
825.000000 77.973 -121.0958
838.000000 78.123 -120.2834
850.000000 78.262 -119.4831
862.000000 78.402 -118.5981
875.000000 78.572 -117.4396
885.000000 78.737 -116.4390
900.000000 79.063 -115.0917
912.000000 79.362 -114.5070
925.000000 79.669 -114.4027
938.000000 79.933 -114.6754
950.000000 80.124 -115.0745
962.000000 80.277 -115.4455
975.000000 80.415 -115.7309
988.000000 80.534 -115.9142
1000.000000 80.634 -116.0406
1015.000000 80.752 -116.1771
1030.000000 80.861 -116.2462
1044.000000 80.954 -116.2662
1060.000000 81.048 -116.2789
1075.000000 81.125 -116.2831
1090.000000 81.191 -116.2591
1106.000000 81.249 -116.1961
1120.000000 81.287 -116.0951
1138.000000 81.317 -115.8617
1150.000000 81.328 -115.6101
1172.000000 81.341 -114.8882
1180.000000 81.349 -114.5382
1206.000000 81.404 -113.2539
1220.000000 81.444 -112.6054
1241.000000 81.470 -111.7307
1250.000000 81.463 -111.2217
1265.000000 81.461 -110.0394
1280.000000 81.506 -108.5657
1315.000000 81.793 -105.3057
1320.000000 81.844 -104.9146
1340.000000 82.059 -103.4994
1360.000000 82.288 -102.2847
1380.000000 82.522 -101.3280
1400.000000 82.740 -100.6473
1430.000000 82.999 -99.9801
1450.000000 83.108 -99.5634
1475.000000 83.167 -98.8586
1500.000000 83.128 -97.6838
1525.000000 83.013 -95.0790
1550.000000 83.074 -90.4344
1575.000000 83.484 -85.5365
1600.000000 84.113 -81.8445
1625.000000 84.808 -79.4508
1650.000000 85.496 -78.0252
1675.000000 86.145 -77.3201
1700.000000 86.728 -77.0665
1725.000000 87.248 -76.8929
1750.000000 87.750 -76.5546
1775.000000 88.285 -76.1273
1800.000000 88.874 -75.9707
1825.000000 89.477 -76.4450
1850.000000 90.024 -77.5132
1875.000000 90.489 -78.7484
1900.000000 90.905 -79.8434
1925.000000 91.312 -80.8071
1950.000000 91.724 -81.7482
1975.000000 92.147 -82.7415
2000.000000 92.585 -83.9038
2030.000000 93.109 -85.7679
2060.000000 93.574 -88.1576
2090.000000 93.948 -90.7642
2120.000000 94.241 -93.3127
2140.000000 94.402 -94.9040
2180.000000 94.675 -97.7817
2200.000000 94.797 -99.0859
2240.000000 95.023 -101.4741
2270.000000 95.183 -103.1225
2300.000000 95.333 -104.6916
2330.000000 95.470 -106.1798
2360.000000 95.598 -107.5688
2400.000000 95.759 -109.2605
2430.000000 95.871 -110.4290
2470.000000 96.003 -111.8042
2500.000000 96.093 -112.6281
2540.000000 96.218 -113.3275
2580.000000 96.394 -113.4400
2620.000000 96.698 -113.1126
2650.000000 97.040 -112.9442
2690.000000 97.646 -113.3600
2720.000000 98.193 -114.5833
2760.000000 98.894 -118.2374
2800.000000 99.278 -123.4755
2850.000000 99.353 -129.0331
2900.000000 99.346 -132.9994
2950.000000 99.358 -136.2961
3000.000000 99.375 -139.2054
3040.000000 99.398 -141.2488
3070.000000 99.438 -142.6285
3110.000000 99.548 -144.4203
3150.000000 99.723 -146.5637
3200.000000 99.932 -150.1368
3250.000000 100.041 -154.2591
3300.000000 100.075 -158.5923
3350.000000 100.021 -163.4034
3400.000000 99.768 -168.5281
3450.000000 99.279 -172.7166
3500.000000 98.752 -175.2572
3550.000000 98.322 -177.2516
3600.000000 97.883 -179.4051
3650.000000 97.354 178.7243
3700.000000 96.756 177.5891
3750.000000 96.128 177.6325
3820.000000 95.542 -179.6634
3870.000000 95.543 -178.3496
3950.000000 95.532 179.5221
4000.000000 95.270 177.6704
4060.000000 94.803 176.3467
4120.000000 94.292 176.1963
4180.000000 93.814 177.0809
4250.000000 93.359 179.2731
4310.000000 93.124 -178.0433
4370.000000 93.077 -175.2720
4440.000000 93.185 -172.8388
4500.000000 93.308 -171.5191
4550.000000 93.388 -170.7406
4620.000000 93.461 -169.8544
4680.000000 93.501 -169.0880
4750.000000 93.556 -167.9632
4820.000000 93.693 -166.4876
4870.000000 93.891 -165.5290
4940.000000 94.256 -165.2703
5000.000000 94.514 -165.9437
5080.000000 94.786 -167.0930
5150.000000 95.010 -168.5537
5220.000000 95.136 -170.6468
5300.000000 95.100 -172.5905
5380.000000 95.137 -173.4048
5450.000000 95.291 -174.8763
