* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:34:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Elec A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.196 -84.4359
20.600000 81.335 -84.5405
20.900000 81.499 -84.6833
21.200001 81.672 -84.8634
21.400000 81.791 -84.9989
21.799999 82.033 -85.2791
22.000000 82.157 -85.4129
22.400000 82.415 -85.6640
22.700001 82.616 -85.8605
23.000000 82.823 -86.0958
23.299999 83.032 -86.3897
23.600000 83.236 -86.7402
24.000000 83.497 -87.2502
24.299999 83.686 -87.6228
24.700001 83.944 -88.0813
25.000000 84.147 -88.4245
25.400000 84.436 -88.9719
25.799999 84.731 -89.7115
26.200001 85.013 -90.6571
26.500000 85.208 -91.4545
26.900000 85.445 -92.5460
27.200001 85.613 -93.3466
27.600000 85.840 -94.3956
28.000000 86.074 -95.4895
28.500000 86.369 -97.0225
29.000000 86.640 -98.7290
29.500000 86.873 -100.4658
30.000000 87.078 -102.1092
30.400000 87.235 -103.3575
30.700001 87.349 -104.2858
31.100000 87.497 -105.5496
31.500000 87.630 -106.8577
32.000000 87.772 -108.5249
32.500000 87.885 -110.1626
33.000000 87.980 -111.7167
33.500000 88.066 -113.1676
34.000000 88.148 -114.5223
34.500000 88.228 -115.8033
35.000000 88.300 -117.0333
35.500000 88.358 -118.2107
36.000000 88.403 -119.3012
36.500000 88.443 -120.2647
37.000000 88.493 -121.1008
37.500000 88.564 -121.8644
38.200001 88.684 -122.9310
38.700001 88.765 -123.6954
39.500000 88.872 -124.7798
40.000000 88.940 -125.3385
40.599998 89.040 -125.9602
41.200001 89.156 -126.5914
41.799999 89.278 -127.2178
42.500000 89.427 -127.9556
43.099998 89.558 -128.7004
43.700001 89.683 -129.5731
44.400002 89.827 -130.5702
45.000000 89.979 -131.2873
45.500000 90.132 -131.8434
46.200001 90.358 -132.7059
46.799999 90.530 -133.5296
47.500000 90.711 -134.5217
48.200001 90.899 -135.5900
48.700001 91.041 -136.4345
49.400002 91.238 -137.6676
50.000000 91.404 -138.6866
50.799999 91.633 -140.0188
51.500000 91.844 -141.3086
52.200001 92.059 -142.7733
53.000000 92.300 -144.5601
53.799999 92.542 -146.3863
54.500000 92.755 -148.0674
55.200001 92.963 -149.8863
56.000000 93.190 -152.1227
57.000000 93.463 -155.1236
58.000000 93.721 -158.3943
59.000000 93.952 -161.9274
60.000000 94.143 -165.7222
60.799999 94.253 -168.9339
61.500000 94.316 -171.8281
62.200001 94.353 -174.7775
63.000000 94.363 -178.1891
64.000000 94.314 177.5827
65.000000 94.200 173.4522
66.000000 94.023 169.4159
67.000000 93.790 165.5651
68.000000 93.506 161.9907
69.000000 93.171 158.7358
70.000000 92.801 155.8376
71.000000 92.411 153.3079
72.000000 92.007 151.1457
73.000000 91.601 149.3262
74.000000 91.208 147.8271
75.000000 90.832 146.6764
76.199997 90.400 145.7353
77.500000 89.964 144.9856
78.800003 89.575 144.3157
80.000000 89.254 143.8152
81.199997 88.947 143.4391
82.500000 88.619 143.1899
83.800003 88.316 143.1922
85.000000 88.077 143.4404
86.199997 87.876 143.7691
87.500000 87.698 144.0302
88.500000 87.593 144.1217
90.000000 87.483 144.0987
91.199997 87.406 143.9208
92.500000 87.314 143.5499
93.800003 87.217 143.0037
95.000000 87.116 142.4161
96.199997 87.000 141.8276
97.500000 86.865 141.2393
98.800003 86.727 140.7258
100.000000 86.595 140.3370
101.500000 86.433 139.9439
103.000000 86.288 139.5700
104.400002 86.165 139.1757
106.000000 86.033 138.6422
107.500000 85.913 138.0582
109.000000 85.786 137.3954
110.599998 85.633 136.6479
112.000000 85.479 135.9955
113.800003 85.249 135.2284
115.000000 85.082 134.8256
117.199997 84.766 134.4553
118.000000 84.655 134.4734
120.599998 84.328 134.7946
122.000000 84.177 135.0154
124.099998 84.007 135.4279
125.000000 83.951 135.5942
126.500000 83.874 135.8411
128.000000 83.810 135.9932
131.500000 83.695 135.9146
132.000000 83.682 135.8674
134.000000 83.627 135.5775
136.000000 83.568 135.1490
138.000000 83.501 134.6269
140.000000 83.428 133.9865
143.000000 83.305 132.7602
145.000000 83.200 131.8014
147.500000 83.029 130.4605
150.000000 82.795 129.0913
152.500000 82.502 127.8855
155.000000 82.158 127.0481
157.500000 81.790 126.6758
160.000000 81.440 126.7291
162.500000 81.106 127.0320
165.000000 80.782 127.7246
167.500000 80.524 129.0279
170.000000 80.405 130.5295
172.500000 80.414 131.4531
175.000000 80.462 131.4141
177.500000 80.443 130.6802
180.000000 80.331 129.7948
182.500000 80.170 129.0558
185.000000 79.995 128.4217
187.500000 79.801 127.7663
190.000000 79.583 127.1334
192.500000 79.346 126.6368
195.000000 79.095 126.2769
197.500000 78.823 126.0036
200.000000 78.537 125.8330
203.000000 78.186 125.7159
206.000000 77.825 125.7860
209.000000 77.439 126.0648
212.000000 77.037 126.5702
214.000000 76.759 127.0689
218.000000 76.205 128.8173
220.000000 75.965 130.0964
224.000000 75.621 132.6799
227.000000 75.424 134.2060
230.000000 75.210 135.5500
233.000000 74.984 137.0061
236.000000 74.767 138.5468
240.000000 74.496 140.8081
243.000000 74.314 142.6230
247.000000 74.105 145.1097
250.000000 73.980 146.9709
254.000000 73.842 149.4253
258.000000 73.736 151.9163
262.000000 73.681 154.4673
265.000000 73.664 156.3390
269.000000 73.675 158.6805
272.000000 73.710 160.2501
276.000000 73.781 162.0790
280.000000 73.858 163.7052
285.000000 73.954 165.4250
290.000000 74.036 166.9128
295.000000 74.100 168.3061
300.000000 74.162 169.6545
304.000000 74.212 170.6653
307.000000 74.246 171.3895
311.000000 74.293 172.3043
315.000000 74.347 173.1334
320.000000 74.418 173.9963
325.000000 74.492 174.7097
330.000000 74.555 175.3930
335.000000 74.598 175.9092
340.000000 74.632 176.3033
345.000000 74.654 176.7286
350.000000 74.654 177.0350
355.000000 74.630 177.3508
360.000000 74.586 177.7312
365.000000 74.527 178.1284
370.000000 74.453 178.5810
375.000000 74.369 179.1174
382.000000 74.240 -179.9083
387.000000 74.140 -178.9936
395.000000 73.996 -177.1412
400.000000 73.942 -175.7773
406.000000 73.938 -174.0752
412.000000 74.006 -172.5508
418.000000 74.103 -171.5924
425.000000 74.160 -171.0517
431.000000 74.137 -170.6803
437.000000 74.064 -170.1920
444.000000 73.958 -169.3162
450.000000 73.871 -168.2872
455.000000 73.804 -167.2932
462.000000 73.728 -165.7615
468.000000 73.671 -164.3952
475.000000 73.622 -162.7228
482.000000 73.595 -160.9877
487.000000 73.584 -159.7496
494.000000 73.587 -157.9874
500.000000 73.604 -156.4367
508.000000 73.651 -154.3361
515.000000 73.715 -152.5536
522.000000 73.799 -150.8698
530.000000 73.908 -149.0370
538.000000 74.031 -147.2880
545.000000 74.149 -145.8454
552.000000 74.279 -144.4524
560.000000 74.442 -142.9919
570.000000 74.644 -141.3527
580.000000 74.841 -139.9230
590.000000 75.038 -138.5789
600.000000 75.227 -137.3276
608.000000 75.371 -136.3717
615.000000 75.498 -135.5774
622.000000 75.627 -134.8252
630.000000 75.774 -134.0092
640.000000 75.954 -133.0758
650.000000 76.135 -132.2017
660.000000 76.310 -131.4078
670.000000 76.469 -130.6721
680.000000 76.617 -129.9058
690.000000 76.768 -129.1107
700.000000 76.923 -128.3402
710.000000 77.080 -127.5942
720.000000 77.242 -126.8832
730.000000 77.404 -126.2481
740.000000 77.559 -125.6698
750.000000 77.710 -125.1050
762.000000 77.892 -124.4314
775.000000 78.088 -123.7422
788.000000 78.287 -123.0641
800.000000 78.476 -122.5010
812.000000 78.668 -122.0537
825.000000 78.869 -121.7262
838.000000 79.051 -121.4806
850.000000 79.210 -121.2837
862.000000 79.360 -121.0846
875.000000 79.513 -120.8595
885.000000 79.625 -120.7101
900.000000 79.789 -120.5032
912.000000 79.914 -120.3402
925.000000 80.042 -120.1725
938.000000 80.163 -120.0429
950.000000 80.269 -119.9306
962.000000 80.371 -119.7719
975.000000 80.479 -119.5706
988.000000 80.586 -119.3692
1000.000000 80.680 -119.1924
1015.000000 80.784 -118.9942
1030.000000 80.880 -118.8059
1044.000000 80.965 -118.6047
1060.000000 81.057 -118.3661
1075.000000 81.140 -118.1516
1090.000000 81.219 -117.9299
1106.000000 81.299 -117.6855
1120.000000 81.363 -117.4575
1138.000000 81.440 -117.1807
1150.000000 81.489 -116.9970
1172.000000 81.571 -116.6685
1180.000000 81.596 -116.5591
1206.000000 81.657 -116.2436
1220.000000 81.671 -116.1377
1241.000000 81.636 -116.0514
1250.000000 81.590 -115.9300
1265.000000 81.486 -115.3876
1280.000000 81.387 -114.3575
1315.000000 81.320 -111.1137
1320.000000 81.328 -110.6593
1340.000000 81.382 -109.0037
1360.000000 81.439 -107.5652
1380.000000 81.479 -106.2431
1400.000000 81.494 -105.0314
1430.000000 81.406 -103.2633
1450.000000 81.239 -101.8184
1475.000000 80.858 -99.2338
1500.000000 80.248 -93.9030
1525.000000 79.873 -82.4321
1550.000000 80.607 -66.9874
1575.000000 82.737 -53.8813
1600.000000 85.391 -51.1064
1625.000000 87.253 -57.1736
1650.000000 88.108 -64.6095
1675.000000 88.433 -69.5692
1700.000000 88.641 -72.1034
1725.000000 88.885 -73.2892
1750.000000 89.186 -73.8299
1775.000000 89.539 -74.0343
1800.000000 89.950 -74.0789
1825.000000 90.411 -74.2141
1850.000000 90.900 -74.5733
1875.000000 91.408 -75.1422
1900.000000 91.930 -75.9932
1925.000000 92.450 -77.1968
1950.000000 92.947 -78.7288
1975.000000 93.412 -80.5326
2000.000000 93.838 -82.5503
2030.000000 94.295 -85.1622
2060.000000 94.690 -87.8909
2090.000000 95.024 -90.6346
2120.000000 95.303 -93.3099
2140.000000 95.465 -95.0380
2180.000000 95.738 -98.3242
2200.000000 95.854 -99.8550
2240.000000 96.067 -102.6821
2270.000000 96.213 -104.7258
2300.000000 96.333 -106.6984
2330.000000 96.434 -108.4924
2360.000000 96.534 -110.1319
2400.000000 96.667 -112.2034
2430.000000 96.759 -113.7152
2470.000000 96.857 -115.6365
2500.000000 96.913 -116.9210
2540.000000 96.984 -118.2943
2580.000000 97.081 -119.3172
2620.000000 97.216 -120.1270
2650.000000 97.346 -120.5780
2690.000000 97.603 -120.9493
2720.000000 97.900 -121.2997
2760.000000 98.430 -122.6848
2800.000000 98.957 -125.8945
2850.000000 99.285 -131.5632
2900.000000 99.272 -136.4513
2950.000000 99.226 -140.0079
3000.000000 99.238 -143.6846
3040.000000 99.150 -147.1094
3070.000000 98.971 -149.4221
3110.000000 98.669 -151.4352
3150.000000 98.435 -152.4962
3200.000000 98.279 -153.4794
3250.000000 98.223 -154.6503
3300.000000 98.214 -156.1355
3350.000000 98.240 -158.1369
3400.000000 98.202 -161.0372
3450.000000 97.970 -164.1146
3500.000000 97.582 -166.3548
3550.000000 97.136 -167.4313
3600.000000 96.727 -167.2415
3650.000000 96.494 -166.1841
3700.000000 96.488 -165.5884
3750.000000 96.564 -166.3715
3820.000000 96.521 -169.1781
3870.000000 96.317 -171.4237
3950.000000 95.783 -174.0472
4000.000000 95.401 -174.8433
4060.000000 94.959 -174.9873
4120.000000 94.576 -174.3953
4180.000000 94.276 -173.2876
4250.000000 94.045 -171.6188
4310.000000 93.945 -170.1613
4370.000000 93.900 -168.8804
4440.000000 93.878 -167.5326
4500.000000 93.877 -166.4076
4550.000000 93.887 -165.4783
4620.000000 93.923 -164.1956
4680.000000 93.988 -163.1304
4750.000000 94.137 -161.8951
4820.000000 94.407 -161.1312
4870.000000 94.627 -161.3203
4940.000000 94.868 -162.3297
5000.000000 95.028 -163.4944
5080.000000 95.171 -165.7925
5150.000000 95.121 -168.3148
5220.000000 94.877 -170.2578
5300.000000 94.533 -170.8765
5380.000000 94.328 -170.4577
