* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:23:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Jazz A Gna) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.530 -73.7367
20.600000 86.799 -74.6319
20.900000 87.109 -75.6295
21.200001 87.435 -76.7101
21.400000 87.660 -77.5023
21.799999 88.123 -79.3140
22.000000 88.358 -80.3452
22.400000 88.824 -82.6472
22.700001 89.164 -84.5518
23.000000 89.492 -86.5754
23.299999 89.807 -88.6952
23.600000 90.108 -90.9002
24.000000 90.485 -93.9728
24.299999 90.748 -96.3827
24.700001 91.068 -99.7435
25.000000 91.282 -102.3736
25.400000 91.529 -106.0182
25.799999 91.729 -109.8042
26.200001 91.878 -113.7042
26.500000 91.953 -116.6765
26.900000 92.003 -120.6458
27.200001 92.002 -123.5773
27.600000 91.954 -127.3445
28.000000 91.861 -130.8724
28.500000 91.703 -134.8724
29.000000 91.515 -138.4119
29.500000 91.305 -141.5372
30.000000 91.075 -144.2953
30.400000 90.878 -146.2620
30.700001 90.725 -147.6113
31.100000 90.517 -149.2632
31.500000 90.307 -150.7637
32.000000 90.045 -152.4250
32.500000 89.790 -153.8201
33.000000 89.552 -154.9473
33.500000 89.341 -155.8777
34.000000 89.152 -156.7121
34.500000 88.974 -157.5026
35.000000 88.803 -158.2365
35.500000 88.644 -158.8949
36.000000 88.506 -159.4961
36.500000 88.386 -160.0757
37.000000 88.277 -160.6474
37.500000 88.173 -161.2017
38.200001 88.033 -161.9355
38.700001 87.939 -162.4271
39.500000 87.799 -163.1358
40.000000 87.722 -163.5284
40.599998 87.633 -163.9611
41.200001 87.542 -164.3346
41.799999 87.451 -164.6189
42.500000 87.358 -164.8876
43.099998 87.289 -165.1469
43.700001 87.219 -165.4367
44.400002 87.138 -165.7861
45.000000 87.078 -166.1663
45.500000 87.029 -166.5794
46.200001 86.952 -167.1769
46.799999 86.889 -167.5328
47.500000 86.845 -167.7896
48.200001 86.815 -168.1083
48.700001 86.778 -168.3982
49.400002 86.705 -168.7581
50.000000 86.649 -168.9779
50.799999 86.608 -169.2910
51.500000 86.579 -169.6535
52.200001 86.533 -169.9984
53.000000 86.469 -170.2679
53.799999 86.418 -170.4546
54.500000 86.389 -170.6470
55.200001 86.363 -170.8943
56.000000 86.321 -171.1543
57.000000 86.270 -171.4142
58.000000 86.216 -171.8356
59.000000 86.124 -172.1946
60.000000 86.067 -172.3099
60.799999 86.063 -172.5777
61.500000 86.049 -172.9781
62.200001 86.010 -173.3246
63.000000 85.947 -173.5085
64.000000 85.876 -173.5282
65.000000 85.831 -173.5294
66.000000 85.811 -173.6078
67.000000 85.796 -173.7405
68.000000 85.769 -173.8414
69.000000 85.744 -173.8336
70.000000 85.742 -173.7830
71.000000 85.756 -173.7761
72.000000 85.784 -173.8275
73.000000 85.826 -173.9832
74.000000 85.870 -174.2389
75.000000 85.907 -174.5966
76.199997 85.932 -175.2366
77.500000 85.933 -175.9894
78.800003 85.927 -176.5836
80.000000 85.923 -177.0682
81.199997 85.933 -177.5962
82.500000 85.948 -178.2984
83.800003 85.948 -179.0724
85.000000 85.935 -179.8345
86.199997 85.905 179.3160
87.500000 85.840 178.3836
88.500000 85.772 177.7325
90.000000 85.658 176.8831
91.199997 85.565 176.2880
92.500000 85.456 175.7286
93.800003 85.343 175.3470
95.000000 85.245 175.1214
96.199997 85.149 174.9931
97.500000 85.053 174.9698
98.800003 84.979 175.0083
100.000000 84.931 175.0435
101.500000 84.882 175.0343
103.000000 84.844 174.9196
104.400002 84.825 174.7130
106.000000 84.814 174.3476
107.500000 84.789 173.8956
109.000000 84.744 173.4167
110.599998 84.681 172.8525
112.000000 84.621 172.3254
113.800003 84.532 171.6895
115.000000 84.462 171.3259
117.199997 84.318 170.7307
118.000000 84.266 170.5447
120.599998 84.095 170.0027
122.000000 83.989 169.6833
124.099998 83.827 169.2667
125.000000 83.757 169.1260
126.500000 83.639 168.9236
128.000000 83.514 168.7653
131.500000 83.219 168.6187
132.000000 83.177 168.6163
134.000000 83.012 168.6646
136.000000 82.857 168.7999
138.000000 82.702 168.9866
140.000000 82.544 169.2376
143.000000 82.333 169.6780
145.000000 82.199 170.0303
147.500000 82.031 170.4984
150.000000 81.865 171.0194
152.500000 81.712 171.6226
155.000000 81.566 172.3191
157.500000 81.431 173.0767
160.000000 81.304 173.8708
162.500000 81.190 174.7235
165.000000 81.084 175.6133
167.500000 80.996 176.5819
170.000000 80.931 177.5148
172.500000 80.885 178.3719
175.000000 80.845 179.1779
177.500000 80.802 179.9346
180.000000 80.762 -179.3100
182.500000 80.718 -178.6075
185.000000 80.679 -177.8996
187.500000 80.654 -177.1879
190.000000 80.636 -176.5199
192.500000 80.623 -175.8356
195.000000 80.614 -175.1614
197.500000 80.612 -174.5173
200.000000 80.615 -173.8962
203.000000 80.625 -173.2011
206.000000 80.642 -172.5526
209.000000 80.663 -171.9965
212.000000 80.685 -171.5584
214.000000 80.701 -171.3237
218.000000 80.712 -170.9224
220.000000 80.705 -170.6864
224.000000 80.697 -170.0309
227.000000 80.715 -169.5292
230.000000 80.748 -169.1992
233.000000 80.780 -169.0448
236.000000 80.802 -168.9664
240.000000 80.804 -168.9332
243.000000 80.788 -168.9207
247.000000 80.761 -168.9131
250.000000 80.731 -168.8941
254.000000 80.679 -168.8380
258.000000 80.618 -168.7427
262.000000 80.545 -168.6436
265.000000 80.482 -168.5215
269.000000 80.394 -168.3220
272.000000 80.324 -168.1415
276.000000 80.222 -167.8090
280.000000 80.114 -167.4306
285.000000 79.985 -166.8454
290.000000 79.861 -166.1360
295.000000 79.743 -165.2924
300.000000 79.637 -164.4429
304.000000 79.550 -163.7792
307.000000 79.485 -163.2629
311.000000 79.401 -162.5139
315.000000 79.317 -161.7293
320.000000 79.217 -160.7422
325.000000 79.131 -159.6713
330.000000 79.054 -158.5625
335.000000 78.978 -157.3960
340.000000 78.910 -156.2126
345.000000 78.850 -154.9797
350.000000 78.802 -153.7227
355.000000 78.769 -152.4492
360.000000 78.748 -151.1425
365.000000 78.741 -149.8880
370.000000 78.744 -148.7038
375.000000 78.755 -147.5563
382.000000 78.787 -146.0413
387.000000 78.806 -145.0350
395.000000 78.832 -143.4877
400.000000 78.848 -142.5555
406.000000 78.871 -141.4763
412.000000 78.892 -140.3990
418.000000 78.908 -139.4128
425.000000 78.895 -138.3041
431.000000 78.853 -137.1600
437.000000 78.814 -135.5544
444.000000 78.857 -133.2809
450.000000 78.985 -131.5646
455.000000 79.114 -130.4947
462.000000 79.283 -129.3865
468.000000 79.410 -128.5941
475.000000 79.537 -127.8258
482.000000 79.641 -127.1839
487.000000 79.705 -126.7297
494.000000 79.784 -126.0637
500.000000 79.842 -125.4887
508.000000 79.908 -124.6839
515.000000 79.964 -123.9760
522.000000 80.028 -123.2557
530.000000 80.103 -122.4424
538.000000 80.173 -121.6566
545.000000 80.232 -120.9863
552.000000 80.291 -120.3493
560.000000 80.353 -119.6507
570.000000 80.429 -118.7903
580.000000 80.495 -118.0045
590.000000 80.551 -117.2327
600.000000 80.597 -116.4455
608.000000 80.626 -115.8082
615.000000 80.645 -115.2213
622.000000 80.661 -114.5978
630.000000 80.679 -113.8420
640.000000 80.701 -112.8453
650.000000 80.725 -111.8361
660.000000 80.747 -110.7634
670.000000 80.772 -109.6063
680.000000 80.804 -108.3926
690.000000 80.840 -107.1420
700.000000 80.885 -105.8637
710.000000 80.939 -104.5505
720.000000 81.006 -103.2228
730.000000 81.087 -101.8985
740.000000 81.180 -100.5935
750.000000 81.284 -99.3139
762.000000 81.420 -97.8286
775.000000 81.582 -96.2962
788.000000 81.756 -94.8776
800.000000 81.919 -93.6759
812.000000 82.084 -92.5500
825.000000 82.262 -91.3795
838.000000 82.437 -90.2590
850.000000 82.598 -89.2732
862.000000 82.754 -88.2654
875.000000 82.924 -87.0152
885.000000 83.078 -85.9050
900.000000 83.397 -84.2334
912.000000 83.722 -83.2913
925.000000 84.095 -82.9212
938.000000 84.441 -83.1664
950.000000 84.703 -83.7486
962.000000 84.908 -84.4567
975.000000 85.082 -85.2417
988.000000 85.220 -85.9878
1000.000000 85.323 -86.6430
1015.000000 85.424 -87.4206
1030.000000 85.500 -88.1513
1044.000000 85.551 -88.8134
1060.000000 85.584 -89.5490
1075.000000 85.591 -90.1967
1090.000000 85.574 -90.7898
1106.000000 85.531 -91.3564
1120.000000 85.475 -91.7909
1138.000000 85.375 -92.2381
1150.000000 85.291 -92.4264
1172.000000 85.112 -92.4611
1180.000000 85.045 -92.3719
1206.000000 84.851 -91.8344
1220.000000 84.766 -91.5956
1241.000000 84.590 -91.5480
1250.000000 84.473 -91.4798
1265.000000 84.243 -90.9377
1280.000000 84.021 -89.8211
1315.000000 83.695 -86.3097
1320.000000 83.666 -85.8140
1340.000000 83.571 -83.8948
1360.000000 83.507 -82.0398
1380.000000 83.470 -80.3363
1400.000000 83.438 -78.9056
1430.000000 83.318 -77.2182
1450.000000 83.147 -76.0593
1475.000000 82.820 -73.8963
1500.000000 82.465 -69.9731
1525.000000 82.383 -64.3756
1550.000000 82.589 -60.1009
1575.000000 82.713 -56.9304
1600.000000 82.829 -53.1296
1625.000000 83.050 -49.2740
1650.000000 83.336 -45.8238
1675.000000 83.649 -42.7287
1700.000000 83.972 -39.9269
1725.000000 84.296 -37.2791
1750.000000 84.636 -34.6510
1775.000000 85.018 -32.0530
1800.000000 85.457 -29.7117
1825.000000 85.926 -27.9200
1850.000000 86.371 -26.6988
1875.000000 86.764 -25.7326
1900.000000 87.122 -24.7197
1925.000000 87.478 -23.6219
1950.000000 87.852 -22.5286
1975.000000 88.251 -21.5300
2000.000000 88.680 -20.7627
2030.000000 89.209 -20.3937
2060.000000 89.698 -20.6557
2090.000000 90.110 -21.3091
2120.000000 90.443 -22.0699
2140.000000 90.629 -22.5220
2180.000000 90.953 -23.1752
2200.000000 91.104 -23.3814
2240.000000 91.403 -23.6790
2270.000000 91.623 -23.9361
2300.000000 91.827 -24.2202
2330.000000 92.014 -24.4690
2360.000000 92.187 -24.6562
2400.000000 92.410 -24.7884
2430.000000 92.577 -24.8558
2470.000000 92.789 -24.9330
2500.000000 92.935 -24.9366
2540.000000 93.111 -24.7302
2580.000000 93.292 -24.0409
2620.000000 93.561 -22.7357
2650.000000 93.885 -21.6179
2690.000000 94.503 -20.7342
2720.000000 95.072 -21.1213
2760.000000 95.790 -23.8251
2800.000000 96.177 -28.1712
2850.000000 96.250 -32.5889
2900.000000 96.244 -35.4156
2950.000000 96.262 -37.5993
3000.000000 96.303 -39.5465
3040.000000 96.349 -41.0592
3070.000000 96.394 -42.1864
3110.000000 96.481 -43.7807
3150.000000 96.589 -45.7483
3200.000000 96.685 -48.9580
3250.000000 96.673 -52.8197
3300.000000 96.514 -57.0697
3350.000000 96.172 -61.4473
3400.000000 95.595 -65.4316
3450.000000 94.814 -67.8622
3500.000000 94.060 -68.3228
3550.000000 93.472 -68.2718
3600.000000 92.913 -68.5594
3650.000000 92.271 -68.5742
3700.000000 91.569 -67.7481
3750.000000 90.853 -65.7338
3820.000000 90.123 -60.1540
3870.000000 90.019 -56.5191
3950.000000 89.898 -54.9029
4000.000000 89.591 -54.4608
4060.000000 89.085 -53.0524
4120.000000 88.550 -50.5399
4180.000000 88.056 -47.1060
4250.000000 87.589 -42.0883
4310.000000 87.351 -37.1101
4370.000000 87.308 -32.1937
4440.000000 87.421 -27.4455
4500.000000 87.549 -24.2482
4550.000000 87.639 -21.9339
4620.000000 87.739 -18.8954
4680.000000 87.809 -16.2707
4750.000000 87.900 -12.9478
4820.000000 88.078 -9.1775
4870.000000 88.317 -6.5004
4940.000000 88.774 -3.8155
5000.000000 89.151 -2.5108
5080.000000 89.642 -1.2983
