* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:37:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Jazz A Gna) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.023 -112.1592
20.600000 90.171 -114.0432
20.900000 90.327 -116.1348
21.200001 90.474 -118.2935
21.400000 90.566 -119.7666
21.799999 90.737 -122.7969
22.000000 90.813 -124.3505
22.400000 90.941 -127.5098
22.700001 91.011 -129.8926
23.000000 91.056 -132.2520
23.299999 91.075 -134.5584
23.600000 91.072 -136.7896
24.000000 91.038 -139.6296
24.299999 90.997 -141.6617
24.700001 90.927 -144.2628
25.000000 90.864 -146.1488
25.400000 90.765 -148.5854
25.799999 90.644 -150.9123
26.200001 90.498 -153.0812
26.500000 90.375 -154.5742
26.900000 90.197 -156.3675
27.200001 90.059 -157.5723
27.600000 89.876 -159.0292
28.000000 89.698 -160.3651
28.500000 89.481 -161.9106
29.000000 89.267 -163.2984
29.500000 89.060 -164.4693
30.000000 88.869 -165.4056
30.400000 88.732 -166.0223
30.700001 88.637 -166.4369
31.100000 88.517 -166.9515
31.500000 88.399 -167.4301
32.000000 88.251 -167.9576
32.500000 88.107 -168.3803
33.000000 87.974 -168.7043
33.500000 87.854 -168.9707
34.000000 87.748 -169.2243
34.500000 87.654 -169.4924
35.000000 87.573 -169.7844
35.500000 87.503 -170.0930
36.000000 87.445 -170.3941
36.500000 87.395 -170.6580
37.000000 87.351 -170.8718
37.500000 87.312 -171.0523
38.200001 87.260 -171.3139
38.700001 87.223 -171.5419
39.500000 87.161 -171.9699
40.000000 87.123 -172.2345
40.599998 87.081 -172.5149
41.200001 87.050 -172.7976
41.799999 87.027 -173.1759
42.500000 86.996 -173.7600
43.099998 86.967 -174.2584
43.700001 86.950 -174.6402
44.400002 86.954 -174.9462
45.000000 86.962 -175.1856
45.500000 86.955 -175.4282
46.200001 86.913 -175.8673
46.799999 86.854 -176.2974
47.500000 86.796 -176.7779
48.200001 86.777 -177.2427
48.700001 86.777 -177.5974
49.400002 86.756 -178.0801
50.000000 86.710 -178.4123
50.799999 86.636 -178.8340
51.500000 86.586 -179.3574
52.200001 86.551 -179.9668
53.000000 86.524 179.4689
53.799999 86.489 179.1094
54.500000 86.435 178.8989
55.200001 86.372 178.6726
56.000000 86.305 178.2690
57.000000 86.227 177.6960
58.000000 86.157 177.2779
59.000000 86.079 176.9299
60.000000 85.992 176.7263
60.799999 85.935 176.6440
61.500000 85.892 176.5549
62.200001 85.851 176.4352
63.000000 85.804 176.2836
64.000000 85.747 176.1642
65.000000 85.693 176.1441
66.000000 85.637 176.1258
67.000000 85.588 176.1009
68.000000 85.553 176.0941
69.000000 85.521 176.1577
70.000000 85.492 176.2666
71.000000 85.466 176.3690
72.000000 85.449 176.5000
73.000000 85.444 176.6448
74.000000 85.445 176.8003
75.000000 85.457 176.9685
76.199997 85.488 177.1472
77.500000 85.545 177.2448
78.800003 85.620 177.1243
80.000000 85.684 176.8916
81.199997 85.729 176.6050
82.500000 85.761 176.2794
83.800003 85.809 175.9834
85.000000 85.875 175.6622
86.199997 85.948 175.2487
87.500000 86.022 174.6937
88.500000 86.078 174.1703
90.000000 86.155 173.1700
91.199997 86.197 172.3278
92.500000 86.213 171.4299
93.800003 86.209 170.4662
95.000000 86.204 169.4937
96.199997 86.186 168.5837
97.500000 86.146 167.7136
98.800003 86.094 166.8685
100.000000 86.043 166.1121
101.500000 85.983 165.2115
103.000000 85.923 164.3262
104.400002 85.858 163.5147
106.000000 85.777 162.5938
107.500000 85.692 161.7439
109.000000 85.596 160.9094
110.599998 85.478 160.0450
112.000000 85.363 159.3472
113.800003 85.205 158.5785
115.000000 85.092 158.1479
117.199997 84.876 157.5144
118.000000 84.799 157.3481
120.599998 84.561 156.9938
122.000000 84.445 156.8468
124.099998 84.289 156.7234
125.000000 84.228 156.6844
126.500000 84.133 156.6183
128.000000 84.039 156.5544
131.500000 83.822 156.3850
132.000000 83.792 156.3568
134.000000 83.669 156.2375
136.000000 83.546 156.1565
138.000000 83.427 156.1092
140.000000 83.305 156.1082
143.000000 83.119 156.1241
145.000000 82.987 156.1617
147.500000 82.820 156.2535
150.000000 82.658 156.4376
152.500000 82.492 156.7258
155.000000 82.333 157.0637
157.500000 82.183 157.5057
160.000000 82.046 158.0839
162.500000 81.923 158.6998
165.000000 81.817 159.3718
167.500000 81.723 160.1012
170.000000 81.654 160.8395
172.500000 81.604 161.5191
175.000000 81.556 162.0991
177.500000 81.507 162.6264
180.000000 81.455 163.1537
182.500000 81.414 163.7380
185.000000 81.381 164.3619
187.500000 81.360 164.9730
190.000000 81.351 165.4821
192.500000 81.350 165.9086
195.000000 81.350 166.3246
197.500000 81.347 166.7307
200.000000 81.350 167.0714
203.000000 81.361 167.4269
206.000000 81.371 167.7220
209.000000 81.387 167.9197
212.000000 81.396 168.0319
214.000000 81.392 168.1031
218.000000 81.365 168.3792
220.000000 81.353 168.5738
224.000000 81.367 168.9736
227.000000 81.407 169.1149
230.000000 81.440 169.1118
233.000000 81.458 169.0020
236.000000 81.464 168.8187
240.000000 81.458 168.5355
243.000000 81.444 168.2953
247.000000 81.412 167.9291
250.000000 81.373 167.6118
254.000000 81.294 167.2082
258.000000 81.192 166.8857
262.000000 81.073 166.6638
265.000000 80.975 166.6459
269.000000 80.852 166.7692
272.000000 80.771 166.9099
276.000000 80.670 167.0910
280.000000 80.565 167.2380
285.000000 80.425 167.4982
290.000000 80.275 167.8051
295.000000 80.120 168.1804
300.000000 79.967 168.6982
304.000000 79.845 169.2433
307.000000 79.755 169.7125
311.000000 79.641 170.3998
315.000000 79.537 171.1381
320.000000 79.422 172.1786
325.000000 79.328 173.2819
330.000000 79.253 174.3885
335.000000 79.199 175.4578
340.000000 79.151 176.4846
345.000000 79.106 177.4985
350.000000 79.066 178.4798
355.000000 79.032 179.4197
360.000000 79.003 -179.5880
365.000000 78.983 -178.5560
370.000000 78.972 -177.5171
375.000000 78.969 -176.4717
382.000000 78.977 -175.0289
387.000000 78.990 -173.9982
395.000000 79.028 -172.3283
400.000000 79.071 -171.3065
406.000000 79.136 -170.1567
412.000000 79.227 -169.0019
418.000000 79.343 -167.9946
425.000000 79.487 -167.1148
431.000000 79.597 -166.5778
437.000000 79.687 -166.1682
444.000000 79.782 -165.7089
450.000000 79.855 -165.3028
455.000000 79.912 -164.9547
462.000000 79.989 -164.5103
468.000000 80.051 -164.1912
475.000000 80.120 -163.8487
482.000000 80.186 -163.5049
487.000000 80.229 -163.2654
494.000000 80.284 -162.9590
500.000000 80.323 -162.7089
508.000000 80.366 -162.3659
515.000000 80.399 -162.0352
522.000000 80.432 -161.6743
530.000000 80.471 -161.2586
538.000000 80.507 -160.8448
545.000000 80.537 -160.4530
552.000000 80.568 -160.0236
560.000000 80.609 -159.5193
570.000000 80.665 -158.9061
580.000000 80.714 -158.3658
590.000000 80.756 -157.8140
600.000000 80.795 -157.2222
608.000000 80.826 -156.7497
615.000000 80.854 -156.3041
622.000000 80.883 -155.8165
630.000000 80.917 -155.2339
640.000000 80.968 -154.4793
650.000000 81.027 -153.7066
660.000000 81.096 -152.9719
670.000000 81.166 -152.2841
680.000000 81.230 -151.5668
690.000000 81.301 -150.7712
700.000000 81.380 -149.9474
710.000000 81.469 -149.0812
720.000000 81.575 -148.2254
730.000000 81.692 -147.4257
740.000000 81.818 -146.6904
750.000000 81.953 -145.9967
762.000000 82.123 -145.2156
775.000000 82.314 -144.4132
788.000000 82.518 -143.6682
800.000000 82.726 -143.0627
812.000000 82.949 -142.5919
825.000000 83.199 -142.3195
838.000000 83.442 -142.2637
850.000000 83.654 -142.3300
862.000000 83.857 -142.4940
875.000000 84.066 -142.7424
885.000000 84.222 -142.9973
900.000000 84.451 -143.4991
912.000000 84.621 -143.9874
925.000000 84.794 -144.5969
938.000000 84.953 -145.2804
950.000000 85.087 -145.9695
962.000000 85.209 -146.7147
975.000000 85.328 -147.5729
988.000000 85.428 -148.4563
1000.000000 85.506 -149.2855
1015.000000 85.586 -150.3428
1030.000000 85.646 -151.4034
1044.000000 85.686 -152.3861
1060.000000 85.709 -153.4856
1075.000000 85.712 -154.4629
1090.000000 85.703 -155.3856
1106.000000 85.684 -156.3342
1120.000000 85.656 -157.1357
1138.000000 85.608 -158.1332
1150.000000 85.568 -158.7777
1172.000000 85.477 -159.9290
1180.000000 85.440 -160.3533
1206.000000 85.299 -161.8034
1220.000000 85.204 -162.6706
1241.000000 84.994 -164.2065
1250.000000 84.859 -164.8680
1265.000000 84.571 -165.6714
1280.000000 84.242 -165.8512
1315.000000 83.588 -164.4426
1320.000000 83.514 -164.1643
1340.000000 83.249 -163.1061
1360.000000 82.999 -162.1999
1380.000000 82.731 -161.3658
1400.000000 82.425 -160.5317
1430.000000 81.825 -159.0976
1450.000000 81.279 -157.5257
1475.000000 80.399 -153.7501
1500.000000 79.494 -145.0249
1525.000000 79.444 -131.2028
1550.000000 80.258 -120.6456
1575.000000 81.512 -111.9861
1600.000000 83.216 -108.0762
1625.000000 84.550 -110.4028
1650.000000 85.208 -114.2708
1675.000000 85.464 -116.7357
1700.000000 85.611 -117.5500
1725.000000 85.776 -117.3843
1750.000000 85.976 -116.7596
1775.000000 86.204 -115.8062
1800.000000 86.488 -114.5708
1825.000000 86.845 -113.3422
1850.000000 87.252 -112.3310
1875.000000 87.693 -111.5471
1900.000000 88.169 -111.0725
1925.000000 88.661 -111.0247
1950.000000 89.147 -111.4037
1975.000000 89.611 -112.1440
2000.000000 90.041 -113.1773
2030.000000 90.508 -114.6944
2060.000000 90.917 -116.4344
2090.000000 91.267 -118.2828
2120.000000 91.564 -120.1225
2140.000000 91.738 -121.3068
2180.000000 92.038 -123.5430
2200.000000 92.170 -124.5790
2240.000000 92.419 -126.4911
2270.000000 92.597 -127.8756
2300.000000 92.756 -129.2099
2330.000000 92.904 -130.4122
2360.000000 93.056 -131.5270
2400.000000 93.268 -133.0167
2430.000000 93.424 -134.1896
2470.000000 93.608 -135.7955
2500.000000 93.726 -136.9395
2540.000000 93.869 -138.2484
2580.000000 94.027 -139.3440
2620.000000 94.204 -140.3370
2650.000000 94.350 -140.9375
2690.000000 94.611 -141.4397
2720.000000 94.909 -141.7973
2760.000000 95.467 -143.1336
2800.000000 96.050 -146.5016
2850.000000 96.421 -152.8234
2900.000000 96.377 -158.4548
2950.000000 96.264 -162.5472
3000.000000 96.222 -166.6551
3040.000000 96.092 -170.5773
3070.000000 95.859 -173.3407
3110.000000 95.442 -175.8475
3150.000000 95.075 -177.1707
3200.000000 94.763 -178.2705
3250.000000 94.565 -179.4830
3300.000000 94.416 178.9731
3350.000000 94.286 176.9608
3400.000000 94.090 174.1768
3450.000000 93.708 171.2661
3500.000000 93.164 169.2060
3550.000000 92.551 168.4248
3600.000000 91.979 169.1299
3650.000000 91.610 170.9024
3700.000000 91.494 172.2965
3750.000000 91.476 172.3229
3820.000000 91.301 170.6912
3870.000000 90.998 169.3855
3950.000000 90.315 168.5252
4000.000000 89.856 168.9199
4060.000000 89.334 170.2100
4120.000000 88.878 172.2070
4180.000000 88.510 174.6952
4250.000000 88.212 177.9448
4310.000000 88.066 -179.2830
4370.000000 87.992 -176.7279
4440.000000 87.959 -173.9662
4500.000000 87.972 -171.7385
4550.000000 88.008 -169.9695
4620.000000 88.100 -167.5570
4680.000000 88.224 -165.5227
4750.000000 88.454 -163.1593
4820.000000 88.832 -161.2910
4870.000000 89.156 -160.7766
4940.000000 89.580 -161.1615
5000.000000 89.896 -162.2954
5080.000000 90.154 -165.1659
5150.000000 90.078 -168.1974
5220.000000 89.731 -170.0803
5300.000000 89.275 -169.7466
5380.000000 89.057 -167.8186
5450.000000 89.061 -166.4780
5520.000000 89.106 -165.7819
