* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:16:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Jazz A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.172 -71.8768
20.600000 76.272 -72.0376
20.900000 76.391 -72.1368
21.200001 76.527 -72.1914
21.400000 76.628 -72.2307
21.799999 76.853 -72.3759
22.000000 76.971 -72.4917
22.400000 77.207 -72.7794
22.700001 77.375 -72.9850
23.000000 77.533 -73.1213
23.299999 77.683 -73.1514
23.600000 77.832 -73.0705
24.000000 78.036 -72.8504
24.299999 78.197 -72.6818
24.700001 78.420 -72.5834
25.000000 78.586 -72.6674
25.400000 78.794 -73.0145
25.799999 78.978 -73.5720
26.200001 79.138 -74.2184
26.500000 79.250 -74.6851
26.900000 79.402 -75.2199
27.200001 79.528 -75.5515
27.600000 79.720 -75.9473
28.000000 79.936 -76.3651
28.500000 80.215 -76.9857
29.000000 80.474 -77.6568
29.500000 80.702 -78.2242
30.000000 80.915 -78.6048
30.400000 81.088 -78.8289
30.700001 81.222 -79.0108
31.100000 81.399 -79.3300
31.500000 81.566 -79.7467
32.000000 81.757 -80.3239
32.500000 81.940 -80.8482
33.000000 82.137 -81.2979
33.500000 82.353 -81.7602
34.000000 82.570 -82.2997
34.500000 82.770 -82.8796
35.000000 82.957 -83.4272
35.500000 83.145 -83.9394
36.000000 83.344 -84.4746
36.500000 83.549 -85.0571
37.000000 83.753 -85.6466
37.500000 83.956 -86.2139
38.200001 84.232 -87.0482
38.700001 84.412 -87.7131
39.500000 84.683 -88.7703
40.000000 84.871 -89.4210
40.599998 85.116 -90.3343
41.200001 85.336 -91.3840
41.799999 85.505 -92.3167
42.500000 85.683 -93.0982
43.099998 85.855 -93.7556
43.700001 86.028 -94.5574
44.400002 86.212 -95.4669
45.000000 86.380 -96.1355
45.500000 86.533 -96.7470
46.200001 86.736 -97.8097
46.799999 86.891 -98.7571
47.500000 87.081 -99.7041
48.200001 87.293 -100.5180
48.700001 87.441 -101.0527
49.400002 87.634 -101.7596
50.000000 87.793 -102.4108
50.799999 88.004 -103.4467
51.500000 88.198 -104.4062
52.200001 88.417 -105.3233
53.000000 88.688 -106.3659
53.799999 88.963 -107.4376
54.500000 89.207 -108.4780
55.200001 89.446 -109.7296
56.000000 89.706 -111.3940
57.000000 90.037 -113.6641
58.000000 90.368 -115.8764
59.000000 90.692 -117.8562
60.000000 90.992 -120.5610
60.799999 91.148 -123.5082
61.500000 91.240 -126.1664
62.200001 91.335 -128.6304
63.000000 91.438 -131.2907
64.000000 91.491 -134.5907
65.000000 91.456 -137.8559
66.000000 91.384 -140.9126
67.000000 91.283 -143.6645
68.000000 91.132 -146.1110
69.000000 90.963 -148.1885
70.000000 90.810 -150.0077
71.000000 90.657 -151.6107
72.000000 90.512 -153.0302
73.000000 90.383 -154.3841
74.000000 90.265 -155.5552
75.000000 90.181 -156.5273
76.199997 90.107 -157.7637
77.500000 89.985 -159.0851
78.800003 89.848 -160.1306
80.000000 89.754 -160.9279
81.199997 89.709 -161.6795
82.500000 89.708 -162.6954
83.800003 89.712 -163.9906
85.000000 89.706 -165.4174
86.199997 89.696 -167.1105
87.500000 89.645 -169.2085
88.500000 89.553 -170.8410
90.000000 89.344 -173.1679
91.199997 89.125 -174.8304
92.500000 88.842 -176.3465
93.800003 88.523 -177.5395
95.000000 88.210 -178.2563
96.199997 87.896 -178.5150
97.500000 87.581 -178.3192
98.800003 87.302 -177.7373
100.000000 87.096 -176.9795
101.500000 86.931 -175.9795
103.000000 86.836 -174.9713
104.400002 86.789 -174.1003
106.000000 86.779 -173.3671
107.500000 86.793 -172.9243
109.000000 86.812 -172.7921
110.599998 86.816 -172.8440
112.000000 86.811 -172.9119
113.800003 86.789 -172.9711
115.000000 86.774 -173.0125
117.199997 86.760 -172.9268
118.000000 86.756 -172.7874
120.599998 86.736 -172.6730
122.000000 86.762 -173.0380
124.099998 86.772 -173.6117
125.000000 86.768 -173.7649
126.500000 86.763 -173.9852
128.000000 86.759 -174.2294
131.500000 86.750 -174.7503
132.000000 86.750 -174.8128
134.000000 86.744 -175.0909
136.000000 86.726 -175.3459
138.000000 86.713 -175.5925
140.000000 86.710 -176.0662
143.000000 86.711 -176.6213
145.000000 86.710 -176.8380
147.500000 86.703 -177.5551
150.000000 86.659 -178.5519
152.500000 86.608 -179.1617
155.000000 86.526 -179.7278
157.500000 86.377 179.8082
160.000000 86.227 179.2848
162.500000 86.094 178.9325
165.000000 85.931 179.0126
167.500000 85.777 179.8046
170.000000 85.738 -178.6234
172.500000 85.871 -177.4328
175.000000 86.089 -177.1981
177.500000 86.275 -177.7049
180.000000 86.393 -178.6194
182.500000 86.390 -179.4621
185.000000 86.361 179.8403
187.500000 86.334 179.1336
190.000000 86.293 178.4502
192.500000 86.248 177.7720
195.000000 86.198 177.2202
197.500000 86.138 176.7427
200.000000 86.071 176.2601
203.000000 85.998 175.7548
206.000000 85.917 175.2964
209.000000 85.830 174.8754
212.000000 85.734 174.5618
214.000000 85.661 174.3645
218.000000 85.491 174.2309
220.000000 85.416 174.4187
224.000000 85.362 175.0564
227.000000 85.385 175.1973
230.000000 85.402 174.9716
233.000000 85.389 174.5639
236.000000 85.356 174.1776
240.000000 85.300 173.8124
243.000000 85.223 173.4177
247.000000 85.111 172.9894
250.000000 85.035 172.7831
254.000000 84.934 172.5368
258.000000 84.833 172.2972
262.000000 84.734 172.1525
265.000000 84.656 172.0731
269.000000 84.538 172.0169
272.000000 84.447 172.0150
276.000000 84.335 172.1200
280.000000 84.230 172.3365
285.000000 84.116 172.6757
290.000000 84.030 172.9778
295.000000 83.961 173.0495
300.000000 83.874 172.9542
304.000000 83.783 173.0073
307.000000 83.709 173.1183
311.000000 83.607 173.3143
315.000000 83.509 173.5742
320.000000 83.392 173.9552
325.000000 83.279 174.4148
330.000000 83.172 174.9191
335.000000 83.074 175.4948
340.000000 82.990 176.1287
345.000000 82.916 176.7248
350.000000 82.847 177.3273
355.000000 82.785 177.9739
360.000000 82.735 178.6360
365.000000 82.695 179.2779
370.000000 82.663 179.8997
375.000000 82.636 -179.5038
382.000000 82.598 -178.6965
387.000000 82.573 -178.1574
395.000000 82.535 -177.2497
400.000000 82.514 -176.6676
406.000000 82.494 -175.9873
412.000000 82.480 -175.3193
418.000000 82.469 -174.6421
425.000000 82.434 -173.8935
431.000000 82.395 -173.0311
437.000000 82.391 -171.8121
444.000000 82.484 -170.3490
450.000000 82.625 -169.5517
455.000000 82.741 -169.2581
462.000000 82.866 -169.1391
468.000000 82.946 -169.0902
475.000000 83.022 -169.0450
482.000000 83.082 -169.0678
487.000000 83.113 -169.1232
494.000000 83.144 -169.2070
500.000000 83.161 -169.2687
508.000000 83.176 -169.2932
515.000000 83.188 -169.2897
522.000000 83.199 -169.3070
530.000000 83.206 -169.3431
538.000000 83.203 -169.3889
545.000000 83.195 -169.4837
552.000000 83.180 -169.5894
560.000000 83.148 -169.6911
570.000000 83.084 -169.7732
580.000000 83.002 -169.7036
590.000000 82.916 -169.4860
600.000000 82.828 -169.1619
608.000000 82.746 -168.8193
615.000000 82.675 -168.4503
622.000000 82.611 -168.0128
630.000000 82.545 -167.4425
640.000000 82.473 -166.6571
650.000000 82.412 -165.8206
660.000000 82.362 -164.9265
670.000000 82.321 -163.9441
680.000000 82.295 -162.9325
690.000000 82.283 -161.8930
700.000000 82.284 -160.8299
710.000000 82.300 -159.7361
720.000000 82.330 -158.6402
730.000000 82.375 -157.6448
740.000000 82.431 -156.6825
750.000000 82.500 -155.7386
762.000000 82.595 -154.6680
775.000000 82.713 -153.6285
788.000000 82.838 -152.6978
800.000000 82.957 -151.9011
812.000000 83.079 -151.1606
825.000000 83.210 -150.4317
838.000000 83.343 -149.7648
850.000000 83.470 -149.1582
862.000000 83.600 -148.4928
875.000000 83.763 -147.6597
885.000000 83.924 -146.9969
900.000000 84.240 -146.3526
912.000000 84.521 -146.4189
925.000000 84.798 -147.0318
938.000000 85.017 -148.0317
950.000000 85.161 -149.0832
962.000000 85.260 -150.1161
975.000000 85.333 -151.1866
988.000000 85.380 -152.1831
1000.000000 85.406 -153.0521
1015.000000 85.419 -154.1068
1030.000000 85.410 -155.0897
1044.000000 85.381 -155.9513
1060.000000 85.326 -156.8779
1075.000000 85.253 -157.6784
1090.000000 85.159 -158.4103
1106.000000 85.036 -159.0856
1120.000000 84.912 -159.5632
1138.000000 84.729 -159.9847
1150.000000 84.597 -160.1070
1172.000000 84.351 -159.9940
1180.000000 84.264 -159.8456
1206.000000 84.011 -159.1217
1220.000000 83.889 -158.7475
1241.000000 83.668 -158.1871
1250.000000 83.557 -157.7643
1265.000000 83.382 -156.6890
1280.000000 83.254 -155.3064
1315.000000 83.150 -152.1941
1320.000000 83.146 -151.8166
1340.000000 83.143 -150.4278
1360.000000 83.157 -149.1996
1380.000000 83.178 -148.1846
1400.000000 83.186 -147.4010
1430.000000 83.130 -146.5122
1450.000000 83.035 -145.8781
1475.000000 82.853 -144.8286
1500.000000 82.579 -143.2751
1525.000000 82.231 -140.2632
1550.000000 82.057 -135.1648
1575.000000 82.234 -129.8031
1600.000000 82.633 -125.5986
1625.000000 83.103 -122.6040
1650.000000 83.576 -120.5181
1675.000000 84.017 -119.0935
1700.000000 84.396 -118.0704
1725.000000 84.721 -117.0540
1750.000000 85.036 -115.8129
1775.000000 85.394 -114.4441
1800.000000 85.818 -113.3195
1825.000000 86.267 -112.8135
1850.000000 86.671 -112.8672
1875.000000 87.001 -113.0474
1900.000000 87.294 -113.0528
1925.000000 87.591 -112.9026
1950.000000 87.907 -112.7224
1975.000000 88.246 -112.5961
2000.000000 88.613 -112.6471
2030.000000 89.069 -113.2138
2060.000000 89.484 -114.3683
2090.000000 89.824 -115.7993
2120.000000 90.096 -117.2300
2140.000000 90.250 -118.1135
2180.000000 90.521 -119.6740
2200.000000 90.648 -120.3705
2240.000000 90.893 -121.6533
2270.000000 91.073 -122.5729
2300.000000 91.246 -123.4863
2330.000000 91.409 -124.3918
2360.000000 91.561 -125.2726
2400.000000 91.755 -126.3857
2430.000000 91.889 -127.1957
2470.000000 92.048 -128.1758
2500.000000 92.153 -128.7532
2540.000000 92.294 -129.1852
2580.000000 92.481 -129.1015
2620.000000 92.789 -128.6451
2650.000000 93.129 -128.4143
2690.000000 93.719 -128.7641
2720.000000 94.251 -129.9425
2760.000000 94.929 -133.5525
2800.000000 95.286 -138.7805
2850.000000 95.315 -144.3605
2900.000000 95.247 -148.3472
2950.000000 95.187 -151.6470
3000.000000 95.124 -154.5414
3040.000000 95.080 -156.5523
3070.000000 95.066 -157.8923
3110.000000 95.099 -159.6145
3150.000000 95.192 -161.6678
3200.000000 95.296 -165.0851
3250.000000 95.296 -169.0038
3300.000000 95.216 -173.0770
3350.000000 95.048 -177.5681
3400.000000 94.680 177.6860
3450.000000 94.076 173.9439
3500.000000 93.435 171.9351
3550.000000 92.905 170.5593
3600.000000 92.387 169.0817
3650.000000 91.800 167.9512
3700.000000 91.157 167.6181
3750.000000 90.494 168.5337
3820.000000 89.872 172.6083
3870.000000 89.860 174.9072
3950.000000 89.836 174.2855
4000.000000 89.571 173.3805
4060.000000 89.104 173.1997
4120.000000 88.600 174.1559
4180.000000 88.136 176.0826
4250.000000 87.707 179.4156
4310.000000 87.507 -177.0199
4370.000000 87.505 -173.4939
4440.000000 87.675 -170.3320
4500.000000 87.863 -168.4958
4550.000000 88.013 -167.3631
4620.000000 88.199 -166.0794
4680.000000 88.343 -165.0562
4750.000000 88.519 -163.7263
4820.000000 88.777 -162.1458
4870.000000 89.061 -161.1793
4940.000000 89.539 -161.0026
5000.000000 89.886 -161.8076
5080.000000 90.271 -163.2033
5150.000000 90.586 -164.9380
