* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:33:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Jazz A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.347 -95.8402
20.600000 79.428 -95.9954
20.900000 79.519 -96.1579
21.200001 79.612 -96.3070
21.400000 79.675 -96.3937
21.799999 79.808 -96.5415
22.000000 79.880 -96.6137
22.400000 80.033 -96.7942
22.700001 80.152 -96.9817
23.000000 80.268 -97.2098
23.299999 80.378 -97.4534
23.600000 80.482 -97.6803
24.000000 80.615 -97.9179
24.299999 80.715 -98.0446
24.700001 80.855 -98.1770
25.000000 80.964 -98.2795
25.400000 81.112 -98.4548
25.799999 81.260 -98.6872
26.200001 81.406 -98.9722
26.500000 81.516 -99.2143
26.900000 81.664 -99.5685
27.200001 81.776 -99.8547
27.600000 81.925 -100.2577
28.000000 82.070 -100.6745
28.500000 82.240 -101.1868
29.000000 82.393 -101.6472
29.500000 82.534 -102.0197
30.000000 82.675 -102.3110
30.400000 82.796 -102.5268
30.700001 82.892 -102.7095
31.100000 83.025 -103.0104
31.500000 83.156 -103.3851
32.000000 83.307 -103.9168
32.500000 83.443 -104.4397
33.000000 83.576 -104.9062
33.500000 83.717 -105.3419
34.000000 83.866 -105.7849
34.500000 84.016 -106.2100
35.000000 84.162 -106.5510
35.500000 84.310 -106.8090
36.000000 84.457 -107.0802
36.500000 84.591 -107.4429
37.000000 84.705 -107.8550
37.500000 84.816 -108.2205
38.200001 85.013 -108.6763
38.700001 85.179 -109.0757
39.500000 85.408 -109.6898
40.000000 85.529 -109.8823
40.599998 85.691 -110.0987
41.200001 85.868 -110.6795
41.799999 86.021 -111.5720
42.500000 86.187 -112.4137
43.099998 86.382 -112.8638
43.700001 86.612 -113.4390
44.400002 86.827 -114.4374
45.000000 86.944 -115.2564
45.500000 87.034 -115.7571
46.200001 87.201 -116.3088
46.799999 87.374 -116.8195
47.500000 87.578 -117.4635
48.200001 87.786 -118.1328
48.700001 87.946 -118.7202
49.400002 88.165 -119.7903
50.000000 88.318 -120.7880
50.799999 88.476 -121.8222
51.500000 88.638 -122.5454
52.200001 88.848 -123.5748
53.000000 89.108 -125.1825
53.799999 89.376 -126.7619
54.500000 89.602 -127.9647
55.200001 89.784 -129.0565
56.000000 89.952 -130.2503
57.000000 90.197 -132.0963
58.000000 90.485 -134.5762
59.000000 90.745 -137.2943
60.000000 90.935 -140.0805
60.799999 91.042 -142.3239
61.500000 91.121 -144.3076
62.200001 91.191 -146.3676
63.000000 91.249 -148.8599
64.000000 91.279 -152.1373
65.000000 91.257 -155.3907
66.000000 91.184 -158.4494
67.000000 91.049 -161.3297
68.000000 90.854 -164.0402
69.000000 90.619 -166.4681
70.000000 90.366 -168.5645
71.000000 90.100 -170.3856
72.000000 89.825 -171.9217
73.000000 89.553 -173.1626
74.000000 89.284 -174.1181
75.000000 89.017 -174.7698
76.199997 88.717 -175.1814
77.500000 88.438 -175.3570
78.800003 88.215 -175.5107
80.000000 88.038 -175.6906
81.199997 87.865 -175.7531
82.500000 87.677 -175.6272
83.800003 87.505 -175.3050
85.000000 87.383 -174.8821
86.199997 87.309 -174.3932
87.500000 87.276 -173.8838
88.500000 87.272 -173.6043
90.000000 87.286 -173.4634
91.199997 87.309 -173.5479
92.500000 87.334 -173.8014
93.800003 87.349 -174.2014
95.000000 87.344 -174.6356
96.199997 87.322 -175.0703
97.500000 87.284 -175.4919
98.800003 87.240 -175.8279
100.000000 87.202 -176.0912
101.500000 87.163 -176.3913
103.000000 87.137 -176.7252
104.400002 87.121 -177.0904
106.000000 87.108 -177.5625
107.500000 87.091 -178.0741
109.000000 87.060 -178.6893
110.599998 87.003 -179.4083
112.000000 86.931 179.9784
113.800003 86.810 179.3172
115.000000 86.720 178.9981
117.199997 86.535 178.7210
118.000000 86.467 178.7583
120.599998 86.285 179.1919
122.000000 86.228 179.4226
124.099998 86.183 179.8900
125.000000 86.175 -179.9059
126.500000 86.175 -179.6343
128.000000 86.186 -179.4646
131.500000 86.237 -179.4307
132.000000 86.246 -179.4658
134.000000 86.277 -179.6617
136.000000 86.304 -179.9477
138.000000 86.331 179.6696
140.000000 86.355 179.1917
143.000000 86.367 178.2161
145.000000 86.351 177.4213
147.500000 86.290 176.3678
150.000000 86.179 175.3329
152.500000 86.013 174.4397
155.000000 85.805 173.9048
157.500000 85.585 173.8345
160.000000 85.377 174.1635
162.500000 85.184 174.7878
165.000000 85.003 175.8175
167.500000 84.893 177.4575
170.000000 84.940 179.3741
172.500000 85.131 -179.3166
175.000000 85.363 -179.0600
177.500000 85.543 -179.5752
180.000000 85.643 179.7408
182.500000 85.689 179.1764
185.000000 85.723 178.5990
187.500000 85.745 177.9315
190.000000 85.747 177.2619
192.500000 85.730 176.6224
195.000000 85.697 176.0132
197.500000 85.654 175.4374
200.000000 85.603 174.8795
203.000000 85.533 174.2795
206.000000 85.447 173.7161
209.000000 85.345 173.2273
212.000000 85.220 172.8102
214.000000 85.121 172.6383
218.000000 84.912 172.9301
220.000000 84.844 173.3916
224.000000 84.830 174.1312
227.000000 84.855 174.1210
230.000000 84.851 173.8416
233.000000 84.812 173.5575
236.000000 84.749 173.3396
240.000000 84.647 173.1787
243.000000 84.584 173.0972
247.000000 84.507 173.0191
250.000000 84.442 172.9666
254.000000 84.349 172.9438
258.000000 84.250 173.0197
262.000000 84.155 173.2390
265.000000 84.095 173.4645
269.000000 84.037 173.7274
272.000000 84.003 173.8618
276.000000 83.953 173.9436
280.000000 83.892 173.9586
285.000000 83.799 173.9897
290.000000 83.687 174.1063
295.000000 83.567 174.3586
300.000000 83.445 174.7826
304.000000 83.358 175.1536
307.000000 83.299 175.4768
311.000000 83.230 175.9811
315.000000 83.172 176.5113
320.000000 83.113 177.1547
325.000000 83.064 177.7658
330.000000 83.022 178.3449
335.000000 82.985 178.8737
340.000000 82.953 179.3945
345.000000 82.922 179.8828
350.000000 82.887 -179.6383
355.000000 82.847 -179.1597
360.000000 82.802 -178.6848
365.000000 82.757 -178.1560
370.000000 82.713 -177.5398
375.000000 82.667 -176.8754
382.000000 82.608 -175.8316
387.000000 82.576 -174.9239
395.000000 82.569 -173.1753
400.000000 82.614 -171.9703
406.000000 82.731 -170.5775
412.000000 82.915 -169.5054
418.000000 83.122 -169.0614
425.000000 83.320 -169.2968
431.000000 83.427 -169.7205
437.000000 83.485 -170.0791
444.000000 83.517 -170.3315
450.000000 83.534 -170.4333
455.000000 83.548 -170.4685
462.000000 83.572 -170.4933
468.000000 83.592 -170.5370
475.000000 83.610 -170.6102
482.000000 83.619 -170.6875
487.000000 83.620 -170.7099
494.000000 83.616 -170.7435
500.000000 83.611 -170.7725
508.000000 83.600 -170.7925
515.000000 83.590 -170.8026
522.000000 83.575 -170.8263
530.000000 83.546 -170.8300
538.000000 83.510 -170.7584
545.000000 83.478 -170.6831
552.000000 83.446 -170.5900
560.000000 83.406 -170.4389
570.000000 83.353 -170.2174
580.000000 83.294 -169.9604
590.000000 83.227 -169.6078
600.000000 83.158 -169.1265
608.000000 83.105 -168.7022
615.000000 83.062 -168.2678
622.000000 83.025 -167.7875
630.000000 82.993 -167.2099
640.000000 82.961 -166.4653
650.000000 82.936 -165.7012
660.000000 82.919 -164.9214
670.000000 82.904 -164.1483
680.000000 82.891 -163.2764
690.000000 82.896 -162.3083
700.000000 82.922 -161.3221
710.000000 82.970 -160.3623
720.000000 83.031 -159.4794
730.000000 83.092 -158.7055
740.000000 83.158 -157.9550
750.000000 83.234 -157.1891
762.000000 83.337 -156.2993
775.000000 83.465 -155.4203
788.000000 83.612 -154.6292
800.000000 83.763 -154.0127
812.000000 83.925 -153.5442
825.000000 84.100 -153.2535
838.000000 84.264 -153.1269
850.000000 84.405 -153.1125
862.000000 84.538 -153.1739
875.000000 84.675 -153.3018
885.000000 84.778 -153.4648
900.000000 84.921 -153.8067
912.000000 85.027 -154.1591
925.000000 85.130 -154.6217
938.000000 85.217 -155.1411
950.000000 85.285 -155.6617
962.000000 85.341 -156.2312
975.000000 85.390 -156.8858
988.000000 85.422 -157.5507
1000.000000 85.437 -158.1620
1015.000000 85.436 -158.9138
1030.000000 85.416 -159.6593
1044.000000 85.381 -160.3223
1060.000000 85.323 -161.0204
1075.000000 85.253 -161.5999
1090.000000 85.173 -162.1087
1106.000000 85.076 -162.5909
1120.000000 84.983 -162.9690
1138.000000 84.852 -163.3873
1150.000000 84.755 -163.5963
1172.000000 84.568 -163.8781
1180.000000 84.497 -163.9679
1206.000000 84.247 -164.2264
1220.000000 84.094 -164.3527
1241.000000 83.814 -164.5350
1250.000000 83.665 -164.5152
1265.000000 83.390 -164.1229
1280.000000 83.117 -163.2086
1315.000000 82.653 -160.0746
1320.000000 82.605 -159.6189
1340.000000 82.438 -157.9307
1360.000000 82.280 -156.4338
1380.000000 82.111 -155.0255
1400.000000 81.919 -153.6692
1430.000000 81.530 -151.6127
1450.000000 81.169 -149.9641
1475.000000 80.554 -147.1192
1500.000000 79.708 -141.5236
1525.000000 79.071 -129.7283
1550.000000 79.521 -113.7687
1575.000000 81.387 -100.0106
1600.000000 83.832 -96.5536
1625.000000 85.509 -102.0011
1650.000000 86.174 -108.8252
1675.000000 86.300 -113.1250
1700.000000 86.307 -114.9258
1725.000000 86.354 -115.3030
1750.000000 86.465 -114.9685
1775.000000 86.637 -114.2314
1800.000000 86.876 -113.2833
1825.000000 87.179 -112.3817
1850.000000 87.524 -111.6767
1875.000000 87.898 -111.1600
1900.000000 88.298 -110.8987
1925.000000 88.707 -110.9766
1950.000000 89.110 -111.3853
1975.000000 89.494 -112.0720
2000.000000 89.853 -112.9774
2030.000000 90.243 -114.2797
2060.000000 90.587 -115.7425
2090.000000 90.886 -117.2804
2120.000000 91.146 -118.8230
2140.000000 91.301 -119.8359
2180.000000 91.573 -121.7762
2200.000000 91.693 -122.6797
2240.000000 91.922 -124.3669
2270.000000 92.088 -125.6583
2300.000000 92.232 -126.9578
2330.000000 92.358 -128.1489
2360.000000 92.481 -129.2534
2400.000000 92.645 -130.7122
2430.000000 92.759 -131.8358
2470.000000 92.884 -133.3216
2500.000000 92.956 -134.3299
2540.000000 93.041 -135.3977
2580.000000 93.147 -136.1819
2620.000000 93.286 -136.8120
2650.000000 93.414 -137.1602
2690.000000 93.661 -137.4247
2720.000000 93.943 -137.7089
2760.000000 94.448 -139.0252
2800.000000 94.945 -142.1921
2850.000000 95.230 -147.8324
2900.000000 95.158 -152.6996
2950.000000 95.041 -156.2222
3000.000000 94.975 -159.8487
3040.000000 94.821 -163.2179
3070.000000 94.589 -165.4740
3110.000000 94.209 -167.3848
3150.000000 93.889 -168.3080
3200.000000 93.624 -169.0709
3250.000000 93.455 -169.9688
3300.000000 93.331 -171.1239
3350.000000 93.238 -172.7264
3400.000000 93.081 -175.1627
3450.000000 92.735 -177.7163
3500.000000 92.239 -179.3537
3550.000000 91.696 -179.7502
3600.000000 91.207 -178.8170
3650.000000 90.911 -176.9368
3700.000000 90.856 -175.4409
3750.000000 90.899 -175.2646
3820.000000 90.826 -176.6775
3870.000000 90.609 -177.9087
3950.000000 90.063 -178.8825
4000.000000 89.679 -178.6520
4060.000000 89.240 -177.5810
4120.000000 88.865 -175.8169
4180.000000 88.580 -173.5983
4250.000000 88.375 -170.7424
4310.000000 88.306 -168.3796
4370.000000 88.300 -166.2926
4440.000000 88.334 -164.1064
4500.000000 88.396 -162.3332
4550.000000 88.477 -160.9343
4620.000000 88.634 -159.1331
4680.000000 88.808 -157.7320
4750.000000 89.081 -156.2085
4820.000000 89.470 -155.2617
4870.000000 89.770 -155.3802
4940.000000 90.121 -156.3609
5000.000000 90.372 -157.5576
5080.000000 90.627 -159.9667
5150.000000 90.665 -162.6469
