* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:18:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Pop A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.945 -63.8310
20.600000 78.147 -63.9975
20.900000 78.375 -64.2185
21.200001 78.604 -64.4555
21.400000 78.755 -64.6046
21.799999 79.054 -64.8527
22.000000 79.205 -64.9499
22.400000 79.510 -65.1167
22.700001 79.742 -65.2535
23.000000 79.975 -65.4305
23.299999 80.208 -65.6609
23.600000 80.440 -65.9430
24.000000 80.751 -66.3807
24.299999 80.990 -66.7462
24.700001 81.322 -67.2936
25.000000 81.581 -67.7700
25.400000 81.934 -68.5194
25.799999 82.283 -69.3939
26.200001 82.614 -70.3459
26.500000 82.849 -71.0749
26.900000 83.148 -72.0471
27.200001 83.368 -72.7927
27.600000 83.658 -73.8677
28.000000 83.943 -75.1000
28.500000 84.282 -76.8836
29.000000 84.590 -78.8254
29.500000 84.873 -80.7478
30.000000 85.144 -82.5572
30.400000 85.357 -83.9446
30.700001 85.512 -84.9798
31.100000 85.705 -86.3794
31.500000 85.877 -87.8082
32.000000 86.063 -89.6186
32.500000 86.223 -91.4301
33.000000 86.367 -93.2140
33.500000 86.499 -94.9160
34.000000 86.621 -96.4591
34.500000 86.741 -97.8001
35.000000 86.868 -98.9852
35.500000 86.999 -100.1254
36.000000 87.125 -101.3085
36.500000 87.235 -102.5365
37.000000 87.329 -103.7477
37.500000 87.417 -104.8851
38.200001 87.546 -106.3531
38.700001 87.647 -107.3605
39.500000 87.808 -108.9451
40.000000 87.905 -109.8904
40.599998 88.020 -110.9403
41.200001 88.146 -111.9033
41.799999 88.288 -112.8398
42.500000 88.472 -114.0016
43.099998 88.630 -115.0729
43.700001 88.778 -116.1423
44.400002 88.937 -117.2978
45.000000 89.068 -118.2286
45.500000 89.171 -119.0111
46.200001 89.308 -120.1489
46.799999 89.427 -121.1432
47.500000 89.585 -122.3026
48.200001 89.767 -123.4440
48.700001 89.906 -124.2280
49.400002 90.110 -125.2910
50.000000 90.287 -126.2256
50.799999 90.509 -127.5379
51.500000 90.696 -128.6724
52.200001 90.902 -129.8023
53.000000 91.163 -131.2610
53.799999 91.426 -132.9435
54.500000 91.654 -134.4972
55.200001 91.889 -136.1006
56.000000 92.167 -138.0887
57.000000 92.509 -140.9660
58.000000 92.818 -144.2422
59.000000 93.097 -147.6989
60.000000 93.345 -151.3457
60.799999 93.498 -154.4707
61.500000 93.593 -157.3386
62.200001 93.660 -160.2793
63.000000 93.702 -163.6428
64.000000 93.701 -167.7443
65.000000 93.628 -171.7345
66.000000 93.481 -175.5873
67.000000 93.287 -179.1764
68.000000 93.068 177.5496
69.000000 92.814 174.6300
70.000000 92.540 172.1628
71.000000 92.276 170.0533
72.000000 92.022 168.1758
73.000000 91.788 166.4957
74.000000 91.584 164.9533
75.000000 91.405 163.5037
76.199997 91.196 161.7224
77.500000 90.935 159.8489
78.800003 90.674 158.2913
80.000000 90.459 157.1255
81.199997 90.295 156.0505
82.500000 90.161 154.8277
83.800003 90.062 153.5330
85.000000 89.984 151.9965
86.199997 89.884 150.1209
87.500000 89.748 147.9063
88.500000 89.612 146.1376
90.000000 89.333 143.4939
91.199997 89.049 141.4794
92.500000 88.696 139.5220
93.800003 88.298 137.9202
95.000000 87.909 136.8727
96.199997 87.525 136.2327
97.500000 87.121 135.9849
98.800003 86.743 136.1813
100.000000 86.442 136.6242
101.500000 86.141 137.4050
103.000000 85.914 138.2557
104.400002 85.758 138.9578
106.000000 85.636 139.5660
107.500000 85.555 139.8876
109.000000 85.476 139.9783
110.599998 85.374 139.9155
112.000000 85.278 139.7856
113.800003 85.165 139.5892
115.000000 85.101 139.4653
117.199997 84.984 139.2889
118.000000 84.940 139.2240
120.599998 84.820 138.8461
122.000000 84.763 138.5883
124.099998 84.673 138.2071
125.000000 84.634 138.0382
126.500000 84.564 137.7564
128.000000 84.493 137.4644
131.500000 84.336 136.5498
132.000000 84.313 136.4017
134.000000 84.227 135.8853
136.000000 84.145 135.4265
138.000000 84.066 134.8952
140.000000 83.987 134.3040
143.000000 83.881 133.4405
145.000000 83.810 132.7375
147.500000 83.710 131.6140
150.000000 83.588 130.4034
152.500000 83.432 129.1100
155.000000 83.239 127.7927
157.500000 83.005 126.6479
160.000000 82.743 125.8322
162.500000 82.467 125.2321
165.000000 82.169 124.9159
167.500000 81.879 125.2136
170.000000 81.689 126.0898
172.500000 81.645 126.7838
175.000000 81.675 126.6879
177.500000 81.687 125.9026
180.000000 81.631 124.8257
182.500000 81.503 123.6439
185.000000 81.331 122.5137
187.500000 81.130 121.5126
190.000000 80.910 120.5961
192.500000 80.686 119.7754
195.000000 80.449 119.0549
197.500000 80.196 118.4606
200.000000 79.935 118.0511
203.000000 79.621 117.6992
206.000000 79.304 117.4359
209.000000 78.982 117.3013
212.000000 78.654 117.2760
214.000000 78.429 117.3392
218.000000 77.961 117.8616
220.000000 77.735 118.5042
224.000000 77.383 120.2994
227.000000 77.203 121.3939
230.000000 77.040 122.1894
233.000000 76.867 122.8121
236.000000 76.687 123.4175
240.000000 76.446 124.3468
243.000000 76.266 125.1984
247.000000 76.048 126.4252
250.000000 75.899 127.4298
254.000000 75.730 128.7622
258.000000 75.593 130.0212
262.000000 75.469 131.2220
265.000000 75.386 132.0683
269.000000 75.301 133.1743
272.000000 75.248 133.9756
276.000000 75.182 134.9899
280.000000 75.121 136.0215
285.000000 75.071 137.2421
290.000000 75.065 138.2792
295.000000 75.070 138.8303
300.000000 75.061 139.0134
304.000000 75.028 139.1700
307.000000 74.989 139.2871
311.000000 74.933 139.3876
315.000000 74.874 139.4738
320.000000 74.790 139.6042
325.000000 74.692 139.7523
330.000000 74.583 139.8870
335.000000 74.469 140.0122
340.000000 74.352 140.1384
345.000000 74.222 140.2721
350.000000 74.079 140.4365
355.000000 73.935 140.6386
360.000000 73.797 140.8468
365.000000 73.655 141.0606
370.000000 73.504 141.2827
375.000000 73.346 141.4990
382.000000 73.101 141.8883
387.000000 72.908 142.2585
395.000000 72.586 142.9865
400.000000 72.384 143.5415
406.000000 72.140 144.3414
412.000000 71.895 145.2939
418.000000 71.648 146.3862
425.000000 71.343 147.8008
431.000000 71.077 149.3788
437.000000 70.854 151.4963
444.000000 70.694 154.2039
450.000000 70.621 156.1541
455.000000 70.571 157.4737
462.000000 70.489 159.2346
468.000000 70.410 160.8203
475.000000 70.325 162.7886
482.000000 70.258 164.8033
487.000000 70.221 166.2360
494.000000 70.189 168.2018
500.000000 70.179 169.9417
508.000000 70.185 172.2634
515.000000 70.223 174.1946
522.000000 70.293 176.0287
530.000000 70.400 178.0067
538.000000 70.521 179.7893
545.000000 70.636 -178.8565
552.000000 70.755 -177.6803
560.000000 70.888 -176.5279
570.000000 71.040 -175.2183
580.000000 71.186 -174.0560
590.000000 71.323 -173.0037
600.000000 71.444 -172.1575
608.000000 71.533 -171.5621
615.000000 71.607 -171.0397
622.000000 71.679 -170.5076
630.000000 71.754 -169.9283
640.000000 71.827 -169.2891
650.000000 71.889 -168.6916
660.000000 71.945 -168.0930
670.000000 71.999 -167.5378
680.000000 72.053 -167.0224
690.000000 72.095 -166.4676
700.000000 72.125 -165.8931
710.000000 72.145 -165.3237
720.000000 72.163 -164.7289
730.000000 72.188 -164.1555
740.000000 72.217 -163.5796
750.000000 72.239 -163.0273
762.000000 72.251 -162.3727
775.000000 72.249 -161.6234
788.000000 72.242 -160.8891
800.000000 72.226 -160.1850
812.000000 72.198 -159.4011
825.000000 72.158 -158.4184
838.000000 72.124 -157.3491
850.000000 72.092 -156.2074
862.000000 72.053 -154.8560
875.000000 72.027 -153.1026
885.000000 72.049 -151.5969
900.000000 72.170 -149.3788
912.000000 72.317 -147.9756
925.000000 72.485 -146.9056
938.000000 72.624 -146.1667
950.000000 72.712 -145.5969
962.000000 72.773 -144.9377
975.000000 72.832 -144.1154
988.000000 72.893 -143.2177
1000.000000 72.954 -142.3044
1015.000000 73.038 -141.1242
1030.000000 73.133 -139.9680
1044.000000 73.233 -138.9205
1060.000000 73.356 -137.7464
1075.000000 73.477 -136.7635
1090.000000 73.599 -135.8804
1106.000000 73.725 -134.9809
1120.000000 73.826 -134.2439
1138.000000 73.947 -133.3608
1150.000000 74.021 -132.7433
1172.000000 74.144 -131.5522
1180.000000 74.189 -131.0819
1206.000000 74.358 -129.5046
1220.000000 74.462 -128.7773
1241.000000 74.575 -127.9244
1250.000000 74.602 -127.4697
1265.000000 74.649 -126.4118
1280.000000 74.731 -125.0967
1315.000000 75.075 -122.3069
1320.000000 75.133 -121.9979
1340.000000 75.366 -120.9269
1360.000000 75.597 -120.0624
1380.000000 75.819 -119.4730
1400.000000 76.018 -119.1790
1430.000000 76.226 -119.1005
1450.000000 76.284 -119.0543
1475.000000 76.269 -118.7871
1500.000000 76.140 -118.0378
1525.000000 75.918 -115.7891
1550.000000 75.847 -111.4123
1575.000000 76.110 -106.6773
1600.000000 76.594 -103.0217
1625.000000 77.145 -100.5946
1650.000000 77.683 -99.0137
1675.000000 78.181 -98.0442
1700.000000 78.611 -97.4275
1725.000000 78.979 -96.7802
1750.000000 79.330 -95.8663
1775.000000 79.720 -94.7512
1800.000000 80.172 -93.7828
1825.000000 80.648 -93.3397
1850.000000 81.085 -93.4093
1875.000000 81.456 -93.5907
1900.000000 81.792 -93.5709
1925.000000 82.137 -93.3741
1950.000000 82.505 -93.1167
1975.000000 82.900 -92.9071
2000.000000 83.329 -92.8775
2030.000000 83.865 -93.3345
2060.000000 84.365 -94.3822
2090.000000 84.794 -95.7106
2120.000000 85.158 -97.0543
2140.000000 85.377 -97.8972
2180.000000 85.787 -99.4173
2200.000000 85.983 -100.1209
2240.000000 86.368 -101.4582
2270.000000 86.653 -102.4496
2300.000000 86.932 -103.4771
2330.000000 87.201 -104.5356
2360.000000 87.457 -105.5985
2400.000000 87.785 -106.9937
2430.000000 88.018 -108.0399
2470.000000 88.303 -109.3743
2500.000000 88.502 -110.2525
2540.000000 88.761 -111.1224
2580.000000 89.056 -111.4901
2620.000000 89.466 -111.4973
2650.000000 89.880 -111.6246
2690.000000 90.570 -112.4819
2720.000000 91.170 -114.0624
2760.000000 91.925 -118.2053
2800.000000 92.347 -123.9300
2850.000000 92.455 -130.1127
2900.000000 92.466 -134.7156
2950.000000 92.476 -138.6346
3000.000000 92.471 -142.1298
3040.000000 92.467 -144.6106
3070.000000 92.480 -146.2949
3110.000000 92.546 -148.4554
3150.000000 92.668 -150.9181
3200.000000 92.801 -154.8155
3250.000000 92.826 -159.1810
3300.000000 92.768 -163.6646
3350.000000 92.620 -168.5252
3400.000000 92.271 -173.6046
3450.000000 91.682 -177.6548
3500.000000 91.055 -179.9433
3550.000000 90.540 178.4225
3600.000000 90.039 176.7086
3650.000000 89.465 175.3634
3700.000000 88.833 174.8506
3750.000000 88.183 175.6029
3820.000000 87.579 179.4365
3870.000000 87.577 -178.3727
3950.000000 87.576 -179.0948
4000.000000 87.328 179.9407
4060.000000 86.885 179.6734
4120.000000 86.407 -179.4513
4180.000000 85.971 -177.5912
4250.000000 85.573 -174.3394
4310.000000 85.397 -170.8361
4370.000000 85.419 -167.3495
4440.000000 85.624 -164.2226
4500.000000 85.845 -162.4314
4550.000000 86.021 -161.3505
4620.000000 86.240 -160.1611
4680.000000 86.411 -159.2289
4750.000000 86.618 -158.0125
4820.000000 86.904 -156.5478
4870.000000 87.203 -155.6592
4940.000000 87.698 -155.5734
5000.000000 88.060 -156.4542
5080.000000 88.464 -157.9548
5150.000000 88.793 -159.7848
5220.000000 89.010 -162.2841
5300.000000 89.068 -164.7217
5380.000000 89.192 -166.0862
5450.000000 89.411 -168.0697
5520.000000 89.528 -170.9533
