* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:34:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Pop A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.039 -87.1688
20.600000 81.195 -87.2962
20.900000 81.376 -87.4439
21.200001 81.561 -87.6102
21.400000 81.684 -87.7321
21.799999 81.925 -88.0001
22.000000 82.045 -88.1456
22.400000 82.283 -88.4615
22.700001 82.465 -88.7244
23.000000 82.651 -89.0124
23.299999 82.843 -89.3254
23.600000 83.041 -89.6614
24.000000 83.315 -90.1440
24.299999 83.526 -90.5362
24.700001 83.813 -91.1138
25.000000 84.026 -91.5985
25.400000 84.305 -92.3195
25.799999 84.572 -93.1177
26.200001 84.827 -93.9791
26.500000 85.014 -94.6646
26.900000 85.261 -95.6428
27.200001 85.444 -96.4369
27.600000 85.685 -97.5852
28.000000 85.915 -98.8229
28.500000 86.186 -100.4438
29.000000 86.439 -102.0914
29.500000 86.677 -103.7538
30.000000 86.895 -105.4462
30.400000 87.053 -106.8189
30.700001 87.160 -107.8497
31.100000 87.289 -109.2154
31.500000 87.405 -110.5697
32.000000 87.534 -112.2534
32.500000 87.644 -113.9146
33.000000 87.733 -115.5081
33.500000 87.808 -116.9987
34.000000 87.876 -118.4047
34.500000 87.938 -119.7689
35.000000 87.988 -121.0896
35.500000 88.030 -122.3122
36.000000 88.076 -123.3959
36.500000 88.136 -124.3684
37.000000 88.205 -125.2900
37.500000 88.270 -126.1803
38.200001 88.340 -127.3020
38.700001 88.386 -127.9845
39.500000 88.485 -128.9952
40.000000 88.562 -129.6451
40.599998 88.660 -130.3995
41.200001 88.763 -131.0424
41.799999 88.877 -131.6007
42.500000 89.015 -132.3192
43.099998 89.121 -133.0530
43.700001 89.212 -133.8098
44.400002 89.327 -134.6355
45.000000 89.448 -135.3612
45.500000 89.560 -136.0432
46.200001 89.717 -137.1207
46.799999 89.850 -138.1122
47.500000 90.014 -139.3177
48.200001 90.201 -140.5563
48.700001 90.348 -141.4289
49.400002 90.564 -142.5723
50.000000 90.740 -143.4348
50.799999 90.944 -144.4383
51.500000 91.099 -145.3686
52.200001 91.250 -146.5956
53.000000 91.442 -148.4014
53.799999 91.668 -150.3450
54.500000 91.885 -151.9488
55.200001 92.093 -153.4957
56.000000 92.302 -155.4003
57.000000 92.543 -158.2041
58.000000 92.796 -161.3411
59.000000 93.031 -164.5833
60.000000 93.204 -168.0247
60.799999 93.306 -171.0126
61.500000 93.379 -173.7421
62.200001 93.431 -176.4926
63.000000 93.452 -179.6271
64.000000 93.416 176.4069
65.000000 93.323 172.4033
66.000000 93.170 168.5619
67.000000 92.949 165.0088
68.000000 92.678 161.6583
69.000000 92.375 158.4992
70.000000 92.043 155.6997
71.000000 91.687 153.2993
72.000000 91.318 151.2369
73.000000 90.944 149.5149
74.000000 90.573 148.1165
75.000000 90.210 147.0229
76.199997 89.807 146.0668
77.500000 89.416 145.3222
78.800003 89.064 144.7573
80.000000 88.771 144.2862
81.199997 88.493 143.8607
82.500000 88.199 143.5646
83.800003 87.924 143.5030
85.000000 87.700 143.6505
86.199997 87.518 143.9022
87.500000 87.372 144.1324
88.500000 87.289 144.1872
90.000000 87.191 144.0558
91.199997 87.123 143.7994
92.500000 87.054 143.3813
93.800003 86.981 142.7915
95.000000 86.899 142.1582
96.199997 86.803 141.5345
97.500000 86.691 140.8932
98.800003 86.573 140.3206
100.000000 86.455 139.8590
101.500000 86.310 139.3420
103.000000 86.182 138.8564
104.400002 86.072 138.3993
106.000000 85.955 137.8157
107.500000 85.846 137.1682
109.000000 85.733 136.4486
110.599998 85.604 135.6075
112.000000 85.464 134.8494
113.800003 85.246 133.9701
115.000000 85.090 133.5324
117.199997 84.798 133.0331
118.000000 84.697 132.9800
120.599998 84.396 133.1690
122.000000 84.252 133.3420
124.099998 84.090 133.6839
125.000000 84.040 133.8240
126.500000 83.972 134.0024
128.000000 83.920 134.0682
131.500000 83.842 133.8016
132.000000 83.833 133.7305
134.000000 83.793 133.3580
136.000000 83.748 132.8890
138.000000 83.694 132.3133
140.000000 83.635 131.5823
143.000000 83.545 130.2020
145.000000 83.463 129.1295
147.500000 83.308 127.6680
150.000000 83.101 126.2098
152.500000 82.835 124.8923
155.000000 82.520 123.9362
157.500000 82.180 123.4544
160.000000 81.852 123.3730
162.500000 81.549 123.6105
165.000000 81.260 124.2173
167.500000 81.040 125.4045
170.000000 80.959 126.7521
172.500000 81.001 127.4579
175.000000 81.068 127.1717
177.500000 81.076 126.2311
180.000000 81.000 125.1525
182.500000 80.881 124.2366
185.000000 80.747 123.4076
187.500000 80.590 122.5115
190.000000 80.403 121.6567
192.500000 80.190 120.8886
195.000000 79.964 120.1929
197.500000 79.732 119.6343
200.000000 79.494 119.1822
203.000000 79.190 118.7181
206.000000 78.872 118.3765
209.000000 78.535 118.1719
212.000000 78.179 118.1542
214.000000 77.930 118.3107
218.000000 77.431 119.3425
220.000000 77.220 120.2571
224.000000 76.919 122.0809
227.000000 76.738 123.0164
230.000000 76.551 123.7277
233.000000 76.351 124.4617
236.000000 76.143 125.3384
240.000000 75.872 126.7136
243.000000 75.695 127.7933
247.000000 75.495 129.2911
250.000000 75.360 130.3954
254.000000 75.191 131.8677
258.000000 75.048 133.4273
262.000000 74.931 135.0812
265.000000 74.867 136.2872
269.000000 74.827 137.7626
272.000000 74.820 138.7697
276.000000 74.819 139.8933
280.000000 74.813 140.7973
285.000000 74.798 141.6839
290.000000 74.772 142.4408
295.000000 74.738 143.1354
300.000000 74.686 143.7700
304.000000 74.642 144.2376
307.000000 74.615 144.6034
311.000000 74.591 145.1281
315.000000 74.576 145.5894
320.000000 74.547 146.0190
325.000000 74.505 146.3682
330.000000 74.457 146.6124
335.000000 74.399 146.7628
340.000000 74.331 146.8481
345.000000 74.255 146.8611
350.000000 74.158 146.8661
355.000000 74.039 146.9351
360.000000 73.898 147.0396
365.000000 73.743 147.1718
370.000000 73.577 147.4022
375.000000 73.399 147.7319
382.000000 73.135 148.4416
387.000000 72.941 149.2020
395.000000 72.651 150.8047
400.000000 72.508 152.0019
406.000000 72.392 153.5814
412.000000 72.339 155.0194
418.000000 72.316 155.8698
425.000000 72.253 156.3731
431.000000 72.127 156.7448
437.000000 71.953 157.2674
444.000000 71.736 158.2160
450.000000 71.549 159.2841
455.000000 71.400 160.3828
462.000000 71.211 162.1385
468.000000 71.077 163.6736
475.000000 70.940 165.5396
482.000000 70.821 167.4756
487.000000 70.754 168.8784
494.000000 70.685 170.9238
500.000000 70.650 172.7123
508.000000 70.635 175.0605
515.000000 70.653 177.1035
522.000000 70.690 179.0249
530.000000 70.755 -178.8889
538.000000 70.848 -176.9609
545.000000 70.945 -175.4577
552.000000 71.052 -174.0376
560.000000 71.180 -172.5235
570.000000 71.337 -170.9043
580.000000 71.496 -169.5297
590.000000 71.654 -168.3548
600.000000 71.799 -167.3390
608.000000 71.910 -166.5052
615.000000 72.006 -165.8201
622.000000 72.098 -165.2047
630.000000 72.200 -164.5967
640.000000 72.321 -163.9705
650.000000 72.432 -163.3961
660.000000 72.533 -162.9544
670.000000 72.614 -162.5456
680.000000 72.674 -162.0361
690.000000 72.725 -161.5103
700.000000 72.780 -160.9726
710.000000 72.836 -160.4495
720.000000 72.887 -160.0213
730.000000 72.927 -159.6582
740.000000 72.954 -159.3056
750.000000 72.975 -158.9040
762.000000 72.997 -158.3470
775.000000 73.019 -157.7310
788.000000 73.035 -157.0788
800.000000 73.049 -156.4429
812.000000 73.061 -155.8440
825.000000 73.067 -155.2448
838.000000 73.057 -154.6480
850.000000 73.032 -154.0638
862.000000 73.003 -153.3823
875.000000 72.973 -152.5046
885.000000 72.949 -151.7775
900.000000 72.916 -150.6312
912.000000 72.894 -149.6262
925.000000 72.877 -148.4857
938.000000 72.872 -147.2719
950.000000 72.874 -146.0780
962.000000 72.886 -144.8598
975.000000 72.915 -143.5425
988.000000 72.954 -142.2043
1000.000000 72.999 -140.9742
1015.000000 73.070 -139.4735
1030.000000 73.157 -137.9890
1044.000000 73.254 -136.6691
1060.000000 73.374 -135.2979
1075.000000 73.494 -134.1145
1090.000000 73.627 -133.0219
1106.000000 73.779 -131.9775
1120.000000 73.913 -131.1514
1138.000000 74.078 -130.1798
1150.000000 74.182 -129.5867
1172.000000 74.372 -128.6809
1180.000000 74.438 -128.4219
1206.000000 74.624 -127.8231
1220.000000 74.697 -127.6481
1241.000000 74.740 -127.5518
1250.000000 74.724 -127.4605
1265.000000 74.664 -127.0043
1280.000000 74.602 -126.1024
1315.000000 74.607 -123.2798
1320.000000 74.621 -122.9032
1340.000000 74.689 -121.5773
1360.000000 74.749 -120.4939
1380.000000 74.783 -119.5468
1400.000000 74.775 -118.6973
1430.000000 74.632 -117.4949
1450.000000 74.419 -116.4161
1475.000000 73.962 -114.2510
1500.000000 73.257 -109.3253
1525.000000 72.764 -98.2288
1550.000000 73.348 -83.0614
1575.000000 75.321 -70.0322
1600.000000 77.842 -67.1885
1625.000000 79.581 -73.1603
1650.000000 80.303 -80.4626
1675.000000 80.480 -85.2154
1700.000000 80.533 -87.4178
1725.000000 80.623 -88.1405
1750.000000 80.771 -88.0965
1775.000000 80.976 -87.5949
1800.000000 81.249 -86.8393
1825.000000 81.587 -86.0817
1850.000000 81.967 -85.4538
1875.000000 82.378 -84.9534
1900.000000 82.818 -84.6924
1925.000000 83.274 -84.7476
1950.000000 83.726 -85.1050
1975.000000 84.164 -85.7313
2000.000000 84.582 -86.5712
2030.000000 85.049 -87.7833
2060.000000 85.477 -89.1582
2090.000000 85.865 -90.6213
2120.000000 86.219 -92.1029
2140.000000 86.439 -93.0858
2180.000000 86.845 -95.0157
2200.000000 87.035 -95.9454
2240.000000 87.407 -97.7318
2270.000000 87.680 -99.1439
2300.000000 87.929 -100.5969
2330.000000 88.160 -101.9711
2360.000000 88.388 -103.2891
2400.000000 88.689 -105.0785
2430.000000 88.902 -106.4905
2470.000000 89.155 -108.4015
2500.000000 89.318 -109.7552
2540.000000 89.520 -111.3125
2580.000000 89.736 -112.6164
2620.000000 89.978 -113.7929
2650.000000 90.180 -114.5612
2690.000000 90.520 -115.4003
2720.000000 90.868 -116.1356
2760.000000 91.455 -118.0592
2800.000000 92.023 -121.8176
2850.000000 92.384 -128.1688
2900.000000 92.384 -133.7292
2950.000000 92.334 -137.9532
3000.000000 92.328 -142.2668
3040.000000 92.215 -146.1699
3070.000000 92.012 -148.8194
3110.000000 91.665 -151.2524
3150.000000 91.377 -152.6931
3200.000000 91.146 -154.0781
3250.000000 91.006 -155.5674
3300.000000 90.906 -157.2772
3350.000000 90.835 -159.4071
3400.000000 90.696 -162.3414
3450.000000 90.365 -165.3588
3500.000000 89.882 -167.4311
3550.000000 89.353 -168.2389
3600.000000 88.878 -167.6917
3650.000000 88.598 -166.1790
3700.000000 88.559 -165.0529
3750.000000 88.615 -165.2439
3820.000000 88.554 -167.1184
3870.000000 88.347 -168.6432
3950.000000 87.822 -170.0356
4000.000000 87.456 -170.0455
4060.000000 87.040 -169.2496
4120.000000 86.689 -167.7565
4180.000000 86.429 -165.8165
4250.000000 86.256 -163.2820
4310.000000 86.215 -161.1842
4370.000000 86.240 -159.3602
4440.000000 86.312 -157.5028
4500.000000 86.408 -156.0600
4550.000000 86.513 -154.9529
4620.000000 86.700 -153.5432
4680.000000 86.897 -152.4712
4750.000000 87.197 -151.3340
4820.000000 87.612 -150.7822
4870.000000 87.930 -151.1873
4940.000000 88.303 -152.5750
5000.000000 88.569 -154.1274
5080.000000 88.840 -157.0121
5150.000000 88.889 -160.0932
5220.000000 88.736 -162.6261
5300.000000 88.492 -163.9700
5380.000000 88.377 -164.3398
5450.000000 88.376 -164.8801
5520.000000 88.387 -165.7709
