* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:19:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Rock A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.297 -59.2344
20.600000 78.482 -59.2331
20.900000 78.695 -59.2127
21.200001 78.918 -59.1914
21.400000 79.074 -59.1917
21.799999 79.401 -59.2666
22.000000 79.570 -59.3530
22.400000 79.910 -59.6207
22.700001 80.162 -59.8731
23.000000 80.409 -60.1284
23.299999 80.655 -60.3585
23.600000 80.907 -60.5618
24.000000 81.262 -60.8487
24.299999 81.545 -61.1430
24.700001 81.935 -61.7209
25.000000 82.227 -62.3003
25.400000 82.602 -63.2047
25.799999 82.956 -64.1511
26.200001 83.297 -65.0610
26.500000 83.552 -65.7247
26.900000 83.894 -66.6516
27.200001 84.151 -67.4323
27.600000 84.486 -68.6350
28.000000 84.804 -70.0165
28.500000 85.175 -71.9178
29.000000 85.524 -73.9224
29.500000 85.857 -75.9901
30.000000 86.167 -78.1103
30.400000 86.391 -79.8249
30.700001 86.543 -81.1063
31.100000 86.726 -82.7948
31.500000 86.888 -84.4577
32.000000 87.070 -86.5132
32.500000 87.232 -88.5519
33.000000 87.373 -90.5500
33.500000 87.490 -92.4519
34.000000 87.587 -94.2054
34.500000 87.672 -95.7994
35.000000 87.755 -97.2809
35.500000 87.842 -98.7274
36.000000 87.930 -100.1835
36.500000 88.013 -101.6185
37.000000 88.090 -102.9576
37.500000 88.164 -104.1590
38.200001 88.271 -105.6743
38.700001 88.342 -106.7089
39.500000 88.446 -108.3020
40.000000 88.518 -109.2616
40.599998 88.620 -110.4189
41.200001 88.724 -111.5520
41.799999 88.822 -112.5352
42.500000 88.946 -113.4583
43.099998 89.069 -114.2449
43.700001 89.187 -115.1644
44.400002 89.301 -116.3156
45.000000 89.394 -117.2389
45.500000 89.483 -117.9606
46.200001 89.630 -118.9790
46.799999 89.766 -119.8917
47.500000 89.924 -120.9557
48.200001 90.081 -121.9600
48.700001 90.198 -122.6597
49.400002 90.366 -123.6989
50.000000 90.507 -124.6693
50.799999 90.693 -125.9776
51.500000 90.872 -127.0919
52.200001 91.069 -128.2439
53.000000 91.298 -129.6473
53.799999 91.530 -131.1682
54.500000 91.737 -132.6523
55.200001 91.948 -134.2591
56.000000 92.202 -136.2145
57.000000 92.527 -138.9647
58.000000 92.809 -142.0108
59.000000 93.057 -145.2425
60.000000 93.266 -148.8309
60.799999 93.392 -151.9409
61.500000 93.475 -154.7617
62.200001 93.534 -157.6234
63.000000 93.565 -160.8805
64.000000 93.532 -164.8785
65.000000 93.414 -168.7625
66.000000 93.238 -172.4649
67.000000 93.026 -175.9390
68.000000 92.772 -179.0677
69.000000 92.489 178.2064
70.000000 92.197 175.8038
71.000000 91.905 173.6588
72.000000 91.610 171.8198
73.000000 91.329 170.3412
74.000000 91.086 169.0466
75.000000 90.866 167.7211
76.199997 90.594 166.0674
77.500000 90.280 164.4417
78.800003 89.982 163.1453
80.000000 89.729 162.1521
81.199997 89.497 161.2770
82.500000 89.284 160.3869
83.800003 89.127 159.3795
85.000000 89.006 158.1664
86.199997 88.862 156.6520
87.500000 88.658 154.7489
88.500000 88.465 153.1758
90.000000 88.117 150.8851
91.199997 87.786 149.2593
92.500000 87.367 147.7694
93.800003 86.904 146.6344
95.000000 86.460 145.9807
96.199997 86.007 145.7646
97.500000 85.523 145.9539
98.800003 85.071 146.5650
100.000000 84.697 147.5301
101.500000 84.294 149.0750
103.000000 83.973 150.7971
104.400002 83.743 152.3892
106.000000 83.530 153.9996
107.500000 83.365 155.3314
109.000000 83.217 156.5682
110.599998 83.060 157.7354
112.000000 82.921 158.7158
113.800003 82.750 159.9984
115.000000 82.642 160.8644
117.199997 82.463 162.4726
118.000000 82.412 163.0291
120.599998 82.316 164.9676
122.000000 82.281 166.0473
124.099998 82.243 167.6107
125.000000 82.232 168.2826
126.500000 82.218 169.3509
128.000000 82.210 170.3271
131.500000 82.224 172.4953
132.000000 82.230 172.8069
134.000000 82.278 174.0131
136.000000 82.368 175.1234
138.000000 82.462 176.1827
140.000000 82.550 177.0103
143.000000 82.743 177.8967
145.000000 82.868 178.3894
147.500000 83.010 178.5525
150.000000 83.145 178.5524
152.500000 83.243 178.3531
155.000000 83.308 178.0998
157.500000 83.328 177.8442
160.000000 83.325 177.7969
162.500000 83.307 177.9287
165.000000 83.274 178.3288
167.500000 83.260 179.2196
170.000000 83.342 -179.4105
172.500000 83.560 -178.2859
175.000000 83.835 -177.9971
177.500000 84.088 -178.4827
180.000000 84.287 -179.3822
182.500000 84.428 179.6007
185.000000 84.524 178.6090
187.500000 84.592 177.6888
190.000000 84.643 176.7758
192.500000 84.678 175.8884
195.000000 84.701 175.0396
197.500000 84.716 174.2322
200.000000 84.722 173.4470
203.000000 84.712 172.5258
206.000000 84.693 171.6702
209.000000 84.670 170.8622
212.000000 84.635 170.0536
214.000000 84.600 169.5031
218.000000 84.497 168.6359
220.000000 84.446 168.4665
224.000000 84.420 168.4614
227.000000 84.467 168.1658
230.000000 84.516 167.4643
233.000000 84.537 166.5251
236.000000 84.528 165.5198
240.000000 84.475 164.2226
243.000000 84.411 163.3222
247.000000 84.309 162.2167
250.000000 84.227 161.4489
254.000000 84.109 160.4661
258.000000 83.980 159.5257
262.000000 83.841 158.6437
265.000000 83.729 158.0450
269.000000 83.572 157.3060
272.000000 83.447 156.8011
276.000000 83.276 156.2598
280.000000 83.102 155.8542
285.000000 82.897 155.4971
290.000000 82.717 155.1914
295.000000 82.552 154.7838
300.000000 82.370 154.2653
304.000000 82.202 153.8336
307.000000 82.069 153.5921
311.000000 81.887 153.3734
315.000000 81.702 153.2057
320.000000 81.467 153.0910
325.000000 81.229 153.1221
330.000000 80.997 153.3076
335.000000 80.772 153.5664
340.000000 80.556 153.8953
345.000000 80.347 154.2935
350.000000 80.142 154.7235
355.000000 79.945 155.2046
360.000000 79.755 155.7222
365.000000 79.570 156.2781
370.000000 79.390 156.8542
375.000000 79.213 157.4434
382.000000 78.962 158.2846
387.000000 78.779 158.9522
395.000000 78.487 160.1688
400.000000 78.311 161.0090
406.000000 78.105 162.1208
412.000000 77.900 163.3089
418.000000 77.698 164.5645
425.000000 77.457 166.1850
431.000000 77.248 167.8661
437.000000 77.078 169.9349
444.000000 76.988 172.5065
450.000000 76.982 174.3581
455.000000 76.982 175.5855
462.000000 76.959 177.1319
468.000000 76.925 178.4757
475.000000 76.893 -179.9374
482.000000 76.875 -178.3687
487.000000 76.866 -177.2640
494.000000 76.851 -175.7310
500.000000 76.841 -174.4014
508.000000 76.852 -172.6265
515.000000 76.878 -171.0988
522.000000 76.922 -169.6140
530.000000 76.991 -168.0553
538.000000 77.069 -166.6124
545.000000 77.142 -165.4461
552.000000 77.215 -164.4056
560.000000 77.293 -163.3301
570.000000 77.380 -162.0546
580.000000 77.457 -160.8015
590.000000 77.528 -159.5865
600.000000 77.599 -158.4455
608.000000 77.651 -157.5273
615.000000 77.693 -156.7255
622.000000 77.733 -155.9151
630.000000 77.785 -154.9808
640.000000 77.852 -153.8258
650.000000 77.917 -152.7192
660.000000 77.982 -151.6091
670.000000 78.051 -150.4709
680.000000 78.128 -149.3321
690.000000 78.209 -148.2108
700.000000 78.292 -147.1117
710.000000 78.378 -146.0353
720.000000 78.473 -144.9624
730.000000 78.577 -143.9042
740.000000 78.686 -142.8941
750.000000 78.798 -141.9467
762.000000 78.935 -140.8565
775.000000 79.087 -139.7297
788.000000 79.241 -138.7038
800.000000 79.382 -137.8142
812.000000 79.516 -136.9563
825.000000 79.653 -136.0435
838.000000 79.791 -135.1176
850.000000 79.917 -134.2543
862.000000 80.042 -133.3338
875.000000 80.190 -132.1610
885.000000 80.336 -131.1488
900.000000 80.637 -129.7655
912.000000 80.922 -129.1243
925.000000 81.223 -129.0010
938.000000 81.479 -129.3060
950.000000 81.659 -129.7482
962.000000 81.796 -130.1815
975.000000 81.913 -130.5664
988.000000 82.010 -130.8658
1000.000000 82.088 -131.0999
1015.000000 82.171 -131.3451
1030.000000 82.242 -131.5325
1044.000000 82.300 -131.6662
1060.000000 82.354 -131.8044
1075.000000 82.388 -131.9173
1090.000000 82.410 -131.9876
1106.000000 82.418 -131.9986
1120.000000 82.411 -131.9479
1138.000000 82.386 -131.7769
1150.000000 82.359 -131.5602
1172.000000 82.299 -130.8958
1180.000000 82.279 -130.5640
1206.000000 82.245 -129.2515
1220.000000 82.243 -128.5681
1241.000000 82.209 -127.6721
1250.000000 82.175 -127.1615
1265.000000 82.124 -125.9548
1280.000000 82.115 -124.4256
1315.000000 82.288 -120.9905
1320.000000 82.324 -120.5738
1340.000000 82.482 -119.0430
1360.000000 82.655 -117.6932
1380.000000 82.836 -116.5802
1400.000000 83.005 -115.7419
1430.000000 83.193 -114.8534
1450.000000 83.256 -114.3121
1475.000000 83.260 -113.4609
1500.000000 83.162 -112.1535
1525.000000 82.984 -109.4020
1550.000000 82.976 -104.5627
1575.000000 83.319 -99.4105
1600.000000 83.892 -95.4423
1625.000000 84.535 -92.7989
1650.000000 85.172 -91.1314
1675.000000 85.771 -90.1506
1700.000000 86.305 -89.6086
1725.000000 86.779 -89.1519
1750.000000 87.234 -88.5315
1775.000000 87.723 -87.8082
1800.000000 88.268 -87.3263
1825.000000 88.829 -87.4443
1850.000000 89.340 -88.1482
1875.000000 89.774 -89.0262
1900.000000 90.164 -89.7623
1925.000000 90.548 -90.3663
1950.000000 90.941 -90.9484
1975.000000 91.347 -91.5937
2000.000000 91.771 -92.4154
2030.000000 92.282 -93.8831
2060.000000 92.739 -95.8955
2090.000000 93.107 -98.1345
2120.000000 93.398 -100.3288
2140.000000 93.560 -101.6974
2180.000000 93.838 -104.1598
2200.000000 93.964 -105.2707
2240.000000 94.199 -107.3013
2270.000000 94.366 -108.7030
2300.000000 94.524 -110.0427
2330.000000 94.671 -111.3191
2360.000000 94.809 -112.5120
2400.000000 94.983 -113.9602
2430.000000 95.105 -114.9610
2470.000000 95.251 -116.1410
2500.000000 95.352 -116.8356
2540.000000 95.489 -117.3866
2580.000000 95.674 -117.3731
2620.000000 95.984 -116.9293
2650.000000 96.333 -116.6782
2690.000000 96.947 -116.9970
2720.000000 97.500 -118.1636
2760.000000 98.205 -121.7564
2800.000000 98.590 -126.9332
2850.000000 98.664 -132.4134
2900.000000 98.658 -136.3071
2950.000000 98.668 -139.5396
3000.000000 98.679 -142.3898
3040.000000 98.696 -144.3899
3070.000000 98.731 -145.7346
3110.000000 98.832 -147.4720
3150.000000 98.997 -149.5574
3200.000000 99.192 -153.0544
3250.000000 99.283 -157.0833
3300.000000 99.300 -161.3000
3350.000000 99.232 -165.9792
3400.000000 98.964 -170.9636
3450.000000 98.460 -174.9886
3500.000000 97.922 -177.3405
3550.000000 97.494 -179.1449
3600.000000 97.074 178.8784
3650.000000 96.574 177.1943
3700.000000 96.009 176.2740
3750.000000 95.420 176.5528
3820.000000 94.886 179.5953
3870.000000 94.918 -178.8302
3950.000000 94.945 179.4651
4000.000000 94.699 177.8737
4060.000000 94.244 176.8568
4120.000000 93.737 176.9958
4180.000000 93.257 178.1451
4250.000000 92.790 -179.3819
4310.000000 92.540 -176.4735
4370.000000 92.480 -173.4884
4440.000000 92.583 -170.8268
4500.000000 92.715 -169.3493
4550.000000 92.816 -168.4772
4620.000000 92.931 -167.4976
4680.000000 93.012 -166.6715
4750.000000 93.115 -165.4989
4820.000000 93.299 -164.0049
4870.000000 93.529 -163.0467
4940.000000 93.937 -162.7932
5000.000000 94.231 -163.4824
5080.000000 94.553 -164.6732
5150.000000 94.818 -166.1892
5220.000000 94.982 -168.3442
5300.000000 94.990 -170.3529
5380.000000 95.074 -171.2458
5450.000000 95.268 -172.8047
