* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:35:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Rock A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.405 -82.3002
20.600000 81.560 -82.3091
20.900000 81.735 -82.3181
21.200001 81.916 -82.3617
21.400000 82.037 -82.4191
21.799999 82.285 -82.5935
22.000000 82.413 -82.7011
22.400000 82.683 -82.9435
22.700001 82.900 -83.1572
23.000000 83.125 -83.4155
23.299999 83.354 -83.7294
23.600000 83.581 -84.0955
24.000000 83.874 -84.6351
24.299999 84.088 -85.0546
24.700001 84.372 -85.6223
25.000000 84.589 -86.0695
25.400000 84.886 -86.7345
25.799999 85.190 -87.5145
26.200001 85.493 -88.4215
26.500000 85.716 -89.1796
26.900000 86.007 -90.2856
27.200001 86.220 -91.1842
27.600000 86.493 -92.4724
28.000000 86.752 -93.8503
28.500000 87.055 -95.6521
29.000000 87.335 -97.4812
29.500000 87.597 -99.3169
30.000000 87.842 -101.1957
30.400000 88.021 -102.7605
30.700001 88.141 -103.9729
31.100000 88.281 -105.6235
31.500000 88.397 -107.2801
32.000000 88.515 -109.3071
32.500000 88.611 -111.2537
33.000000 88.691 -113.1159
33.500000 88.759 -114.8961
34.000000 88.815 -116.5871
34.500000 88.864 -118.1789
35.000000 88.907 -119.6652
35.500000 88.942 -121.0332
36.000000 88.966 -122.2597
36.500000 88.983 -123.3377
37.000000 88.999 -124.3088
37.500000 89.019 -125.2484
38.200001 89.044 -126.5725
38.700001 89.058 -127.4560
39.500000 89.094 -128.6057
40.000000 89.136 -129.1978
40.599998 89.198 -129.8846
41.200001 89.261 -130.5687
41.799999 89.328 -131.2260
42.500000 89.426 -131.9832
43.099998 89.519 -132.6429
43.700001 89.613 -133.2735
44.400002 89.729 -133.9779
45.000000 89.838 -134.6687
45.500000 89.931 -135.3592
46.200001 90.061 -136.4305
46.799999 90.181 -137.3337
47.500000 90.337 -138.3250
48.200001 90.500 -139.2852
48.700001 90.613 -139.9594
49.400002 90.764 -140.8933
50.000000 90.896 -141.7250
50.799999 91.080 -142.9673
51.500000 91.245 -144.1887
52.200001 91.411 -145.4794
53.000000 91.605 -147.0014
53.799999 91.799 -148.5964
54.500000 91.966 -150.0664
55.200001 92.134 -151.6222
56.000000 92.328 -153.5441
57.000000 92.560 -156.1496
58.000000 92.777 -158.9835
59.000000 92.971 -162.1696
60.000000 93.127 -165.6194
60.799999 93.222 -168.4793
61.500000 93.274 -171.0467
62.200001 93.293 -173.6629
63.000000 93.282 -176.7166
64.000000 93.228 179.3558
65.000000 93.111 175.4460
66.000000 92.926 171.7262
67.000000 92.683 168.2248
68.000000 92.395 164.9605
69.000000 92.066 162.0027
70.000000 91.699 159.3836
71.000000 91.302 157.0586
72.000000 90.888 155.0225
73.000000 90.472 153.3474
74.000000 90.063 152.0900
75.000000 89.671 151.1835
76.199997 89.222 150.3982
77.500000 88.776 149.8303
78.800003 88.375 149.4061
80.000000 88.031 149.1135
81.199997 87.702 148.8960
82.500000 87.341 148.8605
83.800003 86.995 149.1228
85.000000 86.709 149.5258
86.199997 86.465 150.0388
87.500000 86.253 150.5738
88.500000 86.114 150.9247
90.000000 85.941 151.2768
91.199997 85.820 151.4049
92.500000 85.691 151.4742
93.800003 85.543 151.4100
95.000000 85.389 151.2026
96.199997 85.223 150.9421
97.500000 85.030 150.7286
98.800003 84.825 150.6723
100.000000 84.635 150.8060
101.500000 84.409 151.1448
103.000000 84.195 151.5353
104.400002 84.012 151.9020
106.000000 83.819 152.3098
107.500000 83.641 152.6572
109.000000 83.461 152.9859
110.599998 83.265 153.3344
112.000000 83.085 153.6804
113.800003 82.831 154.2974
115.000000 82.650 154.8344
117.199997 82.317 156.1589
118.000000 82.205 156.7529
120.599998 81.894 159.0933
122.000000 81.763 160.6577
124.099998 81.642 162.9749
125.000000 81.619 163.9154
126.500000 81.607 165.4249
128.000000 81.621 166.9183
131.500000 81.726 169.9196
132.000000 81.748 170.2546
134.000000 81.848 171.4631
136.000000 81.955 172.5532
138.000000 82.069 173.4379
140.000000 82.190 174.0795
143.000000 82.366 174.6382
145.000000 82.475 174.7748
147.500000 82.579 174.6653
150.000000 82.628 174.3950
152.500000 82.611 174.1493
155.000000 82.546 174.1913
157.500000 82.468 174.6495
160.000000 82.403 175.4308
162.500000 82.363 176.4109
165.000000 82.349 177.6914
167.500000 82.410 179.4192
170.000000 82.612 -178.7795
172.500000 82.924 -177.6984
175.000000 83.251 -177.6578
177.500000 83.508 -178.2935
180.000000 83.681 -179.1258
182.500000 83.809 -179.9080
185.000000 83.930 179.3174
187.500000 84.038 178.4718
190.000000 84.120 177.6338
192.500000 84.176 176.8051
195.000000 84.213 175.9671
197.500000 84.238 175.1360
200.000000 84.253 174.3169
203.000000 84.252 173.3640
206.000000 84.234 172.4597
209.000000 84.197 171.5349
212.000000 84.129 170.6786
214.000000 84.066 170.2164
218.000000 83.932 169.8556
220.000000 83.897 169.9589
224.000000 83.932 169.9714
227.000000 83.983 169.4418
230.000000 84.002 168.6801
233.000000 83.988 167.8789
236.000000 83.949 167.1104
240.000000 83.875 166.1770
243.000000 83.816 165.5422
247.000000 83.733 164.7160
250.000000 83.657 164.0756
254.000000 83.537 163.2863
258.000000 83.402 162.6470
262.000000 83.263 162.1793
265.000000 83.167 161.9091
269.000000 83.054 161.5958
272.000000 82.975 161.3241
276.000000 82.871 160.8637
280.000000 82.756 160.3394
285.000000 82.587 159.6880
290.000000 82.392 159.1617
295.000000 82.184 158.7910
300.000000 81.968 158.6054
304.000000 81.791 158.5647
307.000000 81.663 158.6064
311.000000 81.500 158.7498
315.000000 81.347 158.9437
320.000000 81.171 159.2026
325.000000 81.004 159.4703
330.000000 80.841 159.7194
335.000000 80.677 159.9518
340.000000 80.513 160.2301
345.000000 80.349 160.5093
350.000000 80.179 160.8175
355.000000 80.001 161.1682
360.000000 79.816 161.5500
365.000000 79.624 162.0204
370.000000 79.431 162.5934
375.000000 79.236 163.2636
382.000000 78.963 164.4283
387.000000 78.774 165.4704
395.000000 78.510 167.5829
400.000000 78.392 169.1039
406.000000 78.314 170.9516
412.000000 78.307 172.6157
418.000000 78.337 173.6822
425.000000 78.337 174.3234
431.000000 78.278 174.7323
437.000000 78.170 175.2487
444.000000 78.018 176.1306
450.000000 77.886 177.1109
455.000000 77.785 178.0504
462.000000 77.662 179.4793
468.000000 77.573 -179.2565
475.000000 77.484 -177.7556
482.000000 77.407 -176.2385
487.000000 77.363 -175.1391
494.000000 77.316 -173.5506
500.000000 77.288 -172.1638
508.000000 77.270 -170.3208
515.000000 77.274 -168.7634
522.000000 77.294 -167.2589
530.000000 77.329 -165.6044
538.000000 77.373 -164.0300
545.000000 77.421 -162.7014
552.000000 77.478 -161.4212
560.000000 77.549 -160.0414
570.000000 77.648 -158.4350
580.000000 77.745 -156.9713
590.000000 77.840 -155.6357
600.000000 77.930 -154.3217
608.000000 78.001 -153.2689
615.000000 78.066 -152.3611
622.000000 78.136 -151.4849
630.000000 78.220 -150.5225
640.000000 78.325 -149.3735
650.000000 78.432 -148.2692
660.000000 78.539 -147.2624
670.000000 78.633 -146.3238
680.000000 78.723 -145.3207
690.000000 78.820 -144.2716
700.000000 78.924 -143.2290
710.000000 79.039 -142.2144
720.000000 79.161 -141.2582
730.000000 79.283 -140.3743
740.000000 79.403 -139.5511
750.000000 79.525 -138.7680
762.000000 79.672 -137.8588
775.000000 79.833 -136.8922
788.000000 80.004 -135.9883
800.000000 80.170 -135.2191
812.000000 80.342 -134.5641
825.000000 80.525 -134.0303
838.000000 80.695 -133.6238
850.000000 80.840 -133.3057
862.000000 80.975 -133.0106
875.000000 81.115 -132.7052
885.000000 81.219 -132.4917
900.000000 81.367 -132.2258
912.000000 81.479 -132.0413
925.000000 81.595 -131.8811
938.000000 81.701 -131.7418
950.000000 81.791 -131.6225
962.000000 81.876 -131.5172
975.000000 81.962 -131.4242
988.000000 82.040 -131.3434
1000.000000 82.106 -131.2734
1015.000000 82.180 -131.1923
1030.000000 82.243 -131.1057
1044.000000 82.293 -131.0057
1060.000000 82.342 -130.8667
1075.000000 82.383 -130.7014
1090.000000 82.417 -130.5189
1106.000000 82.448 -130.3333
1120.000000 82.468 -130.1570
1138.000000 82.488 -129.9135
1150.000000 82.497 -129.7375
1172.000000 82.503 -129.3952
1180.000000 82.502 -129.2762
1206.000000 82.484 -128.9456
1220.000000 82.456 -128.8149
1241.000000 82.357 -128.6695
1250.000000 82.283 -128.5198
1265.000000 82.131 -127.9244
1280.000000 81.984 -126.8243
1315.000000 81.816 -123.4123
1320.000000 81.810 -122.9309
1340.000000 81.804 -121.1380
1360.000000 81.805 -119.5575
1380.000000 81.793 -118.1061
1400.000000 81.756 -116.7470
1430.000000 81.595 -114.7801
1450.000000 81.378 -113.1957
1475.000000 80.935 -110.4327
1500.000000 80.263 -104.9261
1525.000000 79.825 -93.2385
1550.000000 80.487 -77.5592
1575.000000 82.550 -64.1599
1600.000000 85.155 -61.1132
1625.000000 86.972 -66.9429
1650.000000 87.779 -74.1376
1675.000000 88.053 -78.8512
1700.000000 88.211 -81.1190
1725.000000 88.408 -82.0198
1750.000000 88.663 -82.2619
1775.000000 88.969 -82.1502
1800.000000 89.336 -81.8628
1825.000000 89.760 -81.6556
1850.000000 90.216 -81.6761
1875.000000 90.691 -81.9023
1900.000000 91.184 -82.4013
1925.000000 91.677 -83.2544
1950.000000 92.154 -84.4410
1975.000000 92.602 -85.9075
2000.000000 93.014 -87.5889
2030.000000 93.456 -89.8016
2060.000000 93.839 -92.1438
2090.000000 94.167 -94.5201
2120.000000 94.446 -96.8494
2140.000000 94.608 -98.3549
2180.000000 94.885 -101.2165
2200.000000 95.003 -102.5502
2240.000000 95.225 -105.0204
2270.000000 95.381 -106.8313
2300.000000 95.511 -108.5913
2330.000000 95.622 -110.1838
2360.000000 95.730 -111.6360
2400.000000 95.876 -113.4869
2430.000000 95.979 -114.8589
2470.000000 96.093 -116.6180
2500.000000 96.159 -117.7931
2540.000000 96.239 -119.0378
2580.000000 96.346 -119.9517
2620.000000 96.492 -120.6753
2650.000000 96.630 -121.0741
2690.000000 96.893 -121.3857
2720.000000 97.193 -121.6982
2760.000000 97.726 -123.0415
2800.000000 98.254 -126.2264
2850.000000 98.582 -131.8655
2900.000000 98.565 -136.7096
2950.000000 98.514 -140.2306
3000.000000 98.521 -143.8835
3040.000000 98.429 -147.3024
3070.000000 98.246 -149.6107
3110.000000 97.934 -151.6080
3150.000000 97.688 -152.6391
3200.000000 97.519 -153.5730
3250.000000 97.450 -154.6924
3300.000000 97.428 -156.1204
3350.000000 97.438 -158.0563
3400.000000 97.382 -160.8781
3450.000000 97.135 -163.8578
3500.000000 96.736 -165.9754
3550.000000 96.291 -166.9126
3600.000000 95.900 -166.5845
3650.000000 95.702 -165.3947
3700.000000 95.736 -164.6761
3750.000000 95.850 -165.3326
3820.000000 95.852 -167.9212
3870.000000 95.676 -169.9868
3950.000000 95.177 -172.3021
4000.000000 94.812 -172.9057
4060.000000 94.384 -172.8295
4120.000000 94.006 -172.0399
4180.000000 93.702 -170.7615
4250.000000 93.459 -168.9214
4310.000000 93.348 -167.3389
4370.000000 93.295 -165.9484
4440.000000 93.270 -164.4921
4500.000000 93.279 -163.3192
4550.000000 93.308 -162.3899
4620.000000 93.385 -161.1425
4680.000000 93.489 -160.1190
4750.000000 93.685 -158.9441
4820.000000 94.001 -158.2711
4870.000000 94.253 -158.5485
4940.000000 94.538 -159.7121
5000.000000 94.736 -161.0268
5080.000000 94.924 -163.5301
5150.000000 94.910 -166.2280
5220.000000 94.704 -168.3484
5300.000000 94.407 -169.1883
5380.000000 94.252 -169.0197
5450.000000 94.225 -169.0711
