* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:21:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Treble A Off) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.981 -83.3462
20.600000 76.104 -83.4870
20.900000 76.237 -83.6688
21.200001 76.363 -83.8939
21.400000 76.442 -84.0664
21.799999 76.591 -84.4537
22.000000 76.663 -84.6620
22.400000 76.809 -85.0903
22.700001 76.925 -85.4061
23.000000 77.050 -85.7028
23.299999 77.188 -85.9741
23.600000 77.339 -86.2244
24.000000 77.559 -86.5517
24.299999 77.728 -86.8132
24.700001 77.943 -87.1919
25.000000 78.086 -87.4820
25.400000 78.247 -87.8343
25.799999 78.380 -88.1178
26.200001 78.506 -88.3547
26.500000 78.606 -88.5462
26.900000 78.757 -88.8820
27.200001 78.884 -89.2117
27.600000 79.069 -89.7320
28.000000 79.268 -90.2894
28.500000 79.530 -90.9895
29.000000 79.792 -91.7439
29.500000 80.024 -92.6319
30.000000 80.200 -93.6104
30.400000 80.308 -94.3568
30.700001 80.384 -94.8563
31.100000 80.499 -95.4593
31.500000 80.640 -96.0676
32.000000 80.839 -96.9483
32.500000 81.020 -97.9230
33.000000 81.161 -98.7950
33.500000 81.280 -99.4463
34.000000 81.409 -99.9992
34.500000 81.553 -100.6668
35.000000 81.695 -101.4811
35.500000 81.827 -102.2652
36.000000 81.970 -102.8779
36.500000 82.142 -103.4022
37.000000 82.328 -104.0338
37.500000 82.495 -104.8458
38.200001 82.672 -106.0892
38.700001 82.787 -106.9445
39.500000 82.988 -108.3894
40.000000 83.108 -109.3572
40.599998 83.233 -110.4202
41.200001 83.358 -111.3317
41.799999 83.485 -112.2881
42.500000 83.586 -113.5815
43.099998 83.613 -114.5715
43.700001 83.641 -115.2595
44.400002 83.753 -116.0111
45.000000 83.901 -117.0074
45.500000 84.019 -118.0490
46.200001 84.149 -119.4181
46.799999 84.251 -120.3213
47.500000 84.372 -121.2602
48.200001 84.464 -122.2913
48.700001 84.503 -123.0291
49.400002 84.548 -123.9395
50.000000 84.603 -124.6356
50.799999 84.693 -125.5645
51.500000 84.772 -126.3142
52.200001 84.862 -126.9777
53.000000 84.974 -127.8476
53.799999 85.044 -128.7963
54.500000 85.088 -129.4257
55.200001 85.181 -130.0182
56.000000 85.340 -131.0946
57.000000 85.520 -132.7747
58.000000 85.679 -134.2853
59.000000 85.810 -135.9339
60.000000 85.912 -137.7206
60.799999 85.998 -139.1870
61.500000 86.060 -140.4627
62.200001 86.099 -141.7126
63.000000 86.109 -143.2099
64.000000 86.071 -145.2104
65.000000 86.028 -147.0788
66.000000 85.998 -148.7970
67.000000 85.921 -150.2691
68.000000 85.815 -151.3721
69.000000 85.719 -152.4109
70.000000 85.618 -153.3693
71.000000 85.526 -154.0318
72.000000 85.453 -154.5094
73.000000 85.400 -154.8893
74.000000 85.386 -155.2749
75.000000 85.398 -155.7695
76.199997 85.416 -156.4876
77.500000 85.415 -157.3904
78.800003 85.397 -158.1928
80.000000 85.386 -158.7309
81.199997 85.401 -159.2125
82.500000 85.461 -159.8642
83.800003 85.562 -160.8079
85.000000 85.657 -161.9977
86.199997 85.731 -163.4364
87.500000 85.774 -165.2570
88.500000 85.765 -166.8324
90.000000 85.673 -169.2678
91.199997 85.540 -171.1178
92.500000 85.341 -172.9307
93.800003 85.095 -174.4526
95.000000 84.843 -175.4922
96.199997 84.574 -176.1419
97.500000 84.278 -176.4483
98.800003 84.005 -176.3896
100.000000 83.787 -175.9903
101.500000 83.578 -175.1132
103.000000 83.447 -174.1370
104.400002 83.384 -173.3627
106.000000 83.358 -172.7069
107.500000 83.356 -172.2834
109.000000 83.362 -172.0743
110.599998 83.364 -172.0027
112.000000 83.359 -172.0027
113.800003 83.340 -172.0812
115.000000 83.327 -172.1300
117.199997 83.314 -172.1277
118.000000 83.311 -172.0982
120.599998 83.311 -172.1758
122.000000 83.315 -172.4344
124.099998 83.314 -172.7887
125.000000 83.308 -172.9459
126.500000 83.295 -173.2233
128.000000 83.286 -173.4472
131.500000 83.264 -173.9243
132.000000 83.259 -173.9907
134.000000 83.241 -174.2431
136.000000 83.230 -174.4946
138.000000 83.220 -174.7646
140.000000 83.223 -175.0666
143.000000 83.227 -175.7280
145.000000 83.223 -176.3117
147.500000 83.221 -177.1291
150.000000 83.194 -178.1048
152.500000 83.133 -179.1772
155.000000 83.024 179.8405
157.500000 82.865 178.9886
160.000000 82.681 178.3989
162.500000 82.487 178.0974
165.000000 82.284 178.0824
167.500000 82.098 178.6279
170.000000 82.002 179.7736
172.500000 82.037 -179.2313
175.000000 82.138 -179.0207
177.500000 82.220 -179.5457
180.000000 82.248 179.5862
182.500000 82.231 178.6536
185.000000 82.166 177.7794
187.500000 82.062 176.9990
190.000000 81.939 176.2978
192.500000 81.810 175.7154
195.000000 81.673 175.2314
197.500000 81.525 174.8273
200.000000 81.366 174.4872
203.000000 81.168 174.1448
206.000000 80.965 173.9614
209.000000 80.756 173.9656
212.000000 80.543 174.0550
214.000000 80.393 174.1406
218.000000 80.074 174.6457
220.000000 79.920 175.2000
224.000000 79.703 176.8329
227.000000 79.622 177.8687
230.000000 79.555 178.5445
233.000000 79.475 179.0460
236.000000 79.378 179.5396
240.000000 79.241 -179.7596
243.000000 79.145 -179.1787
247.000000 79.015 -178.2896
250.000000 78.925 -177.5536
254.000000 78.816 -176.5302
258.000000 78.724 -175.5324
262.000000 78.650 -174.6057
265.000000 78.601 -173.8968
269.000000 78.545 -172.9294
272.000000 78.508 -172.2175
276.000000 78.464 -171.2879
280.000000 78.429 -170.3380
285.000000 78.407 -169.1332
290.000000 78.420 -168.0147
295.000000 78.452 -167.1776
300.000000 78.467 -166.6443
304.000000 78.455 -166.3023
307.000000 78.440 -166.0297
311.000000 78.413 -165.6206
315.000000 78.379 -165.1953
320.000000 78.335 -164.6928
325.000000 78.287 -164.1412
330.000000 78.230 -163.5417
335.000000 78.174 -162.9267
340.000000 78.125 -162.2707
345.000000 78.078 -161.6237
350.000000 78.032 -160.9698
355.000000 77.985 -160.3234
360.000000 77.939 -159.6941
365.000000 77.897 -159.0552
370.000000 77.856 -158.4345
375.000000 77.808 -157.8064
382.000000 77.734 -156.9361
387.000000 77.677 -156.3009
395.000000 77.579 -155.1969
400.000000 77.519 -154.4563
406.000000 77.444 -153.5503
412.000000 77.363 -152.5916
418.000000 77.279 -151.5781
425.000000 77.175 -150.2663
431.000000 77.080 -148.8644
437.000000 77.020 -147.1022
444.000000 77.047 -144.9295
450.000000 77.124 -143.4701
455.000000 77.190 -142.5947
462.000000 77.261 -141.5842
468.000000 77.300 -140.7101
475.000000 77.337 -139.6586
482.000000 77.372 -138.6370
487.000000 77.397 -137.9225
494.000000 77.433 -136.9415
500.000000 77.462 -136.1235
508.000000 77.500 -135.0044
515.000000 77.541 -134.0065
522.000000 77.594 -133.0190
530.000000 77.664 -131.9522
538.000000 77.739 -131.0318
545.000000 77.799 -130.3421
552.000000 77.849 -129.7070
560.000000 77.898 -129.0320
570.000000 77.946 -128.2111
580.000000 77.977 -127.3656
590.000000 77.999 -126.4788
600.000000 78.010 -125.5791
608.000000 78.017 -124.8285
615.000000 78.023 -124.1451
622.000000 78.028 -123.4411
630.000000 78.034 -122.6148
640.000000 78.043 -121.5435
650.000000 78.052 -120.4369
660.000000 78.063 -119.2855
670.000000 78.081 -118.1111
680.000000 78.103 -116.9497
690.000000 78.130 -115.7688
700.000000 78.163 -114.5784
710.000000 78.198 -113.3765
720.000000 78.238 -112.1769
730.000000 78.285 -110.9897
740.000000 78.341 -109.8273
750.000000 78.405 -108.6968
762.000000 78.484 -107.3734
775.000000 78.576 -106.0085
788.000000 78.668 -104.7002
800.000000 78.748 -103.5262
812.000000 78.823 -102.3712
825.000000 78.902 -101.1298
838.000000 78.978 -99.8548
850.000000 79.048 -98.6618
862.000000 79.119 -97.3862
875.000000 79.211 -95.8011
885.000000 79.313 -94.4384
900.000000 79.548 -92.5029
912.000000 79.782 -91.4246
925.000000 80.035 -90.8120
938.000000 80.248 -90.6226
950.000000 80.394 -90.6123
962.000000 80.497 -90.6074
975.000000 80.576 -90.5241
988.000000 80.637 -90.3360
1000.000000 80.683 -90.0919
1015.000000 80.732 -89.7234
1030.000000 80.770 -89.3206
1044.000000 80.797 -88.9303
1060.000000 80.818 -88.4641
1075.000000 80.826 -88.0089
1090.000000 80.822 -87.5256
1106.000000 80.805 -86.9690
1120.000000 80.779 -86.4367
1138.000000 80.728 -85.6524
1150.000000 80.683 -85.0279
1172.000000 80.590 -83.6305
1180.000000 80.558 -83.0452
1206.000000 80.485 -80.9198
1220.000000 80.465 -79.7827
1241.000000 80.401 -78.2114
1250.000000 80.353 -77.4196
1265.000000 80.277 -75.7545
1280.000000 80.244 -73.7625
1315.000000 80.358 -69.2247
1320.000000 80.386 -68.6466
1340.000000 80.509 -66.4593
1360.000000 80.648 -64.4607
1380.000000 80.796 -62.7151
1400.000000 80.933 -61.2450
1430.000000 81.079 -59.4161
1450.000000 81.114 -58.2418
1475.000000 81.085 -56.6207
1500.000000 80.955 -54.5496
1525.000000 80.740 -51.0242
1550.000000 80.692 -45.3792
1575.000000 80.997 -39.3789
1600.000000 81.543 -34.5573
1625.000000 82.167 -31.0909
1650.000000 82.784 -28.6405
1675.000000 83.365 -26.9042
1700.000000 83.888 -25.6475
1725.000000 84.352 -24.5126
1750.000000 84.797 -23.2422
1775.000000 85.275 -21.8886
1800.000000 85.807 -20.8104
1825.000000 86.359 -20.3754
1850.000000 86.859 -20.5763
1875.000000 87.278 -20.9957
1900.000000 87.646 -21.3054
1925.000000 88.001 -21.5170
1950.000000 88.359 -21.7437
1975.000000 88.723 -22.0578
2000.000000 89.097 -22.5485
2030.000000 89.535 -23.6141
2060.000000 89.908 -25.2079
2090.000000 90.186 -27.0024
2120.000000 90.378 -28.7208
2140.000000 90.470 -29.7475
2180.000000 90.599 -31.4528
2200.000000 90.647 -32.1493
2240.000000 90.722 -33.2884
2270.000000 90.769 -33.9756
2300.000000 90.807 -34.5650
2330.000000 90.833 -35.0478
2360.000000 90.847 -35.4136
2400.000000 90.859 -35.7250
2430.000000 90.861 -35.8473
2470.000000 90.847 -35.8301
2500.000000 90.826 -35.6030
2540.000000 90.799 -34.8857
2580.000000 90.816 -33.5662
2620.000000 90.956 -31.7650
2650.000000 91.174 -30.4540
2690.000000 91.613 -29.3126
2720.000000 92.033 -29.3579
2760.000000 92.567 -31.4488
2800.000000 92.783 -35.1178
2850.000000 92.637 -38.6124
2900.000000 92.397 -40.3688
2950.000000 92.168 -41.3302
3000.000000 91.942 -41.7652
3040.000000 91.770 -41.7143
3070.000000 91.662 -41.4376
3110.000000 91.573 -40.8890
3150.000000 91.554 -40.5517
3200.000000 91.534 -40.8535
3250.000000 91.432 -41.4825
3300.000000 91.278 -42.0651
3350.000000 91.068 -42.9004
3400.000000 90.697 -43.8750
3450.000000 90.135 -43.6860
3500.000000 89.595 -41.5993
3550.000000 89.224 -38.8846
3600.000000 88.920 -36.3704
3650.000000 88.602 -33.6043
3700.000000 88.288 -30.1678
3750.000000 88.021 -25.6819
3820.000000 88.067 -17.1420
3870.000000 88.562 -12.2457
3950.000000 89.339 -9.6743
4000.000000 89.586 -9.0592
4060.000000 89.744 -7.9377
4120.000000 89.853 -6.2490
4180.000000 89.971 -4.1217
4250.000000 90.163 -1.1486
4310.000000 90.433 1.7105
4370.000000 90.837 4.2835
4440.000000 91.398 6.1572
4500.000000 91.856 6.8073
4550.000000 92.188 6.9328
4620.000000 92.570 6.8371
4680.000000 92.834 6.7559
4750.000000 93.103 6.9262
4820.000000 93.409 7.4979
4870.000000 93.703 7.8566
4940.000000 94.174 7.3811
5000.000000 94.503 6.1669
