* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 1:36:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5 (Treble A Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.030 -108.2831
20.600000 79.108 -108.4966
20.900000 79.202 -108.7619
21.200001 79.299 -109.0971
21.400000 79.360 -109.3577
21.799999 79.471 -109.9227
22.000000 79.522 -110.2009
22.400000 79.622 -110.7011
22.700001 79.702 -111.0206
23.000000 79.792 -111.3132
23.299999 79.890 -111.6109
23.600000 79.993 -111.9434
24.000000 80.132 -112.4654
24.299999 80.229 -112.9074
24.700001 80.348 -113.5173
25.000000 80.429 -113.9495
25.400000 80.533 -114.4479
25.799999 80.644 -114.8544
26.200001 80.767 -115.2212
26.500000 80.865 -115.5183
26.900000 80.992 -115.9902
27.200001 81.079 -116.4037
27.600000 81.176 -116.9937
28.000000 81.257 -117.5586
28.500000 81.358 -118.1585
29.000000 81.489 -118.6881
29.500000 81.656 -119.3071
30.000000 81.833 -120.1222
30.400000 81.956 -120.8750
30.700001 82.030 -121.4350
31.100000 82.108 -122.0950
31.500000 82.175 -122.6102
32.000000 82.268 -123.0989
32.500000 82.380 -123.5757
33.000000 82.494 -124.1719
33.500000 82.590 -124.8740
34.000000 82.663 -125.5863
34.500000 82.729 -126.2613
35.000000 82.806 -126.9413
35.500000 82.896 -127.6796
36.000000 82.990 -128.4596
36.500000 83.080 -129.2056
37.000000 83.165 -129.8566
37.500000 83.247 -130.4122
38.200001 83.362 -131.1317
38.700001 83.443 -131.6864
39.500000 83.564 -132.6803
40.000000 83.633 -133.3028
40.599998 83.718 -133.9979
41.200001 83.813 -134.6897
41.799999 83.910 -135.4342
42.500000 84.012 -136.2849
43.099998 84.106 -136.9453
43.700001 84.215 -137.6599
44.400002 84.333 -138.6622
45.000000 84.411 -139.4992
45.500000 84.478 -140.0819
46.200001 84.599 -140.8726
46.799999 84.699 -141.7110
47.500000 84.767 -142.7914
48.200001 84.808 -143.8216
48.700001 84.845 -144.5887
49.400002 84.902 -145.7383
50.000000 84.946 -146.5957
50.799999 85.028 -147.3652
51.500000 85.127 -148.0269
52.200001 85.208 -148.9514
53.000000 85.262 -150.1282
53.799999 85.321 -151.2347
54.500000 85.382 -152.1725
55.200001 85.436 -153.0575
56.000000 85.501 -154.0136
57.000000 85.595 -155.3344
58.000000 85.674 -156.8158
59.000000 85.732 -158.3599
60.000000 85.788 -160.0052
60.799999 85.833 -161.3788
61.500000 85.855 -162.5786
62.200001 85.853 -163.7530
63.000000 85.827 -165.0765
64.000000 85.781 -166.7541
65.000000 85.728 -168.4735
66.000000 85.654 -170.1719
67.000000 85.573 -171.8368
68.000000 85.471 -173.4206
69.000000 85.322 -174.6917
70.000000 85.149 -175.7356
71.000000 84.965 -176.7159
72.000000 84.780 -177.4443
73.000000 84.600 -177.9536
74.000000 84.415 -178.4230
75.000000 84.251 -178.7748
76.199997 84.089 -178.8857
77.500000 83.928 -178.6578
78.800003 83.807 -178.6722
80.000000 83.717 -178.7707
81.199997 83.637 -178.6688
82.500000 83.549 -178.4913
83.800003 83.463 -178.3255
85.000000 83.396 -178.0294
86.199997 83.377 -177.5789
87.500000 83.409 -177.1557
88.500000 83.441 -176.9380
90.000000 83.501 -176.8152
91.199997 83.565 -176.9733
92.500000 83.638 -177.3562
93.800003 83.698 -177.9172
95.000000 83.733 -178.5383
96.199997 83.744 -179.1646
97.500000 83.736 -179.7848
98.800003 83.716 179.6218
100.000000 83.696 179.1421
101.500000 83.679 178.6396
103.000000 83.663 178.1559
104.400002 83.655 177.6623
106.000000 83.650 177.0574
107.500000 83.646 176.4493
109.000000 83.632 175.7007
110.599998 83.591 174.8370
112.000000 83.538 174.1231
113.800003 83.442 173.1979
115.000000 83.354 172.6368
117.199997 83.160 171.9263
118.000000 83.087 171.7633
120.599998 82.883 171.7210
122.000000 82.806 172.0244
124.099998 82.737 172.4625
125.000000 82.726 172.5943
126.500000 82.721 172.7637
128.000000 82.724 172.8918
131.500000 82.768 172.8050
132.000000 82.777 172.7421
134.000000 82.810 172.4050
136.000000 82.836 171.9681
138.000000 82.858 171.4395
140.000000 82.880 170.7961
143.000000 82.895 169.5939
145.000000 82.880 168.6253
147.500000 82.822 167.2701
150.000000 82.704 165.8733
152.500000 82.520 164.6335
155.000000 82.284 163.7658
157.500000 82.033 163.4395
160.000000 81.800 163.5382
162.500000 81.593 163.9058
165.000000 81.407 164.6255
167.500000 81.285 165.8610
170.000000 81.295 167.2273
172.500000 81.426 167.9613
175.000000 81.583 167.7883
177.500000 81.677 166.9745
180.000000 81.687 165.9964
182.500000 81.647 165.1318
185.000000 81.596 164.3323
187.500000 81.531 163.4999
190.000000 81.440 162.7039
192.500000 81.329 161.9700
195.000000 81.204 161.3011
197.500000 81.069 160.7211
200.000000 80.921 160.2311
203.000000 80.728 159.7247
206.000000 80.522 159.3344
209.000000 80.302 159.0220
212.000000 80.064 158.8753
214.000000 79.888 158.9304
218.000000 79.534 159.7137
220.000000 79.395 160.4301
224.000000 79.241 161.8625
227.000000 79.165 162.5336
230.000000 79.069 162.9554
233.000000 78.949 163.3422
236.000000 78.823 163.8311
240.000000 78.670 164.6837
243.000000 78.568 165.3752
247.000000 78.447 166.2666
250.000000 78.364 166.9327
254.000000 78.256 167.9104
258.000000 78.162 168.9894
262.000000 78.088 170.1458
265.000000 78.051 171.0439
269.000000 78.033 172.1965
272.000000 78.039 172.9609
276.000000 78.066 173.7958
280.000000 78.095 174.4729
285.000000 78.114 175.1155
290.000000 78.109 175.6958
295.000000 78.093 176.2355
300.000000 78.080 176.8126
304.000000 78.065 177.3432
307.000000 78.053 177.7352
311.000000 78.044 178.2396
315.000000 78.043 178.7513
320.000000 78.050 179.4187
325.000000 78.064 179.9675
330.000000 78.078 -179.6065
335.000000 78.087 -179.2122
340.000000 78.092 -178.9219
345.000000 78.087 -178.6985
350.000000 78.073 -178.4677
355.000000 78.045 -178.2155
360.000000 78.004 -177.9272
365.000000 77.955 -177.6424
370.000000 77.901 -177.2948
375.000000 77.841 -176.8450
382.000000 77.746 -176.0520
387.000000 77.678 -175.3250
395.000000 77.604 -173.7868
400.000000 77.597 -172.6025
406.000000 77.652 -171.1756
412.000000 77.776 -170.0100
418.000000 77.930 -169.4485
425.000000 78.067 -169.5004
431.000000 78.117 -169.7260
437.000000 78.110 -169.7958
444.000000 78.067 -169.6410
450.000000 78.028 -169.3867
455.000000 78.001 -169.0796
462.000000 77.969 -168.5269
468.000000 77.947 -167.9994
475.000000 77.928 -167.4028
482.000000 77.914 -166.7784
487.000000 77.909 -166.2980
494.000000 77.903 -165.5959
500.000000 77.904 -164.9699
508.000000 77.917 -164.1214
515.000000 77.940 -163.4261
522.000000 77.968 -162.7803
530.000000 78.001 -162.0780
538.000000 78.036 -161.4008
545.000000 78.069 -160.8048
552.000000 78.106 -160.2429
560.000000 78.151 -159.6417
570.000000 78.210 -158.9407
580.000000 78.262 -158.3228
590.000000 78.309 -157.7323
600.000000 78.348 -157.1521
608.000000 78.377 -156.6537
615.000000 78.405 -156.1921
622.000000 78.435 -155.7146
630.000000 78.471 -155.1774
640.000000 78.520 -154.5101
650.000000 78.573 -153.8623
660.000000 78.622 -153.2921
670.000000 78.660 -152.7554
680.000000 78.697 -152.1315
690.000000 78.742 -151.4630
700.000000 78.793 -150.8033
710.000000 78.851 -150.1092
720.000000 78.920 -149.4501
730.000000 78.993 -148.8804
740.000000 79.065 -148.3442
750.000000 79.135 -147.7891
762.000000 79.225 -147.1559
775.000000 79.327 -146.5007
788.000000 79.431 -145.8456
800.000000 79.538 -145.2968
812.000000 79.656 -144.8589
825.000000 79.780 -144.4859
838.000000 79.891 -144.2401
850.000000 79.983 -144.0833
862.000000 80.064 -143.8980
875.000000 80.143 -143.6931
885.000000 80.203 -143.5646
900.000000 80.293 -143.3787
912.000000 80.363 -143.2255
925.000000 80.429 -143.0987
938.000000 80.486 -142.9915
950.000000 80.535 -142.8749
962.000000 80.584 -142.7803
975.000000 80.632 -142.7123
988.000000 80.670 -142.6187
1000.000000 80.700 -142.5249
1015.000000 80.738 -142.4425
1030.000000 80.770 -142.3459
1044.000000 80.791 -142.2079
1060.000000 80.809 -142.0583
1075.000000 80.826 -141.9269
1090.000000 80.834 -141.7578
1106.000000 80.835 -141.5532
1120.000000 80.837 -141.3907
1138.000000 80.836 -141.1884
1150.000000 80.826 -141.0371
1172.000000 80.799 -140.7607
1180.000000 80.790 -140.6724
1206.000000 80.736 -140.4179
1220.000000 80.682 -140.3235
1241.000000 80.556 -140.2666
1250.000000 80.471 -140.1599
1265.000000 80.295 -139.6279
1280.000000 80.119 -138.5792
1315.000000 79.898 -135.2729
1320.000000 79.884 -134.7949
1340.000000 79.850 -133.0107
1360.000000 79.821 -131.4641
1380.000000 79.773 -130.0625
1400.000000 79.698 -128.7556
1430.000000 79.493 -126.8406
1450.000000 79.245 -125.2864
1475.000000 78.760 -122.5342
1500.000000 78.058 -117.0161
1525.000000 77.579 -105.3581
1550.000000 78.198 -89.6535
1575.000000 80.236 -76.2250
1600.000000 82.815 -73.1817
1625.000000 84.612 -79.0136
1650.000000 85.408 -86.2105
1675.000000 85.667 -90.9382
1700.000000 85.803 -93.2593
1725.000000 85.990 -94.2138
1750.000000 86.242 -94.5318
1775.000000 86.537 -94.5655
1800.000000 86.890 -94.4630
1825.000000 87.307 -94.4463
1850.000000 87.751 -94.7064
1875.000000 88.203 -95.2405
1900.000000 88.674 -96.0602
1925.000000 89.145 -97.2341
1950.000000 89.584 -98.7862
1975.000000 89.982 -100.6519
2000.000000 90.344 -102.7073
2030.000000 90.722 -105.3340
2060.000000 91.019 -108.1068
2090.000000 91.247 -110.8820
2120.000000 91.431 -113.5125
2140.000000 91.526 -115.1990
2180.000000 91.647 -118.4278
2200.000000 91.687 -119.8940
2240.000000 91.759 -122.4995
2270.000000 91.792 -124.3929
2300.000000 91.793 -126.2242
2330.000000 91.785 -127.7986
2360.000000 91.776 -129.1523
2400.000000 91.758 -130.7911
2430.000000 91.744 -131.9923
2470.000000 91.697 -133.5637
2500.000000 91.637 -134.6188
2540.000000 91.559 -135.5777
2580.000000 91.504 -136.1459
2620.000000 91.474 -136.5714
2650.000000 91.483 -136.6801
2690.000000 91.580 -136.5016
2720.000000 91.745 -136.4434
2760.000000 92.089 -137.2810
2800.000000 92.444 -139.8177
2850.000000 92.560 -144.5611
2900.000000 92.309 -148.5804
2950.000000 92.013 -151.1202
3000.000000 91.787 -153.4231
3040.000000 91.515 -155.6010
3070.000000 91.193 -156.9198
3110.000000 90.700 -157.4815
3150.000000 90.271 -156.9516
3200.000000 89.873 -155.8311
3250.000000 89.604 -154.5654
3300.000000 89.416 -153.3138
3350.000000 89.279 -152.4798
3400.000000 89.118 -152.3309
3450.000000 88.822 -152.0505
3500.000000 88.420 -150.8117
3550.000000 88.028 -148.4110
3600.000000 87.759 -144.6530
3650.000000 87.763 -139.8839
3700.000000 88.072 -135.7113
3750.000000 88.503 -133.3264
3820.000000 89.027 -132.1643
3870.000000 89.289 -131.7823
3950.000000 89.553 -130.9296
4000.000000 89.704 -130.0735
4060.000000 89.902 -128.9318
4120.000000 90.140 -127.8126
4180.000000 90.442 -126.6134
4250.000000 90.863 -125.4848
4310.000000 91.256 -125.1893
4370.000000 91.651 -125.4768
4440.000000 92.080 -126.0850
4500.000000 92.427 -126.6606
4550.000000 92.689 -127.3143
4620.000000 93.024 -128.4550
4680.000000 93.310 -129.3207
4750.000000 93.677 -130.1394
4820.000000 94.112 -131.3790
4870.000000 94.431 -132.9070
4940.000000 94.783 -135.7952
5000.000000 95.010 -138.7022
5080.000000 95.216 -143.2778
5150.000000 95.202 -147.4945
5220.000000 94.992 -150.8210
