* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:59:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Bass ANC Off) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.751 103.9815
20.600000 92.916 103.1415
20.900000 93.096 102.2311
21.200001 93.274 101.3200
21.400000 93.392 100.7160
21.799999 93.628 99.5119
22.000000 93.747 98.9085
22.400000 93.988 97.6902
22.700001 94.169 96.7644
23.000000 94.346 95.8321
23.299999 94.518 94.9012
23.600000 94.684 93.9805
24.000000 94.898 92.7771
24.299999 95.055 91.8911
24.700001 95.260 90.7190
25.000000 95.412 89.8369
25.400000 95.612 88.6483
25.799999 95.808 87.4503
26.200001 95.998 86.2580
26.500000 96.139 85.3765
26.900000 96.325 84.2212
27.200001 96.465 83.3638
27.600000 96.652 82.2150
28.000000 96.841 81.0383
28.500000 97.074 79.5083
29.000000 97.298 77.9237
29.500000 97.511 76.3262
30.000000 97.715 74.7556
30.400000 97.876 73.5239
30.700001 97.997 72.6062
31.100000 98.157 71.3758
31.500000 98.313 70.1263
32.000000 98.499 68.5395
32.500000 98.674 66.9454
33.000000 98.843 65.3562
33.500000 99.011 63.7542
34.000000 99.180 62.1086
34.500000 99.342 60.4106
35.000000 99.495 58.6879
35.500000 99.638 56.9810
36.000000 99.776 55.3077
36.500000 99.912 53.6524
37.000000 100.047 51.9867
37.500000 100.177 50.2985
38.200001 100.344 47.9228
38.700001 100.454 46.2369
39.500000 100.617 43.5227
40.000000 100.708 41.7760
40.599998 100.802 39.6327
41.200001 100.880 37.4975
41.799999 100.954 35.4106
42.500000 101.048 32.9858
43.099998 101.126 30.8497
43.700001 101.187 28.6729
44.400002 101.231 26.1675
45.000000 101.255 24.0757
45.500000 101.268 22.3461
46.200001 101.273 19.9141
46.799999 101.257 17.8447
47.500000 101.222 15.5088
48.200001 101.177 13.2785
48.700001 101.143 11.7376
49.400002 101.087 9.6405
50.000000 101.028 7.9128
50.799999 100.935 5.7509
51.500000 100.853 3.9906
52.200001 100.778 2.3106
53.000000 100.704 0.4404
53.799999 100.638 -1.4172
54.500000 100.584 -3.0736
55.200001 100.528 -4.7887
56.000000 100.456 -6.8292
57.000000 100.334 -9.4518
58.000000 100.168 -12.0167
59.000000 99.967 -14.4077
60.000000 99.743 -16.5704
60.799999 99.552 -18.1068
61.500000 99.382 -19.3036
62.200001 99.215 -20.3737
63.000000 99.032 -21.4680
64.000000 98.816 -22.6757
65.000000 98.621 -23.7229
66.000000 98.456 -24.7017
67.000000 98.312 -25.6916
68.000000 98.174 -26.6408
69.000000 98.049 -27.5758
70.000000 97.930 -28.5930
71.000000 97.813 -29.6938
72.000000 97.698 -30.8369
73.000000 97.579 -31.9640
74.000000 97.458 -33.0655
75.000000 97.332 -34.2106
76.199997 97.165 -35.6186
77.500000 96.971 -37.0543
78.800003 96.765 -38.4322
80.000000 96.568 -39.6101
81.199997 96.369 -40.7075
82.500000 96.150 -41.7671
83.800003 95.939 -42.7065
85.000000 95.753 -43.5006
86.199997 95.573 -44.2838
87.500000 95.385 -45.0924
88.500000 95.250 -45.7011
90.000000 95.053 -46.6648
91.199997 94.895 -47.4741
92.500000 94.723 -48.4196
93.800003 94.543 -49.4713
95.000000 94.373 -50.5430
96.199997 94.195 -51.6663
97.500000 93.973 -52.8407
98.800003 93.709 -53.8965
100.000000 93.440 -54.7537
101.500000 93.077 -55.5124
103.000000 92.703 -55.8798
104.400002 92.365 -55.9550
106.000000 92.002 -55.7140
107.500000 91.702 -55.2321
109.000000 91.456 -54.6454
110.599998 91.244 -53.9685
112.000000 91.090 -53.4467
113.800003 90.926 -52.9673
115.000000 90.830 -52.8206
117.199997 90.640 -52.8215
118.000000 90.563 -52.8540
120.599998 90.290 -52.8868
122.000000 90.152 -52.8524
124.099998 89.964 -52.6655
125.000000 89.884 -52.5549
126.500000 89.765 -52.3885
128.000000 89.664 -52.2217
131.500000 89.469 -52.1982
132.000000 89.444 -52.2695
134.000000 89.340 -52.6742
136.000000 89.223 -53.2238
138.000000 89.086 -53.8929
140.000000 88.916 -54.6243
143.000000 88.622 -55.6990
145.000000 88.396 -56.4606
147.500000 88.059 -57.5094
150.000000 87.686 -58.3291
152.500000 87.292 -58.8667
155.000000 86.878 -59.0804
157.500000 86.445 -58.9750
160.000000 86.003 -58.5701
162.500000 85.572 -57.9258
165.000000 85.148 -56.9633
167.500000 84.735 -55.7709
170.000000 84.343 -54.4077
172.500000 83.981 -52.7293
175.000000 83.661 -50.8058
177.500000 83.379 -48.7446
180.000000 83.124 -46.5647
182.500000 82.910 -44.3846
185.000000 82.744 -42.1988
187.500000 82.623 -39.9503
190.000000 82.549 -37.6500
192.500000 82.520 -35.5322
195.000000 82.540 -33.7381
197.500000 82.592 -32.2919
200.000000 82.636 -31.0109
203.000000 82.669 -29.6252
206.000000 82.695 -28.5539
209.000000 82.708 -27.6860
212.000000 82.702 -26.9354
214.000000 82.692 -26.4938
218.000000 82.661 -25.6452
220.000000 82.643 -25.1955
224.000000 82.598 -24.2663
227.000000 82.563 -23.5818
230.000000 82.524 -22.8838
233.000000 82.486 -22.1233
236.000000 82.478 -21.2868
240.000000 82.512 -20.5352
243.000000 82.522 -20.4574
247.000000 82.451 -20.5650
250.000000 82.346 -20.3599
254.000000 82.201 -19.6655
258.000000 82.089 -18.8886
262.000000 81.992 -18.2102
265.000000 81.914 -17.6667
269.000000 81.813 -16.8699
272.000000 81.739 -16.2846
276.000000 81.639 -15.4962
280.000000 81.538 -14.6805
285.000000 81.422 -13.5432
290.000000 81.327 -12.3536
295.000000 81.255 -11.2233
300.000000 81.180 -10.3508
304.000000 81.094 -9.8024
307.000000 81.008 -9.3500
311.000000 80.869 -8.5680
315.000000 80.719 -7.5121
320.000000 80.548 -5.6901
325.000000 80.448 -3.3701
330.000000 80.472 -0.9591
335.000000 80.596 0.9130
340.000000 80.727 2.1528
345.000000 80.849 3.1831
350.000000 81.007 4.0490
355.000000 81.190 4.1818
360.000000 81.292 3.4139
365.000000 81.245 2.5430
370.000000 81.105 2.2139
375.000000 80.948 2.4381
382.000000 80.757 3.1835
387.000000 80.631 3.8893
395.000000 80.446 5.2631
400.000000 80.345 6.2926
406.000000 80.255 7.6056
412.000000 80.197 8.8844
418.000000 80.159 10.0872
425.000000 80.124 11.2938
431.000000 80.083 12.2128
437.000000 80.022 13.1529
444.000000 79.918 14.4767
450.000000 79.835 16.1444
455.000000 79.841 17.9791
462.000000 80.020 20.1573
468.000000 80.212 20.8350
475.000000 80.333 20.9143
482.000000 80.367 21.0652
487.000000 80.376 21.2860
494.000000 80.381 21.6152
500.000000 80.373 21.8891
508.000000 80.345 22.2832
515.000000 80.307 22.6790
522.000000 80.262 23.1405
530.000000 80.206 23.6985
538.000000 80.146 24.2958
545.000000 80.092 24.8364
552.000000 80.037 25.3894
560.000000 79.975 26.0393
570.000000 79.896 26.8573
580.000000 79.811 27.6750
590.000000 79.714 28.5008
600.000000 79.611 29.4147
608.000000 79.534 30.1964
615.000000 79.467 30.8908
622.000000 79.396 31.5974
630.000000 79.314 32.4298
640.000000 79.213 33.4726
650.000000 79.107 34.5645
660.000000 79.002 35.7172
670.000000 78.898 36.9291
680.000000 78.796 38.1788
690.000000 78.700 39.4436
700.000000 78.605 40.7320
710.000000 78.509 42.0540
720.000000 78.413 43.4204
730.000000 78.323 44.8615
740.000000 78.241 46.3757
750.000000 78.166 47.9411
762.000000 78.088 49.8689
775.000000 78.016 51.9640
788.000000 77.962 54.0964
800.000000 77.925 56.0522
812.000000 77.902 57.9883
825.000000 77.881 60.0946
838.000000 77.869 62.2073
850.000000 77.873 64.1747
862.000000 77.891 66.1469
875.000000 77.940 68.3292
885.000000 78.011 69.9369
900.000000 78.152 71.8847
912.000000 78.238 73.0418
925.000000 78.277 74.1494
938.000000 78.260 75.3373
950.000000 78.221 76.6826
962.000000 78.184 78.2970
975.000000 78.162 80.2433
988.000000 78.164 82.2833
1000.000000 78.190 84.2482
1015.000000 78.252 86.7108
1030.000000 78.348 89.1442
1044.000000 78.467 91.3385
1060.000000 78.631 93.6735
1075.000000 78.798 95.7038
1090.000000 78.974 97.6047
1106.000000 79.171 99.4442
1120.000000 79.345 100.9043
1138.000000 79.561 102.5843
1150.000000 79.697 103.6325
1172.000000 79.936 105.4908
1180.000000 80.022 106.1469
1206.000000 80.305 108.1544
1220.000000 80.453 109.0471
1241.000000 80.636 110.2163
1250.000000 80.699 110.7788
1265.000000 80.804 111.8155
1280.000000 80.917 112.9140
1315.000000 81.217 115.4619
1320.000000 81.264 115.8007
1340.000000 81.452 117.0604
1360.000000 81.637 118.1798
1380.000000 81.809 119.1808
1400.000000 81.967 120.1335
1430.000000 82.181 121.5938
1450.000000 82.315 122.5511
1475.000000 82.473 123.7261
1500.000000 82.622 124.9411
1525.000000 82.768 126.2012
1550.000000 82.918 127.5119
1575.000000 83.082 128.8315
1600.000000 83.264 130.0248
1625.000000 83.434 130.9487
1650.000000 83.543 131.8516
1675.000000 83.642 133.1994
1700.000000 83.786 134.6723
1725.000000 83.947 136.0005
1750.000000 84.107 137.2181
1775.000000 84.262 138.3974
1800.000000 84.416 139.6052
1825.000000 84.579 140.8627
1850.000000 84.758 142.0811
1875.000000 84.946 143.1992
1900.000000 85.131 144.2356
1925.000000 85.312 145.2611
1950.000000 85.496 146.3028
1975.000000 85.688 147.3187
2000.000000 85.889 148.2983
2030.000000 86.145 149.3747
2060.000000 86.404 150.1834
2090.000000 86.616 150.7967
2120.000000 86.788 151.7624
2140.000000 86.922 152.5773
2180.000000 87.247 154.0716
2200.000000 87.422 154.7238
2240.000000 87.794 155.8385
2270.000000 88.077 156.4764
2300.000000 88.359 157.0033
2330.000000 88.643 157.4659
2360.000000 88.932 157.8102
2400.000000 89.318 158.0630
2430.000000 89.603 158.1152
2470.000000 89.976 157.9843
2500.000000 90.242 157.7393
2540.000000 90.573 157.2022
2580.000000 90.872 156.4955
2620.000000 91.136 155.7115
2650.000000 91.314 155.1161
2690.000000 91.522 154.3594
2720.000000 91.655 153.8512
2760.000000 91.803 153.4198
2800.000000 91.960 153.5243
2850.000000 92.304 154.3551
2900.000000 92.900 154.6154
2950.000000 93.573 153.0328
3000.000000 94.145 149.9256
3040.000000 94.492 146.8437
3070.000000 94.691 144.3725
3110.000000 94.883 140.9899
3150.000000 95.014 137.6183
3200.000000 95.128 133.3142
3250.000000 95.171 128.6585
3300.000000 95.108 123.6722
3350.000000 94.917 118.4586
3400.000000 94.580 113.0633
3450.000000 94.063 107.5264
3500.000000 93.282 101.9771
3550.000000 92.080 97.2529
3600.000000 90.365 96.0221
3650.000000 88.540 103.1332
3700.000000 88.088 119.8201
3750.000000 89.641 129.7812
3820.000000 91.446 122.4209
3870.000000 91.408 113.0443
3950.000000 89.890 104.0772
4000.000000 88.708 103.3844
4060.000000 87.490 106.0122
4120.000000 86.616 110.7016
4180.000000 86.085 116.1806
4250.000000 85.851 122.6779
4310.000000 85.945 127.6046
4370.000000 86.234 131.2074
4440.000000 86.682 133.3815
4500.000000 87.051 133.6564
4550.000000 87.299 133.0261
4620.000000 87.516 131.2168
4680.000000 87.560 129.1161
4750.000000 87.423 126.3986
4820.000000 87.096 123.8115
4870.000000 86.760 122.3150
4940.000000 86.182 121.1099
5000.000000 85.660 121.0456
5080.000000 85.020 122.2580
5150.000000 84.634 123.9874
5220.000000 84.375 125.1788
5300.000000 84.124 125.8382
5380.000000 83.881 125.7034
5450.000000 83.613 124.7071
5520.000000 83.182 122.9375
5600.000000 82.335 121.1386
5700.000000 80.858 122.9199
5800.000000 79.666 129.7949
5900.000000 79.120 137.1841
6000.000000 78.909 142.6026
6080.000000 78.779 145.7138
6150.000000 78.642 147.8776
6220.000000 78.463 149.7065
