* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:47:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Bass AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.704 112.5755
20.600000 89.874 111.8188
20.900000 90.062 111.0048
21.200001 90.252 110.1785
21.400000 90.377 109.6184
21.799999 90.628 108.4788
22.000000 90.753 107.9054
22.400000 91.003 106.7673
22.700001 91.192 105.9259
23.000000 91.383 105.0899
23.299999 91.574 104.2505
23.600000 91.762 103.4027
24.000000 92.004 102.2661
24.299999 92.179 101.4223
24.700001 92.406 100.3250
25.000000 92.576 99.5196
25.400000 92.805 98.4397
25.799999 93.037 97.3091
26.200001 93.265 96.1010
26.500000 93.431 95.1524
26.900000 93.640 93.8674
27.200001 93.789 92.9158
27.600000 93.984 91.6870
28.000000 94.177 90.5015
28.500000 94.418 89.0443
29.000000 94.654 87.5725
29.500000 94.880 86.0662
30.000000 95.098 84.5172
30.400000 95.272 83.2409
30.700001 95.403 82.2629
31.100000 95.579 80.9441
31.500000 95.754 79.6359
32.000000 95.969 78.0627
32.500000 96.175 76.5757
33.000000 96.370 75.1255
33.500000 96.548 73.6185
34.000000 96.705 71.9897
34.500000 96.843 70.2563
35.000000 96.975 68.5052
35.500000 97.118 66.8231
36.000000 97.280 65.2430
36.500000 97.453 63.7524
37.000000 97.624 62.3335
37.500000 97.782 60.9645
38.200001 97.983 59.0331
38.700001 98.109 57.5756
39.500000 98.278 55.2055
40.000000 98.389 53.7833
40.599998 98.571 51.9821
41.200001 98.800 49.7673
41.799999 99.021 47.1148
42.500000 99.210 43.9813
43.099998 99.323 41.6438
43.700001 99.407 39.5771
44.400002 99.460 37.2105
45.000000 99.477 35.1191
45.500000 99.502 33.3336
46.200001 99.589 30.7230
46.799999 99.691 28.3601
47.500000 99.776 25.5679
48.200001 99.792 22.8366
48.700001 99.773 20.8711
49.400002 99.726 17.9963
50.000000 99.676 15.4739
50.799999 99.591 12.3312
51.500000 99.497 9.8921
52.200001 99.376 7.5647
53.000000 99.208 4.8513
53.799999 99.050 2.1351
54.500000 98.935 -0.1287
55.200001 98.819 -2.1935
56.000000 98.648 -4.3204
57.000000 98.352 -6.8734
58.000000 97.985 -9.1893
59.000000 97.661 -11.0636
60.000000 97.370 -12.7450
60.799999 97.112 -13.7801
61.500000 96.889 -14.3998
62.200001 96.681 -14.9045
63.000000 96.459 -15.4321
64.000000 96.210 -15.9545
65.000000 96.010 -16.3697
66.000000 95.854 -16.8642
67.000000 95.720 -17.4796
68.000000 95.601 -18.1530
69.000000 95.486 -18.9381
70.000000 95.363 -19.7893
71.000000 95.245 -20.6447
72.000000 95.123 -21.4620
73.000000 94.990 -22.1639
74.000000 94.856 -22.8417
75.000000 94.720 -23.5643
76.199997 94.560 -24.3785
77.500000 94.393 -25.1498
78.800003 94.230 -25.7704
80.000000 94.082 -26.2759
81.199997 93.941 -26.7765
82.500000 93.822 -27.3393
83.800003 93.721 -27.8793
85.000000 93.627 -28.3789
86.199997 93.546 -28.9393
87.500000 93.477 -29.6038
88.500000 93.423 -30.1515
90.000000 93.330 -31.1271
91.199997 93.257 -32.0216
92.500000 93.180 -33.0492
93.800003 93.084 -34.1528
95.000000 92.981 -35.2717
96.199997 92.871 -36.4287
97.500000 92.741 -37.6819
98.800003 92.591 -39.0019
100.000000 92.434 -40.3140
101.500000 92.193 -41.7916
103.000000 91.918 -43.1547
104.400002 91.616 -44.4590
106.000000 91.226 -45.5526
107.500000 90.840 -46.0471
109.000000 90.451 -46.1467
110.599998 90.068 -45.8178
112.000000 89.786 -45.2155
113.800003 89.492 -44.4305
115.000000 89.319 -44.0131
117.199997 89.018 -43.3254
118.000000 88.911 -43.0563
120.599998 88.610 -41.9105
122.000000 88.483 -41.2228
124.099998 88.326 -40.1856
125.000000 88.281 -39.7718
126.500000 88.229 -39.1658
128.000000 88.194 -38.7225
131.500000 88.148 -38.4693
132.000000 88.139 -38.5102
134.000000 88.097 -38.8347
136.000000 88.040 -39.3530
138.000000 87.960 -40.0111
140.000000 87.839 -40.8091
143.000000 87.614 -42.0348
145.000000 87.442 -42.6925
147.500000 87.168 -43.5092
150.000000 86.849 -44.5212
152.500000 86.492 -45.1516
155.000000 86.134 -45.2305
157.500000 85.734 -45.1949
160.000000 85.269 -45.3217
162.500000 84.925 -44.8103
165.000000 84.648 -43.9496
167.500000 84.343 -42.9424
170.000000 84.023 -41.8287
172.500000 83.710 -40.4790
175.000000 83.449 -38.8527
177.500000 83.183 -36.8535
180.000000 82.868 -35.0281
182.500000 82.654 -33.3740
185.000000 82.575 -31.6920
187.500000 82.552 -29.9436
190.000000 82.533 -28.2214
192.500000 82.487 -26.8808
195.000000 82.402 -25.5551
197.500000 82.320 -24.0273
200.000000 82.265 -22.6021
203.000000 82.297 -21.4286
206.000000 82.380 -20.3684
209.000000 82.441 -19.4469
212.000000 82.477 -18.7480
214.000000 82.503 -18.2270
218.000000 82.509 -17.6212
220.000000 82.517 -17.6377
224.000000 82.529 -17.5249
227.000000 82.504 -17.3292
230.000000 82.470 -17.0807
233.000000 82.392 -16.9939
236.000000 82.262 -17.2031
240.000000 82.074 -16.9177
243.000000 81.995 -16.6200
247.000000 81.897 -16.5471
250.000000 81.769 -16.2657
254.000000 81.594 -15.6340
258.000000 81.446 -14.9610
262.000000 81.306 -14.2525
265.000000 81.197 -13.6555
269.000000 81.045 -12.8037
272.000000 80.934 -12.1818
276.000000 80.793 -11.3224
280.000000 80.659 -10.3195
285.000000 80.492 -9.0407
290.000000 80.343 -7.7213
295.000000 80.204 -6.3100
300.000000 80.126 -5.1068
304.000000 80.072 -4.3523
307.000000 79.998 -3.8995
311.000000 79.862 -3.2470
315.000000 79.698 -2.2243
320.000000 79.510 -0.2323
325.000000 79.411 2.2280
330.000000 79.435 4.4178
335.000000 79.524 5.9122
340.000000 79.595 6.9460
345.000000 79.645 7.9232
350.000000 79.722 8.6036
355.000000 79.801 8.5892
360.000000 79.762 8.3959
365.000000 79.617 8.6169
370.000000 79.444 9.2647
375.000000 79.300 10.1078
382.000000 79.161 11.4170
387.000000 79.079 12.3806
395.000000 78.932 14.1837
400.000000 78.833 15.6584
406.000000 78.756 17.2120
412.000000 78.732 18.3857
418.000000 78.707 19.5546
425.000000 78.689 21.0575
431.000000 78.660 22.2983
437.000000 78.614 23.4391
444.000000 78.545 24.9987
450.000000 78.497 26.6576
455.000000 78.517 28.2389
462.000000 78.656 30.0977
468.000000 78.794 30.8757
475.000000 78.885 31.3048
482.000000 78.918 31.8035
487.000000 78.928 32.2025
494.000000 78.926 32.7205
500.000000 78.903 33.1227
508.000000 78.853 33.7488
515.000000 78.803 34.3823
522.000000 78.746 35.0553
530.000000 78.702 35.9123
538.000000 78.656 36.8347
545.000000 78.604 37.5931
552.000000 78.555 38.3637
560.000000 78.503 39.2246
570.000000 78.431 40.3480
580.000000 78.355 41.5228
590.000000 78.286 42.6576
600.000000 78.215 43.8396
608.000000 78.143 44.8207
615.000000 78.077 45.6757
622.000000 78.016 46.5180
630.000000 77.943 47.5013
640.000000 77.847 48.7988
650.000000 77.754 50.1456
660.000000 77.671 51.5805
670.000000 77.595 53.0428
680.000000 77.518 54.4891
690.000000 77.434 55.9126
700.000000 77.353 57.3930
710.000000 77.274 58.9419
720.000000 77.197 60.5316
730.000000 77.135 62.1844
740.000000 77.086 63.8725
750.000000 77.043 65.5509
762.000000 76.997 67.6101
775.000000 76.964 69.8605
788.000000 76.943 72.0721
800.000000 76.939 74.1247
812.000000 76.943 76.1969
825.000000 76.955 78.4164
838.000000 76.979 80.6027
850.000000 77.014 82.6163
862.000000 77.066 84.6507
875.000000 77.152 86.7694
885.000000 77.238 88.2495
900.000000 77.365 90.1393
912.000000 77.442 91.3460
925.000000 77.484 92.5986
938.000000 77.487 94.0307
950.000000 77.483 95.6434
962.000000 77.493 97.4372
975.000000 77.530 99.4533
988.000000 77.595 101.5320
1000.000000 77.680 103.4713
1015.000000 77.831 105.8109
1030.000000 78.034 107.9403
1044.000000 78.247 109.6045
1060.000000 78.489 111.0734
1075.000000 78.698 112.0917
1090.000000 78.871 112.8341
1106.000000 79.007 113.4704
1120.000000 79.086 114.0117
1138.000000 79.148 114.7713
1150.000000 79.170 115.3702
1172.000000 79.192 116.6578
1180.000000 79.199 117.1779
1206.000000 79.223 118.9880
1220.000000 79.235 119.9181
1241.000000 79.217 121.3093
1250.000000 79.199 122.0092
1265.000000 79.173 123.3154
1280.000000 79.158 124.7227
1315.000000 79.154 128.1046
1320.000000 79.155 128.5984
1340.000000 79.165 130.6155
1360.000000 79.187 132.7021
1380.000000 79.221 134.8199
1400.000000 79.266 136.9284
1430.000000 79.345 140.0514
1450.000000 79.397 142.1366
1475.000000 79.466 144.7694
1500.000000 79.538 147.5074
1525.000000 79.621 150.4284
1550.000000 79.738 153.5199
1575.000000 79.907 156.6087
1600.000000 80.113 159.4649
1625.000000 80.310 162.0844
1650.000000 80.484 164.8179
1675.000000 80.692 167.7791
1700.000000 80.954 170.6665
1725.000000 81.244 173.3583
1750.000000 81.548 175.8902
1775.000000 81.865 178.3292
1800.000000 82.199 -179.3158
1825.000000 82.554 -177.0647
1850.000000 82.933 -174.9788
1875.000000 83.326 -173.1176
1900.000000 83.723 -171.4830
1925.000000 84.118 -170.0315
1950.000000 84.511 -168.7283
1975.000000 84.904 -167.5541
2000.000000 85.303 -166.5267
2030.000000 85.790 -165.5719
2060.000000 86.260 -165.0984
2090.000000 86.647 -164.9486
2120.000000 86.976 -164.4373
2140.000000 87.208 -163.9253
2180.000000 87.704 -162.9887
2200.000000 87.963 -162.6255
2240.000000 88.484 -162.1664
2270.000000 88.868 -162.0371
2300.000000 89.239 -162.0540
2330.000000 89.594 -162.1815
2360.000000 89.935 -162.3906
2400.000000 90.366 -162.7755
2430.000000 90.677 -163.1380
2470.000000 91.076 -163.7046
2500.000000 91.363 -164.1649
2540.000000 91.734 -164.8151
2580.000000 92.086 -165.5413
2620.000000 92.421 -166.3380
2650.000000 92.669 -166.9485
2690.000000 93.002 -167.7911
2720.000000 93.253 -168.4700
2760.000000 93.594 -169.4264
2800.000000 93.961 -170.4958
2850.000000 94.459 -172.3194
2900.000000 94.942 -174.9860
2950.000000 95.342 -178.4149
3000.000000 95.622 177.6474
3040.000000 95.744 174.3310
3070.000000 95.775 171.8824
3110.000000 95.752 168.8201
3150.000000 95.682 165.9938
3200.000000 95.532 162.6673
3250.000000 95.308 159.6737
3300.000000 95.019 157.1357
3350.000000 94.680 155.1360
3400.000000 94.305 153.7848
3450.000000 93.917 153.2527
3500.000000 93.560 153.7798
3550.000000 93.337 155.5938
3600.000000 93.416 158.2079
3650.000000 93.907 160.1910
3700.000000 94.736 159.4326
3750.000000 95.490 154.4066
3820.000000 95.598 143.5703
3870.000000 95.044 137.0940
3950.000000 93.840 131.3212
4000.000000 93.150 129.6427
4060.000000 92.445 128.4643
4120.000000 91.833 127.5510
4180.000000 91.249 126.6961
4250.000000 90.563 125.9171
4310.000000 89.974 125.5852
4370.000000 89.397 125.5677
4440.000000 88.748 125.9215
4500.000000 88.220 126.4964
4550.000000 87.798 127.0712
4620.000000 87.237 127.9005
4680.000000 86.777 128.5766
4750.000000 86.241 129.2896
4820.000000 85.675 129.9848
4870.000000 85.238 130.6066
4940.000000 84.582 132.0030
5000.000000 84.011 133.8730
5080.000000 83.344 137.7531
5150.000000 82.993 141.4703
5220.000000 82.780 144.5782
5300.000000 82.651 147.4831
5380.000000 82.631 149.1484
5450.000000 82.583 148.9477
5520.000000 82.292 147.5310
5600.000000 81.521 146.9032
5700.000000 80.439 151.4489
5800.000000 80.059 158.2071
5900.000000 80.131 162.1028
6000.000000 80.154 163.2288
6080.000000 80.008 163.0668
