* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:03:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Bass AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.449 99.8373
20.600000 92.602 99.0036
20.900000 92.774 98.1072
21.200001 92.949 97.1914
21.400000 93.066 96.5648
21.799999 93.296 95.2738
22.000000 93.409 94.6163
22.400000 93.634 93.2999
22.700001 93.800 92.3246
23.000000 93.965 91.3635
23.299999 94.128 90.4148
23.600000 94.287 89.4760
24.000000 94.492 88.2381
24.299999 94.640 87.3208
24.700001 94.832 86.1102
25.000000 94.973 85.2057
25.400000 95.159 83.9912
25.799999 95.344 82.7566
26.200001 95.525 81.5038
26.500000 95.658 80.5607
26.900000 95.832 79.3125
27.200001 95.960 78.3891
27.600000 96.129 77.1730
28.000000 96.295 75.9635
28.500000 96.497 74.4411
29.000000 96.691 72.8987
29.500000 96.874 71.3462
30.000000 97.052 69.7948
30.400000 97.193 68.5530
30.700001 97.298 67.6174
31.100000 97.439 66.3612
31.500000 97.578 65.0968
32.000000 97.750 63.5128
32.500000 97.916 61.9293
33.000000 98.076 60.3403
33.500000 98.226 58.7402
34.000000 98.364 57.1369
34.500000 98.493 55.5439
35.000000 98.615 53.9625
35.500000 98.734 52.3829
36.000000 98.846 50.8030
36.500000 98.951 49.2370
37.000000 99.051 47.6983
37.500000 99.152 46.1831
38.200001 99.297 44.0697
38.700001 99.404 42.5462
39.500000 99.576 40.0445
40.000000 99.678 38.4182
40.599998 99.785 36.4131
41.200001 99.874 34.3994
41.799999 99.952 32.4206
42.500000 100.034 30.1896
43.099998 100.102 28.3735
43.700001 100.178 26.6268
44.400002 100.278 24.5411
45.000000 100.362 22.6223
45.500000 100.421 20.9534
46.200001 100.490 18.5710
46.799999 100.541 16.4586
47.500000 100.577 13.8716
48.200001 100.577 11.2357
48.700001 100.565 9.3576
49.400002 100.543 6.6824
50.000000 100.509 4.3347
50.799999 100.423 1.2996
51.500000 100.325 -1.1484
52.200001 100.215 -3.4728
53.000000 100.063 -6.0671
53.799999 99.880 -8.5537
54.500000 99.702 -10.6217
55.200001 99.512 -12.6142
56.000000 99.275 -14.7990
57.000000 98.955 -17.2878
58.000000 98.632 -19.4344
59.000000 98.307 -21.3592
60.000000 97.970 -22.9895
60.799999 97.713 -24.0353
61.500000 97.504 -24.8297
62.200001 97.300 -25.5099
63.000000 97.077 -26.1584
64.000000 96.812 -26.9685
65.000000 96.550 -27.7888
66.000000 96.321 -28.5302
67.000000 96.127 -29.4279
68.000000 95.913 -30.4806
69.000000 95.673 -31.4263
70.000000 95.431 -32.2574
71.000000 95.179 -33.0214
72.000000 94.916 -33.6231
73.000000 94.656 -34.0651
74.000000 94.402 -34.3965
75.000000 94.153 -34.6143
76.199997 93.866 -34.6913
77.500000 93.581 -34.5706
78.800003 93.311 -34.3262
80.000000 93.076 -33.9558
81.199997 92.879 -33.4839
82.500000 92.710 -32.9193
83.800003 92.567 -32.4246
85.000000 92.445 -32.0024
86.199997 92.348 -31.5861
87.500000 92.272 -31.2860
88.500000 92.219 -31.1299
90.000000 92.152 -30.9094
91.199997 92.108 -30.8451
92.500000 92.075 -30.9469
93.800003 92.048 -31.2173
95.000000 92.016 -31.5423
96.199997 91.984 -31.8562
97.500000 91.947 -32.2276
98.800003 91.903 -32.6910
100.000000 91.860 -33.2796
101.500000 91.794 -34.1012
103.000000 91.722 -34.9634
104.400002 91.644 -35.8480
106.000000 91.542 -36.9925
107.500000 91.420 -38.2019
109.000000 91.263 -39.4709
110.599998 91.047 -40.8176
112.000000 90.814 -41.8332
113.800003 90.471 -42.7408
115.000000 90.222 -43.1033
117.199997 89.745 -43.3937
118.000000 89.590 -43.2954
120.599998 89.125 -42.1835
122.000000 88.859 -41.3162
124.099998 88.609 -39.7030
125.000000 88.552 -39.0170
126.500000 88.493 -38.0649
128.000000 88.469 -37.3860
131.500000 88.484 -36.7218
132.000000 88.489 -36.7449
134.000000 88.489 -37.1707
136.000000 88.451 -37.9187
138.000000 88.374 -39.0266
140.000000 88.248 -40.1888
143.000000 87.979 -41.6625
145.000000 87.785 -42.5245
147.500000 87.490 -43.3427
150.000000 87.091 -44.2278
152.500000 86.630 -45.1486
155.000000 86.198 -45.6970
157.500000 85.803 -45.7372
160.000000 85.315 -45.2438
162.500000 84.817 -44.7150
165.000000 84.380 -43.9658
167.500000 84.017 -43.3014
170.000000 83.607 -42.1650
172.500000 83.157 -40.2255
175.000000 82.764 -37.8902
177.500000 82.482 -35.9964
180.000000 82.219 -34.1562
182.500000 81.949 -31.6918
185.000000 81.732 -29.3673
187.500000 81.582 -27.1574
190.000000 81.459 -24.2990
192.500000 81.332 -21.8695
195.000000 81.232 -20.0670
197.500000 81.195 -17.9706
200.000000 81.257 -15.4476
203.000000 81.365 -13.3705
206.000000 81.404 -11.9797
209.000000 81.463 -10.6213
212.000000 81.502 -9.7424
214.000000 81.506 -9.2388
218.000000 81.518 -8.4017
220.000000 81.514 -8.1104
224.000000 81.473 -7.3938
227.000000 81.428 -6.7026
230.000000 81.394 -6.1681
233.000000 81.324 -5.7488
236.000000 81.232 -5.0191
240.000000 81.099 -3.7092
243.000000 80.959 -2.6842
247.000000 80.831 -1.0226
250.000000 80.789 0.2584
254.000000 80.771 1.8279
258.000000 80.781 3.1383
262.000000 80.799 4.0311
265.000000 80.797 4.5218
269.000000 80.741 4.9668
272.000000 80.679 5.3820
276.000000 80.593 5.9900
280.000000 80.496 6.5661
285.000000 80.356 7.5932
290.000000 80.169 8.9011
295.000000 79.989 10.2113
300.000000 79.844 12.0316
304.000000 79.734 13.4070
307.000000 79.669 14.4535
311.000000 79.585 16.0661
315.000000 79.509 17.9528
320.000000 79.476 20.4959
325.000000 79.555 22.7022
330.000000 79.699 24.1651
335.000000 79.824 25.1561
340.000000 79.881 25.9882
345.000000 79.938 26.8649
350.000000 80.017 27.5451
355.000000 80.049 27.8107
360.000000 79.963 28.0242
365.000000 79.802 28.3987
370.000000 79.669 29.4406
375.000000 79.582 30.8136
382.000000 79.547 32.6852
387.000000 79.540 34.0112
395.000000 79.545 36.0714
400.000000 79.575 37.2402
406.000000 79.607 38.3527
412.000000 79.626 39.2490
418.000000 79.630 40.0483
425.000000 79.608 41.0970
431.000000 79.569 41.9167
437.000000 79.518 42.6771
444.000000 79.450 43.9818
450.000000 79.426 45.5390
455.000000 79.475 46.8611
462.000000 79.624 48.1682
468.000000 79.713 48.5256
475.000000 79.726 48.7053
482.000000 79.686 49.1368
487.000000 79.644 49.5179
494.000000 79.582 50.1389
500.000000 79.535 50.8229
508.000000 79.482 51.8108
515.000000 79.422 52.6693
522.000000 79.359 53.5676
530.000000 79.287 54.5778
538.000000 79.224 55.6671
545.000000 79.179 56.5567
552.000000 79.137 57.4394
560.000000 79.079 58.5211
570.000000 79.002 59.8162
580.000000 78.916 60.9798
590.000000 78.806 62.3151
600.000000 78.703 63.8734
608.000000 78.626 65.0193
615.000000 78.565 66.0199
622.000000 78.503 67.0670
630.000000 78.430 68.3217
640.000000 78.346 69.9022
650.000000 78.272 71.4516
660.000000 78.200 72.9162
670.000000 78.117 74.3953
680.000000 78.028 75.9696
690.000000 77.941 77.6231
700.000000 77.858 79.4140
710.000000 77.783 81.3128
720.000000 77.727 83.2307
730.000000 77.690 85.1500
740.000000 77.673 87.0144
750.000000 77.664 88.8066
762.000000 77.649 90.9050
775.000000 77.638 93.1719
788.000000 77.627 95.4025
800.000000 77.617 97.4498
812.000000 77.624 99.6071
825.000000 77.659 101.9979
838.000000 77.723 104.3364
850.000000 77.798 106.2776
862.000000 77.880 108.0623
875.000000 77.971 109.8604
885.000000 78.034 111.1501
900.000000 78.107 113.0144
912.000000 78.152 114.4942
925.000000 78.205 116.1832
938.000000 78.281 117.8599
950.000000 78.353 119.1796
962.000000 78.403 120.4120
975.000000 78.440 121.8693
988.000000 78.483 123.4324
1000.000000 78.537 124.8764
1015.000000 78.613 126.5785
1030.000000 78.695 128.1556
1044.000000 78.771 129.5294
1060.000000 78.854 131.0208
1075.000000 78.927 132.3141
1090.000000 78.986 133.5131
1106.000000 79.026 134.6967
1120.000000 79.043 135.6624
1138.000000 79.039 136.9147
1150.000000 79.017 137.7898
1172.000000 78.946 139.6473
1180.000000 78.917 140.4110
1206.000000 78.844 143.0778
1220.000000 78.815 144.5861
1241.000000 78.774 146.8686
1250.000000 78.756 147.8885
1265.000000 78.732 149.6305
1280.000000 78.713 151.3601
1315.000000 78.675 155.5144
1320.000000 78.672 156.1324
1340.000000 78.672 158.6305
1360.000000 78.685 161.1408
1380.000000 78.713 163.6474
1400.000000 78.746 166.0613
1430.000000 78.776 169.7014
1450.000000 78.802 172.2812
1475.000000 78.855 175.4733
1500.000000 78.909 178.6743
1525.000000 78.970 -178.0633
1550.000000 79.042 -174.8159
1575.000000 79.114 -171.5483
1600.000000 79.171 -168.2979
1625.000000 79.181 -165.1148
1650.000000 79.075 -161.7072
1675.000000 78.846 -156.9220
1700.000000 78.610 -149.6703
1725.000000 78.709 -137.8588
1750.000000 80.124 -121.6833
1775.000000 82.790 -113.2860
1800.000000 84.983 -117.3588
1825.000000 86.036 -125.3325
1850.000000 86.361 -131.3683
1875.000000 86.448 -134.6908
1900.000000 86.513 -136.2468
1925.000000 86.612 -136.8076
1950.000000 86.755 -136.8515
1975.000000 86.927 -136.6317
2000.000000 87.122 -136.1903
2030.000000 87.405 -135.3853
2060.000000 87.769 -134.6273
2090.000000 88.157 -134.4731
2120.000000 88.489 -134.6368
2140.000000 88.695 -134.7018
2180.000000 89.099 -134.8845
2200.000000 89.291 -135.0316
2240.000000 89.660 -135.3103
2270.000000 89.936 -135.5388
2300.000000 90.209 -135.8321
2330.000000 90.477 -136.2026
2360.000000 90.739 -136.6606
2400.000000 91.075 -137.4200
2430.000000 91.311 -138.0906
2470.000000 91.595 -139.0543
2500.000000 91.790 -139.7469
2540.000000 92.061 -140.7271
2580.000000 92.322 -142.0452
2620.000000 92.531 -143.5432
2650.000000 92.656 -144.6628
2690.000000 92.792 -146.0934
2720.000000 92.876 -147.1060
2760.000000 92.976 -148.3876
2800.000000 93.064 -149.7031
2850.000000 93.123 -151.4741
2900.000000 93.093 -152.9648
2950.000000 93.027 -153.7030
3000.000000 93.019 -153.5785
3040.000000 93.130 -153.0968
3070.000000 93.310 -152.8546
3110.000000 93.669 -153.2847
3150.000000 94.047 -155.2548
3200.000000 94.264 -159.2340
3250.000000 94.234 -162.8638
3300.000000 94.054 -166.1782
3350.000000 93.726 -168.6189
3400.000000 93.349 -169.9296
3450.000000 92.955 -169.9485
3500.000000 92.703 -167.6877
3550.000000 93.040 -164.0843
3600.000000 93.948 -163.9953
3650.000000 94.735 -169.0192
3700.000000 94.976 -176.4649
3750.000000 94.696 176.5998
3820.000000 93.914 169.8039
3870.000000 93.301 166.4389
3950.000000 92.281 162.7882
4000.000000 91.650 161.5677
4060.000000 90.954 160.8465
4120.000000 90.344 160.5546
4180.000000 89.812 160.4171
4250.000000 89.253 160.1331
4310.000000 88.770 159.7896
4370.000000 88.271 159.7023
4440.000000 87.730 159.9238
4500.000000 87.312 159.9931
4550.000000 86.960 159.8456
4620.000000 86.413 159.5574
4680.000000 85.884 159.5380
4750.000000 85.218 160.0802
4820.000000 84.534 161.4609
4870.000000 84.059 162.9760
4940.000000 83.453 165.7322
5000.000000 83.016 168.5978
5080.000000 82.598 172.9998
5150.000000 82.408 177.5003
5220.000000 82.624 -177.5249
5300.000000 83.339 -175.3577
5380.000000 83.945 -178.1153
5450.000000 84.007 177.1692
5520.000000 83.548 173.1107
5600.000000 82.768 171.9058
5700.000000 82.149 173.2079
5800.000000 81.815 173.6260
5900.000000 81.459 172.9149
6000.000000 81.024 171.6884
