* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:52:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Classic ANC Gna) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.504 101.6578
20.600000 83.669 100.7209
20.900000 83.863 99.5507
21.200001 84.052 98.0947
21.400000 84.162 96.9801
21.799999 84.334 94.5984
22.000000 84.400 93.4384
22.400000 84.521 91.3690
22.700001 84.626 90.0562
23.000000 84.756 88.8624
23.299999 84.907 87.6711
23.600000 85.064 86.3992
24.000000 85.253 84.5598
24.299999 85.369 83.1341
24.700001 85.494 81.2868
25.000000 85.579 79.9812
25.400000 85.694 78.3288
25.799999 85.808 76.7201
26.200001 85.908 75.1333
26.500000 85.965 73.9833
26.900000 86.017 72.5496
27.200001 86.045 71.5541
27.600000 86.081 70.2799
28.000000 86.123 68.9681
28.500000 86.181 67.1723
29.000000 86.231 65.2546
29.500000 86.272 63.3909
30.000000 86.309 61.7040
30.400000 86.338 60.4834
30.700001 86.357 59.6255
31.100000 86.375 58.5419
31.500000 86.384 57.5192
32.000000 86.392 56.3104
32.500000 86.404 55.1410
33.000000 86.421 53.9837
33.500000 86.434 52.8667
34.000000 86.441 51.8458
34.500000 86.444 50.9360
35.000000 86.445 50.0929
35.500000 86.441 49.2676
36.000000 86.434 48.4513
36.500000 86.428 47.6574
37.000000 86.432 46.8794
37.500000 86.448 46.0930
38.200001 86.475 44.9893
38.700001 86.489 44.2597
39.500000 86.514 43.2355
40.000000 86.536 42.6053
40.599998 86.562 41.7714
41.200001 86.578 40.8847
41.799999 86.591 40.0531
42.500000 86.619 39.2409
43.099998 86.660 38.6590
43.700001 86.709 38.1127
44.400002 86.761 37.4100
45.000000 86.785 36.6988
45.500000 86.787 36.0652
46.200001 86.776 35.2397
46.799999 86.781 34.6261
47.500000 86.811 33.9256
48.200001 86.846 33.1978
48.700001 86.864 32.7194
49.400002 86.892 32.1534
50.000000 86.928 31.6960
50.799999 86.982 31.0059
51.500000 87.022 30.3751
52.200001 87.066 29.7720
53.000000 87.137 29.0124
53.799999 87.216 28.1006
54.500000 87.277 27.2494
55.200001 87.329 26.3993
56.000000 87.377 25.4023
57.000000 87.416 24.1147
58.000000 87.431 22.9022
59.000000 87.430 21.8550
60.000000 87.423 20.8890
60.799999 87.421 20.1529
61.500000 87.427 19.5843
62.200001 87.441 19.1021
63.000000 87.461 18.6464
64.000000 87.496 18.1694
65.000000 87.557 17.6889
66.000000 87.648 17.1627
67.000000 87.766 16.5291
68.000000 87.904 15.6971
69.000000 88.057 14.6546
70.000000 88.217 13.4231
71.000000 88.375 11.9823
72.000000 88.528 10.2141
73.000000 88.657 8.1075
74.000000 88.739 5.8056
75.000000 88.768 3.4051
76.199997 88.726 0.4648
77.500000 88.592 -2.5389
78.800003 88.393 -5.1457
80.000000 88.176 -7.1928
81.199997 87.958 -8.8988
82.500000 87.731 -10.4257
83.800003 87.520 -11.6822
85.000000 87.351 -12.6988
86.199997 87.200 -13.6389
87.500000 87.050 -14.6131
88.500000 86.945 -15.3882
90.000000 86.804 -16.6397
91.199997 86.698 -17.7212
92.500000 86.582 -18.9888
93.800003 86.458 -20.3350
95.000000 86.325 -21.6526
96.199997 86.167 -23.0491
97.500000 85.975 -24.6119
98.800003 85.761 -26.1650
100.000000 85.534 -27.5307
101.500000 85.207 -29.0474
103.000000 84.841 -30.3337
104.400002 84.474 -31.3382
106.000000 84.036 -32.1747
107.500000 83.615 -32.6327
109.000000 83.195 -32.7781
110.599998 82.754 -32.6171
112.000000 82.379 -32.1847
113.800003 81.918 -31.2948
115.000000 81.621 -30.5372
117.199997 81.117 -28.7866
118.000000 80.948 -28.0269
120.599998 80.467 -25.1310
122.000000 80.259 -23.3721
124.099998 80.016 -20.6225
125.000000 79.944 -19.4475
126.500000 79.865 -17.5839
128.000000 79.826 -15.8486
131.500000 79.843 -12.1719
132.000000 79.853 -11.7118
134.000000 79.902 -10.0569
136.000000 79.961 -8.6735
138.000000 80.031 -7.5259
140.000000 80.112 -6.5022
143.000000 80.244 -5.2542
145.000000 80.314 -4.6584
147.500000 80.377 -4.1511
150.000000 80.438 -3.6446
152.500000 80.492 -3.2010
155.000000 80.542 -2.8001
157.500000 80.594 -2.4457
160.000000 80.646 -2.0998
162.500000 80.699 -1.8211
165.000000 80.758 -1.6372
167.500000 80.815 -1.5385
170.000000 80.861 -1.5036
172.500000 80.896 -1.5219
175.000000 80.923 -1.6045
177.500000 80.937 -1.7608
180.000000 80.944 -1.9638
182.500000 80.940 -2.1760
185.000000 80.918 -2.3709
187.500000 80.886 -2.4625
190.000000 80.849 -2.4348
192.500000 80.823 -2.3383
195.000000 80.816 -2.2109
197.500000 80.821 -2.1290
200.000000 80.829 -2.1343
203.000000 80.824 -2.2462
206.000000 80.810 -2.4568
209.000000 80.789 -2.7271
212.000000 80.745 -2.9796
214.000000 80.706 -3.1112
218.000000 80.618 -3.2679
220.000000 80.568 -3.2814
224.000000 80.472 -3.1808
227.000000 80.412 -3.0306
230.000000 80.347 -2.8543
233.000000 80.288 -2.6238
236.000000 80.257 -2.3582
240.000000 80.254 -2.0989
243.000000 80.252 -2.2301
247.000000 80.188 -2.6849
250.000000 80.090 -2.8893
254.000000 79.945 -2.7476
258.000000 79.833 -2.2825
262.000000 79.753 -1.8137
265.000000 79.702 -1.5279
269.000000 79.638 -1.1237
272.000000 79.591 -0.8283
276.000000 79.531 -0.4878
280.000000 79.474 -0.1264
285.000000 79.404 0.3756
290.000000 79.349 0.8801
295.000000 79.301 1.2942
300.000000 79.247 1.5254
304.000000 79.189 1.6250
307.000000 79.130 1.6664
311.000000 79.025 1.7646
315.000000 78.895 2.0993
320.000000 78.716 2.9911
325.000000 78.564 4.5235
330.000000 78.523 6.4969
335.000000 78.614 8.1299
340.000000 78.751 9.0229
345.000000 78.867 9.5321
350.000000 78.980 10.0014
355.000000 79.121 10.1335
360.000000 79.239 9.5884
365.000000 79.264 8.7140
370.000000 79.206 7.9958
375.000000 79.108 7.5637
382.000000 78.944 7.3494
387.000000 78.818 7.4139
395.000000 78.612 7.8492
400.000000 78.492 8.3338
406.000000 78.374 9.0926
412.000000 78.283 9.9217
418.000000 78.210 10.6969
425.000000 78.131 11.5087
431.000000 78.065 12.1417
437.000000 77.984 12.7189
444.000000 77.847 13.5745
450.000000 77.723 14.8435
455.000000 77.679 16.4175
462.000000 77.778 18.4800
468.000000 77.917 19.3021
475.000000 78.016 19.5947
482.000000 78.052 19.8728
487.000000 78.065 20.1476
494.000000 78.080 20.5248
500.000000 78.081 20.8015
508.000000 78.059 21.1780
515.000000 78.028 21.5706
522.000000 77.993 21.9984
530.000000 77.950 22.5576
538.000000 77.905 23.1690
545.000000 77.865 23.7407
552.000000 77.827 24.3783
560.000000 77.787 25.1122
570.000000 77.739 26.0994
580.000000 77.708 27.0940
590.000000 77.670 28.0682
600.000000 77.631 29.1607
608.000000 77.607 30.1262
615.000000 77.594 31.0073
622.000000 77.588 31.8641
630.000000 77.588 32.8498
640.000000 77.597 34.1167
650.000000 77.614 35.3684
660.000000 77.643 36.6441
670.000000 77.689 37.9157
680.000000 77.751 39.1389
690.000000 77.824 40.2883
700.000000 77.906 41.4021
710.000000 77.995 42.4373
720.000000 78.092 43.4350
730.000000 78.191 44.3713
740.000000 78.294 45.2646
750.000000 78.404 46.0901
762.000000 78.541 46.9970
775.000000 78.693 47.8417
788.000000 78.844 48.5632
800.000000 78.978 49.1151
812.000000 79.101 49.5710
825.000000 79.228 50.0228
838.000000 79.346 50.4363
850.000000 79.443 50.7992
862.000000 79.534 51.1946
875.000000 79.650 51.6879
885.000000 79.764 52.0296
900.000000 79.951 52.0565
912.000000 80.058 51.6764
925.000000 80.103 51.1808
938.000000 80.082 50.8457
950.000000 80.030 50.8714
962.000000 79.975 51.2048
975.000000 79.928 51.8230
988.000000 79.900 52.6241
1000.000000 79.895 53.4580
1015.000000 79.918 54.5941
1030.000000 79.973 55.7823
1044.000000 80.054 56.8424
1060.000000 80.171 57.9456
1075.000000 80.297 58.8546
1090.000000 80.432 59.6459
1106.000000 80.585 60.3611
1120.000000 80.721 60.8484
1138.000000 80.888 61.3278
1150.000000 80.990 61.5964
1172.000000 81.169 62.0493
1180.000000 81.233 62.2163
1206.000000 81.455 62.6785
1220.000000 81.572 62.7580
1241.000000 81.705 62.7247
1250.000000 81.747 62.7802
1265.000000 81.815 62.9897
1280.000000 81.891 63.2709
1315.000000 82.109 63.9714
1320.000000 82.144 64.0486
1340.000000 82.293 64.2656
1360.000000 82.439 64.3407
1380.000000 82.571 64.2842
1400.000000 82.685 64.1729
1430.000000 82.829 64.0643
1450.000000 82.919 63.9972
1475.000000 83.018 63.9233
1500.000000 83.105 63.9227
1525.000000 83.185 63.9756
1550.000000 83.263 64.0899
1575.000000 83.343 64.2076
1600.000000 83.427 64.3030
1625.000000 83.498 64.3970
1650.000000 83.558 64.6690
1675.000000 83.646 65.0724
1700.000000 83.753 65.3467
1725.000000 83.857 65.5205
1750.000000 83.952 65.6759
1775.000000 84.040 65.8660
1800.000000 84.127 66.1323
1825.000000 84.224 66.4688
1850.000000 84.338 66.8042
1875.000000 84.459 67.0428
1900.000000 84.578 67.2174
1925.000000 84.695 67.3961
1950.000000 84.813 67.5874
1975.000000 84.937 67.8031
2000.000000 85.070 68.0744
2030.000000 85.255 68.4196
2060.000000 85.443 68.5486
2090.000000 85.572 68.4076
2120.000000 85.668 68.6757
2140.000000 85.759 69.0870
2180.000000 85.993 69.8056
2200.000000 86.119 70.0516
2240.000000 86.394 70.3391
2270.000000 86.607 70.3889
2300.000000 86.815 70.3691
2330.000000 87.026 70.3668
2360.000000 87.251 70.3925
2400.000000 87.557 70.3039
2430.000000 87.779 70.0337
2470.000000 88.063 69.4149
2500.000000 88.266 68.8042
2540.000000 88.517 67.8684
2580.000000 88.740 66.8301
2620.000000 88.935 65.7837
2650.000000 89.066 65.0283
2690.000000 89.216 64.0756
2720.000000 89.310 63.4681
2760.000000 89.418 62.9636
2800.000000 89.550 63.0380
2850.000000 89.892 63.8027
2900.000000 90.491 63.7887
2950.000000 91.145 61.8708
3000.000000 91.685 58.5100
3040.000000 92.005 55.3642
3070.000000 92.189 52.8996
3110.000000 92.374 49.5996
3150.000000 92.514 46.3960
3200.000000 92.664 42.3320
3250.000000 92.762 37.9155
3300.000000 92.772 33.1078
3350.000000 92.675 28.0093
3400.000000 92.450 22.6759
3450.000000 92.060 17.0784
3500.000000 91.411 11.3272
3550.000000 90.342 6.3158
3600.000000 88.771 4.8395
3650.000000 87.129 11.6863
3700.000000 86.915 27.7009
3750.000000 88.656 36.7390
3820.000000 90.644 28.3739
3870.000000 90.734 18.3469
3950.000000 89.443 8.0735
4000.000000 88.411 6.3525
4060.000000 87.367 7.5985
4120.000000 86.650 10.7588
4180.000000 86.252 14.6274
4250.000000 86.147 19.0865
4310.000000 86.322 22.1624
4370.000000 86.663 23.9387
4440.000000 87.123 24.0706
4500.000000 87.456 22.7509
4550.000000 87.644 20.9329
4620.000000 87.738 17.7868
4680.000000 87.644 14.9345
4750.000000 87.330 11.9274
4820.000000 86.848 9.8705
4870.000000 86.445 9.2497
4940.000000 85.889 9.8391
5000.000000 85.529 11.5545
5080.000000 85.322 14.7834
5150.000000 85.460 17.2819
5220.000000 85.755 18.0378
5300.000000 86.088 17.0411
5380.000000 86.322 14.4976
5450.000000 86.373 11.1380
5520.000000 86.171 7.0558
5600.000000 85.502 2.9291
5700.000000 84.217 2.4179
5800.000000 83.284 7.5533
5900.000000 83.084 13.4014
6000.000000 83.284 17.2771
6080.000000 83.540 19.0406
6150.000000 83.783 19.8510
6220.000000 84.019 20.0448
6300.000000 84.249 19.5625
6400.000000 84.447 18.2381
