* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:52:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Classic ANC Gnt) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.326 110.5730
20.600000 80.499 109.8611
20.900000 80.683 109.0676
21.200001 80.854 108.2510
21.400000 80.959 107.7039
21.799999 81.156 106.6307
22.000000 81.251 106.1153
22.400000 81.444 105.1343
22.700001 81.599 104.4262
23.000000 81.763 103.7158
23.299999 81.935 102.9826
23.600000 82.106 102.2226
24.000000 82.323 101.1997
24.299999 82.471 100.4663
24.700001 82.652 99.5828
25.000000 82.782 98.9929
25.400000 82.958 98.2493
25.799999 83.144 97.4573
26.200001 83.336 96.5327
26.500000 83.478 95.7418
26.900000 83.660 94.5963
27.200001 83.788 93.7125
27.600000 83.949 92.5621
28.000000 84.100 91.4901
28.500000 84.278 90.2985
29.000000 84.452 89.2729
29.500000 84.633 88.3546
30.000000 84.829 87.4273
30.400000 84.992 86.6096
30.700001 85.111 85.9434
31.100000 85.260 85.0083
31.500000 85.398 84.0558
32.000000 85.561 82.8627
32.500000 85.721 81.6298
33.000000 85.880 80.3211
33.500000 86.035 78.9822
34.000000 86.188 77.7078
34.500000 86.347 76.5426
35.000000 86.506 75.4510
35.500000 86.649 74.3861
36.000000 86.767 73.3416
36.500000 86.867 72.3186
37.000000 86.965 71.2743
37.500000 87.073 70.1466
38.200001 87.227 68.4469
38.700001 87.327 67.2763
39.500000 87.472 65.6579
40.000000 87.561 64.7261
40.599998 87.667 63.5164
41.200001 87.762 62.1530
41.799999 87.847 60.7372
42.500000 87.951 59.1733
43.099998 88.051 57.8936
43.700001 88.148 56.5940
44.400002 88.233 55.0717
45.000000 88.285 53.8378
45.500000 88.328 52.8559
46.200001 88.391 51.4872
46.799999 88.439 50.3332
47.500000 88.488 49.0993
48.200001 88.540 47.9834
48.700001 88.579 47.2143
49.400002 88.630 46.1568
50.000000 88.674 45.2667
50.799999 88.745 44.0630
51.500000 88.814 43.0172
52.200001 88.887 42.0827
53.000000 88.981 41.1610
53.799999 89.080 40.2150
54.500000 89.162 39.2189
55.200001 89.237 38.0095
56.000000 89.312 36.4224
57.000000 89.380 34.4099
58.000000 89.416 32.6121
59.000000 89.426 31.0297
60.000000 89.429 29.5564
60.799999 89.424 28.4018
61.500000 89.412 27.4747
62.200001 89.405 26.6833
63.000000 89.422 25.8968
64.000000 89.482 24.9543
65.000000 89.558 24.0355
66.000000 89.639 23.1511
67.000000 89.746 22.1882
68.000000 89.890 20.9640
69.000000 90.054 19.4861
70.000000 90.228 17.7505
71.000000 90.390 15.6917
72.000000 90.524 13.3501
73.000000 90.628 10.7427
74.000000 90.690 7.9020
75.000000 90.701 4.9283
76.199997 90.625 1.3698
77.500000 90.434 -2.2705
78.800003 90.173 -5.5818
80.000000 89.894 -8.1843
81.199997 89.597 -10.2829
82.500000 89.272 -12.2512
83.800003 88.960 -13.9183
85.000000 88.696 -15.1587
86.199997 88.452 -16.3129
87.500000 88.196 -17.5550
88.500000 88.010 -18.4791
90.000000 87.744 -19.8577
91.199997 87.533 -20.9962
92.500000 87.295 -22.2373
93.800003 87.051 -23.4864
95.000000 86.818 -24.6683
96.199997 86.568 -25.8597
97.500000 86.273 -27.1549
98.800003 85.951 -28.3616
100.000000 85.621 -29.3141
101.500000 85.165 -30.2146
103.000000 84.697 -30.7500
104.400002 84.252 -30.9538
106.000000 83.735 -30.6868
107.500000 83.260 -29.9997
109.000000 82.816 -28.9944
110.599998 82.398 -27.7015
112.000000 82.072 -26.3748
113.800003 81.693 -24.4741
115.000000 81.458 -23.0268
117.199997 81.052 -20.2310
118.000000 80.920 -19.2097
120.599998 80.588 -15.6182
122.000000 80.465 -13.5995
124.099998 80.368 -10.3784
125.000000 80.359 -8.9443
126.500000 80.379 -6.6706
128.000000 80.426 -4.6123
131.500000 80.635 -0.7211
132.000000 80.676 -0.2875
134.000000 80.858 1.1692
136.000000 81.038 2.3669
138.000000 81.212 3.3187
140.000000 81.383 3.9878
143.000000 81.619 4.6485
145.000000 81.765 4.8459
147.500000 81.924 4.9740
150.000000 82.050 4.9524
152.500000 82.155 4.8615
155.000000 82.249 4.7434
157.500000 82.343 4.5921
160.000000 82.416 4.3721
162.500000 82.477 4.1900
165.000000 82.530 3.8996
167.500000 82.582 3.4630
170.000000 82.630 2.9996
172.500000 82.647 2.5584
175.000000 82.641 1.9998
177.500000 82.627 1.2727
180.000000 82.617 0.5591
182.500000 82.605 -0.0993
185.000000 82.589 -0.6509
187.500000 82.547 -0.8848
190.000000 82.479 -0.8561
192.500000 82.401 -0.8273
195.000000 82.335 -0.9931
197.500000 82.294 -1.3378
200.000000 82.262 -1.6839
203.000000 82.199 -2.0964
206.000000 82.112 -2.5454
209.000000 82.012 -2.9386
212.000000 81.903 -3.2626
214.000000 81.822 -3.4413
218.000000 81.637 -3.6578
220.000000 81.541 -3.6696
224.000000 81.357 -3.5278
227.000000 81.228 -3.2956
230.000000 81.109 -2.9508
233.000000 81.010 -2.5199
236.000000 80.927 -2.0593
240.000000 80.853 -1.5922
243.000000 80.804 -1.6204
247.000000 80.670 -1.9025
250.000000 80.519 -1.8562
254.000000 80.320 -1.3334
258.000000 80.163 -0.6558
262.000000 80.030 0.0350
265.000000 79.936 0.5304
269.000000 79.813 1.1674
272.000000 79.721 1.6862
276.000000 79.602 2.4214
280.000000 79.488 3.1871
285.000000 79.356 4.1538
290.000000 79.251 5.1864
295.000000 79.171 6.1921
300.000000 79.084 6.9639
304.000000 78.986 7.4871
307.000000 78.893 7.9049
311.000000 78.748 8.6570
315.000000 78.592 9.6986
320.000000 78.407 11.3937
325.000000 78.289 13.6691
330.000000 78.301 16.1582
335.000000 78.418 18.0836
340.000000 78.552 19.2806
345.000000 78.674 20.1837
350.000000 78.821 20.9794
355.000000 78.995 21.2916
360.000000 79.096 20.7680
365.000000 79.068 20.0366
370.000000 78.954 19.7289
375.000000 78.821 19.8501
382.000000 78.639 20.4894
387.000000 78.512 21.1202
395.000000 78.319 22.4621
400.000000 78.214 23.4758
406.000000 78.115 24.7698
412.000000 78.049 26.0991
418.000000 78.002 27.3510
425.000000 77.952 28.6920
431.000000 77.900 29.7192
437.000000 77.828 30.7380
444.000000 77.712 32.2039
450.000000 77.615 34.0487
455.000000 77.610 36.0564
462.000000 77.787 38.4572
468.000000 77.972 39.3507
475.000000 78.084 39.7522
482.000000 78.117 40.2501
487.000000 78.126 40.6887
494.000000 78.132 41.3048
500.000000 78.125 41.8466
508.000000 78.099 42.6256
515.000000 78.065 43.4016
522.000000 78.029 44.2359
530.000000 77.983 45.2484
538.000000 77.931 46.3172
545.000000 77.888 47.2979
552.000000 77.850 48.3152
560.000000 77.814 49.5200
570.000000 77.774 51.0415
580.000000 77.731 52.5945
590.000000 77.684 54.1495
600.000000 77.635 55.7732
608.000000 77.609 57.0789
615.000000 77.596 58.2272
622.000000 77.591 59.4081
630.000000 77.592 60.7498
640.000000 77.598 62.3776
650.000000 77.616 64.0446
660.000000 77.646 65.7433
670.000000 77.695 67.4493
680.000000 77.758 69.1028
690.000000 77.832 70.6939
700.000000 77.919 72.2262
710.000000 78.009 73.6868
720.000000 78.098 75.0978
730.000000 78.197 76.4646
740.000000 78.306 77.7903
750.000000 78.419 79.0484
762.000000 78.558 80.4439
775.000000 78.715 81.8491
788.000000 78.871 83.0836
800.000000 79.007 84.0952
812.000000 79.136 85.0466
825.000000 79.268 86.0032
838.000000 79.395 86.9535
850.000000 79.501 87.8417
862.000000 79.601 88.7670
875.000000 79.727 89.7979
885.000000 79.845 90.4720
900.000000 80.028 91.0210
912.000000 80.134 91.0958
925.000000 80.184 91.0975
938.000000 80.174 91.2671
950.000000 80.133 91.7624
962.000000 80.087 92.5513
975.000000 80.050 93.6246
988.000000 80.032 94.8832
1000.000000 80.035 96.1508
1015.000000 80.067 97.7742
1030.000000 80.127 99.4357
1044.000000 80.207 100.9557
1060.000000 80.323 102.5616
1075.000000 80.447 103.9430
1090.000000 80.578 105.2069
1106.000000 80.723 106.4362
1120.000000 80.848 107.4073
1138.000000 81.002 108.5332
1150.000000 81.097 109.2391
1172.000000 81.262 110.4763
1180.000000 81.320 110.9137
1206.000000 81.517 112.2287
1220.000000 81.622 112.7764
1241.000000 81.741 113.4887
1250.000000 81.777 113.8802
1265.000000 81.838 114.6582
1280.000000 81.904 115.5057
1315.000000 82.103 117.5502
1320.000000 82.136 117.8264
1340.000000 82.274 118.8433
1360.000000 82.406 119.7010
1380.000000 82.527 120.4424
1400.000000 82.633 121.1353
1430.000000 82.768 122.2299
1450.000000 82.852 122.9852
1475.000000 82.947 123.9268
1500.000000 83.036 124.9129
1525.000000 83.120 125.9582
1550.000000 83.207 127.0572
1575.000000 83.304 128.2066
1600.000000 83.417 129.3026
1625.000000 83.519 130.1801
1650.000000 83.573 131.0707
1675.000000 83.628 132.3190
1700.000000 83.718 133.6112
1725.000000 83.821 134.8043
1750.000000 83.922 135.9405
1775.000000 84.021 137.0549
1800.000000 84.119 138.2142
1825.000000 84.225 139.4376
1850.000000 84.346 140.6573
1875.000000 84.474 141.7847
1900.000000 84.600 142.8610
1925.000000 84.728 143.9564
1950.000000 84.858 145.0609
1975.000000 84.994 146.1382
2000.000000 85.139 147.1787
2030.000000 85.329 148.3214
2060.000000 85.523 149.2057
2090.000000 85.668 149.8875
2120.000000 85.775 150.9634
2140.000000 85.870 151.8805
2180.000000 86.110 153.6026
2200.000000 86.241 154.3791
2240.000000 86.528 155.7624
2270.000000 86.748 156.6179
2300.000000 86.967 157.3928
2330.000000 87.190 158.1081
2360.000000 87.418 158.7299
2400.000000 87.725 159.3626
2430.000000 87.952 159.6851
2470.000000 88.246 159.9473
2500.000000 88.453 160.0246
2540.000000 88.712 160.0231
2580.000000 88.942 159.9162
2620.000000 89.138 159.7353
2650.000000 89.267 159.6085
2690.000000 89.416 159.4841
2720.000000 89.506 159.4850
2760.000000 89.605 159.7972
2800.000000 89.726 160.6851
2850.000000 90.044 162.4606
2900.000000 90.621 163.5163
2950.000000 91.270 162.7487
3000.000000 91.816 160.5384
3040.000000 92.144 158.2752
3070.000000 92.336 156.4781
3110.000000 92.530 154.0576
3150.000000 92.674 151.6763
3200.000000 92.818 148.5285
3250.000000 92.907 144.9748
3300.000000 92.904 141.0736
3350.000000 92.790 136.8924
3400.000000 92.546 132.4777
3450.000000 92.134 127.8032
3500.000000 91.465 122.9797
3550.000000 90.375 118.8811
3600.000000 88.783 118.2922
3650.000000 87.115 126.1204
3700.000000 86.875 143.3940
3750.000000 88.603 153.5497
3820.000000 90.562 146.3678
3870.000000 90.626 137.1421
3950.000000 89.286 128.3220
4000.000000 88.223 127.6310
4060.000000 87.143 130.2224
4120.000000 86.390 134.7350
4180.000000 85.955 139.8837
4250.000000 85.808 145.8251
4310.000000 85.951 150.1835
4370.000000 86.262 153.2566
4440.000000 86.693 154.8978
4500.000000 87.009 154.8565
4550.000000 87.188 154.0889
4620.000000 87.274 152.3277
4680.000000 87.176 150.6010
4750.000000 86.867 148.9137
4820.000000 86.390 148.1821
4870.000000 85.991 148.5065
4940.000000 85.439 150.4137
5000.000000 85.081 153.2728
5080.000000 84.871 157.9391
5150.000000 84.998 161.6013
5220.000000 85.280 163.5905
5300.000000 85.597 164.0840
5380.000000 85.820 163.1237
5450.000000 85.871 161.1800
5520.000000 85.681 158.4723
5600.000000 85.046 155.8313
5700.000000 83.822 156.9849
5800.000000 82.935 163.6459
5900.000000 82.759 170.9952
6000.000000 82.979 176.3822
6080.000000 83.251 179.3059
6150.000000 83.508 -178.9490
6220.000000 83.757 -177.8685
6300.000000 84.006 -177.3286
6400.000000 84.228 -177.3409
6500.000000 84.357 -177.7245
