* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:38:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Classic AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.011 121.0549
20.600000 76.166 120.5687
20.900000 76.341 119.9526
21.200001 76.525 119.2610
21.400000 76.651 118.7731
21.799999 76.909 117.7694
22.000000 77.037 117.2730
22.400000 77.280 116.3497
22.700001 77.446 115.7663
23.000000 77.602 115.3028
23.299999 77.753 114.9472
23.600000 77.910 114.6487
24.000000 78.131 114.2085
24.299999 78.304 113.7667
24.700001 78.529 113.0016
25.000000 78.687 112.3472
25.400000 78.884 111.4884
25.799999 79.082 110.7328
26.200001 79.295 110.0580
26.500000 79.464 109.5408
26.900000 79.687 108.7677
27.200001 79.841 108.1288
27.600000 80.019 107.2711
28.000000 80.176 106.4960
28.500000 80.374 105.6694
29.000000 80.599 104.8794
29.500000 80.840 104.0576
30.000000 81.080 103.3491
30.400000 81.281 102.9720
30.700001 81.445 102.7759
31.100000 81.685 102.4936
31.500000 81.929 102.0137
32.000000 82.195 101.0185
32.500000 82.384 99.7345
33.000000 82.515 98.4361
33.500000 82.640 97.2505
34.000000 82.793 96.1374
34.500000 82.966 95.0871
35.000000 83.143 94.2037
35.500000 83.325 93.5464
36.000000 83.519 93.0029
36.500000 83.724 92.3962
37.000000 83.943 91.6604
37.500000 84.199 90.8188
38.200001 84.650 89.4265
38.700001 84.985 88.3065
39.500000 85.373 86.9770
40.000000 85.505 86.7820
40.599998 85.620 86.7670
41.200001 85.715 85.9844
41.799999 85.779 83.9979
42.500000 85.879 80.9496
43.099998 86.090 78.5545
43.700001 86.390 76.5812
44.400002 86.673 74.8207
45.000000 86.790 73.8450
45.500000 86.857 73.2239
46.200001 87.019 71.8935
46.799999 87.223 69.9288
47.500000 87.442 67.1686
48.200001 87.578 64.8082
48.700001 87.634 63.5285
49.400002 87.701 61.8981
50.000000 87.760 60.1970
50.799999 87.807 57.4763
51.500000 87.807 55.2881
52.200001 87.802 53.5866
53.000000 87.809 51.7362
53.799999 87.785 49.5661
54.500000 87.730 47.6660
55.200001 87.674 46.0884
56.000000 87.613 44.7488
57.000000 87.534 43.5090
58.000000 87.483 41.9921
59.000000 87.422 39.9692
60.000000 87.330 38.6740
60.799999 87.281 38.5757
61.500000 87.267 38.7847
62.200001 87.274 38.8693
63.000000 87.315 38.5974
64.000000 87.426 37.8389
65.000000 87.579 37.0276
66.000000 87.738 36.2218
67.000000 87.896 35.1520
68.000000 88.064 33.8062
69.000000 88.251 32.3221
70.000000 88.443 30.6554
71.000000 88.619 28.7052
72.000000 88.766 26.4562
73.000000 88.881 23.9387
74.000000 88.960 21.1715
75.000000 88.983 18.2632
76.199997 88.921 14.8847
77.500000 88.753 11.5094
78.800003 88.510 8.4849
80.000000 88.278 6.0100
81.199997 88.036 3.8670
82.500000 87.774 2.1003
83.800003 87.543 0.5916
85.000000 87.347 -0.7407
86.199997 87.158 -2.0717
87.500000 86.971 -3.5916
88.500000 86.831 -4.7921
90.000000 86.624 -6.5082
91.199997 86.452 -8.0213
92.500000 86.242 -9.7036
93.800003 86.021 -11.3101
95.000000 85.802 -12.7882
96.199997 85.562 -14.2336
97.500000 85.282 -15.7600
98.800003 84.972 -17.3297
100.000000 84.627 -18.7958
101.500000 84.088 -20.2041
103.000000 83.514 -21.1067
104.400002 82.971 -21.8038
106.000000 82.344 -21.9353
107.500000 81.775 -21.1448
109.000000 81.211 -19.7381
110.599998 80.646 -17.5957
112.000000 80.250 -15.3290
113.800003 79.823 -12.2567
115.000000 79.563 -10.0810
117.199997 79.185 -5.9969
118.000000 79.105 -4.4839
120.599998 78.946 0.3324
122.000000 78.884 3.5334
124.099998 78.945 7.6262
125.000000 79.021 9.1790
126.500000 79.181 11.7069
128.000000 79.388 13.9550
131.500000 79.951 17.6851
132.000000 80.031 18.0825
134.000000 80.368 19.3020
136.000000 80.716 20.0018
138.000000 81.041 20.2840
140.000000 81.334 20.5949
143.000000 81.678 20.2814
145.000000 81.855 19.7173
147.500000 82.047 19.1823
150.000000 82.217 19.1828
152.500000 82.441 18.0773
155.000000 82.616 16.8869
157.500000 82.802 16.2635
160.000000 82.999 16.1699
162.500000 83.064 14.3628
165.000000 83.102 12.6029
167.500000 83.120 11.3307
170.000000 83.146 10.2630
172.500000 83.183 9.1280
175.000000 83.154 7.8397
177.500000 83.148 6.2758
180.000000 83.227 5.3335
182.500000 83.227 4.7329
185.000000 83.047 3.1948
187.500000 82.857 2.0175
190.000000 82.795 1.1593
192.500000 82.739 0.7933
195.000000 82.575 0.4990
197.500000 82.394 -0.1221
200.000000 82.241 -0.7355
203.000000 82.132 -1.5610
206.000000 82.050 -2.1135
209.000000 81.912 -2.4838
212.000000 81.741 -2.8375
214.000000 81.639 -3.0420
218.000000 81.396 -3.4172
220.000000 81.294 -3.5243
224.000000 81.130 -3.5428
227.000000 80.978 -3.6330
230.000000 80.824 -3.8950
233.000000 80.705 -4.0209
236.000000 80.604 -4.2872
240.000000 80.432 -5.3087
243.000000 80.209 -5.1650
247.000000 79.878 -4.3494
250.000000 79.675 -3.8501
254.000000 79.440 -3.2246
258.000000 79.220 -2.6541
262.000000 79.021 -1.9913
265.000000 78.880 -1.5250
269.000000 78.695 -0.7104
272.000000 78.570 0.0327
276.000000 78.397 0.8853
280.000000 78.223 1.7770
285.000000 78.026 3.0650
290.000000 77.856 4.3711
295.000000 77.736 5.6820
300.000000 77.662 7.1460
304.000000 77.578 7.8066
307.000000 77.481 8.0984
311.000000 77.325 8.6033
315.000000 77.153 9.5753
320.000000 76.955 11.4718
325.000000 76.852 13.9232
330.000000 76.887 16.3063
335.000000 76.982 17.9567
340.000000 77.062 19.1037
345.000000 77.138 19.9681
350.000000 77.243 20.5750
355.000000 77.340 20.2570
360.000000 77.311 19.7033
365.000000 77.157 19.8568
370.000000 76.990 20.4030
375.000000 76.860 21.1919
382.000000 76.729 22.5672
387.000000 76.640 23.3695
395.000000 76.500 24.9565
400.000000 76.418 26.4425
406.000000 76.330 27.9086
412.000000 76.252 29.2068
418.000000 76.206 30.3709
425.000000 76.187 31.8589
431.000000 76.152 33.1046
437.000000 76.091 34.2279
444.000000 76.028 35.9916
450.000000 76.033 38.0249
455.000000 76.122 39.7280
462.000000 76.331 41.1562
468.000000 76.461 41.4962
475.000000 76.516 41.6148
482.000000 76.509 42.0857
487.000000 76.488 42.5963
494.000000 76.458 43.3450
500.000000 76.438 44.0154
508.000000 76.406 44.8823
515.000000 76.369 45.7244
522.000000 76.333 46.6485
530.000000 76.296 47.7516
538.000000 76.259 48.8488
545.000000 76.217 49.8663
552.000000 76.174 50.9482
560.000000 76.138 52.1954
570.000000 76.106 53.7624
580.000000 76.067 55.3315
590.000000 76.030 56.9485
600.000000 76.013 58.7005
608.000000 75.999 60.1175
615.000000 75.996 61.3762
622.000000 75.997 62.6369
630.000000 76.000 64.0758
640.000000 76.019 65.8822
650.000000 76.053 67.7618
660.000000 76.104 69.6925
670.000000 76.183 71.5398
680.000000 76.272 73.2779
690.000000 76.368 74.9612
700.000000 76.470 76.6175
710.000000 76.576 78.2226
720.000000 76.692 79.7584
730.000000 76.827 81.2073
740.000000 76.972 82.5814
750.000000 77.112 83.8728
762.000000 77.284 85.3181
775.000000 77.481 86.7516
788.000000 77.675 88.0337
800.000000 77.840 89.0825
812.000000 77.998 90.0210
825.000000 78.169 90.9750
838.000000 78.339 91.8594
850.000000 78.492 92.6608
862.000000 78.640 93.4167
875.000000 78.804 94.1001
885.000000 78.932 94.4887
900.000000 79.094 94.7621
912.000000 79.166 94.8748
925.000000 79.204 95.1367
938.000000 79.216 95.5724
950.000000 79.220 96.1965
962.000000 79.234 97.0321
975.000000 79.271 98.1112
988.000000 79.323 99.2563
1000.000000 79.394 100.3554
1015.000000 79.528 101.6870
1030.000000 79.708 102.7918
1044.000000 79.893 103.5037
1060.000000 80.087 103.9465
1075.000000 80.235 104.0991
1090.000000 80.347 104.0556
1106.000000 80.422 103.9687
1120.000000 80.448 103.9484
1138.000000 80.437 104.0285
1150.000000 80.412 104.2001
1172.000000 80.348 104.7554
1180.000000 80.325 105.0108
1206.000000 80.267 106.0514
1220.000000 80.235 106.6107
1241.000000 80.148 107.4720
1250.000000 80.102 107.9581
1265.000000 80.028 108.9052
1280.000000 79.967 109.9399
1315.000000 79.868 112.6716
1320.000000 79.857 113.0810
1340.000000 79.820 114.7114
1360.000000 79.790 116.3547
1380.000000 79.765 118.0627
1400.000000 79.761 119.8108
1430.000000 79.765 122.4504
1450.000000 79.766 124.2283
1475.000000 79.777 126.4654
1500.000000 79.790 128.8937
1525.000000 79.821 131.5212
1550.000000 79.885 134.2482
1575.000000 79.992 136.9810
1600.000000 80.146 139.5362
1625.000000 80.287 141.8481
1650.000000 80.397 144.2619
1675.000000 80.551 146.9354
1700.000000 80.755 149.6066
1725.000000 80.982 152.1452
1750.000000 81.227 154.5013
1775.000000 81.480 156.7193
1800.000000 81.745 158.8826
1825.000000 82.047 161.0001
1850.000000 82.376 162.9434
1875.000000 82.706 164.6413
1900.000000 83.037 166.1435
1925.000000 83.374 167.5041
1950.000000 83.706 168.7697
1975.000000 84.037 169.9498
2000.000000 84.380 170.9821
2030.000000 84.793 171.9267
2060.000000 85.190 172.4021
2090.000000 85.518 172.6210
2120.000000 85.789 173.2070
2140.000000 85.975 173.7522
2180.000000 86.389 174.7947
2200.000000 86.615 175.2411
2240.000000 87.066 175.8274
2270.000000 87.389 176.0043
2300.000000 87.705 176.0936
2330.000000 88.004 176.1232
2360.000000 88.285 176.1061
2400.000000 88.647 175.9956
2430.000000 88.903 175.8278
2470.000000 89.220 175.5110
2500.000000 89.456 175.3067
2540.000000 89.760 175.0095
2580.000000 90.036 174.6109
2620.000000 90.309 174.2611
2650.000000 90.517 174.0537
2690.000000 90.789 173.7224
2720.000000 90.992 173.4278
2760.000000 91.289 173.1126
2800.000000 91.629 172.7534
2850.000000 92.091 171.7739
2900.000000 92.544 169.9145
2950.000000 92.906 167.2138
3000.000000 93.161 164.1324
3040.000000 93.273 161.6088
3070.000000 93.297 159.7462
3110.000000 93.271 157.4469
3150.000000 93.224 155.4675
3200.000000 93.130 153.2329
3250.000000 92.971 151.2374
3300.000000 92.759 149.5782
3350.000000 92.472 148.2823
3400.000000 92.129 147.6621
3450.000000 91.795 148.1754
3500.000000 91.526 149.8386
3550.000000 91.431 152.5833
3600.000000 91.670 155.9185
3650.000000 92.319 158.4881
3700.000000 93.292 158.1144
3750.000000 94.183 153.2915
3820.000000 94.501 142.7423
3870.000000 94.093 136.3514
3950.000000 93.098 130.4709
4000.000000 92.518 128.6071
4060.000000 91.920 127.0205
4120.000000 91.403 125.7520
4180.000000 90.899 124.5948
4250.000000 90.264 123.2959
4310.000000 89.697 122.5799
4370.000000 89.130 122.4210
4440.000000 88.449 122.5593
4500.000000 87.851 122.8509
4550.000000 87.357 123.4125
4620.000000 86.671 124.6632
4680.000000 86.068 126.0701
4750.000000 85.361 128.2454
4820.000000 84.645 131.0156
4870.000000 84.141 133.4969
4940.000000 83.509 138.1429
5000.000000 83.104 143.1304
5080.000000 82.866 150.6471
5150.000000 83.027 156.4145
5220.000000 83.366 160.6283
5300.000000 83.822 163.6541
5380.000000 84.265 164.5006
5450.000000 84.523 163.5252
5520.000000 84.471 161.6146
5600.000000 83.923 160.7129
5700.000000 83.153 165.3429
5800.000000 83.119 172.1056
5900.000000 83.553 175.9397
6000.000000 84.003 177.2756
6080.000000 84.246 177.0666
6150.000000 84.363 176.3235
6220.000000 84.397 175.4927
6300.000000 84.345 174.7429
6400.000000 84.161 174.0007
6500.000000 83.902 173.3494
6600.000000 83.574 173.0270
6700.000000 83.125 173.3578
