* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:38:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Classic ANC Off) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.691 107.3280
20.600000 77.861 106.7442
20.900000 78.057 106.0924
21.200001 78.253 105.3802
21.400000 78.376 104.8713
21.799999 78.597 103.8192
22.000000 78.698 103.3075
22.400000 78.893 102.3716
22.700001 79.054 101.7417
23.000000 79.240 101.1198
23.299999 79.452 100.4367
23.600000 79.681 99.6441
24.000000 79.986 98.4319
24.299999 80.194 97.4903
24.700001 80.430 96.3662
25.000000 80.581 95.7094
25.400000 80.767 95.0931
25.799999 80.957 94.6293
26.200001 81.158 94.0883
26.500000 81.310 93.5311
26.900000 81.500 92.5729
27.200001 81.633 91.7522
27.600000 81.803 90.6453
28.000000 81.986 89.6156
28.500000 82.250 88.4269
29.000000 82.541 87.2041
29.500000 82.815 85.8640
30.000000 83.037 84.4989
30.400000 83.184 83.4822
30.700001 83.288 82.7727
31.100000 83.439 81.8430
31.500000 83.609 80.8438
32.000000 83.841 79.4332
32.500000 84.073 77.9576
33.000000 84.301 76.6294
33.500000 84.543 75.5054
34.000000 84.806 74.3965
34.500000 85.065 73.0636
35.000000 85.283 71.4633
35.500000 85.445 69.7756
36.000000 85.571 68.2289
36.500000 85.697 66.9283
37.000000 85.845 65.8205
37.500000 86.017 64.7738
38.200001 86.271 63.2094
38.700001 86.443 61.9786
39.500000 86.702 59.9223
40.000000 86.867 58.6439
40.599998 87.077 57.0804
41.200001 87.286 55.4177
41.799999 87.476 53.6859
42.500000 87.686 51.6918
43.099998 87.882 49.9998
43.700001 88.087 48.2644
44.400002 88.299 46.2367
45.000000 88.439 44.6145
45.500000 88.539 43.3531
46.200001 88.693 41.5597
46.799999 88.854 39.8077
47.500000 89.054 37.4549
48.200001 89.222 35.0150
48.700001 89.319 33.3978
49.400002 89.460 31.3181
50.000000 89.616 29.4831
50.799999 89.849 26.6930
51.500000 90.016 24.1618
52.200001 90.125 21.8802
53.000000 90.191 19.5190
53.799999 90.206 17.1676
54.500000 90.210 15.1370
55.200001 90.244 13.1420
56.000000 90.297 10.7740
57.000000 90.294 7.8592
58.000000 90.274 5.1361
59.000000 90.279 2.0970
60.000000 90.242 -0.6753
60.799999 90.221 -2.3419
61.500000 90.200 -3.7082
62.200001 90.140 -5.0643
63.000000 90.052 -6.5041
64.000000 90.000 -8.4701
65.000000 89.962 -10.6667
66.000000 89.923 -12.5658
67.000000 89.916 -14.2774
68.000000 89.954 -15.8409
69.000000 90.007 -17.3173
70.000000 90.009 -18.6923
71.000000 90.061 -20.3669
72.000000 90.203 -23.1690
73.000000 90.314 -26.5499
74.000000 90.351 -29.7407
75.000000 90.324 -32.8868
76.199997 90.227 -36.7537
77.500000 90.043 -40.6827
78.800003 89.775 -44.1196
80.000000 89.491 -47.0160
81.199997 89.189 -49.4934
82.500000 88.875 -51.6404
83.800003 88.577 -53.6520
85.000000 88.304 -55.4035
86.199997 88.050 -56.9717
87.500000 87.804 -58.5538
88.500000 87.639 -59.7564
90.000000 87.418 -61.5402
91.199997 87.229 -62.9141
92.500000 87.000 -64.4439
93.800003 86.764 -66.1023
95.000000 86.541 -67.7057
96.199997 86.297 -69.3591
97.500000 86.008 -71.1538
98.800003 85.703 -72.7509
100.000000 85.412 -74.0580
101.500000 85.017 -75.6183
103.000000 84.583 -76.9182
104.400002 84.135 -77.8611
106.000000 83.596 -78.6092
107.500000 83.104 -78.7724
109.000000 82.628 -78.4030
110.599998 82.149 -77.5569
112.000000 81.781 -76.5172
113.800003 81.360 -74.8595
115.000000 81.110 -73.5912
117.199997 80.750 -71.1552
118.000000 80.648 -70.2086
120.599998 80.362 -66.7331
122.000000 80.254 -64.7113
124.099998 80.210 -61.7975
125.000000 80.225 -60.5734
126.500000 80.300 -58.6783
128.000000 80.426 -57.0914
131.500000 80.849 -54.1019
132.000000 80.922 -53.7966
134.000000 81.221 -52.9304
136.000000 81.547 -52.5688
138.000000 81.874 -52.5725
140.000000 82.156 -53.0036
143.000000 82.551 -54.1520
145.000000 82.764 -55.1650
147.500000 82.984 -56.8553
150.000000 83.171 -58.6004
152.500000 83.331 -60.3412
155.000000 83.471 -62.1192
157.500000 83.585 -63.9282
160.000000 83.661 -65.8146
162.500000 83.715 -67.6851
165.000000 83.761 -69.5056
167.500000 83.786 -71.3449
170.000000 83.806 -73.2313
172.500000 83.807 -75.2466
175.000000 83.770 -77.1746
177.500000 83.711 -78.9262
180.000000 83.636 -80.7337
182.500000 83.537 -82.6013
185.000000 83.449 -84.3791
187.500000 83.361 -86.0699
190.000000 83.233 -87.4027
192.500000 83.098 -88.5297
195.000000 82.974 -89.6592
197.500000 82.864 -90.7438
200.000000 82.764 -91.6590
203.000000 82.653 -92.8274
206.000000 82.536 -94.2082
209.000000 82.396 -95.6452
212.000000 82.236 -97.0569
214.000000 82.127 -97.9237
218.000000 81.897 -99.3799
220.000000 81.780 -100.0422
224.000000 81.565 -101.3183
227.000000 81.406 -102.1311
230.000000 81.243 -102.8385
233.000000 81.084 -103.5067
236.000000 80.929 -104.1310
240.000000 80.737 -104.8675
243.000000 80.607 -105.3717
247.000000 80.437 -106.1799
250.000000 80.296 -106.7685
254.000000 80.100 -107.3312
258.000000 79.919 -107.7033
262.000000 79.753 -107.9483
265.000000 79.633 -108.0843
269.000000 79.495 -108.1928
272.000000 79.411 -108.2154
276.000000 79.326 -108.2388
280.000000 79.271 -108.3845
285.000000 79.221 -108.8959
290.000000 79.138 -109.7902
295.000000 78.999 -110.6777
300.000000 78.821 -111.2767
304.000000 78.671 -111.5532
307.000000 78.560 -111.6299
311.000000 78.419 -111.5042
315.000000 78.289 -111.1651
320.000000 78.164 -110.5066
325.000000 78.129 -109.5380
330.000000 78.221 -108.6238
335.000000 78.396 -108.4936
340.000000 78.539 -109.2059
345.000000 78.609 -110.1340
350.000000 78.646 -110.9157
355.000000 78.695 -111.6674
360.000000 78.761 -112.7331
365.000000 78.789 -114.2913
370.000000 78.723 -116.0126
375.000000 78.576 -117.4251
382.000000 78.328 -118.6123
387.000000 78.168 -118.9870
395.000000 77.965 -119.1209
400.000000 77.868 -119.0718
406.000000 77.784 -119.0100
412.000000 77.737 -118.9438
418.000000 77.713 -118.9341
425.000000 77.710 -119.0787
431.000000 77.712 -119.3361
437.000000 77.702 -119.6347
444.000000 77.672 -119.9801
450.000000 77.629 -120.1144
455.000000 77.605 -119.9580
462.000000 77.663 -119.5416
468.000000 77.791 -119.6306
475.000000 77.935 -120.3511
482.000000 78.023 -121.4750
487.000000 78.049 -122.3436
494.000000 78.046 -123.4936
500.000000 78.022 -124.3526
508.000000 77.977 -125.3032
515.000000 77.934 -126.0118
522.000000 77.889 -126.6949
530.000000 77.841 -127.4053
538.000000 77.792 -128.0176
545.000000 77.748 -128.4649
552.000000 77.710 -128.8807
560.000000 77.671 -129.3504
570.000000 77.625 -129.8723
580.000000 77.587 -130.3042
590.000000 77.547 -130.7107
600.000000 77.505 -131.1140
608.000000 77.478 -131.3282
615.000000 77.461 -131.4231
622.000000 77.452 -131.4917
630.000000 77.453 -131.5653
640.000000 77.465 -131.6334
650.000000 77.486 -131.6628
660.000000 77.514 -131.6969
670.000000 77.552 -131.7538
680.000000 77.608 -131.8283
690.000000 77.681 -131.8968
700.000000 77.765 -131.9900
710.000000 77.855 -132.1349
720.000000 77.950 -132.3189
730.000000 78.051 -132.5606
740.000000 78.161 -132.8365
750.000000 78.273 -133.1503
762.000000 78.415 -133.5750
775.000000 78.573 -134.1423
788.000000 78.724 -134.8386
800.000000 78.861 -135.5567
812.000000 78.999 -136.3561
825.000000 79.139 -137.2910
838.000000 79.261 -138.1967
850.000000 79.375 -139.0307
862.000000 79.494 -139.9450
875.000000 79.617 -140.9806
885.000000 79.706 -141.7919
900.000000 79.845 -143.2049
912.000000 79.937 -144.5642
925.000000 79.989 -146.0881
938.000000 79.984 -147.5418
950.000000 79.939 -148.6174
962.000000 79.885 -149.3501
975.000000 79.847 -149.8645
988.000000 79.838 -150.2361
1000.000000 79.843 -150.5592
1015.000000 79.862 -150.8853
1030.000000 79.910 -151.1381
1044.000000 79.975 -151.3877
1060.000000 80.062 -151.7370
1075.000000 80.153 -152.1730
1090.000000 80.250 -152.6213
1106.000000 80.355 -153.1536
1120.000000 80.443 -153.7324
1138.000000 80.536 -154.5576
1150.000000 80.585 -155.0955
1172.000000 80.666 -156.0204
1180.000000 80.692 -156.3179
1206.000000 80.770 -157.1391
1220.000000 80.817 -157.5923
1241.000000 80.874 -158.3112
1250.000000 80.885 -158.5331
1265.000000 80.900 -158.7522
1280.000000 80.928 -158.8677
1315.000000 81.051 -158.9595
1320.000000 81.072 -158.9625
1340.000000 81.169 -158.9863
1360.000000 81.283 -159.0860
1380.000000 81.399 -159.2062
1400.000000 81.508 -159.3434
1430.000000 81.656 -159.5441
1450.000000 81.749 -159.5713
1475.000000 81.879 -159.5382
1500.000000 82.025 -159.4038
1525.000000 82.175 -159.1996
1550.000000 82.356 -158.9593
1575.000000 82.566 -158.7605
1600.000000 82.785 -158.6904
1625.000000 83.006 -158.8347
1650.000000 83.198 -159.0146
1675.000000 83.377 -159.0110
1700.000000 83.581 -159.0293
1725.000000 83.801 -159.1654
1750.000000 84.007 -159.4095
1775.000000 84.191 -159.7042
1800.000000 84.366 -159.9474
1825.000000 84.542 -160.0730
1850.000000 84.718 -160.1828
1875.000000 84.896 -160.3439
1900.000000 85.077 -160.5127
1925.000000 85.246 -160.6806
1950.000000 85.398 -160.8286
1975.000000 85.550 -160.9068
2000.000000 85.713 -160.9178
2030.000000 85.912 -160.8966
2060.000000 86.104 -161.0100
2090.000000 86.244 -161.2162
2120.000000 86.350 -160.9537
2140.000000 86.448 -160.5720
2180.000000 86.715 -159.7957
2200.000000 86.858 -159.4702
2240.000000 87.141 -159.0135
2270.000000 87.361 -158.6984
2300.000000 87.587 -158.3509
2330.000000 87.813 -158.0507
2360.000000 88.041 -157.8663
2400.000000 88.352 -157.7348
2430.000000 88.592 -157.6163
2470.000000 88.903 -157.5056
2500.000000 89.121 -157.4700
2540.000000 89.404 -157.4903
2580.000000 89.660 -157.6705
2620.000000 89.879 -158.0186
2650.000000 90.018 -158.2667
2690.000000 90.178 -158.4032
2720.000000 90.271 -158.3013
2760.000000 90.363 -157.7390
2800.000000 90.490 -156.5567
2850.000000 90.791 -154.6563
2900.000000 91.281 -153.4358
2950.000000 91.826 -153.5190
3000.000000 92.254 -154.8125
3040.000000 92.476 -156.2754
3070.000000 92.581 -157.3186
3110.000000 92.648 -158.4585
3150.000000 92.659 -159.3135
3200.000000 92.651 -160.2135
3250.000000 92.607 -160.9478
3300.000000 92.485 -161.5434
3350.000000 92.288 -161.9287
3400.000000 92.047 -161.8022
3450.000000 91.749 -161.3140
3500.000000 91.323 -160.5680
3550.000000 90.753 -158.5936
3600.000000 90.186 -153.7914
3650.000000 89.988 -146.0828
3700.000000 90.526 -138.1815
3750.000000 91.624 -134.8286
3820.000000 92.619 -139.6677
3870.000000 92.430 -144.8006
3950.000000 91.209 -147.6375
4000.000000 90.353 -145.7063
4060.000000 89.462 -141.2519
4120.000000 88.782 -135.4112
4180.000000 88.323 -128.7433
4250.000000 88.003 -120.9341
4310.000000 87.880 -114.6353
4370.000000 87.868 -108.8108
4440.000000 87.887 -103.0352
4500.000000 87.841 -98.9566
4550.000000 87.743 -95.7789
4620.000000 87.498 -91.2846
4680.000000 87.160 -87.4326
4750.000000 86.621 -82.5722
4820.000000 85.977 -76.4632
4870.000000 85.489 -71.1490
4940.000000 84.812 -62.4240
5000.000000 84.331 -53.7939
5080.000000 83.959 -40.8105
5150.000000 83.949 -29.3254
