* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Classic AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.931 106.3618
20.600000 79.048 105.7002
20.900000 79.189 105.0029
21.200001 79.346 104.3282
21.400000 79.459 103.8871
21.799999 79.697 103.0066
22.000000 79.816 102.5645
22.400000 80.040 101.6923
22.700001 80.190 101.0692
23.000000 80.328 100.4825
23.299999 80.457 99.9226
23.600000 80.584 99.3667
24.000000 80.758 98.5874
24.299999 80.894 97.9567
24.700001 81.081 97.0619
25.000000 81.222 96.3732
25.400000 81.406 95.4721
25.799999 81.582 94.6269
26.200001 81.746 93.8573
26.500000 81.865 93.3251
26.900000 82.024 92.6431
27.200001 82.147 92.1164
27.600000 82.320 91.3383
28.000000 82.499 90.4437
28.500000 82.718 89.2109
29.000000 82.920 88.0021
29.500000 83.110 86.9446
30.000000 83.301 86.0096
30.400000 83.456 85.2544
30.700001 83.571 84.6410
31.100000 83.715 83.7534
31.500000 83.849 82.8267
32.000000 84.006 81.7192
32.500000 84.165 80.7497
33.000000 84.338 79.8970
33.500000 84.518 79.0529
34.000000 84.688 78.1179
34.500000 84.832 77.0797
35.000000 84.952 76.0090
35.500000 85.069 74.9747
36.000000 85.207 73.9635
36.500000 85.369 72.9008
37.000000 85.532 71.7659
37.500000 85.670 70.6608
38.200001 85.827 69.4104
38.700001 85.953 68.6902
39.500000 86.222 67.2510
40.000000 86.397 65.9585
40.599998 86.559 64.2381
41.200001 86.656 62.8649
41.799999 86.743 62.2026
42.500000 86.955 61.8917
43.099998 87.241 61.0167
43.700001 87.512 59.1073
44.400002 87.674 56.3143
45.000000 87.707 54.4848
45.500000 87.739 53.6080
46.200001 87.869 52.7614
46.799999 88.027 51.6959
47.500000 88.193 49.8552
48.200001 88.329 47.7815
48.700001 88.424 46.4099
49.400002 88.567 44.6905
50.000000 88.671 43.1978
50.799999 88.713 40.9874
51.500000 88.679 39.0372
52.200001 88.689 37.0180
53.000000 88.755 34.2895
53.799999 88.757 31.6735
54.500000 88.718 30.1045
55.200001 88.704 28.9058
56.000000 88.689 27.3754
57.000000 88.613 25.3289
58.000000 88.504 23.5251
59.000000 88.384 22.0832
60.000000 88.263 20.9536
60.799999 88.196 20.2141
61.500000 88.190 19.4042
62.200001 88.197 18.2568
63.000000 88.171 16.8976
64.000000 88.148 15.7241
65.000000 88.182 14.7472
66.000000 88.250 13.6955
67.000000 88.338 12.3590
68.000000 88.382 10.7725
69.000000 88.405 9.1781
70.000000 88.456 7.3227
71.000000 88.506 5.2328
72.000000 88.540 3.1364
73.000000 88.534 0.9264
74.000000 88.467 -1.4215
75.000000 88.365 -3.8493
76.199997 88.191 -6.7644
77.500000 87.919 -9.5255
78.800003 87.595 -11.7317
80.000000 87.286 -13.3415
81.199997 86.973 -14.6207
82.500000 86.646 -15.6424
83.800003 86.369 -16.4500
85.000000 86.147 -17.1539
86.199997 85.949 -17.6843
87.500000 85.767 -18.2937
88.500000 85.626 -18.8293
90.000000 85.418 -19.4033
91.199997 85.240 -19.8848
92.500000 85.032 -20.5249
93.800003 84.858 -21.3503
95.000000 84.714 -22.1550
96.199997 84.564 -22.8212
97.500000 84.387 -23.4596
98.800003 84.193 -24.1688
100.000000 84.000 -24.8695
101.500000 83.742 -25.6915
103.000000 83.487 -26.5456
104.400002 83.217 -27.3160
106.000000 82.860 -28.0288
107.500000 82.509 -28.5041
109.000000 82.145 -28.6539
110.599998 81.709 -28.6365
112.000000 81.311 -28.3188
113.800003 80.773 -27.2364
115.000000 80.420 -26.0799
117.199997 79.866 -23.1928
118.000000 79.724 -22.1156
120.599998 79.392 -17.3341
122.000000 79.227 -12.9956
124.099998 79.192 -7.6541
125.000000 79.267 -5.9178
126.500000 79.459 -3.3275
128.000000 79.690 -1.0264
131.500000 80.259 2.1047
132.000000 80.347 2.3427
134.000000 80.721 2.9500
136.000000 81.053 3.1236
138.000000 81.369 2.9577
140.000000 81.652 2.6638
143.000000 81.971 1.5568
145.000000 82.114 0.8013
147.500000 82.272 -0.4862
150.000000 82.479 -2.0473
152.500000 82.631 -2.9069
155.000000 82.684 -3.9873
157.500000 82.738 -5.5357
160.000000 82.844 -7.0987
162.500000 82.911 -8.4254
165.000000 82.873 -9.7721
167.500000 82.797 -10.9771
170.000000 82.730 -11.6144
172.500000 82.672 -12.4247
175.000000 82.575 -13.8657
177.500000 82.427 -14.8298
180.000000 82.284 -15.7270
182.500000 82.151 -17.0612
185.000000 82.021 -18.0461
187.500000 81.849 -18.5707
190.000000 81.666 -19.1393
192.500000 81.514 -19.4015
195.000000 81.429 -18.9138
197.500000 81.320 -18.7987
200.000000 81.146 -19.3057
203.000000 81.007 -19.4453
206.000000 80.908 -19.3286
209.000000 80.801 -19.5523
212.000000 80.702 -20.2262
214.000000 80.626 -20.7029
218.000000 80.437 -21.3309
220.000000 80.330 -21.4275
224.000000 80.060 -21.2231
227.000000 79.855 -20.9644
230.000000 79.663 -20.7686
233.000000 79.491 -20.6343
236.000000 79.359 -20.4849
240.000000 79.173 -19.8095
243.000000 78.965 -19.0111
247.000000 78.752 -17.8018
250.000000 78.670 -16.8946
254.000000 78.608 -15.9254
258.000000 78.581 -15.3143
262.000000 78.552 -15.1830
265.000000 78.509 -15.1513
269.000000 78.432 -14.9403
272.000000 78.339 -14.7336
276.000000 78.191 -14.4991
280.000000 78.050 -14.0970
285.000000 77.876 -13.3859
290.000000 77.684 -12.7949
295.000000 77.516 -12.0535
300.000000 77.389 -10.9557
304.000000 77.275 -9.7463
307.000000 77.191 -8.7272
311.000000 77.100 -7.3915
315.000000 77.045 -5.9659
320.000000 77.046 -3.8602
325.000000 77.149 -2.0636
330.000000 77.272 -1.0246
335.000000 77.358 -0.4969
340.000000 77.414 -0.1904
345.000000 77.493 0.1268
350.000000 77.564 0.2528
355.000000 77.548 -0.1584
360.000000 77.427 -0.5826
365.000000 77.298 -0.2972
370.000000 77.198 0.4487
375.000000 77.134 1.2612
382.000000 77.090 2.3179
387.000000 77.100 3.2252
395.000000 77.126 4.7250
400.000000 77.146 5.4957
406.000000 77.177 6.0788
412.000000 77.203 6.5921
418.000000 77.194 7.0015
425.000000 77.191 7.3370
431.000000 77.173 7.8347
437.000000 77.118 8.4843
444.000000 77.026 9.3859
450.000000 76.995 10.5001
455.000000 77.049 11.4619
462.000000 77.192 12.1625
468.000000 77.286 12.1604
475.000000 77.304 11.9725
482.000000 77.266 12.0452
487.000000 77.236 12.2011
494.000000 77.181 12.4288
500.000000 77.128 12.6962
508.000000 77.058 13.3864
515.000000 77.005 14.0619
522.000000 76.956 14.7217
530.000000 76.902 15.4100
538.000000 76.850 16.1913
545.000000 76.807 16.9620
552.000000 76.767 17.7445
560.000000 76.730 18.6322
570.000000 76.694 19.7408
580.000000 76.644 20.7899
590.000000 76.574 21.9769
600.000000 76.527 23.4062
608.000000 76.518 24.6441
615.000000 76.517 25.7134
622.000000 76.520 26.7505
630.000000 76.534 27.9754
640.000000 76.567 29.4823
650.000000 76.611 30.9686
660.000000 76.663 32.4087
670.000000 76.728 33.7489
680.000000 76.801 35.1453
690.000000 76.885 36.5674
700.000000 76.985 37.9895
710.000000 77.100 39.3672
720.000000 77.240 40.6326
730.000000 77.397 41.8307
740.000000 77.569 42.8946
750.000000 77.747 43.8013
762.000000 77.955 44.6915
775.000000 78.162 45.4299
788.000000 78.350 46.1190
800.000000 78.524 46.6840
812.000000 78.706 47.2241
825.000000 78.901 47.7355
838.000000 79.099 48.0845
850.000000 79.281 48.1454
862.000000 79.443 48.0870
875.000000 79.594 48.0204
885.000000 79.694 47.9300
900.000000 79.816 47.7235
912.000000 79.893 47.6184
925.000000 79.975 47.6062
938.000000 80.065 47.5272
950.000000 80.130 47.3171
962.000000 80.170 47.0946
975.000000 80.197 46.9875
988.000000 80.219 47.0326
1000.000000 80.249 47.0889
1015.000000 80.294 47.0604
1030.000000 80.335 46.9531
1044.000000 80.372 46.8034
1060.000000 80.410 46.6659
1075.000000 80.434 46.4620
1090.000000 80.440 46.2097
1106.000000 80.433 45.9491
1120.000000 80.410 45.7103
1138.000000 80.347 45.4075
1150.000000 80.282 45.3039
1172.000000 80.137 45.3940
1180.000000 80.086 45.5197
1206.000000 79.931 46.1601
1220.000000 79.856 46.5957
1241.000000 79.749 47.3299
1250.000000 79.701 47.7128
1265.000000 79.630 48.4312
1280.000000 79.571 49.1822
1315.000000 79.437 51.1084
1320.000000 79.420 51.4087
1340.000000 79.360 52.6571
1360.000000 79.312 53.9360
1380.000000 79.283 55.1926
1400.000000 79.258 56.4435
1430.000000 79.207 58.4554
1450.000000 79.185 59.9499
1475.000000 79.180 61.8219
1500.000000 79.178 63.6469
1525.000000 79.175 65.5550
1550.000000 79.182 67.5025
1575.000000 79.193 69.5173
1600.000000 79.191 71.5901
1625.000000 79.144 73.5979
1650.000000 78.973 75.8603
1675.000000 78.677 79.5072
1700.000000 78.382 85.6195
1725.000000 78.419 96.3092
1750.000000 79.764 111.2193
1775.000000 82.353 118.4414
1800.000000 84.480 113.5049
1825.000000 85.488 104.7325
1850.000000 85.777 97.8502
1875.000000 85.818 93.6290
1900.000000 85.829 91.1345
1925.000000 85.873 89.6667
1950.000000 85.959 88.7623
1975.000000 86.079 88.1363
2000.000000 86.220 87.7303
2030.000000 86.435 87.4807
2060.000000 86.740 87.2227
2090.000000 87.068 86.4296
2120.000000 87.339 85.4099
2140.000000 87.508 84.7936
2180.000000 87.835 83.4953
2200.000000 87.982 82.7686
2240.000000 88.273 81.4138
2270.000000 88.493 80.4512
2300.000000 88.707 79.4749
2330.000000 88.920 78.4636
2360.000000 89.126 77.4168
2400.000000 89.387 75.8641
2430.000000 89.568 74.5491
2470.000000 89.768 72.6884
2500.000000 89.907 71.3964
2540.000000 90.109 69.7252
2580.000000 90.292 67.8313
2620.000000 90.438 65.8137
2650.000000 90.516 64.3009
2690.000000 90.586 62.3337
2720.000000 90.633 60.9931
2760.000000 90.697 59.3359
2800.000000 90.740 57.6531
2850.000000 90.741 55.5531
2900.000000 90.659 53.8915
2950.000000 90.563 52.9891
3000.000000 90.525 52.8782
3040.000000 90.618 53.2194
3070.000000 90.801 53.4740
3110.000000 91.176 53.1449
3150.000000 91.576 51.2703
3200.000000 91.834 47.3318
3250.000000 91.847 43.6121
3300.000000 91.714 40.1590
3350.000000 91.459 37.7517
3400.000000 91.170 36.4996
3450.000000 90.874 36.4936
3500.000000 90.743 38.6851
3550.000000 91.204 42.0275
3600.000000 92.239 41.8552
3650.000000 93.163 36.6465
3700.000000 93.534 28.9228
3750.000000 93.387 21.5987
3820.000000 92.800 14.0899
3870.000000 92.312 9.9824
3950.000000 91.487 5.0451
4000.000000 90.973 3.0288
4060.000000 90.400 1.3379
4120.000000 89.911 0.1056
4180.000000 89.472 -1.1537
4250.000000 88.975 -2.9183
4310.000000 88.522 -4.3380
4370.000000 88.025 -5.3851
4440.000000 87.458 -6.1564
4500.000000 86.996 -6.7985
4550.000000 86.578 -7.5267
4620.000000 85.898 -8.4061
4680.000000 85.238 -8.4463
4750.000000 84.397 -7.3470
4820.000000 83.549 -4.6778
4870.000000 83.007 -1.6766
4940.000000 82.420 3.7883
5000.000000 82.150 9.2649
5080.000000 82.164 16.6366
5150.000000 82.489 22.6194
5220.000000 83.279 28.0944
5300.000000 84.573 29.8014
5380.000000 85.612 25.8391
5450.000000 85.973 20.0237
5520.000000 85.775 15.1353
5600.000000 85.257 13.1045
5700.000000 84.933 13.5146
5800.000000 84.909 13.2636
5900.000000 84.900 11.9823
6000.000000 84.893 10.5219
6080.000000 84.874 9.0480
6150.000000 84.816 7.4453
6220.000000 84.710 5.7228
6300.000000 84.507 3.6102
