* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:40:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Classic ANC Off) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 72.794 133.3313
20.600000 72.984 132.9414
20.900000 73.199 132.5328
21.200001 73.413 132.1285
21.400000 73.552 131.8609
21.799999 73.818 131.3411
22.000000 73.946 131.0965
22.400000 74.192 130.6479
22.700001 74.374 130.3367
23.000000 74.558 130.0236
23.299999 74.745 129.6846
23.600000 74.934 129.3051
24.000000 75.190 128.7377
24.299999 75.386 128.2804
24.700001 75.655 127.6490
25.000000 75.863 127.1667
25.400000 76.142 126.5229
25.799999 76.412 125.9105
26.200001 76.660 125.3895
26.500000 76.831 125.0899
26.900000 77.045 124.8103
27.200001 77.198 124.6515
27.600000 77.399 124.4150
28.000000 77.594 124.0638
28.500000 77.825 123.4427
29.000000 78.052 122.7428
29.500000 78.307 122.0917
30.000000 78.614 121.4548
30.400000 78.890 120.8606
30.700001 79.100 120.3346
31.100000 79.368 119.5444
31.500000 79.610 118.7139
32.000000 79.879 117.7155
32.500000 80.133 116.7828
33.000000 80.391 115.8476
33.500000 80.655 114.8507
34.000000 80.917 113.8198
34.500000 81.172 112.8345
35.000000 81.426 111.9355
35.500000 81.686 111.0740
36.000000 81.949 110.1443
36.500000 82.206 109.0674
37.000000 82.443 107.8510
37.500000 82.659 106.5751
38.200001 82.942 104.8268
38.700001 83.140 103.6219
39.500000 83.444 101.7667
40.000000 83.617 100.7122
40.599998 83.817 99.5710
41.200001 84.025 98.4052
41.799999 84.234 96.9922
42.500000 84.464 94.9390
43.099998 84.650 92.9693
43.700001 84.837 91.0242
44.400002 85.068 89.0321
45.000000 85.280 87.5922
45.500000 85.452 86.4716
46.200001 85.646 84.8587
46.799999 85.757 83.4231
47.500000 85.858 81.6870
48.200001 85.970 79.7919
48.700001 86.053 78.3792
49.400002 86.167 76.5317
50.000000 86.269 75.1419
50.799999 86.406 73.3344
51.500000 86.497 71.6785
52.200001 86.570 70.0834
53.000000 86.677 68.3652
53.799999 86.797 66.6026
54.500000 86.879 65.0131
55.200001 86.937 63.4107
56.000000 86.985 61.5326
57.000000 87.022 59.2195
58.000000 87.047 57.1227
59.000000 87.060 55.1378
60.000000 87.067 53.3344
60.799999 87.093 52.0989
61.500000 87.124 51.1129
62.200001 87.148 50.1823
63.000000 87.172 49.1624
64.000000 87.232 47.8638
65.000000 87.333 46.5041
66.000000 87.444 45.1618
67.000000 87.553 43.8268
68.000000 87.678 42.2696
69.000000 87.815 40.3207
70.000000 87.949 38.0741
71.000000 88.072 35.6815
72.000000 88.190 33.1226
73.000000 88.286 30.2398
74.000000 88.320 27.0807
75.000000 88.277 23.8567
76.199997 88.130 19.9877
77.500000 87.852 15.9972
78.800003 87.480 12.5568
80.000000 87.091 9.9642
81.199997 86.699 7.9269
82.500000 86.286 6.2221
83.800003 85.875 4.8455
85.000000 85.513 3.7127
86.199997 85.173 2.8037
87.500000 84.840 2.2152
88.500000 84.599 1.9069
90.000000 84.243 1.6341
91.199997 83.979 1.4957
92.500000 83.715 1.2503
93.800003 83.460 0.9206
95.000000 83.231 0.7395
96.199997 83.002 0.7186
97.500000 82.746 0.6438
98.800003 82.494 0.4983
100.000000 82.287 0.4903
101.500000 82.040 0.5597
103.000000 81.758 0.7335
104.400002 81.477 0.9244
106.000000 81.144 1.1086
107.500000 80.853 1.5696
109.000000 80.573 2.2264
110.599998 80.260 3.0905
112.000000 79.981 3.9988
113.800003 79.638 5.3352
115.000000 79.409 6.4383
117.199997 78.998 8.8041
118.000000 78.862 9.7685
120.599998 78.490 13.8986
122.000000 78.342 16.4602
124.099998 78.249 20.5524
125.000000 78.261 22.3630
126.500000 78.333 25.1885
128.000000 78.460 27.6878
131.500000 78.896 32.3617
132.000000 78.965 32.9022
134.000000 79.238 34.6542
136.000000 79.533 35.9387
138.000000 79.849 37.0728
140.000000 80.132 37.9410
143.000000 80.512 38.8144
145.000000 80.768 39.1257
147.500000 81.057 39.3290
150.000000 81.320 39.4844
152.500000 81.575 39.6440
155.000000 81.832 39.6839
157.500000 82.105 39.4380
160.000000 82.379 38.9592
162.500000 82.630 38.2882
165.000000 82.847 37.3793
167.500000 83.039 36.2744
170.000000 83.205 35.0682
172.500000 83.337 33.7683
175.000000 83.435 32.4678
177.500000 83.497 31.1277
180.000000 83.521 29.7850
182.500000 83.503 28.5186
185.000000 83.449 27.3919
187.500000 83.363 26.6122
190.000000 83.279 26.2108
192.500000 83.240 26.1127
195.000000 83.265 26.0865
197.500000 83.327 25.8100
200.000000 83.390 25.2105
203.000000 83.439 24.0645
206.000000 83.452 22.8102
209.000000 83.424 21.5921
212.000000 83.358 20.3832
214.000000 83.299 19.6428
218.000000 83.148 18.3378
220.000000 83.062 17.7724
224.000000 82.874 16.7349
227.000000 82.719 16.1156
230.000000 82.546 15.6803
233.000000 82.368 15.3818
236.000000 82.185 15.1643
240.000000 81.955 15.1230
243.000000 81.788 15.1821
247.000000 81.564 15.4399
250.000000 81.400 15.8127
254.000000 81.203 16.6631
258.000000 81.064 17.7370
262.000000 81.006 18.6647
265.000000 80.991 19.1020
269.000000 80.965 19.3276
272.000000 80.920 19.3333
276.000000 80.824 19.3261
280.000000 80.700 19.4145
285.000000 80.520 19.7533
290.000000 80.333 20.3167
295.000000 80.152 21.0770
300.000000 79.983 22.0181
304.000000 79.857 22.8235
307.000000 79.764 23.4723
311.000000 79.645 24.4482
315.000000 79.535 25.6367
320.000000 79.438 27.5000
325.000000 79.440 29.4680
330.000000 79.532 30.9518
335.000000 79.638 31.7963
340.000000 79.720 32.3906
345.000000 79.801 32.8976
350.000000 79.894 32.9977
355.000000 79.929 32.4031
360.000000 79.830 31.6660
365.000000 79.641 31.5974
370.000000 79.455 32.1873
375.000000 79.309 33.0788
382.000000 79.157 34.4840
387.000000 79.073 35.5414
395.000000 78.976 37.3802
400.000000 78.948 38.5621
406.000000 78.952 39.8780
412.000000 78.974 40.9336
418.000000 78.992 41.8001
425.000000 79.000 42.5871
431.000000 78.968 43.0825
437.000000 78.888 43.6584
444.000000 78.765 44.8724
450.000000 78.712 46.6005
455.000000 78.772 48.1292
462.000000 78.940 49.1838
468.000000 79.022 49.2652
475.000000 79.016 49.3231
482.000000 78.956 49.6910
487.000000 78.904 50.1200
494.000000 78.827 50.8389
500.000000 78.763 51.5080
508.000000 78.684 52.5138
515.000000 78.618 53.4727
522.000000 78.557 54.4802
530.000000 78.492 55.6595
538.000000 78.427 56.8581
545.000000 78.374 57.9495
552.000000 78.327 59.0660
560.000000 78.279 60.3707
570.000000 78.225 62.0166
580.000000 78.172 63.6352
590.000000 78.109 65.3348
600.000000 78.060 67.2276
608.000000 78.035 68.7954
615.000000 78.020 70.1732
622.000000 78.012 71.5741
630.000000 78.018 73.2221
640.000000 78.046 75.2565
650.000000 78.091 77.2121
660.000000 78.145 79.0874
670.000000 78.201 80.9743
680.000000 78.266 82.9004
690.000000 78.353 84.7822
700.000000 78.456 86.5918
710.000000 78.573 88.3579
720.000000 78.700 90.0457
730.000000 78.836 91.6416
740.000000 78.979 93.1498
750.000000 79.125 94.5750
762.000000 79.306 96.2022
775.000000 79.513 97.8422
788.000000 79.732 99.3329
800.000000 79.943 100.5524
812.000000 80.154 101.5387
825.000000 80.366 102.3855
838.000000 80.551 103.0708
850.000000 80.697 103.6349
862.000000 80.826 104.1879
875.000000 80.960 104.8409
885.000000 81.066 105.3362
900.000000 81.223 105.9268
912.000000 81.335 106.2852
925.000000 81.440 106.6008
938.000000 81.525 106.8423
950.000000 81.578 107.0110
962.000000 81.596 107.2428
975.000000 81.601 107.7918
988.000000 81.631 108.4622
1000.000000 81.666 108.9590
1015.000000 81.694 109.5366
1030.000000 81.713 110.1546
1044.000000 81.727 110.7571
1060.000000 81.738 111.4747
1075.000000 81.744 112.1552
1090.000000 81.747 112.8122
1106.000000 81.745 113.4578
1120.000000 81.732 114.0059
1138.000000 81.696 114.6937
1150.000000 81.657 115.1230
1172.000000 81.541 116.0021
1180.000000 81.486 116.4117
1206.000000 81.299 118.2186
1220.000000 81.214 119.3922
1241.000000 81.112 121.1557
1250.000000 81.067 121.8983
1265.000000 80.987 123.1930
1280.000000 80.907 124.5972
1315.000000 80.744 128.1726
1320.000000 80.724 128.7077
1340.000000 80.655 130.8981
1360.000000 80.600 133.1540
1380.000000 80.561 135.4347
1400.000000 80.530 137.7145
1430.000000 80.489 141.1152
1450.000000 80.468 143.4084
1475.000000 80.447 146.2789
1500.000000 80.418 149.2081
1525.000000 80.393 152.2850
1550.000000 80.376 155.4574
1575.000000 80.364 158.7155
1600.000000 80.352 162.0369
1625.000000 80.320 165.3487
1650.000000 80.210 168.7535
1675.000000 79.962 173.1100
1700.000000 79.670 179.7359
1725.000000 79.599 -169.9912
1750.000000 80.505 -155.0452
1775.000000 82.811 -143.7865
1800.000000 85.151 -144.6932
1825.000000 86.451 -152.0151
1850.000000 86.868 -158.6466
1875.000000 86.920 -162.4826
1900.000000 86.917 -164.2672
1925.000000 86.939 -164.9618
1950.000000 86.992 -165.0685
1975.000000 87.071 -164.8646
2000.000000 87.176 -164.5267
2030.000000 87.340 -164.0108
2060.000000 87.554 -163.3991
2090.000000 87.803 -163.0212
2120.000000 88.023 -162.8172
2140.000000 88.160 -162.6376
2180.000000 88.462 -162.3300
2200.000000 88.606 -162.3449
2240.000000 88.870 -162.4560
2270.000000 89.069 -162.4719
2300.000000 89.262 -162.5060
2330.000000 89.452 -162.5740
2360.000000 89.645 -162.6647
2400.000000 89.888 -162.9095
2430.000000 90.053 -163.2003
2470.000000 90.274 -163.6235
2500.000000 90.441 -163.9687
2540.000000 90.639 -164.6606
2580.000000 90.813 -165.5082
2620.000000 90.979 -166.2792
2650.000000 91.096 -166.8898
2690.000000 91.223 -167.9404
2720.000000 91.281 -168.8814
2760.000000 91.323 -170.1545
2800.000000 91.335 -171.2376
2850.000000 91.306 -172.2775
2900.000000 91.262 -173.0482
2950.000000 91.205 -173.7437
3000.000000 91.107 -174.2797
3040.000000 91.011 -174.3125
3070.000000 90.968 -174.0704
3110.000000 90.999 -173.6869
3150.000000 91.148 -173.7820
3200.000000 91.356 -175.2490
3250.000000 91.395 -177.4888
3300.000000 91.274 179.9609
3350.000000 90.930 177.4234
3400.000000 90.361 175.9383
3450.000000 89.649 176.5130
3500.000000 88.995 -179.6161
3550.000000 88.945 -172.2401
3600.000000 89.845 -166.8536
3650.000000 90.985 -168.0693
3700.000000 91.665 -173.9366
3750.000000 91.698 179.0023
3820.000000 91.023 171.5007
3870.000000 90.359 168.0354
3950.000000 89.123 164.4766
4000.000000 88.229 163.7365
4060.000000 87.098 164.8663
4120.000000 86.035 168.4958
4180.000000 85.233 174.4747
4250.000000 84.870 -177.2866
4310.000000 85.017 -171.5866
4370.000000 85.340 -168.2472
4440.000000 85.699 -166.6742
4500.000000 85.905 -166.8042
4550.000000 85.950 -167.6667
4620.000000 85.765 -169.2731
4680.000000 85.381 -170.2846
4750.000000 84.727 -170.2403
4820.000000 83.954 -168.2125
4870.000000 83.418 -165.2870
4940.000000 82.848 -159.2139
5000.000000 82.644 -152.9438
5080.000000 82.816 -144.4269
5150.000000 83.339 -137.7693
5220.000000 84.234 -132.0917
5300.000000 85.659 -129.7739
5380.000000 86.926 -133.3094
5450.000000 87.540 -139.5461
5520.000000 87.546 -146.4760
5600.000000 86.936 -152.1638
5700.000000 85.960 -154.3817
5800.000000 85.219 -154.0295
5900.000000 84.726 -152.2117
6000.000000 84.485 -149.5806
6080.000000 84.467 -147.7703
6150.000000 84.530 -146.8016
6220.000000 84.616 -146.4753
6300.000000 84.698 -146.7970
6400.000000 84.730 -148.0771
6500.000000 84.621 -150.0865
