* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:50:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Classic ANC Ultra) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.231 67.0168
20.600000 88.212 64.4789
20.900000 88.168 61.8238
21.200001 88.099 59.2818
21.400000 88.043 57.6614
21.799999 87.910 54.5941
22.000000 87.835 53.1434
22.400000 87.673 50.4001
22.700001 87.545 48.4795
23.000000 87.415 46.6786
23.299999 87.286 45.0011
23.600000 87.159 43.4503
24.000000 86.996 41.5811
24.299999 86.878 40.3256
24.700001 86.722 38.8357
25.000000 86.606 37.8430
25.400000 86.449 36.6560
25.799999 86.287 35.5840
26.200001 86.123 34.5871
26.500000 85.997 33.8763
26.900000 85.831 32.9819
27.200001 85.709 32.3636
27.600000 85.557 31.6290
28.000000 85.419 31.0058
28.500000 85.268 30.3675
29.000000 85.133 29.8466
29.500000 85.003 29.4103
30.000000 84.876 29.0417
30.400000 84.777 28.7879
30.700001 84.708 28.6187
31.100000 84.623 28.4202
31.500000 84.549 28.2551
32.000000 84.469 28.0977
32.500000 84.399 27.9896
33.000000 84.329 27.9208
33.500000 84.255 27.8902
34.000000 84.179 27.9031
34.500000 84.109 27.9560
35.000000 84.055 28.0263
35.500000 84.021 28.0795
36.000000 84.004 28.0861
36.500000 83.994 28.0419
37.000000 83.983 27.9800
37.500000 83.967 27.9560
38.200001 83.947 28.0383
38.700001 83.946 28.1347
39.500000 83.960 28.2151
40.000000 83.971 28.2116
40.599998 83.989 28.1827
41.200001 84.016 28.1091
41.799999 84.049 27.9711
42.500000 84.078 27.8146
43.099998 84.099 27.7841
43.700001 84.127 27.8387
44.400002 84.170 27.8829
45.000000 84.207 27.8346
45.500000 84.234 27.7474
46.200001 84.269 27.6127
46.799999 84.303 27.5098
47.500000 84.349 27.3866
48.200001 84.398 27.2386
48.700001 84.433 27.1210
49.400002 84.484 26.9497
50.000000 84.532 26.7976
50.799999 84.604 26.5770
51.500000 84.673 26.3487
52.200001 84.744 26.0716
53.000000 84.824 25.7021
53.799999 84.903 25.2954
54.500000 84.967 24.9119
55.200001 85.020 24.5013
56.000000 85.063 24.0125
57.000000 85.094 23.4156
58.000000 85.117 22.8726
59.000000 85.146 22.4419
60.000000 85.187 22.1600
60.799999 85.226 22.0002
61.500000 85.263 21.8918
62.200001 85.306 21.8010
63.000000 85.367 21.6930
64.000000 85.457 21.5741
65.000000 85.569 21.5065
66.000000 85.705 21.3966
67.000000 85.860 21.1789
68.000000 86.029 20.8367
69.000000 86.220 20.2907
70.000000 86.432 19.4394
71.000000 86.654 18.3042
72.000000 86.867 16.9233
73.000000 87.045 15.2452
74.000000 87.172 13.3050
75.000000 87.251 11.2105
76.199997 87.283 8.6501
77.500000 87.238 6.0422
78.800003 87.133 3.7579
80.000000 87.008 1.9755
81.199997 86.873 0.4885
82.500000 86.740 -0.8762
83.800003 86.632 -2.0475
85.000000 86.550 -3.0017
86.199997 86.475 -3.9031
87.500000 86.406 -4.9166
88.500000 86.363 -5.7556
90.000000 86.311 -7.1108
91.199997 86.273 -8.2916
92.500000 86.228 -9.6823
93.800003 86.168 -11.1751
95.000000 86.095 -12.6404
96.199997 86.003 -14.2183
97.500000 85.875 -16.0205
98.800003 85.716 -17.8523
100.000000 85.538 -19.4929
101.500000 85.273 -21.4248
103.000000 84.965 -23.1984
104.400002 84.640 -24.7010
106.000000 84.233 -26.1366
107.500000 83.831 -27.1359
109.000000 83.412 -27.8290
110.599998 82.961 -28.2472
112.000000 82.565 -28.3178
113.800003 82.058 -27.9342
115.000000 81.723 -27.4416
117.199997 81.140 -26.1516
118.000000 80.949 -25.5092
120.599998 80.402 -22.9290
122.000000 80.150 -21.2988
124.099998 79.852 -18.7527
125.000000 79.754 -17.6747
126.500000 79.629 -15.8695
128.000000 79.546 -14.1113
131.500000 79.448 -10.5196
132.000000 79.443 -10.0623
134.000000 79.433 -8.3324
136.000000 79.440 -6.8355
138.000000 79.452 -5.6414
140.000000 79.466 -4.5577
143.000000 79.505 -3.0579
145.000000 79.531 -2.2141
147.500000 79.558 -1.3471
150.000000 79.580 -0.5990
152.500000 79.596 0.0921
155.000000 79.615 0.7729
157.500000 79.635 1.4282
160.000000 79.654 2.0599
162.500000 79.667 2.5551
165.000000 79.677 2.9952
167.500000 79.696 3.3580
170.000000 79.708 3.6755
172.500000 79.714 3.9889
175.000000 79.718 4.2627
177.500000 79.714 4.4970
180.000000 79.700 4.6790
182.500000 79.680 4.8004
185.000000 79.648 4.9606
187.500000 79.605 5.1745
190.000000 79.557 5.4782
192.500000 79.513 5.8964
195.000000 79.479 6.3229
197.500000 79.457 6.6877
200.000000 79.442 7.0339
203.000000 79.416 7.4228
206.000000 79.383 7.6845
209.000000 79.351 7.9223
212.000000 79.311 8.2030
214.000000 79.282 8.4147
218.000000 79.216 8.8862
220.000000 79.180 9.1713
224.000000 79.105 9.7909
227.000000 79.048 10.2754
230.000000 78.994 10.7821
233.000000 78.951 11.3294
236.000000 78.927 11.9767
240.000000 78.922 12.7330
243.000000 78.926 13.0401
247.000000 78.902 13.1759
250.000000 78.847 13.3614
254.000000 78.748 13.9634
258.000000 78.660 14.7780
262.000000 78.599 15.6320
265.000000 78.572 16.2370
269.000000 78.541 17.0225
272.000000 78.516 17.6166
276.000000 78.491 18.3738
280.000000 78.475 19.1314
285.000000 78.462 20.0549
290.000000 78.459 20.9577
295.000000 78.465 21.7826
300.000000 78.467 22.4837
304.000000 78.467 22.9857
307.000000 78.460 23.3337
311.000000 78.440 23.7531
315.000000 78.407 24.1384
320.000000 78.336 24.7196
325.000000 78.241 25.6510
330.000000 78.173 27.1030
335.000000 78.193 28.8498
340.000000 78.291 30.3194
345.000000 78.417 31.3120
350.000000 78.542 32.0884
355.000000 78.688 32.6692
360.000000 78.843 32.8271
365.000000 78.958 32.5171
370.000000 79.015 32.0275
375.000000 79.021 31.6186
382.000000 78.967 31.1455
387.000000 78.898 30.9525
395.000000 78.743 30.9514
400.000000 78.636 31.2141
406.000000 78.518 31.7292
412.000000 78.417 32.3794
418.000000 78.329 33.0854
425.000000 78.238 33.8904
431.000000 78.160 34.5349
437.000000 78.071 35.1399
444.000000 77.932 35.9697
450.000000 77.786 37.1092
455.000000 77.699 38.5460
462.000000 77.715 40.6688
468.000000 77.798 41.8371
475.000000 77.859 42.6318
482.000000 77.874 43.3530
487.000000 77.877 43.8995
494.000000 77.877 44.6227
500.000000 77.870 45.2297
508.000000 77.848 46.0526
515.000000 77.821 46.7636
522.000000 77.790 47.5146
530.000000 77.751 48.4696
538.000000 77.711 49.4704
545.000000 77.676 50.3753
552.000000 77.640 51.2874
560.000000 77.599 52.3589
570.000000 77.557 53.7521
580.000000 77.531 55.2026
590.000000 77.510 56.6406
600.000000 77.482 58.1386
608.000000 77.467 59.4252
615.000000 77.460 60.5466
622.000000 77.457 61.6628
630.000000 77.465 62.9701
640.000000 77.483 64.5997
650.000000 77.508 66.2132
660.000000 77.550 67.7857
670.000000 77.599 69.3535
680.000000 77.661 70.9132
690.000000 77.737 72.4134
700.000000 77.823 73.8594
710.000000 77.918 75.2489
720.000000 78.017 76.5684
730.000000 78.121 77.8429
740.000000 78.231 79.0417
750.000000 78.342 80.1784
762.000000 78.473 81.4404
775.000000 78.616 82.6740
788.000000 78.759 83.8288
800.000000 78.889 84.7678
812.000000 79.010 85.5952
825.000000 79.124 86.4123
838.000000 79.224 87.2387
850.000000 79.307 88.0457
862.000000 79.388 88.9124
875.000000 79.494 89.9803
885.000000 79.602 90.7461
900.000000 79.777 91.3462
912.000000 79.876 91.3832
925.000000 79.914 91.2996
938.000000 79.877 91.3902
950.000000 79.804 91.8258
962.000000 79.724 92.5988
975.000000 79.647 93.7567
988.000000 79.598 95.1650
1000.000000 79.580 96.5885
1015.000000 79.587 98.4837
1030.000000 79.629 100.4415
1044.000000 79.702 102.2141
1060.000000 79.816 104.1107
1075.000000 79.942 105.7812
1090.000000 80.083 107.3310
1106.000000 80.252 108.7903
1120.000000 80.405 109.9175
1138.000000 80.594 111.2062
1150.000000 80.710 112.0087
1172.000000 80.921 113.4959
1180.000000 81.001 114.0356
1206.000000 81.272 115.6356
1220.000000 81.412 116.2616
1241.000000 81.574 116.9479
1250.000000 81.628 117.3117
1265.000000 81.716 118.0406
1280.000000 81.812 118.8438
1315.000000 82.083 120.6946
1320.000000 82.127 120.9293
1340.000000 82.301 121.7817
1360.000000 82.473 122.5243
1380.000000 82.637 123.1392
1400.000000 82.776 123.6480
1430.000000 82.939 124.3311
1450.000000 83.036 124.7600
1475.000000 83.143 125.3076
1500.000000 83.232 125.9198
1525.000000 83.310 126.5770
1550.000000 83.372 127.2450
1575.000000 83.419 127.9473
1600.000000 83.440 128.7911
1625.000000 83.447 130.0697
1650.000000 83.516 131.8631
1675.000000 83.668 133.2784
1700.000000 83.812 134.1236
1725.000000 83.918 134.8593
1750.000000 84.001 135.6503
1775.000000 84.074 136.5192
1800.000000 84.144 137.5058
1825.000000 84.225 138.6110
1850.000000 84.320 139.7188
1875.000000 84.419 140.7632
1900.000000 84.517 141.8099
1925.000000 84.621 142.9138
1950.000000 84.727 144.0572
1975.000000 84.835 145.1626
2000.000000 84.953 146.2065
2030.000000 85.111 147.3727
2060.000000 85.273 148.2749
2090.000000 85.390 148.9813
2120.000000 85.471 150.0524
2140.000000 85.546 150.9549
2180.000000 85.752 152.6916
2200.000000 85.866 153.4987
2240.000000 86.116 155.0717
2270.000000 86.319 156.1819
2300.000000 86.521 157.2043
2330.000000 86.720 158.1074
2360.000000 86.926 158.8525
2400.000000 87.210 159.6915
2430.000000 87.422 160.2107
2470.000000 87.695 160.6964
2500.000000 87.889 160.9280
2540.000000 88.129 161.0999
2580.000000 88.343 161.1883
2620.000000 88.531 161.2690
2650.000000 88.655 161.3584
2690.000000 88.803 161.6419
2720.000000 88.904 162.0515
2760.000000 89.029 162.9309
2800.000000 89.183 164.2659
2850.000000 89.569 166.3204
2900.000000 90.209 167.3616
2950.000000 90.885 166.4077
3000.000000 91.413 164.0789
3040.000000 91.714 161.8056
3070.000000 91.882 160.0575
3110.000000 92.047 157.7876
3150.000000 92.172 155.6722
3200.000000 92.317 153.1767
3250.000000 92.432 150.4336
3300.000000 92.456 147.1500
3350.000000 92.379 143.4093
3400.000000 92.187 139.3597
3450.000000 91.833 135.0000
3500.000000 91.222 130.4070
3550.000000 90.190 126.5006
3600.000000 88.654 126.1140
3650.000000 87.059 134.1594
3700.000000 86.918 151.5554
3750.000000 88.714 161.6381
3820.000000 90.734 154.6514
3870.000000 90.865 145.9305
3950.000000 89.667 137.9007
4000.000000 88.695 137.3278
4060.000000 87.730 139.7353
4120.000000 87.096 143.9521
4180.000000 86.787 148.7845
4250.000000 86.785 154.2382
4310.000000 87.044 158.0385
4370.000000 87.458 160.4790
4440.000000 87.986 161.4771
4500.000000 88.375 161.0383
4550.000000 88.599 159.9149
4620.000000 88.716 157.4824
4680.000000 88.631 155.1627
4750.000000 88.318 152.8506
4820.000000 87.830 151.5265
4870.000000 87.422 151.4744
4940.000000 86.865 152.9363
5000.000000 86.515 155.3702
5080.000000 86.327 159.4787
5150.000000 86.494 162.7403
5220.000000 86.822 164.2760
5300.000000 87.191 164.3501
5380.000000 87.451 162.7720
5450.000000 87.499 159.8859
5520.000000 87.266 156.0779
5600.000000 86.516 152.4053
5700.000000 85.090 153.0374
5800.000000 84.053 159.6458
5900.000000 83.788 166.9311
6000.000000 83.937 172.1401
6080.000000 84.151 175.0669
6150.000000 84.363 177.0760
6220.000000 84.573 178.5074
6300.000000 84.763 179.2577
6400.000000 84.914 179.2726
6500.000000 84.979 178.8514
6600.000000 84.963 178.0775
6700.000000 84.816 177.0937
