* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:54:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Class Spa AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.412 111.4373
20.600000 95.590 110.5772
20.900000 95.790 109.6512
21.200001 95.992 108.7183
21.400000 96.126 108.0925
21.799999 96.393 106.8324
22.000000 96.525 106.2006
22.400000 96.788 104.9391
22.700001 96.983 103.9954
23.000000 97.175 103.0507
23.299999 97.364 102.1021
23.600000 97.547 101.1494
24.000000 97.782 99.8789
24.299999 97.952 98.9311
24.700001 98.174 97.6751
25.000000 98.339 96.7318
25.400000 98.559 95.4554
25.799999 98.778 94.1447
26.200001 98.990 92.8050
26.500000 99.144 91.7962
26.900000 99.341 90.4695
27.200001 99.483 89.4984
27.600000 99.670 88.2321
28.000000 99.855 86.9744
28.500000 100.084 85.3635
29.000000 100.304 83.6777
29.500000 100.510 81.9412
30.000000 100.705 80.2165
30.400000 100.857 78.8763
30.700001 100.972 77.8938
31.100000 101.129 76.5955
31.500000 101.287 75.2840
32.000000 101.477 73.6001
32.500000 101.652 71.8766
33.000000 101.808 70.1543
33.500000 101.950 68.4733
34.000000 102.087 66.8524
34.500000 102.223 65.2885
35.000000 102.361 63.7641
35.500000 102.494 62.2634
36.000000 102.615 60.7911
36.500000 102.717 59.3755
37.000000 102.807 58.0398
37.500000 102.894 56.7705
38.200001 103.033 55.0237
38.700001 103.149 53.7661
39.500000 103.367 51.7461
40.000000 103.523 50.4407
40.599998 103.710 48.7555
41.200001 103.873 46.9512
41.799999 104.007 45.1114
42.500000 104.148 42.9387
43.099998 104.260 40.9810
43.700001 104.348 38.9601
44.400002 104.418 36.7066
45.000000 104.474 34.9335
45.500000 104.530 33.4971
46.200001 104.615 31.4265
46.799999 104.674 29.6124
47.500000 104.725 27.5349
48.200001 104.769 25.4674
48.700001 104.798 23.9390
49.400002 104.833 21.7215
50.000000 104.855 19.8083
50.799999 104.874 17.3021
51.500000 104.870 15.1383
52.200001 104.832 13.0254
53.000000 104.761 10.7673
53.799999 104.688 8.6922
54.500000 104.625 6.9573
55.200001 104.546 5.2557
56.000000 104.425 3.3570
57.000000 104.248 1.0691
58.000000 104.063 -1.0567
59.000000 103.867 -2.8130
60.000000 103.678 -4.2240
60.799999 103.541 -5.2763
61.500000 103.428 -6.1232
62.200001 103.325 -6.8404
63.000000 103.221 -7.5215
64.000000 103.104 -8.2529
65.000000 103.017 -8.9434
66.000000 102.964 -9.6903
67.000000 102.932 -10.4990
68.000000 102.921 -11.4412
69.000000 102.918 -12.5732
70.000000 102.905 -13.7933
71.000000 102.878 -15.0073
72.000000 102.841 -16.2350
73.000000 102.799 -17.4678
74.000000 102.757 -18.6713
75.000000 102.709 -19.8533
76.199997 102.644 -21.2364
77.500000 102.574 -22.7038
78.800003 102.503 -24.1082
80.000000 102.439 -25.3282
81.199997 102.380 -26.5004
82.500000 102.317 -27.7201
83.800003 102.262 -28.9189
85.000000 102.218 -30.0293
86.199997 102.182 -31.1456
87.500000 102.152 -32.4064
88.500000 102.131 -33.4352
90.000000 102.097 -35.0897
91.199997 102.064 -36.5039
92.500000 102.020 -38.1181
93.800003 101.964 -39.7846
95.000000 101.901 -41.3515
96.199997 101.824 -42.9447
97.500000 101.724 -44.7019
98.800003 101.603 -46.4853
100.000000 101.474 -48.1379
101.500000 101.283 -50.1927
103.000000 101.051 -52.1989
104.400002 100.792 -53.9442
106.000000 100.450 -55.6501
107.500000 100.097 -56.8343
109.000000 99.737 -57.5471
110.599998 99.378 -57.8401
112.000000 99.103 -57.8152
113.800003 98.809 -57.5973
115.000000 98.642 -57.4398
117.199997 98.377 -57.1955
118.000000 98.288 -57.1092
120.599998 98.025 -56.6811
122.000000 97.911 -56.2958
124.099998 97.794 -55.6963
125.000000 97.766 -55.4641
126.500000 97.746 -55.1488
128.000000 97.756 -54.9763
131.500000 97.841 -55.3037
132.000000 97.856 -55.4370
134.000000 97.910 -56.1422
136.000000 97.951 -57.0667
138.000000 97.976 -58.1887
140.000000 97.982 -59.4532
143.000000 97.956 -61.5196
145.000000 97.912 -62.9659
147.500000 97.830 -64.8319
150.000000 97.718 -66.7168
152.500000 97.581 -68.5664
155.000000 97.429 -70.3420
157.500000 97.257 -72.0532
160.000000 97.072 -73.7534
162.500000 96.880 -75.4298
165.000000 96.676 -77.0878
167.500000 96.458 -78.7148
170.000000 96.227 -80.3144
172.500000 95.983 -81.8938
175.000000 95.725 -83.4429
177.500000 95.449 -84.9361
180.000000 95.155 -86.3580
182.500000 94.846 -87.7254
185.000000 94.520 -89.0158
187.500000 94.177 -90.1856
190.000000 93.822 -91.2063
192.500000 93.457 -92.0446
195.000000 93.088 -92.6975
197.500000 92.721 -93.1918
200.000000 92.366 -93.5635
203.000000 91.947 -93.8846
206.000000 91.531 -94.0784
209.000000 91.127 -94.1110
212.000000 90.745 -94.0397
214.000000 90.503 -93.9950
218.000000 90.032 -93.9288
220.000000 89.796 -93.8909
224.000000 89.318 -93.7078
227.000000 88.958 -93.4300
230.000000 88.604 -93.0765
233.000000 88.259 -92.6653
236.000000 87.917 -92.2404
240.000000 87.454 -91.6912
243.000000 87.097 -91.1575
247.000000 86.607 -90.1669
250.000000 86.250 -89.1273
254.000000 85.814 -87.4876
258.000000 85.428 -85.8240
262.000000 85.068 -84.1878
265.000000 84.808 -82.9542
269.000000 84.471 -81.2365
272.000000 84.226 -79.8966
276.000000 83.918 -78.0654
280.000000 83.634 -76.1449
285.000000 83.311 -73.6423
290.000000 83.016 -70.9944
295.000000 82.767 -68.2673
300.000000 82.582 -65.6453
304.000000 82.455 -63.8957
307.000000 82.350 -62.7369
311.000000 82.183 -61.1813
315.000000 81.989 -59.3553
320.000000 81.758 -56.5052
325.000000 81.621 -53.1517
330.000000 81.630 -49.9241
335.000000 81.712 -47.4435
340.000000 81.780 -45.5053
345.000000 81.842 -43.6125
350.000000 81.939 -41.9612
355.000000 82.036 -40.9901
360.000000 82.048 -40.4448
365.000000 81.976 -39.6521
370.000000 81.886 -38.4229
375.000000 81.813 -37.0286
382.000000 81.738 -34.9826
387.000000 81.701 -33.4365
395.000000 81.673 -30.8649
400.000000 81.677 -29.2829
406.000000 81.703 -27.4209
412.000000 81.755 -25.5973
418.000000 81.830 -23.9109
425.000000 81.918 -22.0712
431.000000 81.992 -20.6116
437.000000 82.059 -19.2093
444.000000 82.124 -17.4674
450.000000 82.193 -15.7029
455.000000 82.299 -14.0197
462.000000 82.566 -11.8982
468.000000 82.836 -10.9490
475.000000 83.080 -10.4895
482.000000 83.261 -10.0379
487.000000 83.380 -9.7110
494.000000 83.538 -9.3310
500.000000 83.656 -9.0509
508.000000 83.791 -8.6793
515.000000 83.898 -8.3277
522.000000 84.000 -7.9451
530.000000 84.114 -7.4997
538.000000 84.232 -7.0638
545.000000 84.340 -6.7345
552.000000 84.446 -6.4528
560.000000 84.565 -6.1576
570.000000 84.707 -5.8600
580.000000 84.847 -5.6615
590.000000 84.983 -5.5318
600.000000 85.113 -5.4179
608.000000 85.212 -5.3844
615.000000 85.296 -5.3771
622.000000 85.378 -5.3999
630.000000 85.467 -5.4878
640.000000 85.569 -5.6412
650.000000 85.664 -5.8023
660.000000 85.755 -5.9674
670.000000 85.845 -6.1832
680.000000 85.930 -6.5050
690.000000 86.001 -6.8997
700.000000 86.058 -7.3305
710.000000 86.104 -7.7639
720.000000 86.140 -8.2177
730.000000 86.167 -8.6708
740.000000 86.184 -9.1144
750.000000 86.194 -9.5795
762.000000 86.192 -10.1626
775.000000 86.171 -10.7885
788.000000 86.133 -11.4243
800.000000 86.083 -11.9714
812.000000 86.021 -12.4397
825.000000 85.934 -12.8617
838.000000 85.836 -13.2109
850.000000 85.738 -13.4279
862.000000 85.644 -13.4957
875.000000 85.558 -13.5205
885.000000 85.498 -13.6221
900.000000 85.385 -13.9712
912.000000 85.255 -14.2251
925.000000 85.087 -14.3640
938.000000 84.888 -14.3343
950.000000 84.683 -13.9738
962.000000 84.491 -13.2781
975.000000 84.313 -12.2897
988.000000 84.168 -11.1641
1000.000000 84.062 -9.9970
1015.000000 83.977 -8.4657
1030.000000 83.945 -7.0363
1044.000000 83.948 -5.9072
1060.000000 83.975 -4.8887
1075.000000 84.002 -4.1555
1090.000000 84.005 -3.6393
1106.000000 83.967 -3.2206
1120.000000 83.910 -2.8423
1138.000000 83.819 -2.2168
1150.000000 83.747 -1.6940
1172.000000 83.605 -0.5116
1180.000000 83.557 -0.0163
1206.000000 83.434 1.8315
1220.000000 83.386 2.8176
1241.000000 83.292 4.2376
1250.000000 83.246 4.9476
1265.000000 83.178 6.2683
1280.000000 83.130 7.6710
1315.000000 83.079 11.0001
1320.000000 83.078 11.4754
1340.000000 83.089 13.3926
1360.000000 83.114 15.3240
1380.000000 83.155 17.2459
1400.000000 83.223 19.1322
1430.000000 83.357 21.8920
1450.000000 83.451 23.6588
1475.000000 83.573 25.8495
1500.000000 83.703 28.0241
1525.000000 83.847 30.2455
1550.000000 84.018 32.5647
1575.000000 84.247 34.8487
1600.000000 84.517 36.8676
1625.000000 84.767 38.5420
1650.000000 85.001 40.2874
1675.000000 85.264 42.2600
1700.000000 85.573 44.1722
1725.000000 85.914 45.8268
1750.000000 86.259 47.2376
1775.000000 86.606 48.4886
1800.000000 86.969 49.6590
1825.000000 87.349 50.7486
1850.000000 87.749 51.6489
1875.000000 88.159 52.2579
1900.000000 88.558 52.6112
1925.000000 88.945 52.7630
1950.000000 89.331 52.7872
1975.000000 89.715 52.6862
2000.000000 90.092 52.4015
2030.000000 90.539 51.7742
2060.000000 90.968 50.7631
2090.000000 91.304 49.4816
2120.000000 91.566 48.5289
2140.000000 91.747 48.0410
2180.000000 92.125 46.9752
2200.000000 92.317 46.3651
2240.000000 92.705 45.0075
2270.000000 92.978 43.8639
2300.000000 93.231 42.6218
2330.000000 93.468 41.2731
2360.000000 93.677 39.8368
2400.000000 93.919 37.8794
2430.000000 94.089 36.4687
2470.000000 94.289 34.6305
2500.000000 94.420 33.2649
2540.000000 94.578 31.4241
2580.000000 94.701 29.5181
2620.000000 94.806 27.6941
2650.000000 94.883 26.4492
2690.000000 94.976 24.8376
2720.000000 95.038 23.6152
2760.000000 95.125 22.1030
2800.000000 95.237 20.6904
2850.000000 95.415 18.6580
2900.000000 95.601 15.9287
2950.000000 95.701 12.4674
3000.000000 95.697 8.6933
3040.000000 95.608 5.6910
3070.000000 95.479 3.5367
3110.000000 95.248 0.9346
3150.000000 94.982 -1.3514
3200.000000 94.589 -4.0076
3250.000000 94.134 -6.2035
3300.000000 93.644 -7.6409
3350.000000 93.118 -8.3866
3400.000000 92.582 -8.4498
3450.000000 92.054 -7.7487
3500.000000 91.565 -6.0971
3550.000000 91.230 -3.0556
3600.000000 91.218 0.8872
3650.000000 91.617 4.0900
3700.000000 92.363 4.5015
3750.000000 93.067 0.7000
3820.000000 93.138 -8.5286
3870.000000 92.560 -13.8740
3950.000000 91.313 -17.7892
4000.000000 90.596 -18.3894
4060.000000 89.883 -18.1782
4120.000000 89.283 -17.6414
4180.000000 88.713 -17.1033
4250.000000 88.059 -16.2887
4310.000000 87.493 -15.4226
4370.000000 86.939 -14.2883
4440.000000 86.334 -12.4475
4500.000000 85.836 -10.6710
4550.000000 85.438 -9.1249
4620.000000 84.924 -6.8847
4680.000000 84.497 -5.1200
4750.000000 83.998 -3.1849
4820.000000 83.485 -1.0637
4870.000000 83.089 0.5751
4940.000000 82.484 3.1986
5000.000000 81.960 6.0980
5080.000000 81.367 11.5690
5150.000000 81.078 16.7278
5220.000000 80.933 21.2787
5300.000000 80.894 25.8474
5380.000000 80.958 29.0116
5450.000000 80.993 30.1062
5520.000000 80.806 30.0100
