* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:06:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Class Spa AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.198 100.2358
20.600000 98.355 99.2608
20.900000 98.530 98.2126
21.200001 98.708 97.1638
21.400000 98.826 96.4641
21.799999 99.062 95.0604
22.000000 99.178 94.3580
22.400000 99.406 92.9617
22.700001 99.572 91.9293
23.000000 99.734 90.9117
23.299999 99.893 89.9053
23.600000 100.048 88.9039
24.000000 100.249 87.5668
24.299999 100.395 86.5604
24.700001 100.584 85.2168
25.000000 100.721 84.2114
25.400000 100.901 82.8767
25.799999 101.076 81.5476
26.200001 101.249 80.2219
26.500000 101.377 79.2302
26.900000 101.543 77.9152
27.200001 101.666 76.9367
27.600000 101.826 75.6440
28.000000 101.983 74.3622
28.500000 102.172 72.7665
29.000000 102.351 71.1706
29.500000 102.519 69.5757
30.000000 102.678 67.9889
30.400000 102.800 66.7283
30.700001 102.890 65.7868
31.100000 103.007 64.5335
31.500000 103.121 63.2798
32.000000 103.258 61.7168
32.500000 103.386 60.1743
33.000000 103.509 58.6668
33.500000 103.628 57.1872
34.000000 103.746 55.7085
34.500000 103.859 54.2081
35.000000 103.961 52.6914
35.500000 104.050 51.1887
36.000000 104.127 49.7310
36.500000 104.199 48.3281
37.000000 104.270 46.9689
37.500000 104.343 45.6357
38.200001 104.449 43.7935
38.700001 104.526 42.4904
39.500000 104.648 40.4140
40.000000 104.719 39.1059
40.599998 104.796 37.5079
41.200001 104.863 35.8765
41.799999 104.919 34.2396
42.500000 104.978 32.4009
43.099998 105.030 30.9414
43.700001 105.091 29.5760
44.400002 105.174 28.0033
45.000000 105.247 26.5895
45.500000 105.307 25.3441
46.200001 105.388 23.5045
46.799999 105.456 21.8463
47.500000 105.530 19.8209
48.200001 105.587 17.7120
48.700001 105.612 16.1731
49.400002 105.627 14.0080
50.000000 105.624 12.1681
50.799999 105.602 9.7594
51.500000 105.562 7.7244
52.200001 105.499 5.7989
53.000000 105.412 3.6964
53.799999 105.309 1.6022
54.500000 105.199 -0.1863
55.200001 105.079 -1.8355
56.000000 104.944 -3.5592
57.000000 104.774 -5.5902
58.000000 104.589 -7.4636
59.000000 104.393 -9.1194
60.000000 104.193 -10.5382
60.799999 104.040 -11.5344
61.500000 103.913 -12.3301
62.200001 103.797 -13.0659
63.000000 103.680 -13.8651
64.000000 103.546 -14.8383
65.000000 103.431 -15.8336
66.000000 103.331 -16.9308
67.000000 103.239 -18.0420
68.000000 103.151 -19.1865
69.000000 103.035 -20.4312
70.000000 102.890 -21.6281
71.000000 102.741 -22.7564
72.000000 102.584 -23.8181
73.000000 102.419 -24.7335
74.000000 102.255 -25.5273
75.000000 102.091 -26.2136
76.199997 101.900 -26.8616
77.500000 101.710 -27.3728
78.800003 101.540 -27.7556
80.000000 101.400 -28.0082
81.199997 101.282 -28.1863
82.500000 101.181 -28.3691
83.800003 101.102 -28.5762
85.000000 101.046 -28.7874
86.199997 101.003 -29.0353
87.500000 100.970 -29.3844
88.500000 100.952 -29.7047
90.000000 100.938 -30.2411
91.199997 100.937 -30.7432
92.500000 100.944 -31.4002
93.800003 100.951 -32.1628
95.000000 100.955 -32.9375
96.199997 100.954 -33.7789
97.500000 100.948 -34.7579
98.800003 100.934 -35.7829
100.000000 100.914 -36.7682
101.500000 100.883 -38.0623
103.000000 100.843 -39.4337
104.400002 100.795 -40.7940
106.000000 100.719 -42.4495
107.500000 100.619 -44.0812
109.000000 100.483 -45.7523
110.599998 100.295 -47.4910
112.000000 100.091 -48.8869
113.800003 99.779 -50.3942
115.000000 99.550 -51.1498
117.199997 99.116 -51.9132
118.000000 98.962 -51.9829
120.599998 98.517 -51.4814
122.000000 98.334 -50.8485
124.099998 98.161 -49.7391
125.000000 98.125 -49.2874
126.500000 98.107 -48.6649
128.000000 98.132 -48.2849
131.500000 98.267 -48.5128
132.000000 98.288 -48.6632
134.000000 98.367 -49.5048
136.000000 98.425 -50.6751
138.000000 98.453 -52.1087
140.000000 98.446 -53.7048
143.000000 98.373 -56.1983
145.000000 98.288 -57.8529
147.500000 98.147 -59.9078
150.000000 97.976 -61.9220
152.500000 97.775 -63.8807
155.000000 97.546 -65.7745
157.500000 97.299 -67.5803
160.000000 97.031 -69.2983
162.500000 96.743 -70.9536
165.000000 96.438 -72.4746
167.500000 96.116 -73.9047
170.000000 95.790 -75.2326
172.500000 95.452 -76.4645
175.000000 95.106 -77.6048
177.500000 94.748 -78.6501
180.000000 94.379 -79.6120
182.500000 93.993 -80.4556
185.000000 93.595 -81.1460
187.500000 93.186 -81.6943
190.000000 92.764 -82.0619
192.500000 92.338 -82.2126
195.000000 91.920 -82.0938
197.500000 91.527 -81.6790
200.000000 91.173 -81.0799
203.000000 90.803 -80.3994
206.000000 90.464 -79.9471
209.000000 90.118 -79.6825
212.000000 89.756 -79.4321
214.000000 89.511 -79.2138
218.000000 89.012 -78.6479
220.000000 88.759 -78.3040
224.000000 88.249 -77.4812
227.000000 87.870 -76.7349
230.000000 87.497 -75.9017
233.000000 87.125 -74.9784
236.000000 86.751 -73.9255
240.000000 86.253 -72.1892
243.000000 85.894 -70.5173
247.000000 85.473 -67.9933
250.000000 85.210 -66.0710
254.000000 84.923 -63.6003
258.000000 84.689 -61.2769
262.000000 84.474 -59.2319
265.000000 84.314 -57.8648
269.000000 84.099 -56.2352
272.000000 83.931 -55.0618
276.000000 83.692 -53.4497
280.000000 83.445 -51.6836
285.000000 83.133 -49.3506
290.000000 82.824 -46.8441
295.000000 82.536 -44.1139
300.000000 82.287 -41.1407
304.000000 82.112 -38.7569
307.000000 81.992 -36.9109
311.000000 81.849 -34.3149
315.000000 81.739 -31.5386
320.000000 81.680 -27.8826
325.000000 81.738 -24.4893
330.000000 81.859 -21.8858
335.000000 81.960 -19.8878
340.000000 82.031 -18.0531
345.000000 82.106 -16.2247
350.000000 82.197 -14.6993
355.000000 82.250 -13.6975
360.000000 82.210 -12.8013
365.000000 82.118 -11.3634
370.000000 82.046 -9.4376
375.000000 82.020 -7.3823
382.000000 82.046 -4.5523
387.000000 82.098 -2.6429
395.000000 82.222 0.2527
400.000000 82.323 1.9177
406.000000 82.459 3.6531
412.000000 82.597 5.1081
418.000000 82.717 6.3909
425.000000 82.823 7.7793
431.000000 82.893 8.9873
437.000000 82.954 10.2539
444.000000 83.019 11.9406
450.000000 83.108 13.7082
455.000000 83.247 15.2745
462.000000 83.525 16.8276
468.000000 83.744 17.3560
475.000000 83.916 17.6753
482.000000 84.031 18.1088
487.000000 84.097 18.5217
494.000000 84.187 19.2034
500.000000 84.264 19.8050
508.000000 84.370 20.6206
515.000000 84.465 21.3283
522.000000 84.559 22.0147
530.000000 84.665 22.7600
538.000000 84.777 23.4514
545.000000 84.878 24.0378
552.000000 84.981 24.5928
560.000000 85.101 25.1569
570.000000 85.246 25.7269
580.000000 85.371 26.1391
590.000000 85.472 26.6013
600.000000 85.580 27.1921
608.000000 85.673 27.5821
615.000000 85.755 27.8622
622.000000 85.837 28.1042
630.000000 85.927 28.3480
640.000000 86.040 28.6241
650.000000 86.154 28.8073
660.000000 86.259 28.8416
670.000000 86.346 28.8184
680.000000 86.418 28.7949
690.000000 86.480 28.7780
700.000000 86.533 28.7596
710.000000 86.580 28.7428
720.000000 86.628 28.7434
730.000000 86.680 28.7294
740.000000 86.733 28.6245
750.000000 86.779 28.3904
762.000000 86.811 28.0073
775.000000 86.821 27.5646
788.000000 86.799 27.1315
800.000000 86.754 26.8102
812.000000 86.695 26.5966
825.000000 86.630 26.4734
838.000000 86.569 26.4062
850.000000 86.514 26.3256
862.000000 86.451 26.1688
875.000000 86.362 25.9559
885.000000 86.280 25.8154
900.000000 86.128 25.6727
912.000000 85.986 25.6811
925.000000 85.823 25.9049
938.000000 85.675 26.2934
950.000000 85.546 26.5956
962.000000 85.399 26.9044
975.000000 85.222 27.4266
988.000000 85.049 28.1999
1000.000000 84.910 29.0332
1015.000000 84.759 30.0938
1030.000000 84.620 31.1425
1044.000000 84.495 32.1295
1060.000000 84.361 33.2775
1075.000000 84.242 34.3328
1090.000000 84.127 35.3302
1106.000000 83.995 36.3641
1120.000000 83.871 37.2735
1138.000000 83.698 38.4490
1150.000000 83.578 39.3002
1172.000000 83.353 41.1190
1180.000000 83.274 41.8648
1206.000000 83.047 44.5383
1220.000000 82.948 46.0835
1241.000000 82.829 48.4368
1250.000000 82.783 49.4599
1265.000000 82.716 51.1838
1280.000000 82.665 52.8877
1315.000000 82.591 56.8641
1320.000000 82.587 57.4521
1340.000000 82.583 59.8139
1360.000000 82.604 62.1312
1380.000000 82.648 64.3841
1400.000000 82.703 66.4938
1430.000000 82.780 69.5988
1450.000000 82.849 71.7491
1475.000000 82.959 74.3521
1500.000000 83.070 76.8700
1525.000000 83.194 79.3407
1550.000000 83.328 81.7495
1575.000000 83.462 84.0836
1600.000000 83.582 86.3339
1625.000000 83.656 88.4683
1650.000000 83.611 90.7465
1675.000000 83.434 94.3277
1700.000000 83.247 100.3073
1725.000000 83.392 110.7198
1750.000000 84.851 125.3731
1775.000000 87.560 132.4306
1800.000000 89.785 127.0921
1825.000000 90.853 117.7810
1850.000000 91.187 110.3520
1875.000000 91.278 105.5840
1900.000000 91.342 102.5443
1925.000000 91.436 100.4869
1950.000000 91.568 98.9428
1975.000000 91.726 97.6559
2000.000000 91.898 96.5611
2030.000000 92.143 95.4725
2060.000000 92.454 94.3366
2090.000000 92.781 92.6512
2120.000000 93.045 90.6934
2140.000000 93.201 89.4460
2180.000000 93.497 86.9228
2200.000000 93.628 85.6195
2240.000000 93.863 83.0988
2270.000000 94.030 81.2517
2300.000000 94.186 79.3696
2330.000000 94.328 77.4282
2360.000000 94.459 75.4293
2400.000000 94.612 72.6777
2430.000000 94.703 70.5541
2470.000000 94.784 67.7075
2500.000000 94.821 65.6629
2540.000000 94.875 63.0047
2580.000000 94.917 60.1150
2620.000000 94.900 57.1265
2650.000000 94.851 54.9617
2690.000000 94.754 52.2455
2720.000000 94.661 50.3297
2760.000000 94.514 47.9212
2800.000000 94.350 45.6159
2850.000000 94.107 42.8029
2900.000000 93.787 40.3649
2950.000000 93.431 38.7589
3000.000000 93.129 38.1444
3040.000000 93.008 38.1604
3070.000000 93.019 38.1355
3110.000000 93.160 37.4523
3150.000000 93.338 35.3349
3200.000000 93.325 31.2665
3250.000000 93.075 27.6395
3300.000000 92.697 24.4622
3350.000000 92.185 22.2341
3400.000000 91.638 21.1502
3450.000000 91.089 21.3773
3500.000000 90.692 23.9344
3550.000000 90.900 27.9228
3600.000000 91.713 28.4144
3650.000000 92.429 23.7317
3700.000000 92.609 16.5727
3750.000000 92.276 9.8955
3820.000000 91.436 3.4251
3870.000000 90.796 0.2447
3950.000000 89.742 -3.2399
4000.000000 89.098 -4.3440
4060.000000 88.398 -4.9089
4120.000000 87.787 -5.1253
4180.000000 87.260 -5.2404
4250.000000 86.716 -5.5275
4310.000000 86.254 -5.9318
4370.000000 85.777 -6.1568
4440.000000 85.265 -6.1369
4500.000000 84.873 -6.2339
4550.000000 84.546 -6.5206
4620.000000 84.034 -7.0190
4680.000000 83.539 -7.2229
4750.000000 82.921 -6.8984
4820.000000 82.290 -5.7971
4870.000000 81.854 -4.5223
4940.000000 81.306 -2.1248
5000.000000 80.923 0.4165
5080.000000 80.580 4.3475
5150.000000 80.460 8.3948
5220.000000 80.752 12.8573
5300.000000 81.551 14.4127
5380.000000 82.235 11.0371
5450.000000 82.364 5.7681
5520.000000 81.975 1.1517
5600.000000 81.294 -0.7552
5700.000000 80.816 -0.6092
5800.000000 80.617 -1.5743
5900.000000 80.404 -3.6896
6000.000000 80.121 -6.4351
