* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:45:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Classical AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.441 125.0498
20.600000 75.635 124.9189
20.900000 75.856 124.7272
21.200001 76.079 124.4167
21.400000 76.224 124.1344
21.799999 76.501 123.4278
22.000000 76.635 123.0348
22.400000 76.894 122.2462
22.700001 77.085 121.6957
23.000000 77.272 121.1997
23.299999 77.456 120.7582
23.600000 77.638 120.3584
24.000000 77.879 119.8450
24.299999 78.062 119.4297
24.700001 78.313 118.7700
25.000000 78.506 118.1745
25.400000 78.763 117.2715
25.799999 79.015 116.3327
26.200001 79.262 115.4660
26.500000 79.449 114.8975
26.900000 79.701 114.2285
27.200001 79.891 113.7516
27.600000 80.139 113.0891
28.000000 80.374 112.3703
28.500000 80.647 111.4182
29.000000 80.911 110.4354
29.500000 81.180 109.3839
30.000000 81.447 108.2274
30.400000 81.647 107.2683
30.700001 81.788 106.5726
31.100000 81.971 105.7079
31.500000 82.159 104.8947
32.000000 82.407 103.8384
32.500000 82.654 102.6394
33.000000 82.880 101.3387
33.500000 83.084 100.0637
34.000000 83.283 98.8646
34.500000 83.484 97.6802
35.000000 83.679 96.4548
35.500000 83.859 95.2297
36.000000 84.026 94.0844
36.500000 84.194 93.0346
37.000000 84.366 92.0304
37.500000 84.535 91.0391
38.200001 84.760 89.7222
38.700001 84.925 88.8562
39.500000 85.230 87.4411
40.000000 85.444 86.3982
40.599998 85.702 84.9219
41.200001 85.933 83.2852
41.799999 86.129 81.6371
42.500000 86.336 79.7419
43.099998 86.507 78.0101
43.700001 86.656 76.1621
44.400002 86.791 74.1238
45.000000 86.906 72.6297
45.500000 87.017 71.4727
46.200001 87.185 69.7765
46.799999 87.324 68.2242
47.500000 87.479 66.3656
48.200001 87.614 64.5463
48.700001 87.687 63.3822
49.400002 87.778 61.9852
50.000000 87.863 60.7602
50.799999 87.961 58.6426
51.500000 87.997 56.4931
52.200001 88.021 54.4893
53.000000 88.089 52.4878
53.799999 88.171 50.6247
54.500000 88.213 49.0488
55.200001 88.219 47.4975
56.000000 88.211 45.6701
57.000000 88.204 43.4277
58.000000 88.215 41.9212
59.000000 88.272 40.8138
60.000000 88.237 39.0982
60.799999 88.127 37.6961
61.500000 88.072 36.7470
62.200001 88.084 35.9644
63.000000 88.146 35.1887
64.000000 88.244 34.2478
65.000000 88.356 33.0427
66.000000 88.491 31.5889
67.000000 88.646 29.9605
68.000000 88.786 28.1721
69.000000 88.909 26.1381
70.000000 89.004 23.7758
71.000000 89.063 21.2346
72.000000 89.089 18.6608
73.000000 89.084 16.0910
74.000000 89.047 13.5214
75.000000 88.975 10.9660
76.199997 88.839 7.9884
77.500000 88.644 4.9284
78.800003 88.420 2.1374
80.000000 88.191 -0.0899
81.199997 87.935 -2.1794
82.500000 87.625 -4.2989
83.800003 87.318 -6.0554
85.000000 87.030 -7.4544
86.199997 86.748 -8.7098
87.500000 86.466 -9.9407
88.500000 86.257 -10.8016
90.000000 85.940 -12.0908
91.199997 85.690 -13.1355
92.500000 85.419 -14.0794
93.800003 85.154 -14.7892
95.000000 84.911 -15.4423
96.199997 84.655 -16.0295
97.500000 84.351 -16.6509
98.800003 84.034 -17.4470
100.000000 83.746 -18.1656
101.500000 83.418 -18.7368
103.000000 83.040 -19.1356
104.400002 82.634 -19.0754
106.000000 82.157 -18.6546
107.500000 81.720 -17.8162
109.000000 81.306 -16.3875
110.599998 80.891 -14.3816
112.000000 80.596 -12.4616
113.800003 80.340 -10.0683
115.000000 80.196 -8.4716
117.199997 80.005 -5.4562
118.000000 79.962 -4.2415
120.599998 79.812 -0.3448
122.000000 79.749 1.4317
124.099998 79.777 4.1948
125.000000 79.827 5.4034
126.500000 79.940 7.3024
128.000000 80.082 9.0433
131.500000 80.502 12.1743
132.000000 80.565 12.4828
134.000000 80.812 13.4692
136.000000 81.044 14.1903
138.000000 81.259 14.7360
140.000000 81.498 15.1688
143.000000 81.812 15.1554
145.000000 82.002 14.8367
147.500000 82.233 14.3347
150.000000 82.452 13.1290
152.500000 82.641 12.6914
155.000000 82.793 12.5860
157.500000 82.906 12.2700
160.000000 83.037 12.4962
162.500000 83.158 10.7512
165.000000 83.236 8.9797
167.500000 83.301 7.5897
170.000000 83.371 6.3327
172.500000 83.401 5.2330
175.000000 83.446 3.9674
177.500000 83.512 2.1569
180.000000 83.489 0.6925
182.500000 83.451 -0.1106
185.000000 83.459 -1.1159
187.500000 83.394 -2.4622
190.000000 83.251 -3.4145
192.500000 83.078 -4.3400
195.000000 82.914 -5.3824
197.500000 82.759 -6.1386
200.000000 82.601 -6.7480
203.000000 82.418 -7.5178
206.000000 82.260 -7.9760
209.000000 82.147 -8.4323
212.000000 82.053 -8.8393
214.000000 81.966 -9.1996
218.000000 81.747 -10.1489
220.000000 81.624 -10.4500
224.000000 81.426 -11.0818
227.000000 81.275 -11.5793
230.000000 81.120 -11.9131
233.000000 80.946 -12.3600
236.000000 80.739 -13.0268
240.000000 80.434 -13.3586
243.000000 80.289 -13.4812
247.000000 80.061 -13.4993
250.000000 79.843 -13.3087
254.000000 79.561 -12.8126
258.000000 79.331 -12.2843
262.000000 79.131 -11.7995
265.000000 78.974 -11.4354
269.000000 78.769 -10.8993
272.000000 78.623 -10.3666
276.000000 78.432 -9.6007
280.000000 78.235 -8.7907
285.000000 77.991 -7.6683
290.000000 77.819 -6.4436
295.000000 77.713 -5.3770
300.000000 77.611 -4.4942
304.000000 77.502 -3.9136
307.000000 77.389 -3.5422
311.000000 77.194 -2.9760
315.000000 76.989 -2.0849
320.000000 76.771 -0.2843
325.000000 76.627 1.8806
330.000000 76.627 3.9253
335.000000 76.703 5.2239
340.000000 76.743 5.8877
345.000000 76.744 6.7098
350.000000 76.762 7.4647
355.000000 76.771 7.5326
360.000000 76.714 7.2095
365.000000 76.576 7.1684
370.000000 76.412 7.5324
375.000000 76.257 8.0884
382.000000 76.033 9.2532
387.000000 75.892 10.2431
395.000000 75.661 11.8254
400.000000 75.530 12.8762
406.000000 75.442 14.4562
412.000000 75.379 15.9361
418.000000 75.311 17.1514
425.000000 75.260 18.5914
431.000000 75.212 19.8634
437.000000 75.141 21.2190
444.000000 75.049 22.9858
450.000000 74.990 24.7568
455.000000 74.995 26.4376
462.000000 75.104 28.4930
468.000000 75.215 29.5032
475.000000 75.291 30.3569
482.000000 75.340 31.1916
487.000000 75.366 31.7109
494.000000 75.379 32.4110
500.000000 75.377 33.0901
508.000000 75.366 34.0872
515.000000 75.362 35.0239
522.000000 75.365 36.0093
530.000000 75.365 37.1394
538.000000 75.372 38.2552
545.000000 75.385 39.1724
552.000000 75.404 40.0705
560.000000 75.433 41.0904
570.000000 75.467 42.3660
580.000000 75.499 43.5300
590.000000 75.538 44.6102
600.000000 75.581 45.6450
608.000000 75.604 46.4313
615.000000 75.615 47.1268
622.000000 75.627 47.7722
630.000000 75.645 48.4779
640.000000 75.667 49.4210
650.000000 75.682 50.3796
660.000000 75.695 51.3348
670.000000 75.719 52.3051
680.000000 75.744 53.2126
690.000000 75.760 54.0995
700.000000 75.769 54.9589
710.000000 75.778 55.7512
720.000000 75.789 56.5535
730.000000 75.803 57.4755
740.000000 75.815 58.3981
750.000000 75.831 59.2654
762.000000 75.856 60.3409
775.000000 75.873 61.4972
788.000000 75.891 62.5690
800.000000 75.916 63.5617
812.000000 75.935 64.6074
825.000000 75.953 65.7021
838.000000 75.984 66.7986
850.000000 76.006 67.8693
862.000000 76.036 68.9690
875.000000 76.098 70.0990
885.000000 76.159 70.8876
900.000000 76.244 71.7715
912.000000 76.288 72.2030
925.000000 76.291 72.6423
938.000000 76.246 73.3184
950.000000 76.196 74.2543
962.000000 76.167 75.4229
975.000000 76.159 76.8167
988.000000 76.175 78.2331
1000.000000 76.220 79.5687
1015.000000 76.323 81.2474
1030.000000 76.468 82.6740
1044.000000 76.628 83.6740
1060.000000 76.810 84.4490
1075.000000 76.959 84.7971
1090.000000 77.078 84.9177
1106.000000 77.154 84.9257
1120.000000 77.187 84.9094
1138.000000 77.189 85.0343
1150.000000 77.168 85.1897
1172.000000 77.108 85.6332
1180.000000 77.082 85.8483
1206.000000 77.005 86.7263
1220.000000 76.967 87.1838
1241.000000 76.871 87.8436
1250.000000 76.819 88.2461
1265.000000 76.734 89.0490
1280.000000 76.662 89.9011
1315.000000 76.520 92.1001
1320.000000 76.500 92.4218
1340.000000 76.425 93.7262
1360.000000 76.358 95.0655
1380.000000 76.302 96.4801
1400.000000 76.249 97.9059
1430.000000 76.174 99.9945
1450.000000 76.122 101.3750
1475.000000 76.051 103.1834
1500.000000 75.972 105.0782
1525.000000 75.897 107.1871
1550.000000 75.844 109.4957
1575.000000 75.834 111.7858
1600.000000 75.849 113.8737
1625.000000 75.843 115.8330
1650.000000 75.800 117.9819
1675.000000 75.773 120.4498
1700.000000 75.782 122.9228
1725.000000 75.809 125.3327
1750.000000 75.842 127.7352
1775.000000 75.877 130.1783
1800.000000 75.919 132.7216
1825.000000 75.981 135.4073
1850.000000 76.073 138.1649
1875.000000 76.189 140.9510
1900.000000 76.328 143.7763
1925.000000 76.495 146.6169
1950.000000 76.697 149.4933
1975.000000 76.942 152.3833
2000.000000 77.237 155.1946
2030.000000 77.655 158.2425
2060.000000 78.114 160.6618
2090.000000 78.539 162.5239
2120.000000 78.937 164.4802
2140.000000 79.225 165.8071
2180.000000 79.853 168.0481
2200.000000 80.179 168.9125
2240.000000 80.830 170.1082
2270.000000 81.299 170.5944
2300.000000 81.741 170.8029
2330.000000 82.154 170.8026
2360.000000 82.538 170.6627
2400.000000 83.011 170.3225
2430.000000 83.335 169.9568
2470.000000 83.734 169.3444
2500.000000 84.011 168.8293
2540.000000 84.351 168.0853
2580.000000 84.660 167.2876
2620.000000 84.943 166.5084
2650.000000 85.143 165.9647
2690.000000 85.405 165.2813
2720.000000 85.600 164.7686
2760.000000 85.863 164.0907
2800.000000 86.149 163.3705
2850.000000 86.541 162.0980
2900.000000 86.924 160.1255
2950.000000 87.225 157.4653
3000.000000 87.409 154.3414
3040.000000 87.460 151.7444
3070.000000 87.441 149.8763
3110.000000 87.358 147.6299
3150.000000 87.235 145.6564
3200.000000 87.032 143.4665
3250.000000 86.767 141.6700
3300.000000 86.451 140.3717
3350.000000 86.099 139.6525
3400.000000 85.728 139.6037
3450.000000 85.358 140.3801
3500.000000 85.032 142.2114
3550.000000 84.856 145.3438
3600.000000 85.000 149.2736
3650.000000 85.574 152.5254
3700.000000 86.495 152.8956
3750.000000 87.336 148.8378
3820.000000 87.577 139.3695
3870.000000 87.138 133.9415
3950.000000 86.145 129.7501
4000.000000 85.595 128.9661
4060.000000 85.063 128.7816
4120.000000 84.630 128.8069
4180.000000 84.235 128.8670
4250.000000 83.782 129.1149
4310.000000 83.401 129.5678
4370.000000 83.043 130.2386
4440.000000 82.663 131.2456
4500.000000 82.377 132.2229
4550.000000 82.169 133.0444
4620.000000 81.921 134.0662
4680.000000 81.737 134.7236
4750.000000 81.524 135.1645
4820.000000 81.274 135.2668
4870.000000 81.050 135.2549
4940.000000 80.666 135.4493
5000.000000 80.292 136.0434
5080.000000 79.817 138.0059
5150.000000 79.552 139.9652
5220.000000 79.337 141.3675
5300.000000 79.111 142.6026
5380.000000 78.916 143.1652
5450.000000 78.681 142.5815
5520.000000 78.203 141.3211
5600.000000 77.237 141.4969
5700.000000 75.962 147.9897
5800.000000 75.520 157.5214
5900.000000 75.699 164.4149
6000.000000 75.994 168.4080
6080.000000 76.177 170.3539
6150.000000 76.281 171.5388
6220.000000 76.328 172.4429
6300.000000 76.314 173.3160
6400.000000 76.214 174.4681
6500.000000 76.071 175.7716
6600.000000 75.877 177.0256
