* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:02:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Classical AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.341 114.6896
20.600000 78.519 114.2319
20.900000 78.717 113.8782
21.200001 78.909 113.5940
21.400000 79.031 113.4012
21.799999 79.254 112.9300
22.000000 79.358 112.6320
22.400000 79.559 111.8996
22.700001 79.710 111.2485
23.000000 79.869 110.5454
23.299999 80.037 109.8329
23.600000 80.217 109.1490
24.000000 80.473 108.3119
24.299999 80.673 107.7267
24.700001 80.938 106.9497
25.000000 81.126 106.3389
25.400000 81.352 105.4843
25.799999 81.547 104.6281
26.200001 81.725 103.8220
26.500000 81.860 103.2539
26.900000 82.053 102.5060
27.200001 82.206 101.9181
27.600000 82.413 101.0762
28.000000 82.608 100.1974
28.500000 82.830 99.1412
29.000000 83.038 98.1814
29.500000 83.252 97.2288
30.000000 83.477 96.1396
30.400000 83.654 95.1430
30.700001 83.781 94.3565
31.100000 83.943 93.3241
31.500000 84.102 92.3689
32.000000 84.309 91.2882
32.500000 84.527 90.2389
33.000000 84.740 89.1232
33.500000 84.930 87.9417
34.000000 85.093 86.7615
34.500000 85.242 85.6171
35.000000 85.389 84.4735
35.500000 85.535 83.2869
36.000000 85.674 82.0702
36.500000 85.804 80.8833
37.000000 85.928 79.7749
37.500000 86.054 78.7495
38.200001 86.238 77.3882
38.700001 86.378 76.3979
39.500000 86.606 74.6787
40.000000 86.742 73.5403
40.599998 86.895 72.1876
41.200001 87.039 70.8744
41.799999 87.168 69.5834
42.500000 87.287 68.1823
43.099998 87.384 67.1563
43.700001 87.509 66.1737
44.400002 87.682 64.8054
45.000000 87.809 63.4911
45.500000 87.899 62.4788
46.200001 88.047 61.2268
46.799999 88.211 60.0026
47.500000 88.395 58.1336
48.200001 88.521 56.0652
48.700001 88.588 54.6642
49.400002 88.680 52.7853
50.000000 88.752 51.1368
50.799999 88.809 48.9768
51.500000 88.841 47.3038
52.200001 88.883 45.7725
53.000000 88.924 44.0267
53.799999 88.935 42.3102
54.500000 88.935 40.8404
55.200001 88.933 39.3377
56.000000 88.917 37.6283
57.000000 88.872 35.7171
58.000000 88.816 34.0453
59.000000 88.768 32.4000
60.000000 88.745 30.8379
60.799999 88.757 29.8323
61.500000 88.788 29.0818
62.200001 88.812 28.2999
63.000000 88.811 27.2935
64.000000 88.802 25.8329
65.000000 88.826 24.1264
66.000000 88.882 22.4933
67.000000 88.977 20.8665
68.000000 89.057 18.7584
69.000000 89.075 16.2899
70.000000 89.044 13.8641
71.000000 88.979 11.6134
72.000000 88.882 9.3418
73.000000 88.740 6.9977
74.000000 88.568 4.8064
75.000000 88.382 2.7929
76.199997 88.119 0.5529
77.500000 87.804 -1.5652
78.800003 87.473 -3.3424
80.000000 87.142 -4.7144
81.199997 86.811 -5.8725
82.500000 86.479 -6.9245
83.800003 86.148 -7.6784
85.000000 85.822 -8.1807
86.199997 85.501 -8.4819
87.500000 85.232 -8.5749
88.500000 85.054 -8.6614
90.000000 84.786 -8.6887
91.199997 84.593 -8.6327
92.500000 84.368 -8.6158
93.800003 84.104 -8.5940
95.000000 83.891 -8.3768
96.199997 83.723 -8.1240
97.500000 83.527 -7.9195
98.800003 83.312 -7.6346
100.000000 83.142 -7.3461
101.500000 82.968 -7.2572
103.000000 82.810 -7.1136
104.400002 82.666 -6.8460
106.000000 82.488 -6.6335
107.500000 82.302 -6.5523
109.000000 82.092 -6.4787
110.599998 81.851 -6.2977
112.000000 81.625 -6.0216
113.800003 81.303 -5.1282
115.000000 81.066 -4.2400
117.199997 80.623 -1.9676
118.000000 80.437 -0.7545
120.599998 79.936 3.5842
122.000000 79.941 5.0718
124.099998 80.028 8.1681
125.000000 80.074 9.6613
126.500000 80.188 11.9745
128.000000 80.346 13.8415
131.500000 80.807 17.1961
132.000000 80.893 17.4816
134.000000 81.246 18.2072
136.000000 81.533 18.9722
138.000000 81.761 19.3346
140.000000 81.957 19.0529
143.000000 82.198 18.6289
145.000000 82.319 18.3929
147.500000 82.508 17.5516
150.000000 82.654 16.7688
152.500000 82.842 15.8763
155.000000 82.966 15.0149
157.500000 82.962 14.2806
160.000000 83.023 13.1305
162.500000 83.007 12.1082
165.000000 82.938 12.3662
167.500000 82.949 12.0848
170.000000 82.936 10.2764
172.500000 82.849 8.7264
175.000000 82.804 7.7665
177.500000 82.763 7.2610
180.000000 82.672 6.5237
182.500000 82.548 5.4660
185.000000 82.415 4.3747
187.500000 82.259 3.7557
190.000000 82.070 3.4565
192.500000 81.870 3.0422
195.000000 81.703 2.8300
197.500000 81.601 2.6083
200.000000 81.504 2.8816
203.000000 81.344 3.8465
206.000000 81.258 3.9963
209.000000 81.188 3.7538
212.000000 81.072 3.4774
214.000000 80.967 3.3592
218.000000 80.725 3.1258
220.000000 80.611 3.0300
224.000000 80.390 2.8127
227.000000 80.216 2.7608
230.000000 80.035 2.7823
233.000000 79.833 2.9567
236.000000 79.602 3.4429
240.000000 79.309 4.6008
243.000000 79.120 5.2083
247.000000 78.926 6.4798
250.000000 78.824 7.5835
254.000000 78.727 8.8134
258.000000 78.684 9.8001
262.000000 78.654 10.5362
265.000000 78.604 10.8729
269.000000 78.495 11.2765
272.000000 78.391 11.5045
276.000000 78.240 12.0662
280.000000 78.070 12.7742
285.000000 77.863 13.6709
290.000000 77.616 14.4884
295.000000 77.386 15.7090
300.000000 77.222 17.4134
304.000000 77.106 18.7840
307.000000 77.008 19.8077
311.000000 76.877 21.2776
315.000000 76.788 22.8554
320.000000 76.752 25.0476
325.000000 76.795 27.1295
330.000000 76.887 28.4709
335.000000 76.986 29.2607
340.000000 77.030 29.8197
345.000000 77.037 30.4824
350.000000 77.054 30.8804
355.000000 77.043 30.9805
360.000000 76.955 30.9625
365.000000 76.794 31.4601
370.000000 76.630 32.5242
375.000000 76.514 33.8633
382.000000 76.393 35.5712
387.000000 76.348 36.7578
395.000000 76.332 38.7599
400.000000 76.338 39.7692
406.000000 76.339 40.8382
412.000000 76.306 41.8077
418.000000 76.279 42.7140
425.000000 76.245 43.6058
431.000000 76.182 44.6238
437.000000 76.106 45.9274
444.000000 76.017 47.6598
450.000000 75.948 49.3566
455.000000 75.962 50.7259
462.000000 76.070 52.2064
468.000000 76.136 52.8232
475.000000 76.116 53.2722
482.000000 76.064 54.1368
487.000000 76.059 54.8525
494.000000 76.064 55.7921
500.000000 76.040 56.6450
508.000000 76.008 58.0877
515.000000 75.985 59.3420
522.000000 75.971 60.5017
530.000000 75.960 61.8191
538.000000 75.961 63.1551
545.000000 75.965 64.2841
552.000000 75.976 65.4102
560.000000 76.005 66.5949
570.000000 76.044 67.9064
580.000000 76.062 69.1045
590.000000 76.057 70.3615
600.000000 76.062 71.6676
608.000000 76.086 72.7986
615.000000 76.109 73.7752
622.000000 76.123 74.7223
630.000000 76.140 75.7331
640.000000 76.169 76.9676
650.000000 76.209 78.1498
660.000000 76.249 79.1923
670.000000 76.261 80.2010
680.000000 76.265 81.2736
690.000000 76.271 82.4281
700.000000 76.275 83.6207
710.000000 76.293 84.8323
720.000000 76.328 86.0418
730.000000 76.357 87.2083
740.000000 76.399 88.3122
750.000000 76.448 89.3269
762.000000 76.499 90.4475
775.000000 76.541 91.5656
788.000000 76.572 92.7170
800.000000 76.595 93.8235
812.000000 76.621 95.0070
825.000000 76.662 96.3357
838.000000 76.720 97.5975
850.000000 76.790 98.6553
862.000000 76.857 99.5518
875.000000 76.914 100.3801
885.000000 76.952 100.9786
900.000000 76.991 101.8019
912.000000 77.000 102.5189
925.000000 77.013 103.4611
938.000000 77.045 104.3782
950.000000 77.068 105.0227
962.000000 77.073 105.6231
975.000000 77.065 106.3819
988.000000 77.058 107.3119
1000.000000 77.066 108.2097
1015.000000 77.090 109.2465
1030.000000 77.120 110.1543
1044.000000 77.148 110.9172
1060.000000 77.172 111.7365
1075.000000 77.188 112.3867
1090.000000 77.196 112.9676
1106.000000 77.177 113.5042
1120.000000 77.141 113.9614
1138.000000 77.071 114.5652
1150.000000 77.007 114.9879
1172.000000 76.859 116.0004
1180.000000 76.804 116.4571
1206.000000 76.636 118.1784
1220.000000 76.551 119.1944
1241.000000 76.429 120.7311
1250.000000 76.379 121.4327
1265.000000 76.296 122.6400
1280.000000 76.219 123.8361
1315.000000 76.046 126.7467
1320.000000 76.022 127.1931
1340.000000 75.933 129.0003
1360.000000 75.860 130.8057
1380.000000 75.797 132.5798
1400.000000 75.735 134.2763
1430.000000 75.606 136.8828
1450.000000 75.524 138.7635
1475.000000 75.439 141.0505
1500.000000 75.345 143.3473
1525.000000 75.254 145.7862
1550.000000 75.158 148.2137
1575.000000 75.043 150.6569
1600.000000 74.909 153.1972
1625.000000 74.722 155.7159
1650.000000 74.407 158.4689
1675.000000 73.952 162.6529
1700.000000 73.462 169.2583
1725.000000 73.250 -179.5353
1750.000000 74.298 -163.5634
1775.000000 76.661 -154.8354
1800.000000 78.619 -158.5434
1825.000000 79.438 -166.1544
1850.000000 79.506 -171.6717
1875.000000 79.323 -174.2043
1900.000000 79.129 -174.6959
1925.000000 79.000 -173.9424
1950.000000 78.953 -172.4762
1975.000000 78.976 -170.6301
2000.000000 79.062 -168.5213
2030.000000 79.274 -165.7670
2060.000000 79.624 -163.1975
2090.000000 80.048 -161.4416
2120.000000 80.451 -160.2419
2140.000000 80.716 -159.5499
2180.000000 81.252 -158.5730
2200.000000 81.512 -158.2986
2240.000000 82.009 -158.0057
2270.000000 82.368 -158.0037
2300.000000 82.712 -158.1923
2330.000000 83.038 -158.5435
2360.000000 83.347 -159.0373
2400.000000 83.725 -159.9349
2430.000000 83.974 -160.7825
2470.000000 84.254 -162.0262
2500.000000 84.439 -162.9193
2540.000000 84.684 -164.1472
2580.000000 84.902 -165.6802
2620.000000 85.056 -167.3262
2650.000000 85.133 -168.5245
2690.000000 85.199 -170.0193
2720.000000 85.229 -171.0482
2760.000000 85.253 -172.3015
2800.000000 85.263 -173.5239
2850.000000 85.219 -175.0905
2900.000000 85.087 -176.2755
2950.000000 84.918 -176.6102
3000.000000 84.809 -175.9954
3040.000000 84.843 -175.0110
3070.000000 84.973 -174.3062
3110.000000 85.272 -174.0494
3150.000000 85.599 -175.3269
3200.000000 85.764 -178.4769
3250.000000 85.697 178.7324
3300.000000 85.491 176.2700
3350.000000 85.149 174.7334
3400.000000 84.772 174.3793
3450.000000 84.395 175.3388
3500.000000 84.179 178.5986
3550.000000 84.571 -176.7917
3600.000000 85.545 -175.7603
3650.000000 86.403 -179.9110
3700.000000 86.723 173.4864
3750.000000 86.534 167.3961
3820.000000 85.901 161.7141
3870.000000 85.405 159.0183
3950.000000 84.587 156.2207
4000.000000 84.092 155.4592
4060.000000 83.571 155.2708
4120.000000 83.144 155.4583
4180.000000 82.804 155.7372
4250.000000 82.478 155.8595
4310.000000 82.201 155.7846
4370.000000 81.919 155.9039
4440.000000 81.650 156.3280
4500.000000 81.483 156.5145
4550.000000 81.346 156.3380
4620.000000 81.103 155.7379
4680.000000 80.846 155.2072
4750.000000 80.503 154.8177
4820.000000 80.134 154.8448
4870.000000 79.874 155.1836
4940.000000 79.546 156.0529
5000.000000 79.309 157.0740
5080.000000 79.080 158.7559
5150.000000 78.969 160.7304
5220.000000 79.172 163.2313
5300.000000 79.776 163.0629
5380.000000 80.214 158.6456
5450.000000 80.111 153.0176
5520.000000 79.478 148.4769
5600.000000 78.493 147.2486
5700.000000 77.674 149.3380
5800.000000 77.275 151.1710
5900.000000 77.020 152.3541
6000.000000 76.852 153.1168
6080.000000 76.764 153.2525
6150.000000 76.688 152.9476
6220.000000 76.588 152.3386
6300.000000 76.428 151.4453
6400.000000 76.159 150.2582
6500.000000 75.806 149.1621
