* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:57:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Elec ANC Off) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.522 114.6257
20.600000 81.677 114.1278
20.900000 81.856 113.5669
21.200001 82.045 112.9478
21.400000 82.173 112.4973
21.799999 82.428 111.5308
22.000000 82.552 111.0392
22.400000 82.794 110.1114
22.700001 82.973 109.5061
23.000000 83.152 108.9865
23.299999 83.336 108.5260
23.600000 83.526 108.0761
24.000000 83.783 107.4045
24.299999 83.972 106.8071
24.700001 84.208 105.8886
25.000000 84.371 105.1456
25.400000 84.574 104.1540
25.799999 84.771 103.2149
26.200001 84.972 102.3349
26.500000 85.129 101.6940
26.900000 85.343 100.8346
27.200001 85.505 100.1748
27.600000 85.718 99.2723
28.000000 85.926 98.3468
28.500000 86.178 97.1617
29.000000 86.419 95.9638
29.500000 86.651 94.7957
30.000000 86.883 93.6715
30.400000 87.077 92.7596
30.700001 87.227 92.0303
31.100000 87.426 90.9693
31.500000 87.617 89.8213
32.000000 87.835 88.3570
32.500000 88.038 86.9624
33.000000 88.238 85.6446
33.500000 88.435 84.3307
34.000000 88.618 82.9836
34.500000 88.782 81.6375
35.000000 88.939 80.3222
35.500000 89.100 79.0044
36.000000 89.267 77.6401
36.500000 89.431 76.2502
37.000000 89.590 74.9009
37.500000 89.744 73.6208
38.200001 89.950 71.8736
38.700001 90.075 70.6155
39.500000 90.245 68.6026
40.000000 90.353 67.3017
40.599998 90.497 65.5919
41.200001 90.641 63.7401
41.799999 90.768 61.9425
42.500000 90.900 60.1656
43.099998 91.018 58.8924
43.700001 91.144 57.6322
44.400002 91.274 55.9463
45.000000 91.346 54.3826
45.500000 91.381 53.1618
46.200001 91.431 51.7065
46.799999 91.501 50.5462
47.500000 91.591 49.0557
48.200001 91.654 47.5006
48.700001 91.684 46.4873
49.400002 91.729 45.2530
50.000000 91.782 44.2856
50.799999 91.865 42.9987
51.500000 91.937 41.8821
52.200001 92.007 40.8832
53.000000 92.112 39.9281
53.799999 92.257 38.9132
54.500000 92.395 37.7832
55.200001 92.523 36.4899
56.000000 92.667 34.9191
57.000000 92.838 32.8184
58.000000 92.978 30.7070
59.000000 93.109 28.6463
60.000000 93.227 26.5505
60.799999 93.307 24.9374
61.500000 93.381 23.5749
62.200001 93.461 22.2085
63.000000 93.559 20.6461
64.000000 93.702 18.6980
65.000000 93.869 16.6676
66.000000 94.062 14.4766
67.000000 94.265 12.0543
68.000000 94.452 9.4030
69.000000 94.610 6.4670
70.000000 94.740 3.2418
71.000000 94.855 -0.2198
72.000000 94.938 -3.9516
73.000000 94.959 -7.8586
74.000000 94.925 -11.8190
75.000000 94.836 -15.8031
76.199997 94.647 -20.5362
77.500000 94.344 -25.4835
78.800003 93.964 -30.1104
80.000000 93.550 -34.0164
81.199997 93.096 -37.4961
82.500000 92.584 -40.7674
83.800003 92.043 -43.5433
85.000000 91.533 -45.7771
86.199997 91.032 -47.6974
87.500000 90.508 -49.3858
88.500000 90.113 -50.4864
90.000000 89.539 -51.9089
91.199997 89.094 -52.8847
92.500000 88.614 -53.7840
93.800003 88.149 -54.6353
95.000000 87.727 -55.3389
96.199997 87.293 -55.8899
97.500000 86.804 -56.4059
98.800003 86.309 -56.7643
100.000000 85.850 -56.7905
101.500000 85.266 -56.4201
103.000000 84.686 -55.6627
104.400002 84.175 -54.5795
106.000000 83.641 -52.9452
107.500000 83.196 -51.0602
109.000000 82.828 -48.9807
110.599998 82.521 -46.7253
112.000000 82.306 -44.7703
113.800003 82.075 -42.4502
115.000000 81.945 -41.0489
117.199997 81.719 -38.6122
118.000000 81.636 -37.8054
120.599998 81.416 -35.2525
122.000000 81.323 -33.8421
124.099998 81.196 -31.5615
125.000000 81.155 -30.5077
126.500000 81.117 -28.8564
128.000000 81.124 -27.4531
131.500000 81.229 -24.5163
132.000000 81.250 -24.1852
134.000000 81.358 -23.1194
136.000000 81.492 -22.2096
138.000000 81.608 -21.3896
140.000000 81.708 -20.9014
143.000000 81.861 -20.6943
145.000000 81.942 -20.8516
147.500000 81.993 -21.1718
150.000000 82.011 -21.3589
152.500000 81.993 -21.6590
155.000000 81.994 -21.9467
157.500000 81.983 -22.1735
160.000000 81.945 -22.7099
162.500000 81.949 -23.2619
165.000000 81.943 -23.7944
167.500000 81.918 -24.2695
170.000000 81.850 -24.7580
172.500000 81.754 -25.3358
175.000000 81.643 -26.0324
177.500000 81.540 -26.8465
180.000000 81.426 -27.4100
182.500000 81.265 -27.7800
185.000000 81.095 -28.0499
187.500000 80.907 -28.3570
190.000000 80.734 -28.4894
192.500000 80.586 -28.4381
195.000000 80.461 -28.4061
197.500000 80.338 -28.5528
200.000000 80.197 -28.7864
203.000000 80.005 -29.0887
206.000000 79.799 -29.2477
209.000000 79.582 -29.3114
212.000000 79.354 -29.3633
214.000000 79.195 -29.3292
218.000000 78.884 -29.0804
220.000000 78.733 -28.8526
224.000000 78.434 -28.1442
227.000000 78.213 -27.5961
230.000000 78.003 -26.8959
233.000000 77.815 -25.9546
236.000000 77.661 -24.9763
240.000000 77.517 -24.1207
243.000000 77.404 -23.9083
247.000000 77.165 -23.7295
250.000000 76.951 -23.2607
254.000000 76.684 -22.1364
258.000000 76.450 -20.8491
262.000000 76.241 -19.6744
265.000000 76.089 -18.8655
269.000000 75.886 -17.7568
272.000000 75.742 -16.8203
276.000000 75.565 -15.5155
280.000000 75.393 -14.1761
285.000000 75.184 -12.4834
290.000000 75.014 -10.7280
295.000000 74.876 -9.0894
300.000000 74.739 -7.7142
304.000000 74.600 -6.6671
307.000000 74.477 -5.8194
311.000000 74.298 -4.6057
315.000000 74.108 -3.1648
320.000000 73.886 -0.8007
325.000000 73.744 2.0911
330.000000 73.733 5.0447
335.000000 73.819 7.4956
340.000000 73.924 9.2917
345.000000 74.025 10.8630
350.000000 74.161 12.2397
355.000000 74.328 12.8980
360.000000 74.405 12.6845
365.000000 74.327 12.4042
370.000000 74.163 12.6331
375.000000 73.989 13.3191
382.000000 73.785 14.8026
387.000000 73.653 16.0538
395.000000 73.440 18.2963
400.000000 73.322 19.8851
406.000000 73.218 21.8708
412.000000 73.154 23.8175
418.000000 73.109 25.6077
425.000000 73.062 27.5732
431.000000 73.012 29.2726
437.000000 72.948 30.8777
444.000000 72.849 32.9274
450.000000 72.771 35.2930
455.000000 72.780 37.7256
462.000000 72.973 40.7373
468.000000 73.174 42.0954
475.000000 73.302 43.0544
482.000000 73.354 44.1554
487.000000 73.382 45.0291
494.000000 73.410 46.2284
500.000000 73.420 47.2504
508.000000 73.418 48.7462
515.000000 73.412 50.1545
522.000000 73.404 51.6072
530.000000 73.403 53.3249
538.000000 73.409 55.0649
545.000000 73.413 56.6331
552.000000 73.433 58.2612
560.000000 73.468 60.1132
570.000000 73.514 62.4354
580.000000 73.586 64.7280
590.000000 73.655 67.0485
600.000000 73.728 69.4426
608.000000 73.810 71.3261
615.000000 73.892 72.9503
622.000000 73.983 74.5555
630.000000 74.098 76.3671
640.000000 74.259 78.5255
650.000000 74.431 80.5811
660.000000 74.611 82.5889
670.000000 74.807 84.5233
680.000000 75.017 86.3482
690.000000 75.236 88.0389
700.000000 75.457 89.5635
710.000000 75.673 90.9637
720.000000 75.888 92.2895
730.000000 76.103 93.5172
740.000000 76.315 94.6451
750.000000 76.527 95.6910
762.000000 76.777 96.8346
775.000000 77.037 97.9237
788.000000 77.280 98.8528
800.000000 77.495 99.6169
812.000000 77.694 100.2829
825.000000 77.892 100.9591
838.000000 78.076 101.6526
850.000000 78.230 102.2818
862.000000 78.376 102.9342
875.000000 78.543 103.7102
885.000000 78.692 104.2778
900.000000 78.925 104.6967
912.000000 79.068 104.6705
925.000000 79.156 104.5863
938.000000 79.179 104.6459
950.000000 79.164 105.0153
962.000000 79.146 105.7193
975.000000 79.138 106.7319
988.000000 79.152 107.9344
1000.000000 79.188 109.1254
1015.000000 79.254 110.6604
1030.000000 79.343 112.2672
1044.000000 79.453 113.7363
1060.000000 79.604 115.3161
1075.000000 79.758 116.6913
1090.000000 79.924 117.9693
1106.000000 80.105 119.2151
1120.000000 80.263 120.1749
1138.000000 80.456 121.2922
1150.000000 80.579 121.9950
1172.000000 80.797 123.2660
1180.000000 80.874 123.7332
1206.000000 81.132 125.1493
1220.000000 81.269 125.7770
1241.000000 81.431 126.5842
1250.000000 81.487 126.9873
1265.000000 81.579 127.7757
1280.000000 81.681 128.6413
1315.000000 81.961 130.7149
1320.000000 82.005 130.9912
1340.000000 82.184 132.0225
1360.000000 82.361 132.9236
1380.000000 82.528 133.7150
1400.000000 82.676 134.4514
1430.000000 82.874 135.6409
1450.000000 83.004 136.4793
1475.000000 83.156 137.5314
1500.000000 83.301 138.6177
1525.000000 83.443 139.7470
1550.000000 83.590 140.9522
1575.000000 83.750 142.1943
1600.000000 83.930 143.3194
1625.000000 84.097 144.1522
1650.000000 84.206 144.9873
1675.000000 84.307 146.2652
1700.000000 84.450 147.6470
1725.000000 84.612 148.9230
1750.000000 84.774 150.1432
1775.000000 84.934 151.3547
1800.000000 85.089 152.5811
1825.000000 85.252 153.8515
1850.000000 85.433 155.1037
1875.000000 85.621 156.2560
1900.000000 85.808 157.3667
1925.000000 85.994 158.4895
1950.000000 86.183 159.6071
1975.000000 86.378 160.7008
2000.000000 86.580 161.7567
2030.000000 86.840 162.9259
2060.000000 87.103 163.8347
2090.000000 87.316 164.5112
2120.000000 87.490 165.5695
2140.000000 87.629 166.4624
2180.000000 87.961 168.1396
2200.000000 88.140 168.9113
2240.000000 88.518 170.2892
2270.000000 88.806 171.1510
2300.000000 89.094 171.9382
2330.000000 89.386 172.6797
2360.000000 89.685 173.3387
2400.000000 90.083 173.9888
2430.000000 90.378 174.3044
2470.000000 90.764 174.5411
2500.000000 91.042 174.5795
2540.000000 91.393 174.4918
2580.000000 91.715 174.2804
2620.000000 92.006 174.0326
2650.000000 92.206 173.8604
2690.000000 92.448 173.6664
2720.000000 92.609 173.6174
2760.000000 92.801 173.8623
2800.000000 93.013 174.7043
2850.000000 93.440 176.4642
2900.000000 94.126 177.5410
2950.000000 94.897 176.7860
3000.000000 95.576 174.5474
3040.000000 96.019 172.1873
3070.000000 96.298 170.2475
3110.000000 96.607 167.5713
3150.000000 96.866 164.9175
3200.000000 97.157 161.4555
3250.000000 97.392 157.5947
3300.000000 97.534 153.3634
3350.000000 97.567 148.8539
3400.000000 97.465 144.0458
3450.000000 97.190 138.8711
3500.000000 96.650 133.4890
3550.000000 95.685 128.8009
3600.000000 94.215 127.6143
3650.000000 92.690 134.7947
3700.000000 92.633 151.0717
3750.000000 94.490 159.9910
3820.000000 96.547 151.3423
3870.000000 96.670 141.1472
3950.000000 95.412 130.6760
4000.000000 94.385 128.8475
4060.000000 93.326 129.9692
4120.000000 92.571 133.0215
4180.000000 92.112 136.8111
4250.000000 91.901 141.2753
4310.000000 91.961 144.5151
4370.000000 92.173 146.6521
4440.000000 92.477 147.4525
4500.000000 92.673 146.8196
4550.000000 92.741 145.6119
4620.000000 92.661 143.3887
4680.000000 92.409 141.4481
4750.000000 91.909 139.7933
4820.000000 91.243 139.4817
4870.000000 90.722 140.3629
4940.000000 90.042 143.3889
5000.000000 89.636 147.4071
5080.000000 89.476 153.6151
5150.000000 89.730 158.3650
5220.000000 90.172 161.0378
5300.000000 90.676 161.8977
5380.000000 91.078 161.0367
5450.000000 91.270 159.0086
5520.000000 91.205 156.0332
5600.000000 90.699 152.8910
5700.000000 89.613 153.1874
5800.000000 88.830 158.7843
5900.000000 88.714 165.0100
6000.000000 88.957 169.2836
6080.000000 89.226 171.3610
6150.000000 89.465 172.4182
6220.000000 89.685 172.8573
6300.000000 89.889 172.7208
