* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:39:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Elec AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.349 122.1444
20.600000 78.512 121.5574
20.900000 78.700 121.0054
21.200001 78.900 120.5182
21.400000 79.037 120.2113
21.799999 79.319 119.5945
22.000000 79.460 119.2708
22.400000 79.738 118.5767
22.700001 79.940 118.0113
23.000000 80.137 117.4075
23.299999 80.329 116.7705
23.600000 80.518 116.1126
24.000000 80.766 115.2354
24.299999 80.951 114.6024
24.700001 81.198 113.8146
25.000000 81.384 113.2652
25.400000 81.632 112.5652
25.799999 81.875 111.8616
26.200001 82.110 111.1089
26.500000 82.281 110.4932
26.900000 82.500 109.5982
27.200001 82.660 108.8817
27.600000 82.871 107.8962
28.000000 83.081 106.9126
28.500000 83.346 105.7230
29.000000 83.609 104.5892
29.500000 83.863 103.5114
30.000000 84.109 102.4720
30.400000 84.310 101.6206
30.700001 84.466 100.9315
31.100000 84.676 99.9116
31.500000 84.881 98.7857
32.000000 85.112 97.3381
32.500000 85.314 95.9966
33.000000 85.493 94.8148
33.500000 85.656 93.7210
34.000000 85.808 92.6434
34.500000 85.966 91.5666
35.000000 86.163 90.4417
35.500000 86.409 89.1394
36.000000 86.668 87.6061
36.500000 86.878 86.0346
37.000000 87.012 84.7688
37.500000 87.096 83.9997
38.200001 87.233 83.3190
38.700001 87.374 82.5074
39.500000 87.644 80.2968
40.000000 87.845 78.7472
40.599998 88.152 77.0922
41.200001 88.500 75.5616
41.799999 88.797 73.9246
42.500000 88.988 71.8762
43.099998 89.048 70.1420
43.700001 89.094 68.4560
44.400002 89.207 66.5148
45.000000 89.360 64.9123
45.500000 89.505 63.6394
46.200001 89.690 61.8947
46.799999 89.805 60.3864
47.500000 89.901 58.5899
48.200001 89.986 56.6667
48.700001 90.040 55.1809
49.400002 90.093 53.0575
50.000000 90.128 51.3603
50.799999 90.204 49.3630
51.500000 90.310 47.7388
52.200001 90.411 46.1089
53.000000 90.454 44.3078
53.799999 90.426 42.6751
54.500000 90.401 41.1841
55.200001 90.381 39.5047
56.000000 90.358 37.7536
57.000000 90.383 36.1411
58.000000 90.400 34.5707
59.000000 90.351 33.2223
60.000000 90.378 32.0381
60.799999 90.471 30.9022
61.500000 90.570 29.8224
62.200001 90.660 28.8060
63.000000 90.751 27.8796
64.000000 90.912 26.8464
65.000000 91.116 25.3716
66.000000 91.317 23.5281
67.000000 91.526 21.4368
68.000000 91.737 18.9974
69.000000 91.933 16.1867
70.000000 92.088 13.0261
71.000000 92.184 9.6631
72.000000 92.236 6.2477
73.000000 92.254 2.7692
74.000000 92.224 -0.7908
75.000000 92.140 -4.3580
76.199997 91.968 -8.5395
77.500000 91.694 -12.7881
78.800003 91.348 -16.6847
80.000000 90.982 -19.9431
81.199997 90.588 -22.7949
82.500000 90.173 -25.4972
83.800003 89.758 -27.9373
85.000000 89.372 -29.8892
86.199997 88.984 -31.5841
87.500000 88.574 -33.2017
88.500000 88.261 -34.3812
90.000000 87.803 -35.9485
91.199997 87.459 -37.0419
92.500000 87.098 -38.1799
93.800003 86.722 -39.3023
95.000000 86.366 -40.1926
96.199997 86.001 -40.9683
97.500000 85.598 -41.7703
98.800003 85.218 -42.5109
100.000000 84.878 -42.9120
101.500000 84.386 -43.1603
103.000000 83.804 -43.5568
104.400002 83.259 -43.7548
106.000000 82.656 -43.2456
107.500000 82.106 -42.0244
109.000000 81.631 -40.1974
110.599998 81.230 -37.8961
112.000000 80.911 -35.8444
113.800003 80.542 -33.2544
115.000000 80.341 -31.5483
117.199997 80.060 -28.7444
118.000000 79.981 -27.8431
120.599998 79.826 -24.1987
122.000000 79.720 -21.8622
124.099998 79.664 -18.8674
125.000000 79.668 -17.7464
126.500000 79.695 -15.9674
128.000000 79.760 -14.2851
131.500000 80.003 -11.3007
132.000000 80.039 -11.0078
134.000000 80.186 -9.9328
136.000000 80.338 -8.9804
138.000000 80.496 -8.3529
140.000000 80.657 -8.1901
143.000000 80.824 -7.9768
145.000000 80.917 -7.6215
147.500000 81.112 -7.6216
150.000000 81.377 -8.7004
152.500000 81.462 -9.2482
155.000000 81.430 -9.5757
157.500000 81.344 -10.7746
160.000000 81.207 -12.5208
162.500000 81.282 -12.3951
165.000000 81.391 -12.2624
167.500000 81.441 -12.9750
170.000000 81.468 -13.7485
172.500000 81.446 -14.0045
175.000000 81.327 -14.4436
177.500000 81.262 -15.4946
180.000000 81.233 -17.0370
182.500000 80.944 -18.6710
185.000000 80.766 -19.2451
187.500000 80.691 -19.4165
190.000000 80.525 -20.4065
192.500000 80.367 -21.7291
195.000000 80.273 -22.3114
197.500000 80.173 -22.4274
200.000000 79.997 -22.9146
203.000000 79.764 -23.3133
206.000000 79.570 -23.1448
209.000000 79.323 -23.3776
212.000000 79.086 -23.8063
214.000000 78.919 -23.7861
218.000000 78.633 -23.0530
220.000000 78.528 -22.8774
224.000000 78.305 -23.1585
227.000000 78.111 -23.2509
230.000000 77.886 -23.2923
233.000000 77.668 -23.2884
236.000000 77.480 -23.5207
240.000000 77.331 -22.8445
243.000000 77.094 -22.2511
247.000000 76.634 -22.1291
250.000000 76.352 -21.6378
254.000000 76.063 -20.4129
258.000000 75.805 -19.1453
262.000000 75.548 -18.0540
265.000000 75.363 -17.1897
269.000000 75.119 -15.9937
272.000000 74.941 -15.0966
276.000000 74.705 -13.7707
280.000000 74.479 -12.2656
285.000000 74.240 -10.5147
290.000000 74.015 -8.8404
295.000000 73.857 -6.6565
300.000000 73.677 -4.9889
304.000000 73.538 -4.0576
307.000000 73.424 -3.1425
311.000000 73.228 -1.9085
315.000000 73.016 -0.4367
320.000000 72.763 2.0266
325.000000 72.626 4.9566
330.000000 72.623 7.7047
335.000000 72.694 9.9603
340.000000 72.726 11.7225
345.000000 72.741 13.3690
350.000000 72.818 14.5806
355.000000 72.890 14.7056
360.000000 72.841 14.9666
365.000000 72.696 15.5246
370.000000 72.537 16.5772
375.000000 72.387 17.9603
382.000000 72.192 19.7994
387.000000 72.051 21.1738
395.000000 71.896 24.0393
400.000000 71.789 26.3521
406.000000 71.709 28.5015
412.000000 71.685 30.2387
418.000000 71.630 31.9237
425.000000 71.554 34.1400
431.000000 71.513 36.1385
437.000000 71.437 38.1600
444.000000 71.354 40.5403
450.000000 71.355 42.9835
455.000000 71.442 45.3305
462.000000 71.655 47.9860
468.000000 71.820 49.1266
475.000000 71.913 49.9689
482.000000 71.899 51.1090
487.000000 71.884 52.1533
494.000000 71.882 53.7360
500.000000 71.886 55.0902
508.000000 71.881 56.8514
515.000000 71.875 58.3661
522.000000 71.873 59.9745
530.000000 71.876 61.9828
538.000000 71.898 64.0926
545.000000 71.917 65.8521
552.000000 71.935 67.5678
560.000000 71.966 69.5647
570.000000 72.021 72.0632
580.000000 72.094 74.6118
590.000000 72.183 77.2354
600.000000 72.287 79.8571
608.000000 72.386 81.8197
615.000000 72.476 83.5761
622.000000 72.569 85.3834
630.000000 72.691 87.3776
640.000000 72.863 89.6863
650.000000 73.049 92.0002
660.000000 73.249 94.2327
670.000000 73.471 96.4017
680.000000 73.701 98.3372
690.000000 73.932 100.1273
700.000000 74.169 101.8472
710.000000 74.410 103.4264
720.000000 74.646 104.8572
730.000000 74.891 106.2789
740.000000 75.137 107.5822
750.000000 75.377 108.7403
762.000000 75.662 109.9300
775.000000 75.957 111.0819
788.000000 76.233 112.0633
800.000000 76.474 112.8873
812.000000 76.704 113.6339
825.000000 76.940 114.4022
838.000000 77.165 115.1740
850.000000 77.367 115.8100
862.000000 77.561 116.3801
875.000000 77.762 116.9401
885.000000 77.918 117.2684
900.000000 78.128 117.4173
912.000000 78.243 117.4515
925.000000 78.318 117.5998
938.000000 78.363 118.0075
950.000000 78.399 118.6633
962.000000 78.440 119.5033
975.000000 78.498 120.5377
988.000000 78.576 121.6637
1000.000000 78.673 122.7922
1015.000000 78.841 124.2086
1030.000000 79.049 125.3723
1044.000000 79.256 126.1379
1060.000000 79.483 126.6814
1075.000000 79.667 126.9046
1090.000000 79.814 126.9364
1106.000000 79.924 126.8935
1120.000000 79.984 126.9095
1138.000000 80.023 127.1117
1150.000000 80.030 127.3438
1172.000000 80.024 127.9753
1180.000000 80.020 128.2898
1206.000000 80.016 129.4992
1220.000000 80.015 130.1201
1241.000000 79.977 131.1126
1250.000000 79.953 131.6508
1265.000000 79.918 132.6831
1280.000000 79.893 133.8116
1315.000000 79.868 136.6649
1320.000000 79.867 137.0894
1340.000000 79.871 138.8164
1360.000000 79.886 140.6157
1380.000000 79.911 142.4617
1400.000000 79.949 144.3392
1430.000000 80.023 147.1494
1450.000000 80.074 149.0469
1475.000000 80.139 151.4604
1500.000000 80.210 153.9774
1525.000000 80.296 156.6985
1550.000000 80.418 159.5663
1575.000000 80.586 162.4291
1600.000000 80.790 165.1096
1625.000000 80.987 167.5698
1650.000000 81.165 170.1823
1675.000000 81.375 172.9891
1700.000000 81.633 175.7375
1725.000000 81.920 178.3221
1750.000000 82.223 -179.2557
1775.000000 82.537 -176.9284
1800.000000 82.867 -174.6350
1825.000000 83.224 -172.4146
1850.000000 83.605 -170.3880
1875.000000 83.997 -168.5993
1900.000000 84.389 -167.0058
1925.000000 84.779 -165.5734
1950.000000 85.168 -164.2742
1975.000000 85.558 -163.0794
2000.000000 85.954 -162.0048
2030.000000 86.441 -160.9728
2060.000000 86.912 -160.4131
2090.000000 87.300 -160.1877
2120.000000 87.630 -159.6130
2140.000000 87.863 -159.0543
2180.000000 88.367 -157.9655
2200.000000 88.631 -157.5013
2240.000000 89.167 -156.8279
2270.000000 89.562 -156.5358
2300.000000 89.942 -156.3774
2330.000000 90.306 -156.3083
2360.000000 90.655 -156.3055
2400.000000 91.098 -156.3947
2430.000000 91.420 -156.5070
2470.000000 91.836 -156.7061
2500.000000 92.138 -156.8880
2540.000000 92.527 -157.1675
2580.000000 92.902 -157.4388
2620.000000 93.270 -157.6877
2650.000000 93.544 -157.8813
2690.000000 93.912 -158.1730
2720.000000 94.193 -158.4047
2760.000000 94.583 -158.7143
2800.000000 95.015 -159.1293
2850.000000 95.604 -160.2018
2900.000000 96.182 -162.1532
2950.000000 96.682 -164.8432
3000.000000 97.068 -167.9932
3040.000000 97.284 -170.6412
3070.000000 97.392 -172.5711
3110.000000 97.484 -174.9338
3150.000000 97.549 -177.0743
3200.000000 97.592 -179.6089
3250.000000 97.581 178.0588
3300.000000 97.514 176.0062
3350.000000 97.389 174.3513
3400.000000 97.212 173.3390
3450.000000 97.022 173.3149
3500.000000 96.895 174.4572
3550.000000 96.957 176.6801
3600.000000 97.351 179.2527
3650.000000 98.143 -179.1448
3700.000000 99.251 179.5257
3750.000000 100.258 173.7139
3820.000000 100.695 161.4685
3870.000000 100.366 153.8623
3950.000000 99.465 146.1115
4000.000000 98.919 143.1115
4060.000000 98.348 140.2849
4120.000000 97.827 137.6852
4180.000000 97.293 135.1742
4250.000000 96.617 132.5557
4310.000000 95.992 130.7325
4370.000000 95.338 129.3277
4440.000000 94.542 128.2086
4500.000000 93.837 127.7006
4550.000000 93.236 127.6134
4620.000000 92.378 128.0344
4680.000000 91.624 128.9451
4750.000000 90.721 130.8181
4820.000000 89.811 133.8459
4870.000000 89.187 136.9000
4940.000000 88.424 142.6565
5000.000000 87.969 148.7995
5080.000000 87.794 157.9997
5150.000000 88.091 164.8351
5220.000000 88.590 169.4167
5300.000000 89.233 172.3931
5380.000000 89.859 173.0212
5450.000000 90.250 171.5474
5520.000000 90.300 168.8834
5600.000000 89.857 167.0547
5700.000000 89.191 170.2984
5800.000000 89.235 175.7549
5900.000000 89.718 178.3947
6000.000000 90.171 178.2937
6080.000000 90.407 177.0798
