* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:01:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Elec AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.311 110.0180
20.600000 81.456 109.3719
20.900000 81.602 108.7350
21.200001 81.738 108.1893
21.400000 81.832 107.8630
21.799999 82.052 107.1593
22.000000 82.182 106.6956
22.400000 82.470 105.3724
22.700001 82.686 104.0158
23.000000 82.881 102.4628
23.299999 83.043 100.9135
23.600000 83.175 99.5887
24.000000 83.338 98.4445
24.299999 83.479 98.0826
24.700001 83.719 98.0213
25.000000 83.933 98.0330
25.400000 84.221 97.8220
25.799999 84.467 97.2569
26.200001 84.651 96.4424
26.500000 84.760 95.7651
26.900000 84.896 94.8425
27.200001 85.009 94.1303
27.600000 85.188 93.1147
28.000000 85.388 92.0144
28.500000 85.645 90.6045
29.000000 85.889 89.2827
29.500000 86.118 88.0715
30.000000 86.333 86.8801
30.400000 86.494 85.8863
30.700001 86.609 85.1127
31.100000 86.757 84.0575
31.500000 86.905 82.9893
32.000000 87.093 81.6398
32.500000 87.277 80.2730
33.000000 87.448 78.9110
33.500000 87.602 77.5910
34.000000 87.747 76.3181
34.500000 87.894 75.0464
35.000000 88.047 73.7181
35.500000 88.200 72.3251
36.000000 88.347 70.9257
36.500000 88.484 69.6011
37.000000 88.614 68.3939
37.500000 88.738 67.2821
38.200001 88.900 65.7692
38.700001 89.012 64.6513
39.500000 89.196 62.7759
40.000000 89.323 61.5784
40.599998 89.480 60.1465
41.200001 89.628 58.7297
41.799999 89.752 57.3278
42.500000 89.873 55.7167
43.099998 89.979 54.3615
43.700001 90.103 53.0320
44.400002 90.253 51.5464
45.000000 90.363 50.3658
45.500000 90.443 49.4049
46.200001 90.559 47.8634
46.799999 90.677 46.1897
47.500000 90.830 44.0016
48.200001 90.991 42.0401
48.700001 91.109 40.8679
49.400002 91.247 39.2585
50.000000 91.296 37.6532
50.799999 91.254 35.3014
51.500000 91.214 33.3797
52.200001 91.262 31.6105
53.000000 91.374 29.5500
53.799999 91.425 27.5109
54.500000 91.399 25.9241
55.200001 91.361 24.4986
56.000000 91.350 22.8949
57.000000 91.370 20.9291
58.000000 91.382 19.1602
59.000000 91.369 17.5010
60.000000 91.372 15.8999
60.799999 91.418 14.4815
61.500000 91.458 13.1340
62.200001 91.485 11.9162
63.000000 91.535 10.7648
64.000000 91.651 9.2589
65.000000 91.787 7.4286
66.000000 91.925 5.2875
67.000000 92.038 2.8109
68.000000 92.115 0.1044
69.000000 92.163 -2.7869
70.000000 92.179 -5.8527
71.000000 92.154 -9.0920
72.000000 92.083 -12.4326
73.000000 91.973 -15.7647
74.000000 91.818 -19.0379
75.000000 91.605 -22.1905
76.199997 91.289 -25.7848
77.500000 90.897 -29.3534
78.800003 90.462 -32.4097
80.000000 90.026 -34.8725
81.199997 89.585 -36.9901
82.500000 89.109 -38.8701
83.800003 88.611 -40.3183
85.000000 88.179 -41.3774
86.199997 87.802 -42.2720
87.500000 87.406 -43.0622
88.500000 87.084 -43.5111
90.000000 86.611 -43.9770
91.199997 86.268 -44.2913
92.500000 85.933 -44.4230
93.800003 85.624 -44.2397
95.000000 85.347 -44.0691
96.199997 85.056 -43.9549
97.500000 84.746 -43.8729
98.800003 84.448 -43.8546
100.000000 84.199 -43.6737
101.500000 83.921 -43.3022
103.000000 83.643 -43.1293
104.400002 83.389 -43.1222
106.000000 83.110 -43.2094
107.500000 82.858 -43.2427
109.000000 82.594 -43.0916
110.599998 82.272 -42.8676
112.000000 81.974 -42.6606
113.800003 81.566 -41.9568
115.000000 81.278 -41.1512
117.199997 80.794 -38.9722
118.000000 80.658 -37.6823
120.599998 80.284 -33.4088
122.000000 80.016 -32.0281
124.099998 79.816 -29.0420
125.000000 79.810 -27.6832
126.500000 79.863 -25.6377
128.000000 79.965 -23.6099
131.500000 80.315 -19.9425
132.000000 80.380 -19.6721
134.000000 80.605 -19.0469
136.000000 80.724 -18.6597
138.000000 80.858 -18.4817
140.000000 81.042 -18.4908
143.000000 81.204 -19.1576
145.000000 81.279 -19.6972
147.500000 81.289 -20.3771
150.000000 81.299 -20.8524
152.500000 81.405 -21.2405
155.000000 81.399 -22.2688
157.500000 81.297 -23.6065
160.000000 81.309 -24.5493
162.500000 81.361 -25.8196
165.000000 81.296 -27.1930
167.500000 81.161 -27.4549
170.000000 81.029 -27.0229
172.500000 80.929 -27.3825
175.000000 80.812 -28.3892
177.500000 80.640 -29.5048
180.000000 80.407 -30.2295
182.500000 80.171 -30.4861
185.000000 79.994 -30.9207
187.500000 79.846 -31.4535
190.000000 79.646 -31.6181
192.500000 79.402 -32.0787
195.000000 79.148 -32.5410
197.500000 78.883 -32.6995
200.000000 78.708 -31.8735
203.000000 78.568 -30.6649
206.000000 78.398 -30.4620
209.000000 78.248 -30.4880
212.000000 78.093 -30.0674
214.000000 77.983 -29.9465
218.000000 77.685 -30.2171
220.000000 77.524 -30.2869
224.000000 77.282 -30.1279
227.000000 77.063 -29.8989
230.000000 76.807 -29.6760
233.000000 76.571 -29.2539
236.000000 76.323 -28.8905
240.000000 75.948 -28.6205
243.000000 75.709 -26.8139
247.000000 75.491 -24.4217
250.000000 75.352 -23.0734
254.000000 75.225 -21.4457
258.000000 75.126 -20.2127
262.000000 75.025 -19.0661
265.000000 74.935 -18.4039
269.000000 74.783 -17.6715
272.000000 74.693 -17.2682
276.000000 74.547 -16.2913
280.000000 74.369 -14.9519
285.000000 74.111 -13.3122
290.000000 73.807 -12.1749
295.000000 73.512 -10.7667
300.000000 73.294 -8.8913
304.000000 73.190 -7.1913
307.000000 73.090 -5.7323
311.000000 72.960 -3.8358
315.000000 72.872 -2.0589
320.000000 72.828 0.5875
325.000000 72.873 3.2283
330.000000 72.959 5.0068
335.000000 73.006 6.2165
340.000000 73.061 7.2166
345.000000 73.113 8.3480
350.000000 73.143 9.1580
355.000000 73.109 9.4130
360.000000 72.985 9.6903
365.000000 72.822 10.8108
370.000000 72.691 12.1048
375.000000 72.602 13.4978
382.000000 72.490 16.1922
387.000000 72.454 17.9220
395.000000 72.471 20.1696
400.000000 72.519 21.7150
406.000000 72.573 23.3048
412.000000 72.568 24.6882
418.000000 72.568 25.8609
425.000000 72.586 27.1893
431.000000 72.543 28.3440
437.000000 72.475 29.5958
444.000000 72.380 31.3751
450.000000 72.339 33.4554
455.000000 72.395 35.2375
462.000000 72.554 36.9730
468.000000 72.653 37.9846
475.000000 72.682 39.1776
482.000000 72.675 40.0012
487.000000 72.656 40.3039
494.000000 72.576 41.3130
500.000000 72.535 42.6958
508.000000 72.534 44.6730
515.000000 72.510 46.1381
522.000000 72.486 47.7203
530.000000 72.474 49.5892
538.000000 72.484 51.4668
545.000000 72.513 52.9370
552.000000 72.552 54.5054
560.000000 72.583 56.4885
570.000000 72.629 58.8725
580.000000 72.677 61.1307
590.000000 72.729 63.4826
600.000000 72.832 65.9726
608.000000 72.918 68.0122
615.000000 72.999 69.7545
622.000000 73.092 71.4407
630.000000 73.212 73.2663
640.000000 73.391 75.4589
650.000000 73.597 77.5731
660.000000 73.810 79.6236
670.000000 74.022 81.5291
680.000000 74.243 83.3171
690.000000 74.471 85.0637
700.000000 74.697 86.7044
710.000000 74.940 88.2325
720.000000 75.207 89.6239
730.000000 75.475 90.9639
740.000000 75.746 92.0835
750.000000 76.016 93.0114
762.000000 76.329 93.9196
775.000000 76.645 94.6815
788.000000 76.927 95.2870
800.000000 77.172 95.8157
812.000000 77.413 96.3383
825.000000 77.671 96.8510
838.000000 77.922 97.2389
850.000000 78.156 97.4504
862.000000 78.370 97.5412
875.000000 78.566 97.5609
885.000000 78.700 97.5174
900.000000 78.869 97.3610
912.000000 78.970 97.3139
925.000000 79.075 97.4410
938.000000 79.199 97.5603
950.000000 79.300 97.5171
962.000000 79.369 97.4661
975.000000 79.418 97.5937
988.000000 79.466 97.8969
1000.000000 79.521 98.2247
1015.000000 79.597 98.5624
1030.000000 79.670 98.8719
1044.000000 79.740 99.1411
1060.000000 79.818 99.4102
1075.000000 79.880 99.6116
1090.000000 79.922 99.7972
1106.000000 79.943 99.9792
1120.000000 79.946 100.1187
1138.000000 79.926 100.3051
1150.000000 79.891 100.5208
1172.000000 79.798 101.2528
1180.000000 79.763 101.6122
1206.000000 79.664 103.0346
1220.000000 79.622 103.9135
1241.000000 79.561 105.2964
1250.000000 79.536 105.9326
1265.000000 79.501 107.0716
1280.000000 79.475 108.2467
1315.000000 79.420 111.1404
1320.000000 79.415 111.5804
1340.000000 79.404 113.3778
1360.000000 79.407 115.2072
1380.000000 79.424 117.0199
1400.000000 79.447 118.8021
1430.000000 79.464 121.5805
1450.000000 79.486 123.5919
1475.000000 79.536 126.0859
1500.000000 79.585 128.6314
1525.000000 79.643 131.2985
1550.000000 79.713 134.0142
1575.000000 79.781 136.7062
1600.000000 79.838 139.3354
1625.000000 79.849 141.9346
1650.000000 79.742 144.8331
1675.000000 79.508 149.1324
1700.000000 79.270 155.8978
1725.000000 79.369 167.1987
1750.000000 80.784 -177.1586
1775.000000 83.444 -169.2028
1800.000000 85.634 -173.6013
1825.000000 86.690 178.1072
1850.000000 87.021 171.7454
1875.000000 87.112 168.0846
1900.000000 87.178 166.1872
1925.000000 87.278 165.3057
1950.000000 87.424 164.9639
1975.000000 87.599 164.9102
2000.000000 87.797 165.0957
2030.000000 88.085 165.6004
2060.000000 88.453 166.0638
2090.000000 88.845 165.9458
2120.000000 89.181 165.5401
2140.000000 89.390 165.3310
2180.000000 89.802 164.8932
2200.000000 89.997 164.6339
2240.000000 90.374 164.1824
2270.000000 90.657 163.8563
2300.000000 90.937 163.4749
2330.000000 91.212 163.0373
2360.000000 91.482 162.5402
2400.000000 91.830 161.7540
2430.000000 92.075 161.0845
2470.000000 92.373 160.1883
2500.000000 92.585 159.6013
2540.000000 92.877 158.7798
2580.000000 93.157 157.6492
2620.000000 93.391 156.3890
2650.000000 93.538 155.4733
2690.000000 93.709 154.3468
2720.000000 93.823 153.5837
2760.000000 93.970 152.6584
2800.000000 94.112 151.7175
2850.000000 94.239 150.4893
2900.000000 94.289 149.6533
2950.000000 94.321 149.6336
3000.000000 94.426 150.5133
3040.000000 94.637 151.6104
3070.000000 94.900 152.3486
3110.000000 95.383 152.6747
3150.000000 95.901 151.4879
3200.000000 96.291 148.3405
3250.000000 96.444 145.4461
3300.000000 96.474 142.9460
3350.000000 96.372 141.2684
3400.000000 96.228 140.5348
3450.000000 96.090 141.0733
3500.000000 96.123 143.8230
3550.000000 96.752 147.6493
3600.000000 97.939 147.8358
3650.000000 98.987 142.8976
3700.000000 99.468 135.3255
3750.000000 99.417 127.9941
3820.000000 98.960 120.5360
3870.000000 98.566 116.5927
3950.000000 97.831 111.5213
4000.000000 97.351 109.3593
4060.000000 96.815 107.5884
4120.000000 96.313 106.1074
4180.000000 95.844 104.7458
4250.000000 95.313 103.2890
4310.000000 94.798 102.0978
4370.000000 94.228 101.3681
4440.000000 93.556 101.0403
4500.000000 92.966 100.6366
4550.000000 92.438 100.2320
4620.000000 91.595 100.1385
4680.000000 90.781 101.0393
4750.000000 89.749 103.5442
4820.000000 88.709 108.0275
4870.000000 88.042 112.6193
4940.000000 87.325 120.6265
5000.000000 87.005 128.4249
5080.000000 87.081 139.1569
5150.000000 87.558 147.9164
5220.000000 88.525 155.4089
5300.000000 90.004 158.7821
5380.000000 91.215 156.3597
5450.000000 91.693 151.4937
5520.000000 91.584 147.1584
5600.000000 91.173 145.8691
5700.000000 90.972 147.2493
5800.000000 91.008 147.6912
5900.000000 91.052 147.5879
6000.000000 91.060 147.0977
6080.000000 91.025 146.1277
6150.000000 90.950 145.0838
6220.000000 90.818 144.0414
6300.000000 90.574 142.7827
