* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:51:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz A Gener) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.516 126.9407
20.600000 79.702 126.1163
20.900000 79.905 125.2212
21.200001 80.113 124.3179
21.400000 80.257 123.7002
21.799999 80.558 122.3885
22.000000 80.711 121.6881
22.400000 81.007 120.2285
22.700001 81.214 119.1333
23.000000 81.409 118.0801
23.299999 81.598 117.0800
23.600000 81.787 116.1118
24.000000 82.043 114.7951
24.299999 82.237 113.7354
24.700001 82.489 112.1964
25.000000 82.664 110.9691
25.400000 82.874 109.3062
25.799999 83.061 107.6943
26.200001 83.234 106.1802
26.500000 83.365 105.1020
26.900000 83.547 103.6960
27.200001 83.691 102.6280
27.600000 83.888 101.1482
28.000000 84.078 99.6032
28.500000 84.288 97.6490
29.000000 84.454 95.7874
29.500000 84.579 94.0968
30.000000 84.680 92.5520
30.400000 84.755 91.3574
30.700001 84.810 90.4536
31.100000 84.881 89.2207
31.500000 84.947 87.9634
32.000000 85.017 86.4045
32.500000 85.072 84.9263
33.000000 85.116 83.5766
33.500000 85.163 82.3440
34.000000 85.223 81.1476
34.500000 85.289 79.8834
35.000000 85.335 78.5261
35.500000 85.333 77.1985
36.000000 85.282 76.1148
36.500000 85.219 75.4134
37.000000 85.197 75.0150
37.500000 85.248 74.6726
38.200001 85.406 73.9868
38.700001 85.539 73.4226
39.500000 85.757 72.5375
40.000000 85.888 71.7938
40.599998 86.005 70.4926
41.200001 86.056 68.9115
41.799999 86.062 67.4053
42.500000 86.064 65.9449
43.099998 86.061 64.9027
43.700001 86.044 64.0756
44.400002 86.053 63.3779
45.000000 86.126 62.7808
45.500000 86.214 62.1559
46.200001 86.315 61.2242
46.799999 86.346 60.6143
47.500000 86.335 60.1746
48.200001 86.320 59.7683
48.700001 86.329 59.3423
49.400002 86.369 58.5369
50.000000 86.409 57.8344
50.799999 86.453 57.1687
51.500000 86.486 56.6818
52.200001 86.496 56.0082
53.000000 86.478 55.1872
53.799999 86.500 54.5910
54.500000 86.564 54.1234
55.200001 86.613 53.6617
56.000000 86.632 53.2919
57.000000 86.667 52.7532
58.000000 86.713 51.7770
59.000000 86.762 51.0504
60.000000 86.843 50.8561
60.799999 86.902 50.8916
61.500000 86.951 50.9512
62.200001 87.023 50.9148
63.000000 87.147 50.6865
64.000000 87.364 50.1878
65.000000 87.593 49.5347
66.000000 87.805 48.8360
67.000000 88.032 47.8790
68.000000 88.253 46.5400
69.000000 88.465 45.0156
70.000000 88.666 43.1994
71.000000 88.829 41.1456
72.000000 88.960 38.9786
73.000000 89.048 36.6605
74.000000 89.086 34.2938
75.000000 89.091 31.9268
76.199997 89.047 29.1459
77.500000 88.944 26.3091
78.800003 88.787 23.6698
80.000000 88.602 21.4920
81.199997 88.394 19.5959
82.500000 88.152 17.8736
83.800003 87.900 16.4509
85.000000 87.674 15.3710
86.199997 87.469 14.4952
87.500000 87.265 13.6792
88.500000 87.113 13.1269
90.000000 86.894 12.4483
91.199997 86.730 11.9752
92.500000 86.568 11.4641
93.800003 86.424 10.9749
95.000000 86.297 10.4878
96.199997 86.170 9.9454
97.500000 86.031 9.3410
98.800003 85.889 8.7004
100.000000 85.746 8.0725
101.500000 85.552 7.2497
103.000000 85.335 6.3941
104.400002 85.106 5.6865
106.000000 84.808 5.0918
107.500000 84.502 4.7446
109.000000 84.187 4.6997
110.599998 83.857 5.0326
112.000000 83.582 5.5493
113.800003 83.261 6.4151
115.000000 83.063 7.0639
117.199997 82.706 8.4054
118.000000 82.578 8.9530
120.599998 82.203 10.9600
122.000000 82.057 12.2549
124.099998 81.876 14.3897
125.000000 81.812 15.3247
126.500000 81.729 16.8927
128.000000 81.676 18.4290
131.500000 81.629 21.7061
132.000000 81.629 22.1227
134.000000 81.646 23.6729
136.000000 81.680 25.1162
138.000000 81.725 26.4312
140.000000 81.775 27.6569
143.000000 81.860 29.3486
145.000000 81.924 30.3542
147.500000 82.008 31.5373
150.000000 82.107 32.5637
152.500000 82.216 33.5258
155.000000 82.320 34.4299
157.500000 82.424 35.2367
160.000000 82.536 35.9263
162.500000 82.655 36.5771
165.000000 82.774 37.1190
167.500000 82.891 37.5165
170.000000 83.008 37.8310
172.500000 83.119 38.0669
175.000000 83.221 38.1654
177.500000 83.313 38.1977
180.000000 83.397 38.2335
182.500000 83.486 38.1969
185.000000 83.563 38.0794
187.500000 83.622 37.9491
190.000000 83.669 37.7806
192.500000 83.701 37.5952
195.000000 83.722 37.4575
197.500000 83.739 37.3950
200.000000 83.756 37.3853
203.000000 83.773 37.3852
206.000000 83.785 37.4090
209.000000 83.801 37.5167
212.000000 83.825 37.6564
214.000000 83.847 37.7202
218.000000 83.900 37.7313
220.000000 83.926 37.6704
224.000000 83.966 37.4448
227.000000 83.988 37.2612
230.000000 84.006 37.1113
233.000000 84.017 36.9240
236.000000 84.026 36.6803
240.000000 84.024 36.2667
243.000000 83.991 35.7877
247.000000 83.898 35.2425
250.000000 83.804 35.0508
254.000000 83.681 35.1703
258.000000 83.592 35.5055
262.000000 83.526 35.8497
265.000000 83.483 36.0950
269.000000 83.432 36.3876
272.000000 83.397 36.5695
276.000000 83.350 36.7762
280.000000 83.304 36.9666
285.000000 83.241 37.1892
290.000000 83.167 37.4360
295.000000 83.084 37.7445
300.000000 83.002 38.0746
304.000000 82.953 38.2826
307.000000 82.909 38.3660
311.000000 82.815 38.4649
315.000000 82.683 38.7100
320.000000 82.500 39.5132
325.000000 82.364 40.9670
330.000000 82.336 42.5886
335.000000 82.396 43.6408
340.000000 82.444 44.0668
345.000000 82.440 44.4388
350.000000 82.440 45.0195
355.000000 82.479 45.3946
360.000000 82.498 45.2489
365.000000 82.447 44.9606
370.000000 82.341 44.8654
375.000000 82.215 44.9945
382.000000 82.030 45.5050
387.000000 81.900 46.0639
395.000000 81.698 47.1951
400.000000 81.580 48.0260
406.000000 81.453 49.1213
412.000000 81.344 50.2769
418.000000 81.255 51.4549
425.000000 81.161 52.7347
431.000000 81.076 53.7685
437.000000 80.982 54.8389
444.000000 80.860 56.2158
450.000000 80.755 57.7482
455.000000 80.704 59.3650
462.000000 80.746 61.6430
468.000000 80.843 62.9531
475.000000 80.918 63.8443
482.000000 80.937 64.6703
487.000000 80.939 65.3126
494.000000 80.935 66.1971
500.000000 80.919 66.9314
508.000000 80.882 67.9606
515.000000 80.842 68.9521
522.000000 80.801 70.0352
530.000000 80.758 71.3449
538.000000 80.721 72.6590
545.000000 80.694 73.8752
552.000000 80.674 75.1395
560.000000 80.657 76.6058
570.000000 80.649 78.4446
580.000000 80.657 80.2679
590.000000 80.676 82.0848
600.000000 80.708 83.9120
608.000000 80.741 85.3626
615.000000 80.774 86.6185
622.000000 80.814 87.8559
630.000000 80.870 89.2373
640.000000 80.949 90.9377
650.000000 81.037 92.5944
660.000000 81.134 94.2055
670.000000 81.249 95.7553
680.000000 81.378 97.1724
690.000000 81.507 98.4528
700.000000 81.633 99.6413
710.000000 81.760 100.7307
720.000000 81.884 101.7411
730.000000 82.013 102.7127
740.000000 82.142 103.5891
750.000000 82.263 104.3652
762.000000 82.401 105.2071
775.000000 82.544 106.0250
788.000000 82.671 106.7394
800.000000 82.775 107.3402
812.000000 82.868 107.8851
825.000000 82.954 108.4366
838.000000 83.024 109.0229
850.000000 83.079 109.5719
862.000000 83.133 110.1669
875.000000 83.206 110.7785
885.000000 83.270 111.1021
900.000000 83.335 111.3177
912.000000 83.344 111.4376
925.000000 83.316 111.6038
938.000000 83.244 111.9016
950.000000 83.154 112.4879
962.000000 83.070 113.3778
975.000000 83.004 114.5494
988.000000 82.964 115.8472
1000.000000 82.951 117.1345
1015.000000 82.977 118.8151
1030.000000 83.056 120.3555
1044.000000 83.161 121.5001
1060.000000 83.289 122.4587
1075.000000 83.397 123.0427
1090.000000 83.477 123.3588
1106.000000 83.516 123.5385
1120.000000 83.510 123.6952
1138.000000 83.458 124.0076
1150.000000 83.406 124.3182
1172.000000 83.291 125.1088
1180.000000 83.245 125.4719
1206.000000 83.107 126.8784
1220.000000 83.039 127.6151
1241.000000 82.898 128.7130
1250.000000 82.827 129.3005
1265.000000 82.711 130.4380
1280.000000 82.608 131.6940
1315.000000 82.407 134.8341
1320.000000 82.382 135.2941
1340.000000 82.285 137.1712
1360.000000 82.199 139.1376
1380.000000 82.130 141.1800
1400.000000 82.077 143.2646
1430.000000 82.017 146.3013
1450.000000 81.979 148.3282
1475.000000 81.932 150.9516
1500.000000 81.886 153.6910
1525.000000 81.850 156.6311
1550.000000 81.845 159.7210
1575.000000 81.885 162.8456
1600.000000 81.956 165.9161
1625.000000 82.048 169.0285
1650.000000 82.176 172.1299
1675.000000 82.338 175.1389
1700.000000 82.524 178.0408
1725.000000 82.729 -179.1860
1750.000000 82.952 -176.5001
1775.000000 83.190 -173.8916
1800.000000 83.444 -171.3547
1825.000000 83.724 -168.9118
1850.000000 84.030 -166.6540
1875.000000 84.354 -164.6365
1900.000000 84.683 -162.8442
1925.000000 85.011 -161.2395
1950.000000 85.337 -159.7776
1975.000000 85.666 -158.4393
2000.000000 86.001 -157.2358
2030.000000 86.413 -156.0650
2060.000000 86.810 -155.3768
2090.000000 87.127 -155.0483
2120.000000 87.380 -154.3799
2140.000000 87.558 -153.7559
2180.000000 87.952 -152.5338
2200.000000 88.161 -151.9962
2240.000000 88.585 -151.1636
2270.000000 88.898 -150.7430
2300.000000 89.198 -150.4404
2330.000000 89.485 -150.2059
2360.000000 89.760 -150.0322
2400.000000 90.108 -149.9045
2430.000000 90.356 -149.8837
2470.000000 90.675 -149.9298
2500.000000 90.905 -150.0045
2540.000000 91.202 -150.1616
2580.000000 91.489 -150.3694
2620.000000 91.767 -150.5723
2650.000000 91.975 -150.6934
2690.000000 92.259 -150.8626
2720.000000 92.479 -151.0328
2760.000000 92.785 -151.2981
2800.000000 93.124 -151.6386
2850.000000 93.601 -152.4885
2900.000000 94.075 -154.2213
2950.000000 94.469 -156.8113
3000.000000 94.746 -159.9033
3040.000000 94.870 -162.4920
3070.000000 94.908 -164.3602
3110.000000 94.905 -166.6204
3150.000000 94.869 -168.6327
3200.000000 94.785 -170.9445
3250.000000 94.647 -172.9554
3300.000000 94.464 -174.5424
3350.000000 94.252 -175.6234
3400.000000 94.029 -176.1040
3450.000000 93.813 -175.8788
3500.000000 93.640 -174.7647
3550.000000 93.619 -172.5435
3600.000000 93.918 -169.7124
3650.000000 94.637 -167.7241
3700.000000 95.684 -168.7294
3750.000000 96.625 -174.1927
3820.000000 96.969 174.3018
3870.000000 96.582 167.3468
3950.000000 95.650 160.7299
4000.000000 95.133 158.4625
4060.000000 94.625 156.4066
4120.000000 94.187 154.3616
4180.000000 93.755 152.2137
4250.000000 93.214 149.8225
4310.000000 92.717 148.0427
4370.000000 92.199 146.5350
4440.000000 91.574 145.1223
4500.000000 91.024 144.2288
4550.000000 90.557 143.7101
4620.000000 89.890 143.3471
4680.000000 89.303 143.4103
4750.000000 88.602 144.0246
4820.000000 87.893 145.4191
4870.000000 87.399 147.0379
4940.000000 86.781 150.3582
5000.000000 86.385 154.0323
5080.000000 86.164 159.8856
5150.000000 86.349 164.3094
5220.000000 86.707 166.9712
5300.000000 87.189 168.2548
5380.000000 87.674 167.5268
5450.000000 87.963 164.9339
5520.000000 87.924 161.1281
5600.000000 87.373 157.9695
5700.000000 86.542 159.7204
5800.000000 86.449 164.0422
5900.000000 86.852 165.7643
6000.000000 87.260 165.2027
6080.000000 87.464 163.9754
6150.000000 87.538 162.6304
6220.000000 87.517 161.2259
6300.000000 87.388 159.7726
6400.000000 87.101 158.5931
6500.000000 86.742 158.2811
6600.000000 86.314 158.3970
