* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:05:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz A Gener) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.595 107.2142
20.600000 82.783 105.7143
20.900000 82.987 104.0954
21.200001 83.180 102.5488
21.400000 83.300 101.5877
21.799999 83.521 99.8300
22.000000 83.623 99.0089
22.400000 83.810 97.3975
22.700001 83.935 96.1637
23.000000 84.045 94.8899
23.299999 84.144 93.5850
23.600000 84.238 92.2653
24.000000 84.366 90.5014
24.299999 84.466 89.1769
24.700001 84.601 87.4094
25.000000 84.698 86.0958
25.400000 84.813 84.3995
25.799999 84.909 82.8079
26.200001 84.989 81.3295
26.500000 85.043 80.2728
26.900000 85.107 78.8902
27.200001 85.146 77.8556
27.600000 85.185 76.4883
28.000000 85.208 75.1757
28.500000 85.228 73.6679
29.000000 85.257 72.2879
29.500000 85.301 70.9355
30.000000 85.346 69.5426
30.400000 85.372 68.4224
30.700001 85.383 67.6115
31.100000 85.391 66.6003
31.500000 85.397 65.6733
32.000000 85.409 64.5891
32.500000 85.424 63.5349
33.000000 85.433 62.5195
33.500000 85.435 61.6061
34.000000 85.437 60.8299
34.500000 85.448 60.1524
35.000000 85.464 59.5000
35.500000 85.477 58.8358
36.000000 85.482 58.1763
36.500000 85.482 57.5517
37.000000 85.484 56.9696
37.500000 85.492 56.4189
38.200001 85.516 55.6906
38.700001 85.544 55.2000
39.500000 85.606 54.4199
40.000000 85.647 53.9004
40.599998 85.687 53.2535
41.200001 85.712 52.6386
41.799999 85.728 52.1005
42.500000 85.748 51.5473
43.099998 85.770 51.0766
43.700001 85.794 50.5855
44.400002 85.827 50.0385
45.000000 85.870 49.6374
45.500000 85.923 49.3224
46.200001 86.010 48.7964
46.799999 86.073 48.2259
47.500000 86.119 47.5154
48.200001 86.155 46.8489
48.700001 86.190 46.3782
49.400002 86.247 45.6848
50.000000 86.289 45.0950
50.799999 86.322 44.4285
51.500000 86.341 43.9768
52.200001 86.366 43.5781
53.000000 86.411 43.0752
53.799999 86.460 42.4876
54.500000 86.489 41.9734
55.200001 86.511 41.5108
56.000000 86.542 41.0098
57.000000 86.593 40.3902
58.000000 86.650 39.9285
59.000000 86.727 39.6107
60.000000 86.817 39.1528
60.799999 86.881 38.7696
61.500000 86.945 38.5410
62.200001 87.027 38.3357
63.000000 87.132 38.0259
64.000000 87.279 37.5662
65.000000 87.463 36.9511
66.000000 87.656 36.0538
67.000000 87.841 34.9561
68.000000 88.026 33.6197
69.000000 88.194 32.0025
70.000000 88.326 30.2008
71.000000 88.424 28.2579
72.000000 88.488 26.1845
73.000000 88.515 24.0434
74.000000 88.505 21.8878
75.000000 88.460 19.7816
76.199997 88.366 17.4142
77.500000 88.212 15.0735
78.800003 88.014 13.0029
80.000000 87.811 11.3651
81.199997 87.593 9.9906
82.500000 87.349 8.7717
83.800003 87.115 7.8135
85.000000 86.907 7.1473
86.199997 86.704 6.6413
87.500000 86.505 6.2219
88.500000 86.370 6.0095
90.000000 86.197 5.8449
91.199997 86.081 5.6868
92.500000 85.972 5.4871
93.800003 85.879 5.2967
95.000000 85.802 5.0629
96.199997 85.727 4.7388
97.500000 85.651 4.3277
98.800003 85.577 3.8659
100.000000 85.506 3.3674
101.500000 85.402 2.6586
103.000000 85.281 1.9131
104.400002 85.155 1.1750
106.000000 84.986 0.2546
107.500000 84.798 -0.5895
109.000000 84.582 -1.3580
110.599998 84.315 -2.0347
112.000000 84.049 -2.4429
113.800003 83.671 -2.6357
115.000000 83.419 -2.4953
117.199997 82.983 -1.8403
118.000000 82.842 -1.5243
120.599998 82.410 0.2382
122.000000 82.147 1.9741
124.099998 81.863 4.6692
125.000000 81.785 5.7618
126.500000 81.696 7.4757
128.000000 81.654 9.0736
131.500000 81.669 12.3083
132.000000 81.680 12.7269
134.000000 81.726 14.2874
136.000000 81.774 15.5527
138.000000 81.837 16.6179
140.000000 81.902 17.6092
143.000000 81.984 18.9986
145.000000 82.046 19.8357
147.500000 82.127 20.8258
150.000000 82.212 21.6952
152.500000 82.314 22.4550
155.000000 82.414 23.1265
157.500000 82.507 23.7116
160.000000 82.619 24.1706
162.500000 82.733 24.5485
165.000000 82.833 24.8496
167.500000 82.925 24.9934
170.000000 83.021 25.0322
172.500000 83.112 25.0594
175.000000 83.191 25.0165
177.500000 83.265 24.9111
180.000000 83.330 24.7579
182.500000 83.375 24.4136
185.000000 83.405 24.0615
187.500000 83.417 23.7652
190.000000 83.407 23.4773
192.500000 83.387 23.2479
195.000000 83.353 23.1091
197.500000 83.310 23.1209
200.000000 83.276 23.3295
203.000000 83.268 23.6848
206.000000 83.290 23.9363
209.000000 83.323 23.9978
212.000000 83.352 23.9284
214.000000 83.364 23.8648
218.000000 83.373 23.6671
220.000000 83.372 23.5377
224.000000 83.356 23.2667
227.000000 83.333 23.0564
230.000000 83.301 22.8511
233.000000 83.252 22.6486
236.000000 83.189 22.4961
240.000000 83.081 22.4669
243.000000 82.977 22.6078
247.000000 82.853 23.0469
250.000000 82.784 23.4945
254.000000 82.719 24.2278
258.000000 82.687 24.9973
262.000000 82.684 25.6634
265.000000 82.694 26.0488
269.000000 82.714 26.3931
272.000000 82.726 26.5444
276.000000 82.730 26.6774
280.000000 82.715 26.7536
285.000000 82.677 26.8348
290.000000 82.616 26.9356
295.000000 82.534 27.0904
300.000000 82.444 27.3698
304.000000 82.375 27.7255
307.000000 82.315 28.0291
311.000000 82.219 28.5127
315.000000 82.120 29.2234
320.000000 82.035 30.5460
325.000000 82.035 32.0282
330.000000 82.107 33.1226
335.000000 82.187 33.7562
340.000000 82.242 34.2422
345.000000 82.294 34.7634
350.000000 82.377 35.2207
355.000000 82.468 35.2093
360.000000 82.496 34.7843
365.000000 82.449 34.4581
370.000000 82.369 34.4575
375.000000 82.287 34.7082
382.000000 82.195 35.3046
387.000000 82.147 35.7860
395.000000 82.092 36.6592
400.000000 82.072 37.2212
406.000000 82.061 37.7591
412.000000 82.047 38.1060
418.000000 82.019 38.3624
425.000000 81.967 38.7703
431.000000 81.899 39.1803
437.000000 81.814 39.6515
444.000000 81.702 40.4821
450.000000 81.620 41.6143
455.000000 81.606 42.7869
462.000000 81.686 44.0748
468.000000 81.763 44.4728
475.000000 81.785 44.5803
482.000000 81.752 44.7917
487.000000 81.712 45.0724
494.000000 81.646 45.5814
500.000000 81.589 46.1061
508.000000 81.519 46.9306
515.000000 81.463 47.7090
522.000000 81.410 48.5567
530.000000 81.354 49.5796
538.000000 81.308 50.6362
545.000000 81.278 51.6065
552.000000 81.255 52.6046
560.000000 81.240 53.7633
570.000000 81.235 55.1749
580.000000 81.232 56.4734
590.000000 81.216 57.8558
600.000000 81.218 59.4644
608.000000 81.243 60.7206
615.000000 81.278 61.7972
622.000000 81.321 62.8594
630.000000 81.377 64.0485
640.000000 81.463 65.5081
650.000000 81.573 66.8720
660.000000 81.693 68.0379
670.000000 81.806 69.0968
680.000000 81.919 70.1248
690.000000 82.038 71.1106
700.000000 82.160 72.0593
710.000000 82.287 72.9709
720.000000 82.426 73.8385
730.000000 82.579 74.5863
740.000000 82.741 75.1961
750.000000 82.901 75.6190
762.000000 83.077 75.9150
775.000000 83.247 76.0877
788.000000 83.393 76.1886
800.000000 83.507 76.2529
812.000000 83.603 76.3435
825.000000 83.704 76.5018
838.000000 83.812 76.6685
850.000000 83.916 76.7109
862.000000 84.006 76.6315
875.000000 84.078 76.4798
885.000000 84.119 76.3297
900.000000 84.154 76.0686
912.000000 84.148 75.9326
925.000000 84.125 75.9849
938.000000 84.120 76.1084
950.000000 84.117 76.0806
962.000000 84.085 76.0521
975.000000 84.023 76.2041
988.000000 83.961 76.5440
1000.000000 83.921 76.9494
1015.000000 83.884 77.4640
1030.000000 83.846 77.8993
1044.000000 83.812 78.2517
1060.000000 83.773 78.6596
1075.000000 83.730 79.0039
1090.000000 83.677 79.2789
1106.000000 83.604 79.5275
1120.000000 83.522 79.7419
1138.000000 83.390 80.0650
1150.000000 83.284 80.3640
1172.000000 83.064 81.1850
1180.000000 82.983 81.5830
1206.000000 82.732 83.1579
1220.000000 82.606 84.1331
1241.000000 82.424 85.6780
1250.000000 82.348 86.3881
1265.000000 82.230 87.6518
1280.000000 82.120 88.9738
1315.000000 81.882 92.3210
1320.000000 81.852 92.8335
1340.000000 81.744 94.9408
1360.000000 81.652 97.0821
1380.000000 81.576 99.1903
1400.000000 81.508 101.2426
1430.000000 81.388 104.3460
1450.000000 81.316 106.5924
1475.000000 81.250 109.4066
1500.000000 81.188 112.2519
1525.000000 81.136 115.1963
1550.000000 81.092 118.1841
1575.000000 81.044 121.2102
1600.000000 80.976 124.2955
1625.000000 80.863 127.5659
1650.000000 80.684 131.3890
1675.000000 80.461 136.2962
1700.000000 80.208 142.9172
1725.000000 80.193 153.9123
1750.000000 81.415 169.6547
1775.000000 83.933 178.3605
1800.000000 86.060 174.7374
1825.000000 87.080 167.0111
1850.000000 87.370 161.0353
1875.000000 87.408 157.6938
1900.000000 87.418 156.1073
1925.000000 87.461 155.5243
1950.000000 87.546 155.4738
1975.000000 87.660 155.7211
2000.000000 87.796 156.2066
2030.000000 88.003 157.0532
2060.000000 88.287 157.8468
2090.000000 88.601 158.0552
2120.000000 88.862 157.9838
2140.000000 89.019 158.0058
2180.000000 89.328 158.0324
2200.000000 89.471 157.9998
2240.000000 89.743 158.0035
2270.000000 89.948 158.0323
2300.000000 90.151 158.0275
2330.000000 90.350 157.9738
2360.000000 90.545 157.8647
2400.000000 90.796 157.6394
2430.000000 90.973 157.4070
2470.000000 91.179 157.0470
2500.000000 91.317 156.8268
2540.000000 91.519 156.5254
2580.000000 91.716 155.9264
2620.000000 91.867 155.1812
2650.000000 91.951 154.6557
2690.000000 92.038 154.0478
2720.000000 92.089 153.6688
2760.000000 92.149 153.2817
2800.000000 92.205 152.9465
2850.000000 92.242 152.4700
2900.000000 92.206 152.2997
2950.000000 92.148 152.9574
3000.000000 92.160 154.5062
3040.000000 92.294 156.0995
3070.000000 92.498 157.1791
3110.000000 92.896 157.8799
3150.000000 93.327 157.0263
3200.000000 93.617 154.3707
3250.000000 93.668 152.0728
3300.000000 93.590 150.1405
3350.000000 93.388 149.0848
3400.000000 93.156 149.1029
3450.000000 92.921 150.3573
3500.000000 92.854 153.9182
3550.000000 93.409 158.7737
3600.000000 94.533 159.8225
3650.000000 95.513 155.4947
3700.000000 95.936 148.6343
3750.000000 95.838 142.2302
3820.000000 95.321 136.0271
3870.000000 94.892 132.9308
3950.000000 94.135 129.5144
4000.000000 93.659 128.3987
4060.000000 93.150 127.7503
4120.000000 92.714 127.4226
4180.000000 92.332 127.1455
4250.000000 91.914 126.6171
4310.000000 91.518 126.0241
4370.000000 91.073 125.6748
4440.000000 90.544 125.6629
4500.000000 90.092 125.7032
4550.000000 89.683 125.7061
4620.000000 89.012 125.9562
4680.000000 88.350 126.8042
4750.000000 87.517 128.9499
4820.000000 86.688 132.6919
4870.000000 86.160 136.4406
4940.000000 85.607 143.0003
5000.000000 85.370 149.3749
5080.000000 85.429 157.9163
5150.000000 85.791 165.0708
5220.000000 86.631 171.6189
5300.000000 87.985 174.1123
5380.000000 89.066 170.7891
5450.000000 89.414 165.4362
5520.000000 89.156 161.0290
5600.000000 88.577 159.8990
5700.000000 88.233 161.5568
5800.000000 88.190 162.4113
5900.000000 88.158 162.4138
6000.000000 88.102 162.0141
6080.000000 88.032 161.3388
6150.000000 87.928 160.4702
6220.000000 87.762 159.4578
6300.000000 87.491 158.3177
6400.000000 87.043 157.1629
6500.000000 86.481 156.5111
6600.000000 85.815 156.8300
6700.000000 85.121 158.3520
6800.000000 84.489 160.7807
6900.000000 83.959 163.8519
7000.000000 83.546 167.2876
