* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:50:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz A Gentle) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.667 129.3746
20.600000 76.821 129.0266
20.900000 76.995 128.4465
21.200001 77.177 127.7007
21.400000 77.306 127.1609
21.799999 77.579 126.1104
22.000000 77.724 125.6449
22.400000 78.019 124.8778
22.700001 78.238 124.4218
23.000000 78.447 124.0146
23.299999 78.642 123.6036
23.600000 78.822 123.1500
24.000000 79.050 122.4455
24.299999 79.224 121.8315
24.700001 79.479 120.8854
25.000000 79.691 120.0755
25.400000 79.989 118.8910
25.799999 80.279 117.6897
26.200001 80.537 116.6326
26.500000 80.708 116.0119
26.900000 80.917 115.4192
27.200001 81.072 115.0791
27.600000 81.284 114.5968
28.000000 81.497 113.9318
28.500000 81.749 112.8059
29.000000 81.988 111.5202
29.500000 82.238 110.2219
30.000000 82.504 108.8876
30.400000 82.709 107.7703
30.700001 82.845 106.9375
31.100000 83.001 105.9097
31.500000 83.140 105.0208
32.000000 83.325 104.0027
32.500000 83.536 102.8351
33.000000 83.749 101.3950
33.500000 83.939 99.8434
34.000000 84.110 98.3951
34.500000 84.271 97.0870
35.000000 84.411 95.8618
35.500000 84.518 94.7790
36.000000 84.627 93.9345
36.500000 84.798 93.1755
37.000000 85.035 92.1508
37.500000 85.260 90.7833
38.200001 85.420 89.1815
38.700001 85.463 88.8950
39.500000 85.622 89.0235
40.000000 85.777 88.2955
40.599998 85.919 86.3469
41.200001 86.011 84.0994
41.799999 86.140 82.4128
42.500000 86.400 81.3502
43.099998 86.683 80.6847
43.700001 86.938 79.5866
44.400002 87.090 77.4977
45.000000 87.083 75.5674
45.500000 87.052 74.2907
46.200001 87.086 72.9640
46.799999 87.167 71.8734
47.500000 87.242 70.6559
48.200001 87.338 69.5729
48.700001 87.445 68.6101
49.400002 87.584 66.8966
50.000000 87.646 65.5966
50.799999 87.725 64.6979
51.500000 87.850 64.0516
52.200001 87.954 62.8110
53.000000 87.965 60.9192
53.799999 87.925 59.2150
54.500000 87.949 57.9871
55.200001 88.050 56.7130
56.000000 88.167 55.1728
57.000000 88.218 53.9924
58.000000 88.267 53.7104
59.000000 88.338 52.9773
60.000000 88.363 51.7358
60.799999 88.376 50.8293
61.500000 88.398 50.2050
62.200001 88.438 49.7574
63.000000 88.532 49.3659
64.000000 88.721 48.6771
65.000000 88.920 47.6995
66.000000 89.113 46.6526
67.000000 89.329 45.3232
68.000000 89.556 43.5235
69.000000 89.779 41.4526
70.000000 89.980 39.1958
71.000000 90.130 36.7077
72.000000 90.227 34.0328
73.000000 90.283 31.2727
74.000000 90.301 28.5037
75.000000 90.272 25.7351
76.199997 90.182 22.4591
77.500000 90.025 19.1276
78.800003 89.796 16.1396
80.000000 89.546 13.6039
81.199997 89.287 11.2187
82.500000 88.976 9.1160
83.800003 88.659 7.5195
85.000000 88.376 6.2365
86.199997 88.105 5.1541
87.500000 87.817 4.1933
88.500000 87.612 3.5715
90.000000 87.333 2.6927
91.199997 87.107 2.0631
92.500000 86.869 1.4165
93.800003 86.651 0.8471
95.000000 86.457 0.3896
96.199997 86.257 -0.0011
97.500000 86.048 -0.4212
98.800003 85.830 -0.9304
100.000000 85.611 -1.4361
101.500000 85.342 -1.9357
103.000000 85.071 -2.2996
104.400002 84.772 -2.6434
106.000000 84.383 -2.8643
107.500000 84.015 -2.5949
109.000000 83.656 -1.8104
110.599998 83.315 -0.5964
112.000000 83.051 0.6820
113.800003 82.749 2.5028
115.000000 82.571 3.6663
117.199997 82.310 5.7419
118.000000 82.232 6.4574
120.599998 82.013 9.4553
122.000000 81.934 11.4300
124.099998 81.871 14.1833
125.000000 81.868 15.3453
126.500000 81.890 17.2185
128.000000 81.943 18.9062
131.500000 82.165 22.1130
132.000000 82.203 22.5077
134.000000 82.355 23.8910
136.000000 82.515 25.0540
138.000000 82.683 26.1459
140.000000 82.859 27.1599
143.000000 83.120 28.0965
145.000000 83.269 28.6691
147.500000 83.429 29.0520
150.000000 83.556 28.9284
152.500000 83.737 29.2344
155.000000 83.969 29.7433
157.500000 84.197 30.0139
160.000000 84.447 30.3690
162.500000 84.569 29.9607
165.000000 84.643 29.4358
167.500000 84.760 29.1403
170.000000 84.913 28.7061
172.500000 85.066 28.0287
175.000000 85.170 27.4184
177.500000 85.235 26.7929
180.000000 85.281 26.0173
182.500000 85.360 24.9300
185.000000 85.418 23.8207
187.500000 85.445 23.0504
190.000000 85.482 22.3502
192.500000 85.454 21.7812
195.000000 85.405 21.1615
197.500000 85.375 20.4870
200.000000 85.359 20.0340
203.000000 85.325 19.4319
206.000000 85.257 18.8428
209.000000 85.218 18.4460
212.000000 85.183 18.1104
214.000000 85.148 17.8530
218.000000 85.076 17.2008
220.000000 85.055 16.7996
224.000000 85.013 15.9495
227.000000 84.944 15.3481
230.000000 84.865 14.8763
233.000000 84.794 14.4706
236.000000 84.744 14.1816
240.000000 84.591 13.7045
243.000000 84.433 13.0658
247.000000 84.263 12.3456
250.000000 84.113 12.2765
254.000000 83.923 12.4912
258.000000 83.774 12.7568
262.000000 83.647 13.0524
265.000000 83.547 13.2577
269.000000 83.418 13.5571
272.000000 83.325 13.8071
276.000000 83.191 14.1506
280.000000 83.065 14.5237
285.000000 82.930 15.0478
290.000000 82.797 15.7605
295.000000 82.682 16.7200
300.000000 82.597 17.4384
304.000000 82.528 17.7437
307.000000 82.467 17.8820
311.000000 82.357 18.1451
315.000000 82.207 18.7014
320.000000 82.019 20.0357
325.000000 81.921 21.8917
330.000000 81.957 23.6081
335.000000 82.053 24.5474
340.000000 82.098 25.0261
345.000000 82.120 25.6309
350.000000 82.180 26.0668
355.000000 82.238 25.8461
360.000000 82.244 25.3031
365.000000 82.161 24.9776
370.000000 82.018 25.0098
375.000000 81.880 25.3348
382.000000 81.720 25.9740
387.000000 81.611 26.6277
395.000000 81.431 28.0210
400.000000 81.334 28.9661
406.000000 81.249 30.0109
412.000000 81.160 30.9435
418.000000 81.072 31.9754
425.000000 81.015 33.0917
431.000000 80.962 34.0050
437.000000 80.884 35.0093
444.000000 80.779 36.4015
450.000000 80.704 37.8987
455.000000 80.688 39.4075
462.000000 80.785 41.3313
468.000000 80.910 42.2202
475.000000 80.993 42.7377
482.000000 81.014 43.3019
487.000000 81.019 43.7580
494.000000 81.018 44.3547
500.000000 80.999 44.8641
508.000000 80.954 45.6519
515.000000 80.909 46.4709
522.000000 80.868 47.3673
530.000000 80.827 48.4894
538.000000 80.790 49.6469
545.000000 80.767 50.6600
552.000000 80.749 51.6988
560.000000 80.734 52.9111
570.000000 80.731 54.4935
580.000000 80.738 56.0809
590.000000 80.754 57.6296
600.000000 80.787 59.2229
608.000000 80.822 60.5404
615.000000 80.857 61.6679
622.000000 80.897 62.7644
630.000000 80.951 63.9757
640.000000 81.030 65.4121
650.000000 81.119 66.8120
660.000000 81.218 68.2257
670.000000 81.332 69.5790
680.000000 81.458 70.7735
690.000000 81.587 71.8401
700.000000 81.715 72.8531
710.000000 81.841 73.7563
720.000000 81.967 74.5653
730.000000 82.092 75.3645
740.000000 82.216 76.0917
750.000000 82.336 76.6917
762.000000 82.475 77.3502
775.000000 82.618 77.9950
788.000000 82.752 78.4857
800.000000 82.860 78.8753
812.000000 82.952 79.2392
825.000000 83.038 79.5922
838.000000 83.113 79.9434
850.000000 83.175 80.3457
862.000000 83.236 80.7701
875.000000 83.311 81.1402
885.000000 83.368 81.3027
900.000000 83.431 81.2900
912.000000 83.448 81.2213
925.000000 83.429 81.2036
938.000000 83.365 81.3549
950.000000 83.283 81.7959
962.000000 83.206 82.5072
975.000000 83.146 83.4599
988.000000 83.111 84.5026
1000.000000 83.103 85.5402
1015.000000 83.130 86.9189
1030.000000 83.207 88.1779
1044.000000 83.311 89.0499
1060.000000 83.431 89.7002
1075.000000 83.522 90.0449
1090.000000 83.586 90.1589
1106.000000 83.611 90.1399
1120.000000 83.591 90.1414
1138.000000 83.526 90.2784
1150.000000 83.468 90.4762
1172.000000 83.343 91.1051
1180.000000 83.293 91.4117
1206.000000 83.140 92.6000
1220.000000 83.067 93.2210
1241.000000 82.919 94.1860
1250.000000 82.844 94.7312
1265.000000 82.727 95.7954
1280.000000 82.626 96.9696
1315.000000 82.419 99.8961
1320.000000 82.392 100.3293
1340.000000 82.296 102.1147
1360.000000 82.214 103.9767
1380.000000 82.139 105.9023
1400.000000 82.084 107.8725
1430.000000 82.030 110.8182
1450.000000 81.987 112.7816
1475.000000 81.939 115.3025
1500.000000 81.906 117.9685
1525.000000 81.879 120.8347
1550.000000 81.887 123.8824
1575.000000 81.951 126.9504
1600.000000 82.046 129.8368
1625.000000 82.149 132.5593
1650.000000 82.254 135.3928
1675.000000 82.385 138.3745
1700.000000 82.558 141.2918
1725.000000 82.772 144.0778
1750.000000 83.002 146.7180
1775.000000 83.237 149.2398
1800.000000 83.493 151.7203
1825.000000 83.780 154.1398
1850.000000 84.087 156.3564
1875.000000 84.406 158.3270
1900.000000 84.740 160.1204
1925.000000 85.074 161.7412
1950.000000 85.397 163.1880
1975.000000 85.723 164.5372
2000.000000 86.066 165.7965
2030.000000 86.486 167.0211
2060.000000 86.879 167.7056
2090.000000 87.195 168.0581
2120.000000 87.458 168.7985
2140.000000 87.641 169.4550
2180.000000 88.036 170.6832
2200.000000 88.250 171.2483
2240.000000 88.689 172.1639
2270.000000 89.002 172.6039
2300.000000 89.305 172.9225
2330.000000 89.603 173.1950
2360.000000 89.884 173.4027
2400.000000 90.232 173.5650
2430.000000 90.487 173.6769
2470.000000 90.821 173.7682
2500.000000 91.053 173.7345
2540.000000 91.349 173.6430
2580.000000 91.644 173.5981
2620.000000 91.922 173.5226
2650.000000 92.124 173.4460
2690.000000 92.408 173.4124
2720.000000 92.630 173.3818
2760.000000 92.926 173.2494
2800.000000 93.248 173.0180
2850.000000 93.716 172.4032
2900.000000 94.178 170.9025
2950.000000 94.560 168.5968
3000.000000 94.847 165.9306
3040.000000 94.979 163.6185
3070.000000 95.019 161.8871
3110.000000 95.020 159.8411
3150.000000 94.994 158.1414
3200.000000 94.910 156.1811
3250.000000 94.756 154.4197
3300.000000 94.566 153.1810
3350.000000 94.346 152.4593
3400.000000 94.096 152.2106
3450.000000 93.855 152.7649
3500.000000 93.668 154.4020
3550.000000 93.625 157.1400
3600.000000 93.889 160.3695
3650.000000 94.567 162.7900
3700.000000 95.583 162.4191
3750.000000 96.506 157.6254
3820.000000 96.826 146.7980
3870.000000 96.423 140.3423
3950.000000 95.464 134.6818
4000.000000 94.911 132.8735
4060.000000 94.361 131.4393
4120.000000 93.898 130.3027
4180.000000 93.435 129.0664
4250.000000 92.851 127.6866
4310.000000 92.333 126.9677
4370.000000 91.801 126.5612
4440.000000 91.153 126.2375
4500.000000 90.584 126.2320
4550.000000 90.104 126.5866
4620.000000 89.438 127.7402
4680.000000 88.855 129.0614
4750.000000 88.145 130.8951
4820.000000 87.438 133.5882
4870.000000 86.953 136.2087
4940.000000 86.337 140.7937
5000.000000 85.935 145.4666
5080.000000 85.719 152.8755
5150.000000 85.904 158.7351
5220.000000 86.245 162.6716
5300.000000 86.710 165.4467
5380.000000 87.196 166.4632
5450.000000 87.490 165.3650
5520.000000 87.466 162.9527
5600.000000 86.953 161.4767
5700.000000 86.181 165.3850
5800.000000 86.110 171.5605
5900.000000 86.535 175.2328
6000.000000 86.967 176.2636
6080.000000 87.184 175.7323
6150.000000 87.275 174.8370
6220.000000 87.286 173.8780
6300.000000 87.192 172.7157
6400.000000 86.935 171.2415
6500.000000 86.593 170.1160
6600.000000 86.181 169.5216
6700.000000 85.679 169.8274
6800.000000 85.123 171.2822
6900.000000 84.668 174.0511
