* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:04:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz A Gentle) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.594 116.6212
20.600000 79.734 115.9374
20.900000 79.877 115.1803
21.200001 80.022 114.4448
21.400000 80.129 113.9714
21.799999 80.372 113.0246
22.000000 80.507 112.5306
22.400000 80.783 111.4895
22.700001 80.979 110.6965
23.000000 81.156 109.9402
23.299999 81.318 109.2481
23.600000 81.472 108.6150
24.000000 81.676 107.7959
24.299999 81.834 107.1388
24.700001 82.048 106.1514
25.000000 82.205 105.3355
25.400000 82.405 104.2095
25.799999 82.591 103.1181
26.200001 82.768 102.1046
26.500000 82.898 101.3857
26.900000 83.072 100.4403
27.200001 83.200 99.7138
27.600000 83.369 98.7088
28.000000 83.530 97.6853
28.500000 83.724 96.4465
29.000000 83.913 95.2942
29.500000 84.099 94.1935
30.000000 84.277 93.0791
30.400000 84.411 92.1562
30.700001 84.507 91.4448
31.100000 84.636 90.4666
31.500000 84.767 89.4442
32.000000 84.928 88.1042
32.500000 85.075 86.7574
33.000000 85.201 85.5130
33.500000 85.320 84.4223
34.000000 85.445 83.4241
34.500000 85.575 82.4166
35.000000 85.703 81.3631
35.500000 85.821 80.3050
36.000000 85.931 79.2948
36.500000 86.034 78.3465
37.000000 86.133 77.4365
37.500000 86.226 76.5299
38.200001 86.344 75.2584
38.700001 86.422 74.4171
39.500000 86.578 73.2552
40.000000 86.706 72.5079
40.599998 86.854 71.4617
41.200001 86.954 70.4085
41.799999 87.018 69.5085
42.500000 87.083 68.3587
43.099998 87.094 67.0566
43.700001 87.048 65.8225
44.400002 87.044 64.9726
45.000000 87.195 64.3334
45.500000 87.398 63.4126
46.200001 87.659 61.6005
46.799999 87.811 60.0569
47.500000 87.913 58.6176
48.200001 87.954 57.6236
48.700001 87.978 57.1397
49.400002 88.053 56.3772
50.000000 88.137 55.2601
50.799999 88.193 53.4015
51.500000 88.223 52.0950
52.200001 88.301 50.9990
53.000000 88.380 49.5687
53.799999 88.372 48.2990
54.500000 88.350 47.5512
55.200001 88.355 46.8452
56.000000 88.377 45.8464
57.000000 88.430 44.3808
58.000000 88.506 42.7522
59.000000 88.545 41.4081
60.000000 88.562 40.7127
60.799999 88.602 40.4237
61.500000 88.669 40.1100
62.200001 88.752 39.6230
63.000000 88.847 38.8889
64.000000 88.968 37.7909
65.000000 89.103 36.5351
66.000000 89.272 35.2306
67.000000 89.461 33.6734
68.000000 89.607 31.7736
69.000000 89.715 29.6442
70.000000 89.800 27.2641
71.000000 89.850 24.7830
72.000000 89.862 22.3134
73.000000 89.824 19.8237
74.000000 89.729 17.3861
75.000000 89.600 15.0675
76.199997 89.413 12.3989
77.500000 89.158 9.7139
78.800003 88.857 7.4989
80.000000 88.562 5.8561
81.199997 88.252 4.4812
82.500000 87.920 3.2325
83.800003 87.598 2.3152
85.000000 87.315 1.7337
86.199997 87.045 1.3336
87.500000 86.775 1.0522
88.500000 86.579 0.9652
90.000000 86.318 0.9760
91.199997 86.133 1.0476
92.500000 85.955 1.2078
93.800003 85.796 1.3425
95.000000 85.662 1.4077
96.199997 85.535 1.4661
97.500000 85.409 1.5359
98.800003 85.291 1.5488
100.000000 85.189 1.5359
101.500000 85.063 1.4636
103.000000 84.930 1.3807
104.400002 84.807 1.2348
106.000000 84.650 0.9214
107.500000 84.487 0.6597
109.000000 84.291 0.4027
110.599998 84.056 0.2542
112.000000 83.832 0.0888
113.800003 83.506 0.2909
115.000000 83.290 0.7113
117.199997 82.859 2.3811
118.000000 82.730 3.6114
120.599998 82.366 7.4063
122.000000 82.171 8.6048
124.099998 82.043 11.0941
125.000000 82.023 12.2811
126.500000 82.042 14.2978
128.000000 82.127 16.1460
131.500000 82.410 19.3888
132.000000 82.449 19.7728
134.000000 82.622 21.1469
136.000000 82.819 22.1299
138.000000 82.996 22.6497
140.000000 83.150 23.1869
143.000000 83.377 23.9098
145.000000 83.525 23.9964
147.500000 83.673 23.9644
150.000000 83.789 24.1071
152.500000 83.948 24.3289
155.000000 84.147 24.2937
157.500000 84.297 23.8223
160.000000 84.380 23.2120
162.500000 84.451 22.7575
165.000000 84.538 22.3576
167.500000 84.622 21.8731
170.000000 84.692 21.3656
172.500000 84.758 20.8349
175.000000 84.812 20.2694
177.500000 84.849 19.5956
180.000000 84.878 18.8674
182.500000 84.889 18.0772
185.000000 84.877 17.4046
187.500000 84.818 16.8675
190.000000 84.719 16.3738
192.500000 84.603 15.9814
195.000000 84.493 15.7033
197.500000 84.414 15.5244
200.000000 84.386 15.6357
203.000000 84.376 15.9935
206.000000 84.355 15.8907
209.000000 84.347 15.5437
212.000000 84.310 15.2617
214.000000 84.270 15.0069
218.000000 84.200 14.4458
220.000000 84.150 14.2822
224.000000 84.032 13.9248
227.000000 83.936 13.7559
230.000000 83.827 13.5243
233.000000 83.709 13.3726
236.000000 83.574 13.2986
240.000000 83.374 13.5208
243.000000 83.239 14.1378
247.000000 83.100 15.1521
250.000000 83.036 15.8969
254.000000 82.980 16.7964
258.000000 82.965 17.5811
262.000000 82.967 17.9351
265.000000 82.954 18.1058
269.000000 82.930 18.3787
272.000000 82.907 18.4977
276.000000 82.851 18.5654
280.000000 82.771 18.7104
285.000000 82.644 19.0116
290.000000 82.500 19.4484
295.000000 82.361 20.0922
300.000000 82.239 20.9157
304.000000 82.143 21.6684
307.000000 82.071 22.2878
311.000000 81.983 23.2848
315.000000 81.911 24.5511
320.000000 81.878 26.4462
325.000000 81.938 28.1894
330.000000 82.068 29.1407
335.000000 82.188 29.6162
340.000000 82.258 30.0121
345.000000 82.327 30.3597
350.000000 82.415 30.5488
355.000000 82.462 30.1949
360.000000 82.416 29.6630
365.000000 82.299 29.5967
370.000000 82.186 30.0469
375.000000 82.098 30.7475
382.000000 82.018 31.8379
387.000000 81.983 32.5874
395.000000 81.961 33.7687
400.000000 81.967 34.4212
406.000000 81.980 35.0536
412.000000 81.980 35.5265
418.000000 81.955 35.9420
425.000000 81.909 36.4066
431.000000 81.855 36.8490
437.000000 81.787 37.4163
444.000000 81.694 38.3924
450.000000 81.639 39.6513
455.000000 81.653 40.8478
462.000000 81.761 41.9921
468.000000 81.841 42.2420
475.000000 81.856 42.3020
482.000000 81.812 42.5350
487.000000 81.767 42.8271
494.000000 81.700 43.4040
500.000000 81.642 44.0174
508.000000 81.571 44.9297
515.000000 81.511 45.7768
522.000000 81.457 46.6839
530.000000 81.407 47.7918
538.000000 81.366 48.9428
545.000000 81.340 50.0173
552.000000 81.323 51.1234
560.000000 81.309 52.3492
570.000000 81.300 53.8237
580.000000 81.290 55.2124
590.000000 81.275 56.7040
600.000000 81.283 58.3585
608.000000 81.309 59.7192
615.000000 81.343 60.8703
622.000000 81.385 61.9847
630.000000 81.443 63.2482
640.000000 81.532 64.7969
650.000000 81.641 66.2443
660.000000 81.756 67.5399
670.000000 81.867 68.7083
680.000000 81.976 69.8372
690.000000 82.091 70.9436
700.000000 82.213 72.0166
710.000000 82.341 73.0668
720.000000 82.481 74.0684
730.000000 82.634 74.9272
740.000000 82.795 75.6273
750.000000 82.953 76.1690
762.000000 83.127 76.6523
775.000000 83.295 77.0117
788.000000 83.439 77.2634
800.000000 83.551 77.4913
812.000000 83.652 77.7431
825.000000 83.760 78.0349
838.000000 83.869 78.2745
850.000000 83.971 78.3883
862.000000 84.060 78.3830
875.000000 84.135 78.3068
885.000000 84.177 78.2206
900.000000 84.209 78.0817
912.000000 84.205 78.0260
925.000000 84.187 78.0966
938.000000 84.181 78.2213
950.000000 84.172 78.2346
962.000000 84.139 78.2330
975.000000 84.084 78.3656
988.000000 84.027 78.6853
1000.000000 83.984 79.0659
1015.000000 83.943 79.5472
1030.000000 83.909 79.9881
1044.000000 83.875 80.3792
1060.000000 83.830 80.8062
1075.000000 83.781 81.1705
1090.000000 83.721 81.4890
1106.000000 83.642 81.7976
1120.000000 83.556 82.0790
1138.000000 83.419 82.5049
1150.000000 83.313 82.8555
1172.000000 83.094 83.8031
1180.000000 83.012 84.2484
1206.000000 82.759 85.9194
1220.000000 82.634 86.9456
1241.000000 82.457 88.5928
1250.000000 82.383 89.3550
1265.000000 82.267 90.7040
1280.000000 82.159 92.0828
1315.000000 81.923 95.4444
1320.000000 81.892 95.9508
1340.000000 81.782 98.0241
1360.000000 81.690 100.1430
1380.000000 81.615 102.2608
1400.000000 81.548 104.3232
1430.000000 81.436 107.4939
1450.000000 81.371 109.7773
1475.000000 81.305 112.6392
1500.000000 81.251 115.6265
1525.000000 81.217 118.7663
1550.000000 81.181 121.9175
1575.000000 81.145 125.0114
1600.000000 81.103 128.0666
1625.000000 81.019 131.1498
1650.000000 80.836 134.5580
1675.000000 80.544 139.2296
1700.000000 80.237 146.1680
1725.000000 80.232 157.6261
1750.000000 81.514 173.6386
1775.000000 84.082 -177.7930
1800.000000 86.219 178.3105
1825.000000 87.225 170.4120
1850.000000 87.498 164.3915
1875.000000 87.522 161.0501
1900.000000 87.520 159.4813
1925.000000 87.553 158.9312
1950.000000 87.631 158.9118
1975.000000 87.740 159.1699
2000.000000 87.874 159.6551
2030.000000 88.083 160.4996
2060.000000 88.370 161.3088
2090.000000 88.683 161.5568
2120.000000 88.945 161.5198
2140.000000 89.103 161.5540
2180.000000 89.418 161.6206
2200.000000 89.565 161.6253
2240.000000 89.845 161.6967
2270.000000 90.055 161.7418
2300.000000 90.264 161.7218
2330.000000 90.470 161.6423
2360.000000 90.671 161.5059
2400.000000 90.928 161.2068
2430.000000 91.108 160.8836
2470.000000 91.320 160.3995
2500.000000 91.464 160.1085
2540.000000 91.669 159.7361
2580.000000 91.867 159.0679
2620.000000 92.019 158.2471
2650.000000 92.105 157.6549
2690.000000 92.192 156.9547
2720.000000 92.241 156.5169
2760.000000 92.298 156.0465
2800.000000 92.352 155.6015
2850.000000 92.381 154.9991
2900.000000 92.337 154.7575
2950.000000 92.258 155.3437
3000.000000 92.257 156.9560
3040.000000 92.389 158.6654
3070.000000 92.585 159.7747
3110.000000 92.973 160.4398
3150.000000 93.393 159.5393
3200.000000 93.673 156.8405
3250.000000 93.721 154.4656
3300.000000 93.636 152.3958
3350.000000 93.420 151.2009
3400.000000 93.170 151.1082
3450.000000 92.917 152.2664
3500.000000 92.831 155.7130
3550.000000 93.357 160.4333
3600.000000 94.448 161.4082
3650.000000 95.400 157.0883
3700.000000 95.799 150.2461
3750.000000 95.681 143.8393
3820.000000 95.136 137.6434
3870.000000 94.689 134.5800
3950.000000 93.911 131.1654
4000.000000 93.419 130.0015
4060.000000 92.883 129.3154
4120.000000 92.414 129.0309
4180.000000 92.000 128.8949
4250.000000 91.548 128.5817
4310.000000 91.126 128.1548
4370.000000 90.661 127.9714
4440.000000 90.120 128.1593
4500.000000 89.663 128.3450
4550.000000 89.253 128.4347
4620.000000 88.587 128.7778
4680.000000 87.930 129.6851
4750.000000 87.103 131.8730
4820.000000 86.276 135.6265
4870.000000 85.746 139.3698
4940.000000 85.187 145.9069
5000.000000 84.940 152.2493
5080.000000 84.984 160.8012
5150.000000 85.340 167.9894
5220.000000 86.158 174.5326
5300.000000 87.474 177.1967
5380.000000 88.538 174.2637
5450.000000 88.905 169.3244
5520.000000 88.696 165.1846
5600.000000 88.173 164.0483
5700.000000 87.865 165.5479
5800.000000 87.841 166.3389
5900.000000 87.830 166.3263
6000.000000 87.797 165.8859
6080.000000 87.751 165.1557
6150.000000 87.669 164.2292
6220.000000 87.529 163.1349
6300.000000 87.288 161.8650
6400.000000 86.872 160.5154
6500.000000 86.336 159.6780
6600.000000 85.687 159.7656
6700.000000 85.003 161.0052
6800.000000 84.376 163.1927
6900.000000 83.848 166.0441
7000.000000 83.433 169.2721
