* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:53:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Jazz ANC Off) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.367 122.3612
20.600000 78.513 121.8670
20.900000 78.683 121.3536
21.200001 78.867 120.8510
21.400000 78.997 120.5144
21.799999 79.273 119.8143
22.000000 79.414 119.4450
22.400000 79.688 118.6728
22.700001 79.877 118.0875
23.000000 80.046 117.5273
23.299999 80.198 117.0165
23.600000 80.339 116.5652
24.000000 80.526 116.0338
24.299999 80.675 115.6504
24.700001 80.890 115.1037
25.000000 81.061 114.6529
25.400000 81.296 114.0189
25.799999 81.535 113.3902
26.200001 81.778 112.7804
26.500000 81.962 112.3102
26.900000 82.206 111.6133
27.200001 82.383 111.0178
27.600000 82.602 110.1481
28.000000 82.803 109.2651
28.500000 83.045 108.2589
29.000000 83.300 107.3826
29.500000 83.573 106.5364
30.000000 83.844 105.6318
30.400000 84.046 104.8678
30.700001 84.187 104.2865
31.100000 84.365 103.5069
31.500000 84.538 102.7101
32.000000 84.753 101.6629
32.500000 84.965 100.5633
33.000000 85.173 99.4495
33.500000 85.377 98.3439
34.000000 85.571 97.2380
34.500000 85.747 96.1290
35.000000 85.906 95.0349
35.500000 86.057 93.9603
36.000000 86.214 92.8759
36.500000 86.379 91.7553
37.000000 86.550 90.6184
37.500000 86.720 89.5173
38.200001 86.951 88.0842
38.700001 87.102 87.1018
39.500000 87.317 85.4345
40.000000 87.439 84.2278
40.599998 87.577 82.5896
41.200001 87.708 80.9277
41.799999 87.849 79.5250
42.500000 88.048 78.3116
43.099998 88.233 77.3984
43.700001 88.388 76.4008
44.400002 88.513 75.1015
45.000000 88.592 73.9068
45.500000 88.651 72.8895
46.200001 88.730 71.5673
46.799999 88.807 70.5994
47.500000 88.913 69.4957
48.200001 89.008 68.2274
48.700001 89.059 67.2919
49.400002 89.123 66.1421
50.000000 89.187 65.3553
50.799999 89.279 64.4992
51.500000 89.357 63.8524
52.200001 89.455 63.1705
53.000000 89.606 62.1875
53.799999 89.783 61.0807
54.500000 89.946 60.1679
55.200001 90.107 59.2898
56.000000 90.282 58.1680
57.000000 90.479 56.4565
58.000000 90.648 54.5600
59.000000 90.795 52.7521
60.000000 90.934 51.1566
60.799999 91.052 49.9921
61.500000 91.156 49.0107
62.200001 91.261 48.0466
63.000000 91.385 46.9420
64.000000 91.563 45.4904
65.000000 91.774 43.8454
66.000000 92.002 41.9669
67.000000 92.237 39.9776
68.000000 92.479 37.8217
69.000000 92.695 35.3532
70.000000 92.881 32.6058
71.000000 93.050 29.5751
72.000000 93.180 26.2896
73.000000 93.247 22.8612
74.000000 93.258 19.3349
75.000000 93.224 15.7810
76.199997 93.124 11.6020
77.500000 92.923 7.2654
78.800003 92.641 3.2162
80.000000 92.331 -0.1506
81.199997 91.980 -3.1081
82.500000 91.567 -5.9035
83.800003 91.138 -8.3191
85.000000 90.738 -10.1709
86.199997 90.344 -11.7113
87.500000 89.936 -13.1399
88.500000 89.636 -14.0728
90.000000 89.202 -15.1699
91.199997 88.866 -15.9621
92.500000 88.514 -16.7913
93.800003 88.168 -17.4939
95.000000 87.843 -18.0351
96.199997 87.508 -18.5468
97.500000 87.123 -19.0372
98.800003 86.726 -19.3013
100.000000 86.367 -19.2794
101.500000 85.917 -18.8875
103.000000 85.462 -18.1314
104.400002 85.055 -16.9842
106.000000 84.636 -15.2284
107.500000 84.309 -13.4168
109.000000 84.065 -11.4247
110.599998 83.871 -9.1374
112.000000 83.746 -7.1803
113.800003 83.630 -4.9631
115.000000 83.574 -3.6578
117.199997 83.490 -1.5545
118.000000 83.463 -0.7870
120.599998 83.394 1.6985
122.000000 83.373 3.0686
124.099998 83.391 5.1849
125.000000 83.413 6.1279
126.500000 83.482 7.6785
128.000000 83.578 9.0854
131.500000 83.914 11.7315
132.000000 83.964 11.9941
134.000000 84.159 12.8999
136.000000 84.355 13.5752
138.000000 84.549 13.9342
140.000000 84.746 14.1468
143.000000 85.069 14.3216
145.000000 85.254 14.0242
147.500000 85.404 13.4511
150.000000 85.538 13.0021
152.500000 85.691 12.4879
155.000000 85.812 11.8495
157.500000 85.914 11.2335
160.000000 86.017 10.5943
162.500000 86.109 9.9107
165.000000 86.185 9.0873
167.500000 86.250 8.2639
170.000000 86.303 7.2991
172.500000 86.331 6.3515
175.000000 86.343 5.3331
177.500000 86.328 4.3593
180.000000 86.300 3.4644
182.500000 86.243 2.5925
185.000000 86.175 1.8596
187.500000 86.113 1.2605
190.000000 86.055 0.8456
192.500000 86.006 0.5139
195.000000 85.968 0.1010
197.500000 85.935 -0.4101
200.000000 85.894 -1.0290
203.000000 85.825 -1.7787
206.000000 85.736 -2.4526
209.000000 85.627 -3.0838
212.000000 85.509 -3.5879
214.000000 85.427 -3.8538
218.000000 85.254 -4.2210
220.000000 85.167 -4.3413
224.000000 85.007 -4.4712
227.000000 84.893 -4.4827
230.000000 84.782 -4.3870
233.000000 84.685 -4.1364
236.000000 84.621 -3.8263
240.000000 84.595 -3.6801
243.000000 84.573 -3.9813
247.000000 84.465 -4.5199
250.000000 84.340 -4.6331
254.000000 84.173 -4.3927
258.000000 84.046 -4.0767
262.000000 83.945 -3.7661
265.000000 83.868 -3.5490
269.000000 83.769 -3.2661
272.000000 83.701 -2.9986
276.000000 83.605 -2.5869
280.000000 83.512 -2.1766
285.000000 83.418 -1.5742
290.000000 83.346 -0.9252
295.000000 83.295 -0.4469
300.000000 83.237 -0.2408
304.000000 83.167 -0.1312
307.000000 83.094 -0.0214
311.000000 82.974 0.2711
315.000000 82.841 0.8651
320.000000 82.689 2.0981
325.000000 82.609 3.8133
330.000000 82.649 5.6385
335.000000 82.783 6.9637
340.000000 82.931 7.6388
345.000000 83.071 8.0663
350.000000 83.247 8.3154
355.000000 83.441 7.8025
360.000000 83.536 6.3931
365.000000 83.479 4.9938
370.000000 83.336 4.1950
375.000000 83.183 3.9043
382.000000 82.986 3.9495
387.000000 82.852 4.1481
395.000000 82.649 4.7495
400.000000 82.541 5.3361
406.000000 82.441 6.1323
412.000000 82.367 6.9074
418.000000 82.313 7.6296
425.000000 82.255 8.3401
431.000000 82.194 8.8768
437.000000 82.112 9.4533
444.000000 81.981 10.3971
450.000000 81.883 11.8154
455.000000 81.883 13.4309
462.000000 82.056 15.1876
468.000000 82.227 15.5227
475.000000 82.323 15.3772
482.000000 82.342 15.3991
487.000000 82.343 15.5095
494.000000 82.338 15.6751
500.000000 82.323 15.8360
508.000000 82.288 16.1347
515.000000 82.246 16.4960
522.000000 82.206 16.9239
530.000000 82.166 17.4786
538.000000 82.128 18.1220
545.000000 82.098 18.7405
552.000000 82.076 19.3839
560.000000 82.062 20.1378
570.000000 82.049 21.1108
580.000000 82.045 22.0733
590.000000 82.044 23.0289
600.000000 82.053 24.0705
608.000000 82.074 24.9307
615.000000 82.102 25.6732
622.000000 82.140 26.3840
630.000000 82.188 27.1667
640.000000 82.254 28.1240
650.000000 82.327 29.0272
660.000000 82.410 29.8500
670.000000 82.502 30.6165
680.000000 82.600 31.3331
690.000000 82.709 31.9361
700.000000 82.816 32.4144
710.000000 82.918 32.8221
720.000000 83.019 33.1864
730.000000 83.116 33.5009
740.000000 83.214 33.7653
750.000000 83.313 33.9948
762.000000 83.423 34.1725
775.000000 83.529 34.2829
788.000000 83.627 34.2975
800.000000 83.708 34.2387
812.000000 83.779 34.1711
825.000000 83.839 34.0647
838.000000 83.882 33.9609
850.000000 83.912 33.9073
862.000000 83.936 33.9181
875.000000 83.975 34.0279
885.000000 84.029 34.1148
900.000000 84.121 33.8379
912.000000 84.150 33.2635
925.000000 84.118 32.6049
938.000000 84.025 32.0998
950.000000 83.910 31.9910
962.000000 83.796 32.2297
975.000000 83.687 32.7178
988.000000 83.595 33.3634
1000.000000 83.530 34.0778
1015.000000 83.476 35.0634
1030.000000 83.458 36.1032
1044.000000 83.468 37.0526
1060.000000 83.500 38.0646
1075.000000 83.547 38.9048
1090.000000 83.607 39.6982
1106.000000 83.681 40.4544
1120.000000 83.747 40.9712
1138.000000 83.818 41.5247
1150.000000 83.859 41.8640
1172.000000 83.931 42.4834
1180.000000 83.958 42.7445
1206.000000 84.063 43.5513
1220.000000 84.121 43.8043
1241.000000 84.162 44.0464
1250.000000 84.167 44.2087
1265.000000 84.178 44.5881
1280.000000 84.200 45.0805
1315.000000 84.297 46.3781
1320.000000 84.316 46.5366
1340.000000 84.396 47.0883
1360.000000 84.473 47.5130
1380.000000 84.546 47.8399
1400.000000 84.606 48.1698
1430.000000 84.681 48.7558
1450.000000 84.729 49.1332
1475.000000 84.771 49.5929
1500.000000 84.816 50.0881
1525.000000 84.861 50.7085
1550.000000 84.913 51.4119
1575.000000 84.983 52.0839
1600.000000 85.065 52.6571
1625.000000 85.147 52.9701
1650.000000 85.177 53.2776
1675.000000 85.187 53.9911
1700.000000 85.240 54.8347
1725.000000 85.324 55.6282
1750.000000 85.408 56.3933
1775.000000 85.492 57.1232
1800.000000 85.573 57.8356
1825.000000 85.656 58.5656
1850.000000 85.762 59.2931
1875.000000 85.883 59.9570
1900.000000 85.998 60.5999
1925.000000 86.115 61.2292
1950.000000 86.238 61.8287
1975.000000 86.363 62.3854
2000.000000 86.496 62.9157
2030.000000 86.683 63.5164
2060.000000 86.874 63.8674
2090.000000 87.008 63.9675
2120.000000 87.111 64.4774
2140.000000 87.204 65.0176
2180.000000 87.439 66.0137
2200.000000 87.574 66.4380
2240.000000 87.862 67.0574
2270.000000 88.076 67.3028
2300.000000 88.297 67.5262
2330.000000 88.528 67.7341
2360.000000 88.757 67.8733
2400.000000 89.071 67.8126
2430.000000 89.305 67.5684
2470.000000 89.598 66.9911
2500.000000 89.813 66.4732
2540.000000 90.088 65.6925
2580.000000 90.321 64.6928
2620.000000 90.524 63.6561
2650.000000 90.666 62.9663
2690.000000 90.824 62.1259
2720.000000 90.920 61.6139
2760.000000 91.036 61.2329
2800.000000 91.162 61.3428
2850.000000 91.484 62.1389
2900.000000 92.079 62.3619
2950.000000 92.746 60.8007
3000.000000 93.326 57.7587
3040.000000 93.676 54.6932
3070.000000 93.880 52.2170
3110.000000 94.098 48.9315
3150.000000 94.271 45.7342
3200.000000 94.441 41.4965
3250.000000 94.552 36.8681
3300.000000 94.582 32.0379
3350.000000 94.492 27.0181
3400.000000 94.279 21.8041
3450.000000 93.895 16.2294
3500.000000 93.240 10.3249
3550.000000 92.172 5.2143
3600.000000 90.612 3.7352
3650.000000 88.970 10.5218
3700.000000 88.757 26.4488
3750.000000 90.514 35.4567
3820.000000 92.495 26.9556
3870.000000 92.577 16.8511
3950.000000 91.266 6.5865
4000.000000 90.214 4.9015
4060.000000 89.151 6.2221
4120.000000 88.404 9.3088
4180.000000 87.979 13.1358
4250.000000 87.854 17.7541
4310.000000 88.003 20.8858
4370.000000 88.317 22.7013
4440.000000 88.767 23.1686
4500.000000 89.098 22.2094
4550.000000 89.286 20.6520
4620.000000 89.397 17.7851
4680.000000 89.314 14.9415
4750.000000 89.017 11.8458
4820.000000 88.566 9.9222
4870.000000 88.190 9.4320
4940.000000 87.659 9.9742
5000.000000 87.311 11.5282
5080.000000 87.128 14.6471
5150.000000 87.272 17.0578
5220.000000 87.571 17.8655
5300.000000 87.915 17.0085
5380.000000 88.149 14.4361
5450.000000 88.211 11.1644
5520.000000 88.045 7.3808
5600.000000 87.433 3.4911
5700.000000 86.236 2.9436
5800.000000 85.368 7.6340
5900.000000 85.184 12.8522
6000.000000 85.406 16.5800
6080.000000 85.670 18.0955
6150.000000 85.906 18.4042
6220.000000 86.134 18.1110
6300.000000 86.365 17.3443
6400.000000 86.553 15.7394
6500.000000 86.643 13.7284
6600.000000 86.642 11.2952
