* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:39:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.322 131.3288
20.600000 75.486 131.0769
20.900000 75.681 130.6667
21.200001 75.883 130.0827
21.400000 76.017 129.6168
21.799999 76.277 128.6101
22.000000 76.405 128.1230
22.400000 76.662 127.2801
22.700001 76.861 126.7919
23.000000 77.069 126.4108
23.299999 77.283 126.0934
23.600000 77.498 125.7890
24.000000 77.779 125.3359
24.299999 77.976 124.9425
24.700001 78.220 124.3688
25.000000 78.390 123.9334
25.400000 78.612 123.3837
25.799999 78.838 122.8713
26.200001 79.074 122.3610
26.500000 79.252 121.9573
26.900000 79.482 121.3888
27.200001 79.643 120.9588
27.600000 79.844 120.4203
28.000000 80.040 119.9422
28.500000 80.302 119.3787
29.000000 80.597 118.7098
29.500000 80.909 117.8171
30.000000 81.205 116.7322
30.400000 81.415 115.8230
30.700001 81.557 115.1624
31.100000 81.733 114.3204
31.500000 81.906 113.4837
32.000000 82.124 112.3584
32.500000 82.341 111.1398
33.000000 82.551 109.9666
33.500000 82.758 108.9913
34.000000 82.966 108.2120
34.500000 83.164 107.4867
35.000000 83.336 106.6897
35.500000 83.480 105.8072
36.000000 83.625 104.8783
36.500000 83.804 103.9121
37.000000 84.022 102.9033
37.500000 84.255 101.9017
38.200001 84.543 100.7113
38.700001 84.706 100.0848
39.500000 84.936 99.1914
40.000000 85.091 98.4170
40.599998 85.300 97.1532
41.200001 85.532 95.7322
41.799999 85.797 94.3784
42.500000 86.135 92.7724
43.099998 86.393 91.1820
43.700001 86.583 89.5432
44.400002 86.760 87.9653
45.000000 86.935 86.9011
45.500000 87.096 86.0203
46.200001 87.288 84.5587
46.799999 87.397 83.0039
47.500000 87.461 80.8294
48.200001 87.495 78.6483
48.700001 87.548 77.4333
49.400002 87.720 76.2339
50.000000 87.913 75.2568
50.799999 88.050 73.7203
51.500000 88.035 72.4710
52.200001 88.033 71.1777
53.000000 88.093 69.0086
53.799999 88.092 66.7826
54.500000 88.063 65.8263
55.200001 88.111 65.4086
56.000000 88.183 64.3978
57.000000 88.130 62.7041
58.000000 88.076 61.4195
59.000000 88.075 60.3386
60.000000 88.166 59.8522
60.799999 88.314 59.4446
61.500000 88.427 59.0185
62.200001 88.537 58.6148
63.000000 88.676 57.9384
64.000000 88.837 56.9754
65.000000 89.081 56.1406
66.000000 89.379 54.6927
67.000000 89.639 52.9535
68.000000 89.902 51.0466
69.000000 90.121 48.7410
70.000000 90.292 46.2684
71.000000 90.451 43.5174
72.000000 90.571 40.4861
73.000000 90.634 37.4577
74.000000 90.646 34.5136
75.000000 90.611 31.5694
76.199997 90.511 28.0311
77.500000 90.340 24.4596
78.800003 90.101 21.2417
80.000000 89.819 18.4529
81.199997 89.520 16.0770
82.500000 89.220 13.9559
83.800003 88.911 12.1611
85.000000 88.625 10.7347
86.199997 88.356 9.3695
87.500000 88.078 8.0063
88.500000 87.865 7.1383
90.000000 87.544 6.0550
91.199997 87.296 5.1711
92.500000 87.021 4.2264
93.800003 86.744 3.3935
95.000000 86.495 2.5924
96.199997 86.250 1.8825
97.500000 85.964 1.3577
98.800003 85.621 1.0051
100.000000 85.294 0.7428
101.500000 84.923 0.3825
103.000000 84.525 0.1572
104.400002 84.127 0.2426
106.000000 83.688 0.9386
107.500000 83.254 2.1805
109.000000 82.855 3.9662
110.599998 82.536 6.2325
112.000000 82.304 8.4452
113.800003 82.087 11.1478
115.000000 81.975 12.7412
117.199997 81.837 16.0427
118.000000 81.821 17.4003
120.599998 81.819 21.1580
122.000000 81.814 22.9408
124.099998 81.880 25.8229
125.000000 81.941 26.9797
126.500000 82.083 28.7199
128.000000 82.258 30.2738
131.500000 82.688 33.0940
132.000000 82.750 33.3959
134.000000 83.002 34.3919
136.000000 83.259 35.1528
138.000000 83.511 35.6144
140.000000 83.751 35.6935
143.000000 84.087 36.0024
145.000000 84.301 35.9892
147.500000 84.534 35.4594
150.000000 84.738 34.2227
152.500000 84.960 34.0162
155.000000 85.161 33.8603
157.500000 85.358 32.7627
160.000000 85.508 31.4146
162.500000 85.632 31.2492
165.000000 85.733 30.7549
167.500000 85.839 29.7516
170.000000 85.951 28.7438
172.500000 86.032 27.4877
175.000000 86.084 26.4046
177.500000 86.114 25.5610
180.000000 86.158 24.4352
182.500000 86.200 23.2496
185.000000 86.196 22.1880
187.500000 86.107 20.7610
190.000000 86.002 19.6474
192.500000 85.922 18.7911
195.000000 85.847 18.2392
197.500000 85.772 17.9176
200.000000 85.721 17.5465
203.000000 85.632 16.6701
206.000000 85.528 15.8535
209.000000 85.426 15.1715
212.000000 85.300 14.6268
214.000000 85.198 14.3470
218.000000 85.005 13.9437
220.000000 84.942 13.7270
224.000000 84.862 13.3693
227.000000 84.782 13.0524
230.000000 84.683 12.7365
233.000000 84.596 12.4750
236.000000 84.539 12.1935
240.000000 84.424 11.8448
243.000000 84.205 11.4977
247.000000 83.926 11.3911
250.000000 83.766 11.4994
254.000000 83.563 11.7995
258.000000 83.384 12.1440
262.000000 83.225 12.6031
265.000000 83.113 12.9428
269.000000 82.966 13.4229
272.000000 82.855 13.8708
276.000000 82.713 14.5142
280.000000 82.577 15.2072
285.000000 82.429 16.1623
290.000000 82.314 17.1224
295.000000 82.222 17.9245
300.000000 82.174 18.7133
304.000000 82.130 19.2080
307.000000 82.066 19.4177
311.000000 81.939 19.7465
315.000000 81.780 20.4431
320.000000 81.601 21.9670
325.000000 81.508 24.1043
330.000000 81.536 25.9778
335.000000 81.635 27.1038
340.000000 81.730 27.7298
345.000000 81.815 28.2758
350.000000 81.924 28.5552
355.000000 82.001 28.0015
360.000000 81.961 27.2299
365.000000 81.835 26.9218
370.000000 81.678 27.1394
375.000000 81.533 27.6463
382.000000 81.357 28.4524
387.000000 81.238 29.1618
395.000000 81.067 30.5597
400.000000 80.988 31.7142
406.000000 80.923 32.9379
412.000000 80.857 33.9074
418.000000 80.790 34.8816
425.000000 80.727 35.9155
431.000000 80.666 36.8710
437.000000 80.595 37.9074
444.000000 80.510 39.4973
450.000000 80.480 41.3620
455.000000 80.538 42.9876
462.000000 80.723 44.3880
468.000000 80.857 44.6940
475.000000 80.905 44.7346
482.000000 80.880 45.0412
487.000000 80.848 45.4854
494.000000 80.809 46.2733
500.000000 80.785 46.9477
508.000000 80.748 47.7848
515.000000 80.710 48.5780
522.000000 80.673 49.4650
530.000000 80.635 50.5239
538.000000 80.603 51.6652
545.000000 80.580 52.6768
552.000000 80.563 53.6958
560.000000 80.553 54.8943
570.000000 80.551 56.4093
580.000000 80.554 57.8996
590.000000 80.568 59.4135
600.000000 80.601 60.9676
608.000000 80.634 62.1948
615.000000 80.668 63.2546
622.000000 80.710 64.3054
630.000000 80.767 65.4841
640.000000 80.846 66.9114
650.000000 80.936 68.3005
660.000000 81.040 69.6667
670.000000 81.159 70.9281
680.000000 81.287 72.0191
690.000000 81.414 72.9998
700.000000 81.540 73.9336
710.000000 81.663 74.7995
720.000000 81.789 75.5809
730.000000 81.917 76.3152
740.000000 82.042 76.9774
750.000000 82.165 77.5592
762.000000 82.306 78.1617
775.000000 82.450 78.6466
788.000000 82.583 79.0377
800.000000 82.693 79.3499
812.000000 82.790 79.6173
825.000000 82.882 79.8846
838.000000 82.966 80.1525
850.000000 83.041 80.4004
862.000000 83.111 80.6264
875.000000 83.186 80.8380
885.000000 83.249 80.8929
900.000000 83.317 80.6298
912.000000 83.317 80.3765
925.000000 83.273 80.3075
938.000000 83.202 80.4685
950.000000 83.129 80.8528
962.000000 83.067 81.4587
975.000000 83.020 82.2709
988.000000 82.994 83.1925
1000.000000 82.996 84.1417
1015.000000 83.044 85.3288
1030.000000 83.141 86.2774
1044.000000 83.249 86.8578
1060.000000 83.364 87.1902
1075.000000 83.444 87.2150
1090.000000 83.484 87.0958
1106.000000 83.483 86.9386
1120.000000 83.448 86.8836
1138.000000 83.372 87.0258
1150.000000 83.304 87.2500
1172.000000 83.160 87.9144
1180.000000 83.108 88.2420
1206.000000 82.957 89.4598
1220.000000 82.877 90.0719
1241.000000 82.718 91.0371
1250.000000 82.643 91.5635
1265.000000 82.525 92.6057
1280.000000 82.420 93.7993
1315.000000 82.229 96.8262
1320.000000 82.203 97.2736
1340.000000 82.105 99.0959
1360.000000 82.021 100.9487
1380.000000 81.954 102.8527
1400.000000 81.906 104.7840
1430.000000 81.846 107.7205
1450.000000 81.812 109.7053
1475.000000 81.775 112.1835
1500.000000 81.743 114.7904
1525.000000 81.731 117.5956
1550.000000 81.762 120.5509
1575.000000 81.838 123.4973
1600.000000 81.948 126.2368
1625.000000 82.054 128.7282
1650.000000 82.145 131.3620
1675.000000 82.267 134.2307
1700.000000 82.440 137.0562
1725.000000 82.647 139.7316
1750.000000 82.869 142.2632
1775.000000 83.103 144.7001
1800.000000 83.355 147.0900
1825.000000 83.635 149.4112
1850.000000 83.944 151.5646
1875.000000 84.265 153.4974
1900.000000 84.587 155.2221
1925.000000 84.906 156.7641
1950.000000 85.225 158.1644
1975.000000 85.547 159.4548
2000.000000 85.876 160.6304
2030.000000 86.282 161.7862
2060.000000 86.675 162.4635
2090.000000 86.990 162.8142
2120.000000 87.247 163.5278
2140.000000 87.432 164.1775
2180.000000 87.842 165.4323
2200.000000 88.060 165.9715
2240.000000 88.498 166.8232
2270.000000 88.825 167.3540
2300.000000 89.144 167.8021
2330.000000 89.443 168.1281
2360.000000 89.723 168.3163
2400.000000 90.080 168.4493
2430.000000 90.338 168.4977
2470.000000 90.669 168.5053
2500.000000 90.908 168.4782
2540.000000 91.212 168.3942
2580.000000 91.501 168.2806
2620.000000 91.784 168.1784
2650.000000 91.995 168.1166
2690.000000 92.280 168.0347
2720.000000 92.497 167.9711
2760.000000 92.804 167.9159
2800.000000 93.153 167.7968
2850.000000 93.638 167.1031
2900.000000 94.106 165.4901
2950.000000 94.497 163.1180
3000.000000 94.775 160.2747
3040.000000 94.903 157.8833
3070.000000 94.946 156.1644
3110.000000 94.951 154.1039
3150.000000 94.925 152.2868
3200.000000 94.854 150.1692
3250.000000 94.728 148.2667
3300.000000 94.543 146.6644
3350.000000 94.295 145.5122
3400.000000 93.995 145.0683
3450.000000 93.686 145.6247
3500.000000 93.445 147.3701
3550.000000 93.392 150.3024
3600.000000 93.669 153.7153
3650.000000 94.350 156.2665
3700.000000 95.359 155.9628
3750.000000 96.284 151.2267
3820.000000 96.631 140.6030
3870.000000 96.248 134.1465
3950.000000 95.289 128.1679
4000.000000 94.729 126.3044
4060.000000 94.163 124.9047
4120.000000 93.669 123.7416
4180.000000 93.178 122.5640
4250.000000 92.572 121.3672
4310.000000 92.027 120.6779
4370.000000 91.469 120.3245
4440.000000 90.806 120.3256
4500.000000 90.231 120.6728
4550.000000 89.748 121.1999
4620.000000 89.073 122.3081
4680.000000 88.490 123.6212
4750.000000 87.798 125.6615
4820.000000 87.103 128.4456
4870.000000 86.619 131.0322
4940.000000 86.010 135.6949
5000.000000 85.617 140.5680
5080.000000 85.408 148.0717
5150.000000 85.596 153.8747
5220.000000 85.949 157.9266
5300.000000 86.421 160.7778
5380.000000 86.893 161.6457
5450.000000 87.172 160.5678
5520.000000 87.128 158.3915
5600.000000 86.593 157.1938
5700.000000 85.828 161.3698
5800.000000 85.798 167.8786
5900.000000 86.234 171.6263
6000.000000 86.662 172.6476
6080.000000 86.890 172.2979
6150.000000 86.994 171.5402
6220.000000 87.009 170.5780
6300.000000 86.922 169.4702
6400.000000 86.693 168.4039
6500.000000 86.392 167.6813
6600.000000 86.007 167.1273
6700.000000 85.504 167.2148
6800.000000 84.951 168.5862
6900.000000 84.496 171.2609
7000.000000 84.253 174.3919
