* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:00:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.267 120.5343
20.600000 78.411 119.8196
20.900000 78.557 119.0932
21.200001 78.701 118.4883
21.400000 78.804 118.1607
21.799999 79.039 117.6061
22.000000 79.171 117.3254
22.400000 79.446 116.6585
22.700001 79.642 116.0600
23.000000 79.818 115.4285
23.299999 79.975 114.8289
23.600000 80.122 114.3034
24.000000 80.322 113.7047
24.299999 80.485 113.2681
24.700001 80.717 112.5972
25.000000 80.891 112.0027
25.400000 81.107 111.1459
25.799999 81.297 110.3404
26.200001 81.473 109.6819
26.500000 81.606 109.2760
26.900000 81.793 108.7635
27.200001 81.940 108.3314
27.600000 82.137 107.6382
28.000000 82.327 106.8306
28.500000 82.558 105.7618
29.000000 82.794 104.7145
29.500000 83.037 103.7150
30.000000 83.272 102.7977
30.400000 83.447 102.1574
30.700001 83.574 101.7268
31.100000 83.741 101.1640
31.500000 83.905 100.5280
32.000000 84.099 99.5490
32.500000 84.269 98.4322
33.000000 84.427 97.3412
33.500000 84.596 96.3513
34.000000 84.781 95.4003
34.500000 84.964 94.4227
35.000000 85.126 93.4441
35.500000 85.274 92.5088
36.000000 85.422 91.5918
36.500000 85.571 90.6521
37.000000 85.706 89.7431
37.500000 85.824 88.9851
38.200001 85.984 88.1738
38.700001 86.106 87.5195
39.500000 86.288 86.0071
40.000000 86.396 84.9700
40.599998 86.560 83.9440
41.200001 86.773 83.1303
41.799999 86.975 82.3103
42.500000 87.106 81.2626
43.099998 87.161 80.2956
43.700001 87.260 79.1012
44.400002 87.487 77.3748
45.000000 87.739 76.1074
45.500000 87.966 75.5301
46.200001 88.284 75.1162
46.799999 88.493 74.2994
47.500000 88.566 72.4168
48.200001 88.515 70.3504
48.700001 88.525 69.1886
49.400002 88.676 67.6978
50.000000 88.817 66.1054
50.799999 88.819 63.8874
51.500000 88.736 62.4844
52.200001 88.774 61.2906
53.000000 88.933 59.6398
53.799999 89.055 58.2506
54.500000 89.130 57.4293
55.200001 89.189 56.4018
56.000000 89.199 54.8172
57.000000 89.156 53.1484
58.000000 89.136 52.1554
59.000000 89.157 51.2795
60.000000 89.214 50.2328
60.799999 89.247 49.5098
61.500000 89.268 49.0679
62.200001 89.305 48.6036
63.000000 89.387 47.8096
64.000000 89.568 46.3941
65.000000 89.774 44.6415
66.000000 89.913 42.8996
67.000000 90.034 41.2862
68.000000 90.178 39.4269
69.000000 90.307 37.2388
70.000000 90.388 34.7913
71.000000 90.413 32.1569
72.000000 90.389 29.4568
73.000000 90.318 26.8108
74.000000 90.213 24.2743
75.000000 90.080 21.7590
76.199997 89.846 18.9165
77.500000 89.515 16.2821
78.800003 89.173 13.9991
80.000000 88.859 12.1886
81.199997 88.513 10.7223
82.500000 88.139 9.5672
83.800003 87.807 8.6667
85.000000 87.499 8.0076
86.199997 87.186 7.5308
87.500000 86.863 7.3065
88.500000 86.625 7.2959
90.000000 86.277 7.5291
91.199997 86.050 7.8497
92.500000 85.852 8.0423
93.800003 85.659 8.1230
95.000000 85.463 8.3420
96.199997 85.279 8.7249
97.500000 85.102 9.0053
98.800003 84.920 9.3749
100.000000 84.776 9.8634
101.500000 84.620 10.2492
103.000000 84.465 10.6222
104.400002 84.320 11.0603
106.000000 84.162 11.4896
107.500000 84.005 11.8048
109.000000 83.834 12.1692
110.599998 83.620 12.6519
112.000000 83.399 13.2265
113.800003 83.109 14.1864
115.000000 82.900 14.9177
117.199997 82.502 16.9120
118.000000 82.352 18.1037
120.599998 81.990 22.5071
122.000000 81.971 24.3454
124.099998 82.033 27.8779
125.000000 82.093 29.4285
126.500000 82.246 31.7029
128.000000 82.447 33.5856
131.500000 82.994 36.5710
132.000000 83.068 36.9346
134.000000 83.359 38.2638
136.000000 83.669 38.7813
138.000000 83.940 38.7876
140.000000 84.155 38.6036
143.000000 84.436 38.0446
145.000000 84.599 37.8521
147.500000 84.799 37.4026
150.000000 84.931 36.5411
152.500000 85.030 35.5681
155.000000 85.183 34.9985
157.500000 85.330 34.4956
160.000000 85.397 34.2476
162.500000 85.367 33.5202
165.000000 85.353 32.5232
167.500000 85.413 31.8632
170.000000 85.470 31.0470
172.500000 85.507 29.9688
175.000000 85.499 28.8429
177.500000 85.472 28.0533
180.000000 85.411 27.5013
182.500000 85.299 26.9382
185.000000 85.182 26.3266
187.500000 85.061 25.6771
190.000000 84.925 25.3636
192.500000 84.759 25.2464
195.000000 84.578 25.2980
197.500000 84.424 25.7189
200.000000 84.412 26.2788
203.000000 84.434 26.6476
206.000000 84.409 26.3698
209.000000 84.360 26.0680
212.000000 84.302 25.9524
214.000000 84.235 25.8444
218.000000 84.083 25.7740
220.000000 84.010 25.7362
224.000000 83.850 25.7098
227.000000 83.727 25.8307
230.000000 83.595 26.1330
233.000000 83.452 26.2856
236.000000 83.290 26.6156
240.000000 83.066 27.6914
243.000000 82.924 28.5050
247.000000 82.801 29.8792
250.000000 82.751 30.9804
254.000000 82.729 32.2019
258.000000 82.748 33.0933
262.000000 82.767 33.7357
265.000000 82.742 34.1912
269.000000 82.665 34.4948
272.000000 82.615 34.5674
276.000000 82.564 34.7994
280.000000 82.488 35.1541
285.000000 82.330 35.8819
290.000000 82.160 36.8250
295.000000 82.028 37.9831
300.000000 81.930 39.3193
304.000000 81.840 40.6115
307.000000 81.779 41.5535
311.000000 81.692 42.8662
315.000000 81.618 44.3363
320.000000 81.626 46.3828
325.000000 81.748 48.1462
330.000000 81.909 49.1847
335.000000 82.022 49.7435
340.000000 82.098 50.2076
345.000000 82.168 50.6895
350.000000 82.228 50.8584
355.000000 82.224 50.6220
360.000000 82.125 50.4644
365.000000 82.000 50.8282
370.000000 81.903 51.6294
375.000000 81.831 52.7189
382.000000 81.772 54.1565
387.000000 81.752 55.1187
395.000000 81.738 56.5544
400.000000 81.758 57.4323
406.000000 81.790 58.3300
412.000000 81.804 59.0153
418.000000 81.785 59.6837
425.000000 81.720 60.4947
431.000000 81.669 61.1681
437.000000 81.608 61.9391
444.000000 81.526 63.0856
450.000000 81.487 64.4743
455.000000 81.512 65.8975
462.000000 81.630 67.3544
468.000000 81.701 67.6586
475.000000 81.713 67.8119
482.000000 81.673 68.2433
487.000000 81.617 68.7651
494.000000 81.537 69.7129
500.000000 81.475 70.5240
508.000000 81.398 71.6560
515.000000 81.340 72.7626
522.000000 81.288 73.9055
530.000000 81.246 75.2656
538.000000 81.213 76.7162
545.000000 81.186 77.9791
552.000000 81.166 79.2354
560.000000 81.151 80.6758
570.000000 81.147 82.4109
580.000000 81.136 84.1100
590.000000 81.112 85.9415
600.000000 81.116 87.9411
608.000000 81.152 89.5643
615.000000 81.191 90.9302
622.000000 81.234 92.2457
630.000000 81.292 93.7300
640.000000 81.381 95.5672
650.000000 81.488 97.2727
660.000000 81.597 98.8270
670.000000 81.706 100.2678
680.000000 81.816 101.6637
690.000000 81.933 103.0600
700.000000 82.055 104.4174
710.000000 82.185 105.7153
720.000000 82.325 106.9454
730.000000 82.481 108.0925
740.000000 82.645 109.0708
750.000000 82.803 109.8610
762.000000 82.977 110.6598
775.000000 83.142 111.3354
788.000000 83.280 111.9318
800.000000 83.391 112.5000
812.000000 83.496 113.0940
825.000000 83.615 113.6997
838.000000 83.736 114.1822
850.000000 83.841 114.5008
862.000000 83.924 114.6944
875.000000 83.988 114.8482
885.000000 84.024 114.9496
900.000000 84.052 115.0859
912.000000 84.050 115.2959
925.000000 84.043 115.6987
938.000000 84.047 116.0651
950.000000 84.039 116.2697
962.000000 84.004 116.4982
975.000000 83.947 116.9052
988.000000 83.890 117.4992
1000.000000 83.853 118.1144
1015.000000 83.816 118.8626
1030.000000 83.781 119.5708
1044.000000 83.744 120.1946
1060.000000 83.697 120.8777
1075.000000 83.647 121.4747
1090.000000 83.588 122.0236
1106.000000 83.508 122.6045
1120.000000 83.421 123.1319
1138.000000 83.283 123.8827
1150.000000 83.174 124.4387
1172.000000 82.948 125.7208
1180.000000 82.865 126.2954
1206.000000 82.613 128.4304
1220.000000 82.490 129.6920
1241.000000 82.318 131.6284
1250.000000 82.245 132.5021
1265.000000 82.129 134.0293
1280.000000 82.019 135.5999
1315.000000 81.785 139.4717
1320.000000 81.756 140.0500
1340.000000 81.650 142.3895
1360.000000 81.556 144.7571
1380.000000 81.476 147.1147
1400.000000 81.405 149.4398
1430.000000 81.291 153.0522
1450.000000 81.232 155.6231
1475.000000 81.181 158.8126
1500.000000 81.131 161.9829
1525.000000 81.089 165.2309
1550.000000 81.062 168.5028
1575.000000 81.037 171.7793
1600.000000 80.999 175.0305
1625.000000 80.917 178.2330
1650.000000 80.722 -178.2979
1675.000000 80.403 -173.4543
1700.000000 80.081 -166.1403
1725.000000 80.097 -154.2390
1750.000000 81.417 -138.0049
1775.000000 83.991 -129.5164
1800.000000 86.108 -133.4113
1825.000000 87.096 -141.1781
1850.000000 87.360 -147.0172
1875.000000 87.384 -150.1651
1900.000000 87.383 -151.5553
1925.000000 87.415 -151.9378
1950.000000 87.490 -151.8018
1975.000000 87.597 -151.3883
2000.000000 87.729 -150.7494
2030.000000 87.938 -149.7305
2060.000000 88.228 -148.7784
2090.000000 88.545 -148.4148
2120.000000 88.809 -148.3349
2140.000000 88.969 -148.2186
2180.000000 89.287 -148.0155
2200.000000 89.436 -147.9669
2240.000000 89.721 -147.8297
2270.000000 89.936 -147.7070
2300.000000 90.151 -147.6270
2330.000000 90.361 -147.6249
2360.000000 90.564 -147.7214
2400.000000 90.825 -148.0099
2430.000000 91.006 -148.3329
2470.000000 91.216 -148.8113
2500.000000 91.362 -149.1077
2540.000000 91.570 -149.5462
2580.000000 91.766 -150.2679
2620.000000 91.915 -151.1174
2650.000000 91.999 -151.7339
2690.000000 92.084 -152.4584
2720.000000 92.137 -152.9037
2760.000000 92.207 -153.4158
2800.000000 92.267 -153.9979
2850.000000 92.285 -154.8246
2900.000000 92.230 -155.2846
2950.000000 92.153 -155.0029
3000.000000 92.143 -153.8456
3040.000000 92.264 -152.4821
3070.000000 92.461 -151.5584
3110.000000 92.854 -151.0958
3150.000000 93.278 -152.2267
3200.000000 93.557 -155.2316
3250.000000 93.600 -157.9250
3300.000000 93.506 -160.3146
3350.000000 93.282 -161.8176
3400.000000 93.025 -162.2468
3450.000000 92.766 -161.4602
3500.000000 92.669 -158.4526
3550.000000 93.180 -154.1735
3600.000000 94.260 -153.5265
3650.000000 95.206 -158.1412
3700.000000 95.602 -165.3286
3750.000000 95.479 -172.1166
3820.000000 94.922 -178.8729
3870.000000 94.467 177.6674
3950.000000 93.683 173.6145
4000.000000 93.186 172.0118
4060.000000 92.642 170.7688
4120.000000 92.167 169.8822
4180.000000 91.746 169.0693
4250.000000 91.281 167.9319
4310.000000 90.844 166.8686
4370.000000 90.366 166.1088
4440.000000 89.820 165.6141
4500.000000 89.365 165.1661
4550.000000 88.960 164.6974
4620.000000 88.302 164.2310
4680.000000 87.650 164.4327
4750.000000 86.827 165.8084
4820.000000 86.004 168.7314
4870.000000 85.476 171.8305
4940.000000 84.916 177.3996
5000.000000 84.666 -177.1074
5080.000000 84.705 -169.6620
5150.000000 85.063 -163.4445
5220.000000 85.884 -157.8864
5300.000000 87.194 -156.3193
5380.000000 88.253 -160.3361
5450.000000 88.627 -166.2813
5520.000000 88.430 -171.5539
5600.000000 87.921 -174.0845
5700.000000 87.614 -174.2561
5800.000000 87.588 -175.0622
5900.000000 87.582 -176.7110
6000.000000 87.560 -178.8320
6080.000000 87.523 179.0547
6150.000000 87.449 176.8684
6220.000000 87.314 174.4654
6300.000000 87.078 171.6711
6400.000000 86.671 168.3898
6500.000000 86.143 165.5019
