* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:52:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Jazz A Ultra) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.117 101.9036
20.600000 85.299 99.7486
20.900000 85.482 97.3622
21.200001 85.636 94.8806
21.400000 85.718 93.1822
21.799999 85.834 89.7329
22.000000 85.871 88.0187
22.400000 85.914 84.7020
22.700001 85.934 82.3584
23.000000 85.954 80.1465
23.299999 85.978 78.0442
23.600000 86.003 76.0178
24.000000 86.028 73.3863
24.299999 86.030 71.4539
24.700001 86.003 68.9507
25.000000 85.958 67.1520
25.400000 85.873 64.8874
25.799999 85.768 62.7860
26.200001 85.653 60.8426
26.500000 85.565 59.4842
26.900000 85.448 57.8038
27.200001 85.362 56.6408
27.600000 85.254 55.2111
28.000000 85.155 53.9003
28.500000 85.040 52.4079
29.000000 84.925 51.1020
29.500000 84.807 50.0404
30.000000 84.692 49.2184
30.400000 84.606 48.6599
30.700001 84.543 48.2482
31.100000 84.458 47.6724
31.500000 84.369 47.0706
32.000000 84.261 46.3480
32.500000 84.175 45.7329
33.000000 84.121 45.2419
33.500000 84.091 44.8428
34.000000 84.062 44.4961
34.500000 84.017 44.1642
35.000000 83.951 43.8214
35.500000 83.871 43.4885
36.000000 83.799 43.2314
36.500000 83.755 43.0971
37.000000 83.741 43.0735
37.500000 83.733 43.1476
38.200001 83.692 43.5228
38.700001 83.660 44.0015
39.500000 83.697 44.5445
40.000000 83.781 44.3026
40.599998 83.888 43.3660
41.200001 83.951 42.0907
41.799999 83.948 40.8947
42.500000 83.873 39.9917
43.099998 83.803 39.7436
43.700001 83.782 39.7318
44.400002 83.795 39.6148
45.000000 83.776 39.5826
45.500000 83.752 39.8353
46.200001 83.785 40.3118
46.799999 83.862 40.1593
47.500000 83.886 39.3375
48.200001 83.843 38.8458
48.700001 83.855 38.9635
49.400002 83.978 39.3282
50.000000 84.118 39.4754
50.799999 84.243 39.5461
51.500000 84.276 39.6088
52.200001 84.263 39.6273
53.000000 84.269 39.5501
53.799999 84.355 39.2361
54.500000 84.449 38.9068
55.200001 84.517 38.8498
56.000000 84.572 39.0328
57.000000 84.621 39.1678
58.000000 84.727 39.2635
59.000000 84.905 39.3007
60.000000 85.054 39.4476
60.799999 85.168 39.6077
61.500000 85.280 39.6006
62.200001 85.403 39.5022
63.000000 85.571 39.3708
64.000000 85.818 39.0752
65.000000 86.080 38.6105
66.000000 86.365 38.0202
67.000000 86.654 37.1559
68.000000 86.919 36.0013
69.000000 87.166 34.5703
70.000000 87.395 32.8665
71.000000 87.600 30.9763
72.000000 87.775 28.9241
73.000000 87.912 26.7510
74.000000 88.011 24.5165
75.000000 88.071 22.2559
76.199997 88.093 19.5285
77.500000 88.057 16.6381
78.800003 87.969 13.9850
80.000000 87.849 11.7595
81.199997 87.704 9.7799
82.500000 87.534 7.9116
83.800003 87.354 6.3231
85.000000 87.188 5.0707
86.199997 87.030 3.9897
87.500000 86.869 2.9654
88.500000 86.753 2.2614
90.000000 86.593 1.3247
91.199997 86.481 0.5779
92.500000 86.375 -0.2811
93.800003 86.279 -1.1485
95.000000 86.191 -1.9396
96.199997 86.107 -2.7635
97.500000 86.014 -3.7189
98.800003 85.910 -4.7231
100.000000 85.799 -5.6941
101.500000 85.641 -6.9276
103.000000 85.462 -8.1776
104.400002 85.267 -9.3418
106.000000 85.009 -10.5276
107.500000 84.739 -11.4092
109.000000 84.455 -12.0600
110.599998 84.147 -12.4807
112.000000 83.878 -12.6403
113.800003 83.539 -12.6455
115.000000 83.322 -12.5173
117.199997 82.945 -12.0853
118.000000 82.814 -11.8476
120.599998 82.406 -10.6685
122.000000 82.189 -9.7896
124.099998 81.911 -8.3241
125.000000 81.818 -7.6671
126.500000 81.688 -6.5510
128.000000 81.578 -5.4123
131.500000 81.393 -2.8254
132.000000 81.376 -2.4689
134.000000 81.320 -1.1142
136.000000 81.275 0.1238
138.000000 81.249 1.3037
140.000000 81.241 2.4035
143.000000 81.243 3.8588
145.000000 81.256 4.8020
147.500000 81.299 5.9778
150.000000 81.346 6.9713
152.500000 81.398 7.7588
155.000000 81.453 8.5099
157.500000 81.518 9.2681
160.000000 81.596 9.8992
162.500000 81.676 10.4211
165.000000 81.750 10.8756
167.500000 81.826 11.1690
170.000000 81.894 11.4279
172.500000 81.957 11.6483
175.000000 82.027 11.7858
177.500000 82.084 11.8693
180.000000 82.128 11.9109
182.500000 82.185 11.9589
185.000000 82.237 11.9523
187.500000 82.273 11.9008
190.000000 82.297 11.8130
192.500000 82.315 11.7419
195.000000 82.327 11.6743
197.500000 82.331 11.6306
200.000000 82.331 11.6434
203.000000 82.328 11.7147
206.000000 82.326 11.8299
209.000000 82.331 11.9914
212.000000 82.345 12.1989
214.000000 82.356 12.3315
218.000000 82.392 12.5177
220.000000 82.414 12.5473
224.000000 82.450 12.5567
227.000000 82.473 12.6032
230.000000 82.500 12.6397
233.000000 82.528 12.6521
236.000000 82.560 12.5989
240.000000 82.605 12.3945
243.000000 82.616 12.1898
247.000000 82.598 11.8662
250.000000 82.565 11.6662
254.000000 82.507 11.5981
258.000000 82.465 11.8082
262.000000 82.441 12.1032
265.000000 82.436 12.3240
269.000000 82.441 12.5758
272.000000 82.451 12.7279
276.000000 82.469 12.9046
280.000000 82.493 13.0403
285.000000 82.521 13.1449
290.000000 82.550 13.1823
295.000000 82.580 13.1375
300.000000 82.615 13.0270
304.000000 82.636 12.9157
307.000000 82.646 12.7624
311.000000 82.648 12.4559
315.000000 82.628 12.1119
320.000000 82.563 11.8126
325.000000 82.477 11.8852
330.000000 82.430 12.3594
335.000000 82.453 12.8130
340.000000 82.503 12.8736
345.000000 82.527 12.7027
350.000000 82.528 12.5965
355.000000 82.547 12.5232
360.000000 82.590 12.2127
365.000000 82.611 11.6324
370.000000 82.580 10.9406
375.000000 82.502 10.3342
382.000000 82.353 9.6625
387.000000 82.231 9.3657
395.000000 82.028 9.2645
400.000000 81.906 9.3635
406.000000 81.767 9.6080
412.000000 81.636 9.9591
418.000000 81.521 10.3724
425.000000 81.393 10.9125
431.000000 81.284 11.3779
437.000000 81.171 11.8409
444.000000 81.027 12.4837
450.000000 80.891 13.3128
455.000000 80.794 14.3328
462.000000 80.750 15.9914
468.000000 80.785 17.0190
475.000000 80.821 17.6486
482.000000 80.823 18.1494
487.000000 80.815 18.5273
494.000000 80.800 19.0375
500.000000 80.779 19.4478
508.000000 80.733 20.0287
515.000000 80.684 20.5942
522.000000 80.634 21.2363
530.000000 80.581 22.0441
538.000000 80.539 22.8970
545.000000 80.507 23.7041
552.000000 80.478 24.5579
560.000000 80.451 25.5449
570.000000 80.431 26.8235
580.000000 80.433 28.1258
590.000000 80.456 29.3658
600.000000 80.483 30.5642
608.000000 80.508 31.5878
615.000000 80.537 32.4778
622.000000 80.577 33.3381
630.000000 80.633 34.2756
640.000000 80.713 35.4020
650.000000 80.802 36.4889
660.000000 80.902 37.5424
670.000000 81.014 38.5558
680.000000 81.140 39.4432
690.000000 81.274 40.2069
700.000000 81.407 40.8684
710.000000 81.539 41.4147
720.000000 81.670 41.8572
730.000000 81.801 42.2439
740.000000 81.931 42.5566
750.000000 82.056 42.7983
762.000000 82.199 42.9882
775.000000 82.343 43.0664
788.000000 82.470 43.0413
800.000000 82.571 42.9701
812.000000 82.658 42.8496
825.000000 82.736 42.6835
838.000000 82.799 42.5292
850.000000 82.847 42.4670
862.000000 82.895 42.4916
875.000000 82.960 42.4958
885.000000 83.017 42.3462
900.000000 83.080 41.8280
912.000000 83.086 41.3604
925.000000 83.054 40.8844
938.000000 82.972 40.5284
950.000000 82.865 40.5284
962.000000 82.761 40.8829
975.000000 82.672 41.5395
988.000000 82.614 42.3559
1000.000000 82.587 43.2178
1015.000000 82.603 44.4102
1030.000000 82.683 45.5413
1044.000000 82.797 46.3312
1060.000000 82.948 46.8344
1075.000000 83.086 46.9306
1090.000000 83.197 46.7004
1106.000000 83.270 46.2489
1120.000000 83.294 45.8150
1138.000000 83.277 45.3399
1150.000000 83.245 45.1077
1172.000000 83.161 44.8848
1180.000000 83.125 44.8693
1206.000000 83.012 45.0677
1220.000000 82.956 45.1801
1241.000000 82.832 45.3127
1250.000000 82.766 45.4910
1265.000000 82.656 45.9603
1280.000000 82.557 46.5490
1315.000000 82.366 48.1427
1320.000000 82.342 48.3878
1340.000000 82.251 49.4265
1360.000000 82.171 50.5491
1380.000000 82.104 51.7454
1400.000000 82.053 52.9881
1430.000000 81.992 54.7875
1450.000000 81.950 55.9743
1475.000000 81.898 57.5438
1500.000000 81.842 59.2602
1525.000000 81.790 61.1806
1550.000000 81.758 63.2889
1575.000000 81.755 65.5014
1600.000000 81.765 67.8889
1625.000000 81.828 70.6951
1650.000000 82.008 73.4089
1675.000000 82.227 75.5228
1700.000000 82.435 77.4051
1725.000000 82.643 79.2424
1750.000000 82.860 81.0415
1775.000000 83.090 82.7834
1800.000000 83.336 84.4872
1825.000000 83.607 86.1416
1850.000000 83.905 87.6579
1875.000000 84.222 88.9606
1900.000000 84.545 90.0368
1925.000000 84.867 90.9408
1950.000000 85.190 91.7262
1975.000000 85.517 92.4124
2000.000000 85.849 92.9725
2030.000000 86.255 93.3723
2060.000000 86.646 93.2716
2090.000000 86.959 92.8146
2120.000000 87.206 92.6867
2140.000000 87.377 92.7968
2180.000000 87.756 93.0368
2200.000000 87.957 93.0963
2240.000000 88.366 92.9977
2270.000000 88.668 92.7509
2300.000000 88.957 92.3912
2330.000000 89.233 91.9546
2360.000000 89.495 91.4751
2400.000000 89.829 90.7856
2430.000000 90.068 90.2364
2470.000000 90.374 89.4580
2500.000000 90.594 88.8604
2540.000000 90.878 88.0519
2580.000000 91.155 87.2477
2620.000000 91.428 86.4802
2650.000000 91.635 85.9445
2690.000000 91.924 85.2390
2720.000000 92.152 84.6711
2760.000000 92.475 83.8659
2800.000000 92.835 82.9468
2850.000000 93.339 81.2981
2900.000000 93.839 78.7497
2950.000000 94.245 75.3420
3000.000000 94.516 71.4368
3040.000000 94.626 68.2662
3070.000000 94.653 66.0189
3110.000000 94.637 63.3184
3150.000000 94.593 60.9203
3200.000000 94.506 58.1914
3250.000000 94.377 55.8072
3300.000000 94.210 53.8605
3350.000000 94.019 52.4164
3400.000000 93.821 51.5716
3450.000000 93.638 51.4725
3500.000000 93.509 52.2902
3550.000000 93.535 54.1896
3600.000000 93.882 56.6714
3650.000000 94.654 58.3087
3700.000000 95.758 56.9449
3750.000000 96.755 51.0915
3820.000000 97.165 38.9908
3870.000000 96.818 31.6469
3950.000000 95.969 24.4242
4000.000000 95.513 21.6799
4060.000000 95.083 19.0038
4120.000000 94.725 16.3980
4180.000000 94.371 13.7431
4250.000000 93.915 10.7335
4310.000000 93.482 8.3399
4370.000000 93.023 6.1761
4440.000000 92.458 3.9779
4500.000000 91.950 2.3893
4550.000000 91.511 1.2794
4620.000000 90.872 0.0904
4680.000000 90.301 -0.5129
4750.000000 89.607 -0.5941
4820.000000 88.895 0.1798
4870.000000 88.396 1.4113
4940.000000 87.774 4.2748
5000.000000 87.375 7.5873
5080.000000 87.153 13.0742
5150.000000 87.355 17.2293
5220.000000 87.740 19.5224
5300.000000 88.247 20.2508
5380.000000 88.748 18.8547
5450.000000 89.031 15.6404
5520.000000 88.950 11.2862
5600.000000 88.305 7.8136
5700.000000 87.345 9.7334
5800.000000 87.188 14.3704
5900.000000 87.561 16.0707
6000.000000 87.921 14.8287
6080.000000 88.071 12.7105
6150.000000 88.092 10.5146
6220.000000 88.018 8.2321
6300.000000 87.828 5.7379
6400.000000 87.472 3.1048
6500.000000 87.053 1.0876
6600.000000 86.582 -0.4932
6700.000000 86.034 -1.3604
6800.000000 85.460 -1.0936
