* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 18, 2024 7:57:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Max5c (Pop ANC Off) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.488 114.4321
20.600000 81.649 113.9071
20.900000 81.835 113.3284
21.200001 82.029 112.7195
21.400000 82.160 112.2935
21.799999 82.422 111.4022
22.000000 82.551 110.9478
22.400000 82.805 110.0546
22.700001 82.992 109.4143
23.000000 83.180 108.7962
23.299999 83.369 108.1821
23.600000 83.558 107.5501
24.000000 83.804 106.6590
24.299999 83.981 105.9623
24.700001 84.203 105.0332
25.000000 84.362 104.3617
25.400000 84.569 103.5113
25.799999 84.778 102.6858
26.200001 84.990 101.8398
26.500000 85.150 101.1738
26.900000 85.359 100.2458
27.200001 85.513 99.5322
27.600000 85.717 98.5747
28.000000 85.920 97.6158
28.500000 86.171 96.4089
29.000000 86.414 95.1966
29.500000 86.649 94.0063
30.000000 86.881 92.8517
30.400000 87.071 91.9344
30.700001 87.214 91.2336
31.100000 87.405 90.2701
31.500000 87.591 89.2753
32.000000 87.810 88.0055
32.500000 88.019 86.7065
33.000000 88.219 85.3426
33.500000 88.409 83.8876
34.000000 88.584 82.3818
34.500000 88.745 80.9178
35.000000 88.904 79.5602
35.500000 89.070 78.2835
36.000000 89.242 77.0030
36.500000 89.412 75.6589
37.000000 89.570 74.2613
37.500000 89.718 72.8629
38.200001 89.913 70.9732
38.700001 90.044 69.6743
39.500000 90.234 67.6285
40.000000 90.343 66.3231
40.599998 90.469 64.6924
41.200001 90.595 63.0239
41.799999 90.725 61.4095
42.500000 90.879 59.6748
43.099998 91.006 58.2835
43.700001 91.119 56.9044
44.400002 91.229 55.2276
45.000000 91.311 53.7037
45.500000 91.369 52.4033
46.200001 91.436 50.6577
46.799999 91.482 49.3208
47.500000 91.534 47.9328
48.200001 91.586 46.6163
48.700001 91.624 45.6663
49.400002 91.678 44.2974
50.000000 91.727 43.1060
50.799999 91.800 41.5930
51.500000 91.880 40.4120
52.200001 91.976 39.3268
53.000000 92.082 38.1472
53.799999 92.181 37.0709
54.500000 92.292 36.1332
55.200001 92.435 34.9969
56.000000 92.601 33.4129
57.000000 92.779 31.2813
58.000000 92.928 29.0563
59.000000 93.050 26.7729
60.000000 93.162 24.6807
60.799999 93.246 23.1574
61.500000 93.318 21.8699
62.200001 93.401 20.5715
63.000000 93.524 19.0344
64.000000 93.707 16.9975
65.000000 93.867 14.8178
66.000000 94.000 12.5745
67.000000 94.168 10.1631
68.000000 94.360 7.4068
69.000000 94.534 4.4083
70.000000 94.684 1.1746
71.000000 94.796 -2.3412
72.000000 94.856 -6.1100
73.000000 94.869 -10.1269
74.000000 94.837 -14.2382
75.000000 94.745 -18.2337
76.199997 94.533 -22.8876
77.500000 94.220 -27.9092
78.800003 93.858 -32.6366
80.000000 93.456 -36.5488
81.199997 92.997 -40.1534
82.500000 92.474 -43.4893
83.800003 91.934 -46.2207
85.000000 91.422 -48.4762
86.199997 90.919 -50.4393
87.500000 90.384 -52.1533
88.500000 89.980 -53.3381
90.000000 89.401 -54.9574
91.199997 88.951 -55.9823
92.500000 88.472 -56.9360
93.800003 88.017 -57.8179
95.000000 87.590 -58.4814
96.199997 87.131 -59.0691
97.500000 86.634 -59.7261
98.800003 86.157 -60.1663
100.000000 85.712 -60.2387
101.500000 85.120 -60.0027
103.000000 84.529 -59.3182
104.400002 84.010 -58.2711
106.000000 83.464 -56.6068
107.500000 83.016 -54.6594
109.000000 82.633 -52.5488
110.599998 82.312 -50.3640
112.000000 82.096 -48.6210
113.800003 81.854 -46.3638
115.000000 81.707 -44.9896
117.199997 81.474 -42.8833
118.000000 81.406 -42.1399
120.599998 81.207 -39.6501
122.000000 81.106 -38.2095
124.099998 80.983 -36.0953
125.000000 80.943 -35.1942
126.500000 80.900 -33.6270
128.000000 80.891 -32.0212
131.500000 81.000 -28.9665
132.000000 81.026 -28.6824
134.000000 81.130 -27.7265
136.000000 81.229 -26.9275
138.000000 81.325 -26.4469
140.000000 81.390 -26.1360
143.000000 81.487 -25.7133
145.000000 81.592 -25.8467
147.500000 81.667 -26.2852
150.000000 81.684 -26.8660
152.500000 81.694 -27.1801
155.000000 81.699 -27.5460
157.500000 81.680 -28.0364
160.000000 81.645 -28.5187
162.500000 81.603 -29.0710
165.000000 81.559 -29.7342
167.500000 81.503 -30.3501
170.000000 81.435 -31.1075
172.500000 81.348 -31.8456
175.000000 81.244 -32.5498
177.500000 81.120 -33.2119
180.000000 80.972 -33.8531
182.500000 80.800 -34.4415
185.000000 80.637 -34.9518
187.500000 80.483 -35.2380
190.000000 80.313 -35.3972
192.500000 80.143 -35.5500
195.000000 79.994 -35.6814
197.500000 79.856 -35.8074
200.000000 79.699 -36.0583
203.000000 79.484 -36.4287
206.000000 79.266 -36.6935
209.000000 79.053 -36.9561
212.000000 78.827 -37.1157
214.000000 78.670 -37.1183
218.000000 78.343 -36.8885
220.000000 78.175 -36.6765
224.000000 77.848 -36.1438
227.000000 77.620 -35.6196
230.000000 77.401 -35.0148
233.000000 77.199 -34.2328
236.000000 77.035 -33.4724
240.000000 76.885 -32.6936
243.000000 76.760 -32.4212
247.000000 76.513 -32.2512
250.000000 76.291 -31.8880
254.000000 76.012 -30.9388
258.000000 75.774 -29.8371
262.000000 75.554 -28.8438
265.000000 75.390 -28.0312
269.000000 75.179 -26.9187
272.000000 75.025 -26.0997
276.000000 74.822 -24.9436
280.000000 74.633 -23.6731
285.000000 74.426 -22.0702
290.000000 74.246 -20.4203
295.000000 74.083 -18.8627
300.000000 73.938 -17.5539
304.000000 73.790 -16.6261
307.000000 73.654 -15.8814
311.000000 73.455 -14.6688
315.000000 73.259 -13.2429
320.000000 73.048 -11.0456
325.000000 72.908 -8.3435
330.000000 72.889 -5.4686
335.000000 72.957 -3.1512
340.000000 73.046 -1.5376
345.000000 73.126 -0.0672
350.000000 73.247 1.1959
355.000000 73.403 1.6888
360.000000 73.473 1.2815
365.000000 73.397 0.8150
370.000000 73.232 0.8789
375.000000 73.051 1.4591
382.000000 72.826 2.7927
387.000000 72.684 3.8674
395.000000 72.475 5.8105
400.000000 72.358 7.2369
406.000000 72.254 8.9526
412.000000 72.186 10.6370
418.000000 72.140 12.1704
425.000000 72.095 13.8177
431.000000 72.041 15.1203
437.000000 71.971 16.4654
444.000000 71.868 18.2633
450.000000 71.782 20.2589
455.000000 71.785 22.3513
462.000000 71.965 24.9483
468.000000 72.157 25.9590
475.000000 72.279 26.3392
482.000000 72.321 26.8578
487.000000 72.337 27.3606
494.000000 72.345 28.0647
500.000000 72.333 28.6225
508.000000 72.304 29.3886
515.000000 72.278 30.1487
522.000000 72.244 30.9532
530.000000 72.192 31.8925
538.000000 72.144 32.8667
545.000000 72.106 33.7477
552.000000 72.066 34.6132
560.000000 72.021 35.6257
570.000000 71.958 36.9197
580.000000 71.885 38.1525
590.000000 71.812 39.4081
600.000000 71.734 40.7490
608.000000 71.664 41.8687
615.000000 71.605 42.8276
622.000000 71.547 43.8033
630.000000 71.481 44.9549
640.000000 71.398 46.3750
650.000000 71.313 47.8144
660.000000 71.222 49.3344
670.000000 71.133 50.8873
680.000000 71.052 52.5030
690.000000 70.973 54.2030
700.000000 70.901 55.8569
710.000000 70.834 57.5340
720.000000 70.772 59.3232
730.000000 70.707 61.2300
740.000000 70.642 63.1963
750.000000 70.592 65.1633
762.000000 70.556 67.5559
775.000000 70.529 70.1993
788.000000 70.520 72.8626
800.000000 70.530 75.2925
812.000000 70.568 77.6917
825.000000 70.631 80.2791
838.000000 70.692 82.8015
850.000000 70.751 85.1147
862.000000 70.830 87.4679
875.000000 70.958 90.0479
885.000000 71.095 91.9164
900.000000 71.324 94.1512
912.000000 71.478 95.5457
925.000000 71.588 96.9388
938.000000 71.641 98.3610
950.000000 71.672 99.9541
962.000000 71.707 101.7540
975.000000 71.759 103.7688
988.000000 71.830 105.9444
1000.000000 71.920 108.0244
1015.000000 72.062 110.5500
1030.000000 72.239 113.1029
1044.000000 72.435 115.4069
1060.000000 72.677 117.7920
1075.000000 72.911 119.8437
1090.000000 73.157 121.7055
1106.000000 73.429 123.5446
1120.000000 73.659 125.0274
1138.000000 73.946 126.7214
1150.000000 74.131 127.8052
1172.000000 74.458 129.6974
1180.000000 74.575 130.3406
1206.000000 74.953 132.2278
1220.000000 75.149 133.0432
1241.000000 75.403 134.1399
1250.000000 75.498 134.7007
1265.000000 75.655 135.7405
1280.000000 75.815 136.8156
1315.000000 76.224 139.2528
1320.000000 76.286 139.5657
1340.000000 76.537 140.7234
1360.000000 76.774 141.7593
1380.000000 77.003 142.6438
1400.000000 77.219 143.4481
1430.000000 77.496 144.6726
1450.000000 77.674 145.4877
1475.000000 77.888 146.5183
1500.000000 78.091 147.6575
1525.000000 78.291 148.7938
1550.000000 78.490 150.0262
1575.000000 78.698 151.2324
1600.000000 78.923 152.3212
1625.000000 79.135 153.0647
1650.000000 79.279 153.7650
1675.000000 79.408 154.8965
1700.000000 79.589 156.1438
1725.000000 79.784 157.2500
1750.000000 79.966 158.2533
1775.000000 80.148 159.2870
1800.000000 80.330 160.4077
1825.000000 80.516 161.6068
1850.000000 80.717 162.7412
1875.000000 80.921 163.7683
1900.000000 81.122 164.7258
1925.000000 81.322 165.6379
1950.000000 81.516 166.5178
1975.000000 81.714 167.3792
2000.000000 81.928 168.2304
2030.000000 82.194 169.1826
2060.000000 82.459 169.9144
2090.000000 82.675 170.4085
2120.000000 82.847 171.3037
2140.000000 82.987 172.0900
2180.000000 83.318 173.5104
2200.000000 83.487 174.1034
2240.000000 83.851 175.1455
2270.000000 84.134 175.8032
2300.000000 84.408 176.3955
2330.000000 84.687 176.8958
2360.000000 84.970 177.2728
2400.000000 85.336 177.5069
2430.000000 85.612 177.5768
2470.000000 85.972 177.5523
2500.000000 86.224 177.4134
2540.000000 86.544 177.0724
2580.000000 86.827 176.5544
2620.000000 87.070 175.9736
2650.000000 87.242 175.6213
2690.000000 87.441 175.2108
2720.000000 87.562 174.9938
2760.000000 87.707 174.9756
2800.000000 87.860 175.4548
2850.000000 88.197 176.7064
2900.000000 88.804 177.5024
2950.000000 89.489 176.5635
3000.000000 90.087 174.1656
3040.000000 90.455 171.6970
3070.000000 90.675 169.6910
3110.000000 90.908 166.9354
3150.000000 91.082 164.1728
3200.000000 91.259 160.5943
3250.000000 91.387 156.7630
3300.000000 91.414 152.5528
3350.000000 91.326 148.0530
3400.000000 91.111 143.3002
3450.000000 90.713 138.1451
3500.000000 90.053 132.8715
3550.000000 88.985 128.4809
3600.000000 87.406 127.6441
3650.000000 85.753 135.2213
3700.000000 85.536 152.1499
3750.000000 87.276 161.9753
3820.000000 89.256 154.4213
3870.000000 89.323 144.8146
3950.000000 87.987 135.3767
4000.000000 86.934 134.3925
4060.000000 85.846 136.5377
4120.000000 85.089 140.6284
4180.000000 84.646 145.3468
4250.000000 84.473 150.7357
4310.000000 84.590 154.8199
4370.000000 84.868 157.6848
4440.000000 85.253 159.1384
4500.000000 85.532 158.9978
4550.000000 85.669 158.1259
4620.000000 85.700 156.3152
4680.000000 85.547 154.5430
4750.000000 85.157 152.7352
4820.000000 84.607 152.1946
4870.000000 84.169 152.8894
4940.000000 83.571 155.4414
5000.000000 83.203 158.9771
5080.000000 83.041 164.5543
5150.000000 83.234 168.6740
5220.000000 83.600 170.9760
5300.000000 84.032 171.8233
5380.000000 84.356 170.9947
5450.000000 84.500 169.1213
5520.000000 84.402 166.3683
5600.000000 83.859 163.3450
5700.000000 82.746 163.9962
5800.000000 81.963 170.3084
5900.000000 81.863 177.2876
6000.000000 82.150 -177.7441
6080.000000 82.457 -175.3600
6150.000000 82.741 -173.9404
6220.000000 83.023 -172.9742
6300.000000 83.297 -172.5891
