* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Pop AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.394 121.2598
20.600000 78.583 120.7663
20.900000 78.784 120.2007
21.200001 78.976 119.6198
21.400000 79.101 119.2355
21.799999 79.352 118.4863
22.000000 79.481 118.1212
22.400000 79.752 117.4033
22.700001 79.962 116.8697
23.000000 80.174 116.3372
23.299999 80.385 115.8034
23.600000 80.591 115.2643
24.000000 80.851 114.5257
24.299999 81.034 113.9464
24.700001 81.265 113.1278
25.000000 81.429 112.4784
25.400000 81.642 111.5834
25.799999 81.855 110.6965
26.200001 82.077 109.8645
26.500000 82.255 109.2850
26.900000 82.506 108.5416
27.200001 82.701 107.9672
27.600000 82.953 107.1317
28.000000 83.180 106.2135
28.500000 83.420 105.0240
29.000000 83.635 103.8593
29.500000 83.868 102.6514
30.000000 84.132 101.2762
30.400000 84.351 100.0806
30.700001 84.511 99.2030
31.100000 84.719 98.1510
31.500000 84.927 97.2576
32.000000 85.186 96.2270
32.500000 85.423 95.0935
33.000000 85.614 93.8436
33.500000 85.778 92.6329
34.000000 85.961 91.5089
34.500000 86.180 90.3419
35.000000 86.399 89.0765
35.500000 86.578 87.8761
36.000000 86.733 86.8611
36.500000 86.904 85.8075
37.000000 87.091 84.3373
37.500000 87.247 82.4426
38.200001 87.375 80.1051
38.700001 87.477 79.3292
39.500000 87.783 78.9664
40.000000 87.989 78.4210
40.599998 88.154 77.2255
41.200001 88.277 75.7021
41.799999 88.461 73.8638
42.500000 88.748 71.2771
43.099998 88.959 69.0963
43.700001 89.107 67.3156
44.400002 89.238 65.5186
45.000000 89.333 63.8313
45.500000 89.400 62.3728
46.200001 89.491 60.7752
46.799999 89.597 60.1055
47.500000 89.776 59.6935
48.200001 89.996 58.5345
48.700001 90.132 56.8044
49.400002 90.228 53.5102
50.000000 90.212 50.8848
50.799999 90.159 48.9197
51.500000 90.181 48.1194
52.200001 90.245 46.8456
53.000000 90.297 44.3269
53.799999 90.348 41.4918
54.500000 90.399 39.4568
55.200001 90.419 38.0265
56.000000 90.403 36.7676
57.000000 90.386 34.8145
58.000000 90.393 32.7506
59.000000 90.439 31.5952
60.000000 90.474 30.6236
60.799999 90.459 29.5585
61.500000 90.465 28.5795
62.200001 90.522 27.6497
63.000000 90.628 26.6208
64.000000 90.792 25.2307
65.000000 91.017 23.5295
66.000000 91.295 21.5988
67.000000 91.548 19.5842
68.000000 91.739 17.2564
69.000000 91.895 14.4057
70.000000 92.040 11.2296
71.000000 92.150 7.9018
72.000000 92.199 4.3926
73.000000 92.200 0.7309
74.000000 92.154 -2.9000
75.000000 92.056 -6.4060
76.199997 91.869 -10.5951
77.500000 91.594 -14.9482
78.800003 91.264 -18.8775
80.000000 90.905 -22.2655
81.199997 90.503 -25.2830
82.500000 90.073 -27.9863
83.800003 89.650 -30.3732
85.000000 89.253 -32.3109
86.199997 88.860 -34.0107
87.500000 88.446 -35.6789
88.500000 88.139 -36.8713
90.000000 87.693 -38.4578
91.199997 87.342 -39.6058
92.500000 86.964 -40.7909
93.800003 86.581 -41.8622
95.000000 86.208 -42.8214
96.199997 85.825 -43.7706
97.500000 85.414 -44.6042
98.800003 85.009 -45.0896
100.000000 84.634 -45.4895
101.500000 84.147 -46.1687
103.000000 83.631 -46.6956
104.400002 83.127 -46.7105
106.000000 82.539 -45.9642
107.500000 82.002 -44.8589
109.000000 81.493 -43.3839
110.599998 81.029 -41.0817
112.000000 80.712 -38.9229
113.800003 80.369 -36.6104
115.000000 80.163 -35.1462
117.199997 79.793 -32.1279
118.000000 79.599 -30.6710
120.599998 79.182 -25.9929
122.000000 79.281 -24.7075
124.099998 79.362 -22.1666
125.000000 79.377 -21.0677
126.500000 79.438 -19.3037
128.000000 79.521 -17.7368
131.500000 79.758 -15.0589
132.000000 79.797 -14.7353
134.000000 79.967 -13.5947
136.000000 80.152 -12.7302
138.000000 80.309 -12.0922
140.000000 80.393 -11.5816
143.000000 80.515 -11.2729
145.000000 80.614 -11.3801
147.500000 80.753 -11.8349
150.000000 81.014 -12.1726
152.500000 81.118 -12.5829
155.000000 81.064 -13.5837
157.500000 81.063 -14.2558
160.000000 80.989 -13.6332
162.500000 81.003 -14.4935
165.000000 81.108 -16.0048
167.500000 81.147 -16.9002
170.000000 81.076 -18.3131
172.500000 80.997 -19.5970
175.000000 80.942 -20.5362
177.500000 80.857 -20.9377
180.000000 80.898 -22.3852
182.500000 80.936 -24.0924
185.000000 80.723 -24.7049
187.500000 80.452 -25.6530
190.000000 80.251 -26.1294
192.500000 80.111 -26.6097
195.000000 79.952 -27.2442
197.500000 79.735 -27.5339
200.000000 79.513 -27.5790
203.000000 79.274 -28.1192
206.000000 79.078 -28.8022
209.000000 78.880 -28.8490
212.000000 78.695 -29.2012
214.000000 78.553 -29.4457
218.000000 78.160 -29.2491
220.000000 78.000 -29.2090
224.000000 77.721 -29.0645
227.000000 77.517 -29.0102
230.000000 77.322 -29.0795
233.000000 77.090 -29.1360
236.000000 76.822 -29.2820
240.000000 76.574 -30.3281
243.000000 76.356 -29.7165
247.000000 76.006 -28.1335
250.000000 75.740 -27.4326
254.000000 75.397 -26.5666
258.000000 75.093 -25.6206
262.000000 74.823 -24.4890
265.000000 74.640 -23.6010
269.000000 74.402 -22.4918
272.000000 74.210 -21.6673
276.000000 73.963 -20.5299
280.000000 73.739 -19.1859
285.000000 73.468 -17.4163
290.000000 73.240 -15.5412
295.000000 73.044 -14.1317
300.000000 72.844 -12.4217
304.000000 72.692 -11.0397
307.000000 72.577 -10.2534
311.000000 72.396 -9.3350
315.000000 72.198 -7.9762
320.000000 71.965 -5.5812
325.000000 71.798 -2.6927
330.000000 71.770 0.0510
335.000000 71.839 2.1230
340.000000 71.883 3.7789
345.000000 71.889 4.9216
350.000000 71.905 5.6438
355.000000 71.896 6.5816
360.000000 71.860 7.1592
365.000000 71.759 7.4556
370.000000 71.583 8.1114
375.000000 71.417 9.1373
382.000000 71.228 10.9567
387.000000 71.134 12.8022
395.000000 70.962 15.4606
400.000000 70.922 16.9423
406.000000 70.843 18.6673
412.000000 70.698 20.2399
418.000000 70.620 22.0067
425.000000 70.585 23.8664
431.000000 70.526 25.3027
437.000000 70.463 26.9908
444.000000 70.390 29.2563
450.000000 70.364 31.5082
455.000000 70.428 33.5401
462.000000 70.620 35.7219
468.000000 70.763 36.6394
475.000000 70.825 37.1770
482.000000 70.835 37.7852
487.000000 70.828 38.3887
494.000000 70.817 39.3944
500.000000 70.816 40.2641
508.000000 70.799 41.3367
515.000000 70.773 42.2896
522.000000 70.735 43.4065
530.000000 70.685 44.7192
538.000000 70.615 45.9221
545.000000 70.569 46.9671
552.000000 70.540 48.0747
560.000000 70.510 49.3692
570.000000 70.459 50.9117
580.000000 70.399 52.4391
590.000000 70.323 54.0332
600.000000 70.256 55.6522
608.000000 70.201 56.8707
615.000000 70.156 57.9939
622.000000 70.110 59.1161
630.000000 70.058 60.4189
640.000000 69.987 62.1576
650.000000 69.922 63.9208
660.000000 69.861 65.7694
670.000000 69.798 67.6163
680.000000 69.743 69.4191
690.000000 69.687 71.1922
700.000000 69.623 73.1070
710.000000 69.555 75.0450
720.000000 69.500 76.9848
730.000000 69.479 79.0381
740.000000 69.461 81.1178
750.000000 69.444 83.2533
762.000000 69.431 85.9111
775.000000 69.439 88.6867
788.000000 69.474 91.4123
800.000000 69.522 93.9374
812.000000 69.571 96.4238
825.000000 69.664 99.0935
838.000000 69.781 101.7453
850.000000 69.886 104.2012
862.000000 70.011 106.5659
875.000000 70.180 108.8997
885.000000 70.325 110.5650
900.000000 70.530 112.6023
912.000000 70.649 114.0668
925.000000 70.744 115.7256
938.000000 70.821 117.4877
950.000000 70.890 119.3143
962.000000 70.976 121.2973
975.000000 71.098 123.5426
988.000000 71.245 125.7723
1000.000000 71.405 127.8540
1015.000000 71.649 130.3314
1030.000000 71.939 132.4216
1044.000000 72.229 134.0236
1060.000000 72.544 135.4560
1075.000000 72.815 136.4334
1090.000000 73.052 137.1161
1106.000000 73.250 137.7231
1120.000000 73.383 138.3026
1138.000000 73.511 139.1141
1150.000000 73.577 139.6836
1172.000000 73.674 140.9382
1180.000000 73.705 141.4716
1206.000000 73.827 143.3110
1220.000000 73.891 144.2233
1241.000000 73.942 145.5438
1250.000000 73.955 146.2053
1265.000000 73.985 147.4647
1280.000000 74.023 148.8533
1315.000000 74.130 152.1658
1320.000000 74.147 152.6535
1340.000000 74.218 154.6235
1360.000000 74.298 156.6034
1380.000000 74.388 158.5902
1400.000000 74.485 160.5473
1430.000000 74.634 163.5300
1450.000000 74.735 165.5140
1475.000000 74.869 168.0012
1500.000000 74.999 170.5997
1525.000000 75.142 173.4048
1550.000000 75.318 176.2860
1575.000000 75.537 179.0930
1600.000000 75.784 -178.2899
1625.000000 76.015 -175.8607
1650.000000 76.228 -173.3266
1675.000000 76.476 -170.5861
1700.000000 76.769 -167.9126
1725.000000 77.089 -165.3955
1750.000000 77.420 -163.0380
1775.000000 77.756 -160.7838
1800.000000 78.108 -158.5736
1825.000000 78.486 -156.4681
1850.000000 78.886 -154.5519
1875.000000 79.295 -152.8670
1900.000000 79.703 -151.3974
1925.000000 80.107 -150.1066
1950.000000 80.505 -148.9396
1975.000000 80.902 -147.8499
2000.000000 81.307 -146.8732
2030.000000 81.799 -145.9724
2060.000000 82.273 -145.5789
2090.000000 82.664 -145.5334
2120.000000 82.994 -145.1325
2140.000000 83.225 -144.6874
2180.000000 83.724 -143.8474
2200.000000 83.983 -143.5218
2240.000000 84.505 -143.1311
2270.000000 84.887 -143.0488
2300.000000 85.253 -143.0964
2330.000000 85.602 -143.2313
2360.000000 85.935 -143.4420
2400.000000 86.356 -143.7994
2430.000000 86.658 -144.1075
2470.000000 87.043 -144.5728
2500.000000 87.319 -144.9576
2540.000000 87.672 -145.5182
2580.000000 88.008 -146.1046
2620.000000 88.333 -146.6657
2650.000000 88.573 -147.0630
2690.000000 88.895 -147.5985
2720.000000 89.139 -148.0184
2760.000000 89.477 -148.5806
2800.000000 89.851 -149.2384
2850.000000 90.360 -150.5680
2900.000000 90.855 -152.7000
2950.000000 91.269 -155.5650
3000.000000 91.565 -158.9161
3040.000000 91.705 -161.7152
3070.000000 91.754 -163.7393
3110.000000 91.766 -166.2092
3150.000000 91.747 -168.4398
3200.000000 91.679 -171.0560
3250.000000 91.551 -173.4120
3300.000000 91.367 -175.4216
3350.000000 91.129 -176.9919
3400.000000 90.843 -177.9557
3450.000000 90.531 -177.9799
3500.000000 90.268 -176.7034
3550.000000 90.198 -174.1149
3600.000000 90.470 -171.0648
3650.000000 91.146 -168.9423
3700.000000 92.143 -169.6896
3750.000000 93.049 -174.8330
3820.000000 93.366 174.0610
3870.000000 92.966 167.3076
3950.000000 91.988 160.8966
4000.000000 91.413 158.7209
4060.000000 90.826 156.8459
4120.000000 90.308 155.1665
4180.000000 89.796 153.5122
4250.000000 89.163 151.7948
4310.000000 88.590 150.6684
4370.000000 87.998 149.8830
4440.000000 87.289 149.3937
4500.000000 86.668 149.3429
4550.000000 86.144 149.5644
4620.000000 85.397 150.2970
4680.000000 84.741 151.3638
4750.000000 83.957 153.2539
4820.000000 83.167 156.0758
4870.000000 82.620 158.8275
4940.000000 81.945 163.9176
5000.000000 81.528 169.2685
5080.000000 81.340 177.3833
5150.000000 81.586 -176.4536
5220.000000 82.015 -172.2401
5300.000000 82.577 -169.4117
5380.000000 83.130 -168.7273
5450.000000 83.468 -170.0459
5520.000000 83.476 -172.4484
5600.000000 83.004 -173.8089
5700.000000 82.320 -169.8944
5800.000000 82.364 -163.8905
5900.000000 82.868 -160.7606
6000.000000 83.360 -160.3895
