* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:01:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Pop AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.299 110.8102
20.600000 81.456 110.3777
20.900000 81.626 109.9245
21.200001 81.789 109.4281
21.400000 81.896 109.0517
21.799999 82.109 108.1699
22.000000 82.218 107.6699
22.400000 82.444 106.5912
22.700001 82.624 105.7540
23.000000 82.811 104.9288
23.299999 83.001 104.1399
23.600000 83.190 103.3997
24.000000 83.436 102.4838
24.299999 83.613 101.8302
24.700001 83.835 100.9631
25.000000 83.991 100.2949
25.400000 84.186 99.3703
25.799999 84.370 98.4220
26.200001 84.552 97.4745
26.500000 84.691 96.7723
26.900000 84.882 95.8417
27.200001 85.027 95.1375
27.600000 85.220 94.1761
28.000000 85.406 93.1851
28.500000 85.624 91.9224
29.000000 85.834 90.6632
29.500000 86.050 89.4077
30.000000 86.280 88.1105
30.400000 86.468 87.0162
30.700001 86.605 86.1711
31.100000 86.772 85.0541
31.500000 86.921 84.0066
32.000000 87.092 82.8406
32.500000 87.263 81.7656
33.000000 87.441 80.6321
33.500000 87.614 79.3620
34.000000 87.772 78.0174
34.500000 87.918 76.7097
35.000000 88.064 75.4789
35.500000 88.216 74.2799
36.000000 88.366 73.0550
36.500000 88.510 71.7827
37.000000 88.643 70.4707
37.500000 88.761 69.1478
38.200001 88.898 67.3792
38.700001 88.984 66.2254
39.500000 89.131 64.4268
40.000000 89.227 63.1941
40.599998 89.332 61.6098
41.200001 89.422 60.0843
41.799999 89.510 58.7652
42.500000 89.628 57.4977
43.099998 89.753 56.5709
43.700001 89.915 55.6981
44.400002 90.160 54.5334
45.000000 90.387 53.2013
45.500000 90.541 51.8434
46.200001 90.652 49.8535
46.799999 90.674 48.3786
47.500000 90.728 46.8739
48.200001 90.869 45.0523
48.700001 90.986 43.4556
49.400002 91.115 41.2339
50.000000 91.201 39.6924
50.799999 91.310 37.9265
51.500000 91.361 36.2234
52.200001 91.337 34.4503
53.000000 91.297 32.4735
53.799999 91.298 30.1071
54.500000 91.289 27.6404
55.200001 91.257 25.3859
56.000000 91.256 23.6551
57.000000 91.328 22.4027
58.000000 91.347 21.1598
59.000000 91.306 19.3604
60.000000 91.305 17.1797
60.799999 91.348 15.9092
61.500000 91.414 15.3008
62.200001 91.481 14.6797
63.000000 91.516 13.4758
64.000000 91.531 11.4922
65.000000 91.649 9.5642
66.000000 91.846 7.4885
67.000000 91.978 4.9953
68.000000 92.041 2.2796
69.000000 92.091 -0.6452
70.000000 92.100 -3.7382
71.000000 92.074 -6.8808
72.000000 92.024 -10.2037
73.000000 91.915 -13.5812
74.000000 91.742 -16.8067
75.000000 91.516 -19.8895
76.199997 91.197 -23.3892
77.500000 90.806 -26.8541
78.800003 90.365 -29.9319
80.000000 89.930 -32.4606
81.199997 89.487 -34.5664
82.500000 89.002 -36.2909
83.800003 88.507 -37.6568
85.000000 88.070 -38.8691
86.199997 87.668 -39.9346
87.500000 87.245 -40.6532
88.500000 86.931 -40.8968
90.000000 86.502 -41.2436
91.199997 86.158 -41.4819
92.500000 85.777 -41.5819
93.800003 85.427 -41.6338
95.000000 85.143 -41.7149
96.199997 84.880 -41.6087
97.500000 84.614 -41.3784
98.800003 84.339 -41.1121
100.000000 84.091 -40.8675
101.500000 83.785 -40.7317
103.000000 83.507 -40.5379
104.400002 83.267 -40.4946
106.000000 82.989 -40.3845
107.500000 82.723 -40.2249
109.000000 82.429 -40.0754
110.599998 82.095 -39.8712
112.000000 81.787 -39.5744
113.800003 81.381 -39.0566
115.000000 81.094 -38.4345
117.199997 80.569 -36.4441
118.000000 80.383 -35.4629
120.599998 79.857 -31.5390
122.000000 79.690 -29.3648
124.099998 79.542 -25.5911
125.000000 79.529 -24.1646
126.500000 79.595 -22.0923
128.000000 79.713 -20.1137
131.500000 80.000 -16.8817
132.000000 80.051 -16.5921
134.000000 80.252 -15.7253
136.000000 80.426 -15.2920
138.000000 80.556 -15.4427
140.000000 80.668 -15.5251
143.000000 80.832 -15.6854
145.000000 80.863 -16.0906
147.500000 80.863 -16.9589
150.000000 80.970 -17.1320
152.500000 81.073 -17.6179
155.000000 81.003 -18.9894
157.500000 81.030 -20.2365
160.000000 81.046 -20.7820
162.500000 80.912 -21.2800
165.000000 80.822 -22.8490
167.500000 80.688 -24.6623
170.000000 80.481 -24.3068
172.500000 80.398 -24.1704
175.000000 80.347 -24.9563
177.500000 80.216 -25.7933
180.000000 80.028 -26.2769
182.500000 79.821 -26.6149
185.000000 79.650 -27.1550
187.500000 79.471 -28.0046
190.000000 79.229 -28.4255
192.500000 78.985 -28.2988
195.000000 78.720 -27.5881
197.500000 78.366 -27.1471
200.000000 78.094 -26.7439
203.000000 78.062 -26.1881
206.000000 77.968 -25.8514
209.000000 77.816 -25.6408
212.000000 77.678 -25.3743
214.000000 77.543 -25.3264
218.000000 77.202 -25.6733
220.000000 77.043 -25.7042
224.000000 76.736 -25.4923
227.000000 76.513 -25.0804
230.000000 76.287 -24.5702
233.000000 76.036 -24.0666
236.000000 75.748 -23.0961
240.000000 75.375 -21.0146
243.000000 75.164 -20.1535
247.000000 74.888 -18.9159
250.000000 74.731 -17.7193
254.000000 74.603 -16.1121
258.000000 74.508 -14.7768
262.000000 74.396 -13.6933
265.000000 74.295 -12.9504
269.000000 74.100 -12.0413
272.000000 73.914 -11.4859
276.000000 73.738 -10.6976
280.000000 73.607 -9.7583
285.000000 73.378 -8.5793
290.000000 73.075 -6.9433
295.000000 72.750 -4.9225
300.000000 72.517 -2.5837
304.000000 72.419 -0.5719
307.000000 72.313 0.8679
311.000000 72.171 2.5543
315.000000 72.050 4.2633
320.000000 71.982 7.0660
325.000000 72.019 9.6855
330.000000 72.135 11.5643
335.000000 72.198 12.7331
340.000000 72.179 13.8514
345.000000 72.170 15.1337
350.000000 72.186 15.9024
355.000000 72.166 16.5482
360.000000 72.070 17.5115
365.000000 71.945 18.3997
370.000000 71.816 19.6445
375.000000 71.731 21.0299
382.000000 71.647 23.0886
387.000000 71.601 24.7274
395.000000 71.569 26.9569
400.000000 71.561 28.2553
406.000000 71.567 29.8556
412.000000 71.567 31.3683
418.000000 71.531 32.7133
425.000000 71.528 33.3794
431.000000 71.503 34.5011
437.000000 71.438 36.0498
444.000000 71.320 37.5896
450.000000 71.276 39.4935
455.000000 71.339 41.2467
462.000000 71.529 42.9570
468.000000 71.632 43.5116
475.000000 71.630 43.8470
482.000000 71.586 44.3583
487.000000 71.571 44.8865
494.000000 71.525 46.0354
500.000000 71.497 47.1797
508.000000 71.459 48.5929
515.000000 71.410 49.6428
522.000000 71.346 50.5880
530.000000 71.270 51.9553
538.000000 71.212 53.3792
545.000000 71.181 54.5956
552.000000 71.163 55.7556
560.000000 71.131 57.0153
570.000000 71.067 58.4370
580.000000 70.980 59.9028
590.000000 70.864 61.6285
600.000000 70.762 63.4943
608.000000 70.712 64.9832
615.000000 70.670 66.2328
622.000000 70.629 67.4482
630.000000 70.586 68.8680
640.000000 70.530 70.6928
650.000000 70.480 72.4126
660.000000 70.420 74.1661
670.000000 70.347 76.0639
680.000000 70.273 77.9316
690.000000 70.210 79.8715
700.000000 70.152 82.0420
710.000000 70.101 84.3546
720.000000 70.065 86.5969
730.000000 70.064 88.7989
740.000000 70.077 90.9775
750.000000 70.090 93.0810
762.000000 70.113 95.5309
775.000000 70.152 98.1362
788.000000 70.190 100.7579
800.000000 70.227 103.2900
812.000000 70.297 105.8363
825.000000 70.390 108.5325
838.000000 70.504 111.1587
850.000000 70.650 113.3765
862.000000 70.807 115.4302
875.000000 70.968 117.5062
885.000000 71.086 118.9111
900.000000 71.258 120.9293
912.000000 71.381 122.6315
925.000000 71.513 124.4941
938.000000 71.671 126.2709
950.000000 71.810 127.6501
962.000000 71.927 128.9086
975.000000 72.032 130.4248
988.000000 72.146 132.0452
1000.000000 72.267 133.5179
1015.000000 72.428 135.2118
1030.000000 72.588 136.7013
1044.000000 72.730 138.1044
1060.000000 72.888 139.5898
1075.000000 73.026 140.8493
1090.000000 73.158 141.9831
1106.000000 73.275 143.0943
1120.000000 73.352 144.0496
1138.000000 73.418 145.2424
1150.000000 73.444 146.0182
1172.000000 73.463 147.7015
1180.000000 73.465 148.4195
1206.000000 73.477 150.8323
1220.000000 73.496 152.1891
1241.000000 73.529 154.2938
1250.000000 73.542 155.2273
1265.000000 73.572 156.8617
1280.000000 73.610 158.5329
1315.000000 73.682 162.3993
1320.000000 73.694 162.9634
1340.000000 73.754 165.2841
1360.000000 73.826 167.6453
1380.000000 73.904 169.9172
1400.000000 73.988 172.1160
1430.000000 74.088 175.5464
1450.000000 74.162 177.9330
1475.000000 74.270 -179.1523
1500.000000 74.376 -176.2006
1525.000000 74.490 -173.1751
1550.000000 74.608 -170.1275
1575.000000 74.722 -167.1120
1600.000000 74.828 -164.0831
1625.000000 74.881 -161.0972
1650.000000 74.814 -157.9143
1675.000000 74.619 -153.3590
1700.000000 74.409 -146.3936
1725.000000 74.537 -134.8889
1750.000000 75.981 -118.9712
1775.000000 78.669 -110.7612
1800.000000 80.882 -114.9639
1825.000000 81.959 -123.0731
1850.000000 82.307 -129.2597
1875.000000 82.413 -132.7492
1900.000000 82.493 -134.4673
1925.000000 82.607 -135.1668
1950.000000 82.763 -135.3390
1975.000000 82.948 -135.2481
2000.000000 83.152 -134.9422
2030.000000 83.443 -134.3187
2060.000000 83.811 -133.7428
2090.000000 84.204 -133.7416
2120.000000 84.542 -134.0318
2140.000000 84.749 -134.1636
2180.000000 85.157 -134.4593
2200.000000 85.349 -134.6567
2240.000000 85.715 -134.9958
2270.000000 85.986 -135.2481
2300.000000 86.252 -135.5646
2330.000000 86.512 -135.9413
2360.000000 86.766 -136.3739
2400.000000 87.090 -137.0792
2430.000000 87.315 -137.7081
2470.000000 87.582 -138.5771
2500.000000 87.766 -139.1470
2540.000000 88.026 -139.8994
2580.000000 88.272 -140.9252
2620.000000 88.463 -142.1013
2650.000000 88.576 -142.9764
2690.000000 88.698 -144.0583
2720.000000 88.774 -144.7767
2760.000000 88.868 -145.6039
2800.000000 88.957 -146.4069
2850.000000 89.014 -147.5010
2900.000000 88.986 -148.2919
2950.000000 88.931 -148.3000
3000.000000 88.942 -147.4185
3040.000000 89.076 -146.2746
3070.000000 89.279 -145.5053
3110.000000 89.677 -145.2226
3150.000000 90.104 -146.4890
3200.000000 90.392 -149.6232
3250.000000 90.443 -152.4348
3300.000000 90.355 -154.9542
3350.000000 90.130 -156.5912
3400.000000 89.869 -157.1168
3450.000000 89.604 -156.4039
3500.000000 89.497 -153.4706
3550.000000 89.993 -149.2594
3600.000000 91.058 -148.6530
3650.000000 91.992 -153.2321
3700.000000 92.380 -160.2764
3750.000000 92.248 -166.8890
3820.000000 91.671 -173.4655
3870.000000 91.201 -176.8211
3950.000000 90.393 179.2924
4000.000000 89.881 177.8013
4060.000000 89.315 176.7035
4120.000000 88.815 175.9969
4180.000000 88.370 175.4175
4250.000000 87.875 174.5898
4310.000000 87.412 173.7905
4370.000000 86.901 173.2867
4440.000000 86.303 173.1466
4500.000000 85.799 173.1119
4550.000000 85.349 173.0529
4620.000000 84.617 173.1701
4680.000000 83.894 173.8963
4750.000000 82.979 175.9724
4820.000000 82.063 179.7807
4870.000000 81.473 -176.3089
4940.000000 80.848 -169.3526
5000.000000 80.572 -162.5240
5080.000000 80.633 -153.3013
5150.000000 81.051 -145.7139
5220.000000 81.946 -139.0208
5300.000000 83.343 -136.3356
5380.000000 84.483 -139.2610
5450.000000 84.917 -144.3020
5520.000000 84.775 -148.7443
5600.000000 84.328 -150.3607
5700.000000 84.097 -149.4248
5800.000000 84.138 -149.1306
5900.000000 84.198 -149.6415
