* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:46:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Rock AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.266 130.7089
20.600000 78.446 130.1785
20.900000 78.646 129.5121
21.200001 78.851 128.7850
21.400000 78.992 128.2908
21.799999 79.283 127.3387
22.000000 79.432 126.9064
22.400000 79.730 126.1734
22.700001 79.955 125.7419
23.000000 80.181 125.3792
23.299999 80.409 125.0320
23.600000 80.636 124.6450
24.000000 80.935 124.0056
24.299999 81.153 123.4252
24.700001 81.439 122.5470
25.000000 81.652 121.8394
25.400000 81.939 120.8661
25.799999 82.230 119.8861
26.200001 82.520 118.9228
26.500000 82.736 118.2203
26.900000 83.019 117.3074
27.200001 83.226 116.6273
27.600000 83.495 115.7019
28.000000 83.752 114.7405
28.500000 84.057 113.5000
29.000000 84.354 112.2393
29.500000 84.654 110.9397
30.000000 84.958 109.5601
30.400000 85.197 108.4021
30.700001 85.370 107.5217
31.100000 85.593 106.3555
31.500000 85.811 105.2028
32.000000 86.076 103.7513
32.500000 86.332 102.2609
33.000000 86.574 100.7549
33.500000 86.810 99.2741
34.000000 87.050 97.8097
34.500000 87.291 96.3171
35.000000 87.519 94.7896
35.500000 87.726 93.2758
36.000000 87.916 91.8175
36.500000 88.100 90.4001
37.000000 88.282 88.9871
37.500000 88.462 87.5808
38.200001 88.717 85.7034
38.700001 88.914 84.4436
39.500000 89.263 82.3985
40.000000 89.494 80.9681
40.599998 89.767 79.0251
41.200001 90.020 76.8670
41.799999 90.245 74.5792
42.500000 90.462 71.8523
43.099998 90.605 69.5482
43.700001 90.718 67.3600
44.400002 90.851 64.9795
45.000000 90.995 62.9630
45.500000 91.129 61.2072
46.200001 91.301 58.6492
46.799999 91.414 56.4676
47.500000 91.509 53.9813
48.200001 91.583 51.4933
48.700001 91.634 49.6859
49.400002 91.711 47.1097
50.000000 91.773 44.8939
50.799999 91.825 42.0864
51.500000 91.839 39.8566
52.200001 91.839 37.6974
53.000000 91.819 35.0767
53.799999 91.774 32.3487
54.500000 91.730 30.0440
55.200001 91.689 27.8560
56.000000 91.614 25.4790
57.000000 91.457 22.6995
58.000000 91.283 19.8377
59.000000 91.090 16.9274
60.000000 90.886 14.9363
60.799999 90.761 14.0030
61.500000 90.666 13.2449
62.200001 90.563 12.4298
63.000000 90.455 11.4836
64.000000 90.357 10.2896
65.000000 90.284 9.0878
66.000000 90.226 7.8787
67.000000 90.193 6.5903
68.000000 90.177 5.1350
69.000000 90.148 3.5640
70.000000 90.105 1.9603
71.000000 90.050 0.3039
72.000000 89.977 -1.3632
73.000000 89.894 -2.9816
74.000000 89.807 -4.5652
75.000000 89.713 -6.1316
76.199997 89.589 -7.9645
77.500000 89.449 -9.9372
78.800003 89.298 -11.8429
80.000000 89.146 -13.4024
81.199997 88.998 -14.8047
82.500000 88.846 -16.5042
83.800003 88.680 -18.2431
85.000000 88.531 -19.7666
86.199997 88.382 -21.2892
87.500000 88.225 -22.9714
88.500000 88.103 -24.2932
90.000000 87.895 -26.3483
91.199997 87.709 -27.9729
92.500000 87.510 -29.7952
93.800003 87.277 -31.7084
95.000000 87.032 -33.3941
96.199997 86.773 -35.0587
97.500000 86.477 -36.8273
98.800003 86.165 -38.4913
100.000000 85.853 -39.8952
101.500000 85.406 -41.7094
103.000000 84.871 -43.4939
104.400002 84.310 -44.7081
106.000000 83.628 -45.4120
107.500000 82.982 -45.5422
109.000000 82.343 -45.2097
110.599998 81.682 -44.3284
112.000000 81.169 -42.8831
113.800003 80.575 -40.4987
115.000000 80.190 -38.8926
117.199997 79.519 -35.5906
118.000000 79.300 -34.2412
120.599998 78.687 -29.7459
122.000000 78.402 -26.8516
124.099998 78.089 -22.0818
125.000000 77.996 -20.0236
126.500000 77.882 -16.6645
128.000000 77.836 -13.4439
131.500000 77.960 -6.1887
132.000000 77.992 -5.2422
134.000000 78.161 -1.7658
136.000000 78.386 1.3834
138.000000 78.690 4.3316
140.000000 79.039 6.7317
143.000000 79.494 9.1567
145.000000 79.760 10.5933
147.500000 80.132 11.9426
150.000000 80.696 12.8942
152.500000 81.085 13.6953
155.000000 81.366 14.4312
157.500000 81.830 14.7251
160.000000 82.328 14.8836
162.500000 82.557 14.0072
165.000000 82.739 13.0276
167.500000 83.013 12.4124
170.000000 83.256 11.3792
172.500000 83.464 10.2288
175.000000 83.646 9.0199
177.500000 83.776 7.3801
180.000000 83.955 6.2178
182.500000 84.152 4.8762
185.000000 84.303 2.9331
187.500000 84.391 1.2259
190.000000 84.423 -0.1882
192.500000 84.407 -1.2917
195.000000 84.388 -2.2338
197.500000 84.367 -3.0977
200.000000 84.350 -4.0175
203.000000 84.323 -5.3193
206.000000 84.295 -6.5431
209.000000 84.310 -7.5566
212.000000 84.357 -8.4783
214.000000 84.366 -9.2389
218.000000 84.298 -11.1899
220.000000 84.249 -12.0621
224.000000 84.178 -13.5707
227.000000 84.111 -14.6340
230.000000 84.029 -15.5896
233.000000 83.963 -16.5461
236.000000 83.899 -17.4244
240.000000 83.700 -18.4757
243.000000 83.542 -19.6634
247.000000 83.365 -21.1404
250.000000 83.212 -21.7261
254.000000 83.028 -22.1999
258.000000 82.870 -22.8055
262.000000 82.710 -23.4570
265.000000 82.589 -23.9075
269.000000 82.427 -24.4241
272.000000 82.306 -24.8129
276.000000 82.141 -25.3272
280.000000 81.967 -25.7705
285.000000 81.751 -26.2098
290.000000 81.543 -26.6478
295.000000 81.366 -27.0390
300.000000 81.196 -27.5746
304.000000 81.033 -28.0464
307.000000 80.890 -28.4310
311.000000 80.650 -28.8964
315.000000 80.365 -29.0548
320.000000 80.023 -28.4754
325.000000 79.764 -27.3119
330.000000 79.622 -26.2338
335.000000 79.546 -25.7100
340.000000 79.434 -25.5494
345.000000 79.306 -25.5121
350.000000 79.246 -25.4675
355.000000 79.170 -25.9358
360.000000 78.950 -26.7149
365.000000 78.635 -27.1839
370.000000 78.302 -27.0451
375.000000 77.986 -26.5026
382.000000 77.609 -25.6256
387.000000 77.354 -24.5823
395.000000 77.000 -22.7130
400.000000 76.828 -21.4966
406.000000 76.627 -20.0018
412.000000 76.400 -18.6395
418.000000 76.206 -17.1568
425.000000 76.013 -15.3926
431.000000 75.856 -13.8455
437.000000 75.704 -12.2399
444.000000 75.512 -10.3316
450.000000 75.376 -8.2560
455.000000 75.331 -6.2552
462.000000 75.380 -3.8376
468.000000 75.445 -2.5605
475.000000 75.465 -1.4605
482.000000 75.445 -0.2793
487.000000 75.422 0.5904
494.000000 75.377 1.7727
500.000000 75.330 2.8256
508.000000 75.266 4.2862
515.000000 75.208 5.5286
522.000000 75.162 6.9326
530.000000 75.143 8.8128
538.000000 75.129 10.6367
545.000000 75.133 12.2515
552.000000 75.152 13.8362
560.000000 75.181 15.6316
570.000000 75.235 17.8390
580.000000 75.322 19.9442
590.000000 75.425 21.9378
600.000000 75.534 23.8351
608.000000 75.637 25.3484
615.000000 75.734 26.6585
622.000000 75.834 27.9372
630.000000 75.957 29.2975
640.000000 76.124 30.8407
650.000000 76.298 32.2816
660.000000 76.484 33.6849
670.000000 76.687 35.0015
680.000000 76.895 36.1240
690.000000 77.096 37.1117
700.000000 77.292 37.9809
710.000000 77.483 38.7287
720.000000 77.671 39.3963
730.000000 77.858 40.0125
740.000000 78.039 40.5274
750.000000 78.216 40.9477
762.000000 78.425 41.3789
775.000000 78.638 41.7377
788.000000 78.835 41.9575
800.000000 78.996 42.0941
812.000000 79.142 42.1827
825.000000 79.289 42.2926
838.000000 79.420 42.3544
850.000000 79.530 42.4657
862.000000 79.637 42.6215
875.000000 79.762 42.7559
885.000000 79.867 42.7961
900.000000 80.015 42.6280
912.000000 80.097 42.2522
925.000000 80.123 41.8628
938.000000 80.096 41.7576
950.000000 80.061 41.9897
962.000000 80.043 42.4864
975.000000 80.048 43.1935
988.000000 80.077 43.9855
1000.000000 80.126 44.7963
1015.000000 80.226 45.8611
1030.000000 80.373 46.7314
1044.000000 80.537 47.2595
1060.000000 80.729 47.5747
1075.000000 80.892 47.5414
1090.000000 81.018 47.2880
1106.000000 81.101 46.9623
1120.000000 81.143 46.6812
1138.000000 81.163 46.4139
1150.000000 81.156 46.3550
1172.000000 81.125 46.5250
1180.000000 81.114 46.6538
1206.000000 81.090 47.2832
1220.000000 81.084 47.6157
1241.000000 81.041 48.1053
1250.000000 81.014 48.4307
1265.000000 80.972 49.1086
1280.000000 80.943 49.8846
1315.000000 80.925 51.9828
1320.000000 80.926 52.3011
1340.000000 80.936 53.5827
1360.000000 80.954 54.9130
1380.000000 80.986 56.3005
1400.000000 81.041 57.7138
1430.000000 81.142 59.7902
1450.000000 81.207 61.1964
1475.000000 81.300 63.0067
1500.000000 81.400 64.9390
1525.000000 81.520 67.0469
1550.000000 81.676 69.2581
1575.000000 81.880 71.4427
1600.000000 82.127 73.4178
1625.000000 82.366 75.1824
1650.000000 82.588 77.0729
1675.000000 82.849 79.1572
1700.000000 83.154 81.1351
1725.000000 83.496 82.9289
1750.000000 83.860 84.5893
1775.000000 84.233 86.1610
1800.000000 84.622 87.6202
1825.000000 85.033 88.9399
1850.000000 85.463 90.0359
1875.000000 85.912 90.9180
1900.000000 86.371 91.6085
1925.000000 86.820 92.0794
1950.000000 87.259 92.3536
1975.000000 87.704 92.5066
2000.000000 88.155 92.5257
2030.000000 88.696 92.2813
2060.000000 89.221 91.5116
2090.000000 89.655 90.3475
2120.000000 90.019 89.4804
2140.000000 90.275 89.0852
2180.000000 90.817 88.2749
2200.000000 91.091 87.7947
2240.000000 91.642 86.5528
2270.000000 92.037 85.3643
2300.000000 92.405 83.9922
2330.000000 92.756 82.5627
2360.000000 93.088 81.1154
2400.000000 93.491 79.1688
2430.000000 93.778 77.6760
2470.000000 94.130 75.6104
2500.000000 94.370 74.0345
2540.000000 94.680 72.0426
2580.000000 94.966 70.0859
2620.000000 95.218 68.0905
2650.000000 95.402 66.6866
2690.000000 95.657 64.9735
2720.000000 95.843 63.7468
2760.000000 96.100 62.1800
2800.000000 96.392 60.6113
2850.000000 96.794 58.2176
2900.000000 97.204 55.2065
2950.000000 97.553 51.6372
3000.000000 97.790 47.6008
3040.000000 97.901 44.3535
3070.000000 97.941 42.0535
3110.000000 97.939 39.2566
3150.000000 97.911 36.7496
3200.000000 97.850 33.8546
3250.000000 97.740 31.1882
3300.000000 97.604 29.0056
3350.000000 97.468 27.4697
3400.000000 97.323 26.4117
3450.000000 97.193 25.9208
3500.000000 97.137 26.3845
3550.000000 97.248 27.9224
3600.000000 97.695 29.9366
3650.000000 98.578 30.8871
3700.000000 99.776 28.4866
3750.000000 100.850 21.4098
3820.000000 101.375 7.6841
3870.000000 101.091 -0.9868
3950.000000 100.237 -10.8589
4000.000000 99.713 -15.2028
4060.000000 99.132 -19.6331
4120.000000 98.569 -23.7643
4180.000000 97.974 -27.7147
4250.000000 97.190 -32.0570
4310.000000 96.468 -35.1692
4370.000000 95.724 -37.6033
4440.000000 94.819 -39.8827
4500.000000 94.018 -41.3722
4550.000000 93.343 -42.1666
4620.000000 92.374 -42.6674
4680.000000 91.502 -42.5323
4750.000000 90.444 -41.3846
4820.000000 89.342 -38.8784
4870.000000 88.569 -35.9323
4940.000000 87.643 -29.6012
5000.000000 87.143 -22.4985
5080.000000 87.053 -12.3556
5150.000000 87.523 -5.3371
5220.000000 88.215 -1.0204
5300.000000 89.035 1.1731
5380.000000 89.792 0.7947
5450.000000 90.271 -1.6464
5520.000000 90.381 -5.4545
5600.000000 89.988 -8.6499
5700.000000 89.362 -6.8623
5800.000000 89.412 -2.8730
5900.000000 89.899 -1.5350
6000.000000 90.372 -2.5435
6080.000000 90.607 -4.5346
6150.000000 90.709 -6.6688
