* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:03:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Rock AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.036 114.2544
20.600000 81.226 113.5702
20.900000 81.430 112.8565
21.200001 81.630 112.1726
21.400000 81.761 111.7292
21.799999 82.022 110.8449
22.000000 82.154 110.3924
22.400000 82.421 109.4517
22.700001 82.624 108.7157
23.000000 82.828 107.9600
23.299999 83.035 107.1908
23.600000 83.242 106.4128
24.000000 83.516 105.3689
24.299999 83.717 104.5877
24.700001 83.977 103.5605
25.000000 84.164 102.8072
25.400000 84.407 101.8255
25.799999 84.645 100.8548
26.200001 84.882 99.8659
26.500000 85.061 99.0942
26.900000 85.298 98.0110
27.200001 85.474 97.1588
27.600000 85.704 95.9857
28.000000 85.928 94.7970
28.500000 86.201 93.3238
29.000000 86.468 91.8731
29.500000 86.729 90.4248
30.000000 86.985 88.9540
30.400000 87.187 87.7490
30.700001 87.337 86.8231
31.100000 87.534 85.5534
31.500000 87.727 84.2443
32.000000 87.958 82.5790
32.500000 88.176 80.9346
33.000000 88.387 79.3490
33.500000 88.599 77.7969
34.000000 88.809 76.2107
34.500000 89.008 74.5504
35.000000 89.187 72.8474
35.500000 89.349 71.1703
36.000000 89.506 69.5555
36.500000 89.668 67.9752
37.000000 89.836 66.3775
37.500000 90.002 64.7463
38.200001 90.221 62.4736
38.700001 90.370 60.8959
39.500000 90.609 58.3659
40.000000 90.752 56.7166
40.599998 90.905 54.6994
41.200001 91.040 52.7380
41.799999 91.169 50.8795
42.500000 91.317 48.8011
43.099998 91.444 47.0422
43.700001 91.576 45.2396
44.400002 91.739 42.9792
45.000000 91.876 40.9043
45.500000 91.984 39.1484
46.200001 92.134 36.7232
46.799999 92.263 34.6298
47.500000 92.395 32.1053
48.200001 92.498 29.5419
48.700001 92.558 27.7058
49.400002 92.624 25.0875
50.000000 92.655 22.8015
50.799999 92.656 19.8080
51.500000 92.645 17.2626
52.200001 92.634 14.7121
53.000000 92.605 11.8201
53.799999 92.551 9.0730
54.500000 92.484 6.7923
55.200001 92.397 4.5857
56.000000 92.281 2.1493
57.000000 92.121 -0.7404
58.000000 91.953 -3.4102
59.000000 91.775 -5.8295
60.000000 91.583 -7.9981
60.799999 91.422 -9.6069
61.500000 91.285 -10.9844
62.200001 91.168 -12.3436
63.000000 91.063 -13.8416
64.000000 90.945 -15.5623
65.000000 90.795 -17.1315
66.000000 90.642 -18.7794
67.000000 90.534 -20.6574
68.000000 90.449 -22.6073
69.000000 90.327 -24.4880
70.000000 90.156 -26.3514
71.000000 89.965 -28.1836
72.000000 89.768 -29.8156
73.000000 89.565 -31.2774
74.000000 89.354 -32.7235
75.000000 89.142 -34.0668
76.199997 88.894 -35.3832
77.500000 88.616 -36.6393
78.800003 88.340 -37.8800
80.000000 88.106 -38.8542
81.199997 87.892 -39.6317
82.500000 87.688 -40.4292
83.800003 87.503 -41.3749
85.000000 87.342 -42.3898
86.199997 87.185 -43.3983
87.500000 87.021 -44.2947
88.500000 86.887 -44.9017
90.000000 86.684 -45.7876
91.199997 86.540 -46.7294
92.500000 86.399 -47.9568
93.800003 86.248 -49.2942
95.000000 86.074 -50.3947
96.199997 85.876 -51.3750
97.500000 85.660 -52.4846
98.800003 85.449 -53.6172
100.000000 85.241 -54.6222
101.500000 84.939 -55.9775
103.000000 84.621 -57.2911
104.400002 84.325 -58.3816
106.000000 83.954 -59.6496
107.500000 83.563 -60.7755
109.000000 83.134 -61.6561
110.599998 82.635 -62.3587
112.000000 82.170 -62.7455
113.800003 81.546 -62.6794
115.000000 81.110 -62.2253
117.199997 80.282 -60.5198
118.000000 79.992 -59.2386
120.599998 79.177 -53.6519
122.000000 78.780 -51.6224
124.099998 78.358 -47.4430
125.000000 78.248 -45.2115
126.500000 78.115 -41.6205
128.000000 78.054 -38.2628
131.500000 78.294 -31.4124
132.000000 78.349 -30.6105
134.000000 78.596 -27.8260
136.000000 78.883 -25.5828
138.000000 79.142 -23.4132
140.000000 79.423 -21.6344
143.000000 79.895 -20.0105
145.000000 80.160 -19.2686
147.500000 80.464 -18.1205
150.000000 80.774 -17.8598
152.500000 81.115 -17.3756
155.000000 81.445 -17.5891
157.500000 81.742 -17.8362
160.000000 82.066 -17.5388
162.500000 82.266 -18.2685
165.000000 82.432 -19.7001
167.500000 82.664 -21.2664
170.000000 82.853 -22.5418
172.500000 82.976 -23.7761
175.000000 83.118 -24.9480
177.500000 83.175 -26.4299
180.000000 83.207 -27.9223
182.500000 83.274 -29.1186
185.000000 83.360 -30.5147
187.500000 83.377 -31.7166
190.000000 83.337 -32.7155
192.500000 83.274 -33.9006
195.000000 83.189 -34.8005
197.500000 83.080 -35.0602
200.000000 83.044 -35.3778
203.000000 83.185 -36.3301
206.000000 83.296 -37.3482
209.000000 83.335 -38.5822
212.000000 83.328 -40.0707
214.000000 83.305 -41.0847
218.000000 83.239 -42.7991
220.000000 83.191 -43.6331
224.000000 83.081 -45.3253
227.000000 82.980 -46.4909
230.000000 82.874 -47.5295
233.000000 82.772 -48.4215
236.000000 82.652 -49.1503
240.000000 82.444 -50.0211
243.000000 82.321 -50.2728
247.000000 82.229 -50.3394
250.000000 82.201 -50.3626
254.000000 82.192 -50.6946
258.000000 82.189 -51.4249
262.000000 82.196 -52.4525
265.000000 82.201 -53.3957
269.000000 82.146 -54.6564
272.000000 82.057 -55.6221
276.000000 81.931 -56.7456
280.000000 81.791 -57.7761
285.000000 81.576 -59.3610
290.000000 81.348 -60.6643
295.000000 81.121 -61.5178
300.000000 80.878 -61.9847
304.000000 80.674 -62.3505
307.000000 80.532 -62.6412
311.000000 80.342 -62.8395
315.000000 80.157 -62.6633
320.000000 79.984 -62.1249
325.000000 79.920 -61.6117
330.000000 79.906 -61.8339
335.000000 79.837 -62.5709
340.000000 79.730 -63.1717
345.000000 79.622 -63.7726
350.000000 79.499 -64.5625
355.000000 79.322 -65.6706
360.000000 79.068 -66.7676
365.000000 78.783 -67.0382
370.000000 78.496 -66.7379
375.000000 78.245 -66.3353
382.000000 77.978 -65.6223
387.000000 77.821 -65.1008
395.000000 77.602 -64.1349
400.000000 77.489 -63.5104
406.000000 77.364 -63.0127
412.000000 77.242 -62.5954
418.000000 77.101 -61.9875
425.000000 76.906 -61.5099
431.000000 76.746 -61.1196
437.000000 76.585 -60.5174
444.000000 76.381 -59.5010
450.000000 76.240 -58.2061
455.000000 76.214 -56.9855
462.000000 76.289 -55.8750
468.000000 76.309 -55.6482
475.000000 76.230 -55.5101
482.000000 76.121 -54.9755
487.000000 76.066 -54.6679
494.000000 76.017 -53.9709
500.000000 75.969 -53.2779
508.000000 75.894 -52.2834
515.000000 75.828 -51.3407
522.000000 75.783 -50.3951
530.000000 75.747 -49.2515
538.000000 75.713 -48.0154
545.000000 75.710 -47.0359
552.000000 75.722 -46.0766
560.000000 75.750 -44.9796
570.000000 75.811 -43.6953
580.000000 75.866 -42.5226
590.000000 75.929 -41.3014
600.000000 76.020 -39.9302
608.000000 76.120 -38.9003
615.000000 76.225 -38.0996
622.000000 76.330 -37.3874
630.000000 76.452 -36.5869
640.000000 76.625 -35.6708
650.000000 76.815 -34.9631
660.000000 77.013 -34.4172
670.000000 77.207 -33.9493
680.000000 77.395 -33.5419
690.000000 77.585 -33.2201
700.000000 77.778 -32.9592
710.000000 77.973 -32.7834
720.000000 78.180 -32.6681
730.000000 78.396 -32.6961
740.000000 78.617 -32.8539
750.000000 78.829 -33.1491
762.000000 79.064 -33.7142
775.000000 79.290 -34.4806
788.000000 79.498 -35.3423
800.000000 79.668 -36.1588
812.000000 79.823 -36.9183
825.000000 79.992 -37.7211
838.000000 80.160 -38.5557
850.000000 80.312 -39.4747
862.000000 80.448 -40.5280
875.000000 80.575 -41.7171
885.000000 80.656 -42.6598
900.000000 80.750 -44.0695
912.000000 80.796 -45.1023
925.000000 80.835 -46.0492
938.000000 80.888 -46.9370
950.000000 80.934 -47.8794
962.000000 80.956 -48.8264
975.000000 80.954 -49.6882
988.000000 80.951 -50.3548
1000.000000 80.963 -50.8911
1015.000000 80.993 -51.6091
1030.000000 81.022 -52.3598
1044.000000 81.050 -53.0838
1060.000000 81.081 -53.9202
1075.000000 81.102 -54.7031
1090.000000 81.114 -55.5414
1106.000000 81.113 -56.4761
1120.000000 81.095 -57.2657
1138.000000 81.043 -58.2295
1150.000000 80.989 -58.7669
1172.000000 80.871 -59.4397
1180.000000 80.830 -59.5895
1206.000000 80.713 -59.8349
1220.000000 80.661 -59.8385
1241.000000 80.595 -59.7904
1250.000000 80.568 -59.7311
1265.000000 80.530 -59.5491
1280.000000 80.497 -59.3302
1315.000000 80.439 -58.6567
1320.000000 80.434 -58.5347
1340.000000 80.429 -57.9980
1360.000000 80.444 -57.4212
1380.000000 80.476 -56.8384
1400.000000 80.515 -56.2739
1430.000000 80.561 -55.3335
1450.000000 80.605 -54.5608
1475.000000 80.682 -53.6337
1500.000000 80.763 -52.6627
1525.000000 80.855 -51.6109
1550.000000 80.958 -50.5214
1575.000000 81.069 -49.4132
1600.000000 81.171 -48.3317
1625.000000 81.228 -47.2941
1650.000000 81.168 -45.9930
1675.000000 80.986 -43.3080
1700.000000 80.801 -38.1847
1725.000000 80.957 -28.5995
1750.000000 82.436 -14.8979
1775.000000 85.155 -8.7295
1800.000000 87.396 -14.6888
1825.000000 88.500 -24.5411
1850.000000 88.880 -32.5490
1875.000000 89.023 -37.9277
1900.000000 89.143 -41.5879
1925.000000 89.297 -44.2571
1950.000000 89.493 -46.3961
1975.000000 89.718 -48.2620
2000.000000 89.964 -49.9227
2030.000000 90.303 -51.6875
2060.000000 90.717 -53.4970
2090.000000 91.152 -55.8681
2120.000000 91.527 -58.5300
2140.000000 91.757 -60.2537
2180.000000 92.204 -63.7392
2200.000000 92.413 -65.5211
2240.000000 92.807 -68.9919
2270.000000 93.095 -71.5647
2300.000000 93.371 -74.1913
2330.000000 93.633 -76.8886
2360.000000 93.884 -79.6378
2400.000000 94.195 -83.3867
2430.000000 94.403 -86.2551
2470.000000 94.639 -90.0679
2500.000000 94.792 -92.8178
2540.000000 95.001 -96.4174
2580.000000 95.190 -100.2032
2620.000000 95.321 -104.0244
2650.000000 95.384 -106.7926
2690.000000 95.435 -110.2818
2720.000000 95.457 -112.7167
2760.000000 95.476 -115.7447
2800.000000 95.486 -118.6728
2850.000000 95.453 -122.2715
2900.000000 95.349 -125.3729
2950.000000 95.226 -127.5693
3000.000000 95.177 -128.7289
3040.000000 95.274 -129.1181
3070.000000 95.459 -129.4478
3110.000000 95.842 -130.5575
3150.000000 96.267 -133.1302
3200.000000 96.570 -137.8074
3250.000000 96.658 -142.1135
3300.000000 96.632 -146.0944
3350.000000 96.496 -149.2130
3400.000000 96.349 -151.2458
3450.000000 96.224 -152.0798
3500.000000 96.289 -150.8216
3550.000000 96.987 -148.5324
3600.000000 98.252 -149.9857
3650.000000 99.371 -156.6622
3700.000000 99.931 -165.9664
3750.000000 99.968 -175.0745
3820.000000 99.623 174.5350
3870.000000 99.294 168.2585
3950.000000 98.636 159.4980
4000.000000 98.169 154.9237
4060.000000 97.605 150.1685
4120.000000 97.054 145.9155
4180.000000 96.512 141.9763
4250.000000 95.867 137.5678
4310.000000 95.256 134.0144
4370.000000 94.585 131.0083
4440.000000 93.789 128.1713
4500.000000 93.108 125.9539
4550.000000 92.507 124.1772
4620.000000 91.556 122.1140
4680.000000 90.627 121.1998
4750.000000 89.440 121.7036
4820.000000 88.217 124.5173
4870.000000 87.403 128.2407
4940.000000 86.524 135.8123
5000.000000 86.158 143.7840
5080.000000 86.325 154.4488
5150.000000 86.989 162.4643
5220.000000 88.167 168.6284
5300.000000 89.824 169.9440
