* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 5:47:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Treble AO) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 74.980 115.6536
20.600000 75.205 115.4223
20.900000 75.445 115.0100
21.200001 75.656 114.4681
21.400000 75.775 114.0841
21.799999 75.970 113.3755
22.000000 76.055 113.0799
22.400000 76.219 112.6054
22.700001 76.351 112.3059
23.000000 76.497 111.9964
23.299999 76.658 111.6271
23.600000 76.830 111.1640
24.000000 77.063 110.3949
24.299999 77.229 109.7487
24.700001 77.431 108.9148
25.000000 77.571 108.3862
25.400000 77.757 107.8380
25.799999 77.960 107.3594
26.200001 78.181 106.7549
26.500000 78.348 106.1381
26.900000 78.562 105.1105
27.200001 78.714 104.2567
27.600000 78.917 103.1291
28.000000 79.134 102.0936
28.500000 79.419 100.9510
29.000000 79.687 99.9553
29.500000 79.910 99.0573
30.000000 80.100 98.0802
30.400000 80.244 97.0856
30.700001 80.353 96.2048
31.100000 80.502 94.9962
31.500000 80.668 94.0227
32.000000 80.923 93.4771
32.500000 81.228 93.5569
33.000000 81.507 93.6485
33.500000 81.649 93.1748
34.000000 81.617 91.9417
34.500000 81.499 90.0844
35.000000 81.476 87.9707
35.500000 81.697 86.0810
36.000000 82.151 84.7176
36.500000 82.655 83.8053
37.000000 82.987 83.1129
37.500000 83.010 82.5437
38.200001 82.615 81.8582
38.700001 82.343 80.9134
39.500000 82.492 77.2453
40.000000 82.878 74.4327
40.599998 83.365 72.4525
41.200001 83.737 72.4146
41.799999 83.935 73.0805
42.500000 83.919 73.2020
43.099998 83.860 72.5532
43.700001 84.003 71.1329
44.400002 84.396 68.2928
45.000000 84.670 65.4828
45.500000 84.772 63.5478
46.200001 84.820 61.8107
46.799999 84.890 60.8726
47.500000 85.059 59.9828
48.200001 85.302 59.1132
48.700001 85.488 58.3329
49.400002 85.717 56.8330
50.000000 85.868 55.1132
50.799999 85.953 52.3181
51.500000 85.837 50.0976
52.200001 85.616 48.7872
53.000000 85.477 47.2735
53.799999 85.398 44.1207
54.500000 85.226 41.2268
55.200001 85.087 39.8364
56.000000 85.130 39.2082
57.000000 85.178 37.5893
58.000000 85.096 35.7970
59.000000 85.054 34.2226
60.000000 84.925 33.5302
60.799999 84.778 33.7955
61.500000 84.653 33.9763
62.200001 84.556 33.8106
63.000000 84.531 33.1680
64.000000 84.585 31.8693
65.000000 84.598 30.6871
66.000000 84.593 29.9281
67.000000 84.695 29.1686
68.000000 84.865 27.9552
69.000000 84.934 26.5606
70.000000 84.895 25.2645
71.000000 84.856 23.8288
72.000000 84.872 22.1997
73.000000 84.893 20.5918
74.000000 84.855 19.1620
75.000000 84.771 17.7337
76.199997 84.653 15.8429
77.500000 84.499 13.9888
78.800003 84.305 12.3832
80.000000 84.129 11.1017
81.199997 84.006 10.1667
82.500000 83.842 9.0564
83.800003 83.601 7.8395
85.000000 83.392 6.8864
86.199997 83.222 6.1662
87.500000 83.060 5.4453
88.500000 82.942 4.8964
90.000000 82.731 4.1260
91.199997 82.557 3.6633
92.500000 82.399 2.9719
93.800003 82.242 2.2221
95.000000 82.082 1.5588
96.199997 81.882 0.9170
97.500000 81.637 0.4140
98.800003 81.394 0.1492
100.000000 81.171 -0.0242
101.500000 80.909 -0.6485
103.000000 80.591 -1.3483
104.400002 80.220 -1.3448
106.000000 79.795 -1.0762
107.500000 79.420 -0.1867
109.000000 79.047 1.3470
110.599998 78.673 3.3025
112.000000 78.420 5.1456
113.800003 78.222 7.4105
115.000000 78.142 9.0058
117.199997 78.025 12.3990
118.000000 77.991 13.8451
120.599998 77.901 17.7844
122.000000 77.897 19.3789
124.099998 77.968 22.1811
125.000000 78.031 23.4766
126.500000 78.177 25.5409
128.000000 78.344 27.2562
131.500000 78.806 30.1133
132.000000 78.882 30.4677
134.000000 79.197 31.5763
136.000000 79.513 32.3064
138.000000 79.816 32.9158
140.000000 80.058 33.1752
143.000000 80.397 32.9968
145.000000 80.600 32.8809
147.500000 80.908 32.6878
150.000000 81.305 32.1091
152.500000 81.517 31.4940
155.000000 81.605 30.5733
157.500000 81.767 29.7259
160.000000 81.976 29.9188
162.500000 82.099 28.7616
165.000000 82.213 26.5686
167.500000 82.343 24.9855
170.000000 82.407 23.6185
172.500000 82.454 22.3971
175.000000 82.492 21.1221
177.500000 82.501 19.6759
180.000000 82.465 17.8916
182.500000 82.505 16.6793
185.000000 82.521 16.1099
187.500000 82.436 14.8176
190.000000 82.317 13.2641
192.500000 82.232 12.3704
195.000000 82.131 11.7720
197.500000 82.007 11.0608
200.000000 81.864 10.1495
203.000000 81.713 9.5655
206.000000 81.572 9.4934
209.000000 81.425 8.9741
212.000000 81.299 8.3045
214.000000 81.232 7.7487
218.000000 81.056 7.0402
220.000000 80.964 6.8028
224.000000 80.796 6.2435
227.000000 80.641 5.7532
230.000000 80.502 5.2603
233.000000 80.395 4.8521
236.000000 80.319 4.6662
240.000000 80.151 5.1830
243.000000 79.911 5.1155
247.000000 79.525 4.3688
250.000000 79.268 4.2944
254.000000 79.012 4.6999
258.000000 78.814 5.3743
262.000000 78.611 6.0657
265.000000 78.459 6.5076
269.000000 78.267 7.1176
272.000000 78.133 7.6137
276.000000 77.962 8.4297
280.000000 77.809 9.4242
285.000000 77.593 10.5584
290.000000 77.389 11.8879
295.000000 77.261 12.8599
300.000000 77.169 14.1035
304.000000 77.086 14.9614
307.000000 76.985 15.3633
311.000000 76.809 15.9126
315.000000 76.614 16.7614
320.000000 76.396 18.5269
325.000000 76.271 20.9898
330.000000 76.284 23.3532
335.000000 76.350 24.9004
340.000000 76.398 25.8696
345.000000 76.437 26.7430
350.000000 76.491 27.2569
355.000000 76.553 26.9702
360.000000 76.480 26.8313
365.000000 76.316 27.2033
370.000000 76.162 27.6388
375.000000 76.015 28.1876
382.000000 75.811 29.5898
387.000000 75.687 30.7663
395.000000 75.477 32.5244
400.000000 75.411 33.5883
406.000000 75.341 35.1133
412.000000 75.227 36.9604
418.000000 75.155 38.4761
425.000000 75.136 40.2238
431.000000 75.097 41.8646
437.000000 75.014 43.3414
444.000000 74.913 45.2104
450.000000 74.858 47.2403
455.000000 74.875 49.1755
462.000000 75.019 51.4597
468.000000 75.157 52.6723
475.000000 75.253 53.5772
482.000000 75.304 54.5352
487.000000 75.330 55.2688
494.000000 75.355 56.2523
500.000000 75.364 57.1264
508.000000 75.367 58.3863
515.000000 75.372 59.4924
522.000000 75.370 60.6445
530.000000 75.396 62.0162
538.000000 75.438 63.4182
545.000000 75.472 64.5495
552.000000 75.508 65.6677
560.000000 75.547 66.9372
570.000000 75.595 68.4258
580.000000 75.652 69.8946
590.000000 75.714 71.3413
600.000000 75.769 72.6659
608.000000 75.804 73.7303
615.000000 75.838 74.6163
622.000000 75.871 75.4860
630.000000 75.907 76.4633
640.000000 75.951 77.6645
650.000000 75.996 78.9207
660.000000 76.039 80.2111
670.000000 76.084 81.5221
680.000000 76.127 82.7321
690.000000 76.159 83.8636
700.000000 76.187 85.0398
710.000000 76.215 86.2275
720.000000 76.243 87.3793
730.000000 76.284 88.5343
740.000000 76.327 89.7247
750.000000 76.365 90.9334
762.000000 76.412 92.3724
775.000000 76.465 93.9248
788.000000 76.523 95.4083
800.000000 76.578 96.7785
812.000000 76.633 98.1723
825.000000 76.688 99.6561
838.000000 76.744 101.1846
850.000000 76.799 102.6310
862.000000 76.869 104.1049
875.000000 76.968 105.6564
885.000000 77.058 106.7321
900.000000 77.191 108.0683
912.000000 77.268 108.8947
925.000000 77.304 109.7160
938.000000 77.302 110.7608
950.000000 77.295 112.0490
962.000000 77.304 113.5611
975.000000 77.341 115.2977
988.000000 77.404 117.0839
1000.000000 77.486 118.7858
1015.000000 77.634 120.8989
1030.000000 77.834 122.8202
1044.000000 78.046 124.2747
1060.000000 78.287 125.5155
1075.000000 78.495 126.3385
1090.000000 78.672 126.8927
1106.000000 78.814 127.3191
1120.000000 78.904 127.6867
1138.000000 78.980 128.2668
1150.000000 79.012 128.7562
1172.000000 79.048 129.8282
1180.000000 79.059 130.2725
1206.000000 79.099 131.8433
1220.000000 79.125 132.6249
1241.000000 79.127 133.7999
1250.000000 79.117 134.4094
1265.000000 79.104 135.5401
1280.000000 79.104 136.7486
1315.000000 79.136 139.7204
1320.000000 79.143 140.1587
1340.000000 79.169 141.9501
1360.000000 79.207 143.7819
1380.000000 79.257 145.6198
1400.000000 79.321 147.4568
1430.000000 79.425 150.1532
1450.000000 79.493 151.9347
1475.000000 79.578 154.1887
1500.000000 79.659 156.5243
1525.000000 79.751 159.0315
1550.000000 79.873 161.6710
1575.000000 80.041 164.2806
1600.000000 80.242 166.6595
1625.000000 80.432 168.7947
1650.000000 80.595 171.0311
1675.000000 80.783 173.5206
1700.000000 81.019 175.9508
1725.000000 81.281 178.1894
1750.000000 81.554 -179.7255
1775.000000 81.834 -177.7490
1800.000000 82.121 -175.8358
1825.000000 82.425 -174.0174
1850.000000 82.748 -172.3352
1875.000000 83.081 -170.8556
1900.000000 83.411 -169.5682
1925.000000 83.734 -168.4370
1950.000000 84.050 -167.4417
1975.000000 84.364 -166.5623
2000.000000 84.679 -165.7928
2030.000000 85.060 -165.0919
2060.000000 85.421 -164.8197
2090.000000 85.694 -164.8525
2120.000000 85.901 -164.4964
2140.000000 86.048 -164.0593
2180.000000 86.377 -163.1716
2200.000000 86.549 -162.7811
2240.000000 86.897 -162.1924
2270.000000 87.150 -161.8994
2300.000000 87.389 -161.6973
2330.000000 87.612 -161.5421
2360.000000 87.820 -161.4121
2400.000000 88.076 -161.2559
2430.000000 88.256 -161.1340
2470.000000 88.484 -160.9710
2500.000000 88.647 -160.8389
2540.000000 88.852 -160.6523
2580.000000 89.045 -160.4379
2620.000000 89.229 -160.1592
2650.000000 89.368 -159.8855
2690.000000 89.560 -159.4441
2720.000000 89.714 -159.0705
2760.000000 89.934 -158.5231
2800.000000 90.188 -158.0129
2850.000000 90.562 -157.8066
2900.000000 90.948 -158.3508
2950.000000 91.273 -159.5689
3000.000000 91.503 -161.2352
3040.000000 91.604 -162.6820
3070.000000 91.631 -163.6839
3110.000000 91.620 -164.7717
3150.000000 91.582 -165.5960
3200.000000 91.500 -166.3951
3250.000000 91.375 -166.8377
3300.000000 91.219 -166.8185
3350.000000 91.044 -166.2962
3400.000000 90.867 -165.2061
3450.000000 90.708 -163.4009
3500.000000 90.610 -160.6564
3550.000000 90.679 -156.7371
3600.000000 91.085 -152.1520
3650.000000 91.926 -148.4065
3700.000000 93.097 -147.7616
3750.000000 94.158 -151.7220
3820.000000 94.680 -161.2117
3870.000000 94.438 -166.7339
3950.000000 93.759 -171.1753
4000.000000 93.397 -172.1796
4060.000000 93.078 -172.6735
4120.000000 92.840 -172.9853
4180.000000 92.622 -173.2732
4250.000000 92.359 -173.3833
4310.000000 92.137 -173.1066
4370.000000 91.941 -172.4926
4440.000000 91.752 -171.5288
4500.000000 91.633 -170.6110
4550.000000 91.571 -169.8304
4620.000000 91.540 -168.8391
4680.000000 91.553 -168.2221
4750.000000 91.582 -167.8870
4820.000000 91.587 -167.9678
4870.000000 91.553 -168.1691
4940.000000 91.450 -168.3096
5000.000000 91.329 -168.1024
5080.000000 91.210 -166.9147
5150.000000 91.262 -165.8869
5220.000000 91.365 -165.5507
5300.000000 91.501 -165.7112
5380.000000 91.660 -166.7853
5450.000000 91.717 -168.9749
5520.000000 91.508 -171.9792
5600.000000 90.830 -174.0182
5700.000000 89.904 -170.7476
5800.000000 89.763 -164.7289
5900.000000 90.151 -161.4837
6000.000000 90.569 -161.2414
6080.000000 90.801 -162.2778
6150.000000 90.912 -163.6511
6220.000000 90.938 -165.2443
6300.000000 90.866 -167.1187
6400.000000 90.649 -169.2033
