* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Nov 24, 2024 6:04:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UG Max5c (Treble AO) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.867 104.3702
20.600000 78.005 103.9806
20.900000 78.177 103.5254
21.200001 78.354 102.9522
21.400000 78.466 102.5011
21.799999 78.666 101.5040
22.000000 78.755 100.9982
22.400000 78.926 100.0293
22.700001 79.057 99.3322
23.000000 79.194 98.6272
23.299999 79.334 97.8900
23.600000 79.472 97.1226
24.000000 79.651 96.1024
24.299999 79.782 95.3852
24.700001 79.963 94.5282
25.000000 80.109 93.9460
25.400000 80.317 93.1892
25.799999 80.528 92.3858
26.200001 80.722 91.5095
26.500000 80.847 90.8265
26.900000 80.986 89.9357
27.200001 81.076 89.3088
27.600000 81.198 88.5187
28.000000 81.336 87.7140
28.500000 81.538 86.5698
29.000000 81.749 85.2729
29.500000 81.943 83.9985
30.000000 82.123 82.9020
30.400000 82.266 82.1260
30.700001 82.374 81.5393
31.100000 82.514 80.6829
31.500000 82.642 79.7268
32.000000 82.781 78.4761
32.500000 82.912 77.2873
33.000000 83.048 76.1979
33.500000 83.192 75.1480
34.000000 83.331 74.0729
34.500000 83.462 72.9476
35.000000 83.588 71.7761
35.500000 83.713 70.5896
36.000000 83.836 69.4529
36.500000 83.953 68.4333
37.000000 84.061 67.5404
37.500000 84.162 66.7019
38.200001 84.297 65.4081
38.700001 84.399 64.3069
39.500000 84.572 62.3695
40.000000 84.674 61.2453
40.599998 84.779 60.1120
41.200001 84.863 59.1087
41.799999 84.940 58.0116
42.500000 85.066 56.4522
43.099998 85.231 54.9695
43.700001 85.419 53.6119
44.400002 85.590 52.5636
45.000000 85.673 52.1278
45.500000 85.718 51.7353
46.200001 85.772 50.4083
46.799999 85.814 48.4301
47.500000 85.881 45.8524
48.200001 86.007 43.6700
48.700001 86.113 42.3139
49.400002 86.198 40.4046
50.000000 86.165 38.7380
50.799999 86.023 36.8556
51.500000 85.945 35.7118
52.200001 85.992 34.6869
53.000000 86.124 33.0302
53.799999 86.182 30.9143
54.500000 86.130 29.2268
55.200001 86.032 27.9571
56.000000 85.929 26.7451
57.000000 85.834 24.9866
58.000000 85.732 23.0406
59.000000 85.603 21.5463
60.000000 85.493 20.3533
60.799999 85.418 19.2647
61.500000 85.356 18.3522
62.200001 85.306 17.6370
63.000000 85.262 17.0317
64.000000 85.229 16.3165
65.000000 85.210 15.3444
66.000000 85.169 14.2590
67.000000 85.119 12.9028
68.000000 85.028 10.9445
69.000000 84.916 9.0362
70.000000 84.854 7.5876
71.000000 84.816 6.2732
72.000000 84.732 4.7528
73.000000 84.568 3.2106
74.000000 84.368 1.9518
75.000000 84.167 0.8411
76.199997 83.918 -0.2922
77.500000 83.653 -1.2019
78.800003 83.366 -1.7674
80.000000 83.101 -2.1481
81.199997 82.853 -2.5933
82.500000 82.613 -2.9538
83.800003 82.386 -3.0413
85.000000 82.169 -3.0786
86.199997 81.968 -3.0797
87.500000 81.807 -2.8586
88.500000 81.691 -2.7697
90.000000 81.505 -2.6049
91.199997 81.418 -2.2174
92.500000 81.352 -1.8394
93.800003 81.236 -1.7329
95.000000 81.093 -1.4650
96.199997 80.951 -1.0913
97.500000 80.821 -0.7513
98.800003 80.753 -0.4447
100.000000 80.690 -0.3229
101.500000 80.524 -0.4658
103.000000 80.351 -0.5421
104.400002 80.241 -0.2757
106.000000 80.129 0.1710
107.500000 79.999 0.2441
109.000000 79.853 0.3313
110.599998 79.676 0.6168
112.000000 79.494 0.8988
113.800003 79.233 1.5772
115.000000 79.048 2.2180
117.199997 78.652 3.7759
118.000000 78.471 4.1862
120.599998 78.072 6.4874
122.000000 78.092 9.6530
124.099998 78.155 13.8609
125.000000 78.213 15.4215
126.500000 78.352 17.9011
128.000000 78.549 19.8929
131.500000 79.182 22.5334
132.000000 79.273 22.8107
134.000000 79.600 23.9040
136.000000 79.887 24.6110
138.000000 80.160 24.5113
140.000000 80.417 24.0125
143.000000 80.725 23.0947
145.000000 80.957 22.7147
147.500000 81.207 22.3472
150.000000 81.368 21.5558
152.500000 81.577 20.5015
155.000000 81.785 18.9354
157.500000 81.871 17.1688
160.000000 81.880 15.8265
162.500000 81.933 14.8826
165.000000 81.956 14.1320
167.500000 81.978 13.2522
170.000000 81.966 12.0860
172.500000 81.938 10.8180
175.000000 81.920 9.6447
177.500000 81.811 8.6374
180.000000 81.702 7.8717
182.500000 81.631 7.1357
185.000000 81.532 6.3890
187.500000 81.415 5.3729
190.000000 81.287 4.0759
192.500000 81.128 3.4785
195.000000 80.956 3.7315
197.500000 80.838 4.4208
200.000000 80.736 4.9533
203.000000 80.584 4.2062
206.000000 80.489 3.5270
209.000000 80.427 3.1879
212.000000 80.330 2.5526
214.000000 80.229 2.1175
218.000000 79.996 1.5449
220.000000 79.889 1.5294
224.000000 79.714 1.4214
227.000000 79.588 1.1689
230.000000 79.448 0.9482
233.000000 79.267 0.9206
236.000000 79.056 0.9814
240.000000 78.741 1.4414
243.000000 78.574 2.4563
247.000000 78.398 3.9652
250.000000 78.291 4.8922
254.000000 78.200 5.9857
258.000000 78.130 6.8179
262.000000 78.081 7.2390
265.000000 78.050 7.5994
269.000000 77.993 8.0747
272.000000 77.901 8.1345
276.000000 77.768 8.2865
280.000000 77.623 8.7929
285.000000 77.390 9.4808
290.000000 77.200 10.3742
295.000000 77.029 11.3955
300.000000 76.832 12.7273
304.000000 76.693 13.8413
307.000000 76.612 14.8463
311.000000 76.505 16.3666
315.000000 76.410 17.7620
320.000000 76.364 19.8533
325.000000 76.424 21.9805
330.000000 76.541 23.2277
335.000000 76.636 23.9433
340.000000 76.693 24.4246
345.000000 76.746 25.1102
350.000000 76.792 25.6059
355.000000 76.765 25.7462
360.000000 76.647 25.8525
365.000000 76.499 25.7757
370.000000 76.352 26.5097
375.000000 76.267 27.7932
382.000000 76.201 29.5498
387.000000 76.134 30.5973
395.000000 76.087 32.1803
400.000000 76.099 33.0649
406.000000 76.109 33.9922
412.000000 76.104 34.9832
418.000000 76.101 35.9238
425.000000 76.053 36.9366
431.000000 75.990 37.7826
437.000000 75.910 38.7900
444.000000 75.826 40.1944
450.000000 75.778 41.6451
455.000000 75.800 43.0404
462.000000 75.947 44.7939
468.000000 76.064 45.4891
475.000000 76.120 45.7582
482.000000 76.127 46.4335
487.000000 76.093 47.1503
494.000000 76.040 48.1409
500.000000 76.013 49.0028
508.000000 76.004 50.3412
515.000000 76.002 51.5613
522.000000 76.007 52.7289
530.000000 76.010 54.1354
538.000000 76.024 55.3028
545.000000 76.041 56.2805
552.000000 76.070 57.3275
560.000000 76.110 58.4746
570.000000 76.167 59.8626
580.000000 76.207 61.0691
590.000000 76.222 62.1970
600.000000 76.239 63.4535
608.000000 76.275 64.6143
615.000000 76.312 65.5661
622.000000 76.347 66.4797
630.000000 76.389 67.5038
640.000000 76.439 68.7830
650.000000 76.495 69.9830
660.000000 76.551 70.9683
670.000000 76.599 71.9401
680.000000 76.630 73.0255
690.000000 76.658 74.1686
700.000000 76.690 75.3581
710.000000 76.724 76.6290
720.000000 76.772 77.9183
730.000000 76.837 79.1215
740.000000 76.914 80.2664
750.000000 76.986 81.2739
762.000000 77.059 82.4223
775.000000 77.133 83.6682
788.000000 77.202 84.8501
800.000000 77.261 86.0329
812.000000 77.319 87.2605
825.000000 77.395 88.6248
838.000000 77.496 89.9717
850.000000 77.597 91.0607
862.000000 77.693 92.0042
875.000000 77.784 92.9063
885.000000 77.851 93.5617
900.000000 77.940 94.5253
912.000000 77.986 95.3288
925.000000 78.031 96.3096
938.000000 78.102 97.3345
950.000000 78.171 98.1422
962.000000 78.218 98.8750
975.000000 78.251 99.7232
988.000000 78.289 100.7458
1000.000000 78.340 101.7416
1015.000000 78.418 102.8874
1030.000000 78.495 103.9410
1044.000000 78.567 104.8559
1060.000000 78.648 105.7818
1075.000000 78.722 106.6088
1090.000000 78.785 107.3634
1106.000000 78.833 108.0617
1120.000000 78.856 108.6242
1138.000000 78.862 109.3961
1150.000000 78.851 109.9265
1172.000000 78.798 111.1963
1180.000000 78.778 111.7570
1206.000000 78.729 113.7678
1220.000000 78.706 114.9106
1241.000000 78.678 116.6465
1250.000000 78.670 117.4163
1265.000000 78.663 118.7543
1280.000000 78.657 120.0947
1315.000000 78.654 123.3101
1320.000000 78.656 123.7957
1340.000000 78.673 125.7918
1360.000000 78.707 127.7872
1380.000000 78.753 129.7126
1400.000000 78.801 131.5683
1430.000000 78.856 134.3807
1450.000000 78.899 136.4250
1475.000000 78.965 138.9741
1500.000000 79.032 141.4725
1525.000000 79.097 144.0054
1550.000000 79.170 146.5426
1575.000000 79.244 149.1057
1600.000000 79.302 151.6671
1625.000000 79.312 154.1301
1650.000000 79.195 156.8156
1675.000000 78.944 160.8481
1700.000000 78.684 167.2896
1725.000000 78.743 178.2906
1750.000000 80.104 -166.2548
1775.000000 82.728 -158.4031
1800.000000 84.885 -162.9961
1825.000000 85.900 -171.5460
1850.000000 86.181 -178.1789
1875.000000 86.209 177.8915
1900.000000 86.201 175.7295
1925.000000 86.228 174.6191
1950.000000 86.296 174.0883
1975.000000 86.388 173.8822
2000.000000 86.502 173.9058
2030.000000 86.680 174.1899
2060.000000 86.921 174.4466
2090.000000 87.190 174.2199
2120.000000 87.408 173.7867
2140.000000 87.532 173.5948
2180.000000 87.774 173.2263
2200.000000 87.883 173.0066
2240.000000 88.070 172.6222
2270.000000 88.213 172.4197
2300.000000 88.358 172.2534
2330.000000 88.491 172.1234
2360.000000 88.623 171.9892
2400.000000 88.788 171.6932
2430.000000 88.886 171.3373
2470.000000 88.996 170.9053
2500.000000 89.070 170.7475
2540.000000 89.176 170.6370
2580.000000 89.283 170.2885
2620.000000 89.342 169.7855
2650.000000 89.354 169.4290
2690.000000 89.353 169.1666
2720.000000 89.343 169.1412
2760.000000 89.316 169.2989
2800.000000 89.299 169.5495
2850.000000 89.243 169.7780
2900.000000 89.110 170.2992
2950.000000 88.970 171.8037
3000.000000 88.905 174.3413
3040.000000 88.996 176.8517
3070.000000 89.174 178.6575
3110.000000 89.543 -179.6435
3150.000000 89.958 -179.4862
3200.000000 90.242 179.0859
3250.000000 90.305 177.9483
3300.000000 90.263 177.2170
3350.000000 90.103 177.3746
3400.000000 89.913 178.5859
3450.000000 89.747 -178.8622
3500.000000 89.772 -174.0147
3550.000000 90.424 -167.9805
3600.000000 91.654 -165.8010
3650.000000 92.736 -169.0869
3700.000000 93.264 -175.0115
3750.000000 93.295 179.5746
3820.000000 92.983 174.8250
3870.000000 92.705 172.7326
3950.000000 92.215 170.8130
4000.000000 91.902 170.5302
4060.000000 91.595 170.9154
4120.000000 91.358 171.6124
4180.000000 91.191 172.4492
4250.000000 91.062 173.4460
4310.000000 90.942 174.1768
4370.000000 90.821 175.1581
4440.000000 90.746 176.5532
4500.000000 90.734 177.4039
4550.000000 90.733 177.8584
4620.000000 90.709 178.4361
4680.000000 90.647 178.9773
4750.000000 90.546 179.8434
4820.000000 90.441 -178.9373
4870.000000 90.372 -177.9142
4940.000000 90.325 -176.2014
5000.000000 90.349 -174.4023
5080.000000 90.479 -171.7729
5150.000000 90.691 -169.0887
5220.000000 91.241 -166.0704
5300.000000 92.207 -166.1581
5380.000000 92.969 -170.6520
5450.000000 93.140 -176.2288
5520.000000 92.763 179.1759
5600.000000 92.076 177.6253
5700.000000 91.619 178.8586
5800.000000 91.498 179.2484
5900.000000 91.450 179.0354
6000.000000 91.414 178.4906
6080.000000 91.376 177.6158
6150.000000 91.317 176.5481
6220.000000 91.198 175.1401
6300.000000 90.976 173.3200
6400.000000 90.594 171.4175
6500.000000 90.094 170.1353
6600.000000 89.470 169.7817
6700.000000 88.825 170.7607
