* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Dec 14, 2024 4:24:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Auteur Hy Perf) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.592 -103.9787
20.600000 85.666 -104.7612
20.900000 85.744 -105.5996
21.200001 85.816 -106.4125
21.400000 85.861 -106.9302
21.799999 85.954 -107.9068
22.000000 86.003 -108.3742
22.400000 86.107 -109.3005
22.700001 86.186 -110.0096
23.000000 86.262 -110.7333
23.299999 86.331 -111.4548
23.600000 86.393 -112.1499
24.000000 86.470 -113.0085
24.299999 86.528 -113.6082
24.700001 86.609 -114.3945
25.000000 86.669 -115.0058
25.400000 86.742 -115.8605
25.799999 86.804 -116.7211
26.200001 86.860 -117.5343
26.500000 86.907 -118.1074
26.900000 86.982 -118.8613
27.200001 87.045 -119.4522
27.600000 87.127 -120.2807
28.000000 87.191 -121.0882
28.500000 87.244 -121.9075
29.000000 87.293 -122.4631
29.500000 87.363 -122.9576
30.000000 87.442 -123.6558
30.400000 87.490 -124.3926
30.700001 87.512 -124.9895
31.100000 87.529 -125.7535
31.500000 87.550 -126.4312
32.000000 87.598 -127.2017
32.500000 87.663 -127.9842
33.000000 87.720 -128.7753
33.500000 87.759 -129.4737
34.000000 87.791 -130.0382
34.500000 87.827 -130.5497
35.000000 87.864 -131.1065
35.500000 87.893 -131.7101
36.000000 87.915 -132.2937
36.500000 87.945 -132.8253
37.000000 87.991 -133.3414
37.500000 88.046 -133.8848
38.200001 88.119 -134.6649
38.700001 88.160 -135.1823
39.500000 88.209 -135.9405
40.000000 88.233 -136.4086
40.599998 88.257 -136.9747
41.200001 88.288 -137.5510
41.799999 88.334 -138.1868
42.500000 88.390 -139.0430
43.099998 88.423 -139.7862
43.700001 88.443 -140.4151
44.400002 88.465 -140.9834
45.000000 88.487 -141.4338
45.500000 88.501 -141.8489
46.200001 88.513 -142.5187
46.799999 88.524 -143.1663
47.500000 88.547 -143.9725
48.200001 88.574 -144.7304
48.700001 88.587 -145.1664
49.400002 88.591 -145.6062
50.000000 88.584 -145.9095
50.799999 88.566 -146.3779
51.500000 88.549 -146.8449
52.200001 88.547 -147.2706
53.000000 88.556 -147.6837
53.799999 88.544 -148.0392
54.500000 88.510 -148.2894
55.200001 88.476 -148.5118
56.000000 88.454 -148.7583
57.000000 88.459 -148.9405
58.000000 88.486 -148.9913
59.000000 88.499 -149.0543
60.000000 88.513 -149.1461
60.799999 88.551 -149.3036
61.500000 88.600 -149.5070
62.200001 88.649 -149.7205
63.000000 88.694 -149.9412
64.000000 88.732 -150.1941
65.000000 88.777 -150.4968
66.000000 88.829 -150.8993
67.000000 88.856 -151.2551
68.000000 88.867 -151.5181
69.000000 88.890 -151.8914
70.000000 88.922 -152.4268
71.000000 88.948 -152.9580
72.000000 88.968 -153.3506
73.000000 88.986 -153.6337
74.000000 88.988 -153.8584
75.000000 88.977 -154.0135
76.199997 88.974 -154.2339
77.500000 88.999 -154.5291
78.800003 89.050 -154.9624
80.000000 89.093 -155.3392
81.199997 89.146 -155.4045
82.500000 89.202 -155.4608
83.800003 89.249 -155.7393
85.000000 89.294 -156.1200
86.199997 89.336 -156.4462
87.500000 89.378 -156.7879
88.500000 89.407 -157.0763
90.000000 89.452 -157.6122
91.199997 89.490 -158.0455
92.500000 89.532 -158.4679
93.800003 89.560 -158.9414
95.000000 89.580 -159.4494
96.199997 89.602 -159.9483
97.500000 89.626 -160.5075
98.800003 89.637 -161.0951
100.000000 89.636 -161.5712
101.500000 89.627 -162.1120
103.000000 89.614 -162.6595
104.400002 89.600 -163.1292
106.000000 89.576 -163.6884
107.500000 89.548 -164.2067
109.000000 89.508 -164.6242
110.599998 89.458 -164.9327
112.000000 89.420 -165.1802
113.800003 89.367 -165.4391
115.000000 89.331 -165.5329
117.199997 89.280 -165.6238
118.000000 89.265 -165.6249
120.599998 89.242 -165.6000
122.000000 89.236 -165.6455
124.099998 89.243 -165.6680
125.000000 89.242 -165.7092
126.500000 89.231 -165.7869
128.000000 89.220 -165.8662
131.500000 89.213 -165.9806
132.000000 89.213 -166.0041
134.000000 89.205 -166.0692
136.000000 89.193 -166.0688
138.000000 89.186 -166.0462
140.000000 89.186 -165.9989
143.000000 89.203 -165.9118
145.000000 89.217 -165.8875
147.500000 89.235 -165.8893
150.000000 89.250 -165.8832
152.500000 89.268 -165.7806
155.000000 89.298 -165.6355
157.500000 89.345 -165.5084
160.000000 89.404 -165.4560
162.500000 89.465 -165.5336
165.000000 89.522 -165.6635
167.500000 89.575 -165.8127
170.000000 89.626 -166.0132
172.500000 89.673 -166.2810
175.000000 89.711 -166.5804
177.500000 89.738 -166.8659
180.000000 89.762 -167.1128
182.500000 89.795 -167.3242
185.000000 89.829 -167.5419
187.500000 89.857 -167.8327
190.000000 89.877 -168.1420
192.500000 89.886 -168.4381
195.000000 89.888 -168.6843
197.500000 89.888 -168.8578
200.000000 89.888 -168.9817
203.000000 89.894 -169.0176
206.000000 89.908 -169.0298
209.000000 89.932 -169.0321
212.000000 89.962 -169.0112
214.000000 89.991 -168.9967
218.000000 90.066 -169.0680
220.000000 90.108 -169.1355
224.000000 90.196 -169.3923
227.000000 90.257 -169.7084
230.000000 90.321 -170.1717
233.000000 90.386 -170.6372
236.000000 90.435 -170.9901
240.000000 90.483 -171.5506
243.000000 90.513 -172.0951
247.000000 90.554 -173.0346
250.000000 90.593 -173.6868
254.000000 90.597 -174.0623
258.000000 90.584 -174.6842
262.000000 90.576 -175.4065
265.000000 90.564 -175.9158
269.000000 90.533 -176.5822
272.000000 90.500 -177.0307
276.000000 90.447 -177.5286
280.000000 90.394 -177.9456
285.000000 90.324 -178.4004
290.000000 90.255 -178.7399
295.000000 90.197 -178.8765
300.000000 90.157 -178.9962
304.000000 90.139 -179.1022
307.000000 90.127 -179.2073
311.000000 90.110 -179.3552
315.000000 90.090 -179.4880
320.000000 90.065 -179.6477
325.000000 90.052 -179.7917
330.000000 90.052 -179.9214
335.000000 90.060 179.8646
340.000000 90.059 179.5927
345.000000 90.054 179.3826
350.000000 90.059 179.1558
355.000000 90.065 178.8946
360.000000 90.080 178.5857
365.000000 90.089 178.1133
370.000000 90.070 177.5933
375.000000 90.027 177.1618
382.000000 89.968 176.5290
387.000000 89.938 176.0171
395.000000 89.884 175.4037
400.000000 89.829 175.1093
406.000000 89.759 174.6951
412.000000 89.691 174.4348
418.000000 89.645 174.2120
425.000000 89.593 173.8281
431.000000 89.540 173.4577
437.000000 89.480 172.9460
444.000000 89.384 172.3098
450.000000 89.272 171.8274
455.000000 89.162 171.5206
462.000000 88.992 171.3091
468.000000 88.844 171.3413
475.000000 88.678 171.5688
482.000000 88.532 171.9315
487.000000 88.439 172.2245
494.000000 88.314 172.6686
500.000000 88.214 173.1489
508.000000 88.101 173.8876
515.000000 88.020 174.5375
522.000000 87.947 175.2485
530.000000 87.886 176.1084
538.000000 87.851 176.9836
545.000000 87.839 177.7708
552.000000 87.844 178.4510
560.000000 87.865 179.1273
570.000000 87.905 179.9031
580.000000 87.938 -179.5694
590.000000 87.981 -179.1009
600.000000 88.024 -178.7419
608.000000 88.052 -178.5023
615.000000 88.073 -178.2397
622.000000 88.089 -177.9546
630.000000 88.105 -177.6217
640.000000 88.141 -177.1950
650.000000 88.198 -176.7547
660.000000 88.291 -176.4216
670.000000 88.397 -176.4489
680.000000 88.454 -176.9295
690.000000 88.419 -177.3272
700.000000 88.364 -176.9861
710.000000 88.395 -176.3551
720.000000 88.481 -176.1143
730.000000 88.563 -176.1809
740.000000 88.623 -176.4562
750.000000 88.656 -176.8288
762.000000 88.664 -177.2104
775.000000 88.662 -177.4664
788.000000 88.676 -177.6813
800.000000 88.685 -178.0651
812.000000 88.671 -178.5466
825.000000 88.603 -179.1673
838.000000 88.477 -179.4744
850.000000 88.339 -179.2669
862.000000 88.242 -178.4575
875.000000 88.253 -177.4517
885.000000 88.320 -177.0362
900.000000 88.417 -176.9955
912.000000 88.462 -177.2552
925.000000 88.480 -177.5879
938.000000 88.488 -178.0016
950.000000 88.457 -178.5995
962.000000 88.373 -179.1052
975.000000 88.238 -179.4243
988.000000 88.075 -179.2812
1000.000000 87.950 -178.6557
1015.000000 87.873 -177.6616
1030.000000 87.869 -176.8588
1044.000000 87.877 -176.4811
1060.000000 87.870 -176.2682
1075.000000 87.802 -176.2311
1090.000000 87.678 -175.8223
1106.000000 87.551 -174.6292
1120.000000 87.541 -173.0556
1138.000000 87.673 -171.6069
1150.000000 87.770 -171.1394
1172.000000 87.902 -170.7113
1180.000000 87.932 -170.5980
1206.000000 88.010 -169.9660
1220.000000 88.076 -169.5598
1241.000000 88.190 -169.1819
1250.000000 88.243 -169.0334
1265.000000 88.348 -168.9839
1280.000000 88.421 -169.3250
1315.000000 88.439 -169.4702
1320.000000 88.445 -169.4144
1340.000000 88.490 -169.1544
1360.000000 88.574 -169.0045
1380.000000 88.660 -169.2595
1400.000000 88.688 -169.8038
1430.000000 88.637 -170.1558
1450.000000 88.605 -170.1673
1475.000000 88.563 -169.9924
1500.000000 88.533 -169.7691
1525.000000 88.507 -169.3503
1550.000000 88.512 -169.0025
1575.000000 88.494 -168.8257
1600.000000 88.432 -168.4534
1625.000000 88.367 -167.4775
1650.000000 88.410 -166.0973
1675.000000 88.545 -165.2181
1700.000000 88.673 -164.8484
1725.000000 88.772 -164.6718
1750.000000 88.848 -164.5178
1775.000000 88.917 -164.3408
1800.000000 88.984 -164.2027
1825.000000 89.044 -164.1102
1850.000000 89.086 -164.0186
1875.000000 89.120 -163.7965
1900.000000 89.162 -163.5053
1925.000000 89.212 -163.1679
1950.000000 89.276 -162.7885
1975.000000 89.354 -162.4554
2000.000000 89.437 -162.2312
2030.000000 89.530 -161.9967
2060.000000 89.640 -161.7108
2090.000000 89.760 -161.6584
2120.000000 89.857 -161.7304
2140.000000 89.911 -161.7947
2180.000000 89.990 -161.8412
2200.000000 90.024 -161.7499
2240.000000 90.111 -161.3677
2270.000000 90.198 -161.0159
2300.000000 90.309 -160.6094
2330.000000 90.457 -160.2413
2360.000000 90.633 -160.1066
2400.000000 90.870 -160.3030
2430.000000 91.040 -160.6650
2470.000000 91.232 -161.4105
2500.000000 91.342 -161.9988
2540.000000 91.472 -162.6422
2580.000000 91.610 -163.2188
2620.000000 91.752 -163.8587
2650.000000 91.858 -164.3771
2690.000000 91.999 -165.1202
2720.000000 92.108 -165.7062
2760.000000 92.262 -166.5999
2800.000000 92.414 -167.7446
2850.000000 92.563 -169.4312
2900.000000 92.677 -171.1691
2950.000000 92.754 -173.0511
3000.000000 92.776 -174.8895
3040.000000 92.761 -176.1727
3070.000000 92.750 -176.9105
3110.000000 92.786 -177.6549
3150.000000 92.908 -178.6348
3200.000000 93.079 179.0692
3250.000000 93.111 175.9827
3300.000000 93.001 173.1572
3350.000000 92.872 170.7672
3400.000000 92.750 168.1848
3450.000000 92.554 165.2549
3500.000000 92.241 162.3770
3550.000000 91.832 159.9128
3600.000000 91.363 157.9689
3650.000000 90.854 156.5801
3700.000000 90.328 155.7457
3750.000000 89.804 155.4167
3820.000000 89.095 155.6758
3870.000000 88.609 156.2499
3950.000000 87.860 157.8392
4000.000000 87.418 159.2476
4060.000000 86.923 161.3007
4120.000000 86.466 163.6811
4180.000000 86.027 166.4130
4250.000000 85.551 170.5258
4310.000000 85.309 175.0048
4370.000000 85.281 178.5588
4440.000000 85.036 -179.2130
4500.000000 84.502 -175.4360
4550.000000 84.073 -169.3306
4620.000000 84.088 -155.9332
4680.000000 85.258 -142.6482
4750.000000 87.845 -133.7809
4820.000000 90.424 -136.9160
4870.000000 91.625 -144.3017
4940.000000 92.195 -156.3168
5000.000000 91.903 -164.3897
5080.000000 91.064 -169.7429
