* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 3:00:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Au Hy Perf) R6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.009 -95.2396
20.600000 82.105 -95.8951
20.900000 82.216 -96.5987
21.200001 82.327 -97.3188
21.400000 82.397 -97.8107
21.799999 82.523 -98.8124
22.000000 82.579 -99.3107
22.400000 82.677 -100.2719
22.700001 82.745 -100.9480
23.000000 82.815 -101.5885
23.299999 82.891 -102.2095
23.600000 82.976 -102.8327
24.000000 83.100 -103.6974
24.299999 83.194 -104.3779
24.700001 83.314 -105.3084
25.000000 83.393 -105.9974
25.400000 83.484 -106.8655
25.799999 83.561 -107.6558
26.200001 83.633 -108.3857
26.500000 83.688 -108.9231
26.900000 83.768 -109.6680
27.200001 83.832 -110.2625
27.600000 83.919 -111.0920
28.000000 84.005 -111.9198
28.500000 84.109 -112.8732
29.000000 84.213 -113.7001
29.500000 84.314 -114.4456
30.000000 84.407 -115.1905
30.400000 84.472 -115.8217
30.700001 84.515 -116.3199
31.100000 84.566 -117.0103
31.500000 84.613 -117.7145
32.000000 84.671 -118.5770
32.500000 84.731 -119.3734
33.000000 84.798 -120.0821
33.500000 84.874 -120.7361
34.000000 84.953 -121.3902
34.500000 85.024 -122.0551
35.000000 85.084 -122.6827
35.500000 85.140 -123.2378
36.000000 85.203 -123.7639
36.500000 85.273 -124.3464
37.000000 85.337 -125.0125
37.500000 85.389 -125.7036
38.200001 85.456 -126.6139
38.700001 85.508 -127.2634
39.500000 85.572 -128.3617
40.000000 85.587 -128.9705
40.599998 85.601 -129.5383
41.200001 85.640 -130.1052
41.799999 85.694 -130.8857
42.500000 85.742 -131.9453
43.099998 85.791 -132.7094
43.700001 85.875 -133.3472
44.400002 85.986 -134.1681
45.000000 86.030 -134.8884
45.500000 86.021 -135.3294
46.200001 85.993 -135.6635
46.799999 86.000 -135.9699
47.500000 86.039 -136.6566
48.200001 86.074 -137.5201
48.700001 86.089 -138.0265
49.400002 86.104 -138.4760
50.000000 86.111 -138.7409
50.799999 86.101 -139.2228
51.500000 86.070 -139.8537
52.200001 86.029 -140.5192
53.000000 85.999 -141.0413
53.799999 85.999 -141.2552
54.500000 86.013 -141.3355
55.200001 86.032 -141.4349
56.000000 86.069 -141.6339
57.000000 86.133 -142.0493
58.000000 86.169 -142.4108
59.000000 86.197 -142.4710
60.000000 86.268 -142.6894
60.799999 86.314 -143.0834
61.500000 86.334 -143.3344
62.200001 86.364 -143.4573
63.000000 86.430 -143.6711
64.000000 86.532 -144.2348
65.000000 86.627 -144.8663
66.000000 86.698 -145.4529
67.000000 86.732 -146.0526
68.000000 86.754 -146.6795
69.000000 86.772 -147.2838
70.000000 86.789 -147.8090
71.000000 86.808 -148.4145
72.000000 86.810 -149.0382
73.000000 86.805 -149.4993
74.000000 86.797 -149.8835
75.000000 86.786 -150.2139
76.199997 86.795 -150.4695
77.500000 86.818 -150.6410
78.800003 86.833 -150.9000
80.000000 86.865 -151.2435
81.199997 86.916 -151.5729
82.500000 86.957 -151.8297
83.800003 86.990 -152.1110
85.000000 87.028 -152.4449
86.199997 87.060 -152.7968
87.500000 87.086 -153.1186
88.500000 87.112 -153.3626
90.000000 87.146 -153.7337
91.199997 87.174 -154.0982
92.500000 87.206 -154.5596
93.800003 87.240 -154.9506
95.000000 87.268 -155.2971
96.199997 87.290 -155.6772
97.500000 87.298 -156.0458
98.800003 87.287 -156.3756
100.000000 87.279 -156.7050
101.500000 87.310 -157.0995
103.000000 87.351 -157.5491
104.400002 87.369 -157.9494
106.000000 87.394 -158.3134
107.500000 87.415 -158.6284
109.000000 87.416 -158.9874
110.599998 87.417 -159.3884
112.000000 87.430 -159.7560
113.800003 87.443 -160.2261
115.000000 87.441 -160.4983
117.199997 87.446 -160.9090
118.000000 87.448 -161.0667
120.599998 87.439 -161.6416
122.000000 87.437 -161.9108
124.099998 87.433 -162.2112
125.000000 87.432 -162.3252
126.500000 87.431 -162.5089
128.000000 87.429 -162.6837
131.500000 87.430 -163.1174
132.000000 87.430 -163.1811
134.000000 87.429 -163.4462
136.000000 87.427 -163.7481
138.000000 87.421 -164.0185
140.000000 87.412 -164.2317
143.000000 87.391 -164.4803
145.000000 87.365 -164.4687
147.500000 87.331 -164.4373
150.000000 87.323 -164.5021
152.500000 87.357 -164.1622
155.000000 87.408 -163.8195
157.500000 87.443 -163.6426
160.000000 87.480 -163.5814
162.500000 87.577 -163.9370
165.000000 87.654 -164.3322
167.500000 87.706 -164.6570
170.000000 87.751 -164.9330
172.500000 87.805 -165.2185
175.000000 87.871 -165.5584
177.500000 87.915 -165.9105
180.000000 87.919 -166.3391
182.500000 87.923 -166.6863
185.000000 87.974 -166.9335
187.500000 88.025 -167.2883
190.000000 88.074 -167.8138
192.500000 88.097 -168.3016
195.000000 88.094 -168.7224
197.500000 88.092 -169.2623
200.000000 88.073 -169.7247
203.000000 88.086 -169.6615
206.000000 88.127 -169.8685
209.000000 88.171 -170.2838
212.000000 88.198 -170.8012
214.000000 88.190 -171.1271
218.000000 88.153 -171.7718
220.000000 88.131 -171.9675
224.000000 88.095 -172.1205
227.000000 88.082 -172.3962
230.000000 88.089 -172.6357
233.000000 88.117 -172.9068
236.000000 88.176 -173.5487
240.000000 88.254 -174.4824
243.000000 88.216 -174.1480
247.000000 88.157 -174.2095
250.000000 88.148 -174.4601
254.000000 88.150 -174.8465
258.000000 88.145 -175.2256
262.000000 88.142 -175.5603
265.000000 88.133 -175.8766
269.000000 88.109 -176.3347
272.000000 88.086 -176.6255
276.000000 88.059 -176.8943
280.000000 88.049 -177.1017
285.000000 88.038 -177.3908
290.000000 88.017 -177.6664
295.000000 87.990 -177.8208
300.000000 88.006 -178.1110
304.000000 88.031 -178.5483
307.000000 88.034 -178.8112
311.000000 88.024 -179.1202
315.000000 88.019 -179.4267
320.000000 88.004 -179.8104
325.000000 87.998 179.6840
330.000000 87.984 179.1595
335.000000 87.969 178.5845
340.000000 87.939 178.0035
345.000000 87.909 177.4849
350.000000 87.906 176.7714
355.000000 87.878 176.2216
360.000000 87.782 175.7838
365.000000 87.666 175.2972
370.000000 87.595 174.9218
375.000000 87.529 174.7623
382.000000 87.397 174.6389
387.000000 87.313 174.6588
395.000000 87.224 174.7843
400.000000 87.203 174.8577
406.000000 87.225 174.6381
412.000000 87.245 174.1828
418.000000 87.215 173.5952
425.000000 87.129 172.7503
431.000000 87.008 172.0109
437.000000 86.868 171.4733
444.000000 86.694 171.0927
450.000000 86.527 170.9802
455.000000 86.388 171.0378
462.000000 86.207 171.2411
468.000000 86.065 171.6261
475.000000 85.914 172.1445
482.000000 85.785 172.7068
487.000000 85.710 173.1556
494.000000 85.628 173.7723
500.000000 85.561 174.2285
508.000000 85.457 174.7375
515.000000 85.354 175.2750
522.000000 85.241 175.9081
530.000000 85.126 176.8167
538.000000 85.044 177.8051
545.000000 84.989 178.7296
552.000000 84.943 179.7213
560.000000 84.913 -179.1070
570.000000 84.912 -177.6364
580.000000 84.967 -176.1919
590.000000 85.059 -174.9418
600.000000 85.169 -173.9048
608.000000 85.264 -173.1708
615.000000 85.355 -172.6532
622.000000 85.447 -172.2850
630.000000 85.546 -171.9458
640.000000 85.681 -171.5166
650.000000 85.813 -171.3511
660.000000 85.920 -171.3354
670.000000 86.003 -171.3762
680.000000 86.075 -171.2858
690.000000 86.167 -171.1990
700.000000 86.266 -171.3074
710.000000 86.343 -171.5111
720.000000 86.400 -171.6596
730.000000 86.467 -171.7431
740.000000 86.538 -171.9508
750.000000 86.597 -172.1165
762.000000 86.693 -172.3754
775.000000 86.794 -172.8671
788.000000 86.898 -173.6317
800.000000 86.955 -174.7073
812.000000 86.949 -175.8210
825.000000 86.897 -176.9065
838.000000 86.791 -178.0973
850.000000 86.617 -178.9308
862.000000 86.420 -179.1327
875.000000 86.223 -178.7664
885.000000 86.122 -178.1770
900.000000 86.061 -177.4342
912.000000 86.042 -177.0508
925.000000 86.028 -176.9008
938.000000 85.982 -176.9101
950.000000 85.920 -176.7792
962.000000 85.854 -176.5585
975.000000 85.790 -176.2488
988.000000 85.716 -175.8949
1000.000000 85.646 -175.3647
1015.000000 85.629 -174.4471
1030.000000 85.665 -174.1350
1044.000000 85.631 -174.1465
1060.000000 85.536 -174.0164
1075.000000 85.395 -173.4909
1090.000000 85.292 -172.1929
1106.000000 85.291 -170.7359
1120.000000 85.327 -169.6768
1138.000000 85.415 -168.4182
1150.000000 85.483 -167.8192
1172.000000 85.600 -167.0311
1180.000000 85.628 -166.8387
1206.000000 85.687 -165.0890
1220.000000 85.902 -163.8512
1241.000000 86.258 -164.2304
1250.000000 86.338 -164.7106
1265.000000 86.411 -165.3542
1280.000000 86.454 -165.7765
1315.000000 86.473 -166.5684
1320.000000 86.469 -166.6186
1340.000000 86.458 -166.6910
1360.000000 86.446 -166.6748
1380.000000 86.440 -166.5218
1400.000000 86.446 -166.3494
1430.000000 86.442 -166.1232
1450.000000 86.452 -165.7675
1475.000000 86.495 -165.4943
1500.000000 86.514 -165.3297
1525.000000 86.527 -165.0472
1550.000000 86.541 -164.6562
1575.000000 86.576 -164.2341
1600.000000 86.635 -163.8052
1625.000000 86.720 -163.6457
1650.000000 86.779 -163.8802
1675.000000 86.744 -164.2641
1700.000000 86.628 -163.8244
1725.000000 86.605 -162.5438
1750.000000 86.710 -161.5004
1775.000000 86.845 -161.0253
1800.000000 86.958 -160.8824
1825.000000 87.045 -160.8580
1850.000000 87.107 -160.9016
1875.000000 87.151 -160.8484
1900.000000 87.191 -160.7808
1925.000000 87.216 -160.6603
1950.000000 87.240 -160.3812
1975.000000 87.283 -160.0438
2000.000000 87.337 -159.7592
2030.000000 87.400 -159.4505
2060.000000 87.474 -159.0847
2090.000000 87.558 -158.8347
2120.000000 87.633 -158.6531
2140.000000 87.677 -158.5233
2180.000000 87.770 -158.1515
2200.000000 87.825 -157.9710
2240.000000 87.939 -157.6862
2270.000000 88.019 -157.5031
2300.000000 88.097 -157.2427
2330.000000 88.191 -156.9184
2360.000000 88.305 -156.6032
2400.000000 88.493 -156.3758
2430.000000 88.637 -156.4469
2470.000000 88.810 -156.7811
2500.000000 88.913 -157.1677
2540.000000 89.010 -157.6064
2580.000000 89.097 -157.8651
2620.000000 89.193 -158.0928
2650.000000 89.258 -158.3055
2690.000000 89.324 -158.4935
2720.000000 89.371 -158.4629
2760.000000 89.466 -158.1923
2800.000000 89.620 -157.9470
2850.000000 89.857 -158.0216
2900.000000 90.095 -158.5150
2950.000000 90.316 -159.3123
3000.000000 90.501 -160.3662
3040.000000 90.600 -161.2648
3070.000000 90.644 -161.7712
3110.000000 90.704 -161.9557
3150.000000 90.864 -161.5852
3200.000000 91.299 -161.6618
3250.000000 91.787 -163.8264
3300.000000 92.077 -167.3098
3350.000000 92.175 -170.8134
3400.000000 92.175 -174.0336
3450.000000 92.109 -177.0962
3500.000000 91.976 -179.9895
3550.000000 91.782 177.3596
3600.000000 91.542 174.9974
3650.000000 91.265 172.9242
3700.000000 90.957 171.1566
3750.000000 90.628 169.6930
3820.000000 90.146 168.1377
3870.000000 89.795 167.3194
3950.000000 89.211 166.4274
4000.000000 88.825 166.1616
4060.000000 88.342 166.2031
4120.000000 87.837 166.7236
4180.000000 87.323 167.8339
4250.000000 86.751 169.8306
4310.000000 86.260 171.7626
4370.000000 85.680 174.3469
4440.000000 84.923 179.4471
4500.000000 84.341 -173.3610
4550.000000 84.104 -164.5837
4620.000000 84.794 -148.4194
4680.000000 86.720 -136.1691
4750.000000 89.739 -132.3265
4820.000000 92.171 -140.4048
4870.000000 93.077 -149.9264
4940.000000 93.224 -162.7148
5000.000000 92.721 -170.2043
5080.000000 91.843 -174.6367
