* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:25:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Au Hy Solid) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.544 -95.7576
20.600000 91.634 -96.6222
20.900000 91.732 -97.5496
21.200001 91.829 -98.4749
21.400000 91.893 -99.0899
21.799999 92.021 -100.3170
22.000000 92.085 -100.9284
22.400000 92.213 -102.1420
22.700001 92.307 -103.0386
23.000000 92.398 -103.9178
23.299999 92.485 -104.7740
23.600000 92.568 -105.6022
24.000000 92.671 -106.6582
24.299999 92.744 -107.4156
24.700001 92.837 -108.3918
25.000000 92.905 -109.1107
25.400000 92.993 -110.0680
25.799999 93.077 -111.0311
26.200001 93.157 -111.9951
26.500000 93.216 -112.7134
26.900000 93.295 -113.6639
27.200001 93.355 -114.3758
27.600000 93.436 -115.3321
28.000000 93.514 -116.2946
28.500000 93.602 -117.4724
29.000000 93.679 -118.5660
29.500000 93.755 -119.5559
30.000000 93.837 -120.4926
30.400000 93.905 -121.2522
30.700001 93.956 -121.8393
31.100000 94.017 -122.6357
31.500000 94.072 -123.4233
32.000000 94.134 -124.3669
32.500000 94.196 -125.2708
33.000000 94.259 -126.1661
33.500000 94.318 -127.0686
34.000000 94.373 -127.9669
34.500000 94.424 -128.8459
35.000000 94.476 -129.7031
35.500000 94.527 -130.5408
36.000000 94.577 -131.3582
36.500000 94.627 -132.1604
37.000000 94.675 -132.9660
37.500000 94.718 -133.7918
38.200001 94.765 -134.9644
38.700001 94.792 -135.7764
39.500000 94.842 -137.0125
40.000000 94.880 -137.7790
40.599998 94.923 -138.7175
41.200001 94.951 -139.6499
41.799999 94.963 -140.5344
42.500000 94.973 -141.5170
43.099998 94.988 -142.3952
43.700001 95.007 -143.3559
44.400002 95.016 -144.5139
45.000000 95.008 -145.4265
45.500000 94.991 -146.0976
46.200001 94.955 -146.9306
46.799999 94.918 -147.5778
47.500000 94.878 -148.2840
48.200001 94.846 -148.9908
48.700001 94.822 -149.4988
49.400002 94.774 -150.1362
50.000000 94.727 -150.5562
50.799999 94.673 -150.9867
51.500000 94.637 -151.3030
52.200001 94.610 -151.5240
53.000000 94.593 -151.6378
53.799999 94.590 -151.6905
54.500000 94.595 -151.7664
55.200001 94.607 -151.9270
56.000000 94.623 -152.2063
57.000000 94.638 -152.5668
58.000000 94.658 -152.9269
59.000000 94.682 -153.2681
60.000000 94.727 -153.5031
60.799999 94.774 -153.7041
61.500000 94.811 -153.9379
62.200001 94.846 -154.2226
63.000000 94.891 -154.6056
64.000000 94.953 -155.1428
65.000000 95.007 -155.7330
66.000000 95.036 -156.3970
67.000000 95.049 -157.0966
68.000000 95.057 -157.8630
69.000000 95.042 -158.6478
70.000000 95.004 -159.2445
71.000000 94.962 -159.5823
72.000000 94.926 -159.7070
73.000000 94.904 -159.7317
74.000000 94.894 -159.7053
75.000000 94.903 -159.5927
76.199997 94.935 -159.4483
77.500000 94.988 -159.3453
78.800003 95.069 -159.3926
80.000000 95.149 -159.5317
81.199997 95.232 -159.7239
82.500000 95.325 -160.0231
83.800003 95.424 -160.3752
85.000000 95.517 -160.7604
86.199997 95.604 -161.2097
87.500000 95.703 -161.8009
88.500000 95.780 -162.3347
90.000000 95.887 -163.1802
91.199997 95.961 -163.9131
92.500000 96.031 -164.7620
93.800003 96.097 -165.6517
95.000000 96.146 -166.4946
96.199997 96.180 -167.3507
97.500000 96.206 -168.2998
98.800003 96.222 -169.2762
100.000000 96.226 -170.1865
101.500000 96.213 -171.3174
103.000000 96.173 -172.4124
104.400002 96.109 -173.3527
106.000000 96.014 -174.2542
107.500000 95.912 -174.8615
109.000000 95.810 -175.2159
110.599998 95.715 -175.3898
112.000000 95.655 -175.4180
113.800003 95.611 -175.3462
115.000000 95.599 -175.2908
117.199997 95.604 -175.2552
118.000000 95.611 -175.2769
120.599998 95.661 -175.4015
122.000000 95.700 -175.4998
124.099998 95.758 -175.7806
125.000000 95.782 -175.9360
126.500000 95.821 -176.2469
128.000000 95.858 -176.6290
131.500000 95.924 -177.6342
132.000000 95.930 -177.7789
134.000000 95.946 -178.3163
136.000000 95.962 -178.8081
138.000000 95.978 -179.2994
140.000000 95.992 -179.7871
143.000000 95.998 179.5418
145.000000 95.996 179.1893
147.500000 96.004 178.9408
150.000000 96.046 178.8185
152.500000 96.127 178.6156
155.000000 96.234 178.2409
157.500000 96.347 177.6343
160.000000 96.453 176.8300
162.500000 96.544 175.8877
165.000000 96.617 174.8760
167.500000 96.673 173.8210
170.000000 96.717 172.7605
172.500000 96.749 171.7290
175.000000 96.773 170.7305
177.500000 96.797 169.7777
180.000000 96.830 168.8254
182.500000 96.872 167.7840
185.000000 96.908 166.6117
187.500000 96.929 165.3214
190.000000 96.924 163.9301
192.500000 96.889 162.5459
195.000000 96.828 161.2373
197.500000 96.748 160.0425
200.000000 96.658 158.9969
203.000000 96.549 157.9594
206.000000 96.453 157.1099
209.000000 96.375 156.3249
212.000000 96.308 155.5586
214.000000 96.270 155.0590
218.000000 96.198 153.9036
220.000000 96.164 153.2881
224.000000 96.095 152.0447
227.000000 96.036 151.0809
230.000000 95.973 150.1207
233.000000 95.911 149.1650
236.000000 95.853 148.1942
240.000000 95.777 146.7385
243.000000 95.700 145.4641
247.000000 95.548 143.7389
250.000000 95.403 142.5648
254.000000 95.191 141.2175
258.000000 94.973 140.0649
262.000000 94.758 139.0550
265.000000 94.596 138.3712
269.000000 94.378 137.5377
272.000000 94.216 136.9751
276.000000 94.004 136.2796
280.000000 93.795 135.6389
285.000000 93.531 134.8630
290.000000 93.254 134.1269
295.000000 92.962 133.5562
300.000000 92.671 133.1882
304.000000 92.438 132.9860
307.000000 92.264 132.8934
311.000000 92.036 132.8389
315.000000 91.811 132.8766
320.000000 91.536 133.0818
325.000000 91.276 133.3862
330.000000 91.022 133.8050
335.000000 90.782 134.3535
340.000000 90.558 135.0395
345.000000 90.364 135.8658
350.000000 90.200 136.7251
355.000000 90.064 137.5979
360.000000 89.954 138.4128
365.000000 89.866 139.1028
370.000000 89.795 139.6572
375.000000 89.727 140.0742
382.000000 89.621 140.4786
387.000000 89.540 140.6971
395.000000 89.399 140.9475
400.000000 89.300 141.0441
406.000000 89.167 141.2004
412.000000 89.019 141.4600
418.000000 88.872 141.8491
425.000000 88.710 142.3355
431.000000 88.568 142.7738
437.000000 88.426 143.2408
444.000000 88.254 143.8562
450.000000 88.109 144.5744
455.000000 87.999 145.2825
462.000000 87.872 146.2941
468.000000 87.780 147.1149
475.000000 87.678 148.0605
482.000000 87.583 149.0684
487.000000 87.529 149.8370
494.000000 87.479 150.9037
500.000000 87.452 151.7523
508.000000 87.427 152.7867
515.000000 87.419 153.5952
522.000000 87.414 154.3028
530.000000 87.410 155.0555
538.000000 87.402 155.6892
545.000000 87.386 156.2056
552.000000 87.365 156.7449
560.000000 87.344 157.3959
570.000000 87.331 158.2173
580.000000 87.321 159.0519
590.000000 87.318 159.8607
600.000000 87.325 160.7124
608.000000 87.337 161.4251
615.000000 87.361 162.0479
622.000000 87.398 162.6073
630.000000 87.452 163.1882
640.000000 87.543 163.8226
650.000000 87.643 164.2618
660.000000 87.739 164.4442
670.000000 87.820 164.4109
680.000000 87.867 164.2640
690.000000 87.876 164.2103
700.000000 87.884 164.4897
710.000000 87.946 164.9324
720.000000 88.055 165.0970
730.000000 88.171 164.9006
740.000000 88.263 164.3056
750.000000 88.304 163.5190
762.000000 88.300 162.6465
775.000000 88.270 161.7955
788.000000 88.207 160.9164
800.000000 88.099 160.2001
812.000000 87.967 159.6665
825.000000 87.796 159.2878
838.000000 87.601 159.2803
850.000000 87.434 159.7909
862.000000 87.334 160.5497
875.000000 87.277 161.2708
885.000000 87.267 161.7460
900.000000 87.262 162.0160
912.000000 87.238 162.1357
925.000000 87.202 162.1233
938.000000 87.133 162.1174
950.000000 87.061 162.2407
962.000000 86.979 162.4305
975.000000 86.885 162.8236
988.000000 86.809 163.4127
1000.000000 86.772 164.0616
1015.000000 86.781 164.7212
1030.000000 86.792 164.9635
1044.000000 86.781 165.0328
1060.000000 86.735 165.0063
1075.000000 86.658 165.1196
1090.000000 86.558 165.4266
1106.000000 86.459 166.2562
1120.000000 86.439 167.1258
1138.000000 86.469 167.8195
1150.000000 86.479 168.1051
1172.000000 86.498 168.6504
1180.000000 86.505 168.7661
1206.000000 86.506 169.2362
1220.000000 86.523 169.4661
1241.000000 86.540 169.6572
1250.000000 86.549 169.7113
1265.000000 86.553 169.6682
1280.000000 86.532 169.6263
1315.000000 86.458 169.6599
1320.000000 86.441 169.6659
1340.000000 86.357 169.8026
1360.000000 86.284 170.3043
1380.000000 86.259 170.7663
1400.000000 86.227 171.0312
1430.000000 86.172 171.6501
1450.000000 86.159 172.0284
1475.000000 86.140 172.3713
1500.000000 86.121 172.6343
1525.000000 86.089 172.7959
1550.000000 86.042 172.8481
1575.000000 85.953 172.8020
1600.000000 85.799 172.9538
1625.000000 85.609 173.7900
1650.000000 85.514 175.2905
1675.000000 85.515 176.4847
1700.000000 85.524 177.2797
1725.000000 85.510 178.0168
1750.000000 85.500 178.8235
1775.000000 85.506 179.5894
1800.000000 85.515 -179.7342
1825.000000 85.517 -179.1431
1850.000000 85.507 -178.5588
1875.000000 85.488 -177.9502
1900.000000 85.459 -177.2504
1925.000000 85.434 -176.4115
1950.000000 85.420 -175.5026
1975.000000 85.413 -174.5329
2000.000000 85.418 -173.4477
2030.000000 85.464 -172.0114
2060.000000 85.573 -170.6955
2090.000000 85.703 -169.8908
2120.000000 85.783 -169.3931
2140.000000 85.808 -169.0231
2180.000000 85.826 -167.9648
2200.000000 85.832 -167.2671
2240.000000 85.854 -165.4486
2270.000000 85.924 -163.6349
2300.000000 86.085 -161.6985
2330.000000 86.324 -160.0452
2360.000000 86.599 -158.7792
2400.000000 86.991 -157.4873
2430.000000 87.306 -156.7885
2470.000000 87.750 -156.2902
2500.000000 88.088 -156.2938
2540.000000 88.524 -156.7508
2580.000000 88.933 -157.6804
2620.000000 89.299 -159.0347
2650.000000 89.535 -160.2595
2690.000000 89.799 -162.0540
2720.000000 89.960 -163.4686
2760.000000 90.129 -165.4107
2800.000000 90.245 -167.3797
2850.000000 90.314 -169.6872
2900.000000 90.344 -171.6597
2950.000000 90.341 -173.5348
3000.000000 90.290 -175.1662
3040.000000 90.223 -176.1266
3070.000000 90.177 -176.5329
3110.000000 90.171 -176.7054
3150.000000 90.262 -176.8285
3200.000000 90.487 -177.6175
3250.000000 90.728 -179.4470
3300.000000 90.906 177.9542
3350.000000 90.996 174.8200
3400.000000 90.971 171.3164
3450.000000 90.813 167.7497
3500.000000 90.532 164.4360
3550.000000 90.155 161.5667
3600.000000 89.710 159.2401
3650.000000 89.222 157.4669
3700.000000 88.710 156.2256
3750.000000 88.190 155.4766
3820.000000 87.463 155.1595
3870.000000 86.958 155.3820
3950.000000 86.175 156.2268
4000.000000 85.673 157.0109
4060.000000 85.040 158.3989
4120.000000 84.379 160.4166
4180.000000 83.677 163.2845
4250.000000 82.855 168.5680
4310.000000 82.364 175.0824
4370.000000 82.185 -179.0595
4440.000000 81.722 -174.0848
4500.000000 81.002 -165.2449
4550.000000 80.846 -151.6175
4620.000000 82.512 -128.7283
4680.000000 85.360 -116.5194
4750.000000 88.913 -115.2625
4820.000000 91.680 -124.6491
4870.000000 92.868 -134.8608
4940.000000 93.403 -149.3136
5000.000000 93.140 -158.6279
5080.000000 92.511 -165.1767
5150.000000 92.201 -166.8771
5220.000000 92.308 -167.1182
5300.000000 92.901 -168.0453
5380.000000 93.793 -171.4507
5450.000000 94.598 -177.1987
5520.000000 95.211 174.4875
5600.000000 95.444 162.7390
5700.000000 94.850 147.4061
5800.000000 93.376 134.4486
