* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:35:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Au Hy Solid) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.781 -91.3981
20.600000 87.874 -92.0656
20.900000 87.977 -92.7864
21.200001 88.080 -93.5151
21.400000 88.149 -94.0052
21.799999 88.288 -94.9926
22.000000 88.358 -95.4855
22.400000 88.497 -96.4548
22.700001 88.599 -97.1566
23.000000 88.700 -97.8312
23.299999 88.800 -98.4797
23.600000 88.897 -99.1089
24.000000 89.023 -99.9364
24.299999 89.114 -100.5618
24.700001 89.230 -101.4114
25.000000 89.311 -102.0572
25.400000 89.413 -102.9129
25.799999 89.510 -103.7407
26.200001 89.603 -104.5270
26.500000 89.673 -105.0896
26.900000 89.764 -105.8101
27.200001 89.832 -106.3313
27.600000 89.918 -107.0017
28.000000 90.004 -107.6463
28.500000 90.114 -108.4364
29.000000 90.229 -109.2543
29.500000 90.346 -110.1305
30.000000 90.455 -111.0417
30.400000 90.534 -111.7582
30.700001 90.589 -112.2737
31.100000 90.660 -112.9305
31.500000 90.727 -113.5628
32.000000 90.809 -114.3367
32.500000 90.886 -115.0958
33.000000 90.963 -115.8311
33.500000 91.040 -116.5358
34.000000 91.118 -117.2047
34.500000 91.195 -117.8306
35.000000 91.270 -118.4197
35.500000 91.344 -119.0020
36.000000 91.418 -119.6075
36.500000 91.489 -120.2336
37.000000 91.561 -120.8546
37.500000 91.639 -121.4631
38.200001 91.756 -122.3439
38.700001 91.833 -123.0143
39.500000 91.926 -124.0854
40.000000 91.975 -124.7179
40.599998 92.037 -125.4653
41.200001 92.108 -126.2363
41.799999 92.181 -127.0229
42.500000 92.259 -127.9139
43.099998 92.314 -128.6307
43.700001 92.360 -129.3149
44.400002 92.409 -130.1298
45.000000 92.449 -130.8823
45.500000 92.480 -131.5292
46.200001 92.517 -132.3873
46.799999 92.546 -133.0385
47.500000 92.577 -133.7200
48.200001 92.604 -134.3683
48.700001 92.622 -134.8373
49.400002 92.643 -135.5157
50.000000 92.657 -136.0908
50.799999 92.668 -136.7723
51.500000 92.675 -137.2744
52.200001 92.680 -137.7286
53.000000 92.682 -138.2188
53.799999 92.686 -138.6537
54.500000 92.692 -138.9510
55.200001 92.704 -139.1632
56.000000 92.723 -139.3528
57.000000 92.760 -139.6046
58.000000 92.816 -139.8968
59.000000 92.881 -140.1953
60.000000 92.944 -140.4608
60.799999 92.999 -140.6924
61.500000 93.054 -140.9461
62.200001 93.112 -141.2200
63.000000 93.179 -141.5126
64.000000 93.265 -141.9068
65.000000 93.349 -142.4431
66.000000 93.429 -143.0533
67.000000 93.508 -143.6473
68.000000 93.574 -144.2497
69.000000 93.626 -144.8961
70.000000 93.675 -145.5882
71.000000 93.721 -146.2968
72.000000 93.752 -146.9568
73.000000 93.773 -147.5276
74.000000 93.790 -148.0522
75.000000 93.802 -148.5511
76.199997 93.809 -149.0516
77.500000 93.822 -149.4622
78.800003 93.844 -149.7774
80.000000 93.873 -150.0289
81.199997 93.912 -150.2850
82.500000 93.960 -150.5560
83.800003 94.016 -150.8162
85.000000 94.077 -151.0661
86.199997 94.146 -151.3271
87.500000 94.224 -151.6582
88.500000 94.285 -151.9693
90.000000 94.374 -152.4387
91.199997 94.449 -152.7860
92.500000 94.539 -153.2222
93.800003 94.632 -153.7431
95.000000 94.715 -154.2859
96.199997 94.795 -154.8889
97.500000 94.874 -155.5909
98.800003 94.943 -156.3233
100.000000 95.000 -157.0332
101.500000 95.063 -157.9616
103.000000 95.114 -158.8969
104.400002 95.150 -159.7664
106.000000 95.175 -160.7439
107.500000 95.187 -161.6288
109.000000 95.189 -162.4579
110.599998 95.185 -163.2722
112.000000 95.177 -163.9374
113.800003 95.164 -164.7343
115.000000 95.153 -165.2220
117.199997 95.130 -166.0524
118.000000 95.121 -166.3354
120.599998 95.087 -167.1566
122.000000 95.069 -167.5417
124.099998 95.046 -168.0546
125.000000 95.039 -168.2523
126.500000 95.029 -168.5601
128.000000 95.023 -168.8552
131.500000 95.014 -169.5160
132.000000 95.014 -169.5982
134.000000 95.019 -169.9004
136.000000 95.032 -170.1919
138.000000 95.049 -170.5071
140.000000 95.063 -170.8278
143.000000 95.081 -171.2073
145.000000 95.100 -171.3576
147.500000 95.150 -171.4956
150.000000 95.231 -171.7111
152.500000 95.331 -172.0730
155.000000 95.434 -172.5885
157.500000 95.535 -173.2368
160.000000 95.626 -174.0097
162.500000 95.704 -174.8623
165.000000 95.769 -175.7400
167.500000 95.826 -176.6207
170.000000 95.877 -177.5002
172.500000 95.923 -178.3927
175.000000 95.965 -179.3058
177.500000 95.999 179.7769
180.000000 96.028 178.8726
182.500000 96.055 177.9741
185.000000 96.080 177.0490
187.500000 96.100 176.0815
190.000000 96.111 175.0864
192.500000 96.113 174.1034
195.000000 96.108 173.1543
197.500000 96.098 172.2269
200.000000 96.088 171.3085
203.000000 96.074 170.2015
206.000000 96.055 169.0565
209.000000 96.022 167.8845
212.000000 95.972 166.7203
214.000000 95.929 165.9675
218.000000 95.820 164.6111
220.000000 95.761 164.0455
224.000000 95.657 163.1223
227.000000 95.602 162.5059
230.000000 95.564 161.8472
233.000000 95.533 161.1080
236.000000 95.501 160.2884
240.000000 95.448 159.0911
243.000000 95.397 158.1559
247.000000 95.312 156.9025
250.000000 95.236 155.9774
254.000000 95.118 154.7954
258.000000 94.988 153.7316
262.000000 94.853 152.7639
265.000000 94.748 152.0798
269.000000 94.602 151.2585
272.000000 94.494 150.7194
276.000000 94.354 150.0938
280.000000 94.228 149.5562
285.000000 94.090 148.8560
290.000000 93.951 148.0708
295.000000 93.807 147.3221
300.000000 93.666 146.5935
304.000000 93.553 146.0052
307.000000 93.468 145.5614
311.000000 93.352 144.9588
315.000000 93.231 144.3588
320.000000 93.077 143.6256
325.000000 92.917 142.9010
330.000000 92.748 142.2155
335.000000 92.573 141.5758
340.000000 92.396 140.9950
345.000000 92.221 140.4058
350.000000 92.034 139.7690
355.000000 91.831 139.1833
360.000000 91.614 138.6835
365.000000 91.387 138.2944
370.000000 91.156 137.9970
375.000000 90.915 137.7934
382.000000 90.569 137.7685
387.000000 90.326 137.9951
395.000000 89.977 138.7010
400.000000 89.796 139.2330
406.000000 89.612 139.7544
412.000000 89.432 140.0920
418.000000 89.240 140.3412
425.000000 88.997 140.6358
431.000000 88.769 140.9776
437.000000 88.532 141.4597
444.000000 88.252 142.2272
450.000000 88.012 143.0654
455.000000 87.818 143.8925
462.000000 87.555 145.1613
468.000000 87.332 146.4626
475.000000 87.096 148.3076
482.000000 86.904 150.4067
487.000000 86.801 152.0221
494.000000 86.706 154.3455
500.000000 86.669 156.3532
508.000000 86.696 158.9707
515.000000 86.779 160.9619
522.000000 86.882 162.6526
530.000000 87.015 164.3684
538.000000 87.169 165.8628
545.000000 87.313 166.9875
552.000000 87.468 167.9958
560.000000 87.663 168.9144
570.000000 87.909 169.7000
580.000000 88.159 170.1522
590.000000 88.393 170.1613
600.000000 88.594 169.9033
608.000000 88.734 169.5678
615.000000 88.841 169.1754
622.000000 88.932 168.7071
630.000000 89.012 168.1291
640.000000 89.082 167.3948
650.000000 89.129 166.6480
660.000000 89.149 165.9239
670.000000 89.150 165.2391
680.000000 89.126 164.5960
690.000000 89.085 164.1077
700.000000 89.042 163.7148
710.000000 88.994 163.3798
720.000000 88.942 163.1512
730.000000 88.894 163.0140
740.000000 88.855 162.9377
750.000000 88.826 162.8648
762.000000 88.800 162.8244
775.000000 88.798 162.7061
788.000000 88.802 162.3347
800.000000 88.790 161.8412
812.000000 88.761 161.2549
825.000000 88.688 160.4233
838.000000 88.548 159.7300
850.000000 88.388 159.4315
862.000000 88.225 159.4974
875.000000 88.085 159.9606
885.000000 88.027 160.4215
900.000000 87.990 160.7530
912.000000 87.975 160.8182
925.000000 87.937 160.5282
938.000000 87.861 160.2422
950.000000 87.771 159.9686
962.000000 87.646 159.7114
975.000000 87.472 159.6761
988.000000 87.291 160.0618
1000.000000 87.150 160.7359
1015.000000 87.041 161.7378
1030.000000 86.983 162.4954
1044.000000 86.934 162.9715
1060.000000 86.844 163.3990
1075.000000 86.737 164.0363
1090.000000 86.643 164.8413
1106.000000 86.548 165.9765
1120.000000 86.530 167.2484
1138.000000 86.603 168.4128
1150.000000 86.645 168.7319
1172.000000 86.616 169.2435
1180.000000 86.588 169.5938
1206.000000 86.553 171.6746
1220.000000 86.672 173.0120
1241.000000 86.931 173.6907
1250.000000 87.018 173.6748
1265.000000 87.130 173.5115
1280.000000 87.210 173.3140
1315.000000 87.364 172.7813
1320.000000 87.379 172.6307
1340.000000 87.396 172.0644
1360.000000 87.390 171.7687
1380.000000 87.398 171.5038
1400.000000 87.393 171.0941
1430.000000 87.350 170.5848
1450.000000 87.302 170.2164
1475.000000 87.220 169.9493
1500.000000 87.143 169.7228
1525.000000 87.041 169.4971
1550.000000 86.916 169.4274
1575.000000 86.797 169.6564
1600.000000 86.704 169.8096
1625.000000 86.584 169.8291
1650.000000 86.422 169.9734
1675.000000 86.215 170.4508
1700.000000 86.007 171.7311
1725.000000 85.922 173.6026
1750.000000 85.963 175.0788
1775.000000 86.025 175.9050
1800.000000 86.049 176.4367
1825.000000 86.048 177.0369
1850.000000 86.056 177.6908
1875.000000 86.072 178.2332
1900.000000 86.073 178.6688
1925.000000 86.059 179.1429
1950.000000 86.042 179.6718
1975.000000 86.020 -179.7750
2000.000000 85.993 -179.1606
2030.000000 85.962 -178.3082
2060.000000 85.944 -177.3485
2090.000000 85.934 -176.4433
2120.000000 85.908 -175.5046
2140.000000 85.882 -174.7561
2180.000000 85.853 -172.8206
2200.000000 85.862 -171.7046
2240.000000 85.937 -169.2703
2270.000000 86.052 -167.3401
2300.000000 86.226 -165.3904
2330.000000 86.463 -163.5151
2360.000000 86.767 -161.8194
2400.000000 87.274 -160.1351
2430.000000 87.699 -159.5304
2470.000000 88.262 -159.6340
2500.000000 88.649 -160.3050
2540.000000 89.094 -161.6995
2580.000000 89.468 -163.4396
2620.000000 89.769 -165.4737
2650.000000 89.942 -167.0967
2690.000000 90.111 -169.2252
2720.000000 90.203 -170.7748
2760.000000 90.286 -172.7692
2800.000000 90.333 -174.6406
2850.000000 90.354 -176.8164
2900.000000 90.341 -178.8576
2950.000000 90.293 179.1888
3000.000000 90.194 177.3705
3040.000000 90.067 176.1494
3070.000000 89.946 175.5287
3110.000000 89.786 175.3649
3150.000000 89.736 176.0516
3200.000000 89.974 176.7377
3250.000000 90.373 175.2924
3300.000000 90.655 171.9374
3350.000000 90.719 167.5105
3400.000000 90.504 162.7978
3450.000000 90.026 158.8940
3500.000000 89.411 156.3950
3550.000000 88.776 155.2166
3600.000000 88.186 155.0290
3650.000000 87.668 155.4687
3700.000000 87.216 156.2574
3750.000000 86.818 157.2635
3820.000000 86.333 158.9526
3870.000000 86.046 160.3169
3950.000000 85.688 162.2021
4000.000000 85.469 162.9091
4060.000000 85.122 163.5032
4120.000000 84.651 164.4092
4180.000000 84.085 166.1761
4250.000000 83.386 169.5728
4310.000000 82.750 173.4252
4370.000000 82.032 179.1757
4440.000000 81.335 -169.8334
4500.000000 81.279 -156.1109
4550.000000 81.998 -142.6127
4620.000000 84.389 -126.3001
4680.000000 87.220 -119.8602
4750.000000 90.462 -123.0015
4820.000000 92.742 -135.2801
4870.000000 93.486 -146.4598
4940.000000 93.406 -160.2455
5000.000000 92.769 -167.5150
5080.000000 91.944 -170.6255
5150.000000 91.699 -169.4956
5220.000000 92.045 -167.4285
5300.000000 93.072 -166.7845
5380.000000 94.480 -170.1608
5450.000000 95.703 -177.2573
5520.000000 96.599 172.0451
5600.000000 96.935 157.1020
5700.000000 96.208 138.1887
5800.000000 94.443 122.6443
