* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Dec 14, 2024 3:32:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Auteur La Perf) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.789 -100.9978
20.600000 85.862 -101.7661
20.900000 85.940 -102.5736
21.200001 86.018 -103.3539
21.400000 86.071 -103.8582
21.799999 86.182 -104.8421
22.000000 86.240 -105.3299
22.400000 86.361 -106.3148
22.700001 86.451 -107.0661
23.000000 86.535 -107.8199
23.299999 86.612 -108.5579
23.600000 86.679 -109.2593
24.000000 86.762 -110.1165
24.299999 86.823 -110.7095
24.700001 86.909 -111.4847
25.000000 86.978 -112.0978
25.400000 87.068 -112.9912
25.799999 87.146 -113.9383
26.200001 87.210 -114.8442
26.500000 87.254 -115.4435
26.900000 87.320 -116.1280
27.200001 87.380 -116.5982
27.600000 87.466 -117.2570
28.000000 87.542 -117.9996
28.500000 87.595 -118.9569
29.000000 87.615 -119.7530
29.500000 87.656 -120.3839
30.000000 87.752 -121.1490
30.400000 87.849 -122.0394
30.700001 87.913 -122.8497
31.100000 87.967 -123.9628
31.500000 87.988 -124.9028
32.000000 88.005 -125.6554
32.500000 88.052 -126.0715
33.000000 88.131 -126.4692
33.500000 88.208 -127.0094
34.000000 88.263 -127.6313
34.500000 88.303 -128.2549
35.000000 88.338 -128.9019
35.500000 88.366 -129.6138
36.000000 88.384 -130.3571
36.500000 88.405 -131.0704
37.000000 88.449 -131.7561
37.500000 88.516 -132.4621
38.200001 88.616 -133.4606
38.700001 88.670 -134.0843
39.500000 88.727 -134.9279
40.000000 88.744 -135.4809
40.599998 88.743 -136.2035
41.200001 88.738 -136.8778
41.799999 88.760 -137.4687
42.500000 88.821 -138.2166
43.099998 88.862 -138.9653
43.700001 88.868 -139.6923
44.400002 88.853 -140.4070
45.000000 88.844 -140.9696
45.500000 88.839 -141.4322
46.200001 88.838 -142.0097
46.799999 88.849 -142.4244
47.500000 88.867 -142.8894
48.200001 88.864 -143.3329
48.700001 88.845 -143.6100
49.400002 88.795 -143.9770
50.000000 88.736 -144.2788
50.799999 88.669 -144.5358
51.500000 88.680 -144.6607
52.200001 88.747 -144.8828
53.000000 88.811 -145.1538
53.799999 88.837 -145.2202
54.500000 88.855 -145.3036
55.200001 88.875 -145.6155
56.000000 88.908 -146.0802
57.000000 88.980 -146.4042
58.000000 89.042 -146.3199
59.000000 89.093 -146.1682
60.000000 89.160 -146.6581
60.799999 89.197 -147.3818
61.500000 89.215 -147.8526
62.200001 89.241 -148.1044
63.000000 89.284 -148.3323
64.000000 89.345 -148.7415
65.000000 89.408 -149.2374
66.000000 89.455 -149.7622
67.000000 89.490 -150.2697
68.000000 89.534 -150.7403
69.000000 89.575 -151.0954
70.000000 89.597 -151.4356
71.000000 89.600 -151.9821
72.000000 89.608 -152.6044
73.000000 89.639 -153.1859
74.000000 89.658 -153.7195
75.000000 89.657 -154.1320
76.199997 89.655 -154.5158
77.500000 89.645 -154.7885
78.800003 89.645 -154.9578
80.000000 89.671 -155.1502
81.199997 89.707 -155.3605
82.500000 89.750 -155.5465
83.800003 89.788 -155.7392
85.000000 89.826 -155.9136
86.199997 89.881 -156.3060
87.500000 89.930 -156.9153
88.500000 89.963 -157.2859
90.000000 90.012 -157.8114
91.199997 90.043 -158.3211
92.500000 90.075 -158.8865
93.800003 90.107 -159.4120
95.000000 90.138 -159.9049
96.199997 90.162 -160.4211
97.500000 90.172 -160.9068
98.800003 90.163 -161.4127
100.000000 90.145 -161.9952
101.500000 90.128 -162.7100
103.000000 90.130 -163.2338
104.400002 90.121 -163.6963
106.000000 90.113 -164.1391
107.500000 90.091 -164.4682
109.000000 90.032 -164.9414
110.599998 89.966 -165.4512
112.000000 89.942 -165.7655
113.800003 89.920 -166.0599
115.000000 89.896 -166.2417
117.199997 89.826 -166.5885
118.000000 89.795 -166.6580
120.599998 89.724 -166.7737
122.000000 89.706 -166.8311
124.099998 89.667 -166.8596
125.000000 89.649 -166.8645
126.500000 89.621 -166.8604
128.000000 89.594 -166.7815
131.500000 89.559 -166.6044
132.000000 89.557 -166.6037
134.000000 89.554 -166.6035
136.000000 89.555 -166.5089
138.000000 89.571 -166.3742
140.000000 89.598 -166.2651
143.000000 89.632 -166.1888
145.000000 89.653 -166.2161
147.500000 89.683 -166.2739
150.000000 89.704 -166.1866
152.500000 89.735 -165.6491
155.000000 89.767 -165.7730
157.500000 89.811 -166.3008
160.000000 89.902 -166.4429
162.500000 89.970 -166.5442
165.000000 89.964 -166.7895
167.500000 89.980 -166.9728
170.000000 90.010 -167.3180
172.500000 90.036 -167.6591
175.000000 90.063 -167.9503
177.500000 90.091 -168.1073
180.000000 90.110 -168.1298
182.500000 90.129 -168.4097
185.000000 90.141 -168.7738
187.500000 90.141 -169.0281
190.000000 90.139 -169.3767
192.500000 90.140 -169.6464
195.000000 90.126 -169.8129
197.500000 90.107 -169.8010
200.000000 90.123 -169.7729
203.000000 90.158 -169.9119
206.000000 90.160 -170.1164
209.000000 90.145 -170.0616
212.000000 90.168 -170.0267
214.000000 90.196 -169.8826
218.000000 90.255 -169.9945
220.000000 90.279 -170.0257
224.000000 90.358 -170.1688
227.000000 90.406 -170.4451
230.000000 90.440 -170.6091
233.000000 90.480 -170.7917
236.000000 90.501 -171.1759
240.000000 90.532 -171.4928
243.000000 90.574 -171.8224
247.000000 90.576 -172.3613
250.000000 90.590 -172.4402
254.000000 90.627 -172.8477
258.000000 90.610 -173.4505
262.000000 90.612 -173.8141
265.000000 90.633 -174.0919
269.000000 90.655 -174.5158
272.000000 90.657 -174.7655
276.000000 90.642 -174.8279
280.000000 90.620 -174.9838
285.000000 90.625 -175.5493
290.000000 90.651 -175.8437
295.000000 90.668 -175.9564
300.000000 90.669 -176.2549
304.000000 90.672 -176.6913
307.000000 90.690 -176.9332
311.000000 90.716 -177.1034
315.000000 90.723 -177.3140
320.000000 90.735 -177.6652
325.000000 90.745 -177.9172
330.000000 90.749 -178.1360
335.000000 90.765 -178.4128
340.000000 90.770 -178.7020
345.000000 90.763 -179.1069
350.000000 90.760 -179.5869
355.000000 90.768 -179.9538
360.000000 90.780 179.6469
365.000000 90.769 179.1004
370.000000 90.740 178.5301
375.000000 90.706 178.0823
382.000000 90.647 177.5328
387.000000 90.606 177.2248
395.000000 90.574 176.6740
400.000000 90.543 176.4526
406.000000 90.488 176.2260
412.000000 90.433 175.9583
418.000000 90.378 175.7489
425.000000 90.369 175.3617
431.000000 90.421 175.0355
437.000000 90.373 175.1049
444.000000 90.265 174.3849
450.000000 90.266 173.5337
455.000000 90.281 173.5036
462.000000 90.233 173.6328
468.000000 90.170 173.6097
475.000000 90.106 173.7427
482.000000 90.049 173.6271
487.000000 90.014 173.4902
494.000000 89.966 173.2953
500.000000 89.900 173.2285
508.000000 89.803 172.9874
515.000000 89.746 172.8926
522.000000 89.718 172.8975
530.000000 89.685 172.8665
538.000000 89.645 172.8691
545.000000 89.605 172.9775
552.000000 89.561 172.9229
560.000000 89.516 172.7912
570.000000 89.453 172.5504
580.000000 89.386 172.5132
590.000000 89.331 172.4329
600.000000 89.246 172.2493
608.000000 89.159 172.2245
615.000000 89.080 172.2656
622.000000 89.003 172.3727
630.000000 88.911 172.6327
640.000000 88.788 173.1629
650.000000 88.678 173.9113
660.000000 88.599 174.7594
670.000000 88.547 175.6727
680.000000 88.505 176.7982
690.000000 88.534 178.5715
700.000000 88.718 -179.8062
710.000000 88.965 -179.0084
720.000000 89.198 -178.7638
730.000000 89.416 -178.9720
740.000000 89.607 -179.5497
750.000000 89.755 179.5637
762.000000 89.877 178.3521
775.000000 89.962 176.9036
788.000000 89.990 175.3794
800.000000 89.986 174.0024
812.000000 89.914 172.5243
825.000000 89.754 171.1728
838.000000 89.555 170.3688
850.000000 89.363 170.1230
862.000000 89.201 170.3285
875.000000 89.091 170.7084
885.000000 89.042 170.8689
900.000000 88.988 170.7806
912.000000 88.946 170.7546
925.000000 88.901 170.6172
938.000000 88.828 170.2173
950.000000 88.714 169.9215
962.000000 88.589 169.7995
975.000000 88.453 169.8353
988.000000 88.290 170.2145
1000.000000 88.145 170.9944
1015.000000 88.079 172.2930
1030.000000 88.100 173.0804
1044.000000 88.116 173.3029
1060.000000 88.110 173.4186
1075.000000 88.033 173.6259
1090.000000 87.951 174.2512
1106.000000 87.909 175.2576
1120.000000 87.986 176.4112
1138.000000 88.181 176.5835
1150.000000 88.238 176.1682
1172.000000 88.237 175.7056
1180.000000 88.227 175.6596
1206.000000 88.240 175.5142
1220.000000 88.227 175.2096
1241.000000 88.175 174.9442
1250.000000 88.161 174.9106
1265.000000 88.138 174.6566
1280.000000 88.081 174.2894
1315.000000 87.845 173.9125
1320.000000 87.806 173.9632
1340.000000 87.665 174.4133
1360.000000 87.568 175.0869
1380.000000 87.514 175.6621
1400.000000 87.461 176.0732
1430.000000 87.350 176.7977
1450.000000 87.297 177.3953
1475.000000 87.256 178.1438
1500.000000 87.213 178.8862
1525.000000 87.194 179.6755
1550.000000 87.202 -179.7092
1575.000000 87.193 -179.3684
1600.000000 87.124 -179.0766
1625.000000 87.022 -178.1376
1650.000000 87.015 -176.6823
1675.000000 87.096 -175.6785
1700.000000 87.171 -175.1934
1725.000000 87.214 -174.7760
1750.000000 87.248 -174.3336
1775.000000 87.275 -173.9192
1800.000000 87.294 -173.4939
1825.000000 87.313 -173.0215
1850.000000 87.337 -172.5217
1875.000000 87.364 -172.0792
1900.000000 87.386 -171.6363
1925.000000 87.416 -171.1042
1950.000000 87.462 -170.6175
1975.000000 87.507 -170.2667
2000.000000 87.538 -169.9520
2030.000000 87.560 -169.4894
2060.000000 87.596 -168.9417
2090.000000 87.643 -168.5681
2120.000000 87.655 -168.2178
2140.000000 87.649 -167.8585
2180.000000 87.655 -166.8636
2200.000000 87.667 -166.2933
2240.000000 87.712 -165.0001
2270.000000 87.780 -163.8503
2300.000000 87.900 -162.6471
2330.000000 88.063 -161.6285
2360.000000 88.254 -160.7872
2400.000000 88.553 -160.1559
2430.000000 88.764 -160.2006
2470.000000 88.962 -160.4821
2500.000000 89.072 -160.5599
2540.000000 89.210 -160.4883
2580.000000 89.356 -160.2842
2620.000000 89.516 -160.0435
2650.000000 89.640 -159.8216
2690.000000 89.828 -159.4020
2720.000000 89.997 -159.0699
2760.000000 90.272 -158.6880
2800.000000 90.605 -158.5985
2850.000000 91.056 -159.1903
2900.000000 91.498 -160.5506
2950.000000 91.887 -162.5451
3000.000000 92.197 -164.9547
3040.000000 92.380 -166.9273
3070.000000 92.497 -168.2770
3110.000000 92.678 -169.9255
3150.000000 92.915 -171.8513
3200.000000 93.202 -175.2995
3250.000000 93.343 -179.5425
3300.000000 93.338 176.1593
3350.000000 93.237 171.8994
3400.000000 93.023 167.6382
3450.000000 92.678 163.6541
3500.000000 92.233 160.2560
3550.000000 91.736 157.5060
3600.000000 91.218 155.2624
3650.000000 90.683 153.3968
3700.000000 90.127 151.8976
3750.000000 89.558 150.7092
3820.000000 88.725 149.4717
3870.000000 88.088 148.8827
3950.000000 86.951 148.7428
4000.000000 86.165 149.4796
4060.000000 85.179 151.5056
4120.000000 84.188 154.8481
4180.000000 83.206 159.7089
4250.000000 82.186 168.2590
4310.000000 81.708 177.7953
4370.000000 81.635 -174.2035
4440.000000 81.290 -166.5178
4500.000000 80.925 -154.5266
4550.000000 81.319 -139.6403
4620.000000 83.569 -119.5028
4680.000000 86.483 -110.3739
4750.000000 89.912 -111.1223
4820.000000 92.494 -121.4569
4870.000000 93.522 -131.9033
4940.000000 93.823 -145.9459
5000.000000 93.399 -154.1614
5080.000000 92.695 -158.4778
5150.000000 92.503 -158.1202
5220.000000 92.876 -156.9369
5300.000000 93.841 -157.4661
5380.000000 95.055 -161.7978
