* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -16.0 dBFS with no timing reference
* Dated: Dec 14, 2024 3:40:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Auteur La Perf) R6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.549 -88.5051
20.600000 83.643 -89.2813
20.900000 83.744 -90.0878
21.200001 83.845 -90.8655
21.400000 83.913 -91.3751
21.799999 84.050 -92.4022
22.000000 84.118 -92.9289
22.400000 84.247 -94.0084
22.700001 84.334 -94.8207
23.000000 84.416 -95.6099
23.299999 84.495 -96.3590
23.600000 84.577 -97.0661
24.000000 84.698 -97.9692
24.299999 84.798 -98.6448
24.700001 84.938 -99.5709
25.000000 85.042 -100.2800
25.400000 85.172 -101.2093
25.799999 85.289 -102.0764
26.200001 85.398 -102.8669
26.500000 85.477 -103.4294
26.900000 85.584 -104.1878
27.200001 85.664 -104.7924
27.600000 85.766 -105.6623
28.000000 85.862 -106.5845
28.500000 85.973 -107.7380
29.000000 86.078 -108.8108
29.500000 86.181 -109.7593
30.000000 86.279 -110.5816
30.400000 86.353 -111.1611
30.700001 86.404 -111.5598
31.100000 86.468 -112.0610
31.500000 86.530 -112.5547
32.000000 86.604 -113.2159
32.500000 86.677 -113.9790
33.000000 86.741 -114.8510
33.500000 86.794 -115.7693
34.000000 86.842 -116.6454
34.500000 86.900 -117.4432
35.000000 86.975 -118.2139
35.500000 87.059 -119.0290
36.000000 87.130 -119.8815
36.500000 87.177 -120.6703
37.000000 87.208 -121.2975
37.500000 87.245 -121.7757
38.200001 87.337 -122.4539
38.700001 87.420 -123.1212
39.500000 87.527 -124.4446
40.000000 87.563 -125.2074
40.599998 87.592 -125.8823
41.200001 87.633 -126.4119
41.799999 87.685 -127.0950
42.500000 87.716 -128.2194
43.099998 87.705 -129.1712
43.700001 87.700 -129.8498
44.400002 87.742 -130.4584
45.000000 87.781 -131.1222
45.500000 87.775 -131.7665
46.200001 87.706 -132.5195
46.799999 87.651 -132.9166
47.500000 87.648 -133.2805
48.200001 87.683 -133.6166
48.700001 87.702 -133.6985
49.400002 87.722 -133.4806
50.000000 87.748 -133.1835
50.799999 87.795 -133.1648
51.500000 87.842 -133.6214
52.200001 87.902 -134.2330
53.000000 88.002 -134.7496
53.799999 88.111 -135.0018
54.500000 88.184 -135.1637
55.200001 88.234 -135.4686
56.000000 88.289 -136.0955
57.000000 88.376 -136.9379
58.000000 88.485 -137.2159
59.000000 88.597 -137.2905
60.000000 88.668 -137.9670
60.799999 88.700 -138.8540
61.500000 88.732 -139.6005
62.200001 88.772 -140.1871
63.000000 88.816 -140.7079
64.000000 88.855 -141.4092
65.000000 88.885 -142.2531
66.000000 88.920 -143.0629
67.000000 88.939 -143.6899
68.000000 88.930 -144.1790
69.000000 88.911 -144.6941
70.000000 88.909 -145.2443
71.000000 88.922 -145.7174
72.000000 88.931 -146.0014
73.000000 88.942 -146.2242
74.000000 88.954 -146.5103
75.000000 88.973 -146.7528
76.199997 89.012 -146.9197
77.500000 89.070 -147.1368
78.800003 89.124 -147.4275
80.000000 89.169 -147.7274
81.199997 89.209 -148.1458
82.500000 89.260 -148.6132
83.800003 89.327 -149.0808
85.000000 89.382 -149.6024
86.199997 89.420 -150.0937
87.500000 89.456 -150.6591
88.500000 89.478 -151.1298
90.000000 89.516 -151.7674
91.199997 89.543 -152.1917
92.500000 89.564 -152.5934
93.800003 89.590 -153.1046
95.000000 89.604 -153.6318
96.199997 89.619 -154.0678
97.500000 89.657 -154.4549
98.800003 89.714 -154.7443
100.000000 89.752 -154.9649
101.500000 89.763 -155.4375
103.000000 89.733 -156.0814
104.400002 89.721 -156.5089
106.000000 89.740 -156.8581
107.500000 89.754 -157.1479
109.000000 89.759 -157.4475
110.599998 89.786 -157.9406
112.000000 89.812 -158.3604
113.800003 89.833 -158.9209
115.000000 89.834 -159.3616
117.199997 89.830 -159.9685
118.000000 89.836 -160.2010
120.599998 89.838 -161.0983
122.000000 89.817 -161.6240
124.099998 89.765 -162.2780
125.000000 89.741 -162.4571
126.500000 89.702 -162.6575
128.000000 89.659 -162.8114
131.500000 89.537 -162.8262
132.000000 89.532 -162.7672
134.000000 89.547 -162.5903
136.000000 89.576 -162.6133
138.000000 89.597 -162.6563
140.000000 89.624 -162.7800
143.000000 89.656 -163.0180
145.000000 89.673 -163.1503
147.500000 89.696 -163.3035
150.000000 89.723 -163.6787
152.500000 89.755 -164.1394
155.000000 89.806 -164.0362
157.500000 89.860 -164.0545
160.000000 89.918 -164.1008
162.500000 89.951 -164.4033
165.000000 89.959 -164.8795
167.500000 89.981 -165.2458
170.000000 90.009 -165.5383
172.500000 90.043 -165.8328
175.000000 90.083 -166.2969
177.500000 90.125 -166.8931
180.000000 90.163 -167.3497
182.500000 90.191 -167.6770
185.000000 90.203 -167.8759
187.500000 90.205 -168.1672
190.000000 90.196 -168.6132
192.500000 90.189 -169.1844
195.000000 90.197 -169.5954
197.500000 90.196 -169.8779
200.000000 90.185 -170.2878
203.000000 90.209 -170.5171
206.000000 90.220 -170.4553
209.000000 90.193 -170.9724
212.000000 90.189 -171.7887
214.000000 90.181 -172.1983
218.000000 90.131 -172.8242
220.000000 90.105 -173.0802
224.000000 90.039 -173.4253
227.000000 89.994 -173.4598
230.000000 89.962 -173.5073
233.000000 89.954 -173.6891
236.000000 89.946 -173.8090
240.000000 89.909 -174.0699
243.000000 89.877 -174.3771
247.000000 89.823 -174.5948
250.000000 89.789 -174.5226
254.000000 89.758 -174.4641
258.000000 89.760 -174.3586
262.000000 89.761 -174.2751
265.000000 89.771 -174.3596
269.000000 89.792 -174.4849
272.000000 89.803 -174.5358
276.000000 89.812 -174.5741
280.000000 89.805 -174.6023
285.000000 89.789 -174.7260
290.000000 89.801 -174.7760
295.000000 89.812 -174.4959
300.000000 89.860 -174.6021
304.000000 89.925 -174.8885
307.000000 89.954 -175.0926
311.000000 89.982 -175.3477
315.000000 90.004 -175.5379
320.000000 90.008 -176.0505
325.000000 90.025 -176.5171
330.000000 90.058 -176.8798
335.000000 90.090 -177.3781
340.000000 90.079 -177.9485
345.000000 90.055 -178.5739
350.000000 90.024 -178.9129
355.000000 89.980 -179.0292
360.000000 89.949 -179.5520
365.000000 89.896 179.7475
370.000000 89.842 179.4821
375.000000 89.805 179.2702
382.000000 89.704 179.1357
387.000000 89.630 179.2404
395.000000 89.600 179.4598
400.000000 89.603 179.3818
406.000000 89.616 179.1113
412.000000 89.631 178.9162
418.000000 89.619 178.5736
425.000000 89.580 178.1308
431.000000 89.518 177.8099
437.000000 89.472 177.6803
444.000000 89.416 177.3281
450.000000 89.357 177.0420
455.000000 89.318 176.9780
462.000000 89.275 176.8871
468.000000 89.208 176.6962
475.000000 89.123 176.4691
482.000000 89.049 176.1675
487.000000 89.007 176.0529
494.000000 88.941 176.0127
500.000000 88.869 176.0561
508.000000 88.754 176.1274
515.000000 88.667 176.1888
522.000000 88.600 176.3261
530.000000 88.515 176.4479
538.000000 88.414 176.6072
545.000000 88.322 176.9558
552.000000 88.235 177.4513
560.000000 88.139 177.9626
570.000000 88.028 178.6240
580.000000 87.917 179.5734
590.000000 87.834 -179.1446
600.000000 87.818 -177.7448
608.000000 87.838 -176.4860
615.000000 87.872 -175.4631
622.000000 87.936 -174.6264
630.000000 88.025 -173.8169
640.000000 88.165 -172.9845
650.000000 88.336 -172.2665
660.000000 88.488 -171.6746
670.000000 88.646 -171.4837
680.000000 88.804 -171.4332
690.000000 88.969 -171.3754
700.000000 89.117 -171.4215
710.000000 89.252 -171.6650
720.000000 89.374 -172.0624
730.000000 89.503 -172.5802
740.000000 89.622 -173.3323
750.000000 89.708 -174.1846
762.000000 89.772 -175.2132
775.000000 89.806 -176.1756
788.000000 89.821 -177.1252
800.000000 89.816 -177.7918
812.000000 89.841 -178.4831
825.000000 89.867 -179.6604
838.000000 89.797 179.0645
850.000000 89.681 178.3541
862.000000 89.518 177.8695
875.000000 89.261 177.5633
885.000000 89.124 177.3074
900.000000 89.081 177.0514
912.000000 89.108 176.9719
925.000000 89.112 177.3468
938.000000 89.090 177.1542
950.000000 89.015 176.5490
962.000000 88.905 176.1106
975.000000 88.743 175.7547
988.000000 88.562 176.0007
1000.000000 88.443 176.7118
1015.000000 88.339 177.4225
1030.000000 88.337 178.1193
1044.000000 88.367 178.1761
1060.000000 88.316 178.1378
1075.000000 88.186 178.3289
1090.000000 88.035 179.1980
1106.000000 87.980 -179.3494
1120.000000 87.993 -178.4403
1138.000000 88.056 -177.0498
1150.000000 88.204 -176.3454
1172.000000 88.402 -177.0422
1180.000000 88.397 -177.3405
1206.000000 88.339 -177.4327
1220.000000 88.310 -177.2146
1241.000000 88.296 -175.9989
1250.000000 88.392 -175.2277
1265.000000 88.656 -175.1804
1280.000000 88.796 -176.7554
1315.000000 88.588 -178.3603
1320.000000 88.569 -178.3446
1340.000000 88.554 -178.3243
1360.000000 88.564 -178.9303
1380.000000 88.475 -179.8696
1400.000000 88.282 179.7590
1430.000000 88.047 -179.5000
1450.000000 87.949 -178.8493
1475.000000 87.897 -177.9300
1500.000000 87.892 -177.4646
1525.000000 87.835 -177.0414
1550.000000 87.826 -176.4984
1575.000000 87.806 -176.3857
1600.000000 87.736 -176.1299
1625.000000 87.695 -175.7063
1650.000000 87.643 -175.6810
1675.000000 87.471 -175.4777
1700.000000 87.277 -174.2370
1725.000000 87.215 -172.3069
1750.000000 87.311 -170.8059
1775.000000 87.420 -170.0360
1800.000000 87.484 -169.5123
1825.000000 87.526 -168.9702
1850.000000 87.574 -168.4425
1875.000000 87.622 -168.0495
1900.000000 87.647 -167.6540
1925.000000 87.659 -167.1317
1950.000000 87.684 -166.5427
1975.000000 87.724 -165.9898
2000.000000 87.763 -165.6062
2030.000000 87.788 -165.0789
2060.000000 87.827 -164.3973
2090.000000 87.874 -163.7509
2120.000000 87.932 -163.1926
2140.000000 87.964 -162.8402
2180.000000 88.004 -161.9768
2200.000000 88.035 -161.4546
2240.000000 88.118 -160.3843
2270.000000 88.202 -159.4840
2300.000000 88.325 -158.6347
2330.000000 88.464 -157.9780
2360.000000 88.607 -157.3542
2400.000000 88.831 -156.7833
2430.000000 88.988 -156.6752
2470.000000 89.170 -156.6676
2500.000000 89.287 -156.7114
2540.000000 89.424 -156.7769
2580.000000 89.548 -156.8267
2620.000000 89.663 -156.8624
2650.000000 89.736 -156.8700
2690.000000 89.817 -156.7226
2720.000000 89.879 -156.4296
2760.000000 90.000 -155.8394
2800.000000 90.177 -155.3329
2850.000000 90.441 -155.0109
2900.000000 90.725 -155.0216
2950.000000 91.018 -155.4964
3000.000000 91.260 -156.4861
3040.000000 91.366 -157.3365
3070.000000 91.394 -157.6984
3110.000000 91.424 -157.3185
3150.000000 91.609 -155.8781
3200.000000 92.230 -154.5454
3250.000000 93.016 -156.1273
3300.000000 93.617 -160.0181
3350.000000 93.963 -164.9057
3400.000000 94.056 -170.0033
3450.000000 93.946 -174.5805
3500.000000 93.720 -178.4418
3550.000000 93.427 178.3182
3600.000000 93.092 175.6451
3650.000000 92.731 173.4651
3700.000000 92.358 171.7550
3750.000000 91.986 170.4178
3820.000000 91.472 169.0507
3870.000000 91.107 168.3315
3950.000000 90.518 167.6286
4000.000000 90.143 167.4574
4060.000000 89.685 167.5501
4120.000000 89.214 168.0123
4180.000000 88.741 168.9094
4250.000000 88.208 170.3991
4310.000000 87.719 171.7733
4370.000000 87.119 173.8249
4440.000000 86.327 178.2920
4500.000000 85.704 -175.2545
4550.000000 85.385 -167.4586
4620.000000 85.766 -152.7375
4680.000000 87.349 -140.2487
4750.000000 90.165 -134.8526
4820.000000 92.541 -141.8188
4870.000000 93.410 -150.9246
4940.000000 93.457 -163.2836
5000.000000 92.822 -170.1987
5080.000000 91.756 -173.1265
5150.000000 91.084 -171.0679
