* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 9:09:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (OriLS) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.841 -67.7483
20.600000 83.982 -68.5896
20.900000 84.143 -69.5049
21.200001 84.307 -70.4420
21.400000 84.415 -71.0778
21.799999 84.624 -72.3574
22.000000 84.723 -72.9869
22.400000 84.915 -74.1898
22.700001 85.054 -75.0294
23.000000 85.192 -75.8224
23.299999 85.330 -76.5904
23.600000 85.468 -77.3581
24.000000 85.649 -78.4079
24.299999 85.778 -79.2142
24.700001 85.942 -80.2893
25.000000 86.060 -81.0757
25.400000 86.215 -82.0854
25.799999 86.370 -83.0629
26.200001 86.524 -84.0333
26.500000 86.634 -84.7650
26.900000 86.770 -85.7399
27.200001 86.864 -86.4595
27.600000 86.979 -87.3902
28.000000 87.090 -88.2872
28.500000 87.229 -89.3792
29.000000 87.372 -90.4588
29.500000 87.518 -91.5268
30.000000 87.665 -92.5763
30.400000 87.779 -93.4046
30.700001 87.862 -94.0208
31.100000 87.964 -94.8325
31.500000 88.059 -95.6241
32.000000 88.172 -96.5789
32.500000 88.287 -97.5187
33.000000 88.408 -98.4912
33.500000 88.529 -99.5170
34.000000 88.643 -100.5594
34.500000 88.748 -101.5592
35.000000 88.850 -102.4908
35.500000 88.951 -103.3710
36.000000 89.047 -104.2161
36.500000 89.134 -105.0125
37.000000 89.216 -105.7442
37.500000 89.302 -106.4366
38.200001 89.437 -107.4589
38.700001 89.539 -108.2756
39.500000 89.696 -109.6507
40.000000 89.787 -110.4887
40.599998 89.886 -111.4754
41.200001 89.966 -112.4859
41.799999 90.023 -113.5235
42.500000 90.081 -114.6998
43.099998 90.152 -115.6418
43.700001 90.254 -116.5590
44.400002 90.384 -117.6550
45.000000 90.470 -118.5825
45.500000 90.518 -119.2978
46.200001 90.568 -120.2245
46.799999 90.617 -121.0538
47.500000 90.680 -122.1348
48.200001 90.732 -123.2244
48.700001 90.761 -123.9344
49.400002 90.796 -124.8494
50.000000 90.819 -125.6130
50.799999 90.842 -126.5918
51.500000 90.863 -127.3688
52.200001 90.889 -128.0980
53.000000 90.909 -128.9089
53.799999 90.921 -129.6760
54.500000 90.934 -130.3085
55.200001 90.948 -130.9049
56.000000 90.960 -131.5154
57.000000 90.969 -132.1714
58.000000 90.987 -132.7610
59.000000 91.025 -133.2853
60.000000 91.071 -133.7093
60.799999 91.108 -133.9912
61.500000 91.144 -134.2485
62.200001 91.185 -134.5436
63.000000 91.239 -134.9064
64.000000 91.318 -135.3563
65.000000 91.404 -135.8268
66.000000 91.491 -136.3486
67.000000 91.581 -136.9464
68.000000 91.671 -137.5918
69.000000 91.760 -138.2310
70.000000 91.843 -138.9033
71.000000 91.912 -139.6127
72.000000 91.975 -140.3081
73.000000 92.038 -140.9984
74.000000 92.097 -141.7115
75.000000 92.151 -142.4395
76.199997 92.212 -143.3140
77.500000 92.272 -144.2208
78.800003 92.326 -145.0699
80.000000 92.376 -145.8179
81.199997 92.428 -146.5388
82.500000 92.483 -147.3392
83.800003 92.534 -148.1277
85.000000 92.583 -148.8099
86.199997 92.638 -149.5000
87.500000 92.694 -150.2737
88.500000 92.730 -150.8823
90.000000 92.777 -151.8301
91.199997 92.818 -152.5923
92.500000 92.866 -153.3645
93.800003 92.909 -154.1425
95.000000 92.943 -154.9084
96.199997 92.976 -155.6775
97.500000 93.009 -156.4850
98.800003 93.035 -157.2998
100.000000 93.053 -158.0597
101.500000 93.068 -158.9847
103.000000 93.074 -159.9147
104.400002 93.071 -160.7702
106.000000 93.060 -161.6887
107.500000 93.046 -162.4705
109.000000 93.032 -163.1647
110.599998 93.016 -163.8501
112.000000 93.004 -164.4088
113.800003 92.996 -165.0723
115.000000 92.996 -165.4946
117.199997 93.005 -166.2499
118.000000 93.011 -166.5424
120.599998 93.032 -167.5318
122.000000 93.040 -168.0426
124.099998 93.050 -168.8293
125.000000 93.054 -169.1621
126.500000 93.059 -169.7021
128.000000 93.067 -170.2274
131.500000 93.093 -171.4512
132.000000 93.098 -171.6302
134.000000 93.120 -172.3773
136.000000 93.139 -173.1961
138.000000 93.149 -174.0464
140.000000 93.157 -174.8947
143.000000 93.165 -176.1494
145.000000 93.168 -177.0123
147.500000 93.163 -178.1498
150.000000 93.145 -179.3292
152.500000 93.109 179.4708
155.000000 93.056 178.2966
157.500000 92.985 177.2290
160.000000 92.904 176.3091
162.500000 92.828 175.5219
165.000000 92.763 174.7884
167.500000 92.703 174.0492
170.000000 92.647 173.3194
172.500000 92.594 172.6270
175.000000 92.550 171.9003
177.500000 92.513 171.0480
180.000000 92.466 170.0827
182.500000 92.401 169.0435
185.000000 92.309 167.9720
187.500000 92.190 166.9388
190.000000 92.048 165.9935
192.500000 91.888 165.1683
195.000000 91.713 164.4712
197.500000 91.528 163.9035
200.000000 91.333 163.4784
203.000000 91.090 163.2321
206.000000 90.849 163.3334
209.000000 90.634 163.7591
212.000000 90.465 164.4075
214.000000 90.379 164.9043
218.000000 90.265 165.9663
220.000000 90.233 166.4821
224.000000 90.220 167.3575
227.000000 90.242 167.8106
230.000000 90.275 168.0760
233.000000 90.313 168.1823
236.000000 90.350 168.1523
240.000000 90.389 167.9272
243.000000 90.405 167.6167
247.000000 90.399 167.0829
250.000000 90.378 166.6828
254.000000 90.333 166.2053
258.000000 90.275 165.7669
262.000000 90.209 165.3434
265.000000 90.154 165.0541
269.000000 90.067 164.7382
272.000000 89.995 164.5648
276.000000 89.893 164.4495
280.000000 89.793 164.5287
285.000000 89.702 164.8220
290.000000 89.645 165.1393
295.000000 89.613 165.4266
300.000000 89.607 165.6695
304.000000 89.620 165.8022
307.000000 89.636 165.8467
311.000000 89.661 165.7929
315.000000 89.685 165.6269
320.000000 89.712 165.3245
325.000000 89.729 164.9117
330.000000 89.735 164.4520
335.000000 89.736 163.9373
340.000000 89.729 163.3600
345.000000 89.709 162.7231
350.000000 89.672 162.0438
355.000000 89.622 161.3768
360.000000 89.553 160.7179
365.000000 89.466 160.1045
370.000000 89.366 159.5676
375.000000 89.252 159.1371
382.000000 89.084 158.7621
387.000000 88.972 158.6260
395.000000 88.813 158.5314
400.000000 88.724 158.4948
406.000000 88.614 158.4230
412.000000 88.496 158.4729
418.000000 88.400 158.6694
425.000000 88.311 158.7421
431.000000 88.226 158.7221
437.000000 88.129 158.7349
444.000000 88.007 158.8914
450.000000 87.901 159.1182
455.000000 87.813 159.4309
462.000000 87.716 160.1068
468.000000 87.670 160.7335
475.000000 87.652 161.3522
482.000000 87.659 161.8132
487.000000 87.673 162.0539
494.000000 87.699 162.2406
500.000000 87.718 162.2510
508.000000 87.728 162.1639
515.000000 87.720 162.0491
522.000000 87.711 161.9951
530.000000 87.715 161.8868
538.000000 87.716 161.5960
545.000000 87.702 161.2662
552.000000 87.679 160.9155
560.000000 87.644 160.4265
570.000000 87.563 159.7281
580.000000 87.438 159.1788
590.000000 87.305 158.8231
600.000000 87.156 158.5881
608.000000 87.047 158.5363
615.000000 86.955 158.4531
622.000000 86.855 158.3568
630.000000 86.727 158.3182
640.000000 86.556 158.4063
650.000000 86.378 158.7644
660.000000 86.224 159.3895
670.000000 86.103 160.0978
680.000000 86.008 160.8200
690.000000 85.929 161.5176
700.000000 85.874 162.2554
710.000000 85.845 162.9215
720.000000 85.835 163.4196
730.000000 85.826 163.7512
740.000000 85.805 163.9330
750.000000 85.780 164.1049
762.000000 85.753 164.1238
775.000000 85.670 163.8923
788.000000 85.522 163.7361
800.000000 85.336 163.9327
812.000000 85.147 164.6942
825.000000 84.995 165.8848
838.000000 84.892 167.1322
850.000000 84.843 168.3921
862.000000 84.849 169.5418
875.000000 84.881 170.4540
885.000000 84.903 170.9503
900.000000 84.924 171.5442
912.000000 84.924 171.8699
925.000000 84.901 172.1609
938.000000 84.851 172.4674
950.000000 84.782 172.8698
962.000000 84.698 173.4062
975.000000 84.593 174.1919
988.000000 84.487 175.3193
1000.000000 84.405 176.7542
1015.000000 84.432 179.2698
1030.000000 84.647 -178.9348
1044.000000 84.853 -178.4057
1060.000000 84.946 -178.3617
1075.000000 84.964 -177.6667
1090.000000 85.029 -176.7104
1106.000000 85.134 -175.6874
1120.000000 85.266 -174.8609
1138.000000 85.453 -174.2895
1150.000000 85.556 -174.0024
1172.000000 85.761 -173.3022
1180.000000 85.855 -173.1000
1206.000000 86.165 -173.0714
1220.000000 86.321 -173.3142
1241.000000 86.511 -174.0639
1250.000000 86.573 -174.4198
1265.000000 86.650 -175.0623
1280.000000 86.699 -175.5604
1315.000000 86.828 -176.6896
1320.000000 86.840 -176.8780
1340.000000 86.873 -177.5670
1360.000000 86.906 -178.2271
1380.000000 86.919 -179.0968
1400.000000 86.875 -179.9210
1430.000000 86.765 179.3246
1450.000000 86.702 179.0418
1475.000000 86.635 178.6754
1500.000000 86.552 178.2755
1525.000000 86.449 177.9884
1550.000000 86.331 177.7263
1575.000000 86.176 177.5975
1600.000000 85.985 177.7660
1625.000000 85.782 178.5888
1650.000000 85.675 -179.9653
1675.000000 85.672 -178.8324
1700.000000 85.674 -178.1020
1725.000000 85.663 -177.4228
1750.000000 85.658 -176.7382
1775.000000 85.655 -176.1208
1800.000000 85.644 -175.5347
1825.000000 85.623 -174.8979
1850.000000 85.603 -174.1598
1875.000000 85.592 -173.3401
1900.000000 85.588 -172.4840
1925.000000 85.589 -171.5500
1950.000000 85.604 -170.5149
1975.000000 85.640 -169.4271
2000.000000 85.697 -168.3519
2030.000000 85.783 -167.0886
2060.000000 85.888 -165.8623
2090.000000 86.005 -164.6716
2120.000000 86.131 -163.4349
2140.000000 86.225 -162.5441
2180.000000 86.472 -160.5740
2200.000000 86.640 -159.6022
2240.000000 87.057 -158.0325
2270.000000 87.411 -157.2966
2300.000000 87.783 -156.9514
2330.000000 88.159 -157.0019
2360.000000 88.526 -157.4399
2400.000000 88.978 -158.5448
2430.000000 89.281 -159.6897
2470.000000 89.622 -161.5568
2500.000000 89.821 -163.0881
2540.000000 90.020 -165.0524
2580.000000 90.181 -166.8321
2620.000000 90.326 -168.5488
2650.000000 90.423 -169.8598
2690.000000 90.523 -171.6371
2720.000000 90.576 -172.9179
2760.000000 90.632 -174.4975
2800.000000 90.682 -176.0163
2850.000000 90.728 -177.8783
2900.000000 90.761 -179.6543
2950.000000 90.789 178.5754
3000.000000 90.798 176.7459
3040.000000 90.780 175.3091
3070.000000 90.755 174.3199
3110.000000 90.722 173.1471
3150.000000 90.704 172.1017
3200.000000 90.723 170.7374
3250.000000 90.759 169.0340
3300.000000 90.771 167.0330
3350.000000 90.750 164.8049
3400.000000 90.677 162.3564
3450.000000 90.527 159.8464
3500.000000 90.303 157.5580
3550.000000 90.039 155.6474
3600.000000 89.767 154.0271
3650.000000 89.492 152.5618
3700.000000 89.208 151.1898
3750.000000 88.909 149.8992
3820.000000 88.453 148.1894
3870.000000 88.086 147.0911
3950.000000 87.411 145.7416
4000.000000 86.932 145.3044
4060.000000 86.310 145.4323
4120.000000 85.669 146.3654
4180.000000 85.033 148.1467
4250.000000 84.331 151.4366
4310.000000 83.851 155.5453
4370.000000 83.626 159.8819
4440.000000 83.414 162.4697
4500.000000 82.797 164.6904
4550.000000 82.048 169.8320
4620.000000 81.453 -174.6274
4680.000000 82.456 -155.7471
4750.000000 85.487 -140.4459
4820.000000 88.865 -139.8555
4870.000000 90.737 -146.2994
4940.000000 92.234 -159.4605
5000.000000 92.611 -170.1877
5080.000000 92.494 179.8495
5150.000000 92.365 174.7863
5220.000000 92.458 171.2941
5300.000000 92.839 167.1830
5380.000000 93.370 161.5421
5450.000000 93.800 154.8105
5520.000000 94.031 146.4630
5600.000000 93.885 135.8804
5700.000000 93.044 123.5105
