* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 9:12:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (OriLS) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.356 -91.8409
20.600000 87.455 -92.5776
20.900000 87.564 -93.3745
21.200001 87.672 -94.1668
21.400000 87.743 -94.6863
21.799999 87.888 -95.6980
22.000000 87.961 -96.1905
22.400000 88.109 -97.1581
22.700001 88.218 -97.8801
23.000000 88.325 -98.6067
23.299999 88.425 -99.3382
23.600000 88.517 -100.0674
24.000000 88.628 -101.0172
24.299999 88.706 -101.7022
24.700001 88.809 -102.5785
25.000000 88.887 -103.2167
25.400000 88.994 -104.0582
25.799999 89.101 -104.8948
26.200001 89.204 -105.7173
26.500000 89.278 -106.3172
26.900000 89.374 -107.0956
27.200001 89.444 -107.6731
27.600000 89.535 -108.4543
28.000000 89.622 -109.2575
28.500000 89.722 -110.2684
29.000000 89.815 -111.2303
29.500000 89.910 -112.1118
30.000000 90.010 -112.9412
30.400000 90.092 -113.6001
30.700001 90.149 -114.0995
31.100000 90.220 -114.7656
31.500000 90.282 -115.4162
32.000000 90.353 -116.1879
32.500000 90.425 -116.9162
33.000000 90.502 -117.6256
33.500000 90.584 -118.3433
34.000000 90.668 -119.0840
34.500000 90.748 -119.8478
35.000000 90.823 -120.6195
35.500000 90.891 -121.3729
36.000000 90.954 -122.0831
36.500000 91.015 -122.7413
37.000000 91.075 -123.3605
37.500000 91.132 -123.9610
38.200001 91.203 -124.7769
38.700001 91.250 -125.3238
39.500000 91.338 -126.1570
40.000000 91.406 -126.7124
40.599998 91.492 -127.4467
41.200001 91.569 -128.1949
41.799999 91.638 -128.8914
42.500000 91.720 -129.6803
43.099998 91.789 -130.4135
43.700001 91.847 -131.1860
44.400002 91.908 -132.0520
45.000000 91.962 -132.7537
45.500000 92.007 -133.3365
46.200001 92.062 -134.1533
46.799999 92.099 -134.8223
47.500000 92.143 -135.5655
48.200001 92.188 -136.3198
48.700001 92.217 -136.8726
49.400002 92.250 -137.6283
50.000000 92.274 -138.2372
50.799999 92.308 -139.0271
51.500000 92.333 -139.7196
52.200001 92.351 -140.3754
53.000000 92.371 -141.0528
53.799999 92.393 -141.6957
54.500000 92.409 -142.2445
55.200001 92.421 -142.7659
56.000000 92.432 -143.3274
57.000000 92.444 -143.9635
58.000000 92.471 -144.5201
59.000000 92.513 -145.0783
60.000000 92.552 -145.6342
60.799999 92.580 -146.0522
61.500000 92.606 -146.4395
62.200001 92.632 -146.8794
63.000000 92.656 -147.4185
64.000000 92.677 -148.0411
65.000000 92.695 -148.5680
66.000000 92.714 -149.0360
67.000000 92.733 -149.4850
68.000000 92.754 -149.9452
69.000000 92.776 -150.3846
70.000000 92.804 -150.7730
71.000000 92.840 -151.1655
72.000000 92.876 -151.5811
73.000000 92.911 -151.9932
74.000000 92.946 -152.4081
75.000000 92.979 -152.8200
76.199997 93.019 -153.3251
77.500000 93.056 -153.8723
78.800003 93.093 -154.4127
80.000000 93.125 -154.9035
81.199997 93.160 -155.3655
82.500000 93.199 -155.8525
83.800003 93.236 -156.3213
85.000000 93.271 -156.7479
86.199997 93.313 -157.1785
87.500000 93.362 -157.6569
88.500000 93.398 -158.0408
90.000000 93.445 -158.6529
91.199997 93.480 -159.1280
92.500000 93.520 -159.6437
93.800003 93.560 -160.1792
95.000000 93.595 -160.6693
96.199997 93.628 -161.1503
97.500000 93.664 -161.6918
98.800003 93.693 -162.2415
100.000000 93.716 -162.7425
101.500000 93.744 -163.3713
103.000000 93.770 -164.0149
104.400002 93.785 -164.5955
106.000000 93.799 -165.2272
107.500000 93.809 -165.7864
109.000000 93.818 -166.3053
110.599998 93.827 -166.8286
112.000000 93.836 -167.2553
113.800003 93.852 -167.7626
115.000000 93.869 -168.0847
117.199997 93.908 -168.6750
118.000000 93.924 -168.9038
120.599998 93.977 -169.7198
122.000000 94.005 -170.2038
124.099998 94.043 -170.9918
125.000000 94.054 -171.3408
126.500000 94.066 -171.9272
128.000000 94.072 -172.5001
131.500000 94.061 -173.6848
132.000000 94.059 -173.8415
134.000000 94.052 -174.4398
136.000000 94.046 -174.9885
138.000000 94.043 -175.4836
140.000000 94.045 -175.9430
143.000000 94.056 -176.6001
145.000000 94.069 -177.0369
147.500000 94.090 -177.6087
150.000000 94.112 -178.1977
152.500000 94.135 -178.7878
155.000000 94.161 -179.3750
157.500000 94.192 -179.9801
160.000000 94.225 179.3775
162.500000 94.259 178.7252
165.000000 94.296 178.0666
167.500000 94.335 177.3851
170.000000 94.379 176.6517
172.500000 94.428 175.8260
175.000000 94.474 174.8658
177.500000 94.504 173.7842
180.000000 94.511 172.6782
182.500000 94.502 171.6469
185.000000 94.489 170.7012
187.500000 94.479 169.7698
190.000000 94.468 168.7873
192.500000 94.453 167.7275
195.000000 94.431 166.6115
197.500000 94.392 165.4764
200.000000 94.334 164.3434
203.000000 94.247 163.0186
206.000000 94.139 161.7576
209.000000 94.011 160.5959
212.000000 93.868 159.5569
214.000000 93.766 158.9425
218.000000 93.556 157.9379
220.000000 93.452 157.5485
224.000000 93.259 156.9486
227.000000 93.132 156.5662
230.000000 93.013 156.1819
233.000000 92.896 155.8091
236.000000 92.781 155.4930
240.000000 92.640 155.1105
243.000000 92.538 154.7708
247.000000 92.382 154.2805
250.000000 92.247 154.0300
254.000000 92.064 153.9515
258.000000 91.899 154.1036
262.000000 91.761 154.3991
265.000000 91.675 154.6785
269.000000 91.586 155.0963
272.000000 91.539 155.4164
276.000000 91.500 155.8390
280.000000 91.487 156.2487
285.000000 91.515 156.5811
290.000000 91.569 156.6053
295.000000 91.634 156.3697
300.000000 91.694 155.8628
304.000000 91.733 155.3069
307.000000 91.755 154.8304
311.000000 91.775 154.1260
315.000000 91.785 153.3526
320.000000 91.784 152.2919
325.000000 91.762 151.1411
330.000000 91.720 149.9177
335.000000 91.655 148.6458
340.000000 91.568 147.3362
345.000000 91.454 146.0072
350.000000 91.309 144.7017
355.000000 91.136 143.4853
360.000000 90.940 142.3882
365.000000 90.726 141.4264
370.000000 90.497 140.6100
375.000000 90.259 139.9696
382.000000 89.918 139.3367
387.000000 89.674 139.0505
395.000000 89.289 138.8759
400.000000 89.050 138.9507
406.000000 88.780 139.2558
412.000000 88.536 139.6865
418.000000 88.315 140.1968
425.000000 88.081 140.7862
431.000000 87.891 141.2748
437.000000 87.709 141.8210
444.000000 87.517 142.4753
450.000000 87.359 142.9691
455.000000 87.224 143.3851
462.000000 87.032 144.0067
468.000000 86.862 144.6353
475.000000 86.672 145.4955
482.000000 86.493 146.4309
487.000000 86.372 147.1908
494.000000 86.224 148.3689
500.000000 86.118 149.4168
508.000000 86.005 150.8436
515.000000 85.931 152.1031
522.000000 85.890 153.3959
530.000000 85.888 154.7028
538.000000 85.907 155.6453
545.000000 85.918 156.2921
552.000000 85.924 156.8445
560.000000 85.920 157.3403
570.000000 85.886 157.8687
580.000000 85.830 158.4483
590.000000 85.768 159.0787
600.000000 85.699 159.7616
608.000000 85.639 160.3820
615.000000 85.589 160.9832
622.000000 85.547 161.6400
630.000000 85.509 162.4442
640.000000 85.476 163.4620
650.000000 85.458 164.4913
660.000000 85.455 165.5460
670.000000 85.485 166.5964
680.000000 85.535 167.4717
690.000000 85.588 168.1995
700.000000 85.632 168.8338
710.000000 85.676 169.5289
720.000000 85.736 170.2042
730.000000 85.808 170.7971
740.000000 85.890 171.3332
750.000000 85.981 171.7204
762.000000 86.084 172.0172
775.000000 86.202 172.2990
788.000000 86.335 172.3227
800.000000 86.450 172.0074
812.000000 86.524 171.4085
825.000000 86.545 170.6290
838.000000 86.487 169.9054
850.000000 86.393 169.7014
862.000000 86.321 169.9055
875.000000 86.290 170.2448
885.000000 86.300 170.4424
900.000000 86.328 170.2939
912.000000 86.312 169.9265
925.000000 86.242 169.5994
938.000000 86.155 169.5248
950.000000 86.071 169.5545
962.000000 85.988 169.7150
975.000000 85.902 169.9154
988.000000 85.808 170.2198
1000.000000 85.730 170.6577
1015.000000 85.653 171.1876
1030.000000 85.557 171.6882
1044.000000 85.457 172.4120
1060.000000 85.363 173.5308
1075.000000 85.317 174.7562
1090.000000 85.308 175.9831
1106.000000 85.338 177.3688
1120.000000 85.425 178.5621
1138.000000 85.593 179.4272
1150.000000 85.668 179.5758
1172.000000 85.688 -179.9259
1180.000000 85.679 -179.4539
1206.000000 85.915 -176.6282
1220.000000 86.205 -176.1914
1241.000000 86.554 -177.0127
1250.000000 86.650 -177.6111
1265.000000 86.737 -178.6586
1280.000000 86.755 -179.4331
1315.000000 86.790 179.5653
1320.000000 86.793 179.4312
1340.000000 86.798 178.9240
1360.000000 86.796 178.4676
1380.000000 86.778 177.9817
1400.000000 86.743 177.6425
1430.000000 86.701 177.1758
1450.000000 86.654 176.8114
1475.000000 86.581 176.5687
1500.000000 86.511 176.2812
1525.000000 86.412 176.0644
1550.000000 86.300 176.0685
1575.000000 86.202 176.1962
1600.000000 86.107 176.2759
1625.000000 85.995 176.3117
1650.000000 85.846 176.3260
1675.000000 85.621 176.5648
1700.000000 85.351 177.8229
1725.000000 85.220 -179.8254
1750.000000 85.277 -177.8822
1775.000000 85.364 -176.7988
1800.000000 85.413 -176.0508
1825.000000 85.431 -175.3363
1850.000000 85.430 -174.5270
1875.000000 85.429 -173.5916
1900.000000 85.433 -172.5492
1925.000000 85.449 -171.3474
1950.000000 85.498 -170.0366
1975.000000 85.581 -168.7522
2000.000000 85.685 -167.5443
2030.000000 85.831 -166.1310
2060.000000 86.008 -164.7532
2090.000000 86.227 -163.4404
2120.000000 86.492 -162.3646
2140.000000 86.682 -161.8379
2180.000000 87.075 -161.2453
2200.000000 87.269 -161.1491
2240.000000 87.637 -161.3570
2270.000000 87.874 -161.7825
2300.000000 88.075 -162.1871
2330.000000 88.273 -162.4501
2360.000000 88.493 -162.7332
2400.000000 88.815 -163.4454
2430.000000 89.052 -164.3545
2470.000000 89.307 -166.0328
2500.000000 89.432 -167.3786
2540.000000 89.544 -168.9483
2580.000000 89.635 -170.3202
2620.000000 89.713 -171.6330
2650.000000 89.759 -172.5617
2690.000000 89.812 -173.6693
2720.000000 89.853 -174.4555
2760.000000 89.909 -175.4838
2800.000000 89.971 -176.4930
2850.000000 90.054 -177.8617
2900.000000 90.124 -179.3960
2950.000000 90.172 178.9736
3000.000000 90.193 177.2273
3040.000000 90.173 175.7650
3070.000000 90.129 174.7279
3110.000000 90.040 173.5933
3150.000000 89.950 172.8984
3200.000000 89.925 172.4410
3250.000000 90.020 171.6403
3300.000000 90.144 169.9564
3350.000000 90.197 167.4632
3400.000000 90.107 164.5967
3450.000000 89.868 162.1065
3500.000000 89.569 160.4269
3550.000000 89.292 159.3369
3600.000000 89.060 158.5073
3650.000000 88.862 157.6939
3700.000000 88.679 156.7698
3750.000000 88.489 155.7383
3820.000000 88.196 154.2112
3870.000000 87.963 153.0309
3950.000000 87.512 151.0168
4000.000000 87.162 149.7924
4060.000000 86.666 148.5574
4120.000000 86.093 147.8120
4180.000000 85.471 147.7048
4250.000000 84.744 148.2784
4310.000000 84.126 148.7692
4370.000000 83.385 148.9503
4440.000000 82.185 149.6324
4500.000000 80.742 151.9926
4550.000000 79.194 157.5378
4620.000000 77.434 -177.2792
4680.000000 79.165 -137.8989
4750.000000 83.655 -120.1531
4820.000000 87.218 -125.9008
4870.000000 88.739 -134.8853
4940.000000 89.621 -147.2743
5000.000000 89.712 -154.3489
5080.000000 89.745 -158.5027
5150.000000 90.035 -159.5346
5220.000000 90.624 -159.9330
5300.000000 91.672 -161.0864
5380.000000 93.041 -164.9038
5450.000000 94.255 -171.7638
5520.000000 95.151 178.0988
5600.000000 95.486 164.2489
5700.000000 94.805 147.8977
5800.000000 93.390 136.3305
