* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:12:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Ov Su Solid) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.294 -114.1806
20.600000 90.334 -115.0876
20.900000 90.375 -116.0350
21.200001 90.416 -116.9669
21.400000 90.444 -117.5877
21.799999 90.496 -118.8402
22.000000 90.518 -119.4660
22.400000 90.551 -120.6743
22.700001 90.565 -121.4957
23.000000 90.574 -122.2065
23.299999 90.584 -122.7928
23.600000 90.602 -123.2673
24.000000 90.650 -123.7986
24.299999 90.704 -124.1950
24.700001 90.796 -124.8243
25.000000 90.870 -125.4117
25.400000 90.959 -126.3458
25.799999 91.023 -127.3786
26.200001 91.058 -128.3867
26.500000 91.069 -129.0522
26.900000 91.076 -129.7554
27.200001 91.087 -130.1387
27.600000 91.123 -130.5077
28.000000 91.193 -130.8219
28.500000 91.323 -131.3314
29.000000 91.476 -132.1232
29.500000 91.620 -133.2209
30.000000 91.737 -134.5314
30.400000 91.808 -135.6431
30.700001 91.850 -136.4741
31.100000 91.896 -137.5512
31.500000 91.938 -138.5867
32.000000 91.985 -139.8448
32.500000 92.022 -141.0973
33.000000 92.040 -142.3578
33.500000 92.035 -143.6126
34.000000 92.010 -144.8519
34.500000 91.974 -146.0898
35.000000 91.930 -147.3443
35.500000 91.876 -148.5967
36.000000 91.807 -149.7869
36.500000 91.727 -150.8581
37.000000 91.637 -151.8031
37.500000 91.534 -152.6521
38.200001 91.351 -153.6786
38.700001 91.188 -154.2117
39.500000 90.901 -154.5638
40.000000 90.728 -154.4841
40.599998 90.535 -154.1093
41.200001 90.372 -153.3590
41.799999 90.269 -152.1946
42.500000 90.265 -150.5925
43.099998 90.346 -149.4396
43.700001 90.455 -148.7208
44.400002 90.569 -148.3188
45.000000 90.664 -148.1141
45.500000 90.761 -147.9776
46.200001 90.927 -147.9142
46.799999 91.065 -148.0013
47.500000 91.196 -148.1566
48.200001 91.310 -148.3933
48.700001 91.390 -148.7244
49.400002 91.487 -149.3976
50.000000 91.553 -149.9686
50.799999 91.643 -150.5533
51.500000 91.715 -151.0236
52.200001 91.759 -151.4877
53.000000 91.800 -151.9726
53.799999 91.853 -152.5231
54.500000 91.893 -153.0219
55.200001 91.920 -153.3978
56.000000 91.939 -153.6679
57.000000 91.948 -153.8402
58.000000 91.960 -153.9424
59.000000 91.991 -153.9297
60.000000 92.097 -153.6755
60.799999 92.238 -153.5602
61.500000 92.359 -153.5650
62.200001 92.476 -153.6140
63.000000 92.616 -153.8291
64.000000 92.796 -154.4827
65.000000 92.970 -155.3340
66.000000 93.139 -156.2172
67.000000 93.290 -157.2197
68.000000 93.414 -158.3112
69.000000 93.522 -159.3929
70.000000 93.618 -160.5042
71.000000 93.701 -161.7028
72.000000 93.776 -162.9900
73.000000 93.837 -164.2933
74.000000 93.878 -165.5424
75.000000 93.905 -166.7803
76.199997 93.927 -168.3033
77.500000 93.932 -169.9146
78.800003 93.908 -171.4844
80.000000 93.869 -172.9050
81.199997 93.812 -174.2608
82.500000 93.702 -175.5826
83.800003 93.553 -176.6849
85.000000 93.427 -177.4392
86.199997 93.330 -177.8708
87.500000 93.267 -178.0572
88.500000 93.250 -178.2774
90.000000 93.255 -178.9133
91.199997 93.273 -179.6429
92.500000 93.294 179.3288
93.800003 93.280 178.0867
95.000000 93.212 176.9167
96.199997 93.104 175.8099
97.500000 92.971 174.7293
98.800003 92.836 173.7060
100.000000 92.694 172.6703
101.500000 92.443 171.3278
103.000000 92.089 170.4286
104.400002 91.692 170.3629
106.000000 91.230 171.5540
107.500000 90.902 173.9350
109.000000 90.765 176.9991
110.599998 90.833 -179.9186
112.000000 91.021 -177.8704
113.800003 91.345 -176.2529
115.000000 91.572 -175.7157
117.199997 91.962 -175.6100
118.000000 92.090 -175.7400
120.599998 92.450 -176.5754
122.000000 92.610 -177.4063
124.099998 92.792 -178.7658
125.000000 92.855 -179.3680
126.500000 92.945 179.5901
128.000000 93.015 178.5562
131.500000 93.093 176.2614
132.000000 93.098 175.9670
134.000000 93.102 174.9287
136.000000 93.098 174.1048
138.000000 93.126 173.3828
140.000000 93.176 172.4926
143.000000 93.233 170.6929
145.000000 93.241 169.5435
147.500000 93.205 168.4159
150.000000 93.170 167.1920
152.500000 93.169 165.8663
155.000000 93.117 164.6734
157.500000 93.055 163.4094
160.000000 92.988 162.1964
162.500000 92.936 161.0816
165.000000 92.878 159.8635
167.500000 92.806 158.7657
170.000000 92.740 157.7131
172.500000 92.666 156.6506
175.000000 92.586 155.4373
177.500000 92.492 154.1487
180.000000 92.368 152.8089
182.500000 92.229 151.5330
185.000000 92.059 150.6000
187.500000 91.851 149.6806
190.000000 91.634 148.7999
192.500000 91.445 148.1439
195.000000 91.273 147.7470
197.500000 91.071 147.5930
200.000000 90.879 147.4230
203.000000 90.662 146.9720
206.000000 90.452 146.7728
209.000000 90.262 146.7757
212.000000 90.069 146.9385
214.000000 89.940 147.2418
218.000000 89.723 147.5882
220.000000 89.657 147.7312
224.000000 89.566 148.1465
227.000000 89.493 148.0583
230.000000 89.407 147.7614
233.000000 89.299 147.3317
236.000000 89.165 146.7386
240.000000 88.905 145.5331
243.000000 88.708 145.8981
247.000000 88.435 146.9420
250.000000 88.259 147.6867
254.000000 88.098 148.7323
258.000000 88.005 149.5071
262.000000 87.952 149.9230
265.000000 87.897 150.0928
269.000000 87.784 150.1841
272.000000 87.691 150.2130
276.000000 87.563 150.3268
280.000000 87.434 150.5179
285.000000 87.268 150.7473
290.000000 87.060 150.9857
295.000000 86.786 151.4692
300.000000 86.499 152.7615
304.000000 86.351 154.3474
307.000000 86.303 155.6129
311.000000 86.305 156.9720
315.000000 86.314 157.6827
320.000000 86.294 158.4109
325.000000 86.265 159.5913
330.000000 86.247 160.8539
335.000000 86.290 162.2286
340.000000 86.390 163.4045
345.000000 86.522 164.4714
350.000000 86.667 165.0244
355.000000 86.797 164.9442
360.000000 86.910 164.8892
365.000000 87.006 164.5889
370.000000 87.099 164.1302
375.000000 87.167 163.5171
382.000000 87.181 162.3717
387.000000 87.137 161.5499
395.000000 87.019 160.8066
400.000000 86.910 160.4733
406.000000 86.742 160.0042
412.000000 86.551 159.9772
418.000000 86.383 160.2630
425.000000 86.246 161.0951
431.000000 86.107 161.6077
437.000000 85.967 162.4028
444.000000 85.876 163.7134
450.000000 85.878 164.9585
455.000000 85.931 165.9542
462.000000 86.050 167.0292
468.000000 86.171 167.3958
475.000000 86.318 167.2909
482.000000 86.423 166.6846
487.000000 86.439 166.0446
494.000000 86.397 165.0601
500.000000 86.288 164.4657
508.000000 86.082 164.3211
515.000000 85.894 164.8640
522.000000 85.761 165.9834
530.000000 85.701 167.5007
538.000000 85.748 168.9391
545.000000 85.871 169.7426
552.000000 85.989 169.9979
560.000000 86.099 169.8621
570.000000 86.202 169.4098
580.000000 86.282 168.9543
590.000000 86.327 168.3996
600.000000 86.320 167.6781
608.000000 86.275 167.0541
615.000000 86.216 166.6515
622.000000 86.143 166.4432
630.000000 86.066 166.2643
640.000000 85.981 166.0151
650.000000 85.859 165.7403
660.000000 85.690 165.8401
670.000000 85.567 166.6234
680.000000 85.550 167.4907
690.000000 85.589 167.8837
700.000000 85.609 167.8141
710.000000 85.587 167.4828
720.000000 85.528 167.1095
730.000000 85.450 166.8625
740.000000 85.357 166.8570
750.000000 85.279 166.8942
762.000000 85.212 166.7984
775.000000 85.120 166.5641
788.000000 84.984 166.3087
800.000000 84.793 166.1179
812.000000 84.559 166.3896
825.000000 84.367 167.4077
838.000000 84.251 168.1163
850.000000 84.093 168.4969
862.000000 83.905 169.4413
875.000000 83.756 171.1456
885.000000 83.731 172.6115
900.000000 83.804 173.9380
912.000000 83.839 174.4491
925.000000 83.855 174.7313
938.000000 83.803 174.7209
950.000000 83.701 174.9487
962.000000 83.592 175.4988
975.000000 83.470 176.3179
988.000000 83.350 177.4796
1000.000000 83.288 178.9113
1015.000000 83.302 -179.5132
1030.000000 83.351 -178.3676
1044.000000 83.389 -177.5886
1060.000000 83.398 -176.9403
1075.000000 83.369 -176.1152
1090.000000 83.355 -175.1835
1106.000000 83.317 -174.0334
1120.000000 83.343 -172.3852
1138.000000 83.563 -171.0355
1150.000000 83.681 -171.0236
1172.000000 83.717 -170.9370
1180.000000 83.701 -170.6870
1206.000000 83.733 -169.2493
1220.000000 83.800 -168.6320
1241.000000 83.895 -168.0311
1250.000000 83.937 -167.8194
1265.000000 83.992 -167.6423
1280.000000 84.015 -167.5607
1315.000000 84.001 -166.9012
1320.000000 84.002 -166.7665
1340.000000 84.004 -166.2628
1360.000000 83.995 -165.8183
1380.000000 83.970 -165.2807
1400.000000 83.946 -164.5576
1430.000000 83.949 -163.2130
1450.000000 83.975 -162.2869
1475.000000 84.041 -161.2451
1500.000000 84.110 -160.4771
1525.000000 84.172 -159.8752
1550.000000 84.212 -159.4866
1575.000000 84.203 -159.1569
1600.000000 84.117 -158.6857
1625.000000 83.974 -157.2824
1650.000000 83.961 -154.8927
1675.000000 84.119 -152.8787
1700.000000 84.308 -151.7040
1725.000000 84.458 -150.8922
1750.000000 84.590 -150.1472
1775.000000 84.715 -149.5522
1800.000000 84.809 -149.0328
1825.000000 84.894 -148.4366
1850.000000 84.971 -147.8623
1875.000000 85.025 -147.1962
1900.000000 85.080 -146.3708
1925.000000 85.148 -145.4560
1950.000000 85.230 -144.4871
1975.000000 85.324 -143.5154
2000.000000 85.426 -142.5347
2030.000000 85.567 -141.3721
2060.000000 85.735 -140.2744
2090.000000 85.903 -139.4764
2120.000000 86.027 -138.6997
2140.000000 86.102 -138.0175
2180.000000 86.267 -136.3746
2200.000000 86.365 -135.4435
2240.000000 86.606 -133.2971
2270.000000 86.866 -131.4185
2300.000000 87.238 -129.6680
2330.000000 87.690 -128.6037
2360.000000 88.141 -128.3466
2400.000000 88.661 -128.8176
2430.000000 88.973 -129.4005
2470.000000 89.322 -130.0074
2500.000000 89.577 -130.2554
2540.000000 89.947 -130.5869
2580.000000 90.328 -131.1634
2620.000000 90.701 -131.9816
2650.000000 90.970 -132.7339
2690.000000 91.312 -133.8711
2720.000000 91.554 -134.8115
2760.000000 91.862 -136.1405
2800.000000 92.157 -137.5815
2850.000000 92.499 -139.5888
2900.000000 92.798 -141.7523
2950.000000 93.054 -143.9700
3000.000000 93.277 -146.1824
3040.000000 93.431 -147.8784
3070.000000 93.544 -149.0547
3110.000000 93.715 -150.5303
3150.000000 93.926 -152.1250
3200.000000 94.208 -154.7136
3250.000000 94.429 -157.9438
3300.000000 94.555 -161.4744
3350.000000 94.584 -165.0755
3400.000000 94.518 -168.5168
3450.000000 94.385 -171.6134
3500.000000 94.214 -174.3366
3550.000000 94.024 -176.7452
3600.000000 93.823 -178.8982
3650.000000 93.618 179.1733
3700.000000 93.413 177.4216
3750.000000 93.211 175.7826
3820.000000 92.923 173.5816
3870.000000 92.704 172.0439
3950.000000 92.306 169.6908
4000.000000 92.019 168.3894
4060.000000 91.640 167.1226
4120.000000 91.229 166.2216
4180.000000 90.791 165.7905
4250.000000 90.265 166.1808
4310.000000 89.891 167.5192
4370.000000 89.696 168.8838
4440.000000 89.463 168.9546
4500.000000 89.020 169.2920
4550.000000 88.555 171.0861
4620.000000 88.017 176.7446
4680.000000 88.033 -175.2739
4750.000000 89.159 -165.4249
4820.000000 91.203 -162.4500
4870.000000 92.552 -166.2994
4940.000000 93.628 -176.6712
5000.000000 93.758 173.8524
5080.000000 93.238 163.9048
5150.000000 92.507 158.1202
5220.000000 91.714 154.6160
5300.000000 90.865 152.9803
5380.000000 90.244 153.2450
5450.000000 89.997 153.7676
5520.000000 89.952 153.0807
5600.000000 89.877 150.2635
5700.000000 89.429 145.4155
