* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:08:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Ov Su Solid) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.173 -104.6012
20.600000 89.247 -105.4538
20.900000 89.328 -106.3664
21.200001 89.409 -107.2785
21.400000 89.462 -107.8864
21.799999 89.563 -109.0964
22.000000 89.610 -109.6906
22.400000 89.695 -110.8289
22.700001 89.752 -111.6176
23.000000 89.805 -112.3418
23.299999 89.858 -113.0084
23.600000 89.914 -113.6377
24.000000 89.996 -114.4688
24.299999 90.061 -115.1199
24.700001 90.148 -116.0498
25.000000 90.209 -116.7852
25.400000 90.281 -117.7722
25.799999 90.344 -118.7015
26.200001 90.403 -119.5191
26.500000 90.451 -120.0515
26.900000 90.525 -120.6801
27.200001 90.588 -121.1224
27.600000 90.680 -121.7210
28.000000 90.776 -122.3663
28.500000 90.895 -123.2650
29.000000 91.008 -124.2729
29.500000 91.114 -125.3907
30.000000 91.214 -126.6083
30.400000 91.286 -127.6338
30.700001 91.334 -128.4178
31.100000 91.391 -129.4641
31.500000 91.439 -130.4924
32.000000 91.485 -131.7271
32.500000 91.520 -132.8886
33.000000 91.549 -133.9858
33.500000 91.576 -135.0596
34.000000 91.600 -136.1548
34.500000 91.614 -137.2822
35.000000 91.611 -138.4138
35.500000 91.594 -139.5203
36.000000 91.566 -140.6063
36.500000 91.530 -141.7052
37.000000 91.481 -142.8392
37.500000 91.415 -143.9829
38.200001 91.288 -145.4576
38.700001 91.176 -146.3102
39.500000 90.975 -147.2614
40.000000 90.832 -147.6272
40.599998 90.634 -147.7973
41.200001 90.423 -147.5476
41.799999 90.247 -146.8556
42.500000 90.134 -145.7526
43.099998 90.104 -144.7525
43.700001 90.119 -143.6888
44.400002 90.202 -142.4153
45.000000 90.323 -141.5424
45.500000 90.440 -141.0764
46.200001 90.604 -140.7235
46.799999 90.754 -140.5862
47.500000 90.942 -140.6627
48.200001 91.110 -141.0251
48.700001 91.204 -141.3622
49.400002 91.315 -141.8167
50.000000 91.414 -142.2245
50.799999 91.556 -142.9407
51.500000 91.665 -143.6675
52.200001 91.758 -144.3478
53.000000 91.862 -145.1310
53.799999 91.950 -146.0658
54.500000 92.002 -146.9443
55.200001 92.036 -147.7729
56.000000 92.052 -148.6299
57.000000 92.026 -149.5192
58.000000 91.958 -150.1307
59.000000 91.887 -150.4124
60.000000 91.860 -150.3993
60.799999 91.875 -150.2955
61.500000 91.904 -150.1625
62.200001 91.947 -150.0154
63.000000 92.010 -149.8964
64.000000 92.095 -149.8256
65.000000 92.191 -149.7732
66.000000 92.300 -149.7299
67.000000 92.431 -149.7181
68.000000 92.583 -149.8463
69.000000 92.746 -150.1707
70.000000 92.911 -150.6827
71.000000 93.066 -151.3423
72.000000 93.205 -152.0652
73.000000 93.334 -152.8747
74.000000 93.450 -153.8024
75.000000 93.544 -154.7500
76.199997 93.640 -155.8817
77.500000 93.728 -157.1615
78.800003 93.806 -158.3796
80.000000 93.871 -159.4403
81.199997 93.923 -160.5391
82.500000 93.968 -161.7309
83.800003 94.002 -162.8668
85.000000 94.026 -163.8869
86.199997 94.041 -164.8957
87.500000 94.051 -165.9374
88.500000 94.056 -166.7155
90.000000 94.067 -167.8521
91.199997 94.073 -168.7705
92.500000 94.062 -169.7780
93.800003 94.036 -170.7498
95.000000 94.015 -171.6040
96.199997 93.995 -172.4539
97.500000 93.962 -173.3943
98.800003 93.913 -174.3718
100.000000 93.863 -175.2967
101.500000 93.790 -176.4531
103.000000 93.686 -177.4985
104.400002 93.555 -178.3360
106.000000 93.368 -178.9425
107.500000 93.175 -179.0955
109.000000 92.996 -178.8585
110.599998 92.852 -178.2225
112.000000 92.782 -177.4186
113.800003 92.784 -176.3259
115.000000 92.840 -175.7574
117.199997 93.014 -175.2590
118.000000 93.087 -175.2804
120.599998 93.292 -175.8758
122.000000 93.365 -176.3460
124.099998 93.439 -177.1422
125.000000 93.461 -177.4696
126.500000 93.490 -177.9415
128.000000 93.523 -178.3515
131.500000 93.643 -179.5070
132.000000 93.657 -179.7206
134.000000 93.686 179.3745
136.000000 93.681 178.5969
138.000000 93.674 178.1035
140.000000 93.701 177.7891
143.000000 93.807 177.1349
145.000000 93.885 176.4076
147.500000 93.969 175.2629
150.000000 94.034 174.0355
152.500000 94.053 172.8358
155.000000 94.056 171.6426
157.500000 94.038 170.4805
160.000000 94.008 169.3350
162.500000 94.008 168.1638
165.000000 93.993 167.0542
167.500000 93.958 165.9553
170.000000 93.912 164.9806
172.500000 93.869 164.1046
175.000000 93.838 163.2172
177.500000 93.812 162.2950
180.000000 93.794 161.3677
182.500000 93.777 160.3526
185.000000 93.747 159.1581
187.500000 93.703 157.9349
190.000000 93.637 156.7627
192.500000 93.551 155.6473
195.000000 93.471 154.6761
197.500000 93.409 153.8100
200.000000 93.337 152.8984
203.000000 93.191 151.6540
206.000000 93.055 150.5290
209.000000 92.946 149.6219
212.000000 92.831 148.5378
214.000000 92.738 147.6677
218.000000 92.542 146.0222
220.000000 92.443 145.3575
224.000000 92.213 144.1631
227.000000 92.036 143.4253
230.000000 91.872 142.6512
233.000000 91.723 141.8118
236.000000 91.595 141.0765
240.000000 91.376 140.1807
243.000000 91.088 139.2643
247.000000 90.717 138.4426
250.000000 90.488 138.0682
254.000000 90.201 137.5996
258.000000 89.915 137.0900
262.000000 89.608 136.5946
265.000000 89.355 136.3634
269.000000 88.989 136.2659
272.000000 88.703 136.4417
276.000000 88.321 137.0307
280.000000 87.967 138.0272
285.000000 87.594 139.5730
290.000000 87.283 141.1879
295.000000 87.037 142.8842
300.000000 86.764 144.8391
304.000000 86.537 146.6744
307.000000 86.409 148.1029
311.000000 86.292 150.0813
315.000000 86.220 152.2905
320.000000 86.234 155.1935
325.000000 86.380 157.6338
330.000000 86.613 159.5298
335.000000 86.896 160.5845
340.000000 87.193 160.9163
345.000000 87.452 160.5216
350.000000 87.608 159.2860
355.000000 87.627 157.6664
360.000000 87.520 156.5565
365.000000 87.327 156.4235
370.000000 87.155 157.0554
375.000000 87.093 157.8539
382.000000 87.162 158.5322
387.000000 87.213 158.3990
395.000000 87.146 157.4806
400.000000 87.012 157.1484
406.000000 86.817 157.3111
412.000000 86.651 158.2017
418.000000 86.588 159.4852
425.000000 86.624 160.6817
431.000000 86.678 161.3115
437.000000 86.736 161.6555
444.000000 86.798 161.8703
450.000000 86.849 161.9375
455.000000 86.900 161.8918
462.000000 86.962 161.6231
468.000000 86.994 161.2511
475.000000 87.006 160.7506
482.000000 86.989 160.1935
487.000000 86.965 159.7419
494.000000 86.912 159.0271
500.000000 86.825 158.3853
508.000000 86.646 157.7419
515.000000 86.467 157.5766
522.000000 86.291 157.7989
530.000000 86.130 158.3797
538.000000 86.028 158.9425
545.000000 85.956 159.2562
552.000000 85.872 159.5446
560.000000 85.754 159.9414
570.000000 85.606 160.6869
580.000000 85.497 161.6850
590.000000 85.439 162.6543
600.000000 85.388 163.4518
608.000000 85.346 164.2140
615.000000 85.333 165.0250
622.000000 85.350 165.7946
630.000000 85.400 166.5893
640.000000 85.521 167.3827
650.000000 85.680 167.5571
660.000000 85.789 167.0233
670.000000 85.825 166.3588
680.000000 85.824 165.7033
690.000000 85.779 165.0398
700.000000 85.703 164.4485
710.000000 85.598 163.9753
720.000000 85.472 163.6184
730.000000 85.332 163.4067
740.000000 85.186 163.3946
750.000000 85.046 163.6047
762.000000 84.891 163.9637
775.000000 84.748 164.4289
788.000000 84.632 164.8764
800.000000 84.519 165.1334
812.000000 84.382 165.4041
825.000000 84.231 165.7905
838.000000 84.064 166.1049
850.000000 83.855 166.6216
862.000000 83.635 167.6775
875.000000 83.454 169.4154
885.000000 83.402 170.9186
900.000000 83.415 172.5261
912.000000 83.417 173.3714
925.000000 83.394 174.0286
938.000000 83.338 174.6854
950.000000 83.268 175.4150
962.000000 83.189 176.2251
975.000000 83.103 177.2804
988.000000 83.027 178.5441
1000.000000 82.962 179.9355
1015.000000 82.971 -177.8992
1030.000000 83.118 -176.3373
1044.000000 83.222 -175.8945
1060.000000 83.225 -175.3885
1075.000000 83.206 -174.4281
1090.000000 83.212 -173.4054
1106.000000 83.206 -172.1447
1120.000000 83.260 -170.7319
1138.000000 83.408 -169.5694
1150.000000 83.476 -169.2229
1172.000000 83.480 -168.4773
1180.000000 83.455 -168.0133
1206.000000 83.467 -164.7412
1220.000000 83.707 -162.8496
1241.000000 84.145 -162.2408
1250.000000 84.284 -162.4268
1265.000000 84.450 -163.0083
1280.000000 84.510 -163.7211
1315.000000 84.444 -163.6795
1320.000000 84.441 -163.4707
1340.000000 84.504 -162.4949
1360.000000 84.651 -161.8251
1380.000000 84.815 -161.7374
1400.000000 84.913 -162.2514
1430.000000 84.889 -162.6880
1450.000000 84.867 -162.4881
1475.000000 84.848 -162.1548
1500.000000 84.824 -161.7375
1525.000000 84.794 -161.2318
1550.000000 84.768 -160.4904
1575.000000 84.767 -159.6610
1600.000000 84.791 -158.8854
1625.000000 84.810 -158.3771
1650.000000 84.772 -157.9241
1675.000000 84.670 -157.0955
1700.000000 84.574 -155.2444
1725.000000 84.649 -152.7842
1750.000000 84.869 -151.1090
1775.000000 85.079 -150.3289
1800.000000 85.232 -149.8040
1825.000000 85.354 -149.3417
1850.000000 85.439 -148.8656
1875.000000 85.513 -148.1394
1900.000000 85.603 -147.3322
1925.000000 85.704 -146.5073
1950.000000 85.818 -145.6551
1975.000000 85.954 -144.8428
2000.000000 86.097 -144.1713
2030.000000 86.262 -143.4768
2060.000000 86.421 -142.8369
2090.000000 86.567 -142.2433
2120.000000 86.703 -141.5692
2140.000000 86.797 -141.0626
2180.000000 86.997 -139.9588
2200.000000 87.106 -139.3631
2240.000000 87.353 -138.1043
2270.000000 87.569 -137.1293
2300.000000 87.823 -136.1680
2330.000000 88.119 -135.3528
2360.000000 88.453 -134.7934
2400.000000 88.924 -134.7386
2430.000000 89.240 -135.1974
2470.000000 89.590 -135.9521
2500.000000 89.827 -136.4944
2540.000000 90.127 -137.2132
2580.000000 90.429 -137.9047
2620.000000 90.741 -138.7788
2650.000000 90.964 -139.6191
2690.000000 91.230 -140.8898
2720.000000 91.406 -141.8661
2760.000000 91.627 -143.1411
2800.000000 91.840 -144.4674
2850.000000 92.086 -146.2427
2900.000000 92.305 -148.1468
2950.000000 92.485 -150.1558
3000.000000 92.620 -152.2118
3040.000000 92.689 -153.8308
3070.000000 92.715 -154.9451
3110.000000 92.730 -156.1379
3150.000000 92.769 -156.8996
3200.000000 92.928 -157.6841
3250.000000 93.180 -159.2280
3300.000000 93.378 -161.7333
3350.000000 93.445 -164.5602
3400.000000 93.410 -167.1045
3450.000000 93.339 -169.2242
3500.000000 93.262 -171.1204
3550.000000 93.177 -172.9046
3600.000000 93.080 -174.5462
3650.000000 92.982 -176.0578
3700.000000 92.888 -177.5072
3750.000000 92.794 -178.9665
3820.000000 92.643 178.9354
3870.000000 92.513 177.4119
3950.000000 92.253 175.0168
4000.000000 92.054 173.5674
4060.000000 91.760 171.9558
4120.000000 91.406 170.7366
4180.000000 91.022 170.0233
4250.000000 90.567 169.8207
4310.000000 90.182 170.0360
4370.000000 89.771 170.6526
4440.000000 89.267 172.3067
4500.000000 88.840 174.7498
4550.000000 88.511 177.8141
4620.000000 88.246 -175.4267
4680.000000 88.560 -167.1566
4750.000000 90.019 -158.3247
4820.000000 92.124 -157.6843
4870.000000 93.309 -162.8180
4940.000000 94.062 -173.0452
5000.000000 94.040 179.1491
5080.000000 93.602 172.0122
5150.000000 93.155 168.2928
5220.000000 92.784 166.0543
5300.000000 92.503 164.5421
5380.000000 92.432 163.4207
5450.000000 92.555 161.8002
5520.000000 92.739 158.6728
5600.000000 92.789 153.2128
