* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 9:00:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (UniHP) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.124 -96.2632
20.600000 80.215 -97.0543
20.900000 80.314 -97.9082
21.200001 80.408 -98.7408
21.400000 80.470 -99.2728
21.799999 80.595 -100.2799
22.000000 80.658 -100.7630
22.400000 80.787 -101.7188
22.700001 80.880 -102.4431
23.000000 80.968 -103.1722
23.299999 81.047 -103.8903
23.600000 81.122 -104.5803
24.000000 81.219 -105.4507
24.299999 81.297 -106.0864
24.700001 81.404 -106.9596
25.000000 81.482 -107.6515
25.400000 81.572 -108.5986
25.799999 81.641 -109.4962
26.200001 81.698 -110.2690
26.500000 81.744 -110.7645
26.900000 81.822 -111.3786
27.200001 81.894 -111.8661
27.600000 81.996 -112.6102
28.000000 82.093 -113.4482
28.500000 82.192 -114.5097
29.000000 82.274 -115.4731
29.500000 82.352 -116.3552
30.000000 82.426 -117.2388
30.400000 82.477 -117.9496
30.700001 82.512 -118.4557
31.100000 82.560 -119.0592
31.500000 82.620 -119.5812
32.000000 82.716 -120.1964
32.500000 82.817 -120.8724
33.000000 82.893 -121.6214
33.500000 82.932 -122.3581
34.000000 82.950 -123.0183
34.500000 82.977 -123.6474
35.000000 83.031 -124.3627
35.500000 83.105 -125.2220
36.000000 83.177 -126.1441
36.500000 83.234 -126.9597
37.000000 83.276 -127.5454
37.500000 83.318 -127.9161
38.200001 83.385 -128.3201
38.700001 83.436 -128.6861
39.500000 83.521 -129.5023
40.000000 83.581 -130.1659
40.599998 83.647 -131.0936
41.200001 83.688 -131.9942
41.799999 83.708 -132.6240
42.500000 83.757 -133.0216
43.099998 83.834 -133.4608
43.700001 83.902 -134.2561
44.400002 83.919 -135.3968
45.000000 83.904 -136.1514
45.500000 83.908 -136.5379
46.200001 83.967 -136.9350
46.799999 84.035 -137.3556
47.500000 84.091 -137.9882
48.200001 84.109 -138.7115
48.700001 84.107 -139.2572
49.400002 84.099 -140.0263
50.000000 84.101 -140.6717
50.799999 84.117 -141.5078
51.500000 84.130 -142.1632
52.200001 84.139 -142.6864
53.000000 84.143 -143.1785
53.799999 84.130 -143.6255
54.500000 84.105 -143.9718
55.200001 84.081 -144.3315
56.000000 84.055 -144.8297
57.000000 84.024 -145.3985
58.000000 84.023 -145.7280
59.000000 84.042 -146.0013
60.000000 84.047 -146.2929
60.799999 84.049 -146.5222
61.500000 84.061 -146.7222
62.200001 84.080 -146.9020
63.000000 84.106 -147.0676
64.000000 84.137 -147.2735
65.000000 84.171 -147.5602
66.000000 84.210 -147.8717
67.000000 84.253 -148.1294
68.000000 84.294 -148.4918
69.000000 84.323 -149.0064
70.000000 84.358 -149.4695
71.000000 84.400 -149.8511
72.000000 84.428 -150.1759
73.000000 84.458 -150.5101
74.000000 84.485 -150.9460
75.000000 84.488 -151.3392
76.199997 84.483 -151.7251
77.500000 84.484 -152.1474
78.800003 84.488 -152.4864
80.000000 84.486 -152.7320
81.199997 84.503 -152.9339
82.500000 84.534 -153.1544
83.800003 84.567 -153.3798
85.000000 84.597 -153.6728
86.199997 84.627 -153.9493
87.500000 84.668 -154.2434
88.500000 84.697 -154.5055
90.000000 84.731 -154.8568
91.199997 84.761 -155.1426
92.500000 84.794 -155.5465
93.800003 84.824 -155.9671
95.000000 84.847 -156.3731
96.199997 84.859 -156.8215
97.500000 84.863 -157.2677
98.800003 84.864 -157.6416
100.000000 84.863 -157.9666
101.500000 84.861 -158.3218
103.000000 84.857 -158.6184
104.400002 84.850 -158.8973
106.000000 84.843 -159.2388
107.500000 84.834 -159.5319
109.000000 84.827 -159.7796
110.599998 84.820 -159.9714
112.000000 84.812 -160.1010
113.800003 84.806 -160.2721
115.000000 84.808 -160.3887
117.199997 84.815 -160.6493
118.000000 84.818 -160.7263
120.599998 84.841 -160.9111
122.000000 84.848 -161.0580
124.099998 84.854 -161.2894
125.000000 84.857 -161.3886
126.500000 84.863 -161.5426
128.000000 84.871 -161.6815
131.500000 84.886 -162.0011
132.000000 84.887 -162.0464
134.000000 84.894 -162.2218
136.000000 84.899 -162.3687
138.000000 84.912 -162.5092
140.000000 84.931 -162.6425
143.000000 84.957 -162.8179
145.000000 84.975 -163.0355
147.500000 84.996 -163.3741
150.000000 84.995 -163.6215
152.500000 84.983 -163.8596
155.000000 84.985 -164.0169
157.500000 84.992 -164.0744
160.000000 85.010 -164.1176
162.500000 85.034 -164.2256
165.000000 85.058 -164.4008
167.500000 85.076 -164.6203
170.000000 85.087 -164.8534
172.500000 85.089 -165.0686
175.000000 85.090 -165.2561
177.500000 85.093 -165.4421
180.000000 85.094 -165.6508
182.500000 85.088 -165.8299
185.000000 85.077 -165.9611
187.500000 85.067 -166.0476
190.000000 85.058 -166.1176
192.500000 85.049 -166.1713
195.000000 85.039 -166.2131
197.500000 85.027 -166.2446
200.000000 85.011 -166.2650
203.000000 84.983 -166.2706
206.000000 84.950 -166.1732
209.000000 84.918 -165.8547
212.000000 84.911 -165.2796
214.000000 84.931 -164.8463
218.000000 85.026 -164.0756
220.000000 85.094 -163.7957
224.000000 85.249 -163.5705
227.000000 85.363 -163.6821
230.000000 85.465 -163.9156
233.000000 85.551 -164.2173
236.000000 85.623 -164.5649
240.000000 85.707 -165.0762
243.000000 85.763 -165.5268
247.000000 85.817 -166.1779
250.000000 85.843 -166.6685
254.000000 85.862 -167.2778
258.000000 85.867 -167.8288
262.000000 85.863 -168.3328
265.000000 85.853 -168.6682
269.000000 85.832 -169.0130
272.000000 85.812 -169.1982
276.000000 85.785 -169.3666
280.000000 85.769 -169.3867
285.000000 85.782 -169.3343
290.000000 85.817 -169.4351
295.000000 85.854 -169.6341
300.000000 85.893 -169.9055
304.000000 85.918 -170.1772
307.000000 85.931 -170.3844
311.000000 85.945 -170.6688
315.000000 85.952 -170.9410
320.000000 85.959 -171.2559
325.000000 85.964 -171.5565
330.000000 85.967 -171.8489
335.000000 85.971 -172.0883
340.000000 85.978 -172.3674
345.000000 85.985 -172.6961
350.000000 85.982 -173.0338
355.000000 85.971 -173.3327
360.000000 85.955 -173.6417
365.000000 85.937 -173.9077
370.000000 85.920 -174.1092
375.000000 85.901 -174.2871
382.000000 85.877 -174.5085
387.000000 85.862 -174.6532
395.000000 85.847 -174.8543
400.000000 85.838 -174.9998
406.000000 85.824 -175.1394
412.000000 85.814 -175.2742
418.000000 85.812 -175.3426
425.000000 85.815 -175.5392
431.000000 85.809 -175.7766
437.000000 85.798 -175.9665
444.000000 85.794 -176.1283
450.000000 85.791 -176.3458
455.000000 85.779 -176.5309
462.000000 85.771 -176.7315
468.000000 85.768 -176.9888
475.000000 85.751 -177.3814
482.000000 85.720 -177.7638
487.000000 85.692 -178.0225
494.000000 85.647 -178.3755
500.000000 85.596 -178.6734
508.000000 85.504 -178.9960
515.000000 85.405 -179.1438
522.000000 85.304 -179.0524
530.000000 85.215 -178.7375
538.000000 85.145 -178.4052
545.000000 85.090 -178.0482
552.000000 85.050 -177.6091
560.000000 85.029 -177.1045
570.000000 85.019 -176.5552
580.000000 85.038 -175.9203
590.000000 85.102 -175.4982
600.000000 85.153 -175.3902
608.000000 85.188 -175.3268
615.000000 85.221 -175.3464
622.000000 85.242 -175.4632
630.000000 85.246 -175.5394
640.000000 85.255 -175.5132
650.000000 85.264 -175.4900
660.000000 85.278 -175.4982
670.000000 85.289 -175.5088
680.000000 85.298 -175.5671
690.000000 85.304 -175.5247
700.000000 85.329 -175.4448
710.000000 85.361 -175.4882
720.000000 85.390 -175.6232
730.000000 85.418 -175.8262
740.000000 85.435 -176.1292
750.000000 85.436 -176.4078
762.000000 85.437 -176.7770
775.000000 85.413 -177.2017
788.000000 85.361 -177.6255
800.000000 85.285 -177.8483
812.000000 85.227 -177.7683
825.000000 85.190 -177.7902
838.000000 85.131 -177.8772
850.000000 85.078 -177.7588
862.000000 85.030 -177.6558
875.000000 84.975 -177.3357
885.000000 84.968 -176.9118
900.000000 85.039 -176.6102
912.000000 85.102 -176.9381
925.000000 85.106 -177.6808
938.000000 85.031 -178.3036
950.000000 84.943 -178.7134
962.000000 84.829 -179.1241
975.000000 84.650 -179.4943
988.000000 84.385 -179.3394
1000.000000 84.133 -178.0323
1015.000000 84.084 -175.0613
1030.000000 84.319 -173.8453
1044.000000 84.415 -174.3092
1060.000000 84.336 -174.6552
1075.000000 84.209 -174.0744
1090.000000 84.146 -172.9162
1106.000000 84.165 -171.7049
1120.000000 84.227 -170.8424
1138.000000 84.333 -170.2638
1150.000000 84.360 -170.1428
1172.000000 84.358 -169.3002
1180.000000 84.379 -168.8600
1206.000000 84.548 -167.4721
1220.000000 84.706 -167.1270
1241.000000 84.907 -167.7492
1250.000000 84.933 -168.2423
1265.000000 84.904 -168.7880
1280.000000 84.858 -168.8514
1315.000000 84.781 -168.5412
1320.000000 84.772 -168.4670
1340.000000 84.734 -168.1198
1360.000000 84.702 -167.6097
1380.000000 84.679 -167.0390
1400.000000 84.663 -166.3714
1430.000000 84.631 -165.1267
1450.000000 84.660 -163.9415
1475.000000 84.775 -162.6187
1500.000000 84.917 -161.7448
1525.000000 85.045 -160.8981
1550.000000 85.206 -160.1178
1575.000000 85.380 -159.6710
1600.000000 85.507 -159.4741
1625.000000 85.602 -158.8251
1650.000000 85.789 -157.8715
1675.000000 86.049 -157.4737
1700.000000 86.290 -157.6712
1725.000000 86.481 -158.0822
1750.000000 86.644 -158.5094
1775.000000 86.794 -159.0335
1800.000000 86.915 -159.6333
1825.000000 87.013 -160.1556
1850.000000 87.106 -160.6558
1875.000000 87.185 -161.1955
1900.000000 87.253 -161.7008
1925.000000 87.308 -162.2048
1950.000000 87.344 -162.6700
1975.000000 87.365 -163.0228
2000.000000 87.382 -163.2463
2030.000000 87.409 -163.3300
2060.000000 87.461 -163.2842
2090.000000 87.532 -163.2771
2120.000000 87.608 -163.2746
2140.000000 87.666 -163.2438
2180.000000 87.814 -163.2114
2200.000000 87.903 -163.2791
2240.000000 88.083 -163.6759
2270.000000 88.207 -164.1198
2300.000000 88.322 -164.6561
2330.000000 88.418 -165.2704
2360.000000 88.494 -165.8556
2400.000000 88.592 -166.5017
2430.000000 88.673 -166.9778
2470.000000 88.778 -167.6884
2500.000000 88.848 -168.2138
2540.000000 88.945 -168.8062
2580.000000 89.070 -169.3905
2620.000000 89.219 -170.1387
2650.000000 89.335 -170.8822
2690.000000 89.477 -172.0817
2720.000000 89.570 -173.0878
2760.000000 89.674 -174.5575
2800.000000 89.750 -176.1354
2850.000000 89.802 -178.1472
2900.000000 89.821 179.8791
2950.000000 89.814 177.9069
3000.000000 89.773 175.9482
3040.000000 89.721 174.4553
3070.000000 89.677 173.3988
3110.000000 89.622 172.0229
3150.000000 89.573 170.5551
3200.000000 89.485 168.4867
3250.000000 89.333 166.3499
3300.000000 89.132 164.4277
3350.000000 88.925 162.6633
3400.000000 88.697 160.7744
3450.000000 88.403 158.8466
3500.000000 88.041 157.1645
3550.000000 87.631 155.8438
3600.000000 87.186 154.9253
3650.000000 86.720 154.4509
3700.000000 86.245 154.3948
3750.000000 85.769 154.7535
3820.000000 85.108 156.0266
3870.000000 84.662 157.5705
3950.000000 84.072 160.9719
4000.000000 83.805 163.3320
4060.000000 83.570 166.0308
4120.000000 83.371 168.3520
4180.000000 83.125 170.4584
4250.000000 82.741 173.5555
4310.000000 82.427 177.6265
4370.000000 82.308 -177.6385
4440.000000 82.191 -173.4785
4500.000000 81.834 -168.3693
4550.000000 81.637 -160.5950
4620.000000 82.276 -145.4439
4680.000000 84.001 -133.1464
4750.000000 86.927 -126.1849
4820.000000 89.819 -129.6527
4870.000000 91.357 -137.2213
4940.000000 92.448 -150.7123
